"alg-geom/9711031","Jim Bryan","Jim Bryan and Naichung Conan Leung","The enumerative geometry of K3 surfaces and modular forms","24 pages, LaTeX2e with eepic macros",,,,"alg-geom hep-th math.AG",,"  We prove the conjectures of Yau-Zaslow and Gottsche concerning the number
curves on K3 surfaces. Specifically, let X be a K3 surface and C be a
holomorphic curve in X representing a primitive homology class. We count the
number of curves of geometric genus g with n nodes passing through g generic
points in X in the linear system |C| for any g and n satisfying C^2=2g+2n-2.
  When g=0, this coincides with the enumerative problem studied by Yau and
Zaslow who obtained a conjectural generating function for the numbers.
Recently, Gottsche has generalized their conjecture to arbitrary g in terms of
quasi-modular forms. We prove these formulas using Gromov-Witten invariants for
families, a degeneration argument, and an obstruction bundle computation. Our
methods also apply to P^2 blown up at 9 points where we show that the ordinary
Gromov-Witten invariants of genus g constrained to g points are also given in
terms of quasi-modular forms.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:21:11 GMT""}]","2007-05-23"
"astro-ph/9711291",,"A.R.Petrosian, V.G.Gurzadyan, M.A.Hendry, E.Nikoghossian","One Arc Degree Core Substructure of the Virgo Cluster","Latex 14 pages, 2 figures; to appear in Astrofizika",,,,"astro-ph",,"  The results of an analysis of the substructure of 1 degree field galaxies of
the Virgo cluster by means of the S-tree technique developed by Gurzadyan et
al, are represented. The existence of 3 main subgroups is shown and their
dynamical parameters are obtained. The mass centers of the subgroups appear to
be aligned in the direction parallel to the elongation of the Virgo cluster.
The morphological analysis shows some domination of dwarf galaxies in the
subgroup A containing M 87, and existence of two spiral galaxies N4425 and
N4461; the latter fact can be crucial for the estimation of the distance of the
Virgo cluster by means of the search of Cepheids in that spirals.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 08:19:45 GMT""}]","2007-05-23"
"astro-ph/9711292","Jean in 't Zand","J.J.M. in 't Zand, A. Baykal and T.E. Strohmayer","Recent X-ray measurements of the accretion-powered pulsar 4U 1907+09","26 pages, 11 figures, to be published in Astrophysical Journal part I
  on March 20, 1998",,"10.1086/305362",,"astro-ph",,"  X-ray observations of the accreting X-ray pulsar 4U~1907+09, obtained during
February 1996 with the Proportional Counter Array on the Rossi X-ray Timing
Experiment (RXTE), have enabled the first measurement of the intrinsic pulse
period Ppulse since 1984: Ppulse=440.341[+0.012,-0.017] s. 4U 1907+09 is in a
binary system with a blue supergiant. The orbital parameters were solved and
this enabled the correction for orbital delay effects of a measurement of
Ppulse obtained in 1990 with Ginga. Thus, three spin down rates could be
extracted from four pulse periods obtained in 1983, 1984, 1990, and 1996. These
are within 8% equal to a value of dPpulse/dt=+0.225 s/yr. This suggest that the
pulsar is perhaps in a monotonous spin down mode since its discovery in 1983.
Furthermore, the RXTE observations show transient ~18 s oscillations during a
flare that lasted about 1 hour. The oscillations may be interpreted as
Keplerian motion of an accretion disk near the magnetospheric radius. This, and
the notion that the co-rotation radius is much larger than any conceivable
value for the magnetospheric radius (because of the long spin period), renders
it unlikely that this pulsar spins near equilibrium like is suspected for other
slowing accreting X-ray pulsars. We suggest as an alternative that perhaps the
frequent occurrence of a retrograde transient accretion disk may be
consistently slowing the pulsar down. Further observations of flares can
provide more evidence of this.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 09:45:08 GMT""}]","2009-10-30"
"astro-ph/9711293","Mark Metzger","Mark R. Metzger, Paul L. Schechter","A Search for Distant Galactic Cepheids Toward l=60","18 pages, 4 tables, 13 figures (LaTeX / AASTeX)",,"10.1086/300405",,"astro-ph",,"  We present results of a survey of a 6-square-degree region near l=60, b=0 to
search for distant Milky Way Cepheids. Few MW Cepheids are known at distances
>~ R_0, limiting large-scale MW disk models derived from Cepheid kinematics;
this work was designed to find a sample of distant Cepheids for use in such
models. The survey was conducted in the V and I bands over 8 epochs, to a
limiting I~=18, with a total of ~ 5 million photometric observations of ~ 1
million stars. We present a catalog of 578 high-amplitude variables discovered
in this field. Cepheid candidates were selected from this catalog on the basis
of variability and color change, and observed again the following season. We
confirm 10 of these candidates as Cepheids with periods from 4 to 8 days, most
at distances > 3 kpc. Many of the Cepheids are heavily reddened by intervening
dust, some with implied extinction A_V > 10 mag. With a future addition of
infrared photometry and radial velocities, these stars alone can provide a
constraint on R_0 to 8%, and in conjunction with other known Cepheids should
provide good estimates of the global disk potential ellipticity.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 10:28:40 GMT""}]","2009-10-30"
"astro-ph/9711294","Atteia","J-L. Atteia (C.E.S.R., Toulouse)","Choosing a measure of GRB brightness that approaches a standard candle","5 pages (LateX), 2 Postscript figures, Proceedings of the 4th
  Huntsville GRB Workshop",,"10.1063/1.55422",,"astro-ph",,"  Studies using the GRB brightness as a distance indicator require a measure of
brightness with a small intrinsic dispersion (close to a standard candle).
There is unfortunately no general agreement on the definition of such a
quantity. We show here that the comparison of the size-frequency curves
obtained with various measures of brightness can be used to select the quantity
which is closer to a standard candle. Our method relies on a few general
assumptions on the burster spatial distribution, namely that nearby bursters
are homogeneously distributed in an Euclidean space with no density or
luminosity evolution. We apply it to 5 measures of GRB brightness in the
Current BATSE Catalog and we find that the GRB size-frequency distribution
depends significantly on the energy window used to measure the GRB brightness.
The influence of the time window being, in comparison, negligible. Our method
suggests that the best distance indicator in this Catalog is the fluence
measured below 100 keV, indicating that GRB luminosities have a smaller
intrinsic dispersion below 100 keV than above.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 10:43:58 GMT""}]","2009-10-30"
"astro-ph/9711295","Daniele Dal Fiume","D. Dal Fiume (1), M. Orlandini (1), G. Cusumano (2), S. Del Sordo (2),
  M. Feroci (3), F. Frontera (1,4), T. Oosterbroek (5), E. Palazzi (1), A.N.
  Parmar (5), A. Santangelo (2) and A. Segreto (2) ((1) Istituto TeSRE/CNR -
  Bologna, (2) IFCAI/CNR - Palermo, (3) IAS/CNR - Roma, (4) Phys. Dept. Univ.
  Ferrara, (5) ESA/SSD - Estec - Noordwijk)","The broad-band (0.1-200 keV) spectrum of Her X-1 observed with BeppoSAX","5 pages, 2 figures, accepted for publication in A&A Letters",,,,"astro-ph",,"  The X-ray pulsar Her X-1 was observed for more than two orbital cycles near
the maximum of the 35 day X-ray intensity cycle by the Narrow Field Instruments
on-board the BeppoSAX satellite. We present the first simultaneous measurement
of the 0.1-200 keV spectrum. Three distinct continuum components are evident in
the phase averaged spectrum: a low energy excess, modeled as a 0.1 keV
blackbody; a power-law and a high energy cut-off. Superposed on this continuum
are Fe L and K emission features at 1.0 and 6.5 keV, respectively, and a ~40
keV cyclotron absorption feature. The cyclotron feature can be clearly seen in
raw count spectra. We present the properties of the cyclotron feature with
unprecedented precision and discuss the indications given by this measurement
on the physical properties of the emitting region.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 13:35:31 GMT""}]","2007-05-23"
"astro-ph/9711296","Daniele Dal Fiume","D. Dal Fiume (1), M. Orlandini (1), G. Cusumano (2), S. Del Sordo (2),
  M. Feroci (3), F. Frontera (1,4), T. Oosterbroek (5), E. Palazzi (1), A. N.
  Parmar (5), A. Santangelo (2), A. Segreto (2) ((1) Istituto TeSRE/CNR -
  Bologna, (2) IFCAI/CNR - Palermo, (3) IAS/CNR - Roma, (4) Phys. Dept. Univ.
  Ferrara, (5) ESA/SSD - Estec - Noordwijk)","The pulsed light curves of Her X-1 as observed by BeppoSAX","5 pages, 2 PostScript figures, uses aipproc.sty, to appear in
  Proceedings of Fourth Compton Symposium",,"10.1063/1.54148",,"astro-ph",,"  We report on the timing analysis of the observation of the X-ray binary
pulsar Her X-1 performed during the BeppoSAX Science Verification Phase. The
observation covered more that two full orbital cycles near the maximum of the
main-on in the 35 day cycle of Her X-1. We present the pulse profiles from 0.1
to 100 keV. Major changes are present below 1 keV, where the appearance of a
broad peak is interpreted as re-processing from the inner part of the accretion
disk, and above 10 keV, where the pulse profile is less structured and the main
peak is appreciably harder. The hardness ratios show complex changes with pulse
phase at different energies.
","[{""version"":""v1"",""created"":""Tue, 25 Nov 1997 14:54:19 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 16:57:49 GMT""}]","2009-10-30"
"cond-mat/9711241","Stephen W. PIerson","Stephen W. Pierson and Oriol T. Valls","Flux Lattice Melting and Lowest Landau Level Fluctuations","4 pages, 2 embedded figures","Phys. Rev B57 R8143 1998","10.1103/PhysRevB.57.R8143",,"cond-mat.supr-con",,"  We discuss the influence of lowest Landau level (LLL) fluctuations near
H_{c2}(T) on flux lattice melting in YBa$_2$Cu$_3$O$_{7-\delta}$ (YBCO). We
show that the specific heat step of the flux lattice melting transition in YBCO
single crystals can be attributed largely to the degrees of freedom associated
with LLL fluctuations. These degrees of freedom have already been shown to
account for most of the latent heat. We also show that these results are a
consequence of the correspondence between flux lattice melting and the onset of
LLL fluctuations.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:48:46 GMT""}]","2009-10-30"
"cond-mat/9711242","Nils Bluemer","J. Wahle, N. Bl\""umer, J. Schlipf, K. Held, and D. Vollhardt","Microscopic conditions favoring itinerant ferromagnetism","10 pages, 11 figures, RevTeX using epsf and multicol; shortened
  version, curve added in Fig. 2; to appear in Phys. Rev. B, Nov 15, 1998","Phys. Rev. B 58, 12749 (1998)","10.1103/PhysRevB.58.12749","EKM-TP3/9-97","cond-mat.str-el",,"  A systematic investigation of the microscopic conditions stabilizing
itinerant ferromagnetism of correlated electrons in a single-band model is
presented. Quantitative results are obtained by quantum Monte Carlo simulations
for a model with Hubbard interaction U and direct Heisenberg exchange
interaction F within the dynamical mean-field theory. Special emphasis is
placed on the investigation of (i) the distribution of spectral weight in the
density of states, (ii) the importance of genuine correlations, and (iii) the
significance of the direct exchange, for the stability of itinerant
ferromagnetism at finite temperatures. We find that already a moderately strong
peak in the density of states near the band edge suffices to stabilize
ferromagnetism at intermediate U-values in a broad range of electron densities
n. Correlation effects prove to be essential: Slater--Hartree-Fock results for
the transition temperature are both qualitatively and quantitatively incorrect.
The nearest-neighbor Heisenberg exchange does not, in general, play a decisive
role. Detailed results for the magnetic phase diagram as a function of U, F, n,
temperature T, and the asymmetry of the density of states are presented and
discussed.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 22:34:24 GMT""},{""version"":""v2"",""created"":""Wed, 16 Sep 1998 15:01:45 GMT""}]","2009-10-30"
"cond-mat/9711248","Robert Eder","R. Eder, O. Rogojanu, and G. A. Sawatzky","Many-body band structure and Fermi surface of the Kondo lattice","RevTex-file, 14 PRB pages with 15 eps files. Hardcopies of figures
  (or the entire manuscript) can be obtained by e-mail request to:
  eder@physik.uni-wuerzburg.de",,"10.1103/PhysRevB.58.7599",,"cond-mat",,"  We present a theory for the single particle excitations and Fermi surface of
the Kondo lattice. Thereby we construct an effective Hamiltonian describing the
creation and propagation of single particle-like charge fluctuations on an
`RVB-background' of local singlets. The theory may be viewed as a `Fermionic
version' of linear spin wave theory and is of comparable simplicity, so that
the calculations for the strong-coupling limit can be performed analytically.
We calculate the single particle spectral function for the standard Kondo
lattice as well as for several extended versions: with a Coulomb repulsion
between conduction and f-electrons, Coulomb repulsion between conduction
electrons, and a `breathing' f-orbital. In all cases we study the evolution of
the spectrum in going from the Kondo insulator to the Heavy electron metal. We
compare our results to exact diagonalization of small clusters and find
remarkable agreement in nearly all cases studied. In the metallic case the
f-electrons participate in the Fermi surface volume even if they are replaced
by localized Kondo-spins and the number of bands, their dispersion and spectral
character, and the nontrivial (i.e. non-rigid band-like) doping dependence
including a pronounced transfer of spectral weight are reproduced by the
theory.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 17:22:22 GMT""}]","2009-10-30"
"cond-mat/9711249","Eli Ben-Naim","E. Ben-Naim, A. R. Bishop, I. Daruka, P. L. Krapivsky","Mean Field Theory of Polynuclear Surface Growth","revtex, 7 pages, 4 figs","J. Phys. A 31, 5001 (1998)","10.1088/0305-4470/31/22/005",,"cond-mat.stat-mech",,"  We study statistical properties of a continuum model of polynuclear surface
growth on an infinite substrate. We develop a self-consistent mean-field theory
which is solved to deduce the growth velocity and the extremal behavior of the
coverage. Numerical simulations show that this theory gives an improved
approximation for the coverage compare to the previous linear recursion
relations approach. Furthermore, these two approximations provide useful upper
and lower bounds for a number of characteristics including the coverage, growth
velocity, and the roughness exponent.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 18:22:40 GMT""}]","2009-10-30"
"cond-mat/9711250","Wensheng Vincent Liu","W. Vincent Liu (University of Texas at Austin)","Effective field theory approach to Bose--Einstein condensation","12 pages, 1 figure included. An invited article for Int. J. Mod.
  Phys. B. This revised version adds some discussions relevant to Bose-Einstein
  condensates in a harmonic trap","Int. J. Mod. Phys. B 12 (1998) 2103","10.1142/S0217979298001241","UTTG-27-97","cond-mat.soft hep-ph",,"  We consider the low-energy collective excitations at finite temperature of
Bose--Einstein condensed gases (and liquids as well). A most general
model-independent effective Lagrangian is written down according to a
prescription obtained from the breakdown of the global symmetry U(1). To show
how the theory predicts easily, we derive the momentum and temperature
dependence of the damping of excitations by means of power counting as an
example.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 23:45:33 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 17:45:04 GMT""},{""version"":""v3"",""created"":""Fri, 6 Mar 1998 21:15:36 GMT""},{""version"":""v4"",""created"":""Mon, 27 Jul 1998 16:17:35 GMT""}]","2009-10-30"
