"alg-geom/9711029","Terutake Abe","Terutake Abe (Johns Hopkins University)","Classification of Exceptional Complements: Elliptic Curve Case","LaTeX2e, 14 pages, with 24 postscript figures",,,,"alg-geom math.AG",,"  We classify the log del Pezzo surface (S,B) of rank 1 with no 1-,2-,3-,4-, or
6-complements with the additional condition that B has one irreducible
component C which is an elliptic curve, and that C has the coefficient b in B
with (1/n)floor((n+1)b)=1 for n=1,2,3,4, and 6.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 01:11:38 GMT""}]","2007-05-23"
"cond-mat/9711245","Ian White","I.D. White, R.W. Godby, M.M. Rieger and R.J. Needs","Dynamic image potential at an Al(111) surface","5 pages, 3 figures",,"10.1103/PhysRevLett.80.4265",,"cond-mat.mtrl-sci",,"  We evaluate the electronic self-energy Sigma(E) at an Al(111) surface using
the GW space-time method. This self-energy automatically includes the image
potential V_{im} not present in any local-density approximation for exchange
and correlation. We solve the energy-dependent quasiparticle equations to
obtain surface state wavefunctions, and calculate the effective local potential
experienced by electrons in the near-surface region. We find that V_{im} for
unoccupied states is due to correlation (not exchange). The image-plane
position for interacting electrons is considerably closer to the surface than
for the purely electrostatic effects felt by test charges, and, like its
classical counterpart, is drawn inwards by the effects of atomic structure.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 14:52:04 GMT""}]","2009-10-30"
"cond-mat/9711246","Nikolai Kopnin","N. B. Kopnin","Resonant absorption at the vortex-core states in d-wave superconductors","RevTex file, 10 pages",,"10.1103/PhysRevB.57.11775",,"cond-mat.supr-con",,"  We predict a resonant microwave absorption on collective vortex modes in a
superclean d-wave superconductor. Energies of the collective modes are
multiples of the distance between the exact quantum levels of bound states in
the vortex core at lower temperatures and involve delocalized states for higher
temperatures. We calculate the vortex mass in a d-wave superconductor as a
response to a slow acceleration of the vortex. The universal flux-flow regime
predicted by N. Kopnin and G. Volovik [Phys. Rev. Lett. 79, 1377 (1997)] is
discussed in more detail.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 14:44:37 GMT""}]","2009-10-30"
"cond-mat/9711247","Vladimir Plechko","V.N. Plechko (Bogoliubov Lab Dubna)","Fermionic Structure of Two-Dimensional Ising Model with Quenched Site
  Dilution","LaTeX, 1 + 14 pages, no figures","Phys. Lett. A 239 (1998) 289-299","10.1016/S0375-9601(98)00022-X","JINR E17-97-357","cond-mat.dis-nn hep-lat hep-th",,"  We apply a new anticommuting path integral technique to clarify the fermionic
structure of the 2D Ising model with quenched site dilution. In the $N$-replica
scheme, the model is explicitly reformulated as a theory of interacting
fermions on a lattice. An unusual feature is that the leading term of
interaction in the exact lattice theory is of order $2N$ in fermions, where $N$
is the number of replicas. The continuum-limit approximation near $T_c $ for
weak dilution produces, however, an effective four-fermion interaction. In
particular, this implies the doubled-logarithmic singularity in the specific
heat near $T_c$ for weak site dilution. The exact value of the initial slope is
also obtained.
  Keywords: Ising model, site disorder, anticommuting Grassmann variables
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 14:46:05 GMT""},{""version"":""v2"",""created"":""Wed, 8 Apr 1998 12:41:09 GMT""}]","2009-10-30"
"gr-qc/9711071","Wang Bin","Ru-Keng Su, Bin Wang, P.K.N.Yu and E.C.M.Young","A possible explanation of the clash for black hole entropy in the
  extremal limit","9 pages, Latex, no figures",,,,"gr-qc",,"  It is shown that the classical entropy of the extremal black hole depends on
two different limits procedures. If we first take the extremal limit and then
the boundary limit, the entropy is zero; if we do it the other way round, we
get the Bekenstein-Hawking entropy. By means of the brick wall model, the
quantum entropy of scalar field in the extremal black hole background has been
calculated for the above two different limits procedures. A possible
explanation which considers the quantum effect for the clash of black hole
entropy in the extremal limit is given.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 09:05:05 GMT""}]","2007-05-23"
"hep-lat/9711048","Mikko Laine","K. Kajantie, M. Karjalainen, M. Laine and J. Peisa","Three-dimensional U(1) gauge+Higgs theory as an effective theory for
  finite temperature phase transitions","42 pages, 14 figures","Nucl.Phys. B520 (1998) 345-381","10.1016/S0550-3213(98)00064-9","CERN-TH/97-332","hep-lat cond-mat.supr-con hep-ph",,"  We study the three-dimensional U(1)+Higgs theory (Ginzburg-Landau model) as
an effective theory for finite temperature phase transitions from the 1 K scale
of superconductivity to the relativistic scales of scalar electrodynamics. The
relations between the parameters of the physical theory and the parameters of
the 3d effective theory are given. The 3d theory as such is studied with
lattice Monte Carlo techniques. The phase diagram, the characteristics of the
transition in the first order regime, and scalar and vector correlation lengths
are determined. We find that even rather deep in the first order regime, the
transition is weaker than indicated by 2-loop perturbation theory. Topological
effects caused by the compact formulation are studied, and it is demonstrated
that they vanish in the continuum limit. In particular, the photon mass
(inverse correlation length) is observed to be zero within statistical errors
in the symmetric phase, thus constituting an effective order parameter.
","[{""version"":""v1"",""created"":""Sun, 23 Nov 1997 17:33:23 GMT""}]","2009-10-30"
"hep-ph/9711429","Hong-Jian He","T. Han (Wisconsin & Davis), H.-J. He (MSU & Desy), C.-P. Yuan (MSU)","Quartic Gauge Boson Couplings at Linear Colliders ---Interplay of
  WWZ/ZZZ Production and WW-Fusion--","Latex, 15pp, 3eps-Figs, Refs added, To appear in Phys. Lett. B (1998)","Phys.Lett. B422 (1998) 294-304","10.1016/S0370-2693(98)00052-5","MADPH-97-1025, UCD-97-22, MSUHEP-70930","hep-ph",,"  We study new physics effects to the quartic gauge boson couplings formulated
by the electroweak chiral Lagrangian. Five next-to-leading order operators
characterize the anomalous quartic gauge interactions which involve pure
Goldstone boson dynamics for the electroweak symmetry breaking. We estimate the
typical size of these couplings in different strongly-interacting models and
examine the sensitivity to directly probing them via the WWZ/ZZZ triple gauge
boson production at the high energy linear colliders. The important roles of
polarized e- and e+ beams are stressed. We then compare the results with those
from the W-pair production of the WW-fusion processes, and analyze the
interplay of these two production mechanisms for an improved probe of the
quartic gauge boson interactions.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 07:02:27 GMT""},{""version"":""v2"",""created"":""Tue, 25 Nov 1997 01:23:57 GMT""},{""version"":""v3"",""created"":""Tue, 13 Jan 1998 23:11:23 GMT""}]","2009-10-30"
"hep-ph/9711430","Igor Dremin","I.M. Dremin and V.I. Manko","Particles and Nuclei as Quantum Slings","7 pages, LATEX, no Figs","Nuovo Cim. A111 (1998) 439-444","10.1007/BF03185578","LPI TD 19/97","hep-ph",,"  Rotation of such objects as an atomic nucleus or a chromodynamical string can
result in specific effects in scattering processes and multiparticle
production. Secondary fragments of the rotating nucleus or of the decaying
string can move like stones thrown from a sling. That would be detected as the
azimuthal asymmetry of particle distributions in individual events.
Non-classical states of the created particles like the Schr""\{o}dinger cats are
produced. Some classical and quantum-mechanical estimates of possible effects
are given. Experimental facts which can be used for their verification are
discussed.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 07:25:07 GMT""}]","2022-03-02"
"hep-ph/9711431","Peter Minkowski","P. Minkowski","Note on the Mass Square of the Eta' Meson","8 pages","Phys.Lett. B423 (1998) 157-161","10.1016/S0370-2693(98)00130-0","BUTP-97/35","hep-ph",,"  We propose to use as a mathematical tool to study the mass square of the
etaprime meson an infinitely heavy supplementary quark flavor Q. This is
understood in the framework of QCD with one light quark flavor (or n_fl light
flavors) and the gauge group SU3 colour (or SUN colour). The full system thus
consists of n_fl + 1 flavors, including the infinitely heavy one. The purpose
of this note is to show how the heavy flavor can be made to represent the
anomalies of the subtheory describing the remnant physical degrees of freedom.
In the large N_c limit the mass square of etaprime tends to a finite limit. The
essential deviations from (semi) perturbative derivations are related to simple
properties of the 'heavy' flavor.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 08:05:52 GMT""}]","2009-10-30"
"hep-ph/9711432","Carlo Giunti","S.M. Bilenky, C. Giunti, W. Grimus","Constraints on long-baseline neutrino oscillations from the results of
  neutrino oscillation experiments","7 pages, including 2 figures. Talk presented by C. Giunti at TAUP97,
  September 7-11, 1997, Laboratori Nazionali del Gran Sasso, Italy","Nucl.Phys.Proc.Suppl. 70 (1999) 258-260","10.1016/S0920-5632(98)00433-2","DFTT 69/97, UWThPh-1997-45, IASSNS-AST 97/67","hep-ph",,"  It is shown that in the two schemes with four massive neutrinos which are
compatible with the results of all neutrino oscillation experiments, the
probabilities of nu_e disappearance and nu_mu->nu_e appearance in long-baseline
experiments are severely constrained.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 08:39:31 GMT""}]","2015-06-25"
"hep-ph/9711433","Oleg E. Evnin","O.E.Evnin","Vacuum structure, spectrum of excitations and low-energy phenomenology
  in chiral preon-subpreon model of elementary particles","20 LaTeX pages, 8 figures",,,,"hep-ph",,"  Inner and empirically consistent model of elementary particles, including two
matter structural levels beyond the quark one is built. Excitations spectra,
masses and interactions are analysed using the phenomenological notion of
non-pertubative vacuum condensate. Essential low-energy predictions of
developed concepts are classified.
  Effective gauge U(1)xU(1)xSU(2)-theory of quark-lepton excitations behavior
based on the performed analysis of preon-subpreon phenomenology is consistently
built. The ability of its expansion with fermions and scalar leptoquark
coupling is also considered. Shown that the coupling constants generation
hierarchy is the same as generation hierarchy of quark masses.
  Using the built theory cross-sections of d-quark-positron scattering
processes with both charged and neutral currents are calculated. The obtained
resonance peak is proposed to be a possible explanation of deviating from
Standard Model predictions discovered in DESY in the beginning of 1997 year.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 10:05:27 GMT""},{""version"":""v2"",""created"":""Mon, 26 Jan 1998 08:13:36 GMT""},{""version"":""v3"",""created"":""Fri, 30 Jan 1998 08:56:16 GMT""},{""version"":""v4"",""created"":""Tue, 17 Feb 1998 11:02:24 GMT""}]","2007-05-23"
"hep-ph/9711434","Erwin Mirkes","E. Mirkes and S. Willfahrt","QCD Corrections to Jet Production in Polarized $ep$ Scattering","Contributed paper to the Proceedings of the Workshop on Physics at
  HERA with Polarized Protons and Electrons. Latex, 8 pages, 4 figures. The
  complete paper, including figures, is also available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,,"TTP97-51","hep-ph",,"  Next-to-leading order QCD predictions for 1-jet and 2-jet cross sections in
polarized deep inelastic scattering at HERA energies are presented. Whereas the
QCD corrections to the total polarized cross section are very large, only
moderate corrections are found for the dijet cross sections.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 10:59:19 GMT""}]","2007-05-23"
"hep-ph/9711435","Marco Aurelio Diaz","Marco Aurelio Diaz","The Minimal Supersymmetric Standard Model with a Bilinear R--Parity
  Violating Term","12 pages including 10 figures, Latex. Talk given at the International
  Workshop on Quantum Effects in the MSSM, 9--13 Sep. 1997, Barcelona, Spain",,,"IFIC/97-87, FTUV/97-57","hep-ph",,"  Some aspects of bilinear R-Parity violation, the simplest extension of the
MSSM which does not conserve R-Parity, are reviewed in comparison with the
MSSM. We put special emphasis on the effect of quantum corrections.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 12:59:24 GMT""}]","2007-05-23"
"hep-ph/9711436","Ruben A. Alanakyan","R.A. Alanakyan, V.H.Grabski","Single Charged and Neutral Supersymmetric Higgs Bosons Production with
  Jet at pp Colliders","7 pages, LaTeX file, using eps.sty, 1 ps figures included",,,"Preprint YerPHI 1496(13)-97","hep-ph",,"  In the framework of Minimal Supersymmetric Standard Model Higgs bosons
production via gluino/squark loop in the processes $gu \to H^{+}d$, $gd \to
H^{-}u$,$gq \to H^{0}_iq$ are studied.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 12:27:59 GMT""}]","2019-08-17"
"hep-ph/9711437","Oleg Veretin","J. Fleischer, M. Tentyukov and O.L. Veretin","Multi-Loop Calculations in the Standard Model: Techniques and
  applications","12 pages, 6 eps figures. A talk presented by J. Fleischer at 21th
  School of Theoretical Physics, Ustro\'n, Poland, 19-24 Sept. 1997. To appear
  in Acta.Phys.Pol.B","Acta Phys.Polon.B28:2333-2350,1997",,,"hep-ph",,"  We present a review of the Bielefeld-Dubna activities on the multiloop
calculations. In the first part a C-program DIANA (DIagram ANAlyser) for the
automation of Feynman diagram evaluations is presented, in the second part
various techniques for the evaluation of scalar diagrams are described, based
on the Taylor expansion method and large mass expansion.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 12:34:53 GMT""}]","2011-04-15"
"hep-ph/9711438","Dr Tsou Sheung Tsun","J Bordes (Valencia), HM Chan (Rutherford Appleton Lab), J Faridani
  (Rutherford Appleton Lab), J Pfaudler (Oxford), and ST Tsou (Oxford)","Post-GZK Air Showers, FCNC, Strongly Interacting Neutrinos and Duality","Review paper, latex, 14 pages, no figures",,,,"hep-ph astro-ph",,"  A review is given on the recently proposed idea that air showers with energy
$> 10^{20}$ eV beyond the Greisen-Zatsepin-Kuz'min cut-off may be due to
neutrinos having acquired a strong interaction at these energies, as suggested
by the Dualized Standard Model. Such a hypothesis is shown to be consistent
with the so far known facts. Further, by linking the astrophysical puzzle of
post-GZK air showers through electric-magnetic duality to the problem of
fermion generations in particle physics, one obtains on the one hand estimates
for the rates of some flavour-changing neutral current decays which are
accessible to experiments being planned, and on the other direct tests on the
hypothesis performable by new air shower detectors such as Auger. The
suggestion does not exclude other explanations for post-GZK showers given in
the literature. However, we diagree with a recent paper by Burdman, Halzen and
Gandhi which sweepingly claimed to have excluded nearly all explanations by new
particle physics including ours.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 12:35:36 GMT""}]","2007-05-23"
"hep-ph/9711439","Jochen Biebel","Jochen Biebel","Four-Fermion Production with Anomalous Couplings at LEP2 and NLC","9 pages, LaTeX, 4 figures, uses psfig, epsf, to appear in the
  proceedings of the XIIth International Workshop on High Energy Physics and
  Quantum Field Theory, 4--10 September 1997, Samara, Russia",,,"DESY 97-219","hep-ph",,"  I give a short report on the semi-analytical approach to off-shell W pair
production. In particular, I show the effects of irreducible background
diagrams of the CC11 class in the differential cross-section. Further, I study
the influence of potential anomalous couplings at a future linear collider and
investigate the sensitivity of the forward-backward asymmetry to anomalous
couplings.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 14:53:33 GMT""}]","2007-05-23"
"hep-ph/9711440","Daniel De Florian","D. de Florian (CERN), O. Sampayo (UNMP), R. Sassot (UBA)","Next-to-Leading Order Analysis of Inclusive and Semi-inclusive Polarized
  Data","22 pages, 4 figures included","Phys.Rev. D57 (1998) 5803-5810","10.1103/PhysRevD.57.5803","CERN-TH/97-71","hep-ph",,"  We present a combined next-to-leading order QCD analysis to data on both
inclusive and semi-inclusive polarized deep inelastic scattering asymmetries.
Performing NLO QCD global fits with different sets of observables, we evaluate
the impact of the very recent semi-inclusive results presented by SMC in the
extraction of NLO polarized parton distributions.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 14:10:18 GMT""}]","2009-10-30"
"hep-ph/9711441","Siannah Pennarada","A.Dobado, M.J.Herrero and S.Penaranda","Decoupling of Supersymmetric Particles in the MSSM","14 pages, LaTeX, Contribution to the proceedings of the
  ""International Workshop on Quantum Effects in the MSSM"", Barcelona, Spain,
  September 9-13, 1997, World Scientific, ed. J.Sola",,,"FTUAM 97/17","hep-ph",,"  A heavy supersymmetric spectrum at the Minimal Supersymmetric Standard Model
is considered and the decoupling from the low energy electroweak scale is
analyzed. A formal and partial proof of decoupling of supersymmetric particles
in the limit where their masses are larger than the electroweak scale is
performed by integrating out all the sparticles to one loop and by evaluating
the effective action for the standard electroweak gauge bosons $W^{\pm}, Z$ and
$\gamma$. The Higgs sector is not considered here. Analytical results for the
two-point functions of the electroweak gauge bosons and the $S, T$ and $U$
parameters, to be valid in that limit, are also presented. A discussion on how
the decoupling takes place in terms of both the physical sparticle masses and
the non-physical mass parameters as the $\mu$-parameter and the soft-breaking
parameters is included.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 15:38:45 GMT""}]","2007-05-23"
"hep-th/9711172","Paolo Valtancoli","P. Valtancoli","Exact Results in Chern-Simons Supergravity","29 pages, LaTeX, no figures","Nucl.Phys. B527 (1998) 433-459","10.1016/S0550-3213(98)00205-3","DFF 1/11/97","hep-th",,"  We propose an extension of a recent non-perturbative method suited for
solving the N-body problem in (2+1)-gravity to the case of Chern-Simons
supergravity. Coupling with supersymmetric point particles is obtained
implicitly by extending the DJH matching conditions of gravity. The consistent
solution of the interacting case is obtained by building a general non-trivial
mapping, extending the superanalytic mapping, between a flat polydromic $X^M$
supercoordinate system and a physical one $x^N$, representing the DJH matching
conditions around the superparticles. We show how to construct such a mapping
in terms of analytic functions, and we give their exact expressions for the two
body case. The extension to the N body case is also discussed. In the
Minkoskian coordinates the superparticles move freely, and in particular the
fermionic coordinates $\Theta(\xi^N_{(i)})$ are constants, whose values can be
fixed by using the monodromy properties. While the bosonic part of the
supergeodesic equations are obtained, as in gravity, by measuring the bosonic
distance in Minkowskian space-time, we find that the fermionic geodesic
equations can be defined only by requiring that a non-perturbative divergence
of the $X^M = X^M(x^N)$ mapping cancels out on the world-lines of the
superparticles.
","[{""version"":""v1"",""created"":""Mon, 24 Nov 1997 15:12:11 GMT""}]","2009-10-30"
