"alg-geom/9711003","William L. Pardon","William Pardon and Mark Stern (Duke University)","Pure Hodge structure on the $L_2$-cohomology of varieties with isolated
  singularities","53 pages, amstex",,,,"alg-geom dg-ga math.AG math.DG",,"  Let $V$ be a complex projective variety with isolated singularities. Let the
smooth part be given the metric induced by a projective imbedding. Then we
develop the $L_2$ harmonic theory and construct a pure Hodge structure on the
$L_2$-cohomology of $V$. If the dimension of $V$ is two, we put a cohomological
Hodge structure on its complex of sheaves of $L_2$ forms.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 17:03:39 GMT""}]","2007-05-23"
"astro-ph/9711018","Geraint Lewis","G.F. Lewis, M.J. Irwin, P.C. Hewett and C.B. Foltz","Microlensing induced spectral variability in Q2237+0305","Accepted for Publication in MNRAS. Paper with 11 figures","Mon.Not.Roy.Astron.Soc.295:573-586,1998","10.1046/j.1365-8711.1998.01317.x","GFL-0001","astro-ph",,"  We present both photometry and spectra of the individual images of the
quadruple gravitational lens system Q2237+0305. Comparison of spectra obtained
at two epochs, separated by $\sim~3\,$years, shows evidence for significant
changes in the emission line to continuum ratio of the strong ultraviolet
CIV~$\lambda$1549, CIII]~$\lambda$1909 and MgII~$\lambda$2798 lines. The short,
$\sim~1\,$day, light--travel time differences between the sight lines to the
four individual quasar images rule out any explanation based on intrinsic
variability of the source. The spectroscopic differences thus represent direct
detection of microlensing--induced spectroscopic differences in a quasar. The
observations allow constraints to be placed on the relative spatial scales in
the nucleus of the quasar, with the ultra--violet continuum arising in a region
of $\la~0.05~{\rm pc}$ in extent, while the broad emission line material is
distributed on scales much greater than this.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 1997 23:54:46 GMT""}]","2014-10-13"
"astro-ph/9711019","Warrick Couch","W. J. Couch, A. J. Barger, I. Smail, R. S. Ellis, R. M. Sharples","Morphological studies of the galaxy populations in distant
  ""Butcher-Oemler"" clusters with HST. II. AC103, AC118 and AC114 at z=0.31","50 pages, LaTeX, 7 enclosed postscript figures, 6 tables (2
  external), uses aaspp4.sty, to appear in The Astrophysical Journal",,"10.1086/305462",,"astro-ph",,"  We present new results of a program to study the detailed morphologies of
galaxies in intermediate redshift clusters and hence understand the physical
origin of the enhanced star formation in these environments at earlier epochs.
Deep, high resolution imagery has been obtained of 3 rich clusters, AC103,AC118
& AC114 at z=0.31, using the WFPC2 on HST. For AC103 & AC118, single pointings
covering a central 0.5x0.5Mpc have been obtained; for AC114, 4 pointings
covering a 1.2x0.7Mpc area have been obtained, allowing the more outer regions
of a distant cluster to be studied. Hubble types plus evidence for dynamical
interactions and/or structural abnormalities have been determined visually for
all galaxies down to R=22.25 in AC103 & AC118 and R=23.0 in AC114.We find the
numbers of spirals (Sa-Sdm) in our clusters to be up to 4x higher than that
seen in present-day clusters; only in the virialised core of our most massive
regular cluster, AC114, do we see morphological fractions approaching those of
the present epoch. Dynamical interactions are also widespread throughout the
clusters with ~20% of members showing morphological evidence of this
phenomenon. The highest incidence is amongst those blue members either
undergoing a starburst or seen <0.5Gyr thereafter with the majority being
involved in major mergers. These galaxies, however, are of modest luminosity
(L~L*+1mag), destined to become dwarfs once they fade. Cluster members with
ongoing star formation typical of nearby spirals are largely late Sb-Sdm Hubble
types. Galaxies whose star formation ended 1-2Gyr prior to the epoch of
observation are all normal early-type (S0-Sb) disk systems. The red H-delta
strong galaxies are a mixture of E & S0 galaxies, consistent with them being
old dormant systems which have undergone a secondary star formation episode.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 03:06:40 GMT""}]","2009-10-30"
"astro-ph/9711021","Tsujimoto Takuji","Takuji Tsujimoto(1), Masanori Miyamoto(1), Yuzuru Yoshii(2)
  ((1)National Astronomical Observatory, (2)University of Tokyo)","The Absolute Magnitude of RR Lyrae Stars Derived from the Hipparcos
  Catalogue","6 pages LaTex, 1 PostScript figure, to appear in ApJ Lett","Astrophys.J.492:L79-L82,1998","10.1086/311084",,"astro-ph",,"  The present determination of the absolute magnitude $M_V(RR)$ of RR Lyrae
stars is twofold, relying upon Hipparcos proper motions and trigonometric
parallaxes separately. First, applying the statistical parallax method to the
proper motions, we find $<M_V(RR)>=0.69\pm0.10$ for 99 halo RR Lyraes with
$<$[Fe/H]$>$ =--1.58. Second, applying the Lutz-Kelker correction to the RR
Lyrae HIP95497 with the most accurately measured parallax, we obtain
$M_V(RR)$=(0.58--0.68)$^{+0.28}_{-0.31}$ at [Fe/H]=--1.6. Furthermore, allowing
full use of low accuracy and negative parallaxes as well for 125 RR Lyraes with
-- 2.49$\leq$[Fe/H]$\leq$0.07, the maximum likelihood estimation yields the
relation, $M_V(RR)$=(0.59$\pm$0.37)+(0.20$\pm$0.63)([Fe/H]+1.60), which
formally agrees with the recent preferred relation. The same estimation yields
again $<M_V(RR)>$ = $0.65\pm0.33$ for the 99 halo RR Lyraes. Although the
formal errors in the latter three parallax estimates are rather large, all of
the four results suggest the fainter absolute magnitude,
$M_V(RR)$$\approx$0.6--0.7 at [Fe/H]=--1.6. The present results still provide
the lower limit on the age of the universe which is inconsistent with a flat,
matter-dominated universe and current estimates of the Hubble constant.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 07:37:55 GMT""}]","2014-10-13"
"astro-ph/9711022","Nami Mowlavi","Nami Mowlavi (Geneva Observatory)","Nucleosynthesis in Low- and Intermediate-Mass Stars: An Overview","10 pages, 3 figures, Latex, uses aipproc and epsfig packages; ps file
  available ftp://obsftp.unige.ch/pub/mowlavi/nuclgen.ps; to appear in Tours
  Symposium on Nuclear Physics, Ed. H. Utsunomiya, AIP 1997",,,,"astro-ph nucl-th",,"  An overview of the main phases of the evolution of low- and intermediate-mass
stars is presented, and the different types of nucleosynthesis operating from
the pre-main sequence up to and including the asymptotic giant branch phase
described. The surface abundance modifications brought by each nucleosynthesis
process is also briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 07:13:24 GMT""}]","2007-05-23"
"astro-ph/9711023","A. Khare","Snigdha Das and Pushpa Khare","Intergalactic UV Background Radiation Field","To be published in the Journal of Astronomy and Astrophysics aasms, 2
  figures, 2 tables. Paper replaced to include the figures",,"10.1007/BF02714874",,"astro-ph",,"  We have performed proximity effect analysis of low and high resolution data,
considering detailed frequency and redshift dependence of the AGN spectra
processed through galactic and intergalactic material. We show that such a
background flux, calculated using the observed distribution of AGNs, falls
short of the value required by the proximity effect analysis by a factor of
$\ge$ 2.7. We have studied the uncertainty in the value of the required flux
due to its dependence on the resolution, description of column density
distribution, systemic redshifts of QSOs etc. We conclude that in view of these
uncertainties the proximity effect is consistent with the background
contributed by the observed AGNs and that the hypothesized presence of an
additional, dust extinct, population of AGNs may not be necessary.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 07:44:51 GMT""},{""version"":""v2"",""created"":""Sat, 8 Nov 1997 10:15:32 GMT""}]","2009-10-30"
"astro-ph/9711024","Ennio Poretti","Ennio Poretti (Osservatorio Astronomico di Brera)","The frequency content of Double-Mode Cepheids light curves and the
  importance of the cross-coupling terms","6 pages, 4 ps figures. To be published in the Proceedings of the
  XXIII IAU General Assembly - Joint Discussion 24 (Kyoto, August 1997), M.
  Takeuti and D. Sasselov (Eds)",,,,"astro-ph",,"  The recent results (Pardo & Poretti 1997, A&A 324, 121; Poretti & Pardo 1997,
A&A 324, 133) obtained on the frequency content of Double-Mode Cepheids light
curves and the properties of their Fourier parameters are reviewed. Some points
briefly discussed in previous papers (no third periodicity, methodological
aspects on the true peaks detection, the action of the cross coupling terms and
the impact on theoretical models) are described.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 07:53:13 GMT""}]","2009-09-25"
"astro-ph/9711025","Nami Mowlavi","Nami Mowlavi (1), Stephane Goriely (2), Marcel Arnould (2) ((1) Geneva
  Observatory, (2) IAA, Universite Libre de Bruxelles)","The survival of 205Pb in intermediate-mass AGB stars","10 pages, 10 figures, Latex A&A, ps file available at
  ftp://obsftp.unige.ch/pub/mowlavi/pbtl.ps; accepted for publication in A&A",,,,"astro-ph",,"  The now extinct 205Pb is a pure s-process radionuclide (t_{1/2} = 1.5x10^7 y)
of possible substantial cosmochemical interest. As a necessary complement to
the detailed theoretical study of the nuclear physics and astrophysics aspects
of the 205Pb - 205Tl pair carried out by Yokoi et al. (1985), and to the recent
calculation of the 205Pb production in Wolf-Rayet stars by Arnould et al.
(1997), this paper addresses for the first time in some detail the question of
the survival of this radionuclide in thermally pulsing AGB stars. This problem
is made difficult by the high sensitivity to temperature and density of the
rates of the weak interaction processes that are able to produce or destroy
205Pb. In view of this sensitivity, a recourse to detailed stellar models is
mandatory. With the help of some simplifying assumptions concerning in
particular the third dredge-up characteristics, some of which (like its depth)
being considered as free parameters, predictions are made for the 205Pb
contamination of the stellar surface at the end of a pulse-interpulse cycle
following a series of a dozen of pulses in three different intermediate-mass
stars (M=3M_sun,Z=0.02; M=6M_sun,Z=0.02; M=3M_sun,Z=0.001). It is concluded
that the chances for a significant 205Pb surface enrichment are likely to
increase with M for a given Z, or to increase with decreasing Z for a given M.
More specifically, following the considered pulses at least, the enrichment
appears to be rather unlikely in the 3M_sun star with Z=0.02, while it seems to
be much more probable in the other two considered stars. It is also speculated
that the (3M_sun,Z=0.02) star could possibly experience some 205Pb enrichment
following later pulses than the ones considered in this paper.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 08:07:16 GMT""}]","2007-05-23"
"astro-ph/9711026","Masaaki Morita","Masaaki Morita, Kouji Nakamura, and Masumi Kasai","Relativistic Zel'dovich approximation in spherically symmetric model","22 pages including 10 eps figures, REVTeX","Phys.Rev.D57:6094-6103,1998; Erratum-ibid.D58:089903,1998","10.1103/PhysRevD.57.6094 10.1103/PhysRevD.58.089903","TIT/HEP-380/COSMO-87","astro-ph gr-qc",,"  We compare relativistic approximation methods, which describe gravitational
instability in the expanding universe, in a spherically symmetric model. Linear
perturbation theory, second-order perturbation theory, relativistic Zel'dovich
approximation, and relativistic post-Zel'dovich approximation are considered
and compared with the Lema\^{\i}tre-Tolman-Bondi solution in order to examine
the accuracy of these approximations. We consider some cases of inhomogeneous
matter distribution while the homogeneous top-hat model has been usually taken
in the previous Newtonian works. It is found that the Zel'dovich-type
approximations are generally more accurate than the conventional perturbation
theories in the weakly nonlinear regime. Applicable range of the
Zel'dovich-type approximations is also discussed.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 09:47:12 GMT""}]","2014-10-13"
"astro-ph/9711027","Ennio Poretti","E. Poretti, S. Campana, O. Citterio, P. Conconi, M. Ghigo, F.
  Mazzoleni, G. Tagliaferri (Osservatorio Astronomico di Brera), G. Cusumano,
  G. La Rosa (CNR Palermo), W. Brauninger, W. Burkert (MPI), C.M. Castelli, R.
  Willingale (Leicester University)","Final performances of the X-ray Mirrors of the JET-X telescope","2 pages, 1 ps figure. To be published in the Proceedings of the IAU
  Symposium 188 THE HOT UNIVERSE, held in Kyoto (August 26-30, 1997) in
  occasion of the XXIII IAU General Assembly",,,,"astro-ph",,"  The Joint European Telesscope (JET-X) is one of the core scientific
instruments of the SPECTRUM-X-Gamma mission. JET-X was designed to study X-ray
emissions in the band 0.3-10 KeV. Its angular resolution is better than 20
arcsec; the values of the effective areas are 161 cm2 at 1.5 KeV and 69 cm2 at
8 Kev (for one telescope). The value of the HEW circle in function of the
off-axis angle is presented; it is found to be below 20 arcsec at 1.5 Kev and
around 23 arcsec at 8 KeV up to an off-axis angle of 12 arcmin.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 11:13:45 GMT""}]","2007-05-23"
"astro-ph/9711028","Anthony Challinor","A.D. Challinor and A.N. Lasenby","Recent developments in the calculation of CMB anisotropies","35 pages, 6 figures. Minor corrections to version to appear in N.
  Sanchez, editor, ``Current Topics in Astrofundamental Physics (1997)'',
  Kluwer Academic, 1998",,,,"astro-ph",,"  We discuss three recent developments in the calculation of CMB anisotropies.
First, we consider relativistic corrections to the Sunyaev-Zel'dovich effect.
By extending the Kompaneets equation to the relativistic domain we are able to
derive simple analytic forms for the SZ spectral distortion. Second, we discuss
covariant kinetic theory methods for the gauge-invariant calculation of CMB
anisotropies. We present a covariant version of the Boltzmann equation which we
use to derive covariant and gauge-invariant equations describing a CDM model,
which are independent of background curvature and type of perturbation (scalar,
vector or tensor). By integrating the covariant Boltzmann equation along the
line of sight, and using the instantaneous recombination approximation, we
obtain an expression for the large-scale anisotropy which agrees with an
expression derived recently by Dunsby. Third, we discuss recent accurate
calculations of the CMB anisotropy in global defect models of cosmic structure
formation. In such models the effects of vector modes are significant and when
combined with the effects of decoherence lead to a suppression of the Doppler
peaks. The result is that global defect models may already be at variance with
the growing volume of CMB and large scale structure data.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 11:50:49 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 1997 16:03:02 GMT""},{""version"":""v3"",""created"":""Fri, 21 Nov 1997 16:42:41 GMT""}]","2009-09-25"
"astro-ph/9711029","Roberto Mignani","P. A. Caraveo (1), M.G. Lattanzi (2), G. Massone (2), R. P. Mignani
  (3), V.V. Makarov (4), M.A.C. Perryman (5) and G. F. Bignami (6,1) ((1)
  Istituto di Fisica Cosmica del CNR, Milano, Italy (2) Osservatorio
  Astronomico di Torino, 10025 Pino Torinese, Italy (3) Max-Plack-Institute
  f\""ur Extraterrestrische Physik, Garching, Germany (4) Copenhagen University
  Observatory, Copenhagen, Denmark (5) Astrophysics Division, ESTEC, Noordwijk,
  The Netherlands (6) Agenzia Spaziale Italiana, Roma, Italy)","Hipparcos Positioning of Geminga : How and Why","4 pages, Latex, 2 postscript figures, Accepted for publication in
  Astronomy and Astrophysics",,,,"astro-ph",,"  Accuracy in the absolute position in the sky is one of the limiting factors
for pulsar timing, and timing parameters have a direct impact on the
understanding of the physics of Isolated Neutron Stars (INS). We report here on
a high-accuracy measurement of the optical position of Geminga (V=25.5), the
only known radio-quiet INS. The procedure combines the Hipparcos and Tycho
catalogues, ground-based astrometric data,and Hubble Space Telescope (HST) Wide
Field Planetary Camera (WFPC2) images, to yield Geminga's absolute position to
within ~40 mas (per coordinate). Such a positional accuracy, unprecedented for
the optical position of a pulsar or an object this faint, is needed to combine
in phase gamma-ray photons collected over more than 20 years, i.e. over 2.5
billions of star' revolutions. Although quite a difficult task, this is the
only way to improve our knowledge of the timing parameters of this radio silent
INS.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 12:44:27 GMT""}]","2007-05-23"
"astro-ph/9711030","Thomas Buchert","Thomas Buchert","A fresh look at the adhesion approximation","LaTeX2e 2 pages; uses sprocl.sty, to appear in 12th Potsdam cosmology
  workshop","World Scientific, V. Mueller et al. (eds.) (1998), 295-296",,,"astro-ph",,"  I report on a systematic derivation of the phenomenological ``adhesion
approximation'' from gravitational instability together with a brief evaluation
of the related status of analytical modeling of large-scale structure.
","[{""version"":""v1"",""created"":""Tue, 4 Nov 1997 13:43:08 GMT""}]","2007-05-23"
