"alg-geom/9711021","Gerard Laumon","G. Laumon and M. Rapoport","A geometric approach to the fundamental lemma for unitary groups","44 pages, Plain TeX",,,"Preprint Mathematisches Institut der Universitaet zu Koeln 11-97","alg-geom math.AG",,"  We consider from a geometric point of view the conjectural fundamental lemma
of Langlands and Shelstad for unitary groups over a local field of positive
characteristic. We introduce projective algebraic varieties over the finite
residue field $k$ and interpret the conjecture in this case as a remarkable
identity between the number of $k$-rational points of them. We prove the
corresponding identity for the numbers of $k_f$-rational points, for any
extension of even degree $f$ of $k$. The proof uses the local intersection
theory on a regular surface and Deligne's theory of intersection multiplicities
with weights. We also discuss a possible descent argument that uses $\ell$-adic
cohomology to treat extensions of odd degree as well.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:08:53 GMT""}]","2007-05-23"
"astro-ph/9711212","Matthew Baring","Ocker C. de Jager and Matthew G. Baring","Supernova Remnants and Plerions in the Compton Gamma-Ray Observatory Era","21 pages, including 4 eps figures, invited review, to appear in Proc.
  4th Compton Symposium, (1997) ed. Dermer, C. D. & Kurfess, J. D. (AIP, New
  York)",,"10.1063/1.54028",,"astro-ph",,"  Due to observations made by the Compton Gamma-Ray Observatory over the last
six years, it appears that a number of galactic supernova remnants may be
candidates for sources of cosmic gamma-rays. These include shell-type remnants
such as IC443 and $\gamma$ Cygni, which have no known parent pulsars, but have
significant associations with unidentified EGRET sources, and others that
appear to be composite, where a pulsar is embedded in a shell (e.g. W44 and
Vela), or are purely pulsar-driven, such as the Crab Nebula. This review
discusses our present understanding of gamma-ray production in plerionic and
non-plerionic supernova remnants, and explores the relationship between such
emission and that in other wavebands. Focuses include models of the Crab and
Vela nebulae, the composite nature of W44, the relationship of shell-type
remnants to cosmic ray production, the relative importance of shock-accelerated
protons and electrons, constraints on models placed by TeV, X-ray and radio
observations, and the role of electrons injected directly into the remnants by
parent pulsars.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 23:23:35 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 01:59:24 GMT""}]","2009-10-30"
"astro-ph/9711213","Caroline Terquem","C. Terquem (1), J.C.B. Papaloizou (2), R.P. Nelson (2) and D.N.C. Lin
  (1) ((1) UCSC, (2) QMW, London)","Oscillations in solar-type stars tidally induced by orbiting planets","5 pages with 1 Postscript figure, LaTeX. To be published in the
  Proceedings of the IXemes Rencontres de Blois ""Planetary Systems: The Long
  View"" (Blois, June 1997), Editions Frontieres",,,,"astro-ph",,"  We examine the effect of dynamical tides raised by a companion on a
solar-type star. In these binaries, gravity or g mode oscillations are excited
by the companion in the radiative region beneath the convective envelope of the
star. They become evanescent in the convection zone. This is of particular
interest in connection with the newly discovered planets, some of which are
found to orbit around solar-type stars with a period comparable to that of the
high order g modes of the star. One such example is 51 Pegasi. Here, we
determine the magnitude of the perturbed velocity induced by the tides at the
stellar surface. We show that, in the case of 51 Pegasi, this velocity is too
small to be observed. This result is insensitive to the magnitude of the
stellar turbulent viscosity assumed and is not affected by the possibility of
resonance, which occurs when the frequency of the tidal disturbance is close to
that of some normal mode of the star. We also discuss the orbital evolution and
synchronization timescales associated with the tidal interaction.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 00:18:47 GMT""}]","2007-05-23"
"astro-ph/9711215","Mauro Orlandini","M. Orlandini (1), D. Dal Fiume (1), F. Frontera (1), G. Cusumano (2),
  S. Del Sordo (2), S. Giarrusso (2), S. Piraino (2), A. Segreto (2), M.
  Guainazzi (3), L. Piro (4) ((1) TeSRE/CNR Bologna, (2) IFCAI/CNR Palermo,
  BeppoSAX/SDC Rome, IAS/CNR Rome)","The Vela X-1 pulse-averaged spectrum as observed by BeppoSAX","6 pages, 4 PostScript figures. Uses l-aa.sty. Accepted for
  publication in Astronomy & Astrophysics, Main Journal",,,,"astro-ph",,"  We report on the 20 ksec observation of Vela X-1 performed by BeppoSAX on
1996 July 14 during its Science Verification Phase. We observed the source in
two intensity states, characterized by a change in luminosity of a factor ~ 2,
and a change in absorption of a factor ~ 10. The single Narrow Field Instrument
pulse-averaged spectra are well fit by a power law with significantly different
indices. This is in agreement with the observed changes of slope in the
wide-band spectrum: a first change of slope at ~ 10 keV, and a second one at ~
35 keV. To mimic this behaviour we used a double power law modified by an
exponential cutoff --- the so-called NPEX model --- to fit the whole 2-100 keV
continuum. This functional is able to adequately describe the data, expecially
the low intensity state. We found an absorption-like feature at ~ 57 keV, very
well visible in the ratio performed with the Crab spectrum. We interpreted this
feature as a cyclotron resonance, corresponding to a neutron star surface
magnetic strength of 4.9 x 10^12 Gauss. The BeppoSAX data do not require the
presence of a cyclotron resonance at ~ 27 keV as found in earlier works.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 09:51:27 GMT""}]","2007-05-23"
"astro-ph/9711216","Armando Perez","L. B. Leinson and A. Perez","Direct URCA process in neutron stars with strong magnetic fields","9 pages, 3 figures",,"10.1088/1126-6708/1998/09/020","FTUV/98-42 and IFIC/98-43","astro-ph hep-ph",,"  We calculate the emissivity for the direct URCA process in strongly
magnetized, degenerate matter in neutron stars, under $\beta $-equilibrium. We
show that, if the magnetic field is large enough for protons and electrons to
be confined to the ground Landau levels, the field-free threshold condition on
proton concentration no longer holds, and direct URCA reactions are open for an
arbitrary proton concentration. Direct URCA process leads to an early phase of
fast neutron star cooling. This circumstance allows us to constrain the initial
magnetic field inside observed pulsars.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 10:29:52 GMT""},{""version"":""v2"",""created"":""Mon, 25 May 1998 10:35:52 GMT""}]","2009-10-30"
"astro-ph/9711217","Matthew Baring","Matthew G. Baring and Alice K. Harding","The Escape of High-Energy Photons from Gamma-Ray Bursts","51 pages, including 8 eps figures, to appear in ApJ, December 20 1997",,"10.1086/304982",,"astro-ph",,"  Eleven bright gamma-ray bursts (GRBs) detected by BATSE have also been seen
at much higher energies by EGRET, six at energies above 10 MeV. Such
observations imply that these bursts are optically thin to photon-photon pair
production at all observed energies. For bursts more than about 30pc away,
internal transparency can be achieved only if the source is moving with a
relativistic bulk Lorentz factor $\Gamma\gg 1$, or if the radiation is highly
beamed. Early calculations of $\gamma\gamma\to e^+e^-$ considerations for GRBs
were limited to cases of a beam with opening half-angle $\Thetab\sim 1/\Gamma$,
or expansions of infinitely thin spherical shells. This paper presents our
extension of pair production optical depth calculations in relativistically
expanding sources to more general geometries, including shells of finite
thickness and arbitrary opening angle. The problem is reduced analytically to a
single integral in the broadly applicable case of observing photons along the
axis of the expansion. We find that the minimum bulk Lorentz factor for the
EGRET sources to be optically thin is only moderately dependent on the shell
thickness and virtually independent of its opening solid angle if
$\Thetab\gtrsim 1/\Gamma$. This insensitivity to $\Thetab$ relieves the
commonly-perceived number problem for non-repeating sources at cosmological
distances, i.e. it is not necessary to invoke small $\Thetab$ to effect photon
escape.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 13:57:54 GMT""}]","2009-10-30"
"chao-dyn/9711018","Hans Henrik Rugh","Torsten Fischer, Hans Henrik Rugh","Transfer Operators for Coupled Analytic Maps","44 pages, Latex + 2 post script figures",,,,"chao-dyn nlin.CD",,"  We consider analytic coupled map lattices over $\Z^d$ with exponentially
decaying interaction. We introduce Banach spaces for the infinite-dimensional
system that include measures with analytic, exponentially bounded finite
dimensional marginals. Using residue calculus and `cluster expansion'-like
techniques we define transfer operators on these Banach spaces. For these we
get a unique probability measure that exhibits exponential decay of
correlations.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 18:00:48 GMT""}]","2007-05-23"
"cmp-lg/9711005","John Bateman","John A. Bateman (Language and Communication Research Centre, Dept. of
  English Studies, University of Stirling, Scotland)","Some apparently disjoint aims and requirements for grammar development
  environments: the case of natural language generation","9 pages, EPS figures, uses: aclap.sty, psfig.sty Paper presented at
  the ACL/EACL'97 Madrid Workshop on Computational Environments for Grammar
  Development and Linguistic Engineering",,,,"cmp-lg cs.CL",,"  Grammar development environments (GDE's) for analysis and for generation have
not yet come together. Despite the fact that analysis-oriented GDE's (such as
ALEP) may include some possibility of sentence generation, the development
techniques and kinds of resources suggested are apparently not those required
for practical, large-scale natural language generation work. Indeed, there is
no use of `standard' (i.e., analysis-oriented) GDE's in current
projects/applications targetting the generation of fluent, coherent texts. This
unsatisfactory situation requires some analysis and explanation, which this
paper attempts using as an example an extensive GDE for generation. The support
provided for distributed large-scale grammar development, multilinguality, and
resource maintenance are discussed and contrasted with analysis-oriented
approaches.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 15:37:35 GMT""}]","2007-05-23"
"cmp-lg/9711006","Paolo Baggia","Paolo Baggia, Morena Danieli, Elisabetta Gerbino, Loreta M. Moisa and
  Cosmin Popovici (CSELT - Turin, Italy)","Contextual Information and Specific Language Models for Spoken Language
  Understanding","6 pages, Latex, uses aclap.sty","Proceedings of SPECOM'97, Cluj-Napoca, Romania, pp. 51-56",,,"cmp-lg cs.CL",,"  In this paper we explain how contextual expectations are generated and used
in the task-oriented spoken language understanding system Dialogos. The hard
task of recognizing spontaneous speech on the telephone may greatly benefit
from the use of specific language models during the recognition of callers'
utterances. By 'specific language models' we mean a set of language models that
are trained on contextually appropriated data, and that are used during
different states of the dialogue on the basis of the information sent to the
acoustic level by the dialogue management module. In this paper we describe how
the specific language models are obtained on the basis of contextual
information. The experimental result we report show that recognition and
understanding performance are improved thanks to the use of specific language
models.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 15:52:52 GMT""}]","2007-05-23"
"cond-mat/9711170","Jamil Tahir-Kheli","Jamil Tahir-Kheli","Inter-Band Pairing Theory of Superconductivity","TeX (28 pages) plus PostScript figures file (2 pages)",,"10.1103/PhysRevB.58.12307","FPR-97-02","cond-mat.supr-con cond-mat.mtrl-sci",,"  A model for high temperature superconductors based on the idea of Cooper
pairs comprised of electrons from different bands is studied. We propose that
the two bands relevant for the cuprates are comprised of Cu dx2-y2, dz2, planar
O psigma, and apical O pz orbitals. Along the diagonal, kx=ky in the Brillouin
zone, the two band Fermi surfaces may cross. We associate the optimal doping
for the highest Tc with this point because only in the vicinity of this
touching point are inter-band Cooper pairs energetically possible. Due to the
lack of time reversal invariance of an inter-band Cooper pair with itself, the
standard interpretation of Josephson tunneling is altered such that the
detailed nature of the single particle tunneling matrix elements contributes to
the supercurrent. The dx2-y2 gap observations from Josephson tunneling are
shown to arise from our model with pairing due to phonons. A Hubbard model is
written down for the two bands at the Fermi energy with realistic parameters
for LaSrCuO. The anomalous normal state features in the nmr are calculated and
qualitatively explained as due to the character of the two bands in the
vicinity of the crossing point. The Hall effect is calculated using standard
Bloch-Boltzmann transport theory. The observed strong temperature dependence of
the Hall coefficient is reproduced and is due to the strong reshaping of the
current carrying band Fermi surface due to band repulsion with the other band
for dopings very close to the Fermi surface touching point. Reasonable
quantitative agreement is also obtained for the nmr and Hall effect. A linear
resistivity at optimal doping is expected due to the proximity of the second
band in k space which can strongly relax the current and the ""smallness"" of the
current carrying Fermi surface.
","[{""version"":""v1"",""created"":""Wed, 19 Nov 1997 00:18:11 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 07:38:17 GMT""}]","2009-10-30"
"cond-mat/9711177","Joseph E. Avron","J. E. Avron and P. G. Zograf","Geometric Forces on Point Fluxes in Quantum Hall Fluids",,"J. Stat. Phys. 92, 1193-1201, (1998)","10.1023/A:1023013231163",,"cond-mat.mes-hall",,"  We study the forces that act on a point flux carrying an integral number of
flux units in quantum Hall fluids. Forces due to external fields, Lorentz and
Magnus type forces, and the forces due to mutual interaction of point fluxes
are considered. The forces are related to the adiabatic curvature associated
with families of Landau Hamiltonians. The problem displays distinct features of
the quantum Hall fluids with point fluxes on the plane and on the torus, which,
however, agree at the thermodynamic limit.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 17:09:32 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 13:39:36 GMT""}]","2015-06-25"
"cond-mat/9711178","Norbert Elstner","H. Monien, M. Linn, and N. Elstner (University of Bonn)","Is a Trapped One-Dimensional Bose Gas a Luttinger Liquid?","4 pages (revtex), 1 figure (eps file)",,"10.1103/PhysRevA.58.R3395",,"cond-mat",,"  The low-energy fluctuations of a trapped, interacting quasi one-dimensional
Bose gas are studied. Our considerations apply to experiments with highly
anisotropic traps. We show that under suitable experimental conditions the
system can be described as a Luttinger liquid. This implies that the
correlation function of the bosons decays algebraically preventing
Bose-Einstein condensation. At significantly lower temperatures a finite size
gap destroys the Luttinger liquid picture and Bose-Einstein condensation is
again possible.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 18:56:20 GMT""}]","2009-10-30"
"cond-mat/9711179","Susan Krumplitsch","D. S. Fisher (Physics Department, Harvard University)","Collective Transport: From Superconductors to Earthquakes","56 pages, 11 postscript figures, to be published in NATO Statistical
  Physics Summer School Lectures on ""Fundamental Problems in Statistical
  Mechanics IX"", held in Altenberg, Germany, August 20-23, 1997",,"10.1016/S0370-1573(98)00008-8",,"cond-mat",,"  In these lectures, a variety of non-equilibrium transport phenomena are
introduced that all involve, in some way, elastic manifolds being driven
through random media. A simple class of models is studied focussing on the
behavior near to the critical ``depinning'' force above which persistent motion
occurs in these systems. A simple mean field theory and a ``toy'' model of
``avalanche'' processes are analyzed and used to motivate the general scaling
picture found in recent renormalization group studies. The general ideas and
results are then applied to various systems: sliding charge density waves,
critical current behavior of vortices in superconductors, dynamics of cracks,
and simple models of a geological fault. The roles of thermal fluctuations,
defects, inertia, and elastic wave propagation are all discussed briefly.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 19:36:47 GMT""}]","2015-06-25"
"cond-mat/9711180","Rodrigo Arias","Rodrigo Arias (Universidad de Chile) and Fernando Lund (Universidad de
  Chile)","Excitation of normal modes of a thin elastic plate by moving
  dislocations","Latex, 13 pages, submitted to Wave Motion",,,,"cond-mat.mtrl-sci",,"  We study the excitation of harmonic waves in thin elastic samples by a single
dislocation in arbitrary motion. We consider both screw and edge dislocations
that move perpendicularly to the surfaces of the layer. In Fourier space the
displacement velocity and dynamic stress fields generated by the motion of the
dislocations are factored as the product of two terms: one depends on the
motion of the dislocation only, while the other is independent of it, and
represents the medium's response. The latter term exhibits poles at frequencies
that satisfy the dispersion relation of the harmonic modes of the plate. In the
case of a screw dislocation the modes that are excited are a subfamily of the
antisymmetric Rayleigh-Lamb modes. For an edge dislocation a subfamily of the
symmetric Rayleigh-Lamb modes is excited, as well as the lowest lying shear
mode. The expression corresponding to a uniformly moving screw is worked out in
detail; it has singular behavior at velocities coincident with the phase
velocities of the allowed modes.
","[{""version"":""v1"",""created"":""Tue, 18 Nov 1997 19:48:23 GMT""}]","2007-05-23"
