"alg-geom/9711019",,"Victor V. Batyrev","Stringy Hodge numbers and Virasoro algebra","10 pages, AMSLaTeX",,,,"alg-geom hep-th math.AG",,"  Let $X$ be an arbitrary smooth $n$-dimensional projective variety. It was
discovered by Libgober and Wood that the product of the Chern classes
$c_1(X)c_{n-1}(X)$ depends only on the Hodge numbers of $X$. This result has
been used by Eguchi, Jinzenji and Xiong in their approach to the quantum
cohomology of $X$ via a representation of the Virasoro algebra with the central
charge $c_n(X)$. In this paper we define for singular varieties $X$ a rational
number $c_{st}^{1,n-1}(X)$ which is a stringy version of the number
$c_1c_{n-1}$ for smooth $n$-folds. We show that the number $c_{st}^{1,n-1}(X)$
can be expressed in the same way using the stringy Hodge numbers of $X$. Our
results provides an evidence for the existence of an approach to quantum
cohomology of singular varieties $X$ via a representation of the Virasoro
algebra whose central charge is the rational number $e_{st}(X)$ which equals
the stringy Euler number of $X$.
","[{""version"":""v1"",""created"":""Sun, 16 Nov 1997 22:03:30 GMT""}]","2007-05-23"
"chao-dyn/9711017","Eduardo Mucciolo","Alfredo M. Ozorio de Almeida, Caio H. Lewenkopf, and Eduardo R.
  Mucciolo","Semiclassical limit of universal parametric density correlations","19 pages, RevTeX 3.0, minor changes in the text",,"10.1103/PhysRevE.58.5693","MC-97/11","chao-dyn nlin.CD",,"  Reviewing the semiclassical theory for the parametric level density
fluctuations, we show that for large parametric changes the density correlation
function, after rescaling, becomes universal and coincides with the leading
asymptotic term obtained from Random Matrix Theory. The advantage of the
semiclassical approach is to provide a simple recipe for the calculation of the
non-universal scaling parameter from elements of the underlying classical
dynamics specific to the system. We discuss recent improvements of the theory,
which introduce a requantization of the smoothed level density.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:09:50 GMT""},{""version"":""v2"",""created"":""Mon, 15 Dec 1997 14:33:29 GMT""}]","2009-10-30"
"cmp-lg/9711003","Christopher D. Manning","Christopher D. Manning (University of Sydney) and Bob Carpenter
  (Lucent Technologies Bell Labs)","Probabilistic Parsing Using Left Corner Language Models","12 pages, uses iwpt97.sty","Proceedings of the Fifth International Workshop on Parsing
  Technologies, MIT, Boston MA, 1997",,,"cmp-lg cs.CL",,"  We introduce a novel parser based on a probabilistic version of a left-corner
parser. The left-corner strategy is attractive because rule probabilities can
be conditioned on both top-down goals and bottom-up derivations. We develop the
underlying theory and explain how a grammar can be induced from analyzed data.
We show that the left-corner approach provides an advantage over simple
top-down probabilistic context-free grammars in parsing the Wall Street Journal
using a grammar induced from the Penn Treebank. We also conclude that the Penn
Treebank provides a fairly weak testbed due to the flatness of its bracketings
and to the obvious overgeneration and undergeneration of its induced grammar.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 01:17:47 GMT""}]","2007-05-23"
"cond-mat/9711151","G. Esirgen","G. Esirgen and N. E. Bickers","Fluctuation Exchange Analysis of Superconductivity in the Standard
  Three-Band CuO2 Model","REVTex and PostScript, 31 pages, 26 figures; to appear in Phys. Rev.
  B (1998); only revised EPS figures 3, 4, 6a, 6b, 6c, 7 and 8 to correct
  disappearance of some labels due to technical problems","G. Esirgen and N. E. Bickers, Phys. Rev. B 57, 5376 (1998).","10.1103/PhysRevB.57.5376","University of Southern California Preprint USC-97-014","cond-mat.supr-con cond-mat.str-el",,"  The fluctuation exchange, or FLEX, approximation for interacting electrons is
applied to study instabilities in the standard three-band model for CuO2 layers
in the high-temperature superconductors. Both intra-orbital and near-neigbor
Coulomb interactions are retained. The filling dependence of the d(x2-y2)
transition temperature is studied in both the ""hole-doped"" and ""electron-doped""
regimes using parameters derived from constrained-occupancy density-functional
theory for La2CuO4. The agreement with experiment on the overdoped hole side of
the phase diagram is remarkably good, i.e., transitions emerge in the 40 K
range with no free parameters. In addition the importance of the ""orbital
antiferromagnetic,"" or flux phase, charge density channel is emphasized for an
understanding of the underdoped regime.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 04:00:37 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 05:14:27 GMT""}]","2009-10-30"
"cond-mat/9711152","Saburo Higuchi","Saburo Higuchi (Univ. of Tokyo, Komaba)","Field theoretic approach to the counting problem of Hamiltonian cycles
  of graphs","5 pages, 3 figures, uses epsf.sty. Estimates for the site entropy and
  the gamma exponent indicated explicitly","Phys.Rev.E58(1998)128-132","10.1103/PhysRevE.58.128","UT-KOMABA/97-12","cond-mat.stat-mech cond-mat.soft hep-lat hep-th physics.chem-ph",,"  A Hamiltonian cycle of a graph is a closed path that visits each site once
and only once. I study a field theoretic representation for the number of
Hamiltonian cycles for arbitrary graphs. By integrating out quadratic
fluctuations around the saddle point, one obtains an estimate for the number
which reflects characteristics of graphs well. The accuracy of the estimate is
verified by applying it to 2d square lattices with various boundary conditions.
This is the first example of extracting meaningful information from the
quadratic approximation to the field theory representation.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 09:19:32 GMT""},{""version"":""v2"",""created"":""Thu, 11 Dec 1997 09:27:15 GMT""},{""version"":""v3"",""created"":""Wed, 8 Apr 1998 03:02:43 GMT""},{""version"":""v4"",""created"":""Tue, 21 Jul 1998 06:23:54 GMT""}]","2009-10-30"
"cond-mat/9711153","Masatoshi Imada","Masatoshi Imada (ISSP, Univ. Tokyo)","Suppressed Coherence due to Orbital Correlations in the
  Ferromagnetically Ordered Metallic Phase of Mn Compounds","4 pages LaTeX using jpsj.sty. To appear in J. Phys. Soc. Jpn.
  67(1998)No.1",,"10.1143/JPSJ.67.45",,"cond-mat.str-el",,"  Small Drude weight $D$ together with small specific heat coefficient $\gamma$
observed in the ferromagnetic phase of R$_{1-x}$A$_x$MnO$_3$ (R=La, Pr, Nd, Sm;
A=Ca, Sr, Ba) are analyzed in terms of a proximity effect of the Mott
insulator. The scaling theory for the metal-insulator transition with the
critical enhancement of orbital correlations toward the staggered ordering of
two $e_g$ orbitals such as $3x^2-r^2$ and $3y^2-r^2$ symmetries may lead to the
critical exponents of $D \propto \delta^{u}$ and $\gamma \propto \delta^v$ with
$u=3/2$ and $v=0$. The result agrees with the experimental indications.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 09:27:23 GMT""}]","2009-10-30"
"cond-mat/9711154","Ute Pustogowa","U. Pustogowa, W. Hubner, and K. H. Bennemann (Free University Berlin,
  Germany)","The origin of the 90 degree magneto-optical Kerr rotation in CeSb","6 pages, REVTEX, 5 eps figures",,"10.1016/S0038-1098(98)00143-4",,"cond-mat.mtrl-sci",,"  We calculate the linear magneto-optical Kerr rotation for CeSb in the
near-infrared spectral range. Using an exact formula for large Kerr rotation
angles and a simplified electronic structure of CeSb we find at \hbar \omega =
0.46 eV a Kerr rotation of 90 degree which then for decreasing \omega jumps to
-90 degree as recently observed. We identify the general origin of possible 180
degree polarization rotations as resulting from mainly nonmagnetic optical
properties, in particular from the ratio of the dominant interband resonance
frequency to the plasma frequency. The dependence of the Kerr rotation on
moments and magnetization is discussed.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 11:39:37 GMT""}]","2009-10-30"
"cond-mat/9711155","Rodrigo Arias","Rodrigo Arias (Universidad de Chile) and Fernando Lund (Universidad de
  Chile)","Elastic fields of stationary and moving dislocations in three
  dimensional finite samples","Latex, 15 pages, submitted to J. Mech. Phys. Sol",,,,"cond-mat.mtrl-sci",,"  Integral expressions are determined for the elastic displacement and stress
fields due to stationary or moving dislocation loops in three dimensional, not
necessarily isotropic, finite samples. A line integral representation is found
for the stress field, thus satisfying the expectation that stresses should
depend on the location of the dislocation loop, but not on the location of
surfaces bounded by such loops that are devoid of physical significance. In the
stationary case the line integral representation involves a ``vector
potential'' that depends on the specific geometry of the sample, through its
Green's function: a specific combination of derivatives of the elastic stress
produced by the Green's function appropriate for the sample is divergenceless,
so it is the curl of this ``vector potential''. This ``vector potential'' is
explicitely determined for an isotropic half space and for a thin plate.
Earlier specific results in these geometries are recovered as special cases. In
the non stationary case a line integral representation can be obtained for the
time derivative of the stress field. This, combined with the static result,
assures a line integral representation for the time dependent stress field.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 12:54:56 GMT""}]","2007-05-23"
"cond-mat/9711156","Vladimir Plechko","R. Hayn (Dresden University) and V.N. Plechko (JINR Dubna)","Grassmann Variables and Exact Solutions for Two-Dimensional Dimer Models","LaTeX, 1 + 10 pages, no figures. A talk given at the VIII
  International Conference on Symmetry Methods in Physics, JINR, Dubna, Russia,
  July 28 - August 2, 1997, to appear in the proceedings","Yad. Fiz. 61 (1998) 2080-2084 [Phys.At.Nucl. 61 (1998) 1972-1977]",,,"cond-mat.stat-mech hep-lat hep-th",,"  We discuss some aspects of a new noncombinatorial fermionic approach to the
two-dimensional dimer problem in statistical mechanics based on the integration
over anticommuting Grassmann variables and factorization ideas for dimer
density matrix. The dimer partition function can be expressed as a Gaussian
fermionic integral. For regular lattices, the analytic solution then follows by
passing to the momentum space for fermions.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 14:15:47 GMT""}]","2007-05-23"
"cond-mat/9711157","Daniel F. Agterberg","Daniel F. Agterberg and M. Sigrist","Asymmetric magnetic interference patterns in 0-pi Josephson junctions","4 pages, 3 figures",,"10.1103/PhysRevLett.80.2689",,"cond-mat.supr-con",,"  We examine the magnetic interference patterns of Josephson junctions with a
region of 0- and of pi-phase shift. Such junctions have recently been realized
as c-axis YBCO-Pb junctions with a single twin boundary in YBCO. We show that
in general the junction generates self-fields which introduces an asymmetry in
the critical current under reversal of the magnetic field. Numerical
calculations of these asymmetries indicate they account well for the
unexplained features observed in single twin boundary junctions.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 13:28:21 GMT""}]","2009-10-30"
"cond-mat/9711158","Tapash Chakraborty","Tapash Chakraborty (Max-Planck Institut f\""ur Physik Komplexer
  Systeme, Dresden, Germany), K. Niemel\""a and P. Pietil\""ainen (Theoretical
  Physics, University of Oulu, Finland)","Impurity Effects and Spin Polarizations in a Narrow Quantum Hall System","4 pages, REVTEX, and 4 .ps files",,"10.1103/PhysRevB.58.9890",,"cond-mat.mes-hall",,"  The temperature dependence of electron spin polarization for a narrow quantum
Hall system shows behavior analogous to that of a two-dimensional system at
major filling factors. At the lowest half-filled quantum Hall state for which
no two-dimensional analog exists, we find a stable spin partially-polarized
system. Periodic Gaussian repulsive impurities (antidots) in such a system
leads to novel spin transitions at $\nu=\frac13$ and $\nu=\frac12$ and the
pair-correlation functions provide clues about nature of different ground
states in the system. These results can be explored in optical spectroscopy and
optically pumped NMR Knight shift measurements.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:33:15 GMT""}]","2009-10-30"
"cond-mat/9711159","Fukushima Noboru","Noboru Fukushima, Yoshio Kuramoto (Tohoku University)","Fluctuation Effects on the Quadrupolar Ordering in Magnetic Field","10 pages including 3 Postscript figures","J. Phys. Soc. Jpn. 67 (1998) 2460","10.1143/JPSJ.67.2460",,"cond-mat.str-el cond-mat.stat-mech",,"  Effects of magnetic field on the quadrupolar ordering are investigated with
inclusion of fluctuation of order parameters. For the simplest model with the
nearest-neighbor quadrupolar interaction, the transition temperature and the
specific heat are derived by the use of the recently proposed effective medium
theory. It is shown that magnetic field H has two competing effects on the
quadrupolar ordering; one is to encourage the ordering by suppressing the
fluctuation among different components of order parameters, and the other is to
block the ordering as in antiferromagnets. The former is found to be of order
H^2 and the latter of order H^4. Hence the fluctuation is suppressed for weak
fields, and the transition temperature increases with magnetic field. The
fluctuation effect is so strong that the entropy released at the quadrupolar
ordering is only about half of the full value ln 4 even without the Kondo
effect.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:29:55 GMT""},{""version"":""v2"",""created"":""Thu, 23 Apr 1998 05:53:47 GMT""}]","2009-10-30"
"cond-mat/9711160","Tapash Chakraborty","Tapash Chakraborty (Max-Planck Institut f\""ur Physik Komplexer
  Systeme, Dresden, Germany)","A Fermi Fluid Description of the Half-Filled Landau Level","4 pages, REVTEX, and 4 .ps files",,"10.1103/PhysRevB.57.8812",,"cond-mat.mes-hall",,"  We present a many-body approach to calculate the ground state properties of a
system of electrons in a half-filled Landau level. Our starting point is a
simplified version of the recently proposed trial wave function where one
includes the antisymmetrization operator to the bosonic Laughlin state. Using
the classical plasma analogy, we calculate the pair-correlation function, the
static structure function and the ground state energy in the thermodynamic
limit. These results are in good agreement with the expected behavior at
$\nu=\frac12$.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 15:34:58 GMT""}]","2009-10-30"
"dg-ga/9711012","Fabio Podesta","Fabio Podesta and Luigi Verdiani","Totally geodesic orbits of isometries","13 pages",,,"University of Florence, Dept. of Math., report-no: 36/97","dg-ga math.DG",,"  We study cohomogeneity one Riemannian manifolds and we establish some simple
criterium to test when a singular orbit is totally geodesic. As an application,
we classify compact, positively curved Riemannian manifolds which are acted on
isometrically by a non semisimple Lie group with an hypersurface orbit.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 14:04:58 GMT""}]","2007-05-23"
"funct-an/9711002","Alberto Barchielli","Alberto Barchielli (Dipartimento di Matematica - Politecnico di
  Milano) and Fabio Zucca (Dipartimento di Matematica - Universita` degli Studi
  di Milano)","On a class of stochastic differential equations used in quantum optics","13 pages, LaTeX2e","Rendiconti del Seminario Matematico e Fisico di Milano Vol.LXVI
  (Due Erre Grafica, Milano, 1998), pp. 355-376.",,"273/P","funct-an math.FA math.PR",,"  Stochastic differential equations for processes with values in Hilbert spaces
are now largely used in the quantum theory of open systems. In this work we
present a class of such equations and discuss their main properties; moreover,
we explain how they are derived from purely quantum mechanical models, where
the dynamics is represented by a unitary evolution in a Hilbert space, and how
they are related to the theory of continual measurements. An essential tool is
an isomorphism between the bosonic Fock space and the Wiener space, which allow
to connect certain quantum objects with probabilistic ones.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 13:34:13 GMT""},{""version"":""v2"",""created"":""Wed, 18 Feb 1998 17:36:50 GMT""}]","2007-05-23"
"gr-qc/9711049","T. P. Singh","T. P. Singh (Tata Institute, Mumbai, India)","Null Geodesic Expansion in Spherical Gravitational Collapse","10 pages, Latex File, No figures","Phys.Rev. D58 (1998) 024004","10.1103/PhysRevD.58.024004","TIFR-TAP Preprint","gr-qc",,"  We derive an expression for the expansion of outgoing null geodesics in
spherical dust collapse and compute the limiting value of the expansion in the
approach to singularity formation. An analogous expression is derived for the
spherical collapse of a general form of matter. We argue on the basis of these
results that the covered as well as the naked singularity solutions arising in
spherical dust collapse are stable under small changes in the equation of
state.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:19:13 GMT""}]","2009-10-30"
"gr-qc/9711050","Silvia Zane","S. L. Shapiro (1,2) and S. Zane (1,3,4) ((1) Department of Physics,
  Loomis Laboratory for Physics, University of Illinois at Urbana--Champaign,
  Urbana, Illinois, (2) Department of Astronomy and NCSA, University of
  Illinois at Urbana--Champaign, Urbana, Illinois, (3) SISSA/ISAS, Trieste,
  Italy, (4) Dept of Astrophysics, Nuclear Physics Building, Oxford, England)","Bar mode instability in relativistic rotating stars: a post Newtonian
  treatment","45 pages Latex, 6 ps figures. To be formatted with the AASTeX
  package. Submitted to ApJ",,"10.1086/313124",,"gr-qc astro-ph",,"  We construct analytic models of incompressible, rigidly rotating stars in PN
gravity and study their stability against nonaxisymmetric Jacobi-like bar
modes. PN configurations are modeled by homogeneous triaxial ellipsoids and the
metric is obtained as a solution of Einstein's equations in 3+1 ADM form. We
use an approximate subset of the equations well-suited to numerical integration
for strong field, 3D configurations in quasi--equilibrium. These equations are
exact at PN order, and admit an analytic solution for homogeneous ellipsoids.
In this paper we present this solution, as well as analytic functionals for the
conserved global quantities, M, M_0 and J. By using a variational principle we
construct sequences of axisymmetric equilibria of constant density and rest
mass, i.e. the PN generalization of Maclaurin spheroids, which are compared to
other PN and full relativistic sequences presented by previous authors. We then
consider nonaxisymmetric ellipsoidal deformations of the configurations,
holding J constant and the rotation uniform, and we locate the point at which
the bar modes will be driven secularly unstable by a dissipative agent like
viscosity. We find that the value of the eccentricity, as well as the ratios
\Omega^2/(\pi\rho_0) and T/|W|, defined invariantly, all increase at the onset
of instability as the stars become more relativistic. Since higher degrees of
rotation are required to trigger a viscosity-driven bar mode as the star's
compactness increases, the effect of GR is to weaken the instability, at least
to PN order. This behavior is opposite to that found for secular instability
via Dedekind-like modes driven unstable by gravitational radiation, supporting
the suggestion that in GR, nonaxisymmetric modes driven unstable by viscosity
and gravitational radiation may no longer coincide.
","[{""version"":""v1"",""created"":""Mon, 17 Nov 1997 10:25:58 GMT""}]","2009-10-30"
