"alg-geom/9711010","Gerard van der Geer","Gerard van der Geer and Marcel van der Vlugt","Constructing curves over finite fields with many points by solving
  linear equations","Plain Tex, 6 pages",,,,"alg-geom math.AG",,"  In this note is we exhibit an elementary method to construct explicitly
curves over finite fields with many points. Despite its elementary character
the method is very efficient and can be regarded as a partial substitute for
the use of class field theory.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:57:29 GMT""}]","2007-05-23"
"astro-ph/9711089","Uta Fritze-v. Alvensleben","U. Fritze - v. Alvensleben, U. Lindner, K. J. Fricke
  (Universit\""ats--Sternwarte, G\""ottingen, Germany)","Chemical Evolution of Spiral Galaxies from Redshift 4 to the Present","5 pages Latex, 2 POSTSCRIPT figures, using psfig and crckapb.sty To
  appear in the proceedings of IAU Symposium 187 `Cosmic Chemical Evolution',
  August 26-30, 1997, Kyoto, Japan",,,,"astro-ph",,"  We use our unified chemical and spectrophotometric evolutionary synthesis
code to describe galaxies of various Hubble types. With stellar evolutionary
tracks and element yields for 5 different metallicities we follow the
spectrophotometric evolution of composite stellar populations and the chemical
evolution of ISM abundances in a chemically consistent way, i.e., accounting
for the increasing initial metallicities of successive generations of stars.
Evolutionary galaxy models are required to give agreement with template nearby
galaxies of various Hubble types in terms of SEDs, stellar absorption indices
or HII region abundances, respectively. Within the framework of a given
cosmological model the redshift evolution of ISM abundances and abundance
ratios is compared to damped Lyman $\alpha$ abundances. This provides
information about the early star formation and nucleosynthesis history of the
absorber galaxies and, at the same time, our models predict their spectral
energy distributions. Optically identified DLA absorbers, with their spectral
and chemical properties, provide, of course, the strongest constraints for the
model parameters.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:12:27 GMT""}]","2007-05-23"
"astro-ph/9711090","Uta Fritze-v. Alvensleben","Uta Fritze - v. Alvensleben (Universit\""ats--Sternwarte, G\""ottingen,
  Germany)","Abundance Ratios in Composite Stellar Populations with special emphasis
  on Elliptical Galaxies","4 pages Latex, no figures, using jd.sty To appear in the proceedings
  of IAU JD1 `Abundance Ratios of the Oldest Stars', August 1997, Kyoto, Japan,
  Highlights of Astronomy",,,,"astro-ph",,"  Our unified chemical and spectrophotometric evolution code allows to
simultaneously study the ISM abundances of a series of elements and the
spectral properties of the stellar population in our model galaxies. We use
stellar evolutionary tracks, yields, spectra, color and absorption index
calibrations for 5 different metallicities and account for the increase in
initial metallicity of successive generations of stars. For any kind of stellar
system, as described by its star formation history and IMF, we thus can
directly compare the time evolution of gaseous and stellar abundance ratios.
Spiral galaxy models that successfully reproduce spectral properties as well as
ISM abundances of nearby templates are combined with a cosmological model and
compared to damped Lyman $\alpha$ absorbers. For early type galaxies various
formation scenarii -- initial monolithic collapse, spiral-spiral merger,
hierarchical formation -- are tested with respect to their predicted spectral
energy distributions from UV to NIR and absorption indices and index ratios, as
e.g. [MgFe].
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 12:33:45 GMT""}]","2007-05-23"
"astro-ph/9711091","Ornolfur Einar Rognvaldsson","A. Thorolfsson (1,2), O. E. Rognvaldsson (3), J. Yngvason (1,4), and
  E. H. Gudmundsson (1,5) ((1) Science Institute, University of Iceland --
  Iceland (2) Centre d'etude des Environnements Terrestre et Planetaires --
  France (3) Theoretical Astrophysics Center, Copenhagen -- Denmark (4)
  Institut fur Theoretische Physik, University of Vienna -- Austria (5)
  Nordita, Copenhagen -- Denmark)","Thomas-Fermi Calculations of Atoms and Matter in Magnetic Neutron Stars
  II: Finite Temperature Effects","37 pages, 17 figures included, submitted to ApJ",,"10.1086/305936","Nordita preprint 97/82","astro-ph",,"  We present numerical calculations of the equation of state for dense matter
in high magnetic fields, using a temperature dependent Thomas-Fermi theory with
a magnetic field that takes all Landau levels into account. Free energies for
atoms and matter are also calculated as well as profiles of the electron
density as a function of distance from the atomic nucleus for representative
values of the magnetic field strength, total matter density, and temperature.
The Landau shell structure, which is so prominent in cold dense matter in high
magnetic fields, is still clearly present at finite temperature as long as it
is less than approximately one tenth of the cyclotron energy. This structure is
reflected in an oscillatory behaviour of the equation of state and other
thermodynamic properties of dense matter and hence also in profiles of the
density and pressure as functions of depth in the surface layers of magnetic
neutron stars. These oscillations are completely smoothed out by thermal
effects at temperatures of the order of the cyclotron energy or higher.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:14:03 GMT""}]","2009-10-30"
"astro-ph/9711092","Chris Mihos","Chris Mihos (CWRU)","Gasdynamics and Starbursts in Interacting Galaxies","8 pages, 3 included figures, using psfig.sty and crckapb.sty. Invited
  talk for IAU Symposium 186: Galaxy Interactions at Low and High Redshift,
  August 26-30, 1997, Kyoto, Japan",,,,"astro-ph",,"  The onset of gaseous inflows and central activity in interacting galaxies is
driven largely by induced bars in the host galaxies. The stability of galaxies
against growing bar modes is a direct function of their structural properties
--- galaxies with central bulges or low disk surface densities are more stable
against central starbursts than are bulgeless or disk-dominated systems. Low
surface brightness galaxies prove less prone to bar formation and central
starbursts than do normal high surface brightness galaxies. This stability of
LSB disks also resolves many of the dynamical pitfalls encountered when
attempting to link poststarburst ""E+A"" galaxies to interactions involving
normal high surface brightness galaxy progenitors.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 15:26:29 GMT""}]","2007-05-23"
"chao-dyn/9711011","Tomaz Prosen","Marko Robnik (Center for Appl.Math.and Theor.Phys., Univ. of Maribor),
  Jure Dobnikar (Jozef Stefan Institute, Ljubljana), Tomaz Prosen (Faculty of
  Math.and Phys., Univ. of Ljubljana)","Energy level statistics in the transition regime between integrability
  and chaos for systems with broken antiunitary symmetry","6 pages in RevTex (5 figures in PostScript included) submitted to PRE",,,"CAMTP/97-5","chao-dyn nlin.CD",,"  Energy spectra of a particle with mass $m$ and charge $e$ in the cubic
Aharonov-Bohm billiard containing around $10^4$ consecutive levels starting
from the ground state have been analysed. The cubic Aharonov-Bohm billiard is a
plane billiard defined by the cubic conformal mapping of the unit disc pervaded
by a point magnetic flux through the origin perpendicular to the plane of the
billiard. The magnetic flux does not influence the classical dynamics, but
breaks the antiunitary symmetry in the system, which affects the statistics of
energy levels. By varying the shape parameter $\lam$ the classical dynamics
goes from integrable ($\lam =0$) to fully chaotic ($\lam = 0.2$; Africa
billiard). The level spacing distribution $P(S)$ and the number variance
$\Sigma^{2}(L)$ have been studied for 13 different shape parameters on the
interval ($0\le\lam\le0.2$). GUE statistics has proven correct for completely
chaotic case, while in the mixed regime the fractional power law level
repulsion has been observed. The exponent of the level repulsion has been
analysed and is found to change smoothly from 0 to 2 as the dynamics goes from
integrable to ergodic. Further on, the semiclassical Berry-Robnik theory has
been examined. We argue that the semiclassical regime has not been reached and
give an estimate for the number of energy levels required for the Berry-Robnik
statistics to apply.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 15:18:43 GMT""}]","2009-09-25"
"cond-mat/9711074","Phil Fraundorf","P. Fraundorf","Heat capacity in bits","7 pages (3 figs, 16 refs) RevTeX; clarify, new plots; comments
  http://www.umsl.edu/~fraundor/cm971174.html","Amer. J. Phys. 71 (11) 1142-1151 (November 2003)",,"UMStL-CME-94a09pf","cond-mat.stat-mech physics.chem-ph physics.ed-ph",,"  Information theory this century has clarified the 19th century work of Gibbs,
and has shown that natural units for temperature kT, defined via 1/T=dS/dE, are
energy per nat of information uncertainty. This means that (for any system) the
total thermal energy E over kT is the log-log derivative of multiplicity with
respect to energy, and (for all b) the number of base-b units of information
lost about the state of the system per b-fold increase in the amount of thermal
energy therein. For ``un-inverted'' (T>0) systems, E/kT is also a
temperature-averaged heat capacity, equaling ``degrees-freedom over two'' for
the quadratic case. In similar units the work-free differential heat capacity
C_v/k is a ``local version'' of this log-log derivative, equal to bits of
uncertainty gained per 2-fold increase in temperature. This makes C_v/k (unlike
E/kT) independent of the energy zero, explaining in statistical terms its
usefulness for detecting both phase changes and quadratic modes.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 14:27:44 GMT""},{""version"":""v2"",""created"":""Fri, 1 Oct 1999 14:02:48 GMT""}]","2007-05-23"
"cond-mat/9711075","Ucrcsim","Hiroshi Shimada, Keiji Ono, Youiti Ootuka","Magneto-Coulomb Oscillation in Ferromagnetic Single Electron Transistors","24 pages Latex, 5 figures in GIF files, style files included. Revised
  version: some errors are corrected and further discussions are added. To be
  published in J. Phys. Soc. Jpn. Vol.67 (1998) No.4",,"10.1143/JPSJ.67.1359",,"cond-mat.mes-hall",,"  The mechanism of the magneto-Coulomb oscillation in ferromagnetic single
electron transistors (SET's) is theoretically considered. Variations in the
chemical potentials of the conduction electrons in the ferromagnetic island
electrode and the ferromagnetic lead electrodes in magnetic fields cause
changes in the free energy of the island electrode of the SET. Experimental
results of the magneto-Coulomb oscillation in a Ni/Co/Ni ferromagnetic SET are
presented and discussed. Possible applications of this phenomenon are also
discussed.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 05:04:20 GMT""},{""version"":""v2"",""created"":""Tue, 24 Mar 1998 12:42:48 GMT""}]","2009-10-30"
"cond-mat/9711076","Grigori Volovik","G.E. Volovik","Hopf Term for a Two-Dimensional Electron Gas: Comment to Reply to
  Comment","RevTex file, 1 page, Comment to Reply by W. Apel and Yu.A. Bychkov,
  Phys. Rev. Lett. 79 (1997) 3792",,,,"cond-mat.mes-hall",,"  In our Comment (G.E. Volovik and V.M. Yakovenko, Phys. Rev. Lett. 79 (1997)
3792) to the Letter by W. Apel and Yu.A. Bychkov (Phys. Rev. Lett. 78 (1997)
2188) we questioned the derivation of the Hopf term in the hydrodynamic action
for the Skyrmion dynamics in QHE. Our main argument was that the description in
terms of Euler angles used by Apel and Bychkov was potentially dangerous since
these angles were ill-defined. The Reply (W. Apel and Yu.A. Bychkov, Phys. Rev.
Lett. 79 (1997) 3792) to our Comment confirmed our apprehension.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 07:46:04 GMT""}]","2007-05-23"
"cond-mat/9711077","Oliver Steffens","Oliver Steffens, Ulrich Roessler, and Michael Suhrke","Comment on ``Shell Filling and Spin Effects in a Few Electron Quantum
  Dot'' [PRL 77, 3613 (1996)]","RevTeX, 1 page, 1 Postscript figure",,,,"cond-mat.mes-hall",,"  We briefly report on calculated addition spectra for electrons in a circular
quantum dot with perpendicular magnetic field. We compare our current density
functional theory calculations with recent experiments by Tarucha et al. [PRL
77, 3613 (1996)]. We find a very good qualitative agreement of the structures
and find an additional effect caused by Hund's first rule in magnetic field,
which gives rise to new substructures not discussed in the paper by Tarucha.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 10:22:45 GMT""}]","2007-05-23"
"cond-mat/9711078","Ettore","A. Pelissetto and E. Vicari (University of Pisa)","Four-point renormalized coupling constant and Callan-Symanzik
  beta-function in O(N) models","35 pages (3 figs), added Ref. for GRT, some estimates are revised,
  other minor changes","Nucl.Phys. B519 (1998) 626-660","10.1016/S0550-3213(98)00164-3",,"cond-mat hep-lat hep-th",,"  We investigate some issues concerning the zero-momentum four-point
renormalized coupling constant g in the symmetric phase of O(N) models, and the
corresponding Callan-Symanzik beta-function. In the framework of the 1/N
expansion we show that the Callan- Symanzik beta-function is non-analytic at
its zero, i.e. at the fixed-point value g^* of g. This fact calls for a check
of the actual accuracy of the determination of g^* from the resummation of the
d=3 perturbative g-expansion, which is usually performed assuming analyticity
of the beta-function. Two alternative approaches are exploited. We extend the
\epsilon-expansion of g^* to O(\epsilon^4). Quite accurate estimates of g^* are
then obtained by an analysis exploiting the analytic behavior of g^* as
function of d and the known values of g^* for lower-dimensional O(N) models,
i.e. for d=2,1,0. Accurate estimates of g^* are also obtained by a reanalysis
of the strong-coupling expansion of lattice N-vector models allowing for the
leading confluent singularity. The agreement among the g-, \epsilon-, and
strong-coupling expansion results is good for all N. However, at N=0,1,
\epsilon- and strong-coupling expansion favor values of g^* which are sligthly
lower than those obtained by the resummation of the g-expansion assuming
analyticity in the Callan-Symanzik beta-function.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:02:42 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jan 1998 10:05:59 GMT""}]","2009-10-30"
"cond-mat/9711079","Egidijus Anisimovas","E. Anisimovas (Department of Theoretical Physics, Lund University,
  Sweden) and A.Matulis (Semiconductor Physics Institute, Vilnius, Lithuania)","Energy Spectra of Few-Electron Quantum Dots","16 pages, 8 ps figures, uses iop* style files, accepted for
  publication in Journal of Physics Condensed Matter","J. Phys.: Cond. Matter 10, 601 (1998)","10.1088/0953-8984/10/3/013",,"cond-mat.mes-hall",,"  We present the renormalized perturbation series for the energy spectrum of
the parabolic quantum dot with 2 -- 5 electrons considering ground and the
lowest excited states. The proper classification of asymptotic energy levels is
performed and behaviour of energy levels from quantum to semiclassical regime
is traced. Comparison between the present results and those of exact numerical
Hamiltonian diagonalization shows a fair accuracy of the proposed method over
the whole range of the electron-electron coupling constant and magnetic field
values. The obtained results indicate that increasing of the number of
electrons in a dot leads to more classic behaviour of the system.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 13:55:06 GMT""}]","2009-10-30"
"cond-mat/9711080","Michele Caselle","M. Caselle and M. Hasenbusch","The stability of the O(N) invariant fixed point in three dimensions","latex file of 18 pages plus three ps figures","J.Phys.A31:4603-4617,1998","10.1088/0305-4470/31/20/004","DFTT 66/97, HUB-EP-97/96","cond-mat hep-lat hep-th",,"  We study the stability of the O(N) fixed point in three dimensions under
perturbations of the cubic type. We address this problem in the three cases
$N=2,3,4$ by using finite size scaling techniques and high precision Monte
Carlo simulations. It is well know that there is a critical value $2<N_c<4$
below which the O(N) fixed point is stable and above which the cubic fixed
point becomes the stable one. While we cannot exclude that $N_c<3$, as recently
claimed by Kleinert and collaborators, our analysis strongly suggests that
$N_c$ coincides with 3.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 11:18:11 GMT""}]","2008-11-26"
"cond-mat/9711081","Darren James Thomas Leonard","Darren J.T. Leonard, T. Portengen, V. Nikos Nicopoulos and Neil F.
  Johnson","Orthogonality catastrophe in a composite fermion liquid","Latex two-column 6 pages including 5 figures",,"10.1088/0953-8984/10/27/002",,"cond-mat.mes-hall cond-mat.str-el",,"  We discuss the emergence of an orthogonality catastrophe in the response of a
composite fermion liquid as the filling factor \nu approaches 1/2m, where
m=1,2,3.... A tunneling experiment is proposed in which dramatic changes in the
I-V characteristic should be observable as \nu is varied. Explicit I-V
characteristics calculated within the so-called Modified Random Phase
Approximation, are provided for \nu=1/3 -> \nu=1/2.
","[{""version"":""v1"",""created"":""Mon, 10 Nov 1997 15:22:34 GMT""}]","2009-10-30"
