"alg-geom/9710032","Sergey Barannikov","Sergey Barannikov, Maxim Kontsevich","Frobenius Manifolds and Formality of Lie Algebras of Polyvector Fields","12 pages, AMS-TeX; typos and a sign corrected, appendix added.
  Submitted to IMRN","International Mathematics Research Notices, Volume 1998, Issue 4,
  Pages 201-215","10.1155/S1073792898000166",,"alg-geom hep-th math.AG",,"  We construct a generalization of the variations of Hodge structures on
Calabi-Yau manifolds. It gives a Mirror partner for the theory of genus=0
Gromov-Witten invariants
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 23:19:11 GMT""},{""version"":""v2"",""created"":""Wed, 7 Jan 1998 18:12:18 GMT""}]","2023-02-21"
"astro-ph/9710330","Amelia Ortiz-Gil","A. Ortiz-Gil(1), M. Hiesgen(2), P. Brosche(1) ((1) Sternwarte der
  Universitaet Bonn, (2) Observatoire de Strasbourg)","A new approach to the reduction of ""Carte du Ciel"" plates","10 pages, 12 enclosed post-script figures, uses l-aa.sty (included).
  Accepted for publication in Astronomy and Astrophysics Supp. Series",,"10.1051/aas:1998168",,"astro-ph",,"  A new procedure for the reduction of ""Carte du Ciel"" plates is presented. A
typical ""Carte du Ciel"" plate corresponding to the Bordeaux zone has been taken
as an example. It shows triple exposures for each object and the modelling of
the data has been performed by means of a non-linear least squares fitting of
the sum of three bivariate Gaussian distributions. A number of solutions for
the problems present in this kind of plates (optical aberrations, adjacency
photographic effects, presence of grid lines, emulsion saturation) have been
investigated. An internal accuracy of 0.1'' in x and y was obtained for the
position of each of the individual exposures. The external reduction to a
catalogue led to results with an accuracy of 0.16'' in x and 0.13'' in y for
the mean position of the three exposures. A photometric calibration has also
been performed and magnitudes were determined with an accuracy of 0.09 mags.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 06:33:10 GMT""}]","2009-10-30"
"astro-ph/9710331","Elena Pian","Elena Pian, Giuseppe Vacanti, Gianpiero Tagliaferri, Gabriele
  Ghisellini, Laura Maraschi, Aldo Treves, C. Megan Urry, Fabrizio Fiore, Paolo
  Giommi, Eliana Palazzi, Lucio Chiappetti, Rita M. Sambruna","BeppoSAX Observations of Unprecedented Synchrotron Activity in the BL
  Lac Object Mkn 501","11 pages, Latex, 4 Postscript figures, to appear in The Astrophysical
  Journal Letters","Astrophys.J. 492 (1998) L17-L20","10.1086/311083",,"astro-ph",,"  The BL Lac object Mkn 501, one of the only three extragalactic sources (with
Mkn 421 and 1ES 2344+514) so far detected at TeV energies, was observed with
the BeppoSAX satellite on 7, 11, and 16 April 1997 during a phase of high
activity at TeV energies, as monitored with the Whipple, HEGRA and CAT
Cherenkov telescopes. Over the whole 0.1-200 keV range the spectrum was
exceptionally hard (alpha =< 1, with F_nu ~ nu^{-alpha}) indicating that the
X-ray power output peaked at (or above) ~100 keV. This represents a shift of at
least two orders of magnitude with respect to previous observations of Mkn 501,
a behavior never seen before in this or any other blazar. The overall X-ray
spectrum hardens with increasing intensity and, at each epoch, it is softer at
larger energies. The correlated variability from soft X-rays to the TeV band
points to models in which the same population of relativistic electrons
produces the X-ray continuum via synchrotron radiation and the TeV emission by
inverse Compton scattering of the synchrotron photons or other seed photons.
For the first time in any blazar the synchrotron power is observed to peak at
hard X-ray energies. The large shift of the synchrotron peak frequency with
respect to previous observations of Mkn 501 implies that intrinsic changes in
the relativistic electron spectrum caused the increase in emitted power. Due to
the very high electron energies, the inverse Compton process is limited by the
Klein-Nishina regime. This implies a quasi-linear (as opposed to quadratic)
relation of the variability amplitude in the TeV and hard X-ray ranges (for the
SSC model) and an increase of the inverse Compton peak frequency smaller than
that of the synchrotron peak frequency.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 09:25:06 GMT""}]","2009-10-30"
"astro-ph/9710333","Chris Fryer","Chris Fryer (UC Santa Cruz), Adam Burrows (U Arizona), Willy Benz (U
  Bern)","Population Synthesis for Neutron Star Systems with Intrinsic Kicks","41 pages total, 24 text+tables pages, 17 figures, AASTeX, Accepted
  for publication in ApJ","Astrophys.J. 496 (1998) 333","10.1086/305348",,"astro-ph",,"  We use a Monte Carlo binary synthesis code to model the formation and
evolution of neutron star systems including high-mass X-ray binaries, low-mass
X-ray binaries, double neutron star systems and radio pulsars. Our focus is on
the signature imprinted on such systems due to natal kicks to neutron stars
over and above that imparted by orbital motions. The code incorporates the
effect of the galactic potential (including rotation) on the velocities of
these systems. A comparison between our models and the observations leads us to
infer mean natal kicks between 400-500 km/s. Moreover, to be consistent with
all the data, we require a bimodal kick distribution with one peak in the
distribution near 0 km/s and the other above 600 km/s.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 13:45:46 GMT""}]","2009-10-30"
"astro-ph/9710334","Elena Pian","Elena Pian, Andrew S. Fruchter, Louis E. Bergeron, Steve E. Thorsett,
  Filippo Frontera, Marco Tavani, Enrico Costa, Marco Feroci, Jules Halpern,
  Ray A. Lucas, Luciano Nicastro, Eliana Palazzi, Luigi Piro, William Sparks,
  Alberto J. Castro-Tirado, Ted Gull, Kevin Hurley, Holger Pedersen","Hubble Space Telescope Imaging of the Optical Transient Associated with
  GRB970508","12 pages, Latex, 2 Postscript figures, to appear in The Astrophysical
  Journal Letters",,"10.1086/311101",,"astro-ph",,"  We report on Hubble Space Telescope (HST) observations of the optical
transient (OT) discovered in the error box of the gamma-ray burst GRB970508.
The object was imaged on 1997 June 2 with the Space Telescope Imaging
Spectrograph (STIS) and Near-Infrared Camera and Multi-Object Spectrometer
(NICMOS). The observations reveal a point-like source with R = 23.1 +- 0.2 and
H = 20.6 +- 0.3, in agreement with the power-law temporal decay seen in
ground-based monitoring. Unlike the case of GRB970228, no nebulosity is
detected surrounding the OT of GRB970508. We set very conservative upper limits
of R ~ 24.5 and H ~ 22.2 on the brightness of any underlying extended source.
If this subtends a substantial fraction of an arcsecond, then the R band limit
is ~25.5. In combination with Keck spectra that show Mg I absorption and [O II]
emission at a redshift of z = 0.835, our observations suggest that the OT is
located in a star-forming galaxy with total luminosity one order of magnitude
lower than the knee of the galaxy luminosity function, L*. Such galaxies are
now thought to harbor the majority of star formation at z ~ 1; therefore, these
observations may provide support for a link between GRBs and star formation.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 13:06:04 GMT""}]","2009-10-30"
"astro-ph/9710335","R. H. Sanders","R.H. Sanders (Kapteyn Astronomical Institute, Groningen, NL)","Cosmology with Modified Newtonian Dynamics (MOND)","20 pages, LaTex (aaspp4.sty), 4 figures, submitted MNRAS","Mon.Not.Roy.Astron.Soc. 296 (1998) 1009-1018","10.1046/j.1365-8711.1998.01459.x",,"astro-ph",,"  It is well-known that the application of Newtonian dynamics to an expanding
spherical region leads to the correct relativistic expression (the Friedmann
equation) for the evolution of the cosmic scale factor. Here, the cosmological
implications of Milgrom's modified Newtonian dynamics (MOND) are considered by
means of a similar procedure. Earlier work by Felten demonstrated that in a
region dominated by modified dynamics, the expansion cannot be uniform
(separations cannot be expressed in terms of a scale factor) and that any such
region will eventually re-collapse regardless of the initial expansion velocity
and mean density. Here I show that, because of the acceleration threshold for
the MOND phenomenology, a region dominated by MOND will have a finite size
which, in the early Universe ($z > 3$), is smaller than the horizon scale.
Therefore, uniform expansion and homogeneity on horizon scale are consistent
with MOND-dominated non-uniform expansion and the development of
inhomogeneities on smaller scale. In the radiation-dominated era, the amplitude
of MOND-induced inhomogeneities is much smaller than that implied by
observations of the cosmic background radiation, and the thermal and dynamical
history of the Universe is identical to that of the standard Big Bang. When
matter first dominates the energy density of the Universe, the cosmology
diverges from that of the standard model. Objects of galaxy mass are the first
virialized objects to form (by z=10) and larger structure develops rapidly. At
the present epoch, the Universe would be inhomogeneous out to a substantial
fraction of the Hubble radius.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 14:55:04 GMT""}]","2009-10-30"
"astro-ph/9710336","GianLuca","S. Mereghetti, L. Sidoli and G.L. Israel","Discovery of X-rays from the composite supernova remnant G0.9+0.1 with
  the BeppoSAX satellite","4 pages. Using s_tables.tex macro (included). Accepted for
  publication in A&A Letters",,,,"astro-ph",,"  Using the BeppoSAX satellite we have obtained the first secure X-ray
detection of the supernova remnant G0.9+0.1. The 1-10 keV spectrum can be
described with an absorbed power law with photon index 3 and N_H = 3 times
10^{23} cm^2. The high column density supports a distance similar to that of
the Galactic Center. The X-ray emission, with a luminosity L_x = 10^{35}
d_{10kpc}^{2} erg/s, coincides with the central radio core, confirming the
composite nature of this remnant. Though a search for periodic pulsations gave
a negative result, the observed X-rays are probably related to the presence of
a young radio pulsar at the center of G0.9+0.1.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:16:19 GMT""}]","2007-05-23"
"astro-ph/9710337","GianLuca","S. Mereghetti, G.L. Israel and L. Stella","New limits on the orbital parameters of 1E1048.1-5937 and 1E2259+586
  from RossiXTE observations","5 pages (including figures). Using mn.sty and psfig.tex (included).
  Accepted for publication in MNRAS",,"10.1046/j.1365-8711.1998.01396.x",,"astro-ph",,"  We report on two RossiXTE observations of the anomalous X-ray pulsars 1E
1048.1-5937 and 1E 2259+586. Both sources have continued their almost constant
spin-down during 1995/96. We carried out a search for orbital Doppler shifts,
in their observed spin frequencies, deriving stringent limits on the projected
semi-axis. Unless these systems have unlikely small inclinations, main sequence
companions can be excluded. If 1E 1048.1-5937 and 1E 2259+586 are indeed binary
systems, their companion stars must be either white dwarfs, or helium-burning
stars with M < 0.8 Msolar, possibly underfilling their Roche lobe.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:29:52 GMT""}]","2009-10-30"
"chao-dyn/9710023","Debabrata Biswas","Santanu Pal (VECC, Calcutta) and Debabrata Biswas (Niels Bohr
  Institute, Copenhagen & B.A.R.C., Mumbai)","Symmetry Reduction and Semiclassical Analysis of Axially Symmetric
  Systems","23 pages (revtex) and a postscript file for figures; Phys. Rev. E (in
  press, scheduled for 01Jan98)",,"10.1103/PhysRevE.57.1475",,"chao-dyn nlin.CD nucl-th",,"  We derive a semiclassical trace formula for a symmetry reduced part of the
spectrum in axially symmetric systems. The classical orbits that contribute are
closed in (\rho,z,p_\rho,p_z) and have p_\phi = m\hbar where m is the azimuthal
quantum number. For m > 0, these orbits vary with energy and almost never lie
on periodic trajectories in the full phase space in contrast to the case of
discrete symmetries. The transition from m=0 to m > 0 is however not dramatic
as our numerical results indicate, suggesting that contributing orbits occur in
topologically equivalent families within which p_\phi varies smoothly.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 06:49:32 GMT""}]","2009-10-30"
"chao-dyn/9710024","Daniela Pierotti","L. Biferale, D. Pierotti and A. Vulpiani","Time-reversible Dynamical Systems for Turbulence","16 pages Latex, 4 PS figures, on press on J. Phys",,"10.1088/0305-4470/31/1/008",,"chao-dyn nlin.CD",,"  Dynamical Ensemble Equivalence between hydrodynamic dissipative equations and
suitable time-reversible dynamical systems has been investigated in a class of
dynamical systems for turbulence. The reversible dynamics is obtained from the
original dissipative equations by imposing a global constraint. We find that,
by increasing the input energy, the system changes from an equilibrium state to
a non-equilibrium stationary state in which an energy cascade, with the same
statistical properties of the original system, is clearly detected.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 1997 15:22:41 GMT""}]","2009-10-30"
"cond-mat/9710298","Canessa Enrique","V. Lien Nguyen and Enrique Canessa (ICTP, Trieste, Italy)","Model for Anisotropic Directed Percolation","RevTeX, 9 pages, 3 figures. To appear in Phys.Rev.E",,"10.1103/PhysRevE.57.2467","ICTP/97/156","cond-mat",,"  We propose a simulation model to study the properties of directed percolation
in two-dimensional (2D) anisotropic random media. The degree of anisotropy in
the model is given by the ratio $\mu$ between the axes of a semi-ellipse
enclosing the bonds that promote percolation in one direction. At percolation,
this simple model shows that the average number of bonds per site in 2D is an
invariant equal to 2.8 independently of $\mu$. This result suggests that
Sinai's theorem proposed originally for isotropic percolation is also valid for
anisotropic directed percolation problems. The new invariant also yields a
constant fractal dimension $D_{f} \sim 1.71$ for all $\mu$, which is the same
value found in isotropic directed percolation (i.e., $\mu = 1$).
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:03:47 GMT""}]","2009-10-30"
"cond-mat/9710299","Yaroslav M. Blanter","Ya. M. Blanter, F. W. J. Hekking, and M. Buttiker","Interaction Constants and Dynamic Conductance of a Gated Wire","4 pages, LaTeX, 2 figures","Phys. Rev. Lett. 81, 1925 (1998)","10.1103/PhysRevLett.81.1925",,"cond-mat.mes-hall",,"  We show that the interaction constant governing the long-range
electron-electron interaction in a quantum wire coupled to two reservoirs and
capacitively coupled to a gate can be determined by a low frequency
measurement. We present a self-consistent, charge and current conserving theory
of the full conductance matrix. The collective excitation spectrum consists of
plasma modes with a relaxation rate which increases with the interaction
strength and is inversely proportional to the length of the wire. The
interaction parameter is determined by the first two coefficients of the
out-of-phase component of the dynamic conductance measured at the gate.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 16:06:52 GMT""}]","2009-10-30"
