"alg-geom/9710027","Mikhail Kapranov","M. Kapranov","Injective resolutions of BG and derived moduli spaces of local systems","12 pages, plain TEX",,,,"alg-geom math.AG",,"  It was suggested on several occasions by Deligne, Drinfeld and Kontsevich
that all the moduli spaces arising in the classical problems of deformation
theory should be extended to natural ""derived"" moduli spaces which are always
smooth in an appropriate sense and whose tangent spaces involve the entire
cohomology of the sheaf of infinitesimal automorphisms, not just H^1. In this
note we give an algebraic construction of such an extension for the simplest
class of moduli spaces, namely for moduli of local systems (representations of
the fundamental group).
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:22:03 GMT""}]","2007-05-23"
"cmp-lg/9710007","Massimo Poesio","Massimo Poesio and Renata Vieira (University of Edinburgh)","A Corpus-Based Investigation of Definite Description Use","47 pages, uses fullname.sty and palatino.sty",,,,"cmp-lg cs.CL",,"  We present the results of a study of definite descriptions use in written
texts aimed at assessing the feasibility of annotating corpora with information
about definite description interpretation. We ran two experiments, in which
subjects were asked to classify the uses of definite descriptions in a corpus
of 33 newspaper articles, containing a total of 1412 definite descriptions. We
measured the agreement among annotators about the classes assigned to definite
descriptions, as well as the agreement about the antecedent assigned to those
definites that the annotators classified as being related to an antecedent in
the text. The most interesting result of this study from a corpus annotation
perspective was the rather low agreement (K=0.63) that we obtained using
versions of Hawkins' and Prince's classification schemes; better results
(K=0.76) were obtained using the simplified scheme proposed by Fraurud that
includes only two classes, first-mention and subsequent-mention. The agreement
about antecedents was also not complete. These findings raise questions
concerning the strategy of evaluating systems for definite description
interpretation by comparing their results with a standardized annotation. From
a linguistic point of view, the most interesting observations were the great
number of discourse-new definites in our corpus (in one of our experiments,
about 50% of the definites in the collection were classified as discourse-new,
30% as anaphoric, and 18% as associative/bridging) and the presence of
definites which did not seem to require a complete disambiguation.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 17:00:36 GMT""}]","2007-05-23"
"cond-mat/9710274","Tin-Lun Ho","V.B. Shenoy and Tin-Lun Ho","First and Second Sound Modes of a Bose-Einstein Condensate in a Harmonic
  Trap","a shorten version, more discussions are given on the nature of the
  second sound. A long footnote on the recent work of Zaremba, Griffin, and
  Nikuni (cond-mat/9705134) is added, the spectrum of the (\ell=1, n_2=0) mode
  is included in fig.1",,"10.1103/PhysRevLett.80.3895",,"cond-mat",,"  We have calculated the first and second sound modes of a dilute interacting
Bose gas in a spherical trap for temperatures ($0.6<T/T_{c}<1.2$) and for
systems with $10^4$ to $10^8$ particles. The second sound modes (which exist
only below $T_{c}$) generally have a stronger temperature dependence than the
first sound modes. The puzzling temperature variations of the sound modes near
$T_{c}$ recently observed at JILA in systems with $10^3$ particles match
surprisingly well with those of the first and second sound modes of much larger
systems.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 23:54:54 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 19:09:05 GMT""},{""version"":""v3"",""created"":""Mon, 1 Dec 1997 21:30:00 GMT""}]","2009-10-30"
"cond-mat/9710275","Tin-Lun Ho","Tin-Lun Ho and V.B. Shenoy","The Hydrodynamic Equations of Superfluid Mixtures in Magnetic Traps","16 pages, no figures",,,,"cond-mat",,"  The hydrodynamics equations of binary mixtures of Bose gases, Fermi gases,
and mixtures of Bose and Fermi gases in the presence of external potentials are
derived. These equations can be applied to current experiments on mixtures of
atomic gases confined in magnetic traps.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:50:19 GMT""}]","2007-05-23"
"hep-ex/9710028","Preprints Libr/pam","CLEO Collaboration, T.E. Coan et al","Flavor-Specific Inclusive B Decays to Charm","12 page postscript file, postscript file also available through
  http://w4.lns.cornell.edu/public/CLNS","Phys.Rev.Lett.80:1150-1155,1998","10.1103/PhysRevLett.80.1150","CLNS97/1516, CLEO 97-23","hep-ex",,"  We have measured the branching fractions for B -> D_bar X, B -> D X, and B ->
D_bar X \ell^+ \nu, where ``B'' is an average over B^0 and B^+, ``D'' is a sum
over D^0 and D^+, and``D_bar'' is a sum over D^0_bar and D^-. From these
results and some previously measured branching fractions, we obtain Br(b -> c
c_bar s) = (21.9 $\pm$ 3.7)%, Br(b -> s g) < 6.8% @ 90% c.l, and Br(D^0 -> K^-
\pi^+) = (3.69 $\pm$ 0.20)%. Implications for the ``B semileptonic decay
problem'' (measured branching fraction being below theoretical expectations)
are discussed. The increase in the value of Br(b -> c c_bar s) due to $B -> D
X$ eliminates 40% of the discrepancy.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 17:47:40 GMT""}]","2010-04-08"
"hep-lat/9710084","Estia Eichten","W. Bardeen, A. Duncan, E. Eichten, G. Hockney and H. Thacker","Resolving Exceptional Configurations","Talk presented by E. Eichten at Lattice 97, Edinburgh(UK), July97. 6
  pages, LaTeX, 1 table, 5 figures","Nucl.Phys.Proc.Suppl.63:141-146,1998;
  Nucl.Phys.Proc.Suppl.60A:43-54,1998","10.1016/S0920-5632(97)00705-6","Fermilab PUB-CONF-97/339-T","hep-lat",,"  In lattice QCD with Wilson fermions, exceptional configurations arise in the
quenched approximation at small quark mass. The origin of these large
previously uncontrolled lattice artifacts is identified. A simple well-defined
procedure (MQA) is presented which removes the artifacts while preserving the
correct continuum limit.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 16:33:03 GMT""}]","2008-11-26"
"hep-lat/9710085","Ron Horgan","S.M. Caterall, M. Hasenbusch, R.R. Horgan, R.L. Renken","Monte-carlo renormalization group study of gauged RP(2) spin models in
  two dimensions","3 pages, LATEX2e, 4 figures, talk presented at LATTICE '97 by R.R.
  Horgan, uses styles[espcrc2,epsfig]","Nucl.Phys.Proc.Suppl. 63 (1998) 670-672","10.1016/S0920-5632(97)00867-0","DAMTP-97-114, HUB-EP-97/77","hep-lat",,"  The 2D RP(2) gauge model is studied using the Monte-Carlo Renormalization
Group. We confirm the first-order transition reported by Solomon et al. (PL
112B, (1982)) ending in a critical point associated with vorticity. We find
evidence for a new renormalized trajectory which is responsible for a
cross-over from the vortex dominated regime to the O(3) regime as the coupling
is reduced. Near to the cross-over region a good signal for scaling will be
observed in RP(2) but this is illusory and is due to the proximity of the new
renormalized trajectory. We suggest that this is the origin of the
`pseudo'-scaling observed Hasenbusch and Horgan (PR D53, (1996)). We find that
the continuum limit of RP(2) is controlled by the O(3) fixed point. It is
unclear whether the continuum limit of the new renormalized trajectory can be
taken at the observed critical point.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 20:45:51 GMT""}]","2009-10-30"
"hep-lat/9710086","Lakshmi Venkataraman","Lakshmi Venkataraman and Gregory Kilcup (The Ohio State University)","Applications of the Eigenmodes of the Staggered Dirac Operator","3 pages, LaTeX, 5 eps figures, uses espcrc2.sty. To be published in
  the proceedings of Lattice 97, Edinburgh, Scotland","Nucl.Phys.Proc.Suppl. 63 (1998) 826-828","10.1016/S0920-5632(97)00912-2",,"hep-lat",,"  We have constructed the lowest few eigenvectors of the staggered Dirac
operator on SU(3) gauge configurations, both quenched and dynamical. We use
these modes to study the topological charge and to construct approximate
hadronic correlators.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 22:49:02 GMT""}]","2009-10-30"
"hep-lat/9710087","Arifa Ali Khan","A. Ali Khan","f_B and the Heavy-light Spectrum from NRQCD","6 pages, LaTeX, 3 postscript figures, uses espcrc2, curves
  (included), and epsf. To appear in the proceedings of Lattice `97, Edinburgh,
  Scotland, July 22--26, 1997","Nucl.Phys.Proc.Suppl. 63 (1998) 71-76","10.1016/S0920-5632(97)00698-1","OHSTPY-HEP-T-97-019","hep-lat",,"  The present status of lattice calculations of the B spectrum and f_B, using
NRQCD for the b quark, is discussed.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 23:38:58 GMT""}]","2009-10-30"
"hep-ph/9710459","George Jikia","G. Jikia (Albert--Ludwigs--Universitaet Freiburg)","Electroweak gauge boson production at gamma-gamma collider","Talk presented at the International Workshop on Linac-Ring Type e-p
  and gamma-p Colliders, 9-11 April 1997, Ankara, Turkey",,,,"hep-ph",,"  The processes of electroweak gauge boson production in high energy
photon-photon collisions are surveyed.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 16:04:53 GMT""}]","2007-05-23"
"hep-ph/9710461","Thomas Gasenzer","D. Bruss (1), T. Gasenzer (2) and O. Nachtmann (2), ((1) ISI, Torino,
  Italy; (2) Univ. Heidelberg, Germany)","New Observables for Parity Violation in Atoms: Energy Shifts in External
  Electric Fields","6 pages, 3 figures, LaTeX, submitted to Phys. Lett. A","Phys.Lett. A239 (1998) 81-86","10.1016/S0375-9601(97)00936-5","HD-THEP-97-52","hep-ph",,"  We consider hydrogen-like atoms in unstable levels of principal quantum
number n=2, confined to a finite size region in a non-homogeneous electric
field carrying handedness. The interplay between the internal degrees of
freedom of the atoms and the external ones of their c.m. motion can produce
P-odd contributions to the eigenenergies. The nominal order of such shifts is
10^-8 Hz. Typically such energy shifts depend linearly on the small P-violation
parameters delta_i similarequal 10^-12 (i=1,2), essentially the ratios of the
P-violating mixing matrix elements of the 2S and 2P states over the Lamb shift,
with i=1 (i=2) corresponding to the nuclear spin independent (dependent) term.
We show how such energy shifts can be enhanced by a factor of similarequal 10^6
in a resonance like way for special field configurations where a crossing of
unstable levels occurs, leading to P-violating effects proportional to
squareroot{delta_i}. Measurements of such effects can give information
concerning the ``spin crisis'' of the nucleons.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 16:04:04 GMT""}]","2009-10-30"
"hep-ph/9710462","Gerhard Schuler","G.A. Schuler, F.A. Berends, R. van Gulik","Meson--photon transition form factors and resonance cross-sections in
  e^+ e^- collisions","17 pages, Latex, 4 figures","Nucl.Phys. B523 (1998) 423-438","10.1016/S0550-3213(98)00128-X","CERN-TH/97-294","hep-ph",,"  Meson--photon--photon transition form factors for S-, P-, and D-wave states
are calculated, the meson being treated as a non-relativistic
heavy-quark--antiquark pair. The full dependence on both photon virtualities is
included. Cross-section formulas for charge-conjugation even mesons with J^P =
0^-, 0^+, 1^+, 2^+, and 2^- in electron--positron collisions are presented and
numerical results for LEP energies are given. In particular, we find two-photon
event rates for \chi_{\rc 1}, \eta_{\rc}(2S), and \eta_{\rb}(1S) within reach
of LEP.
  With minor modifications to incorporate SU(3)-flavour breaking we estimate
rates for 18 light mesons as well, based on the observation that their
two-photon decay widths agree remarkably well with measured data. Finally we
point out that e^+ e^- cross sections for 1^+ states do not vanish at low Q^2,
the Landau--Yang suppression factors of the two-photon cross sections being
compensated by the photon propagators.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 17:07:04 GMT""}]","2009-10-30"
"hep-ph/9710463","Levai Peter","Peter Levai (KFKI RMKI) and Ulrich Heinz (University of Regensburg)","Massive gluons and quarks and the equation of state obtained from SU(3)
  lattice QCD","20 pages in Latex and 11 Postscript figures","Phys.Rev.C57:1879-1890,1998","10.1103/PhysRevC.57.1879",,"hep-ph nucl-th",,"  We analyze recent results of SU(3) lattice QCD calculations with a
phenomenological parametrization for the quark-gluon plasma equation of state
based on a quasi-particle picture with massive quarks and gluons. At high
temperature we obtain a good fit to the lattice data using perturbative thermal
quark and gluon masses from an improved HTL scheme. At temperatures close to
the confinement phase transition the fitted masses increase above the
perturbative value, and a non-zero (but small) bag constant is required to fit
the lattice data.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 17:19:44 GMT""}]","2008-11-26"
"hep-ph/9710464","Stephen Wong","P. Kroll and S.M.H. Wong","Colour Octet Contribution in Exclusive Charmonium Decay into
  Baryon-Antibaryon","4 pages, talk presented at the IVth International Workshop on Progess
  in Heavy Quark Physics, Rostock, Germany, Sept 97","Proc. Prog. in Heavy Quarks Physics p.185",,"WU-B 97-27","hep-ph",,"  It is argued that colour octet contribution in exclusive charmonium decays is
very important even though the same infrared divergence found in P-wave colour
singlet inclusive decay is absent. This comes about because of the suppression
at the level of the wavefunction of P-wave quarkonia. Using the modified hard
scattering approach of Brodsky, Lepage, Botts, Li and Sterman, we use
charmonium decay into baryon-antibaryon pair as an example and show that the
colour singlet contribution alone is clearly insufficient to explain the
experimental decay widths.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 18:10:23 GMT""}]","2007-05-23"
"hep-ph/9710465","Martin Stock","R.L. Jaffe","Can Transversity Be Measured?","15 pages, 5 postscript figures, LaTeX & BoxedEPS; invited paper,
  presented at the 2nd Topical Workshop, DESY Zeuthen, September 1-5, 1997:
  ""Deep Inelastic Scattering off Polarized Targets: Theory Meets Experiment"";
  email to jaffe@mitlns.mit.edu ; name of conference and proceedings added",,,"MIT-CTP-2685","hep-ph nucl-th",,"  I review the ways that have been proposed to measure the quark transversity
distribution in the nucleon. I then explain a proposal, developed by Xuemin
Jin, Jian Tang and myself, to measure transversity through the final state
interaction between two mesons ($\pi\pi$, $K \bar K$, or $\pi K$) produced in
the current fragmentation region in deep inelastic scattering on a transversely
polarized nucleon.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 20:05:07 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 17:36:34 GMT""}]","2009-09-25"
"hep-ph/9710466","Richard Woodard","N. C. Tsamis (University of Crete) and R. P. Woodard (University of
  Florida at Gainesville)","Matter Contributions to the Expansion Rate of the Universe","14 pages, plain TeX, 7 Postscript files, uses psfig.sty","Phys.Lett. B426 (1998) 21-28","10.1016/S0370-2693(98)00159-2","UFIFT-HEP-97-1","hep-ph astro-ph gr-qc",,"  We consider the effect of various particles on the cosmic expansion rate
relative to that of the graviton. Effectively massless fermions, gauge bosons
and conformally coupled scalars make only minuscule contributions due to local
conformal invariance. Minimally coupled scalars can give much stronger
contributions, but they are still sub-dominant to those of gravitons on account
of global conformal invariance. Unless effectively massless scalar particles
with very particular couplings exist, the leading effect on the expansion rate
is furnished solely by the graviton. An upper bound on the mass of such scalar
particles is obtained.
","[{""version"":""v1"",""created"":""Fri, 24 Oct 1997 18:26:29 GMT""}]","2009-10-30"
