"alg-geom/9710030","Enrique Arrondo","Enrique Arrondo","The universal rank-(n-1) bundle on G(1,n) restricted to subvarieties","11 pages, plain tex",,,,"alg-geom math.AG",,"  We classify those smooth (n-1)-folds in G(1,n) for which the restriction of
the rank-(n-1) universal bundle has more than n+1 independent sections. As an
aplication, we classify also those (n-1)-folds for which that bundle splits.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 18:54:41 GMT""}]","2007-05-23"
"astro-ph/9710315","Sofia Feltzing","Sofia Feltzing(Royal Greenwich Observatory) and Bengt Gustafsson
  (Astronomiska observatoriet,Uppsala,Sweden)","Abundances in metal-rich stars - Detailed abundance analysis of 47 G and
  K dwarf stars with [Me/H] $>$ 0.10 dex","Accepted for publication in Astronomy and Astrophysics Supplement
  Series. RGO preprint No. 284",,"10.1051/aas:1998400",,"astro-ph",,"  We have derived elemental abundances of O, Na, Mg, Al, Si, Ca, Ti, Cr, Mn,
Fe, Co, Ni for 47 G and K dwarf, with [Me/H]>0.1 dex. The selection of stars
was based on their kinematics as well as on their uvby-photometry. One sample
of stars on rather eccentric orbits traces the chemical evolution interior to
the solar orbit and another, on circular orbits, the evolution around the solar
orbit. A few Extreme Pop I stars were included in the latter sample. The stars
have -0.1<Fe/H]<0.42 dex. We find that the elemental abundances of Mg, Al, Si,
Ca, Ti, Cr and Ni all follow [Fe/H]. Our data put further constraints on models
of galactic chemical evolution, in particular of Cr, Mn and Co which has not
previously been studied for dwarf stars with [Me/H]>0.1 dex. The increase in
[Na/Fe] and [Al/Fe] as a function of [Fe/H] found previously by Edvardsson et
al. (1993a) has been confirmed for [Na/Fe]. This upturning relation, and the
scatter around it, are shown not to be due to a mixture of populations with
different mean distances to the galactic centre. We have not been able to trace
any tendency for relative abundances of O, Si, and Ti relative to Fe to vary
with the stellar velocities, i.e. the stars present mean distance to the
galactic centre. These results imply that there is no significant difference in
the chemical evolution of the different stellar populations for stars with
[Me/H]>0.1 dex. SMR stars on highly eccentric orbits, alleged to trace the
evolution of the chemical evolution in the galactic Bulge, have previously been
found overabundant in O, Mg and Si. We have included 3 such stars from the
study by Barbuy & Grenon (1990). We find them to be less metal rich and the
other elemental abundances remain puzzling. Our study includes 5 K dwarf stars
and reveal a striking example of overionization.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:48:01 GMT""}]","2009-10-30"
"astro-ph/9710316","Mukund Unavane","M. Unavane, Gerard Gilmore (Institute of Astronomy, Cambridge, UK)","Near infrared star counts as a test of Galactic bar structure","10 pages, Latex, MNRAS accepted",,"10.1046/j.1365-8711.1998.29511267.x",,"astro-ph",,"  We present survey data in the narrow-band L filter (nbL), taken at UKIRT, for
a total area of 277 square arcmin, roughly equally divided between four regions
at zero Galactic latitude and longitudes +-4.3 deg and +-2.3 deg. The 80%
completeness level for these observations is at roughly magnitude 11.0. This
magnitude limit, owing to the low coefficient for interstellar extinction at
this wavelength (A(nbL)=0.047 A(V)), allows us to observe bulge giants. We
match the nbL-magnitudes with DENIS survey K magnitudes, and find 95 per cent
of nbL sources are matched to K sources. Constructing colour-magnitude
diagrams, we deredden the magnitudes and find evidence for a longitude
dependent asymmetry in the source counts. We find that there are ~15% and ~5%
more sources at the negative longitude than at the corresponding positive
longitude, for the fields at +-4.3 deg and +-2.3 deg respectively. This is
compared with the predictions of some Galactic bar models. We find an asymmetry
in the expected sense, which favours gas dynamical models and the recent
deconvolution of surface photometry data (Binney et al. 1991; Binney, Gerhard &
Spergel 1997), over earlier treatments of photometric data (e.g. Dwek et al.
1995).
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 11:52:39 GMT""}]","2015-06-24"
"astro-ph/9710317","Mukund Unavane","M. Unavane, Gerard Gilmore (IoA, Cambridge, UK), N. Epchtein, G.
  Simon, D. Tiph\`ene, B. de Batz (Obs. de Paris-Meudon, France)","The Inner Galaxy resolved at IJK using DENIS data","14 pages, 33 figures, LaTeX, MNRAS accepted",,"10.1046/j.1365-8711.1998.t01-1-29511266.x",,"astro-ph",,"  We present the analysis of three colour optical/near-infrared images, in IJK,
taken for the DENIS project. The region considered covers 17.4 square deg and
lies within |l|<5 deg, |b|<1.5 deg. The adopted methods for deriving photometry
and astrometry in these crowded images, together with an analysis of the
deficiencies nevertheless remaining, are presented. The numbers of objects
extracted in I,J and K are 748000, 851000 and 659000 respectively, to magnitude
limits of 17,15 and 13. 80% completeness levels typically fall at magnitudes
16, 13 and 10 respectively, fainter by about 2 magnitudes than the usual DENIS
limits due to the crowded nature of these fields. A simple model to describe
the disk contribution to the number counts is constructed, and parameters for
the dust layer derived. We find that a formal fit of parameters for the dust
plane, from these data in limited directions, gives a scalelength and
scaleheight of 3.4+-1.0 kpc and 40+-5 pc respectively, and a solar position
14.0+-2.5 pc below the plane. This latter value is likely to be affected by
localised dust asymmetries. We convolve a detailed model of the systematic and
random errors in the photometry with a simple model of the Galactic disk and
dust distribution, to simulate expected colour-magnitude diagrams. These are in
good agreement with the observed diagrams, allowing us to isolate those stars
from the inner disk and bulge. After correcting for local dust-induced
asymmetries, we find evidence for longitude-dependent asymmetries in the
distant J and K sources, consistent with the general predictions of some
Galactic bar models. We consider complementary L-band observations in a second
paper.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 12:50:14 GMT""}]","2015-06-24"
"astro-ph/9710319","Corbard","T. Corbard, G. Berthomieu, J. Provost, P. Morel (Observatoire de la
  Cote d'Azur, Nice, France)","Inferring the equatorial solar tachocline from frequency splittings","12 pages, 10 figures in PostScript, Latex file, uses l-aa.sty,
  accepted for publication in A&A 24/10/1997, postscript available on website
  http://www.obs-nice.fr/corbard/corbard_prp.html . Added: references to F.P.
  Pijpers papers on the SOLA method","A&A 330, 1149-1159 (February 1998)",,,"astro-ph",,"  Helioseismic inversions, carried out for several years on various
ground-based and spatial observations, have shown that the solar rotation rate
presents two principal regimes: a quasi-rigid rotation in the radiative
interior and a latitude-dependent rotation in the whole convection zone. The
thin layer, named solar tachocline, between these two regimes is difficult to
infer through inverse techniques because of the ill-posed nature of the problem
that requires regularization techniques which, in their global form, tend to
smooth out any high gradient in the solution. Thus, most of the previous
attempts to study the rotation profile of the solar tachocline have been
carried out through forward modeling. In this work we show that some
appropriate inverse techniques can also be used and we compare the ability of
three 1D inverse techniques combined with two automatic strategies for the
choice of the regularization parameter, to infer the solar tachocline profile
in the equatorial plane.
  Our work, applied on LOWL (LOWL is an abbreviation for low degree denoted by
L) two years dataset, argue in favor of a very sharp (0.05+/-0.03R_sun)
transition zone located at 0.695+/-0.005R_sun which is in good agreement with
the previous forward analysis carried out on Global Oscillations Network Group
(GONG), Big Bear Solar Observatory (BBSO) and LOWL datasets.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:31:19 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 15:41:04 GMT""}]","2007-05-23"
"astro-ph/9710320","Cristian Vignali","A. Comastri (1), C. Vignali (2), M. Cappi (3,4), G. Matt (5), R.
  Audano (2), H. Awaki (6), S. Ueno (7) ((1) Astronomical Observatory-Bologna,
  (2) Department of Astronomy-Bologna, (3) ITeSRE/CNR-Bologna, (4) RIKEN-Japan,
  (5) Department of Physics, ""ROMA TRE"" University, (6) Department of Physics,
  Kyoto University, Department of Physics & Astronomy, Leicester University)","On the nature of the X-ray absorption in the Seyfert 2 galaxy NGC 4507","8 pages, LateX, 5 figures (included). Uses mn.sty and epsfig.sty. To
  appear in MNRAS",,"10.1046/j.1365-8711.1998.01302.x","BAP 10-1997-035-OAB","astro-ph",,"  We present results of the ASCA observation of the Seyfert 2 galaxy NGC 4507.
The 0.5-10 keV spectrum is rather complex and consists of several components:
(1) a hard X-ray power law heavily absorbed by a column density of about 3
10^23 cm^-2, (2) a narrow Fe Kalpha line at 6.4 keV, (3) soft continuum
emission well above the extrapolation of the absorbed hard power law, (4) a
narrow emission line at about 0.9 keV. The line energy, consistent with highly
ionized Neon (NeIX), may indicate that the soft X-ray emission derives from a
combination of resonant scattering and fluorescence in a photoionized gas. Some
contribution to the soft X-ray spectrum from thermal emission, as a blend of Fe
L lines, by a starburst component in the host galaxy cannot be ruled out with
the present data.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 15:16:54 GMT""}]","2009-10-30"
"chao-dyn/9710022","Lee","Myeong-Hwa Lee, Jeong-No Lee, Kwang-Sup Soh (S.N.U.)","Chaos in the segments from Korean traditional singing and western
  singing","23 pages including 10 eps figures, latex, to appear in J. Acoust.
  Soc. Am",,"10.1121/1.421226","SNUTP 96-129","chao-dyn nlin.CD",,"  We investigate the time series of the segments from a Korean traditional song
``Gwansanyungma'' and a western song ``La Mamma Morta'' using chaotic analysis
techniques.
  It is found that the phase portrait in the reconstructed state space of the
time series of the segment from the Korean traditional song has a more complex
structure in comparison with the segment from the western songs. The segment
from the Korean traditional song has the correlation dimension 4.4 and two
positive Lyapunov exponents which show that the dynamic related to the Korean
traditional song is a high dimensional hyperchaotic process. On the other hand,
the segment from the western song with only one positive Lyapunov exponent and
the correlation dimension 2.5 exhibits low dimensional chaotic behavior.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:08:28 GMT""}]","2016-08-31"
"cond-mat/9710276","Nishiyama","Yoshihiro Nishiyama (Okayama University)","Numerical Analysis of the Bond-Random Antiferromagnetic S=1 Heisenberg
  Chain",,"Physica A 252 (1998) 35-47; 258 (1998) 499-500 (E).","10.1016/S0378-4371(97)00616-X",,"cond-mat",,"  Ground state of the bond-random antiferromagnetic S=1 Heisenberg chain with
the biquadratic interaction -\beta\sum_i(S_i S_i+1)^2 is investigated by means
of the exact-diagonalization method and the finite-size-scaling analysis. It is
shown that the Haldane phase \beta\sim0 persists against the randomness;
namely, no randomness-driven phase transition is observed until at a point of
extremely-broad-bond distribution. We found that in the Haldane phase, the
magnetic correlation length is kept hardly changed. These results are
contrastive to those of an analytic theory which predicts a second-order phase
transition between the Haldane and the random-singlet phases at a certain
critical randomness.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 01:39:00 GMT""}]","2015-06-25"
"cond-mat/9710287","Thomas Heinzel","Peter F. Arndt and Thomas Heinzel","Metastability and spinodal points for a random walker on a triangle","27 pages, LaTeX, needs epsf.sty","J.Stat.Phys. 92 (1998) 837","10.1023/A:1023036408873","SISSA Ref. 102/97/EP","cond-mat.stat-mech",,"  We investigate time-dependent properties of a single particle model in which
a random walker moves on a triangle and is subjected to non-local boundary
conditions. This model exhibits spontaneous breaking of a Z_2 symmetry. The
reduced size of the configuration space (compared to related many-particle
models that also show spontaneous symmetry breaking) allows us to study the
spectrum of the time-evolution operator. We break the symmetry explicitly and
find a stable phase, and a meta-stable phase which vanishes at a spinodal
point. At this point, the spectrum of the time evolution operator has a gapless
and universal band of excitations with a dynamical critical exponent z=1.
Surprisingly, the imaginary parts of the eigenvalues E_j(L) are equally spaced,
following the rule Im E_j(L)\propto j/L. Away from the spinodal point, we find
two time scales in the spectrum. These results are related to scaling functions
for the mean path of the random walker and to first passage times. For the
spinodal point, we find universal scaling behavior. A simplified version of the
model which can be handled analytically is also presented.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:39:25 GMT""}]","2015-06-25"
"cond-mat/9710288","Dr N. Mavromatos","K. Farakos and N.E. Mavromatos","Gauge-theory approach to planar doped antiferromagnets and external
  magnetic fields","26 pages LATEX, 6 figures (incorporated) (In this revised version
  references on magnetic catalysis were added, and also a note was added with a
  comparison of the theoretical results presented here with a second experiment
  (cond-mat/9709061), reporting on unconventional superconducting phases in
  certain cuprates). Journal ref.:Based on Invited talk by N.E.M. at the `5th
  Chia Workshop on Common Trends in Particle and Condensed Matter Physics',
  Conference Center, Grand-Hotel Chia-Laguna, Chia, Italy, 1-11 September 1997",,"10.1142/S0217979298000478","NTUA 67/97, OUTP-97-58P","cond-mat hep-ph hep-th",,"  A review is given of a relativistic non-Abelian gauge theory approach to the
physics of spin-charge separation in doped quantum antiferromagnetic planar
systems, proposed recently by the authors. Emphasis is put on the effects of
constant external magnetic fields on excitations about the superconducting
state in the model. The electrically-charged Dirac fermions (holons),
describing excitations about specific points on the fermi surface, e.g. those
corresponding to the nodes of a d-wave superconducting gap in high-$T_c$
cuprates, condense, resulting in the opening of a Kosterlitz-Thouless-like gap
(KT) at such nodes. In the presence of strong external magnetic fields at the
surface regions of the planar superconductor, in the direction perpendicular to
the superconducting planes, these KT gaps appear to be enhanced. Our
preliminary analysis, based on analytic Scwhinger-Dyson treatments, seems to
indicate that for an even number of Dirac fermion species, required in our
model as a result of gauging a particle-hole SU(2) symmetry, Parity or Time
Reversal violation does not necessarily occurs.Based on these considerations,
we argue that recent experimental findings, concerning thermal conductivity
plateaux of quasiparticles in planar high-$T_c$ cuprates in strong external
magnetic fields, may indicate the presence of such KT gaps, caused by charged
Dirac-fermion excitations in these materials, as suggested in the above model.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 18:29:33 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 1997 19:23:15 GMT""}]","2015-06-25"
"cond-mat/9710289","S. G. den Hartog","S.G. den Hartog, B.J. van Wees, Yu.V. Nazarov, T.M. Klapwijk, and G.
  Borghs","Reentrant behavior in the superconducting phase-dependent resistance of
  a disordered 2-dimensional electron gas","4 pages, 5 figures, to be published in Phys. Rev. B",,"10.1103/PhysRevB.56.13738",,"cond-mat.mes-hall cond-mat.supr-con",,"  We have investigated the bias-voltage dependence of the phase-dependent
differential resistance of a disordered T-shaped 2-dimensional electron gas
coupled to two superconducting terminals. The resistance oscillations first
increase upon lowering the energy. For bias voltages below the Thouless energy,
the resistance oscillations are suppressed and disappear almost completely at
zero bias voltage. We find a qualitative agreement with the calculated
reentrant behavior of the resistance and discuss quantitative deviations.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:11:38 GMT""}]","2009-10-30"
"cond-mat/9710290","Slava Yukalov","S. Gluzman and V. I. Yukalov","Resummation Methods for Analyzing Time Series","Corrections are made to match the published version","Mod. Phys. Lett. B 12, 61-74 (1998)","10.1142/S021798499800010X",,"cond-mat.stat-mech q-fin.ST",,"  An approach is suggested for analyzing time series by means of resummation
techniques of theoretical physics. A particular form of such an analysis, based
on the algebraic self-similar renormalization, is developed and illustrated by
several examples from the stock market time series.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 19:21:08 GMT""},{""version"":""v2"",""created"":""Wed, 22 Apr 1998 16:33:32 GMT""}]","2009-10-30"
"cond-mat/9710291","Shoji Yamamoto","Shoji Yamamoto and Takahiro Fukui","Thermodynamic Properties of Heisenberg Ferrimagnetic Spin Chains:
  Ferromagnetic-Antiferromagnetic Crossover","4 pages, 4 Postscript figures, RevTex",,"10.1103/PhysRevB.57.R14008",,"cond-mat.stat-mech",,"  We study thermodynamic properties of the one-dimensional Heisenberg
ferrimagnet with antiferromagnetically exchange-coupled two kinds of spins 1
and 1/2. The specific heat and the magnetic susceptibility are calculated
employing a modified spin-wave theory as well as a quantum Monte Carlo method.
The specific heat is in proportion to $T^{1/2}$ at low enough temperatures but
shows a Schottky-like peak at mid temperatures. The susceptibility diverges as
$T^{-2}$. We reveal that at low temperatures the model is regarded as a
ferromagnet, while at mid temperatures it behaves like a gapped
antiferromagnet.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 23:29:08 GMT""},{""version"":""v2"",""created"":""Tue, 28 Oct 1997 05:27:37 GMT""}]","2009-10-30"
"cond-mat/9710292","Mikhail Simkin","M.V. Simkin","Domain Walls Motion and Resistivity in a Fully-Frustrated Josephson
  Array",,"Phys. Rev. B, 57 (1998) 7899","10.1103/PhysRevB.57.7899",,"cond-mat.supr-con cond-mat.soft",,"  It is identified numerically that the resistivity of a fully-frustrated
Josephson-junction array is due to motion of domain walls in vortex lattice
rather than to motion of single vortices.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 01:44:22 GMT""}]","2016-08-31"
"cond-mat/9710293","Mahn-Soo Choi","Mahn-Soo Choi, Sung-Ik Lee, and M.Y. Choi","Dissipative Dynamics of Quantum Vortices in Superconducting Arrays","REVTeX, 1 EPS figure, To appear in PRB","Phys. Rev. B 57, 2720 (1998)","10.1103/PhysRevB.57.2720","SNUTP-97-83","cond-mat.supr-con cond-mat.mes-hall",,"  We consider a two-dimensional array of ultra-small superconducting grains,
weakly coupled by Josephson junctions with large charging energy. We start from
an effective action based on a microscopic tunneling Hamiltonian, which
includes quasiparticle degrees of freedom, and study the resulting dissipative
dynamics of quantum vortices. The equation of motion for a single vortex is
deduced, and compared with a commonly adopted phenomenological model.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 06:19:09 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 11:48:04 GMT""}]","2009-10-30"
"cond-mat/9710294","Max Petersen","G. Schwarz, A. Kley, J. Neugebauer, and M. Scheffler","Electronic and structural properties of vacancies on and below the
  GaP(110) surface","10 pages, 6 figures, Submitted to Phys. Rev. B, Other related
  publications can be found at http://www.rz-berlin.mpg.de/th/paper.html",,"10.1103/PhysRevB.58.1392",,"cond-mat.mtrl-sci",,"  We have performed total-energy density-functional calculations using
first-principles pseudopotentials to determine the atomic and electronic
structure of neutral surface and subsurface vacancies at the GaP(110) surface.
The cation as well as the anion surface vacancy show a pronounced inward
relaxation of the three nearest neighbor atoms towards the vacancy while the
surface point-group symmetry is maintained. For both types of vacancies we find
a singly occupied level at mid gap. Subsurface vacancies below the second layer
display essentially the same properties as bulk defects. Our results for
vacancies in the second layer show features not observed for either surface or
bulk vacancies: Large relaxations occur and both defects are unstable against
the formation of antisite vacancy complexes. Simulating scanning tunneling
microscope pictures of the different vacancies we find excellent agreement with
experimental data for the surface vacancies and predict the signatures of
subsurface vacancies.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 10:27:26 GMT""},{""version"":""v2"",""created"":""Thu, 26 Feb 1998 16:31:44 GMT""},{""version"":""v3"",""created"":""Tue, 19 May 1998 15:42:07 GMT""}]","2009-10-30"
"cond-mat/9710295","Arno Schindlmayr","Arno Schindlmayr and R. W. Godby","Systematic vertex corrections through iterative solution of Hedin's
  equations beyond the GW approximation","4 pages including 3 figures, RevTeX","Phys. Rev. Lett. 80, 1702 (1998).","10.1103/PhysRevLett.80.1702",,"cond-mat.mtrl-sci",,"  We present a general procedure for obtaining progressively more accurate
functional expressions for the electron self-energy by iterative solution of
Hedin's coupled equations. The iterative process starting from Hartree theory,
which gives rise to the GW approximation, is continued further, and an explicit
formula for the vertex function from the second full cycle is given. Calculated
excitation energies for a Hubbard Hamiltonian demonstrate the convergence of
the iterative process and provide further strong justification for the GW
approximation.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 12:00:53 GMT""}]","2007-05-23"
"cond-mat/9710296","Daniel Errandonea","Daniel Errandonea (1), J. F. S\'anchez-Royo (1), A. Segura (1), A.
  Chevy (2), and L. Roa (2) ((1) Departamento de Fisica Aplicada, Univ. de
  Valencia, Spain (2) Laboratoire de Physics des Mileux Condens\'es, Univ.
  Pierre et Marie Curie, Paris, France)","Investigation of acceptor levels and hole scattering mechanisms in
  p-gallium selenide by means of transport measurements under pressure","13 pages, Latex, 4 ps figures. to appear in High Pressure Research 69
  (1997)",,"10.1080/08957959808200925",,"cond-mat.mtrl-sci",,"  The effect of pressure on acceptor levels and hole scattering mechanisms in
p-GaSe is investigated through Hall effect and resistivity measurements under
quasi-hydrostatic conditions up to 4 GPa. The pressure dependence of the hole
concentration is interpreted through a carrier statistics equation with a
single (nitrogen) or double (tin) acceptor whose ionization energies decrease
under pressure due to the dielectric constant increase. The pressure effect on
the hole mobility is also accounted for by considering the pressure
dependencies of both the phonon frequencies and the hole-phonon coupling
constants involved in the scattering rates.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 13:41:04 GMT""}]","2015-06-25"
"cond-mat/9710297","Martin Janssen","Peter Freche, Martin Janssen, Rainer Merkt (Institut f\""ur
  Theoretische Physik, K\""oln, Germany)","Two-dimensional disordered electron systems: a network model approach","4 pages, Figures included",,,,"cond-mat.mes-hall",,"  We demonstrate that network models for wave mechanical systems with quenched
disorder cover the physics of mesoscopic electrons. The models are constructed
as a network of random scattering matrices connecting incoming to outgoing wave
amplitudes. The corresponding wave dynamics is given by a discrete unitary time
evolution operator. We report on three different universality classes:
two-dimensional, spinless, non-chiral electrons with (O2NC) and without time
reversal symmetry (U2NC), and two-dimensional, non-chiral electrons with time
reversal symmetric spin-scattering (S2NC). We determine the phase diagram in
the parameter space of scattering strengths. The O/U2NC models show strong
localization. We find symmetry factors in localization lengths as well as
multifractal exponents in agreement with theoretical predictions. The S2NC
model displays a localization-delocalization transition. We determine the
critical exponent of the localization length and the multifractal scaling
exponent of the order parameter to be $\nu \approx 2.4$ and $\alpha_0\approx
2.18$, respectively.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 13:58:11 GMT""}]","2007-05-23"
"funct-an/9710004","Nathanial Brown","Nathanial P. Brown","On the AF embeddability of crossed products of AF algebras by the
  integers","AMS-LaTeX (uses XY-Pic), 20 pages, e-mail nbrown@math.purdue.edu",,,,"funct-an math.OA",,"  It is shown that if A is an AF algebra then a crossed product of A by the
integers can be embedded into an AF algebra if and only if the crossed product
is stably finite. This equivalence follows from a simple K-theoretic
characterization of AF embeddability. It is then shown that if a crossed
product of an AF algebra by the integers is AF embeddable then the AF embedding
can be chosen in such a way as to induce a rationally injective map on K_0 of
the crossed product.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 15:29:08 GMT""}]","2007-05-23"
"gr-qc/9710114","Steve Carlip","S. Carlip","Dominant Topologies in Euclidean Quantum Gravity","14 pages, LaTeX. Minor additions (computability, relation to
  ``minimal volume'' in topology); error in eqn (3.5) corrected; references
  added. To appear in Class. Quant. Grav","Class.Quant.Grav.15:2629-2638,1998","10.1088/0264-9381/15/9/010","UCD-97-21","gr-qc hep-th",,"  The dominant topologies in the Euclidean path integral for quantum gravity
differ sharply according on the sign of the cosmological constant. For
$\Lambda>0$, saddle points can occur only for topologies with vanishing first
Betti number and finite fundamental group. For $\Lambda<0$, on the other hand,
the path integral is dominated by topologies with extremely complicated
fundamental groups; while the contribution of each individual manifold is
strongly suppressed, the ``density of topologies'' grows fast enough to
overwhelm this suppression. The value $\Lambda=0$ is thus a sort of boundary
between phases in the sum over topologies. I discuss some implications for the
cosmological constant problem and the Hartle-Hawking wave function.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:31:47 GMT""},{""version"":""v2"",""created"":""Mon, 23 Mar 1998 19:43:38 GMT""}]","2010-04-28"
"gr-qc/9710115","Edward Malec","Edward Malec (IFUJ)","Relativistic hydrodynamic accretion onto a spherical black hole",,,,,"gr-qc",,"  This paper has been withdrawn by the author. A revised and expanded version
is gr-qc/9907028 (Phys.Rev. D60 (1999) 104043).
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 17:40:49 GMT""},{""version"":""v2"",""created"":""Tue, 16 Oct 2001 08:13:00 GMT""}]","2007-05-23"
"gr-qc/9710116","Haret Rosu","H.C. Rosu","Black holes and radiometry","7pp","Mod.Phys.Lett. A8 (1993) 3429-3434","10.1142/S0217732393003846","IFUG-R7-93","gr-qc",,"  Following Grischuk and Sidorov [Phys. Rev. D 42 (1990) 3413] in putting the
Bogolubov-Hawking coefficient of Schwarzschild black-holes in the squeezing
perspective, we provide a short discussion of Schwarzschild black holes as
radiometric standards
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 22:46:46 GMT""}]","2015-06-25"
"gr-qc/9710117","Joseph Romano","Bruce Allen and Joseph D. Romano","Detecting a stochastic background of gravitational radiation: Signal
  processing strategies and sensitivities","81 pages, 30 postscript figures, REVTEX","Phys.Rev.D59:102001,1999","10.1103/PhysRevD.59.102001","WISC-MILW-97-TH-14","gr-qc",,"  We analyze the signal processing required for the optimal detection of a
stochastic background of gravitational radiation using laser interferometric
detectors. Starting with basic assumptions about the statistical properties of
a stochastic gravity-wave background, we derive expressions for the optimal
filter function and signal-to-noise ratio for the cross-correlation of the
outputs of two gravity-wave detectors. Sensitivity levels required for
detection are then calculated. Issues related to: (i) calculating the
signal-to-noise ratio for arbitrarily large stochastic backgrounds, (ii)
performing the data analysis in the presence of nonstationary detector noise,
(iii) combining data from multiple detector pairs to increase the sensitivity
of a stochastic background search, (iv) correlating the outputs of 4 or more
detectors, and (v) allowing for the possibility of correlated noise in the
outputs of two detectors are discussed. We briefly describe a computer
simulation which mimics the generation and detection of a simulated stochastic
gravity-wave signal in the presence of simulated detector noise. Numerous
graphs and tables of numerical data for the five major interferometers
(LIGO-WA, LIGO-LA, VIRGO, GEO-600, and TAMA-300) are also given. The treatment
given in this paper should be accessible to both theorists involved in data
analysis and experimentalists involved in detector design and data acquisition.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 21:41:31 GMT""}]","2009-12-30"
"gr-qc/9710118","Guido Cognola","Guido Cognola","Thermodynamics of scalar fields in Kerr's geometry","7 pages, LaTex, (revised version-last section modified)","Phys.Rev. D57 (1998) 6292-6296","10.1103/PhysRevD.57.6292","University of Trento, UTF 403","gr-qc",,"  The one-loop contributions to the entropy for a massive scalar field in a
Kerr black hole are investigated using an approximation of the metric, which,
after a conformal transformation, permits to work in a Rindler-like spacetime.
Of course, as for the Schwarzschild case, the entropy is divergent in the
proximity of the event horizon.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 09:15:15 GMT""},{""version"":""v2"",""created"":""Wed, 29 Oct 1997 07:42:29 GMT""},{""version"":""v3"",""created"":""Thu, 22 Jan 1998 16:38:13 GMT""}]","2009-10-30"
"gr-qc/9710120","Konstantinov Mikhail","M.Yu. Konstantinov","Causality in Topologically Nontrivial Space-Times","3 pages, LaTex. Submitted to the Proc. of MG8 Conference",,,"RGS-VNIIMS-010/97","gr-qc",,"  The problems causality and causality violation in topologically nontrivial
space-time models are considered. To this end the mixed boundary problem for
traversable wormhole models is formulated and the influence of the boundary
conditions on the causal properties of space-time is analyzed
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 13:12:37 GMT""}]","2007-05-23"
"gr-qc/9710121","Joachim Frieben","S. Bonazzola, J. Frieben, and E. Gourgoulhon (DARC, CNRS, Observatoire
  de Paris, France)","Spontaneous symmetry breaking of rapidly rotating stars in general
  relativity: influence of the 3D-shift vector","11 pages, LaTeX, 3 PostScript figures. Accepted for publication in
  Astronomy & Astrophysics","Astron.Astrophys.331:280-290,1998",,"Preprint Observatoire de Paris no 97020","gr-qc astro-ph",,"  An analytical scheme and a numerical method in order to study the effects of
general relativity on the viscosity driven secular bar mode instability of
rapidly rotating stars are presented. The approach consists in perturbing an
axisymmetric and stationary configuration and studying its evolution by
constructing a series of triaxial quasi-equilibrium configurations. These are
obtained by solution of an approximate set of field equations where only the
dominant non-axisymmetric terms are taken into account. The progress with
respect to our former investigation consists in a higher relativistic order of
the non-axisymmetric terms included into the computation, namely the fully
three-dimensional treatment of the vector part of the space-time metric tensor
as opposed to the scalar part, solely, in the former case. The scheme is
applied to rotating stars built on a polytropic equation of state and compared
to our previous results. The 3D-vector part turns out to inhibit the symmetry
breaking efficiently. Nevertheless, the bar mode instability is still possible
for an astrophysically relevant mass of M_ns=1.4 M_sun when a stiff polytropic
equation of state with an adiabatic index of gamma=2.5 is employed. Triaxial
neutron stars may be efficient emitters of gravitational waves and are thus
potentially interesting sources for the forthcoming laser interferometric
gravitational wave detectors such as LIGO, VIRGO and GEO600. From a numerical
point of view, the solution of the three-dimensional minimal-distortion shift
vector equation in spherical coordinates is an important achievement of our
code.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 1997 14:53:38 GMT""}]","2011-05-23"
