"alg-geom/9710016","Gerard van der Geer","Gerard van der Geer and Marcel van der Vlugt","Generalized Reed-Muller codes and curves with many points","Plain Tex, 11 pages",,,,"alg-geom math.AG",,"  The weight hierarchy of generalized Reed-Muller codes over arbitrary finite
fields was determined by Heijnen and Pellikaan. In this paper we produce curves
over finite fields with many points which are closely related to this weight
hierarchy.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:09:44 GMT""}]","2007-05-23"
"cond-mat/9710113","Masakazu Murakami","Masakazu Murakami (1), Hidetoshi Fukuyama (1) ((1) Tokyo University)","Effects of the Backward Scattering in Two-Dimensional Electron System","7 pages, LaTeX, 5 figures, uses jpsj.sty","J. Phys. Soc. Jpn. 67 (1998) 41","10.1143/JPSJ.67.41",,"cond-mat.str-el",,"  Effects of the backward scattering with large momentum transfer are examined
in two-dimensional electron system with a special emphasis on electrons around
($\pi$,0), (0,$\pi$). The phase diagram is shown in the plane of temperature
$T$ and hole doping $\delta$ in the mean field approximation and it is found
that d-wave superconductivity, antiferromagnetism and $\pi$-triplet pair can
coexist near half filling.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 04:54:52 GMT""},{""version"":""v2"",""created"":""Thu, 29 Jan 1998 09:24:43 GMT""}]","2009-10-30"
"cond-mat/9710114","A. K. Kolezhuk","S. Brehmer, A. K. Kolezhuk, H.-J. Mikeska, and U. Neugebauer","Elementary excitations in the gapped phase of a frustrated S=1/2 spin
  ladder: from spinons to the Haldane triplet","RevTeX, 13 pages, 11 embedded figures, uses psfig and multicol","J. Phys.: Condens. Matter v.10, 1103-1116 (1998)","10.1088/0953-8984/10/5/017",,"cond-mat.str-el",,"  We use the variational matrix-product ansatz to study elementary excitations
in the S=1/2 ladder with additional diagonal coupling, equivalent to a single
S=1/2 chain with alternating exchange and next-nearest neighbor interaction. In
absence of alternation the elementary excitation consists of two free S=1/2
particles (""spinons"") which are solitons in the dimer order. When the
nearest-neighbor exchange alternates, the ""spinons"" are confined into one S=1
excitation being a soliton in the generalized string order. Variational results
are found to be in a qualitative agreement with the exact diagonalization data
for 24 spins. We argue that such an approach gives a reasonably good
description in a wide range of the model parameters.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 10:52:19 GMT""}]","2009-10-30"
"cond-mat/9710115","Roland Combescot","R. Combescot","The gap maximum of anisotropic superconductors","5 pages, revtex, 1 figure","Europhys.Lett. 43, 701 (1998)","10.1209/epl/i1998-00420-8",,"cond-mat.supr-con",,"  For a completely general anisotropic order parameter (including changes of
sign), we show that weak coupling theory is incompatible with high values of
the maximum \Delta_{M} of the zero temperature gap as compared to the critical
temperature T_{c}, such as those found experimentally in
Bi_{2}Sr_{2}CaCu_{2}O_{8+\delta} where 2 \Delta_{M} / T_{c} \approx 7.5 . This
gives evidence for strong coupling effects. In particular this comes as a major
support for a spin fluctuation mechanism with strong coupling, if one assumes
that only a repulsive pairing interaction is at work in high T_{c}
superconductors.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 11:14:57 GMT""}]","2009-10-30"
"cond-mat/9710116",,"J.P. Rodriguez (ICMM-Csic and Csula)","Critical Behavior of Layered Superconducting Films in Parallel Magnetic
  Field","20 pgs PLAIN TeX, 2 postscript figs., expanded into article to appear
  in Physical Review B, Vol. 58",,"10.1103/PhysRevB.58.944",,"cond-mat.supr-con",,"  The equilibrium magnetization for layered superconducting films that
experience a nonzero component, $H_{\parallel}$, of magnetic field applied
parallel to the layers is computed at temperatures and at perpendicular field
components in the vicinity of the decoupling transition. A fermion analogy is
exploited for this purpose, whereby it is found that the parallel magnetization
shows an anomalous $H_{\parallel}^{-1}$ tail at high fields due to entropic
fluctuations of the (parallel) lattice of Josephson vortices. A collective
pinning effect is also identified for $c$-axis transport limited by a single
planar defect oriented parallel to both $c$ and to the applied magnetic field.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:34:09 GMT""},{""version"":""v2"",""created"":""Fri, 22 May 1998 17:26:04 GMT""}]","2009-10-30"
"cond-mat/9710118","Dima Shepelyansky","Giulio Casati, Giulio Maspero and Dima L. Shepelyansky","Quantum Fractal Eigenstates","revtex, 3 pages, 4 figures (2 in ps-files, 2 color figs in gif-files)",,,,"cond-mat",,"  We study quantum chaos in open dynamical systems and show that it is
characterized by quantum fractal eigenstates located on the underlying
classical strange repeller. The states with longest life times typically reveal
a scars structure on the classical fractal set.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:06:49 GMT""}]","2007-05-23"
"cond-mat/9710121","Cristian F. Moukarzel","Cristian F. Moukarzel (UFF, Brazil) Phillip M. Duxbury (MSU, USA) and
  Paul L. Leath (Rutgers, USA)","First-order rigidity transition on Bethe Lattices","RevTeX, 11 pages + 8 .gif figures","Physical Review E 55, 5800 (1997)","10.1103/PhysRevE.55.5800",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  Tree models for rigidity percolation are introduced and solved. A probability
vector describes the propagation of rigidity outward from a rigid border. All
components of this ``vector order parameter'' are singular at the same rigidity
threshold, $p_c$. The infinite-cluster probability $P_{\infty}$ is usually
first-order at $p_c$, but often behaves as $P_{\infty} \sim \Delta P_{\infty} +
(p-p_c)^{1/2}$, indicating critical fluctuations superimposed on a first order
jump. Our tree models for rigidity are in qualitative disagreement with
``constraint counting'' mean field theories. In an important sub-class of tree
models ``Bootstrap'' percolation and rigidity percolation are equivalent.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 15:38:14 GMT""}]","2009-10-30"
"dg-ga/9710012","Paul Feehan","Paul M. N. Feehan, Thomas G. Leness","Uhlenbeck compactness and transversality for the moduli space of PU(2)
  monopoles","LaTeX 2e, 15 pages",,,,"dg-ga alg-geom hep-th math.AG math.DG",,"  This research announcement gives a brief report of the main results in our
paper ""PU(2) monopoles, I: Regularity, Uhlenbeck compactness, and
transversality"" (Journal of Differential Geometry, to appear). We describe the
existence of perturbations for the PU(2) monopole equations, yielding both
useful transversality properties and an Uhlenbeck compactification for this
perturbed moduli space.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 21:33:28 GMT""}]","2007-05-23"
"gr-qc/9710066","Carsten Gundlach","Carsten Gundlach (Albert Einstein Institut, Potsdam)","Nonspherical perturbations of critical collapse and cosmic censorship","5 pages, RevTex, 1 figure. Changes in discussion, accepted for
  publication in PRD Rapid Comm","Phys.Rev.D57:7075-7079,1998","10.1103/PhysRevD.57.7075",,"gr-qc",,"  Choptuik has demonstrated that naked singularities can arise in gravitational
collapse from smooth, asymptotically flat initial data, and that such data have
codimension one in spherical symmetry. Here we show, for perfect fluid matter
with equation of state $p=\rho/3$, by perturbing around spherical symmetry,
that such data have in fact codimension one in the full phase space, at least
in a neighborhood of spherically symmetric data.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 18:47:04 GMT""},{""version"":""v2"",""created"":""Thu, 4 Jun 1998 09:21:50 GMT""}]","2009-12-30"
"hep-lat/9710045","Akira Ukawa","JLQCD Collaboration: S. Aoki, M. Fukugita, S. Hashimoto, N. Ishizuka,
  Y. Iwasaki, K. Kanaya, Y. Kuramashi, H. Mino, M. Okawa, A. Ukawa, T. Yoshi\'e","Two-Flavor Chiral Phase Transition in Lattice QCD with the
  Kogut-Susskind Quark Action","3 pages, Latex(espcrc2,epsf), 3 ps figures, Poster presented at
  Lattice 97","Nucl.Phys.Proc.Suppl. 63 (1998) 403-405","10.1016/S0920-5632(97)00783-4",,"hep-lat",,"  A summary is presented of a scaling study of the finite-temperature chiral
phase transition of two-flavor QCD with the Kogut-Susskind quark action based
on simulations on $L^3\times4$ ($L$=8, 12 and 16) lattices at the quark mass of
$m_q=0.075, 0.0375, 0.02$ and 0.01. We find a phase transition to be absent for
$m_q\geq 0.02$, and also quite likely at $m_q=0.01$. The quark mass dependence
of susceptibilities is consistent with a second-order transition at $m_q=0$.
The exponents, however, deviate from the O(2) and O(4) values theoretically
expected.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 17:09:40 GMT""}]","2009-10-30"
"hep-lat/9710046","A. Hoferichter","A. Hoferichter, E. Laermann, V.K. Mitrjushkin, M. M\""uller-Preussker,
  P. Schmidt","Hadron masses in qQCD with Wilson fermions near the chiral limit","8 (single column-) pages, contribution to LATTICE 97","Nucl.Phys.Proc.Suppl. 63 (1998) 164-166","10.1016/S0920-5632(97)00709-3","DESY-97-195, HLRZ1997_60, JINR-E2-97-281, HUB-EP-97/69","hep-lat",,"  In quenched lattice QCD with standard Wilson fermions the quark propagator is
computed very close to the chiral limit in the zero-temperature case. Starting
from our experience with lattice QED we employ a modified statistical method in
order to estimate reliably hadron masses.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 17:41:23 GMT""}]","2009-10-30"
"hep-lat/9710047","A. Hoferichter","A. Hoferichter, V.K. Mitrjushkin, M. M\""uller-Preussker, H. St\""uben","Effects of dynamical Wilson fermions and the phase structure of compact
  QED_4","7 (single column-) pages, contribution to LATTICE 97","Nucl.Phys.Proc.Suppl. 63 (1998) 454-456","10.1016/S0920-5632(97)00800-1","HU-EP-97/70","hep-lat",,"  By comparison of the quenched and full formulations of compact QED with
Wilson fermions we single out the effects of dynamical fermions on the `chiral
transition line' within the confinement phase. It is shown that this line
cannot correspond to the chiral limit of the theory for all values of the gauge
coupling. This seems to imply the existence of tri-critical points in this
theory, the phase structure of which has a close similarity to QCD at finite
temperature.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 18:02:04 GMT""}]","2009-10-30"
"hep-lat/9710048","Akira Ukawa","JLQCD Collaboration: S. Aoki, M. Fukugita, S. Hashimoto, N. Ishizuka,
  Y. Iwasaki, K. Kanaya, Y. Kuramashi, H. Mino, M. Okawa, A. Ukawa, T. Yoshi\'e","Scaling Study of the Two-Flavor Chiral Phase Transition with the
  Kogut-Susskind Quark Action in Lattice QCD","29 pages, Latex(epsf), 11 ps figures","Phys. Rev. D 57, 3910 (1998)","10.1103/PhysRevD.57.3910",,"hep-lat",,"  We report on a study of two-flavor finite-temperature chiral phase transition
employing the Kogut-Susskind quark action and the plaquette gluon action in
lattice QCD for a lattice with $N_t=4$ temporal size. Hybrid R simulations of
$10^4$ trajectories are made at quark masses of $m_q=0.075, 0.0375, 0.02, 0.01$
in lattice units for the spatial sizes $8^3, 12^3$ and $16^3$. The spatial size
dependence of various susceptibilities confirm the previous conclusion of the
absence of a phase transition down to $m_q=0.02$. At $m_q=0.01$ an increase of
susceptibilities is observed up to the largest volume $16^3$ explored in the
present work. We argue, however, that this increase is likely to be due to an
artifact of too small a lattice size and it cannot be taken to be the evidence
for a first-order transition. Analysis of critical exponents estimated from the
quark mass dependence of susceptibilities shows that they satisfy hyperscaling
consistent with a second-order transition located at $m_q=0$. The exponents
obtained from larger lattice, however, deviate significantly from both those of
O(2), which is the exact symmetry group of the Kogut-Susskind action at finite
lattice spacing, and those of O(4) expected from an effective sigma model
analysis in the continuum limit.
","[{""version"":""v1"",""created"":""Sun, 12 Oct 1997 18:10:44 GMT""}]","2016-08-25"
"hep-lat/9710049","Masahiro Fukushima Quark Nuclear Group","Hideo Suganuma (RCNP), Masahiro Fukushima (RCNP), Hiroko Ichie (RCNP)
  and Atsunori Tanaka (RCNP)","Instanton, Monopole Condensation and Confinement","Talk presented by H.Suganuma at the 5th Topical Seminar on The
  Irresistible Rise of the Standard Model, San Miniato al Todesco, Italy, 21-25
  April 1997 5 pages, Plain Latex","Nucl.Phys.Proc.Suppl. 65 (1998) 29-33","10.1016/S0920-5632(97)00971-7",,"hep-lat",,"  The confinement mechanism in the nonperturbative QCD is studied in terms of
topological excitation as QCD-monopoles and instantons. In the 't Hooft abelian
gauge, QCD is reduced into an abelian gauge theory with monopoles, and the QCD
vacuum can be regarded as the dual superconductor with monopole condensation,
which leads to the dual Higgs mechanism. The monopole-current theory extracted
from QCD is found to have essential features of confinement. We find also close
relation between monopoles and instantons using the lattice QCD. In this
framework, the lowest $0^{++}$ glueball (1.5 $\sim$ 1.7GeV) can be identified
as the QCD-monopole or the dual Higgs particle.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 11:13:28 GMT""}]","2009-10-30"
"hep-lat/9710050","Jochen Viehoff","J. Viehoff, N. Eicker, S. Guesken, H. Hoeber, P. Lacock, Th. Lippert,
  G. Ritzenhoefer, K. Schilling, A. Spitz and P. Ueberholz","Improving Stochastic Estimator Techniques for Disconnected Diagrams","One author added. Contribution to Lattice 1997, 3 pages LaTex, to
  appear in Nucl. Phys. B (Proc. Suppl.)","Nucl.Phys.Proc.Suppl. 63 (1998) 269-271","10.1016/S0920-5632(97)00742-1",,"hep-lat",,"  Disconnected diagrams are expected to be sensitive to the inclusion of
dynamical fermions. We present a feasibility study for the observation of such
effects on the nucleonic matrix elements of the axial vector current, using
SESAM full QCD vacuum configurations with Wilson fermions on $16^3\times 32$
lattices, at $\beta =5.6$. Starting from the standard methods developed by the
Kentucky and Tsukuba groups, we investigate the improvement from various
refinements thereof.
","[{""version"":""v1"",""created"":""Mon, 13 Oct 1997 13:40:09 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 1997 10:04:42 GMT""}]","2009-10-30"
