"alg-geom/9710017","Martin Deschamps Mireille","Robin Hartshorne, Mireille Martin-Deschamps, Daniel Perrin","Un th\'eor\`eme de Rao pour les familles de courbes gauches","22 pages, TeX",,,,"alg-geom math.AG",,"  The aim of this paper is to prove a generalization of a theorem of Rao for
families of space curves, which caracterizes the biliaison classes of curves.
First we introduce the concept of pseudo-isomorphism of coherent sheaves, which
generalizes the concept of stable isomorphism. An N-type resolution for a
family of curves $C$ over the local ring $A$, defined by an ideal $J$, is an
exact sequence $0\to P\to N\to J\to 0$ where $N$ is a locally free sheaf on
$P^3_A$ and $P$ is a direct sum of invertible sheaves $O_P(-n_i)$. We prove the
two following results, when the residual field of $A$ is infinite : 1. Let $C$
and $C'$ be two flat families of space curves over the local ring $A$. Then $C$
and $C'$ are in the same biliaison class if and only if their ideals $J$ and
$J'$ are pseudo-isomorphic, up to a shift. 2. Let $C$ and $C'$ be two flat
families of space curves over the local ring $A$, with N-type resolutions,
involving sheaves $N$ and $N'$. Then $C$ and $C'$ are in the same biliaison
class if and only if $N$ and $N'$ are pseudo-isomorphic, up to a shift.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 10:48:55 GMT""}]","2007-05-23"
"astro-ph/9710151","Masashi Chiba","Masashi Chiba (NAOJ) and Yuzuru Yoshii (Univ. of Tokyo)","Early evolution of the Galactic halo revealed from Hipparcos
  observations of metal-poor stars","32 pages, 20 ps figures, AASTeX, to appear in AJ (January 1998),
  Table 1 available at http://gala.mtk.nao.ac.jp/preprint/halo2/table1.ps.gz",,"10.1086/300177",,"astro-ph",,"  The kinematics of 122 red giants and 124 RR Lyrae variables in the solar
neighborhood is studied using accurate measurements of their proper motions by
the Hipparcos astrometry satellite, combined with the published photometric
distances, metal abundances and radial velocities. A majority of these sample
stars have metal abundances with [Fe/H]<-1 and thus represent the old stellar
populations in the Galaxy. The halo component with [Fe/H]<-1.6 is characterized
by no systemic rotation and a radially elongated velocity ellipsoid. About 16%
of such metal-poor stars have low orbital eccentricities e<0.4, and we see no
evidence for the correlation between [Fe/H] and e. Based on the model for the e
distribution of orbits, we show that this fraction of low e stars for
[Fe/H]<-1.6 is explained from the halo component alone, without introducing the
extra disk component claimed by recent workers. This is also supported by no
significant change of the e distribution with the height from the Galactic
plane. This metal-weak thick disk component appears to comprise only about 10%
for -1.6< [Fe/H]<-1 and 20% for -1.4<[Fe/H]<-1. It is also verified that the
disk has the mean rotation of about 195 km/s and the vertical extent of 1 kpc,
which is consistent with the thick disk dominating at [Fe/H]=-0.6 to -1. The
implications of these results for the early evolution of the Galaxy are also
presented.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 01:07:50 GMT""}]","2009-10-30"
"astro-ph/9710152","Bruce T. Draine","B.T. Draine and A. Lazarian (Princeton University Observatory)","Diffuse Galactic Emission from Spinning Dust Grains","13 pages, 3 eps figures, uses aaspp4.sty . Accepted by Ap.J.Letters
  97/12/09. Corrected typos and added 1 reference","Astrophys.J.494:L19-L22,1998","10.1086/311167","POPe-733","astro-ph",,"  Spinning interstellar dust grains produce detectable rotational emission in
the 10-100 GHz frequency range. We calculate the emission spectrum, and show
that this emission can account for the ``anomalous'' Galactic background
component which correlates with 100um thermal emission from dust. Implications
for cosmic background studies are discussed.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 01:27:39 GMT""},{""version"":""v2"",""created"":""Wed, 10 Dec 1997 18:14:13 GMT""}]","2011-02-07"
"astro-ph/9710153","Paul Ricker","P. M. Ricker (University of Virginia)","Off-Center Collisions between Clusters of Galaxies","26 pages, 15 figures included, submitted to ApJ; for color figures
  and movies see http://www.astro.virginia.edu/~pmr7u/paper_offctr.html","Astrophys.J. 496 (1998) 670","10.1086/305393",,"astro-ph",,"  We present numerical simulations of off-center collisions between galaxy
clusters made using a new hydrodynamical code based on the piecewise-parabolic
method (PPM) and an isolated multigrid Poisson solver. We have performed three
gas-only high-resolution simulations of collisions between equal-mass clusters
with different values of the impact parameter (0, 5, and 10 times the core
radius). With these simulations we have studied the observational appearance of
the merging clusters and the variation in equilibration time, luminosity
enhancement during the collision, and structure of the merger remnant with
varying impact parameter. Observational evidence of an ongoing collision is
present for 1-2 sound crossing times after the collision, but only for special
viewing angles. The remnant actually requires at least five crossing times to
reach virial equilibrium. Since the sound crossing time can be as large as 1-2
Gyr, the equilibration time can thus be a large fraction of the age of the
universe. The final merger remnant is very similar for impact parameters of
zero and five core radii. It possesses a roughly isothermal core, with central
density and temperature twice the initial values. Outside the core the
temperature drops as r^-1, and the density roughly as r^-3.8. The core radius
shows a small increase due to shock heating during the merger. For an impact
parameter of ten core radii the core of the remnant possesses a more flattened
density profile, with a steeper dropoff outside the core. In both off-center
cases the merger remnant rotates, but only for the ten-core-radius case does
this appear to have an effect on the structure of the remnant.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 03:46:33 GMT""}]","2009-10-30"
"astro-ph/9710154","Priya","Priyamvada Natarajan (IoA, Cambridge), Steinn Sigurdsson (IoA,
  Cambridge), Joseph Silk (IoA, Cambridge & Univ. of California, Berkeley)","Quasar outflows and the formation of dwarf galaxies","LaTeX file, 1 ps figure, 7 pages, MNRAS in press",,"10.1046/j.1365-8711.1998.01703.x",,"astro-ph",,"  We propose a scenario for the formation of a population of baryon-rich, dark
matter-deficient dwarf galaxies at high redshift that form from the mass swept
out in the Intergalactic Medium (IGM) by energetic outflows from luminous
quasars. We predict the intrinsic properties of these galaxies, and examine the
prospects for their observational detection in the optical, X-ray and radio
wavebands. Detectable thermal Sunyaev-Zeldovich decrements (cold spots) on
arc-minute scales in the cosmic microwave background radiation maps are
expected during the shock-heated expanding phase from these hot bubbles. We
conclude that the optimal detection strategy for these dwarfs is via
narrow-band Lyman-$\alpha$ imaging of regions around high redshift quasars. An
energetically scaled-down version of the same model is speculated upon as a
possible mechanism for forming pre-galactic globular clusters.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 08:26:31 GMT""},{""version"":""v2"",""created"":""Mon, 1 Jun 1998 22:53:03 GMT""}]","2009-10-30"
"astro-ph/9710155","Alain Jorissen","A. Jorissen (1,2), G.R. Knapp (2) ((1) Universite Libre de Bruxelles,
  Belgium (2) Department of Astrophysical Sciences, Princeton University,
  U.S.A)","Circumstellar shells and mass loss rates: Clues to the evolution of S
  stars","Astronomy & Astrophysics Suppl., 40 pages, 22 figures, 6 tables
  (LaTeX). Also available at: http://astro.ulb.ac.be/Htm/ps.htm",,"10.1051/aas:1998192",,"astro-ph",,"  It is the purpose of this paper to rediscuss the circumstellar properties of
S stars and to put these properties in perspective with our current
understanding of the evolutionary status of S stars, in particular the
intrinsic/extrinsic dichotomy. Accordingly, an extensive data set probing the
circumstellar environment of S stars (IRAS flux densities, maser emission, CO
rotational lines) has been collected and critically evaluated. This data set
combines new observations (9 stars have been observed in the CO J=2-1 line and
3 in the CO J=3-2 line, with four new detections) with existing material (all
CO and maser observations of S stars published in the literature). The IRAS
flux densities of S stars have been re-evaluated by co-adding the individual
scans, in order to better handle the intrinsic variability of these stars in
the IRAS bands, and possible contamination by Galactic cirrus.
  Mass loss rates or upper limits have been derived for all S stars observed in
the CO rotational lines, and range from < 2 10^{-8} Msun y^{-1} for extrinsic S
stars to 10^{-5} Msun y^{-1}. These mass-loss rates correlate well with the K -
[12] color index, which probes the dust loss rate, provided that the mass loss
rate be larger than 10^{-8} Msun~y^{-1}. Small mass-loss rates are found for
extrinsic S stars, consistent with their not being so evolved (RGB or
Early-AGB) as the Tc-rich S stars. This result does not support the claim often
made in relation with symbiotic stars that binarity strongly enhances the
mass-loss rate.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 13:14:55 GMT""}]","2009-10-30"
"astro-ph/9710156","J. P. Beaulieu","J.P. Beaulieu and Penny D. Sackett (Kapteyn Astronomical Institute,
  Groningen, The Netherlands)","Red Clump Morphology as Evidence Against a New Intervening Stellar
  Population as the Primary Source of Microlensing Toward the LMC","21 pages LaTex (aaspp4.sty), including three tables and 9 figures (1
  is .ps, 8 are .gif). Accepted for publication by Astronomical Journal on
  March 16, 1998. One error corrected and major revisions now lead to an even
  stronger argument for the stellar evolutionary origin of features in the LMC
  color magnitude diagram, claimed by others to be an intervening stellar
  population and major source of microlensing optical depth toward the LMC",,"10.1086/300400",,"astro-ph",,"  We examine the morphology of the color-magnitude diagram (CMD) for core
helium-burning (red clump) stars to test the recent suggestion by Zaritsky &
Lin (1997) that an extension of the red clump in the Large Magellanic Cloud
(LMC) toward brighter magnitudes is due to an intervening population of stars
that is responsible for a significant fraction of the observed microlensing
toward the LMC. Using our own CCD photometry of several fields across the LMC,
we confirm the presence of this additional red clump feature, but conclude that
it is caused by stellar evolution rather than a foreground population. We do
this by demonstrating that the feature (1) is present in all our LMC fields,
(2) is in precise agreement with the location of the blue loops in the
isochrones of intermediate age red clump stars with the metallicity and age of
the LMC, (3) has a relative density consistent with stellar evolution and LMC
star formation history, and (4) is present in the Hipparcos CMD for the solar
neighborhood where an intervening population cannot be invoked. Assuming there
is no systematic shift in the model isochrones, which fit the Hipparcos data in
detail, a distance modulus of $\mu_{LMC} = 18.3$ provides the best fit to our
dereddened CMD.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 13:55:37 GMT""},{""version"":""v2"",""created"":""Thu, 19 Mar 1998 08:26:07 GMT""}]","2009-10-30"
"astro-ph/9710157","Rodrigo Alvarez","R. Alvarez (1), B. Plez (2) ((1) GRAAL, Universit\'e Montpellier II,
  France, (2) Astronomiska Observatoriet, Uppsala, Sweden)","Near-infrared narrow-band photometry of M-giant and Mira stars: models
  meet observations","12 pages, 9 figures, Latex, accepted for publication in Astronomy and
  Astrophysics main journal",,,,"astro-ph",,"  From near-infrared, narrow-band photometry of 256 oxygen-rich Mira variables
we obtain evidence about the loops that these stars follow in colour-colour
diagrams. We also find a phase lag between indices related to molecular
band-strength of titanium oxide and vanadium oxide. We compute colours for
normal M-giants and Miras using hydrostatic and hydrodynamic model atmospheres
and very extensive up-to-date line lists. Normal M-giants colours are well
reproduced, reaching a high quantitative agreement with observations for
spectral types earlier than M7. The out-of-phase variations of the various
spectral features of Miras are also acceptably reproduced, despite limitations
in the modelling. This enables us to confirm that the phase lag phenomenon
results from the propagation of perturbations in the extended atmosphere. It
opens new perspectives in the spectral modelling of Miras.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 11:56:21 GMT""}]","2007-05-23"
"astro-ph/9710158","Martin Asplund","Martin Asplund (Nordita)","The stability of late-type stars close to the Eddington limit","11 pages; accepted for publication in Astronomy & Astrophysics",,,"Nordita Preprint 97/71","astro-ph",,"  Super-Eddington luminosities in hydrostatic model atmospheres manifest
themselves by the presence of gas pressure inversions. Such inversions are not
an artifact of the assumption of hydrostatic equilibrium but can also be
present in hydrodynamical model atmospheres. Only for very large mass loss
rates hardly realized in supergiants will the inversions be removed.
Instabilities may, however, still be present in such inversions, which is
investigated for both H-rich and H-deficient late-type supergiant model
atmospheres. A local, non-adiabatic, linear stability analysis reveals that
sound waves can be amplified due to the strong radiative forces. However,
despite the super-Eddington luminosities, the efficiency of the radiative
instabilities is fairly low compared to for early-type stars with growth rates
of $10^{-5} s^{-1}$.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:11:15 GMT""}]","2007-05-23"
"astro-ph/9710159","H. M. Antia","H. M. Antia, S. M. Chitre (Tata Institute of Fundamental Research,
  Mumbai, India)","Seismic inversions for temperature and chemical composition profiles in
  the solar interior","15 pages, A&A-LaTeX2e, 15 figures","Astron. Astrophys. 339 (1998) 239",,,"astro-ph",,"  The primary inversion of the accurately measured frequencies of solar
oscillations determines the mechanical properties of the Sun, i.e., the sound
speed and density as a function of solar radius. In order to infer the
temperature and hydrogen abundance profiles inside the Sun, it becomes
necessary to use, in addition, the equations of thermal equilibrium along with
the input physics, such as opacities, equation of state and nuclear reaction
rates. It then becomes possible to estimate the effects of uncertainties in
opacity and nuclear reaction rates on the inferred thermal and composition
profiles. The seismically determined temperature and hydrogen abundance
profiles turn out to be close to those in a standard evolutionary solar model
that includes the diffusion of helium and heavy elements below the convection
zone. The most significant departure occurs just below the base of the
convection zone where the inferred hydrogen abundance profile is smoother than
that in a standard diffusion model. The region just beneath the solar
convection zone appears to be mixed, a process which could account for the
observed low lithium abundance in the solar envelope. With a reasonable
allowance for errors in opacities, the helioseismically estimated cross-section
for pp nuclear reaction rate turns out to be (4.15+/-0.25)*1.E-25 MeV barns.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 12:28:11 GMT""}]","2007-05-23"
"astro-ph/9710160","Andrew Blain","A W Blain (Cavendish Laboratory, Cambridge, UK)","Submillimetre-wave gravitational lenses and cosmology","7 pages, 2 single-panel figures, 2 double-panel figures, 1
  quadruple-panel figure (total of 10 postscript files). Accepted by Monthly
  Notices of the Royal Astronomical Society","Mon.Not.Roy.Astron.Soc. 295 (1998) 92-98","10.1046/j.1365-8711.1998.29511239.x",,"astro-ph",,"  One of the most direct routes for investigating the geometry of the Universe
is provided by the numbers of strongly magnified gravitationally lensed
galaxies as compared with those that are either weakly magnified or
de-magnified. In the submillimetre waveband the relative abundance of strongly
lensed galaxies is expected to be larger as compared with the optical or radio
wavebands, both in the field and in clusters of galaxies. The predicted numbers
depend on the properties of the population of faint galaxies in the
submillimetre waveband, which was formerly very uncertain; however, recent
observations of lensing clusters have reduced this uncertainty significantly
and confirm that a large sample of galaxy-galaxy lenses could be detected and
investigated using forthcoming facilities, including the FIRST and Planck
Surveyor space missions and a large ground-based millimetre/submillimetre-wave
interferometer array (MIA). We discuss how this sample could be used to impose
limits to the values of cosmological parameters and the total density and form
of evolution of the mass distribution of bound structures, even in the absence
of detailed lens modeling for individual members of the sample. The effects of
different world models on the form of the magnification bias expected in
sensitive submillimetre-wave observations of clusters are also discussed,
because an MIA could resolve and investigate images in clusters in detail.
","[{""version"":""v1"",""created"":""Wed, 15 Oct 1997 13:17:27 GMT""}]","2009-10-30"
