"astro-ph/9710181","Gilles Gerbier","G. Gerbier (1), J. Mallet (1), L. Mosca (1), C. Tao (2) (1 CEA Saclay,
  2 LPCC Paris)","Note on a 'hint' for an annual modulation signature of a 60 GeV WIMP","LaTex, 4 pages, 2 figures",,,"DAPNIA-97-23","astro-ph hep-ph",,"  In a recent presentation at the TAUP97 conference about the analysis of data
from a NaI(Tl) 100 kg underground detector run at the Gran Sasso Laboratory by
the DAMA/NaI group, the speaker concluded there was a hint for a WIMP of mass
60 GeV with a cross section on proton of 10-5 pb (Spin Independent coupling)
(see also ROM2F/97/33). Even if no claim of any definite signal is made, such a
statement is strong enough to deserve a critical look. The present note puts
forward a few arguments which point towards a largely overestimated statistical
significance of the effect, an inconsistency in the energy distribution and
several experimental effects which could easily mimic the observed excess. The
conclusion is that, in no way, the presented result can be considered as a hint
of a WIMP annual modulation.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:13:42 GMT""}]","2007-05-23"
"astro-ph/9710192","Chisato Ikuta","Chisato Ikuta, Nobuo Arimoto, Yoshiaki Sofue, & Yoshiaki Taniguchi","Why Can We Detect Quasar BR1202$-$0725 in Co ?","Latex (aasms4) 15 pages, 2 figures, accepted PASJ",,,"EFI-97-10","astro-ph",,"  We present CO luminosity evolution of both elliptical and spiral galaxies
based on a galactic wind model and a bulge-disk model, respectively. We have
found that the CO luminosity peaks around the epoch of galactic wind caused by
collective supernovae $\sim$ 0.85 Gyr after the birth of the elliptical with $M
= 2 \cdot 10^{12} M_\odot$ while $\sim$ 0.36 Gyr after the birth of the bulge
with $M = 2 \cdot 10^{11} M_\odot$. After these epochs, the CO luminosity
decreases abruptly because the majority of molecular gas was expelled from the
galaxy system as the wind. Taking account of typical masses of elliptical
galaxies and bulges of spiral galaxies, we suggest that CO emission can be
hardly detected from galaxies with redshift $z \sim 1 - 4$ unless some
amplification either by galaxy mergers and/or by gravitational lensing is
working. Therefore, our study explains reasonably why CO emission was detected
from the high-redshift quasar BR 1202$-$0725 at $z =4.7$ while not detected
from the powerful radio galaxies with $1 < z < 4$.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 10:41:15 GMT""}]","2007-05-23"
"astro-ph/9710193","Ulrich Lindner","Ulrich Lindner, Uta Fritze-v. Alvensleben, Klaus J. Fricke
  (Universit""atssternwarte, G""ottingen, Germany)","The chemical evolution of galaxies causing damped Ly$\alpha$ absorption","2 pages Latex, 1 POSTSCRIPT figure, using psfig and conf_iap.sty To
  appear in Proceedings of 13th IAP (Paris) Colloquium, (July 1-5, 1997)
  Structure and Evolution of the IGM from QSO Absorption Lines, ed. P.
  Petitjean, S. Charlot",,,,"astro-ph",,"  We have compiled all available data on chemical abundances in damped Lyman
alpha absorption systems for comparison with results from our combined chemical
and spectrophotometric galaxy evolution models. Preliminary results from
chemically consistent calculations are in agreement with observations of damped
Ly$\alpha$ systems.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 11:09:18 GMT""}]","2007-05-23"
"astro-ph/9710194","Nathalie Palanque-Delabrouille","EROS collaboration: N. Palanque-Delabrouille et al","Microlensing towards the Small Magellanic Cloud. EROS 2 first year
  survey","10 pages, 11 figures (9 included .eps and 2 separate .gif). Numerical
  value for constrain on mass and distance of deflector from parallax analysis
  less severe than previously. Minor changes otherwise. Accepted for
  publication in Astronomy & Astrophysics","A&A, 332 (1998) 1",,,"astro-ph",,"  We present here an analysis of the light curves of 5.3 million stars in the
Small Magellanic Cloud observed by EROS (Exp\'erience de Recherche d'Objets
Sombres). One star exhibits a variation that is best interpreted as due to
gravitational microlensing by an unseen object. This candidate was also
reported by the MACHO collaboration. Once corrected for blending, the Einstein
radius crossing time is 123 days, corresponding to lensing by a Halo object of
$2.6^{+8.2}_{-2.3} M_{\odot}$. The maximum magnification is a factor of 2.6.
The light curve also displays a periodic modulation with a 2.5% amplitude and a
period of 5.1 days. Parallax analysis of the candidate indicates that a Halo
lens would need to have a mass of at least $0.3 M_{\odot}$, although a lens in
the SMC could have a mass as low as $0.07 M_{\odot}}$. We estimate the optical
depth for microlensing towards the SMC due to this event to be $\sim 3.3 \times
10^{-7}$, with an uncertainty dominated by Poisson statistics. We show that
this optical depth corresponds to about half that expected for a spherical
isothermal Galactic Halo comprised solely of such objects, and that it is
consistent with SMC self-lensing if the SMC is elongated along the
line-of-sight by at least 5 kpc.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:01:57 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 18:11:28 GMT""}]","2007-05-23"
"astro-ph/9710196",,"E. Florido and E. Battaner (Dpto. de Fisica Teorica y del Cosmos.
  Univ. de Granada)","Magnetic fields and large-scale structure in a hot universe. II.
  Magnetic flux tubes and filamentary structure","8 pages, LaTeX with A&A macros v3. 7 figures. Full version also
  available as gzipped postscript at http://deneb.ugr.es/papers/bmf2.ps.gz","A&A 327, 1-7 (1997)",,,"astro-ph",,"  In paper I, we obtained an equation for the evolution of density
inhomogeneities in a radiation dominated universe when they are affected by
magnetic fields. In this second paper we apply this equation to the case in
which the subjacent magnetic configuration is a flux tube. For scales of the
order of 1 Mpc or less the differential equation is elliptical. To solve it, we
have used the numerical method based on ""Simultaneous Over Relaxation"", SOR,
with Chebyshev acceleration and we have treated the problem as a boundary value
problem, which restricts the prediction ability of the integration. For
large-scale flux tubes, much larger than 1 Mpc, the equation can be
analytically integrated and no assumption about the final shape or magnitude of
the inhomogeneity is required. In both cases we obtain an evolution which does
not differ very much from linear in time. The inhomogeneity in the density
becomes filamentary. Large scale structures ($\ge$ 10 Mpc) are probably
unaffected by damping, non-linear and amplification mechanisms after Equality,
so that this model provides a tool to interpret the present observed large
scale structure.
  Filaments are very frequently found in the large-scale structure in the
Universe. It is suggested here that they could arise from primordial magnetic
flux tubes, thus providing an alternative hypothesis for its interpretation; in
particular we consider the case of the Coma-A1367 supercluster, where the
magnetic field is known to be high.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:39:05 GMT""}]","2016-08-30"
"astro-ph/9710197","Jorge Jimenez-Vicente","C. Porcel, F. Garzon, J. Jimenez-Vicente and E. Battaner","The radial scale length of the Milky Way","4 pages, LaTeX using A&A macros v3. 1 figure. To appear in A&A. Also
  available at http://deneb.ugr.es/work.html","A&A (1998), 330, 136-138",,,"astro-ph",,"  The radial scale length of the exponential component of the disc of the Milky
Way has been determined in the near infrared. We have used the TMGS (Two Micron
Galactic Survey) database which contains positions and K-magnitudes of about
700.000 stars distributed in serveral regions along the galactic plane. From
those we have selected areas more than $5^\circ$ off the plane to minimize the
effect of extinction and the contributions of the young disc; and with
longitudes ranging from $30^\circ$ to $70^\circ$, to avoid contaminations from
the central bulge, the bar and the molecular ring, in the inner end, and from
the local arm, the warp and the truncation of the disc, in the outer end. We
observed stars with magnitude $ 9 \leq m_K \leq 10 $. The use of the NIR K-band
also reduces the effect of extinction. In the observation region, m_K=9.5 mag
stars are K2-K5 III stars, with an absolute magnitude that is nearly constant,
which also greatly simplifies the problem. We have obtained the value $2.1 \pm
0.3 kpc$ for the radial scale length, which is a typical value when compared
with external galaxies of similar types.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 15:56:16 GMT""}]","2016-08-30"
"chao-dyn/9710013","Roman Grigoriev","Roman O. Grigoriev, Sanjay G. Lall, Geir E. Dullerud","Localized Optimal Control of Spatiotemporal Chaos","4 pages, 3 figures",,,,"chao-dyn nlin.CD",,"  A linear output feedback control scheme is developed for a coupled map
lattice system. H-infinity control theory is used to make the scheme local:
both the collection of information and the feedback are implemented through an
array of locally coupled control sites. Robustness properties of the control
scheme are discussed.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 23:31:45 GMT""}]","2007-05-23"
"cmp-lg/9710005","Paola Merlo","Paola Merlo (U. of Pennsylvania and University of Geneva) Matthew
  Crocker (University of Edinburgh) Cathy Berthouzoz (University of Geneva)","Attaching Multiple Prepositional Phrases: Generalized Backed-off
  Estimation","7 pages, appeared in the EMNLP-2 proceedings",,,,"cmp-lg cs.CL",,"  There has recently been considerable interest in the use of lexically-based
statistical techniques to resolve prepositional phrase attachments. To our
knowledge, however, these investigations have only considered the problem of
attaching the first PP, i.e., in a [V NP PP] configuration. In this paper, we
consider one technique which has been successfully applied to this problem,
backed-off estimation, and demonstrate how it can be extended to deal with the
problem of multiple PP attachment. The multiple PP attachment introduces two
related problems: sparser data (since multiple PPs are naturally rarer), and
greater syntactic ambiguity (more attachment configurations which must be
distinguished). We present and algorithm which solves this problem through
re-use of the relatively rich data obtained from first PP training, in
resolving subsequent PP attachments.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:14:35 GMT""}]","2007-05-23"
"cond-mat/9710167","Nikolas Provatas","Nikolas Provatas (1 and 2), Nigel Goldenfeld (1), and Jonathan Dantzig
  (2) ((1) University of Illinois at Urbana-Champaign, Department of Physics,
  Urbana, IL (2) University of Illinois at Urbana-Champaign, Department of
  Mechanical and Industrial Engineering, Urbana, IL)","Efficient Computation of Dendritic Microstructures using Adaptive Mesh
  Refinement","typo in a parameter of Fig. 1; 4 pages, 4 postscript figures, in
  LateX, (revtex)",,"10.1103/PhysRevLett.80.3308",,"cond-mat.mtrl-sci nlin.PS patt-sol",,"  We study dendritic microstructure evolution using an adaptive grid, finite
element method applied to a phase-field model. The computational complexity of
our algorithm, per unit time, scales linearly with system size, rather than the
quadratic variation given by standard uniform mesh schemes. Time-dependent
calculations in two dimensions are in good agreement with the predictions of
solvability theory, and can be extended to three dimensions and small
undercoolings
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 16:52:05 GMT""},{""version"":""v2"",""created"":""Tue, 21 Oct 1997 19:15:13 GMT""}]","2009-10-30"
"cond-mat/9710169","Asch","J. Asch and A. Knauf","Motion in Periodic Potentials","41 pages, 5 figures","Nonlinearity 11 (1998), 175-200","10.1088/0951-7715/11/1/011","CPT-97-P.3497","cond-mat",,"  We consider motion in a periodic potential in a classical, quantum, and
semiclassical context. Various results on the distribution of asymptotic
velocities are proven.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 18:20:40 GMT""}]","2009-10-30"
"cond-mat/9710170","Istvan Daruka","Istvan Daruka, Albert-Laszlo Barabasi","Dislocation Free Island Formation in Heteroepitaxial Growth: An
  Equilibrium Study","4 pages, LaTeX, 3 ps figures",,"10.1103/PhysRevLett.79.3708","UND-97-10","cond-mat.stat-mech",,"  We investigate the equilibrium properties of strained heteroepitaxial
systems, incorporating the formation and the growth of a wetting film,
dislocation free island formation, and ripening. The derived phase diagram
provides a detailed characterization of the possible growth modes in terms of
the island density, equilibrium island size, and wetting layer thickness.
Comparing our predictions with experimental results we discuss the growth
conditions that can lead to stable islands as well as ripening.
","[{""version"":""v1"",""created"":""Thu, 16 Oct 1997 22:41:33 GMT""}]","2009-10-30"
"cond-mat/9710171","Yao-Zhong Zhang","Anthony J. Bracken, Xiang-Yu Ge, Yao-Zhong Zhang and Huan-Qiang Zhou","An open-boundary integrable model of three coupled XY spin chains","One reference updated; to appear in Nucl. Phys. B","Nucl. Phys. B516 (1998) 603--622","10.1016/S0550-3213(98)00066-2","University of Queensland preprint","cond-mat.stat-mech",,"  The integrable open-boundary conditions for the model of three coupled
one-dimensional XY spin chains are considered in the framework of the quantum
inverse scattering method. The diagonal boundary K-matrices are found and a
class of integrable boundary terms is determined. The boundary model
Hamiltonian is solved by using the coordinate space Bethe ansatz technique and
Bethe ansatz equations are derived.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 01:37:50 GMT""},{""version"":""v2"",""created"":""Sun, 18 Jan 1998 01:51:38 GMT""}]","2009-10-30"
"cond-mat/9710172","Ilya Ponomarev","V. V. Flambaum, A. A. Gribakina, G. F. Gribakin and I. V. Ponomarev","Can We Apply Statistical Laws to Small Systems? the Cerium Atom","4 pages, Latex, two figures in eps-format",,,,"cond-mat.stat-mech",,"  It is shown that statistical mechanics is applicable to quantum systems with
finite numbers of particles, such as complex atoms, atomic clusters, etc.,
where the residual two-body interaction is sufficiently strong. This
interaction mixes the unperturbed shell-model basis states and produces
``chaotic'' many-body eigenstates. As a result, an interaction-induced
equilibrium emerges in the system, and temperature can be introduced. However,
the interaction between the particles and their finite number can lead to
prominent deviations of the equilibrium occupation numbers distribution from
the Fermi-Dirac shape. For example, this takes place in the cerium atom with
four valence electrons, which was used to compare the theory with realistic
numerical calculations.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 06:18:48 GMT""}]","2007-05-23"
"cond-mat/9710173","Asok K. Sen Asso Prof","N. Zekri, H. Bahlouli and Asok K. Sen","Amplification and Disorder Effects on the Coherent Backscattering in a
  Kronig-Penney Chain of Active Potentials","13 LaTeX pages plus 6 EPS figures",,"10.1088/0953-8984/10/11/005","ICTP Preprint No. IC/97/131","cond-mat.dis-nn cond-mat.mes-hall",,"  We report in this paper the analytical and numerical results on the effect of
amplification on the transmission and reflection coefficient of a periodic
one-dimensional Kronig-Penney lattice. A qualitative agreement is found with
the tight-binding model where the transmission and reflection increase for
small lengths before strongly oscillating with a maximum at a certain length.
For larger lengths the transmission decays exponentially with the same rate as
in the growing region while the reflection saturates at a high value. However,
the maximum transmission (and reflection) moves to larger lengths and diverges
in the limit of vanishing amplification instead of going to unity. In very
large samples, it is anticipated that the presence of disorder and the
associated length scale will limit this uninhibited growth in amplification.
Also, there are other interesting competitive effects between disorder and
localization giving rise to some nonmonotonic behavior in the peak of
transmission.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 07:59:37 GMT""}]","2009-10-30"
"cond-mat/9710174","Zwerger","S. Ulreich and W. Zwerger","Gauge Fields, Mode Mixing and Local Density of States in a Quantum Point
  Contact","6 pages, 2 postscript figures, submitted to Europhysics Letters,
  LaTeX (with EuroMacr.tex, EuroPhys.sty)",,,,"cond-mat.mes-hall",,"  It is shown that the elimination of the discrete transverse motion in a
waveguide of arbitrary shape may be described in terms of a non-abelian gauge
field for the longitudinal dynamics. This allows for an exact treatment of the
scattering between different modes by eliminating the gauge field at the
expense of a non-diagonal matrix of local subband energies. The method is
applied to calculate the local density of states (LDOS) in a quantum point
contact. Contrary to the total conductance which is well described by an
adiabatic approximation, mode mixing turns out to play a crucial role for local
properties like the LDOS.
","[{""version"":""v1"",""created"":""Fri, 17 Oct 1997 08:57:47 GMT""}]","2007-05-23"
