"astro-ph/9710029",,"D.Fargion, B.Mele and A.Salis","Ultrahigh energy neutrino scattering onto relic light neutrinos in
  galactic halo as a possible source of highest energy extragalactic cosmic
  rays","25 pages, 1 figure minor corrections, updated references. In press in
  APJ","Astrophys.J. 517 (1999) 725-733","10.1086/307203","ROME1-1179/97","astro-ph hep-ex hep-ph",,"  The diffuse relic neutrinos with light mass are transparent to Ultrahigh
energy (UHE) neutrinos at thousands EeV, born by photoproduction of pions by
UHE protons on relic 2.73 K BBR radiation and originated in AGNs at cosmic
distances. However these UHE $\nu$s may interact with those (mainly heaviest
$\nu_{\mu_r}$, $\nu_{\tau_r}$ and respective antineutrinos) clustered into HDM
galactic halos. UHE photons or protons, secondaries of $\nu\nu_r$ scattering,
might be the final observed signature of such high-energy chain reactions and
may be responsible of the highest extragalactic cosmic-ray (CR) events. The
chain-reactions conversion efficiency, ramifications and energetics are
considered for the October 1991 CR event at 320 EeV observed by the Fly's Eye
detector in Utah. These quantities seem compatible with the distance, direction
and power (observed at MeV gamma energies) of the Seyfert galaxy MCG 8-11-11.
The $\nu\nu_r$ interaction probability is favoured by at least three order of
magnitude with respect to a direct $\nu$ scattering onto the Earth atmosphere.
Therefore, it may better explain the extragalactic origin of the puzzling 320
EeV event, while offering indirect evidence of a hot dark galactic halo of
light (i.e., $m_\nu\sim$ tens eV) neutrinos, probably of tau flavour.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 16:51:47 GMT""},{""version"":""v2"",""created"":""Wed, 30 Dec 1998 10:47:20 GMT""}]","2009-10-30"
"astro-ph/9710040","Daniele Galli","F. Palla, D. Galli, R. Bachiller, M. Perez Gutierrez","Measurements of the 12C/13C ratio in Planetary Nebulae and implications
  for stellar evolution","8 pages, LaTeX, 1 Postscript figure. to appear in The Primordial
  Nuclei and Their Galactic Evolution, eds. N. Prantzos, M. Tosi, R. von
  Steiger (Kluwer: Dordrecht)",,"10.1007/978-94-011-5116-0_18","Arcetri Preprint","astro-ph",,"  We present the results of a study aimed at determining the 12C/13C ratio in
two samples of planetary nebuale (PNe) by means of mm-wave observations of 12CO
and 13CO. The first group includes six PNe which have been observed in the 3He+
hyperfine transition; the other group consists of 23 nebulae with rich
molecular envelopes. We have determined the isotopic ratio in 14 objects and
the results indicate a range of values between 9 and 23. In particular, three
PNe have ratios well below the value predicted by standard evolutionary models
(about 20), indicating that some extra-mixing process has occurred in these
stars. We briefly discuss the implications of our results for standard and
nonstandard stellar nucleosynthesis.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 08:23:59 GMT""}]","2022-03-23"
"chao-dyn/9709037","Balkovsky Eugeni","E. Balkovsky and G. Falkovich","Two complementary descriptions of intermittency","4 pages, RevTeX, submitted to PRE","Phys. Rev. E, 57, 1231, (1998)","10.1103/PhysRevE.57.R1231",,"chao-dyn nlin.CD",,"  We describe two complementary formalisms designed for the description of
probability density function (PDF) of the gradients of turbulent fields. The
first approach, we call it adiabatic, describes PDF at the values much less
than dispersion. The second, instanton, approach gives the tails of PDF at the
values of the gradient much larger than dispersion. Together, both approaches
give satisfactory description of gradient PDFs, as illustrated here by an
example of a passive scalar advected by a one-dimensional compressible random
flow.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 22:28:55 GMT""}]","2009-10-30"
"chao-dyn/9710001","essor Dr. Marko","Marko Robnik and Luca Salasnich","WKB corrections to the energy splitting in double-well potentials","11 pages, latex, no figures, Preprint CAMTP/97-4, August 1997,
  submitted to J. Phys. A: Math. Gen",,,"CAMTP/97-4","chao-dyn nlin.CD",,"  By using the WKB quantization we deduce an analytical formula for the energy
splitting in a double-well potential which is the usual Landau formula with
additional quantum corrections. Then we analyze the accuracy of our formula for
the double square well potential and the parabolic double-well potential.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 12:18:20 GMT""}]","2007-05-23"
"cond-mat/9710028","Mohammad Reza Ejtehadi","M. R. Ejtehadi, N. Hamedani, H. Seyed-Allaei, V. Shahrezaei and M.
  Yahyanejad","Highly Designable Protein Structures and Inter Monomer Interactions","14 pages, Latex file, 3 latex and 6 eps figures are included","J. Phys. A: Math. Gen. 31 (1998) 6141-6155","10.1088/0305-4470/31/29/006",,"cond-mat.soft q-bio",,"  By exact computer enumeration and combinatorial methods, we have calculated
the designability of proteins in a simple lattice H-P model for the protein
folding problem.
  We show that if the strength of the non-additive part of the interaction
potential becomes larger than a critical value, the degree of designability of
structures will depend on the parameters of potential. We also show that the
existence of a unique ground state is highly sensitive to mutation in certain
sites.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:12:36 GMT""}]","2009-10-30"
"cond-mat/9710029","A. F. Volkov","A.F.Volkov","Comment on ""Density of states and reflectionless tunneling in an NS
  junction with a barrier","1 page",,,,"cond-mat.supr-con",,"  In a recent paper Schechter, Imry and Levinson (cond-mat/9709248) \cite{r1}
analysed the density-of-states (DOS) and the conductance of a S/N junction with
a barrier. They showed that the DOS in the N conductor near the barrier is
strongly affected by the superconductor if the energy $\epsilon$ is small:
$l_{n} \sqrt{\epsilon/D}{\ll} \Gamma {\ll} 1$, where $l_{n}$ is the mean free
path, $D$ is the diffusion constant, and $\Gamma$ is the barrier transmittance.
We would like to note that this problem was analysed in several papers with the
use of different approaches. In particular, the author has calculated the DOS
and the conductance of S/N structures with a barrier using quasiclassical
matrix Green's function technique well developed in the theory of
superconductivity \cite{r2}. It was shown that in an 1-d S/N structure a
pseudogap appears in the N conductor near the S/N interface, and the DOS
approaches it's normal value at energies $\epsilon$ exceeding an energy
$\epsilon_{N}$ related to the interface transmittance; here $\epsilon_{N}=D/(2
R_{b} \sigma)^{2}$, $R_{b}$ is the interface resistance per unit area, and
$\sigma$ is the specific conductivity of the N conductor. It was shown that
peculiarities in the DOS at small energies lead to a subgap conductance at zero
temperature. This subgap conductance is caused by a component of the current
which is known in the theory of the Josephson effect as the interference
current.Therefore, the results for the DOS and the conductance in Ref \cite{r1}
are similar to the ones obtained earlier, but their interpretation of the
subgap conductance differs from that given in Ref.\cite{r2} because they use
another approach for the calculation of the conductance .
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:23:09 GMT""}]","2007-05-23"
"cond-mat/9710030","Walter Nadler","Ugo Bastolla(1), Helge Frauenkron (1), Erwin Gerstner (1,2), Peter
  Grassberger(1,2), Walter Nadler (1) ((1) HLRZ c/o Forschungszentrum J\""ulich,
  Germany; (2) Physics Department, University of Wuppertal,Germany)","Testing a new Monte Carlo Algorithm for Protein Folding","13 pages, RevTeX, needs epsfig.sty and multicolum.sty","Proteins: Structure, Function, and Genetics Vol. 32 (1998) 52--66",,,"cond-mat.stat-mech q-bio",,"  We demonstrate that the recently proposed pruned-enriched Rosenbluth method
PERM (P. Grassberger, Phys. Rev. E, in press (1997)) leads to extremely
efficient algorithms for the folding of simple model proteins. We test it on
several models for lattice heteropolymers, and compare to published Monte Carlo
studies of the properties of particular sequences. In all cases our method is
faster than the previous ones, and in several cases we find new minimal energy
states.
  In addition to producing more reliable candidates for ground states, our
method gives detailed information about the thermal spectrum and, thus, allows
to analyze static aspects of the folding behavior of arbitrary sequences.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 17:28:48 GMT""}]","2007-05-23"
"cond-mat/9710031","Daniel Hone","Xian-Geng Zhao, W.-X. Yan, and Daniel W. Hone","Zener Transitions Between Dissipative Bloch Bands","8 pages, 5 Postscript figures",,"10.1103/PhysRevB.57.9849","NSF-ITP-97-114","cond-mat.mes-hall",,"  Within a two-band tight binding model, we investigate the dynamics of
electrons with Markoffian dephasing under the influence of static electric
fields. With the help of both numerical and analytic calculations we find that
the dephasing ultimately takes electrons which are initially located in one
miniband to equal population of the two minibands, instead of undergoing
persistent Rabi flop, as they do in the absence of scattering. Miniband
localization is wholly destroyed by the intervention of dephasing. We also
obtain the effective decay time for the approach to equal band populations
under conditions of small interband communication and in the long-time limit,
through a perturbative calculation. The decay rate shows characteristic sharp
peaks at values of the parameters which give Zener resonances.
","[{""version"":""v1"",""created"":""Thu, 2 Oct 1997 18:30:20 GMT""}]","2009-10-30"
"cond-mat/9710032",,"A. W. Tyler, Yoichi Ando, F. F. Balakirev, A. Passner, G. S.
  Boebinger, A. J. Schofield, A. P. Mackenzie, and O. Laborde","High field study of normal state magneto-transport in the thallium
  cuprate Tl-2201","4 pages of LaTex (revtex and epsf) including 4 postscript figures","Phys. Rev. B 57, R728 - R731 (1998)","10.1103/PhysRevB.57.R728",,"cond-mat.str-el",,"  We present a study of in-plane normal state magneto-transport in single
crystal Tl-2201 in 60T pulsed magnetic fields. In optimally doped samples (Tc ~
80K) the weak-magnetic-field regime extends to fields as high as 60T, but in
overdoped samples (Tc ~ 30K) we are able to leave the weak field regime, as
shown by the behavior of both the magnetoresistance and the Hall resistance.
Data from samples of both dopings provide constraints on the class of model
necessary to describe normal state transport in the cuprates.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 00:06:21 GMT""}]","2009-10-30"
"cond-mat/9710033","Anjan Kundu","Anjan Kundu","Exactly integrable family of generalized Hubbard models with twisted
  Yangian symmetry","Latex, 10 pages, no figure, revised version to be published in
  Physics Letters A",,"10.1016/S0375-9601(98)00717-8",,"cond-mat hep-th nlin.SI solv-int",,"  A strongly correlated electron system with controlled hopping, in the line of
the recently proposed generalized Hubbard models as candidates for high
T_c-superconductors, is considered. The model along with a whole class of such
systems are shown to be completely integrable with explicit quantum R-matrices
and the Lax operators. Inspite of novelties in the Bethe ansatz solution, the
final results do not deviate much from those of the standard Hubbard model.
  However, the symmetry of the model is changed to a recently discovered
twisted Yangian symmetry.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 05:20:31 GMT""},{""version"":""v2"",""created"":""Tue, 7 Oct 1997 09:42:27 GMT""},{""version"":""v3"",""created"":""Wed, 28 Oct 1998 11:52:28 GMT""}]","2016-08-31"
"cond-mat/9710034","Goranka Bilalbegovic","G. Bilalbegovic and H. O. Lutz","The onset of a liquid-vapour transition in metallic nanoparticles",,"Chem. Phys. Lett. 280, 59 (1997)","10.1016/S0009-2614(97)01101-9",,"cond-mat.mtrl-sci physics.atm-clus",,"  We study lead nanodroplets containing 147 to 1415 atoms at temperatures
ranging from the bulk melting point up to the beginning of the evaporation
regime. Molecular dynamics simulation and an embedded atom potential are used.
The structures, total energies, and mobility of atoms in the clusters are
analyzed. We found that the liquid cluster of 147 atoms shows a pronounced
tendency to form non-spherical shapes, and sometimes separates into two
droplets. Bigger clusters disassemble by evaporation of monomers. We also
explore shape oscillations of these nanodroplets using the nuclear liquid drop
model.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 09:07:22 GMT""}]","2009-10-30"
"cond-mat/9710035","Dr P. K. Panigrahi","N. Gurappa and Prasanta. K. Panigrahi","Equivalence of the Calogero-Sutherland Model to Free Harmonic
  Oscillators","9 pages, REVTeX, Completely revised, few new equations and references
  are added","Phys.Rev. B59 (1999) R2490-R2493","10.1103/PhysRevB.59.R2490",,"cond-mat hep-th",,"  A similarity transformation is constructed through which a system of
particles interacting with inverse-square two-body and harmonic potentials in
one dimension, can be mapped identically, to a set of free harmonic
oscillators. This equivalence provides a straightforward method to find the
complete set of eigenfunctions, the exact constants of motion and a linear
$W_{1+\infty}$ algebra associated with this model. It is also demonstrated that
a large class of models with long-range interactions, both in one and higher
dimensions can be made equivalent to decoupled oscillators.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 12:53:46 GMT""},{""version"":""v2"",""created"":""Mon, 6 Oct 1997 05:55:22 GMT""},{""version"":""v3"",""created"":""Wed, 10 Dec 1997 06:44:19 GMT""}]","2009-10-30"
"cond-mat/9710036","Varga Imre","Imre Varga (1 and 2), Yoshiyuki Ono (3), Tomi Ohtsuki (4), and Janos
  Pipek (1) ((1) Department of Theoretical Physics, Institute of Physics,
  Technical University of Budapest, Hungary, (2) Condensed Matter Research
  Group of the Hungarian Academy of Sciences, Hungary, (3) Department of
  Physics, Toho University, Japan, (4) Department of Physics, Sophia
  University, Japan)","Novel Scaling Relation of the Energy Spacing Distribution in
  Quantum-Hall Systems","6 pages, LaTeX, 2 figures",,"10.1002/(SICI)1521-3951(199801)205:1<373::AID-PSSB373>3.0.CO;2-S",,"cond-mat.mes-hall",,"  The shape analysis of the energy spacing distribution $P(s)$ obtained from
numerical simulation of two dimensional disordered electron systems subject to
strong magnetic fields is performed. In the present work we reanalyze the data
obtained in a previous publication. Special moments of the $P(s)$ function
related to R\'enyi-entropy differences show a novel scale invariant relation
that is attributed to the presence of one-parameter scaling. This relation
seems to show both deviations and universality depending on which Landau-band
is considered and whether the disorder is correlated or uncorrelated.
Furthermore, our analysis shows the existence of an huge, however, irrelevant
length scale in the case of the second lowest Landau-band and no disorder
correlations that completely disappears with the introduction of disorder
correlations on the range of one magnetic length.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 13:36:28 GMT""}]","2015-06-25"
"cond-mat/9710037","Torsten Henning","Torsten Henning","Coulomb blockade effects in anodised niobium nanostructures","Licentiate thesis, 85 pages, LaTeX2e, epsfig (30 EPS figures)",,,"ASSP/MINA/SET-971003","cond-mat.mes-hall",,"  Niobium thin film nanostructures were fabricated using electron beam
lithography and a liftoff process involving a four layer resist system. Wires
having micrometres in length and below 200 nm in width were deposited on an
insulating substrate and subsequently thinned by anodisation. The resistance of
the wires was monitored in situ and could be trimmed by controlling the
anodisation voltage and time. The method appears appropriate for the
fabrication of very small resistors for use as biasing resistors for single
electron devices. Transport properties of these resistors were measured at
millikelvin temperatures. They had nonlinear current-voltage characteristics
around zero bias and showed a transistion from superconducting to insulating
behaviour. Analysis of the offset voltage showed that a Coulomb blockade set in
when the sheet resistance of the films exceeded the superconducting quantum
resistance approx 6.45 kOhm. Samples in a single electron transistor-like
geometry with two variable thickness weak links were made by combined angular
evaporation of niobium and anodisation. Overlapping gate electrodes were
deposited on these samples. The drain-source current-voltage characteristics
could be modulated by the gate voltage, giving a response typical for a system
of multiple ultrasmall tunnel junctions. The thesis contains a five page
appendix with lithography recipes.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 14:09:51 GMT""}]","2007-05-23"
"cond-mat/9710038","Maxim Mostovoy","Maxim Mostovoy and Jasper Knoester","Instanton in Disordered Peierls Systems","10 pages, revtex, 2 Postscript figures, to appear in Phys. Lett. A",,"10.1016/S0375-9601(97)00664-6",,"cond-mat",,"  We study disordered Peierls systems described by the Fluctuating Gap Model.
We show that the typical electron states with energies lying deep inside the
pseudogap are localized near large disorder fluctuations (instantons), which
have the form of a soliton-antisoliton pair. Using the ``saddle-point'' method
we obtain the average density of states and the average optical absorption
coefficient at small energy.
","[{""version"":""v1"",""created"":""Fri, 3 Oct 1997 14:47:33 GMT""}]","2009-10-30"
