"alg-geom/9710011","Andrew Kresch","Andrew Kresch","Canonical rational equivalence of intersections of divisors","LaTeX2e, 14 pages; expanded intro; new first section fixes some
  errors",,,,"alg-geom math.AG",,"  We consider the operation of intersecting with a locally principal Cartier
divisor (i.e., a Cartier divisor which is principal on some neighborhood of its
support). We describe this operation explicitly on the level of cycles and
rational equivalences and as a corollary obtain a formula for rational
equivalence between intersections of two locally principal Cartier divisors.
Such canonical rational equivalence applies quite naturally to the setting of
algebraic stacks. We present two applications: (i) a simplification of the
development of Fulton-MacPherson-style intersection theory on Deligne-Mumford
stacks, and (ii) invariance of a key rational equivalence under a certain group
action (which is used in developing the theory of virtual fundamental classes
via intrinsic normal cones).
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:28:31 GMT""},{""version"":""v2"",""created"":""Thu, 4 Dec 1997 18:47:17 GMT""}]","2016-08-30"
"astro-ph/9710091","Andrzej Udalski","A. Udalski, M. Kubiak and M. Szymanski (Warsaw University Observatory)","Optical Gravitational Lensing Experiment. OGLE-2 -- the Second Phase of
  the OGLE Project","27 pages, Latex, Figs. 1-4 available at
  ftp://sirius.astrouw.edu.pl/pub/udalski/ogle2","Acta Astron. 47 (1997) 319-344",,,"astro-ph",,"  We describe a new 1.3 m Warsaw telescope located at Las Campanas Observatory
and new instruments of the second phase of the Optical Gravitational Lensing
Experiment - OGLE-2. Results of first observations are also presented.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 08:42:02 GMT""}]","2009-09-25"
"astro-ph/9710092","Irini Sakelliou","I. Sakelliou, M. R. Merrifield (Southampton University)","X-ray emission from the galaxies in Abell 2634","8 pages, including 7 figures, mn.sty, accepted for publication in
  MNRAS",,"10.1046/j.1365-8711.1998.01212.x",,"astro-ph",,"  In this paper we report on the analysis of a deep ROSAT HRI image of the
moderately-rich cluster, Abell 2634, by which we have been able to detect the
X-ray emission from the galaxies in the cluster. The ICM of Abell 2634 is an
order of magnitude denser than that of the Virgo cluster, and so this analysis
allows us to explore the X-ray properties of individual galaxies in the richest
environment yet explored. By stacking the X-ray images of the galaxies
together, we have shown that their emission appears to be marginally resolved
by the HRI. This extent is smaller than for galaxies in poorer environments,
and is comparable to the size of the galaxies in optical light. These facts
suggest that the detected X-ray emission originates from the stellar
populations of the galaxies, rather than from extended hot interstellar media.
Support for this hypothesis comes from placing the optical and X-ray
luminosities of these galaxies in the L_B - L_X plane: the galaxies of Abell
2634 lie in the region of this plane where models indicate that all the X-ray
emission can be explained by the usual population of X-ray binaries. It is
therefore probable that ram pressure stripping has removed the hot gas
component from these galaxies.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 09:27:59 GMT""}]","2009-10-30"
"astro-ph/9710093",,"P. Marigo (1), A. Bressan (2), and C. Chiosi (1,3) ((1) Padova
  Department of Astronomy, (2) Padova Observatory, (3) European Southern
  Observatory)","TP-AGB stars with envelope burning","18 pages LaTeX, including 13 figures and 5 tables: accepted for
  publication in A&A; minor revisions in text and three figures",,,,"astro-ph",,"  In this paper we focus on the TP-AGB evolution of intermediate-mass stars
experiencing envelope burning (M=4-5Mo). The approach we have adopted is a
semi-analytical one as it combines analytical relationships derived from
complete models of TP-AGB stars with sole envelope models in which the physical
structure is calculated from the photosphere down to the core. Our efforts are
directed to analyse the effects produced by envelope burning, such as: i) the
energy contribution which may drive significant deviations from the standard
core mass-luminosity relationship; and ii) the changes in the surface chemical
composition due to nuclear burning via the CNO cycle. Evolutionary models for
stars with initial mass of 4.0, 4.5, 5.0 Mo and two choices of the initial
chemical composition ([Y=0.28,Z=0.02] and [Y=0.25,Z=0.008]) are calculated from
the first thermal pulse till the complete ejection of the envelope. We find
that massive TP-AGB stars can rapidly reach high luminosities (-6>Mbol>-7),
without exceeding, however, the classical limit to the AGB luminosity of
Mbol~-7.1 corresponding to the Chandrasekhar value of the core mass. No carbon
stars brighter than Mbol~-6.5 are predicted to form (the alternative of a
possible transition from M-star to C-star during the final pulses is also
explored), in agreement with observations which indicate that most of the very
luminous AGB stars are oxygen-rich. Finally, new chemical yields from stars in
the mass range 4-5 Mo are presented, so as to extend the sets of stellar yields
from low-mass stars already calculated by Marigo et al. (1996). For each CNO
element we give both the secondary and the primary components.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 13:13:03 GMT""},{""version"":""v2"",""created"":""Mon, 10 Nov 1997 15:09:47 GMT""}]","2007-05-23"
"astro-ph/9710094",,"V.G.Gurzadyan and A.Mazure","S-tree Analysis of the Substructure of the Coma Cluster","to appear in the proceedings of Coma Cluster meeting (Marseille,
  June, 1997)",,,,"astro-ph",,"  The S-tree method is used to estimate the redshift of the core of Coma
cluster - $cz = 6953$ km s$^{-1}$ and dispersion $\sigma=949$ km s$^{-1}$. The
existence of three subgroups of galaxies is revealed, one of them is associated
with the cD galaxy NGC 4874, another - with NGC 4889. It is argued that these
subgroups are 'galaxy associations', i.e. galactic dynamical entities moving
through the main cluster. The non-stationarity of the dynamical processes
ongoing in the Coma core is concluded.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:03:57 GMT""}]","2007-05-23"
"astro-ph/9710095","Mark Sincell","M W Sincell, M Gehmeyr, D Mihalas","The Quasi-stationary Structure of Radiating Shock Waves II. The
  Two-temperature Fluid",,,,,"astro-ph",,"  We solve the equations of radiation hydrodynamics in the two-temperature
fluid approximation on an adaptive grid. The temperature structure depends upon
the electron-ion energy exchange length, $l_{ei}$, and the electron conduction
length, $l_{ec}$. Three types of radiating shock structure are observed:
subcritical, where preheating of the unshocked gas is negligible; electron
supercritical, where radiation preheating raises the temperature of the
unshocked electron fluid to be equal to the final electron temperature;
supercritical, where preheating and electron-ion energy exchange raise the
preshock $T_{e,i}$ to their final post shock values. No supercritical shock
develops when $l_{ei}$ is larger than the photospheric depth of the shocked gas
because a negligible amount of the ion energy is transferred to the electrons
and the shock is weakly radiating. Electron conduction smooths the $T_e$
profile on a length scale $l_{ec}$, reducing the radiation flux.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:28:59 GMT""}]","2007-05-23"
"astro-ph/9710096","Lauro Moscardini","Claudio Gheller, Ornella Pantano and Lauro Moscardini","Constraining the cosmological baryon density with X-ray clusters","20 pages, Latex using MN style, 8 figures enclosed",,"10.1046/j.1365-8711.1998.01250.x",,"astro-ph",,"  We study the properties of X-ray galaxy clusters in four cold dark matter
models with different baryon fraction $\Omega_{BM}$ ranging from 5 to 20 per
cent. By using an original three-dimensional hydrodynamic code based on the
piecewise parabolic method, we run simulations on a box with size $64 h^{-1}$
Mpc and we identify the clusters by selecting the peaks in the X-ray luminosity
field. We analyse these mock catalogues by computing the mass function, the
luminosity function, the temperature distribution and the
luminosity-temperature relation. By comparing the predictions of the different
models to a series of recent observational results, we find that only the
models with low baryonic content agree with the data, while models with larger
baryon fraction are well outside the 1-$\sigma$ errorbars. In particular, the
analysis of the luminosity functions, both bolometric and in the energy band
[0.5--2] keV, requires $\Omega_{BM}\mincir 0.05$ when we fix the values $h=0.5$
and $n=0.8$ for the Hubble parameter and the primordial spectral index,
respectively. Moreover we find that, independently of the cosmological
scenario, all the considered quantities have a very little redshift evolution,
particularly between $z=0.5$ and $z=0$.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 14:56:06 GMT""}]","2009-10-30"
"astro-ph/9710097","Mark Sincell","M.W. Sincell, M. Gehmeyr, D. Mihalas","The Quasi-stationary Structure of Radiating Shock Waves I. The
  One-temperature Fluid",,,,,"astro-ph",,"  We calculate the quasi-stationary structure of a radiating shock wave
propagating through a spherically symmetric shell of cold gas by solving the
time-dependent equations of radiation hydrodynamics on an adaptive grid. We
show that this code successfully resolves the shock wave in both the
subcritical and supercritical cases and, for the first time, we have reproduced
all the expected features -- including the optically thin temperature spike at
a supercritical shock front -- without invoking analytic jump conditions at the
discontinuity. We solve the full moment equations for the radiation flux and
energy density, but the shock wave structure can also be reproduced if the
radiation flux is assumed to be proportional to the gradient of the energy
density (the diffusion approximation), as long as the radiation energy density
is determined by the appropriate radiative transfer moment equation.
  We find that Zel'dovich and Raizer's analytic solution for the shock wave
structure accurately describes a subcritical shock but it underestimates the
gas temperature, pressure, and the radiation flux in the gas ahead of a
supercritical shock. We argue that this discrepancy is a consequence of
neglecting terms which are second order in the minimum shock compression ratio
[$\eta_1 = (\gamma-1)/(\gamma+1)$, where $\gamma$ is the adiabatic index] and
the inaccurate treatment of radiative transfer near the discontinuity. In
addition, we verify that the maximum temperature of the gas immediately behind
the shock is given by $T_{+} = 4 T_1/(\gamma+1)$, where $T_1$ is the gas
temperature far behind the shock.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 15:09:09 GMT""}]","2007-05-23"
"chao-dyn/9710004","A. Mary Selvam","A.Mary Selvam","Universal Quantification for Self-Organized Criticality in Atmospheric
  Flows","one page, Proc. Conf. Patterns,Nonlinear Dynamics and Stochastic
  Behaviour in Spatially Extended Complex Systems,October
  24-28,1997,Budapest,Hungary",,,,"chao-dyn nlin.CD",,"  Atmospheric flows exhibit selfsimilar fluctuations on all scales(space-time)
ranging from climate(kilometers/years) to turbulence(millimeters/seconds)
manifested as fractal geometry to the global cloud cover pattern concomitant
with inverse power law form for power spectra of temporal fluctuations.
Selfsimilar fluctuations implying long-range correlations are ubiquitous to
dynamical systems in nature and are identified as signatures of self-organized
criticality in atmospheric flows. Also, mathematical models for simulation and
prediction of atmospheric flows are nonlinear and computer realizations give
unrealistic solutions because of deterministic chaos, a direct consequence of
finite precision round-off error doubling for each iteration of iterative
computations incorporated in long-term numerical integration schemes used for
model solutions An alternative non-deterministic cell dynamical system model
predicts, (a): the observed self organized criticality as a consequence of
quantumlike mechanics governing flow dynamics,.(b):atmospheric flows trace an
overall logarithmic spiral trajectory with the quasiperiodic Penrose tiling
pattern for the internal structure,(c): eddy circulation structure follows
Kepler's third law of planetary motion and results in inverse square law form
for centripetal acceleration. The inertial masses representing the eddy
circulation therefore follow laws analogous to the Newton's inverse square law
for gravitation. The model is similar to a superstring model for subatomic
dynamics which unifies quantum mechanical and classical concept and
incorporates gravitational forces along with nuclear and electromagnetic
forces.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 06:31:06 GMT""}]","2007-05-23"
"cond-mat/9710080","Furio Ercolessi","Franck Celestini, Daniele Passerone, Furio Ercolessi, Erio Tosatti
  (International School for Advanced Studies, Trieste, Italy)","Realistic grand canonical Monte Carlo surface simulation: application to
  Ar(111)","4 pages, REVTeX, 3 PostScript figures",,"10.1016/S0039-6028(97)10199-6","SISSA 133/97/CM/SS","cond-mat.mtrl-sci",,"  Most realistic, off-lattice surface simulations are done canonically---
conserving particles. For some applications, however, such as studying the
thermal behavior of rare gas solid surfaces, these constitute bad working
conditions. Surface layer occupancies are believed to change with temperature,
particularly at preroughening, and naturally call for a grand canonical
approach, where particle number is controlled by a chemical potential. We
report preliminary results of novel realistic grand canonical Monte Carlo
simulations of the Lennard-Jones (LJ) fcc(111) surface, believed to represent a
quantitative model of e.g. Ar(111). The results are successful and highly
informative for temperatures up to roughly 0.8 T_m, where clear precursor
signals of preroughening are found. At higher temperatures, convergence to
equilibrium is hampered by large fluctuations.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 17:19:21 GMT""}]","2009-10-30"
"cond-mat/9710081","Dpto. de Fisica Teorica","A. Vazquez and O. Sotolongo-Costa (Havana University)","Transition to self-organized criticality in a rice-pile mode","3 pages, LaTex with epsf style. Phys. Rev. Lett. (submitted)",,,,"cond-mat",,"  The self-organized critical state is characterized by a power law
distribution of cluster sizes and other properties. However experiments with
sand and rice piles reveal distributions of avalanche sizes which are not power
law distributed. In the present letter a one-dimensional rice-pile model which
demonstrate that this is only an apparent contradiction is introduced.
Moreover, a robustness of the self-organized critical state is obtained with
increasing system size.
","[{""version"":""v1"",""created"":""Wed, 8 Oct 1997 23:06:29 GMT""}]","2007-05-23"
"cond-mat/9710082","Takahiro Fukui","T. Fukui and N. Kawakami","Alternating-Spin Ladders","6 pages, revtex, to appear in PRB",,"10.1103/PhysRevB.57.398",,"cond-mat.stat-mech",,"  We investigate a two-leg spin ladder system composed of alternating-spin
chains with two-different kind of spins. The fixed point properties are
discussed by using spin-wave analysis and non-linear sigma model techniques.
The model contains various massive phases, reflecting the interplay between the
bond-alternation and the spin-alternation.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 00:29:31 GMT""}]","2009-10-30"
"cond-mat/9710084","Jonas Ohlsson","B. Jonas Ohlsson, Mark S. Miller and Mats-Erik Pistol (University of
  Lund, Sweden)","Anisotropic GaAs island phase grown on flat GaP: spontaneously formed
  quantum wire array","5 pages, 3 figures, Latex, Revtex",,,,"cond-mat",,"  A dense phase of GaAs wires forms in the early stages of strained growth on
GaP,assembling from elongated Stranski-Krastanow islands.
  The electron diffraction during growth is consistent with long, faceted GaAs
islands that are anisotropically deformed without dislocations. The lateral
wire period and long shapes are not predicted by published models, though we
conclude that the island orientation is picked out by facet energy
inequivalencies not present in the analogous system of Ge islands on Si.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 12:19:38 GMT""}]","2007-05-23"
"cond-mat/9710085","Goldin Yehuda","Y. Goldin and Y. Avishai","Nonlinear Response of a Kondo system: Direct and Alternating Tunneling
  Currents","7 pages, RevTeX, 3 PS figures attached, the article has been
  significantly developed: time - dependent Schrieffer - Wolff transformation
  is presented in the full form, the results are applied to the change in the
  direct current induced by an alternating field (2 figures are new)",,"10.1103/PhysRevLett.81.5394",,"cond-mat.str-el cond-mat.mes-hall",,"  Non - equilibrium tunneling current of an Anderson impurity system subject to
both constant and alternating electric fields is studied. A time - dependent
Schrieffer - Wolff transformation maps the time - dependent Anderson
Hamiltonian onto a Kondo one. Perturbation expansion in powers of the Kondo
coupling strength is carried out up to third order, yielding a remarkably
simple analytical expression for the tunneling current. It is found that the
zero - bias anomaly is suppressed by an ac - field. Both dc and the first
harmonic are equally enhanced by the Kondo effect, while the higher harmonics
are relatively small. These results are shown to be valid also below the Kondo
temperature.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 12:47:17 GMT""},{""version"":""v2"",""created"":""Wed, 18 Mar 1998 13:18:05 GMT""},{""version"":""v3"",""created"":""Tue, 28 Jul 1998 08:48:49 GMT""}]","2009-10-30"
"cond-mat/9710086","Jens Schneider","J. Schneider and H. Wallis","Mesoscopic Fermi gas in a harmonic trap","8 pages, 9 eps-figures included, Revtex, submitted to Phys. Rev. A,
  minor changes to figures and captions, corrected typos","Phys.Rev.A 57, 1253 (1998)","10.1103/PhysRevA.57.1253",,"cond-mat.stat-mech",,"  We study the thermodynamical properties of a mesoscopic Fermi gas in view of
recent possibilities to trap ultracold atoms in a harmonic potential. We focus
on the effects of shell closure for finite small atom numbers. The dependence
of the chemical potential, the specific heat and the density distribution on
particle number and temperature is obtained. Isotropic and anisotropic traps
are compared. Possibilities of experimental observations are discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Oct 1997 13:10:37 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 11:28:33 GMT""}]","2009-10-30"
