"alg-geom/9704021","Vincent Mercat","Vincent Mercat","Le probleme de Brill-Noether pour des fibres stables de petites pentes","48 pages, Plain tex, 6 postscript figures",,,,"alg-geom math.AG",,"  We deal with the Brill-Noether problem for stable vector bundles of slope
between one and two.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:34:01 GMT""}]","2008-02-03"
"astro-ph/9704250","Dominik Schwarz","Dominik J. Schwarz, C. Schmid, and P. Widerin","Distortions of the Harrison-Zel'dovich spectrum from the QCD transition","Talk given at the Third International Conference on Physics and
  Astrophysics of the Quark Gluon Plasma, March 17 -- 21, 1997, Jaipur, India;
  5 pages, LaTeX2e, 1 ps figure",,,"ETH-TH/97-13","astro-ph gr-qc hep-ph",,"  We investigate the effect of the cosmological QCD transition on the evolution
of primordial density perturbations. If the phase transition is first order,
the sound speed vanishes during the transition and density perturbations fall
freely. The Harrison-Zel'dovich spectrum of density fluctuations develops large
peaks on scales below the Hubble radius at the transition. These peaks above
the primordial spectrum grow with wavenumber and produce cold dark matter
clumps of masses less than $10^{-10} M_\odot$. At the horizon scale the
amplification of overdensities is of order unity, and thus no $1 M_\odot$ black
hole production is possible for a COBE normalized scale-invariant spectrum.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 10:00:06 GMT""}]","2007-05-23"
"astro-ph/9704251","Andrew Liddle","Anne M Green and Andrew R Liddle","Constraints on the density perturbation spectrum from primordial black
  holes","10 pages RevTeX file with four figures incorporated (uses RevTeX and
  epsf). Also available by e-mailing ARL, or by WWW at
  http://star-www.maps.susx.ac.uk/papers/infcos_papers.html","Phys. Rev. D 56, 6166 (1997)","10.1103/PhysRevD.56.6166","SUSSEX-AST 97/4-2","astro-ph",,"  We re-examine the constraints on the density perturbation spectrum, including
its spectral index $n$, from the production of primordial black holes. The
standard cosmology, where the Universe is radiation dominated from the end of
inflation up until the recent past, was studied by Carr, Gilbert and Lidsey; we
correct two errors in their derivation and find a significantly stronger
constraint than they did, $n \lesssim 1.25$ rather than their 1.5. We then
consider an alternative cosmology in which a second period of inflation, known
as thermal inflation and designed to solve additional relic over-density
problems, occurs at a lower energy scale than the main inflationary period. In
that case, the constraint weakens to $n \lesssim 1.3$, and thermal inflation
also leads to a `missing mass' range, $10^{18} g \lesssim M \lesssim 10^{26}
g$, in which primordial black holes cannot form. Finally, we discuss the effect
of allowing for the expected non-gaussianity in the density perturbations
predicted by Bullock and Primack, which can weaken the constraints further by
up to 0.05.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 13:52:46 GMT""}]","2016-08-25"
"astro-ph/9704257","Alexander Vilenkin","Veniamin Berezinsky, Alexander Vilenkin","Cosmic Necklaces and Ultrahigh Energy Cosmic Rays","10 pages, Revtex, 1 figure","Phys.Rev.Lett. 79 (1997) 5202-5205","10.1103/PhysRevLett.79.5202",,"astro-ph hep-ph",,"  Cosmic necklaces are hybrid topological defects consisting of monopoles and
strings, with two strings attached to each monopole. We argue that the
cosmological evolution of necklaces may significantly differ from that of
cosmic strings. The typical velocity of necklaces can be much smaller than the
speed of light, and the characteristic scale of the network much smaller than
the horizon. We estimate the flux of high-energy protons produced by monopole
annihilation in the decaying closed loops. For some reasonable values of the
parameters it is comparable to the observed flux of ultrahigh-energy cosmic
rays.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 14:22:25 GMT""}]","2009-10-30"
"cmp-lg/9704010","Dr. John Bateman","John A. Bateman (Dept. of English, University of Stirling)","The Theoretical Status of Ontologies in Natural Language Processing","43pp, uses: twocolumn,named,a4wide,psfig, 7eps figs",,,,"cmp-lg cs.CL",,"  This paper discusses the use of `ontologies' in Natural Language Processing.
It classifies various kinds of ontologies that have been employed in NLP and
discusses various benefits and problems with those designs. Particular focus is
then placed on experiences gained in the use of the Upper Model, a
linguistically-motivated `ontology' originally designed for use with the Penman
text generation system. Some proposals for further NLP ontology design criteria
are then made.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 13:00:14 GMT""}]","2008-02-03"
"cmp-lg/9704011","Kemal Oflazer","Kemal Oflazer and Gokhan Tur (Bilkent University, Ankara, Turkey)","Morphological Disambiguation by Voting Constraints","8 pages, Latex source. To appear in Proceedings of ACL/EACL'97
  Compressed postscript also available as
  ftp://ftp.cs.bilkent.edu.tr/pub/ko/acl97.ps.z",,,,"cmp-lg cs.CL",,"  We present a constraint-based morphological disambiguation system in which
individual constraints vote on matching morphological parses, and
disambiguation of all the tokens in a sentence is performed at the end by
selecting parses that receive the highest votes. This constraint application
paradigm makes the outcome of the disambiguation independent of the rule
sequence, and hence relieves the rule developer from worrying about potentially
conflicting rule sequencing. Our results for disambiguating Turkish indicate
that using about 500 constraint rules and some additional simple statistics, we
can attain a recall of 95-96% and a precision of 94-95% with about 1.01 parses
per token. Our system is implemented in Prolog and we are currently
investigating an efficient implementation based on finite state transducers.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 13:33:43 GMT""}]","2016-08-31"
"cmp-lg/9704012","Dr. John Bateman","Elke Teich, Beate Firzlaff and John A. Bateman (GMD, Darmstadt)","Emphatic generation: employing the theory of semantic emphasis for text
  generation","11pp; uses: 11pt,twocolumn,named,a4wide,program,psfig; 1psfig",,,,"cmp-lg cs.CL",,"  The paper deals with the problem of text generation and planning approaches
making only limited formally specifiable contact with accounts of grammar. We
propose an enhancement of a systemically-based generation architecture for
German (the KOMET system) by aspects of Kunze's theory of semantic emphasis.
Doing this, we gain more control over both concept selection in generation and
choice of fine-grained grammatical variation.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 14:14:39 GMT""}]","2008-02-03"
"cond-mat/9704207","Ivar Martin","Ivar Martin and Philip Phillips (University of Illinois at
  Urbana-Champaign)","Local Pairing at U-impurities in BCS Superconductors","4 pages, LaTeX, 2 figures","Phys. Rev. B, v.56, 14650 (1997)","10.1103/PhysRevB.56.14650",,"cond-mat.str-el cond-mat.supr-con",,"  We analyse here the role electrons on Anderson-U impurities play in
superconductivity in a metal alloy. We find that phonon coupling at impurities
counteracts the traditional effects which dominate T_c suppression in the
non-magnetic limit. In some cases, we findt hat non-magnetic impurities can
enhance T_c. In the Kondo limit, a Fermi liquid analysis reveals that it is the
enhancement in the density of states arising from the Kondo resonancethat
counteracts pair-weakening.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 20:12:21 GMT""},{""version"":""v2"",""created"":""Mon, 17 Nov 1997 02:36:12 GMT""}]","2009-10-30"
"cond-mat/9704208","Kengo Ichiki","Kengo Ichiki and Hisao Hayakawa (Graduate School of Human and
  Environmental Studies, Kyoto University)","Behavior of fluidized beds similar to equilibrium states","21 pages (REV TeX), 15 figures (Postscript)",,,,"cond-mat.stat-mech cond-mat.soft",,"  Systematic simulations are carried out based on the model of fluidized beds
proposed by the present authors [K.Ichiki and H.Hayakawa, Phys. Rev. E vol.52,
658 (1995)]. From our simulation, we confirm that fluidization is a continuous
transition. We also confirm the existence of two types of fluidized phases, the
channeling phase and the bubbling phase. We find the close relations between
the averaged behaviors in fluidized beds and quasi equilibrium states in dense
liquids. In fluidized beds, (i) the flow rate plays the role of the effective
temperature, and (ii) the existence of a kind of the fluctuation-dissipation
relation is suggested.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 10:26:07 GMT""}]","2008-02-03"
"cond-mat/9704209","Karsten Held","K. Held, M. Ulmke, N. Bl""umer, and D. Vollhardt","Correlated-electron theory of strongly anisotropic metamagnets","14 pages including 10 figures, RevTeX, using psfig and epsf macros","Phys. Rev. B 56, 14469 (1997)","10.1103/PhysRevB.56.14469","EKM-TP3/3-97","cond-mat.str-el",,"  The microscopic origin of metamagnetism and metamagnetic transitions in
strongly anisotropic antiferromagnets is investigated within a quantum
mechanical theory of correlated electrons. To this end the Hubbard model with
staggered magnetization m_st along an easy axis e in a magnetic field H || e is
studied both analytically and numerically within the dynamical mean field
theory (DMFT). At intermediate couplings the self-consistent DMFT equations,
which become exact in the limit of large coordination number, are solved by
finite temperature Quantum Monte Carlo techniques. The temperature and magnetic
field dependence of the homogeneous and staggered magnetization are calculated
and the magnetic phase diagram is constructed. At half filling the metamagnetic
transitions are found to change from first order at low temperatures to second
order near the N'eel temperature, implying the existence of a multicritical
point. Doping with holes or electrons has a strong effect: the system becomes
metallic, the electronic compressibility increases and the critical
temperatures and fields decrease. These results are related to known properties
of insulating metamagnets such as FeBr_2, metallic metamagnets such as UPdGe,
and the giant and colossal magnetoresistance found in a number of magnetic bulk
systems.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 15:32:52 GMT""}]","2009-10-30"
"cond-mat/9704210","Drechsler S.-L.","H. Rosner, H. Eschrig, R. Hayn, S.-L. Drechsler, J. Malek","Electronic structure and magnetic properties of the linear chain
  cuprates Sr_2CuO_3 and Ca_2CuO_3","23 pages, 5 figures, 1 table","Phys. Rev. B vol. 56, p. 3402-3412 (1997).","10.1103/PhysRevB.56.3402",,"cond-mat.str-el cond-mat.supr-con",,"  Sr_2CuO_3 and Ca_2CuO_3 are considered to be model systems of strongly
anisotropic, spin-1/2 Heisenberg antiferromagnets. We report on the basis of a
band-structure analysis within the local density approximation and on the basis
of available experimental data a careful analysis of model parameters for
extended Hubbard and Heisenberg models. Both insulating compounds show
half-filled nearly one-dimensional antibonding bands within the LDA. That
indicates the importance of strong on-site correlation effects. The bonding
bands of Ca_2CuO_3 are shifted downwards by 0.7 eV compared with Sr_2CuO_3,
pointing to different Madelung fields and different on-site energies within the
standard pd-model. Both compounds differ also significantly in the magnitude of
the inter-chain dispersion along the crystallographical a-direction: \approx
100 meV and 250 meV, respectively. Using the band-structure and experimental
data we parameterize a one-band extended Hubbard model for both materials which
can be further mapped onto an anisotropic Heisenberg model. From the
inter-chain dispersion we estimate a corresponding inter-chain exchange
constant J_{\perp} \approx 0.8 and 3.6 meV for Sr_2CuO_3 and Ca_2CuO_3,
respectively. Comparing several approaches to anisotropic Heisenberg problems,
namely the random phase spin wave approximation and modern versions of coupled
quantum spin chains approaches, we observe the advantage of the latter in the
reproduction of reasonable values for the N\'eel temperature T_N and the
magnetization m_0 at zero temperature. Our estimate of $J_{\perp}$ gives the
right order of magnitude and the correct tendency going from Sr_2CuO_3 to
Ca_2CuO_3. In a comparative study we also include CuGeO_3.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 15:50:21 GMT""}]","2009-10-30"
"cond-mat/9704212",,"German Sierra and Miguel A. Martin-Delgado","The Short Range RVB State of Even Spin Ladders: A Recurrent Variational
  Approach","REVTEX file, 32 pages, 10 EPS figures inserted in text with epsf.sty",,"10.1103/PhysRevB.56.8774","UCM-CSIC-4-97","cond-mat hep-th",,"  Using a recursive method we construct dimer and nondimer variational ansatzs
of the ground state for the two-legged ladder, and compute the number of dimer
coverings, the energy density and the spin correlation functions. The number of
dimer coverings are given by the Fibonacci numbers for the dimer-RVB state and
their generalization for the nondimer ones. Our method relies on the recurrent
relations satisfied by the overlaps of the states with different lengths, which
can be solved using generating functions. The recurrent relation method is
applicable to other short range systems. Based on our results we make a
conjecture about the bond amplitudes of the 2-leg ladder.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 14:22:10 GMT""}]","2009-10-30"
"dg-ga/9704011","Ralf Spatzier","A. Katok, R. J. Spatzier","Differential Rigidity of Anosov Actions of Higher Rank Abelian Groups
  and Algebraic Lattice Actions","28 pages, LaTex",,,,"dg-ga math.DG",,"  We show that most homogeneous Anosov actions of higher rank Abelian groups
are locally smoothly rigid (up to an automorphism). This result is the main
part in the proof of local smooth rigidity for two very different types of
algebraic actions of irreducible lattices in higher rank semisimple Lie groups:
(i) the Anosov actions by automorphisms of tori and nil-manifolds, and (ii) the
actions of cocompact lattices on Furstenberg boundaries, in particular,
projective spaces. The main new technical ingredient in the proofs is the use
of a proper ""non-stationary"" generalization of the classical theory of normal
forms for local contractions.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 21:28:28 GMT""}]","2016-08-31"
"dg-ga/9704012",,"Richard Montgomery","Deformations of Nonholonomic Two-plane Fields in Four Dimensions","LaTeX, 28 pages",,,,"dg-ga math.DG",,"  An Engel structure is a maximally non-integrable field of two-planes tangent
to a four-manifold. Any two such structures are locally diffeomorphic. We
investigate the space of global deformations of canonical Engel structures
arising out of contact three-manifolds. The main tool is Cartan's method of
prolongation and deprolongation which lets us pass back and forth between
certain Engel four-manifolds and contact three-manifolds. Every Engel manifold
inherits a natural one-dimensional foliation. Its leaves are the fibers of the
map from Engel to contact manifold, when this map exists. The foliation has a
transverse contact structure and tangential real projective structure. As an
application of our investigations, we show that a canonical Engel structure on
real projective three-space times an interval corresponds to geodesic flow on
the two-sphere, and that a subspace of its Engel deformations corresponds to
the space of Zoll metrics on the two-sphere.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 00:24:22 GMT""}]","2008-02-03"
"dg-ga/9704013",,"R. Montgomery, M. Shapiro, A. Stolin","Chaotic Geodesics in Carnot Groups","LaTeX, 10 pages",,,,"dg-ga math.DG",,"  The group of real 4 by 4 upper triangular matrices with 1s on the diagonal
has a left-invariant subRiemannian (or Carnot-Caratheodory) structure whose
underlying distribution corresponds to the superdiagonal. We prove that the
associated subRiemannian geodesic flow is not completely integrable. This
provides the first example of a Carnot group (graded nilpotent Lie group with
an invariant subRiemannian structure supported on the generating subspace) with
a non-integrable geodesic flow. We apply this result to prove that the
centralizer for the corresponding quadratic ``quantum'' Hamiltonian in the
universal enveloping algebra for this group is ``as small as possible''.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 00:25:26 GMT""}]","2008-02-03"
"dg-ga/9704014","Guy Burdet","G. Burdet, M. Perrin","Radiation structures on isotropic hypersurfaces","plain-TeX, 20 pages",,,,"dg-ga math.DG",,"  The geometrical structures (in the sense of E. Cartan) are analyzed which
underlie the gravitational radiation phenomenon. Among the results are : - the
introduction of the adapted frame bundle to a congruence of isotropic
hypersurfaces in a Lorentzian manifold, - the description of the reduced frame
bundle which admits a unique radiation connection induced from the ambiant
space-time one, - the determination of the automorphisms of an integrable
radiation structure, - the repercussions of the geometry on the shape of the
stress-energy tensor in the Einstein's field equations.
","[{""version"":""v1"",""created"":""Fri, 25 Apr 1997 11:58:06 GMT""}]","2008-02-03"
"gr-qc/9704069","Giacomo Giampieri","G.Giampieri","On the Antenna Pattern of an Orbiting Interferometer","RevTeX, 17 pages, 11 ps figures. To appear in MNRAS",,"10.1093/mnras/289.1.185","QMW-AU-97006","gr-qc",,"  The response of an interferometer changing its orientation with respect to a
fixed reference frame is given in terms of the beam-pattern factors and the
polarization-averaged antenna power pattern.
","[{""version"":""v1"",""created"":""Thu, 24 Apr 1997 17:30:17 GMT""}]","2015-06-25"
