"alg-geom/9704023","Ugo Bruzzo","Claudio Bartocci, Ugo Bruzzo, Daniel Hernandez Ruiperez and Jose' M.
  Mu~noz Porras","Mirror symmetry on K3 surfaces via Fourier-Mukai transform","15 pages, AMS-LaTeX v1.2. Final version to appear in Commun. Math.
  Phys","Commun. Math. Phys. 195 (1998) 79-93.","10.1007/s002200050380","SISSA Ref. 61/97/fm/geo","alg-geom hep-th math.AG",,"  We use a relative Fourier-Mukai transform on elliptic K3 surfaces $X$ to
describe mirror symmetry. The action of this Fourier-Mukai transform on the
cohomology ring of $X$ reproduces relative T-duality and provides an
infinitesimal isometry of the moduli space of algebraic structures on $X$
which, in view of the triviality of the quantum cohomology of K3 surfaces, can
be interpreted as mirror symmetry.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:31:43 GMT""},{""version"":""v2"",""created"":""Sat, 9 Aug 1997 18:01:36 GMT""},{""version"":""v3"",""created"":""Wed, 17 Dec 1997 09:59:15 GMT""}]","2009-10-30"
"chao-dyn/9705001","Roman Grigoriev","R. O. Grigoriev, M. C. Cross, H. G. Schuster","Pinning Control of Spatiotemporal Chaos","4 pages, 4 figures",,"10.1103/PhysRevLett.79.2795",,"chao-dyn nlin.CD",,"  Linear control theory is used to develop an improved localized control scheme
for spatially extended chaotic systems, which is applied to a Coupled Map
Lattice as an example. The optimal arrangement of the control sites is shown to
depend on the symmetry properties of the system, while their minimal density
depends on the strength of noise in the system. The method is shown to work in
any region of parameter space and requires a significantly smaller number of
controllers compared to the method proposed earlier by Qu and Hu. A nonlinear
generalization of the method for a 1-d lattice is also presented.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 00:01:54 GMT""}]","2009-10-30"
"chao-dyn/9705002","Tony Roberts","Chao Xu and A.J. Roberts (University of Southern Queensland)","On the low-dimensional modelling of Stratonovich stochastic differential
  equations","LaTeX2e, 272K (including ps figs), 23pp Keywords: stochastic
  differential equation, centre manifold, low-dimensional modelling, noisy
  dynamical system, Fokker-Planck equation",,,,"chao-dyn nlin.CD",,"  We develop further ideas on how to construct low-dimensional models of
stochastic dynamical systems. The aim is to derive a consistent and accurate
model from the originally high-dimensional system. This is done with the
support of centre manifold theory and techniques. Aspects of several previous
approaches are combined and extended: adiabatic elimination has previously been
used, but centre manifold techniques simplify the noise by removing memory
effects, and with less algebraic effort than normal forms; analysis of
associated Fokker-Plank equations replace nonlinearly generated noise processes
by their long-term equivalent white noise. The ideas are developed by examining
a simple dynamical system which serves as a prototype of more interesting
physical situations.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 05:30:18 GMT""}]","2008-02-03"
"chao-dyn/9705003","Boris V. Chirikov","Boris Chirikov (Budker Institute of Nuclear Physics, Novosibirsk,
  Russia)","Linear and Nonlinear Dynamical Chaos","Latex 2.09 (133 kb)",,,"Budker INP 95-100","chao-dyn nlin.CD",,"  Interrelations between dynamical and statistical laws in physics, on the one
hand, and between the classical and quantum mechanics, on the other hand, are
discussed with emphasis on the new phenomenon of dynamical chaos. The principal
results of the studies into chaos in classical mechanics are presented in some
detail, including the strong local instability and robustness of the motion,
continuity of both the phase space as well as the motion spectrum, and time
reversibility but nonrecurrency of statistical evolution, within the general
picture of chaos as a specific case of dynamical behavior. Analysis of the
apparently very deep and challenging contradictions of this picture with the
quantum principles is given. The quantum view of dynamical chaos, as an attempt
to resolve these contradictions guided by the correspondence principle and
based upon the characteristic time scales of quantum evolution, is explained.
The picture of the quantum chaos as a new generic dynamical phenomenon is
outlined together with a few other examples of such a chaos including linear
(classical) waves and digital computer. I conclude with discussion of the two
fundamental physical problems: the quantum measurement (\psi-collapse), and the
causality principle which both appear to be related to the phenomenon of
dynamical chaos.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 05:48:18 GMT""}]","2008-02-03"
"chao-dyn/9705004","Boris V. Chirikov","Boris Chirikov (Budker Institute of Nuclear Physics, Novosibirsk,
  Russia)","Pseudochaos in Statistical Physics","Latex 2.09 (87 kb)",,,"Budker INP 95-99","chao-dyn nlin.CD",,"  A new generic dynamical phenomenon of pseudochaos and its relevance to the
statistical physics both modern as well as traditional one are considered and
explained in some detail. The pseudochaos is defined as a statistical behavior
of the dynamical system with discrete energy and/or frequency spectrum. In
turn, the statistical behavior is understood as time-reversible but
nonrecurrent relaxation to some steady state, at average, superimposed with
irregular fluctuations. The main attention is payed to the most important and
universal example of pseudochaos, the so-called quantum chaos that is dynamical
chaos in bounded mesoscopic quantum systems. The quantum chaos as a mechanism
for implementation of the fundamental correspondence principle is also
discussed.
  The quantum relaxation localization, a peculiar characteristic implication of
pseudochaos, is reviewed in both time-dependent and conservative systems with
special emphasis on the dynamical decoherence of quantum chaotic states. Recent
results on the peculiar global structure of the energy shell, the Green
function spectra and the eigenfunctions, both localized and ergodic, in a
generic conservative quantum system are presented.
  Examples of pseudochaos in classical systems are given including linear
oscillator and waves, digital computer and completely integrable systems. A
far-reaching similarity between the dynamics of a few-freedom quantum system at
high energy levels (n >> 1) and that of many--freedom one (N >> 1) is also
discussed.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 05:48:57 GMT""}]","2016-08-31"
"chao-dyn/9705005","Jens Eggers","Jens Eggers","Singularities in droplet pinching with vanishing viscosity","18 pages including 4 eps figures, revtex",,,,"chao-dyn nlin.CD physics.flu-dyn",,"  A slender-jet model for the pinching of a liquid column is considered in the
limit of vanishing viscosity. We find the model to develop a singularity in the
gradients of the local radius and the velocity at a finite thread radius, so it
does not describe breakup. However, the observed steepening of the profile
corresponds to experiments and simulations with fluids at low viscosity. The
singularity has similarity form, which we compute analytically. The result
agrees well with numerical simulations of the model equations.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 12:00:31 GMT""},{""version"":""v2"",""created"":""Tue, 26 Jan 1999 09:39:23 GMT""}]","2008-02-03"
"cmp-lg/9704013","Andy Kehler","Jerry R. Hobbs and Andrew Kehler (SRI International)","A Theory of Parallelism and the Case of VP Ellipsis","LaTeX, 8 pages, requires aclap.sty","Proceedings of ACL-97",,,"cmp-lg cs.CL",,"  We provide a general account of parallelism in discourse, and apply it to the
special case of resolving possible readings for instances of VP ellipsis. We
show how several problematic examples are accounted for in a natural and
straightforward fashion. The generality of the approach makes it directly
applicable to a variety of other types of ellipsis and reference.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 22:50:44 GMT""}]","2008-02-03"
"cmp-lg/9704014","Michael Strube","Udo Hahn and Michael Strube (Computational Linguistics Research Group,
  Freiburg University, Freiburg, Germany)","Centering in-the-large: Computing referential discourse segments","LaTeX, 8 pages","Proceedings of ACL 97 / EACL 97",,,"cmp-lg cs.CL",,"  We specify an algorithm that builds up a hierarchy of referential discourse
segments from local centering data. The spatial extension and nesting of these
discourse segments constrain the reachability of potential antecedents of an
anaphoric expression beyond the local level of adjacent center pairs. Thus, the
centering model is scaled up to the level of the global referential structure
of discourse. An empirical evaluation of the algorithm is supplied.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 09:20:03 GMT""}]","2008-02-03"
"comp-gas/9705001","Giambattista Giacomin","G. Giacomin and J.L. Lebowitz","Phase Segregation Dynamics in Particle Systems with Long Range
  Interactions I: Macroscopic Limits","amstex with macros (included in the file), tex twice, 20 pages","J. Stat. Phys. 87(1/2), 37--61, 1997","10.1007/BF02181479",,"comp-gas nlin.CG",,"  We present and discuss the derivation of a nonlinear non-local
integro-differential equation for the macroscopic time evolution of the
conserved order parameter of a binary alloy undergoing phase segregation. Our
model is a d-dimensional lattice gas evolving via Kawasaki exchange dynamics,
i.e. a (Poisson) nearest-neighbor exchange process, reversible with respect to
the Gibbs measure for a Hamiltonian which includes both short range (local) and
long range (nonlocal) interactions. A rigorous derivation is presented in the
case in which there is no local interaction. In a subsequent paper (part II),
we discuss the phase segregation phenomena in the model. In particular we argue
that the phase boundary evolutions, arising as sharp interface limits of the
family of equations derived in this paper, are the same as the ones obtained
from the corresponding limits for the Cahn-Hilliard equation.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 18:38:30 GMT""}]","2009-10-30"
"cond-mat/9704244","Ido Golding","Ido Golding and Yacov Kantor (Tel-Aviv University)","Two-Dimensional Polymers with Random Short-Range Interactions","4 two-column pages, 6 eps figures, RevTex, Submitted to Phys. Rev. E","Phys. Rev. E56, R1318-1321 (1997)","10.1103/PhysRevE.56.R1318",,"cond-mat.soft cond-mat.stat-mech",,"  We use complete enumeration and Monte Carlo techniques to study
two-dimensional self-avoiding polymer chains with quenched ``charges'' $\pm 1$.
The interaction of charges at neighboring lattice sites is described by $q_i
q_j$. We find that a polymer undergoes a collapse transition at a temperature
$T_{\theta}$, which decreases with increasing imbalance between charges. At the
transition point, the dependence of the radius of gyration of the polymer on
the number of monomers is characterized by an exponent $\nu_{\theta} = 0.60 \pm
0.02$, which is slightly larger than the similar exponent for homopolymers. We
find no evidence of freezing at low temperatures.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 07:50:20 GMT""}]","2009-10-30"
"cond-mat/9704245","Eugene Kogan","D.Schmeltzer, E. Kogan, R. Berkovits, and M. Kaveh","The Conductance in the One Dimensional Spin Polarized Gas","9 pages, latex, no figures",,,,"cond-mat.str-el",,"  We present a theoretical analysis of the recent experimental results of
Thomas et al on transport properties of spin polarized quantum wires. We
suggest an explanation of the observed deviations of the conductance from the
universal value $G=2e^2/h$ per channel in the wire. We argue that the new quasi
plateau observed for the conductance at the value $G=1.4e^2/h$ is a result of
the proximity between the spin polarized phase and the metallic one. The
enhancement of the conductance from the value $G=e^2/h$ to $G=1.4e^2/h$ is due
to the hybridization of the electronic state at $K_F^{\downarrow}\approx 0$
with the chiral states at $K_F^{\uparrow}$ and $-K_F^{\uparrow}$.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 15:41:52 GMT""}]","2008-02-03"
"cond-mat/9704246","Dima Shepelyansky","Giuliano Benenti, Giulio Casati and Dima L. Shepelyansky","Hundred photon microwave ionization of Rydberg atoms in a static
  electric field","revtex, 4 pages, 5 figures",,"10.1103/PhysRevA.57.1987",,"cond-mat",,"  We present analytical and numerical results for the microwave excitation of
nonhydrogenic atoms in a static electric field when up to 1000 photons are
required to ionize an atom. For small microwave fields, dynamical localization
in photon number leads to exponentially small ionization while above quantum
delocalization border ionization goes in a diffusive way. For alkali atoms in a
static field the ionization border is much lower than in hydrogen due to
internal chaos.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 14:03:07 GMT""}]","2009-10-30"
"funct-an/9704008","Johan Kustermans","Johan Kustermans","KMS-weights on C*-algebras","LaTeX, 64 pages",,,,"funct-an math.OA",,"  In this paper, we build a solid framework for KMS-weights on C*-algebras. We
use another definition than the one introduced by Combes, but prove that they
are equivalent.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 16:39:55 GMT""}]","2008-02-03"
"gr-qc/9704081","Hisaaki Shinkai","Gen Yoneda (Waseda Univ.), Hisaaki Shinkai (Washington Univ.), and
  Akika Nakamichi (Gunma A.O.)","A trick for passing degenerate points in Ashtekar formulation","9 pages by RevTeX or 16 pages by LaTeX, 3 eps figures and epsf-style
  file are included","Phys.Rev. D56 (1997) 2086-2093","10.1103/PhysRevD.56.2086",,"gr-qc",,"  We examine one of the advantages of Ashtekar's formulation of general
relativity: a tractability of degenerate points from the point of view of
following the dynamics of classical spacetime. Assuming that all dynamical
variables are finite, we conclude that an essential trick for such a continuous
evolution is in complexifying variables. In order to restrict the complex
region locally, we propose some `reality recovering' conditions on spacetime.
Using a degenerate solution derived by pull-back technique, and integrating the
dynamical equations numerically, we show that this idea works in an actual
dynamical problem. We also discuss some features of these applications.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 17:24:52 GMT""}]","2009-10-30"
"gr-qc/9704082","Matt Visser","David Hochberg (LAEFF, Madrid) and Matt Visser (Washington University)","Geometric structure of the generic static traversable wormhole throat","25 pages; plain LaTeX; uses epsf.sty (four encapsulated postscript
  figures)","Phys.Rev.D56:4745-4755,1997","10.1103/PhysRevD.56.4745",,"gr-qc hep-th",,"  Traversable wormholes have traditionally been viewed as intrinsically
topological entities in some multiply connected spacetime. Here, we show that
topology is too limited a tool to accurately characterize a generic traversable
wormhole: in general one needs geometric information to detect the presence of
a wormhole, or more precisely to locate the wormhole throat. For an arbitrary
static spacetime we shall define the wormhole throat in terms of a
2-dimensional constant-time hypersurface of minimal area. (Zero trace for the
extrinsic curvature plus a ""flare-out"" condition.) This enables us to severely
constrain the geometry of spacetime at the wormhole throat and to derive
generalized theorems regarding violations of the energy conditions-theorems
that do not involve geodesic averaging but nevertheless apply to situations
much more general than the spherically symmetric Morris-Thorne traversable
wormhole. [For example: the null energy condition (NEC), when suitably weighted
and integrated over the wormhole throat, must be violated.] The major technical
limitation of the current approach is that we work in a static spacetime-this
is already a quite rich and complicated system.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 22:30:15 GMT""}]","2011-09-30"
"gr-qc/9704083","Rudolf Poppe","Z. Lalak, R. Poppe","Scalar field fluctuations in Pre-Big-Bang Cosmologies","26 pages, Latex, 6 ps figures","Nucl.Phys. B507 (1997) 419-442","10.1016/S0550-3213(97)00588-9",,"gr-qc hep-th",,"  Jordan-Brans-Dicke theories with a linearized potential for the scalar field
are investigated in the framework of the stochastic approach. The fluctuations
of this field are examined and their backreaction on the classical background
is described. We compute the mode functions and analyze the time evolution of
the variance of the stochastic ensemble corresponding to the full quantum
scalar field in the pre-big-bang regime. We compute fluctuations of the term
discriminating between the two branches of solutions present in the theory. We
find, both analytically and upon direct integration of the stochastic equations
of motion, that the dispersion of these fluctuations grows to achieve the
magnitude of the term separating the two classical solutions. This means that
the ensembles representing classical solutions which belong to different
branches do overlap; this may provide a quantum mechanical realization at the
level of field theory to change among solutions belonging to different
branches.
","[{""version"":""v1"",""created"":""Tue, 29 Apr 1997 23:26:43 GMT""}]","2009-10-30"
"gr-qc/9704084",,"Ichiro Oda","Quantum Gravity near Apparent Horizon and Two Dimensional Dilaton
  Gravity","17 pages, phyzzx","Phys.Rev. D57 (1998) 2415-2420","10.1103/PhysRevD.57.2415","EDO-EP-12","gr-qc",,"  We study the Hawking radiation in two dimensional dilaton black hole by means
of quantum gravity holding near the apparent horizon. First of all, we
construct the canonical formalism of the dilaton gravity in two dimensions.
Then the Vaidya metric corresponding to the dilaton black hole is established
where it is shown that the dilaton field takes a form of the linear dilaton.
Based on the canonical formalism and the Vaidya metric, we proceed to analyze
quantum properties of a dynamical black hole. It is found that the mass loss
rate of the Hawking radiation is independent of the black hole mass and at the
same time the apparent horizon recedes to the singularity as shown in other
studies of two dimensional gravity. It is interesting that one can construct
quantum gravity even near the curvature singularity and draw the same
conclusion with respect to the Hawking radiation as the above-mentioned
picture. Unfortunately, the present formalism seems to be ignorant of the
contributions from the functional measures over the gravitational field, the
dilaton and the ghosts.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 05:45:53 GMT""}]","2016-08-31"
"gr-qc/9704085","Cesar F. Talavera","J. Cruz, J. Navarro-Salas, M. Navarro and C. F. Talavera","Symmetries and solvable models for evaporating 2D black holes","4 pages, Latex. Talk given at the Second Conference on Quantum
  Gravity and Constrained Dynamics. To appear in Proc. Supp. Nucl. Phys. B","Nucl.Phys.Proc.Suppl. 57 (1997) 184-187","10.1016/S0920-5632(97)00371-X",,"gr-qc",,"  We study the evaporation process of a 2D black hole in thermal equilibrium
when the ingoing radiation is switched off suddenly. We also introduce global
symmetries of generic 2D dilaton gravity models which generalize the extra
symmetry of the CGHS model.
","[{""version"":""v1"",""created"":""Wed, 30 Apr 1997 10:22:30 GMT""}]","2009-10-30"
