"alg-geom/9704001","Maxim Braverman","Alexander Braverman and Maxim Braverman","Tempered currents and the cohomology of the remote fiber of a real
  polynomial map","LaTeX 2e",,,,"alg-geom math.AG",,"  Let $p:R^n\to R$ be a polynomial map. Consider the complex
$S'\Omega^*(\RR^n)$ of tempered currents on $R^n$ with the twisted differential
$d_p=d-dp$ where $d$ is the usual exterior differential and $dp$ stands for the
exterior multiplication by $dp$. Let $t\in R$ and let $F_t=p^{-1}(t)$. In this
paper we prove that the reduced cohomology $\tilda H^k(F_t;C)$ of $F_t$ is
isomorphic to $H^{k+1}(S'\Omega^*(\RR^n),d_p)$ in the case when $p$ is
homogeneous and $t$ is any positive real number. We conjecture that this
isomorphism holds for any polynomial $p$, for $t$ large enough (we call the
$F_t$ for $t >> 0$ the remote fiber of $p$) and we prove this conjecture for
polynomials that satisfy certain technical condition. The result is analogous
to that of A. Dimca and M. Saito, who give a similar (algebraic) way to compute
the reduced cohomology of the generic fiber of a complex polynomial.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 23:36:53 GMT""}]","2008-02-03"
"astro-ph/9704031","Stephanie Cote","Stephanie Cote (ESO), Ken Freeman (MSSSO), Claude Carignan (Uni. de
  Montreal)","Mass-Models of Five Nearby Dwarf Irregular Galaxies","Postscript file (8 pages including 4 figures). To appear in ""Dark and
  Visible Matter in Galaxies and Cosmological Implications"" (Sesto Pusteria,
  Italy, 2-5 July 1996), ASP Conference Series, eds M.Persic and P.Salucci",,,,"astro-ph",,"  Five nearby dwarf irregular galaxies, amongst the recently surveyed dwarf
members of the Sculptor and Centaurus A groups (at 2.5 Mpc and 3.5 Mpc), have
been imaged in neutral hydrogen (HI) with the Australia Telescope and the Very
Large Array. These objects have absolute magnitudes M_B in the range -14.9 to
-12.7, yet they are clearly rotationally supported, with maximum rotation
velocities ranging from 43 km/s to 67 km/s. Multi-component mass-models have
been fitted to the rotation curves. We investigate the properties of their dark
matter halos, and the scaling laws of the dark matter halos parameters.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:17:28 GMT""}]","2007-05-23"
"astro-ph/9704032","Stephanie Cote","Claude Carignan (Uni. de Montreal), Stephanie Cote (ESO), Ken Freeman
  (MSSSO), Peter Quinn (ESO)","NGC 5084: A Massive Disk Galaxy Accreting its Satellites ?","20 pages Latex (aasms4.sty) including all tables and 4 postscript
  figures. AJ in Press",,"10.1086/118376",,"astro-ph",,"  The spectra of 34 galaxies within 20 arcmins (\sim 100 kpc) of the lenticular
galaxy NGC 5084 have been obtained using the FOCAP system on the
Anglo-Australian 3.9m telescope. Nine objects are found with projected
separations \lesssim 80 kpc and with radial velocities within \pm 630 km/s of
the parent galaxy redshift. Using various techniques, their velocity
differences and projected separations are used to estimate the mass of this S0
galaxy, which ranges from 6 \times 10^{12} M_{\odot} to 1 \times 10^{13}
M_{\odot}. With such a mass, NGC 5084 is one of the most massive disk galaxy
known, with a M/L_B \gtrsim 200 M_{\odot}/L_{\odot}. In agreement with the
models' predictions of Quinn & Goodman (1986) but contrary to the results of
Zaritsky et al (1993) obtained from their statistical sample, the properties of
the satellites' population show no evidence for the ""Holmberg effect"", and a
clear excess of satellites in retrograde orbits. Several signs hint that this
S0 galaxy has survived the accretion of several satellites.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:19:47 GMT""}]","2009-10-30"
"astro-ph/9704033","Romain Teyssier","Jean-Pierre CHIEZE (1), Romain Teyssier (1) and Jean-Michel Alimi (2)
  ((1): Service d'Astrophysique CEA-SACLAY, France (2): LAEC, Observatoire de
  Meudon, France)","Gas and Dark Matter Spherical Dynamics","26 pages, 5 figures, accepted for publication in The Astrophysical
  Journal",,"10.1086/304298",,"astro-ph",,"  We investigate the formation of spherical cosmological structures following
both dark matter and gas components. We focus on the dynamical aspect of the
collapse assuming an adiabatic, $\gamma = 5/3$, fully ionized primordial
plasma. We use for that purpose a fully Lagrangian hydrodynamical code designed
to describe highly compressible flows in spherical geometry. We investigate
also a ""fluid approach"" to describe the mean physical quantities of the dark
matter flow. We test its validity for a wide range of initial density contrast.
We show that an homogeneous isentropic core forms in the gas distribution,
surrounded by a self-similar hydrostatic halo, with much higher entropy
generated by shock dissipation. We derive analytical expressions for the size,
density and temperature of the core, as well as for the surrounding halo. We
show that, unless very efficient heating processes occur in the intergalactic
medium, we are unable to reproduce within adiabatic models the typical core
sizes in X-ray clusters. We also show that, for dynamical reasons only, the gas
distribution is naturally antibiased relative to the total mass distribution,
without invoking any reheating processes. This could explain why the gas
fraction increases with radius in very large X-ray clusters. As a preparation
for the next study devoted to the thermodynamical aspect of the collapse, we
investigate the initial entropy level required to solve the core problem in
X-ray clusters.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:34:28 GMT""}]","2009-10-30"
"astro-ph/9704034","Romain Teyssier","Romain Teyssier (1), Jean-Pierre CHIEZE (1) and Jean-Michel Alimi (2)
  ((1): Service d'Astrophysique CEA-SACLAY, France (2): LAEC, Observatoire de
  Meudon, France)","Self Similar Spherical Collapse Revisited: a Comparison between Gas and
  Dark Matter Dynamics","14 pages, 2 figures, accepted for publication in The Astrophysical
  Journal",,"10.1086/303965",,"astro-ph",,"  We reconsider the collapse of cosmic structures in an Einstein-de Sitter
Universe, using the self similar initial conditions of Fillmore & Goldreich
(1984). We first derive a new approximation to describe the dark matter
dynamics in spherical geometry, that we refer to the ""fluid approach"". This
method enables us to recover the self-similarity solutions of Fillmore &
Goldreich for dark matter. We derive also new self-similarity solutions for the
gas. We thus compare directly gas and dark matter dynamics, focusing on the
differences due to their different dimensionalities in velocity space. This
work may have interesting consequences for gas and dark matter distributions in
large galaxy clusters, allowing to explain why the total mass profile is always
steeper than the X-ray gas profile. We discuss also the shape of the dark
matter density profile found in N-body simulations in terms of a change of
dimensionality in the dark matter velocity space. The stable clustering
hypothesis has been finally considered in the light of this analytical
approach.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 12:47:42 GMT""}]","2009-10-30"
"astro-ph/9704035","Gian Luigi Granato","Gian Luigi Granato, Luigi Danese and Alberto Franceschini","Thick tori around AGN: the case for extended tori and consequences for
  their X-ray and IR emission","33 pages, 9 Postscript figures, to appear in ApJ, September 1997",,"10.1086/304502",,"astro-ph",,"  Two families of models of dusty tori in AGNs (moderately thick and extended
versus very thick and compact) are tested against available observations. The
confrontation suggests that the former class better explains the IR broad-band
spectra of both broad and narrow line AGNs, the anisotropy of the emission
deduced by comparing IR properties of Seyfert 1 and 2 nuclei, the results of IR
spectroscopy and those of high spatial resolution observations. There is
however clear evidence for a broad distribution of optical depths. We also
examine the relationship between IR and X-ray emission. The data support a view
in which the matter responsible for the X-ray absorption is mostly dust free,
lying inside the dust sublimation radius. The consequences of these results for
the hard X-ray background as well as IR counts and background are discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 13:36:34 GMT""}]","2009-10-30"
"astro-ph/9704036","Arkadiusz Olech","Arkadiusz Olech (Warsaw University Observatory)","Photometric Parameters of RR Lyr Variable Stars in the Galactic Bulge","accepted for publication in Acta Astronomica (Vol. 47, p. 183), 16
  pages, LaTeX file with 5 figures, based on OGLE data",,,,"astro-ph",,"  We present a complete set of OGLE photometric measurements for 214 RR Lyrae
variables in the Galactic bulge, based on four observing seasons: 1992-95.
These are mostly I-band measurements, with some V-band observations obtained
mainly in 1995. Based on this material we construct the Fourier decomposition
of the I-band light curves and investigate different types of RR Lyr
variability. We also determine the value of the extinction-insensitive
parameter V_{V-I} for RR Lyr stars in fields with different galactic longitude
l and compare with values of V_{V-I} calculated for red clump stars by Stanek
et al. (1994).
  The observed and free from interstellar extinction mean brightness and V-I
color of RR Lyr stars are also presented.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 13:54:21 GMT""},{""version"":""v2"",""created"":""Wed, 23 Apr 1997 09:26:00 GMT""}]","2009-09-25"
"astro-ph/9704037","Rene Ong","STACEE Collaboration","Prototype Test Results of the Solar Tower Atmospheric Cherenkov Effect
  Experiment (STACEE)","28 LaTeX pages, 24 PostScript figures, uses psfig.sty submitted to
  Nucl. Inst. Meth. A","Nucl.Instrum.Meth. A408 (1998) 468-485","10.1016/S0168-9002(97)01201-1","EFI 97-16","astro-ph",,"  There are currently no experiments, either satellite or ground-based, that
are sensitive to astrophysical gamma-rays at energies between 20 and 250 GeV.
We are developing the Solar Tower Atmospheric Cherenkov Effect Experiment
(STACEE) to explore this energy range. STACEE will use heliostat mirrors at a
solar research facility to collect Cherenkov light from extensive air showers
produced by high energy gamma-rays. Here we report on the results of prototype
test work at the solar facility of Sandia National Laboratories (Albuquerque,
NM). The work demonstrates that the facility is suitable for use as an
astrophysical observatory. In addition, using a full scale prototype of part of
STACEE, we detected atmospheric Cherenkov radiation at energies lower than any
other ground-based experiment to date.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 14:32:04 GMT""}]","2015-06-24"
"cond-mat/9704017","Velenik","C.-E. Pfister and Y. Velenik","Random-Cluster Representation of the Ashkin-Teller Model","To appear in J.Stat.Phys","J. Statist. Phys., Vol. 88, Nr. 5-6 (1997) , p. 1295--1331","10.1007/BF02732435",,"cond-mat.stat-mech",,"  We show that a class of spin models, containing the Ashkin-Teller model,
admits a generalized random-cluster (GRC) representation. Moreover we show that
basic properties of the usual representation, such as FKG inequalities and
comparison inequalities, still hold for this generalized random-cluster model.
Some elementary consequences are given. We also consider the duality
transformations in the spin representation and in the GRC model and show that
they commute.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:15:11 GMT""}]","2011-08-25"
"cond-mat/9704018","Velenik","C.-E. Pfister and Y. Velenik","Interface Pinning and Finite-Size Effects in the 2D Ising Model","34 pages, Latex","Comm. Math. Phys., Vol. 204, Nr. 2 (1999) , p. 269--312","10.1007/s002200050646",,"cond-mat.stat-mech",,"  We apply new techniques developed in a previous paper to the study of some
surface effects in the 2D Ising model. We examine in particular the
pinning-depinning transition. The results are valid for all subcritical
temperatures. By duality we obtained new finite size effects on the asymptotic
behaviour of the two-point correlation function above the critical temperature.
The key-point of the analysis is to obtain good concentration properties of the
measure defined on the random lines giving the high-temperature representation
of the two-point correlation function, as a consequence of the sharp triangle
inequality: let tau(x) be the surface tension of an interface perpendicular to
x; then for any x,y
  tau(x)+tau(y)-tau(x+y) >= 1/kappa(||x||+||y||-||x+y||),
  where kappa is the maximum curvature of the Wulff shape and ||x|| the
Euclidean norm of x.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:37:22 GMT""}]","2011-08-25"
"cond-mat/9704019","Jainendra Jain","R. K. Kamilla, J. K. Jain, and S. M. Girvin","Fermi-sea-like correlations in a partially filled Landau level","23 pages, revtex",,"10.1103/PhysRevB.56.12411",,"cond-mat.mes-hall",,"  The pair distribution function and the static structure factor are computed
for composite fermions. Clear and robust evidence for a $2k_F$ structure is
seen in a range of filling factors in the vicinity of the half-filled Landau
level. Surprisingly, it is found that filled Landau levels of composite
fermions, i.e. incompressible FQHE states, bear a stronger resemblance to a
Fermi sea than do filled Landau levels of electrons.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 16:45:57 GMT""}]","2009-10-30"
"cond-mat/9704020","Stefan Kettemann","Stefan Kettemann (Weizmann Inst. Dep. of Cond. Mat. Phys., and MPI for
  Phys. of Compl. Systems)","Persistent Hall Voltage and Current in the Fractional Quantum Hall
  Regime","12 pages, Latex","Phys. Rev. B 55,2512-22(1997)","10.1103/PhysRevB.55.2512",,"cond-mat.mes-hall",,"  The persistent Hall voltage and current in an isolated annulus in a strong
perpendicular magnetic field, at odd inverse filling factor, and in the
presence of a weak constriction is obtained as a function of temperature, and
flux piercing the annulus. A thermodynamic Hall conductance is found which has
a universal value even with back scattering at the constriction. Included are
detailed appendices on the bosonization of chiral soliton operators and the
derivation of the chiral action, which has an additional topological term
originating from the dynamics of the zero modes.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 18:02:10 GMT""}]","2009-10-30"
"cond-mat/9704021","A. Denton","A. R. Denton (Forschungszentrum Juelich, Germany), J. Hafner
  (Technische Universitaet Wien, Austria)","Thermodynamically Stable One-Component Quasicrystals: A
  Density-Functional Survey of Relative Stabilities","REVTeX, 37 pages + 7 figures, submitted, Phys. Rev. B","Phys. Rev. B 56, 2469 (1997)","10.1103/PhysRevB.56.2469",,"cond-mat.mtrl-sci",,"  A combination of classical density-functional theory and thermodynamic
perturbation theory is applied to a survey of finite-temperature trends in the
relative stabilities of one-component crystals and quasicrystals interacting
via effective metallic pair potentials derived from pseudopotential theory.
Comparing the free energies of several periodic crystals and rational
approximant models of quasicrystals over a range of pseudopotential parameters,
thermodynamically stable quasicrystals are predicted for parameters approaching
the limits of mechanical stability of the crystal structures. Quasicrystalline
stability is attributed to vibrational stiffness and energetically favorable
medium- and long-range interactions. The results support and significantly
extend conclusions of previous ground-state lattice-sum studies.
","[{""version"":""v1"",""created"":""Wed, 2 Apr 1997 19:48:34 GMT""}]","2009-10-30"
"cond-mat/9704022","Eugene A. Demler","Y. Bazaliy, E. Demler, and S.C. Zhang","Search for the \pi Resonance in Two Particle Tunneling Experiments of
  YBCO Superconductors","10 pages, LATEX , 3 ps figures","Phys. Rev. Lett. 79, 1921 (1997)","10.1103/PhysRevLett.79.1921","SU ITP 97/10","cond-mat.supr-con",,"  A recent theory of the resonant neutron scattering peaks in YBCO
superconductors predicts the existence of a sharp spin triplet two particle
collective mode (the ``\pi resonance"") in the normal state. In this paper, we
propose an experiment in which the \pi resonance could be probed directly in a
two particle tunneling measurement.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 04:54:32 GMT""}]","2016-08-31"
"cond-mat/9704023","Nobuki Maeda","K. Ishikawa, N. Maeda, T. Ochiai, and H. Suzuki","Duality Relation among Periodic Potential Problems in the Lowest Landau
  Level","6 pages, 3 figures, final version to appear in PRB","Phys. Rev. B 58 (1998) 1088","10.1103/PhysRevB.58.1088","EPHOU-97-004","cond-mat.mes-hall hep-th",,"  Using a momentum representation of a magnetic von Neumann lattice, we study a
two-dimensional electron in a uniform magnetic field and obtain one-particle
spectra of various periodic short-range potential problems in the lowest Landau
level.We find that the energy spectra satisfy a duality relation between a
period of the potential and a magnetic length. The energy spectra consist of
the Hofstadter-type bands and flat bands. We also study the connection between
a periodic short-range potential problem and a tight-binding model.
","[{""version"":""v1"",""created"":""Thu, 3 Apr 1997 05:57:32 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jun 1998 05:10:38 GMT""}]","2009-10-30"
