"alg-geom/9704008","Antonella Grassi","A. Grassi","Divisors on elliptic Calabi-Yau 4-folds and the superpotential in
  F-theory, I","Reference added; 34 pages with 7 figures AmS-TeX version 2.1",,"10.1016/S0393-0440(98)00004-7",,"alg-geom hep-th math.AG",,"  Each smooth elliptic Calabi-Yau 4-fold determines both a three-dimensional
physical theory (a compactification of ``M-theory'') and a four-dimensional
physical theory (using the ``F-theory'' construction). A key issue in both
theories is the calculation of the ``superpotential''of the theory. We propose
a systematic approach to identify these divisors, and derive some criteria to
determine whether a given divisor indeed contributes. We then apply our
techniques in explicit examples, in particular, when the base B of the elliptic
fibration is a toric variety or a Fano 3-fold. When B is Fano, we show how
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for the Calabi-Yau 4-fold X. This naturally leads to certain transitions
of X, that is birational transformations to a singular model (where the image
of D no longer contributes) as well as certain smoothings of the singular
model. If a smoothing exists, then the Hodge numbers change. We speculate that
divisors contributing to the superpotential are always ""exceptional"" (in some
sense) for X, also in M-theory. In fact we show that this is a consequence of
the (log)-minimal model algorithm in dimension 4, which is still conjectural in
its generality, but it has been worked out in various cases, among which toric
varieties.
","[{""version"":""v1"",""created"":""Thu, 10 Apr 1997 18:12:16 GMT""},{""version"":""v2"",""created"":""Sun, 13 Apr 1997 15:03:51 GMT""},{""version"":""v3"",""created"":""Mon, 16 Feb 1998 20:54:17 GMT""}]","2009-10-30"
"astro-ph/9704094","Michael W. Regan","John S. Mulchaey and Michael W. Regan","The Fueling of Nuclear Activity: II. The Bar Properties of Seyfert and
  Normal Galaxies","aastex 4.0, accepted for publication in the Astrophysical Journal
  Letters",,"10.1086/310710",,"astro-ph",,"  We use a recent near-infrared imaging survey of samples of Seyfert and normal
galaxies to study the role of bars in the fueling of nuclear activity. The
active galaxy sample includes Seyfert galaxies in the Revised Shapely-Ames
(RSA) and Sandage & Tammann's (1987) extension to this catalog. The normal
galaxies were selected to match the Seyfert sample in Hubble type, redshift,
inclination and blue luminosity. All the galaxies in both samples classified as
barred in the RSA catalog are also barred in the near-infrared. In addition,
~55% of the galaxies classified as non-barred in the RSA show evidence for bars
at 2.1 microns. Overall, ~70% of the galaxies observed show evidence for bar
structures. The incidence of bars in the Seyfert and normal galaxies is
similar, suggesting Seyfert nuclei do not occur preferentially in barred
systems. Furthermore, a slightly higher percentage of normal galaxies have
multiple-bar structures.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 12:55:02 GMT""}]","2009-10-30"
"astro-ph/9704095","Tim de Zeeuw","Tim de Zeeuw (Leiden Obs)","Dynamical evidence for black holes and dark halos","10 pages including 3 postscript figures in uuencoded compressed tar
  file. To appear in ""The Nature of Elliptical Galaxies"", eds M. Arnaboldi, G.
  da Costa, P. Saha, ASP Conference Series, 1997, in press",,,,"astro-ph",,"  A variety of observational approaches have provided evidence for extended
halos of dark matter surrounding elliptical galaxies, and for massive dark
objects in (some of) their nuclei. What are the properties of the dark halos?
How do they relate to the parameters of the luminous matter? What is the
demographics of massive central black holes, and what is their dynamical role
in shaping the host galaxy? Recent work in this area is described, with special
attention to the construction of state-of-the-art dynamical models that
incorporate all available observational constraints.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 13:03:36 GMT""}]","2007-05-23"
"astro-ph/9704096","Dario Fadda","Dario Fadda (1), Eric Slezak (2), Albert Bijaoui (2) ((1) Astronomy
  Dept. of Trieste University and SISSA - Italy, (2) Observatoire de la Cote
  d'Azur - France)","Density estimation with non-parametric methods","21 pages, LaTeX2e file with 9 figures and 2 tables (automatically
  included) - To appear in Astronomy & Astrophysics","Astron.Astrophys.Suppl.Ser. 127 (1998) 335","10.1051/aas:1998355",,"astro-ph",,"  One key issue in several astrophysical problems is the evaluation of the
density probability function underlying an observational discrete data set. We
here review two non-parametric density estimators which recently appeared in
the astrophysical literature, namely the adaptive kernel density estimator and
the Maximum Penalized Likelihood technique, and describe another method based
on the wavelet transform.
  The efficiency of these estimators is tested by using extensive numerical
simulations in the one-dimensional case. The results are in good agreement with
theoretical functions and the three methods appear to yield consistent
estimates.
  In order to check these estimators with respect to previous studies, two
galaxy redshift samples (the galaxy cluster A3526 and the Corona Borealis
region) have been analyzed.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 13:31:55 GMT""}]","2009-10-30"
"astro-ph/9704097","Elena Zucca","G.Vettolani, E.Zucca, G.Zamorani, A.Cappi, R.Merighi, M.Mignoli,
  G.M.Stirpe, H.MacGillivray, C.Collins, C.Balkowski, V.Cayatte,
  S.Maurogordato, D.Proust, G.Chincarini, L.Guzzo, D.Maccagni, R.Scaramella,
  A.Blanchard, M.Ramella","The ESO Slice Project (ESP) galaxy redshift survey: I. Description and
  First Results","8 pages, 7 postscript figures, uses LaTeX L-AA (l-aa.sty included),
  A&A in press",,,"BAP 04-1997-07-OAB","astro-ph",,"  The ESO Slice Project (ESP) is a galaxy redshift survey we have recently
completed as an ESO Key-Project. The ESP covers 23.3 square degrees in a region
close to the South Galactic Pole. The survey is nearly complete (85%) to the
limiting magnitude b_J=19.4 and consists of 3342 galaxies with reliable
redshift determination. In this paper, the first in a series that will present
the results of the ESP survey, we describe the main characteristics of the
survey and briefly discuss the properties of the galaxy sample. From a
preliminary spectral analysis of a large sub-sample of 2550 galaxies we find
that the fraction of actively star-forming galaxies increases from a few
percent for the brightest galaxies up to about 40% for the galaxies fainter
than M= -16.5. The most outstanding feature in the ESP redshift distribution is
a very significant peak at z ~ 0.1. The detection of similar peaks, at the same
distance, in other surveys in the same region of the sky, suggests the presence
of a large bidimensional structure perpendicular to the line of sight. The
minimum size of this structure would be of the order of 100 x 50 Mpc,
comparable with the size of the Great Wall.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 13:30:23 GMT""}]","2007-05-23"
"astro-ph/9704098","Werner Hofmann","HEGRA Collaboration: A. Daum et al","First Results on the Performance of the HEGRA IACT Array","19 Pages, 11 figures, Latex, uses epsf, elsart.sty",,,"MPI H - V 13 1997","astro-ph",,"  First results concerning the performance characteristics of the HEGRA IACT
array are given, based on stereoscopic observations of the Crab Nebula with
four telescopes. The system provides a gamma-ray energy threshold around 0.5
TeV. The Crab signal demonstrates an angular resolution of about 0.1 deg. Shape
cuts allow to suppress cosmic ray background by almost a factor 100, while
maintaining 40% efficiency for gamma-rays. The Crab signal is essentially
background free. For longer observation times of order 100 h, the system in its
present form provides sensitivity to point sources at a level of 3% of the Crab
flux. Performance is expected to improve further with the inclusion of the
fifth telescope and the implementation of advanced algorithms for shower
reconstruction.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 14:33:28 GMT""}]","2007-05-23"
"astro-ph/9704099","Luis Ho","Luis C. Ho, Alexei V. Filippenko, Wallace L. W. Sargent, and Chien Y.
  Peng","A Search for ""Dwarf"" Seyfert Nuclei. IV. Nuclei with Broad H-alpha
  Emission","To appear in the Astrophysical Journal Supplements. LaTex, 32 pages,
  plus an additional 14 figures and 3 tables. AASTex macro aaspp4.sty","Astrophys.J.Suppl.112:391-414,1997","10.1086/313042",,"astro-ph",,"  We present the results of an optical spectroscopic survey designed to search
for low-luminosity, ""dwarf"" Seyfert nuclei in a magnitude-limited sample of 486
bright, northern galaxies. Moderate-resolution spectra of exceptionally high
quality were obtained in part to detect broad H-alpha emission, similar in
character to, but much weaker than, the broad permitted lines that define type
1 Seyfert nuclei. One of the primary goals of the survey is to better quantify
the faint end of the luminosity function of active galactic nuclei. This paper
describes the subset of nuclei showing definite or probable evidence of broad
H-alpha emission. We outline the procedures for determining the presence of
this elusive spectral feature, steps for its quantitative measurement, and the
associated systematic errors. Of the 211 emission-line galaxies classified as
having Seyfert or LINER nuclei in our survey, the broad H-alpha line was
detected with confidence in 34 objects, and with less certainty in another 12.
Most of the detections are reported for the first time, and the detection rate
represents a lower limit to the true incidence of active nuclei harboring a
broad emission-line region. These statistics imply that broad-lined active
nuclei are much more common than previously believed: they exist in at least
20% of all galaxies spectroscopically classified as ""active"" and in more than
10% of all luminous galaxies at the current epoch.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:36:36 GMT""}]","2010-12-09"
"astro-ph/9704100","Luis Ho","Luis C. Ho, Alexei V. Filippenko, and Wallace L. W. Sargent","The Influence of Bars on Nuclear Activity","To appear in the Astrophysical Journal. LaTex, 31 pages including 6
  postscript figures and 3 tables. AAStex macros included",,"10.1086/304643",,"astro-ph",,"  We test ideas on fueling of galactic nuclei by bar-driven inflow by comparing
the detection rate and intensity of nuclear H II regions and AGNs among barred
and unbarred galaxies in a sample of over 300 spirals selected from our recent
optical spectroscopic survey of nearby galaxies. Among late-type spirals
(Sc-Sm), but not early-type (S0/a-Sbc), we observe in the barred group a very
marginal increase in the detection rate of H II nuclei and a corresponding
decrease in the incidence of AGNs. The minor differences in the detection
rates, however, are statistically insignificant, most likely stemming from
selection effects and not from a genuine influence from the bar. The presence
of a bar seems to have no noticeable impact on the likelihood of a galaxy to
host either nuclear star formation or an AGN. The nuclei of early-type barred
spirals do exhibit measurably higher star-formation rates than their unbarred
counterparts, as indicated by either the luminosity or the equivalent width of
H-alpha emission. By contrast, late-type spirals do not show such an effect.
Bars have a negligible effect on the strength of the AGNs in our sample,
regardless of the Hubble type of the host galaxy. This result confirms similar
conclusions reached by other studies based on much smaller samples.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:40:07 GMT""}]","2009-10-30"
"astro-ph/9704101","Luis Ho","Luis C. Ho, Alexei V. Filippenko, and Wallace L. W. Sargent","Properties of H II Regions in the Centers of Nearby Galaxies","To appear in the Astrophysical Journal. LaTex, 37 pages including 15
  postscript figures. AAStex macros included",,"10.1086/304642",,"astro-ph",,"  As part of an optical spectroscopic survey of nearby, bright galaxies, we
have identified a sample of over 200 emission-line nuclei having optical
spectra resembling those of giant extragalactic H II regions. Such ""H II
nuclei,"" powered by young, massive stars, are found in a substantial fraction
of nearby galaxies, especially those of late Hubble type. This paper summarizes
the observational characteristics of H II nuclei, contrasts the variation of
their properties with Hubble type, and compares the nuclear H II regions with
those found in galaxy disks. Similarities and differences between H II nuclei
and luminous starburst nuclei are additionally noted.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:40:40 GMT""}]","2009-10-30"
"astro-ph/9704107","Luis Ho","Luis C. Ho, Alexei V. Filippenko, and Wallace L. W. Sargent","A Search for ""Dwarf"" Seyfert Nuclei. III. Spectroscopic Parameters and
  Properties of the Host Galaxies","To appear in the Astrophysical Journal Supplements. LaTex, 31 pages,
  plus an additional 23 figures and 5 tables. AASTex macro aaspp4.sty","Astrophys.J.Suppl.112:315,1997","10.1086/313041",,"astro-ph",,"  We have completed an optical spectroscopic survey of the nuclear regions (r <
200 pc) of a large sample of nearby galaxies. Although the main objectives of
the survey are to search for low-luminosity active galactic nuclei and to
quantify their luminosity function, the database can be used for a variety of
other purposes. This paper presents measurements of the spectroscopic
parameters for the 418 emission-line nuclei, along with a compilation of the
global properties of all 486 galaxies in the survey. Stellar absorption
generally poses a serious obstacle to obtaining accurate measurement of
emission lines in nearby galactic nuclei. We describe a procedure for removing
the starlight from the observed spectra in an efficient and objective manner.
The main parameters of the emission lines (intensity ratios, fluxes, profile
widths, equivalent widths) are measured and tabulated, as are several stellar
absorption-line and continuum indices useful for studying the stellar
population. Using standard nebular diagnostics, we determine the probable
ionization mechanisms of the emission-line objects. The resulting spectral
classifications provide extensive information on the demographics of
emission-line nuclei in the local universe. This new catalog contains over 200
objects showing spectroscopic evidence for recent star formation and an equally
large number of active galactic nuclei, including 46 which show broad H-alpha
emission. These samples will serve as the basis of future studies of nuclear
activity in nearby galaxies.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:34:18 GMT""}]","2011-06-15"
"astro-ph/9704108","Luis Ho","Luis C. Ho, Alexei V. Filippenko, and Wallace L. W. Sargent","A Search for ""Dwarf"" Seyfert Nuclei. V. Demographics of Nuclear Activity
  in Nearby Galaxies","To appear in the Astrophysical Journal. LaTex, 16 pages, plus an
  additional 10 figures and 2 tables. Uses AASTex macro aaspp4.sty",,"10.1086/304638",,"astro-ph",,"  We use the sample of emission-line nuclei derived from a recently completed
optical spectroscopic survey of nearby galaxies to quantify the incidence of
local (z = 0) nuclear activity. Consistent with previous studies, we find
detectable amounts of ionized gas in the central few hundred parsecs of most
(86%) galaxies. Half of the objects can be classified as H II or star-forming
nuclei and the other half as some form of AGN, of which we distinguish three
classes --- Seyfert nuclei, LINERs, and transition objects. The population of
AGNs consequently is very large; approximately 43% of the galaxies in our
survey can be regarded as ""active."" Most of the objects have much lower
luminosities than AGNs commonly studied; the median luminosity of the narrow
H-alpha line, after correcting for extinction, is only 2 x 10^39 erg/s. Our
sample therefore occupies the extreme faint end of the AGN luminosity function.
We detect signatures of a broad-line region, as revealed by visible broad
H-alpha emission, in $\sim$ 20% of the AGN sample. Seyfert nuclei, both type 1
and type 2, reside in $\sim$ 10% of all galaxies. LINERs make up the bulk
(1/2--3/4) of the AGN population and a significant fraction (1/5--1/3) of all
galaxies. A nonnegligible subset of LINERs emit broad H-alpha emission,
furnishing direct evidence that at least some LINERs are indeed related
physically to the AGN phenomenon. The dominant ionization mechanism of the
nuclear emission depends strongly on the morphological type and luminosity of
the host galaxy. AGNs are found predominantly in luminous, early-type (E to
Sbc) galaxies, while H II nuclei prefer less luminous, late-type (Sbc and
later) systems. The various AGN subclasses have broadly similar host galaxies.
","[{""version"":""v1"",""created"":""Fri, 11 Apr 1997 15:38:40 GMT""}]","2009-10-30"
