"adap-org/9702001","Mark Newman","M. E. J. Newman, Simon M. Fraser, Kim Sneppen, and William A. Tozier
  (Santa Fe Institute)","Comment on ""Self-organized criticality in living systems"" by C. Adami","5 pages, no figures, typeset in LaTeX2e using the Elsevier macro
  package elsart.cls","Phys. Lett. A 228, 202 (1997)","10.1016/S0375-9601(97)00108-4",,"adap-org cond-mat.soft nlin.AO",,"  Following extensive numerical experiments, it has been suggested that the
evolution of competing computer programs in artificial life simulations shows
signs of being a self-organized critical process. The primary evidence for this
claim comes from the distribution of the lifetimes of species in the
simulations, which appears to follow a power law. We argue that, for a number
of reasons, it is unlikely that the system is in fact at a critical point and
suggest an alternative explanation for the power-law lifetime distribution.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 18:37:29 GMT""}]","2009-10-30"
"astro-ph/9702052","Lars Bergstrom","L. Bergstrom (Stockholm University)","High-Energy Gamma and Neutrino Astronomy","10 pages, LaTeX, uses sprocl.sty. Invited talk at the 18th Texas
  Symposium on Relativistic Astrophysics, to appear in the Proceedings (eds A.
  Olinto, J. Frieman and D. Schramm, World Scientific, 1997)",,,,"astro-ph hep-ph",,"  An overview is given of high-energy gamma-ray and neutrino astronomy,
emphasizing the links between the two fields. With several new large detectors
just becoming operational, the TeV gamma-ray and neutrino sky will soon be
surveyed with unprecedented sensitivity.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 11:30:47 GMT""}]","2007-05-23"
"astro-ph/9702053","Marco Tavani","M. Tavani, R. Mukherjee, J.R. Mattox, J. Halpern, D.J. Thompson, G.
  Kanbach, W. Hermsen, S.N. Zhang, R.S. Foster","Discovery of a non-blazar gamma-ray transient near the Galactic plane:
  GRO J1838-04","15 pages, 4 postscript files with figures Accepted for publication in
  Astrophys. J. Letters, Feb. 3, 1997",,"10.1086/310603",,"astro-ph",,"  We report the discovery of a remarkable gamma-ray transient source near the
Galactic plane, GRO J1838-04. This source was serendipitously discovered by
EGRET in June 1995 with a peak intensity of 4 E(-6) ph/cm/cm/s (for photon
energies larger than 100 MeV) and a 5.9 sigma significance. At that time, GRO
J1838-04 was the second brightest gamma-ray source in the sky. A subsequent
EGRET pointing in late September 1995 detected the source at a flux smaller
than its peak value by a factor of 7. We determined that no radio-loud
spectrally-flat blazar is within the error box of GRO J1838-04. We discuss the
origin of the \ggg-ray transient source and show that interpretations in terms
of AGNs or isolated pulsars are highly problematic. GRO J1838-04 provides
strong evidence for the existence of a new class of variable gamma-ray sources.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 15:42:41 GMT""}]","2009-10-30"
"chao-dyn/9702003","Jens Bolte","Jens Bolte (University of Ulm)","Semiclassical Trace Formulae and Eigenvalue Statistics in Quantum Chaos","48 pages, LaTeX, uses amssymb",,,"ULM-TP/97-2","chao-dyn nlin.CD",,"  A detailed discussion of semiclassical trace formulae is presented and it is
demonstrated how a regularized trace formula can be derived while dealing only
with finite and convergent expressions. Furthermore, several applications of
trace formula techniques to quantum chaos are reviewed. Then local spectral
statistics, measuring correlations among finitely many eigenvalues, are
reviewed and a detailed semiclassical analysis of the number variance is given.
Thereafter the transition to global spectral statistics, taking correlations
among infinitely many quantum energies into account, is discussed. It is
emphasized that the resulting limit distributions depend on the way one passes
to the global scale. A conjecture on the distribution of the fluctuations of
the spectral staircase is explained in this general context and evidence
supporting the conjecture is discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 10:45:37 GMT""}]","2008-02-03"
"cond-mat/9702038","Kwan-tai Leung","K.-t. Leung and R. K. P. Zia","Drifting Spatial Structures in a System with Oppositely Driven Species","9 pages, RevTeX, 7 EPS figures included, submitted to Phys Rev E","Phys. Rev. E 56, 308 (1997)","10.1103/PhysRevE.56.308",,"cond-mat.stat-mech",,"  A system consisting of two conservative, oppositely driven species of
particles with excluded volume interaction alone is studied on a torus. The
system undergoes a phase transition between a homogeneous and an inhomogeneous
phase, as the particle densities are varied. Focusing on the inhomogeneous
phase with generally unequal numbers of the two species, the spatial structure
is found to drift counter-intuitively against the majority species at a
constant velocity that depends on the external field, system size, and particle
densities. Such dependences are derived from a coarse-grained continuum theory,
and a microscopic mechanism for the drift is explained. With virtually no
tuning parameter, various theoretical predictions, notably a field-system-size
scaling, agree extremely well with the simulations.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 04:41:54 GMT""}]","2009-10-30"
"cond-mat/9702039","Kazusumi Ino","Kazusumi Ino","Chiral Vertices, Fusion Rules and Vacua of Fractional Quantum Hall
  Systems","Latex,26 pages, Mistakes in Sec.3.2 and Sec.4 are corrected. Latex
  and English corrections",,,,"cond-mat.mes-hall cond-mat.stat-mech cond-mat.str-el hep-th math-ph math.MP",,"  Vacua of two dimensional incompressible system, such as Fractional Quantum
Hall system, are characterized by rational conformal field theory. We develop a
method to express the wavefunctions of those systems in terms of chiral
vertices. We formulate quantum mechanics on those expressions, which reveals
the underlying simple structure of the conformal field theory discription of
FQH systems. Also we argue the recent conjecture of Nayak and Wilczek on the
spinor statistics of 2n quasihole state in paired quantum hall system.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 18:18:05 GMT""},{""version"":""v2"",""created"":""Thu, 6 Feb 1997 21:48:03 GMT""},{""version"":""v3"",""created"":""Sat, 8 Feb 1997 21:42:01 GMT""},{""version"":""v4"",""created"":""Wed, 12 Feb 1997 10:56:07 GMT""},{""version"":""v5"",""created"":""Fri, 14 Feb 1997 17:49:07 GMT""},{""version"":""v6"",""created"":""Mon, 3 Mar 1997 02:00:14 GMT""},{""version"":""v7"",""created"":""Mon, 7 Jul 1997 21:05:45 GMT""}]","2016-08-31"
"cond-mat/9702040","Max Petersen","C. Stampfl and M. Scheffler","Anomalous Behavior of Ru for Catalytic Oxidation: A Theoretical Study of
  the Catalytic Reaction CO + 1/2 O_2 --> CO_2","5 pages, 4 figures, Phys. Rev. Letters, Feb. 1997, in print",,"10.1103/PhysRevLett.78.1500",,"cond-mat.mtrl-sci",,"  Recent experiments revealed an anomalous dependence of carbon monoxide
oxidation at Ru(0001) on oxygen pressure and a particularly high reaction rate.
Below we report density functional theory calculations of the energetics and
reaction pathways of the speculated mechanism. We will show that the
exceptionally high rate is actuated by a weakly but nevertheless well bound
(1x1) oxygen adsorbate layer. Furthermore it is found that reactions via
scattering of gas-phase CO at the oxygen covered surface may play an important
role. Our analysis reveals, however, that reactions via adsorbed CO molecules
(the so-called Langmuir-Hinshelwood mechanism) dominate.
","[{""version"":""v1"",""created"":""Tue, 4 Feb 1997 19:36:55 GMT""}]","2009-10-30"
"cond-mat/9702042","Jean-Marc Robin","J. Ranninger and J. M. Robin (CRTBT, Grenoble)","The pseudogap in underdoped high Tc superconductors in the framework of
  the Boson Fermion model","revtex version with 3 eps figures. Revised version to appear in Phys.
  Rev. B. 4 c programs added","Phys. Rev. B, 56 (1997) 8330","10.1103/PhysRevB.56.8330",,"cond-mat.str-el",,"  The question of whether the pseudogap in high $T_c$ cuprates is related to
super conducting precursor effects or to the existence of extrinsic bosonic
massive excitations is investigated on the basis of the Boson-Fermion model.
The characteristic three peak structure of the electronic spectral function and
the temperature dependent Fermi vector derived here are signatures for a two
component scenario which can be tested by ARPES and BIS experiments.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 07:57:54 GMT""},{""version"":""v2"",""created"":""Mon, 9 Jun 1997 15:45:29 GMT""},{""version"":""v3"",""created"":""Tue, 8 Jul 1997 07:04:42 GMT""}]","2009-10-30"
"cond-mat/9702043","Max Petersen","Jun-Hyung Cho and Matthias Scheffler","Surface relaxation and ferromagnetism of Rh(001)","6 pages, 4 figures, submitted to Phys. Rev. Lett. (April 28, 1996)",,"10.1103/PhysRevLett.78.1299",,"cond-mat.mtrl-sci",,"  The significant discrepancy between first-principles calculations and
experimental analyses for the relaxation of the (001) surface of rhodium has
been a puzzle for some years. In this paper we present density functional
theory calculations using the local-density approximation and the generalized
gradient approximation of the exchange-correlation functional. We investigate
the thermal expansion of the surface and the possibility of surface magnetism.
The results throw light on several, hitherto overlooked, aspects of metal
surfaces. We find, that, when the free energy is considered, density-functional
theory provides results in good agreement with experiments.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 08:10:58 GMT""}]","2009-10-30"
"cond-mat/9702044","Max Petersen","M.V. Ganduglia-Pirovano, J. Kudrnovsky, and M. Scheffler","Adlayer core-level shifts of random metal overlayers on transition-metal
  substrates","4 pages, 2 figures, Phys. Rev. Letters, to appear in Feb. 1997",,"10.1103/PhysRevLett.78.1807",,"cond-mat.mtrl-sci",,"  We calculate the difference of the ionization energies of a core-electron of
a surface alloy, i.e., a B-atom in a A_(1-x) B_x overlayer on a
fcc-B(001)-substrate, and a core-electron of the clean fcc-B(001) surface using
density-functional-theory. We analyze the initial-state contributions and the
screening effects induced by the core hole, and study the influence of the
alloy composition for a number of noble metal-transition metal systems. Data
are presented for Cu_(1-x)Pd_x/Pd(001), Ag_(1-x) Pd_x/Pd(001), Pd_(1-x)
Cu_x/Cu(001), and Pd_(1-x) Ag_x/Ag(001), changing x from 0 to 100 %. Our
analysis clearly indicates the importance of final-state screening effects for
the interpretation of measured core-level shifts. Calculated deviations from
the initial-state trends are explained in terms of the change of inter- and
intra-atomic screening upon alloying. A possible role of alloying on the
chemical reactivity of metal surfaces is discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 08:36:16 GMT""}]","2009-10-30"
"cond-mat/9702045","Peter Schwab","P. Schwab and U. Eckern","Persistent current induced by magnetic impurities","19 pages, 7 figures, accepted by Z. Phys. B","Z. Phys. B 103, 97-103 (1997)","10.1007/s002570050341",,"cond-mat.mes-hall",,"  We calculate the average persistent current in a normal conducting,
mesoscopic ring in the diffusive regime. In the presence of magnetic
impurities, a contribution to the persistent current is identified, which is
related to fluctuations in the electron spin density. Assuming a spin-flip
scattering rate which is comparable to the Thouless energy E_c and low
temperature, this new contribution to the persistent current is of the order
$I\sim E_c^2/(kT\phi_0)$, which is considerably larger than the persistent
current induced by the electron-electron interaction.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 09:31:43 GMT""}]","2009-10-30"
"cond-mat/9702046","Nobuo Suzuki","Nobuo Suzuki and Fumitaka Matsubara","Phase diagrams of the S=1/2 quantum antiferromagnetic XY model on the
  triangular lattice in magnetic fields","5 pages, REVTeX, 23 figures. To appear in Phys. Rev. B","Phys. Rev. B, 55 (1997) 12331","10.1103/PhysRevB.55.12331",,"cond-mat",,"  We study the S=1/2 quantum antiferromagnetic XY model on finite triangular
lattices with N sites in both longitudinal and transverse magnetic fields. We
calculate physical quantities in the ground state using a diagonalization for
spins $N \leq 27$, and those at finite temperatures using a quantum transfer
Monte Carlo method for $N \leq 24$. In the longitudinal magnetic field, the
long-range chiral order parameter seems to have a finite, nonzero value at low
temperatures suggesting the occurrence of a classical umbrella-type phase. In
the transverse magnetic field, the 1/3-plateau of the magnetization curve
appears even at low temperatures, in contrast with the classical model. The
magnetic field dependences of the order parameters suggest that the
chiral-ordered, the ferrimagnetic, and the spin flop phases appear successively
as the magnetic field is increased. The transition temperatures are estimated
from the peak position of the specific heat, and the phase diagrams are
predicted in both longitudinal and transverse magnetic fields.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 09:22:43 GMT""}]","2016-08-31"
"cond-mat/9702047","Yaroslav M. Blanter","Ya. M. Blanter and M. Buttiker","Shot Noise Current-Current Correlations in Multi-Terminal Diffusive
  Conductors","10 pages, two-column Revtex, 7 figures included","Phys. Rev. B 56, 2127 (1997)","10.1103/PhysRevB.56.2127","UGVA-DPT 1997/01-963","cond-mat.mes-hall",,"  We investigate the correlations in the current fluctuations at different
terminals of metallic diffusive conductors. We start from scattering matrix
expressions for the shot noise and use the Fisher-Lee relation in combination
with diagram technique to evaluate the noise correlations. Of particular
interest are exchange (interference) effects analogous to the Hanbury
Brown--Twiss effect in optics. We find that the exchange effect exists in the
ensemble averaged current correlations. Depending on the geometry, it might
have the same magnitude as the mean square current fluctuations of the shot
noise. The approach which we use is first applied to present a novel derivation
of the 1/3-suppression of shot noise in a two-terminal geometry, valid for an
arbitrary relation between the length and wire width. We find that in all
geometries correlations are insensitive to dephasing.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 09:37:44 GMT""}]","2009-10-30"
"cond-mat/9702048","Jan von Delft","Jan von Delft, D. C. Ralph, R. A. Buhrman, S. K. Upadhyay, R. N.
  Louie, A. W. W. Ludwig, and Vinay Ambegaokar","The 2-Channel Kondo Model I: Review of Experimental Evidence for its
  Realization in Metal Nanoconstrictions","35 pages RevTeX, 19 encapsulated postscript figures; this final
  published version features two additional authors, an additional section
  reviewing recent experiments on Ti nanoconstrictions that agree very well
  with the 2-channel Kondo model, 6 new figures (and is much shorter the
  previous 53 page version, due to reformatting)","Ann. Phys., Vol 263, No. 1, pp. 1-55 (1998)","10.1006/aphy.1997.5750",,"cond-mat",,"  Certain zero-bias anomalies (ZBAs) in the voltage, temperature and magnetic
field dependence of the conductance $G(V,T,H)$ of quenched Cu point contacts
have previously been interpreted to be due to non-magnetic 2-channel Kondo
(2CK) scattering from near-degenerate atomic two-level tunneling systems (Ralph
and Buhrman, 1992; Ralph et al. 1994), and hence to represent an experimental
realization of the non-Fermi-liquid physics of the T=0 fixed point of the
2-channel Kondo model. In this, the first in a series of three papers
(I,II,III) devoted to 2-channel Kondo physics, we present a comprehensive
review of the quenched Cu ZBA experiments and their 2CK interpretation,
including new results on ZBAs in constrictions made from Ti or from metallic
glasses. We first review the evidence that the ZBAs are due to electron
scattering from stuctural defects that are not static, but possess internal
dynamics. In order to distinguish between several mechanisms proposed to
explain the experiments, we then analyze the scaling properties of the
conductance at low temperature and voltage and extract from the data a
universal scaling function $\Gamma(v)$. The theoretical calculation of the
corresponding scaling function within the 2CK model is the subject of papers II
and III. The main conclusion of our work is that the properties of the ZBAs,
and most notably their scaling behavior, are in good agreement with the 2CK
model and clearly different from several other proposed mechanisms.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 10:29:59 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 1998 12:20:06 GMT""}]","2015-06-25"
"cond-mat/9702049","Jan von Delft","Jan von Delft, A. W. W. Ludwig and Vinay Ambegaokar","The 2-Channel Kondo Model II: CFT Calculation of Non-Equilibrium
  Conductance through a Nanoconstriction containing 2-Channel Kondo Impurities","Final published version (minor revisions only), 41 pages RevTeX, 9
  encapsulated postscript figures","Annals of Physics, 273, 175-241 (1999)","10.1006/aphy.1998.5897",,"cond-mat",,"  Recent experiments by Ralph and Buhrman on zero-bias anomalies in quenched Cu
nanoconstrictions (reviewed in the preceding paper, I), are in accord with the
assumption that the interaction between electrons and nearly degenerate
two-level systems in the constriction can be described, for sufficiently small
voltages and temperatures ($V,T < \Tk$), by the 2-channel Kondo (2CK) model.
Motivated by these experiments, we introduce a generalization of the 2CK model,
which we call the nanoconstriction 2-channel Kondo model (NTKM), that takes
into account the complications arising from the non-equilibrium electron
distribution in the nanoconstriction. We calculate the conductance $G(V,T)$ of
the constriction in the weakly non-equilibrium regime of $V,T \ll \Tk$ by
combining concepts from Hershfield's $Y$-operator formulation of
non-equilibrium problems and Affleck and Ludwig's exact conformal field theory
(CFT) solution of the 2CK problem (CFT technicalities are discussed in a
subsequent paper, III). Finally, we extract from the conductance a universal
scaling curve $\Gamma(v)$ and compare it with experiment. Combining our results
with those of Hettler, Kroha and Hershfield, we conclude that the NTKM achieves
quantitative agreement with the experimental scaling data.
","[{""version"":""v1"",""created"":""Wed, 5 Feb 1997 10:31:32 GMT""},{""version"":""v2"",""created"":""Mon, 20 Sep 1999 10:00:27 GMT""}]","2009-10-30"
