"alg-geom/9702001","Eduardo Cattani","Eduardo Cattani, Alicia Dickenstein, and Bernd Sturmfels","Residues and Resultants","Plain TeX, 22 pages",,,,"alg-geom math.AG",,"  Resultants, Jacobians and residues are basic invariants of multivariate
polynomial systems. We examine their interrelations in the context of toric
geometry. The global residue in the torus, studied by Khovanskii, is the sum
over local Grothendieck residues at the zeros of $n$ Laurent polynomials in $n$
variables. Cox introduced the related notion of the toric residue relative to
$n+1$ divisors on an $n$-dimensional toric variety. We establish denominator
formulas in terms of sparse resultants for both the toric residue and the
global residue in the torus. A byproduct is a determinantal formula for
resultants based on Jacobians.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 18:59:15 GMT""}]","2008-02-03"
"funct-an/9702001",,"R. Estrada, J. M. Gracia-Bondia and J. C. Varilly","On summability of distributions and spectral geometry","34 pages, Plain TeX","Commun.Math.Phys.191:219-248,1998","10.1007/s002200050266","CPT-97/P.3452, DFTUZ/97/04, UCR-FM-9-97","funct-an hep-th math-ph math.MP math.OA",,"  Modulo the moment asymptotic expansion, the Cesaro and parametric behaviours
of distributions at infinity are equivalent. On the strength of this result, we
construct the asymptotic analysis for spectral densities, arising from elliptic
pseudodifferential operators. We show how Cesaro developments lead to efficient
calculations of the expansion coefficients of counting number functionals and
Green functions. The bosonic action functional proposed by Chamseddine and
Connes can more generally be validated as a Cesaro asymptotic development.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 13:27:57 GMT""}]","2008-11-26"
"gr-qc/9702002","Luis Lehner","R. Gomez, L. Lehner, P. Papadopoulos and J. Winicour","The eth formalism in numerical relativity","18 pages. To be published in Class. Quantum Grav","Class.Quant.Grav. 14 (1997) 977-990","10.1088/0264-9381/14/4/013",,"gr-qc",,"  We present a finite difference version of the eth formalism, which allows use
of tensor fields in spherical coordinates in a manner which avoids polar
singularities. The method employs two overlapping stereographic coordinate
patches, with interpolations between the patches in the regions of overlap. It
provides a new and effective computational tool for dealing with a wide variety
of systems in which spherical coordinates are natural, such as the generation
of radiation from an isolated source. We test the formalism with the evolution
of waves in three spatial dimensions and the calculation of the curvature
scalar of arbitrarily curved geometries on topologically spherical manifolds.
The formalism is applied to the solution of the Robinson-Trautman equation and
reveals some new features of gravitational waveforms in the nonlinear regime.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 16:03:26 GMT""}]","2009-10-30"
"gr-qc/9702003","John T. Whelan","John T. Whelan","Modelling the Decoherence of Spacetime (abridged)","3 pages, no figures. Submitted to the Proceedings of the 18th Texas
  Meeting on Relativistic Astrophysics, Dec 15-20, 1996",,,,"gr-qc",,"  The question of whether unobserved short-wavelength modes of the
gravitational field can induce decoherence in the long-wavelength modes (``the
decoherence of spacetime'') is addressed using a scalar field toy model with
some features of perturbative general relativity.
  This is an abridged version of the author's paper gr-qc/9612028.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 22:49:22 GMT""}]","2007-05-23"
"hep-ex/9702001","Stephane Willocq","K. Abe, et al. (SLD Collaboration)","Measurement of the B+ and B0 Lifetimes from Semileptonic Decays","14 pages, 2 figures",,,"SLAC-PUB-7117","hep-ex",,"  The lifetimes of B+ and B0 mesons are measured using a sample of 150,000
hadronic Z0 decays collected by the SLD experiment at the SLC between 1993 and
1995. The analysis identifies the semileptonic decays of B mesons and
reconstructs the B meson decay length and charge by vertexing the lepton with a
partially reconstructed D meson. This new method results in a sample of 634
(584) charged (neutral) decays with high charge purity. The ratio of B+ : B0
decays in the charged (neutral) sample is 3:1 (1:3). A maximum likelihood fit
yields t(B+) = 1.61 +0.13 -0.12(stat) +/- 0.07(syst) ps, t(B0) = 1.56 +0.14
-0.13(stat) +/- 0.10(syst) ps, and t(B+)/t(B0) = 1.03 +0.16 -0.14(stat) +/-
0.09(syst).
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 01:04:00 GMT""}]","2007-05-23"
"hep-ex/9702002","Stephane Willocq","K. Abe, et al. (SLD Collaboration)","Measurement of the B+ and B0 Lifetimes using Topological Vertexing","13 pages, 3 figures",,,"SLAC-PUB-7266","hep-ex",,"  The lifetimes of B+ and B0 mesons have been measured using a sample of
150,000 hadronic Z0 decays collected by the SLD experiment at the SLC between
1993 and 1995. The analysis reconstructs the decay length and charge of the B
meson using a novel topological vertexing technique. This method results in a
high statistics sample of 6033 (3665) charged (neutral) vertices with good
charge purity. A maximum likelihood fit procedure finds: t(B+) = 1.67 +/-
0.07(stat) +/- 0.06(syst) ps, t(B0) = 1.66 +/- 0.08(stat) +/- 0.08(syst) ps,
t(B+)/t(B0) = 1.01 +0.09-0.08(stat) +/- 0.05(syst).
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 02:49:44 GMT""}]","2009-09-25"
"hep-lat/9702001","Yigit Gunduc","Meral Ayd{\i}n, Yi\u{g}it G\""und\""u\c{c} and Tar{\i}k \c{C}elik","Study of Cluster Fluctuations in Two-dimensional q-State Potts Model","Latex, 4 postscript figures","Physica A230 (1996) 651","10.1016/0378-4371(96)00123-9",,"hep-lat",,"  The two-dimensional Potts Model with 2 to 10 states is studied using a
cluster algorithm to calculate fluctuations in cluster size as well as commonly
used quantities like equilibrium averages and the histograms for energy and the
order parameter. Results provide information about the variation of cluster
sizes depending on the temperature and the number of states. They also give
evidence for first-order transition when energy and the order parameter related
measurables are inconclusive on small size lattices.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 19:11:30 GMT""}]","2016-08-15"
"hep-ph/9702205","Sourendu Gupta","Sourendu Gupta and S. N. Nayak","Thermal Effects on Two-photon Decays of Pseudo-scalars","17 pages, 1 figure (2 ps file).",,,"TIFR/TH/97-03","hep-ph",,"  We study the effect of finite temperatures and Fermion density on the
effective pseudo-scalar-photon vertex induced by the triangle diagram. The
manifestly covariant calculations show that when the pseudo-scalar mass is much
less than the temperature, then there is a large enhancement of the decay rate.
Alternatively, when the temperature is much higher than the Fermion mass, or
the Fermion chemical potential is large, the lifetime is enhanced. Other
related processes, and applications of these results to cosmology and
astrophysics, are discussed.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 02:07:46 GMT""}]","2007-05-23"
"hep-ph/9702210","Ralf Rapp","R. Rapp, G. Chanfray and J. Wambach","Rho Meson Propagation and Dilepton Enhancement in Hot Hadronic Matter","27 pages RevTeX, 9 eps-figures, submitted to Nucl. Phys. A","Nucl.Phys. A617 (1997) 472-495","10.1016/S0375-9474(97)00137-1","SUNY-NTG-97-04","hep-ph",,"  A realistic model for the free rho meson with coupling to two-pion states is
employed to calculate the rho propagator in a hot and dense hadron gas. The
medium modifications are based on hadronic rescattering processes: intermediate
two-pion states are renormalized through interactions with surrounding nucleons
and deltas, and rho meson scattering is considered off nucleons, deltas, pions
and kaons. Constraints from gauge invariance as well as the full off-shell
dynamics of the interactions are accounted for. Within the vector dominance
model we apply the resulting in-medium rho spectral function to compute
$e^+e^-$ production rates from $\pi^+\pi^-$ annihilation. The calculation of
corresponding $e^+e^-$ spectra as recently measured in central collisions of
heavy-ions at CERN/SpS energies gives reasonable agreement with the
experimental data.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 16:42:17 GMT""}]","2009-10-30"
"hep-ph/9702211","Ivan Schmidt","Ivan Schmidt (Universidad Federico Santa Maria, Valparaiso, Chile)","Antihydrogen","15 pages, Latex. To appear in the proceedings of the First Latin
  American Symposium on High Enery Physics (SILAFAE), M\'erida, M\'exico,
  October 30-November 6, 1996",,"10.1063/1.53213","USM-TH-69","hep-ph",,"  CERN announced in January 1996 the detection of the first eleven atoms of
antimatter ever produced. The experiment was based on a method proposed earlier
by S. Brodsky, C. Munger and I. Schmidt, and which furthermore predicted
exactly the number of atoms that were detected for the particular conditions of
the experiment. The study of antihydrogen affords science the opportunity to
continue research on the symmetry between matter and antimatter. In this talk
the importance of antihydrogen as a basic physical system is discussed.
Different production methods that have been tried in the past are briefly
presented, and the method that was used in the CERN experiment is analyzed in
detail. It consists in producing antihydrogen by circulating a beam of an
antiproton ring through an internal gas target. In the Coulomb field of a
nucleus, an electron-positron pair is created, and antihydrogen will form when
the positron is created in a bound rather that a continuum state about the
antiproton. The theoretical calculation of the production cross section is
presented in detail. A discussion of the detection systems used both in the
CERN experiment and in another similar experiment that is right now underway at
Fermilab are also given. Finally I present and discuss possible future
experiments using antihydrogen, including the measurement of the antihydrogen
Lamb shift.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 21:13:40 GMT""}]","2009-10-30"
"hep-ph/9702212","Sinisa Veseli","M.G. Olsson and S. Veseli","On the bounds for the curvature and higher derivatives of the Isgur-Wise
  function","14 pages, latex, uses epsf macro, 5 postscript figures included","Phys.Lett. B397 (1997) 263-268","10.1016/S0370-2693(97)00176-7","MADPH-96-974, FERMILAB-PUB-96/418-T","hep-ph",,"  We discuss constraints imposed on the zero-recoil curvature and higher
derivatives of the Isgur-Wise function by a general quark model. These
constraints are expressed as bounds for a given slope parameter, and compared
with those based upon analyticity properties of QCD spectral functions. Our
results also indicate that in the analysis of the experimental data for
semileptonic $B\rar D^{(*)}$ decays it may be important to include at least the
third term in the form factor expansion about the zero recoil point.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 19:53:27 GMT""}]","2009-10-30"
"hep-ph/9702213","Ed Stoeffhaas","M. G. Olsson","The anomalous threshold, confinement, and an essential singularity in
  the heavy-light form factor","Latex 2.09 with epsf.sty. 24 pages of text and 8 postscript figures.
  Postscript version of complete paper will also be available soon at
  http://phenom.physics.wisc.edu/pub/preprints/1997/madph-97-983 or at
  ftp://phenom.physics.wisc.edu/pub/preprints/1997/madph-97-983","Phys.Rev. D56 (1997) 238-246","10.1103/PhysRevD.56.238","MADPH-97-983","hep-ph",,"  The analytic behavior of the heavy-light meson form factor is investigated
using several relativistic examples including unconfined, weakly confined, and
strongly confined mesons. It is observed that confinement erases the anomalous
threshold singularity and also induces an essential singularity at the normal
annihilation threshold. In the weak confinement limit, the ""would be"" anomalous
threshold contribution is identical to that of the real singularity on its
space-like side.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 20:02:09 GMT""}]","2009-10-30"
"hep-ph/9702214","Hsin-Chia Cheng","Hsin-Chia Cheng (Fermilab)","Supersymmetric Dynamical Generation of the Grand Unification Scale","10 pages, LaTeX, no figure","Phys.Lett. B410 (1997) 45-51","10.1016/S0370-2693(97)00924-6","Fermilab-PUB-97/019-T","hep-ph",,"  The grand unification scale $M_{GUT}\sim 10^{16}$ GeV may arise from
dynamical effects. With the advances in understanding of supersymmetric
dynamics, we can break the grand unified group by introducing a strong gauge
group which generates the grand unification scale. We also show how this
mechanism can be combined with solutions to the doublet-triplet splitting
problem. The same method can also be used for other symmetry breakings at
intermediate scales as well.
","[{""version"":""v1"",""created"":""Fri, 31 Jan 1997 20:24:52 GMT""}]","2009-10-30"
"hep-ph/9702215","Sergio Lupia","S. Lupia (Max-Planck-Inst. fuer Physik, Munich)","Soft particle production in QCD jets","LaTeX, 20 pages, 9 figures, uses sprocl.sty and epsfig.sty, to appear
  in the Proc. of the 33rd Eloisatron Workshop ``Universality features in
  multihadron production and the leading effect'', (Erice, Italy, 19-25 October
  1996)",,,"MPI-PhT/97-3","hep-ph",,"  The perturbative QCD approach, based on Modified Leading Log Approximation
and Local Parton Hadron Duality, is shown to describe inclusive features of
multiparticle production in the soft region. Further predictions of this
approach are discussed.
","[{""version"":""v1"",""created"":""Sat, 1 Feb 1997 14:56:24 GMT""}]","2007-05-23"
