"alg-geom/9702014","Sergei Merkulov","Yu.I.Manin and S.A.Merkulov","Semisimple Frobenius (super)manifolds and quantum cohomology of $P^r$","AMSTeX, 56 pages","Topol. Methods in Nonlinear Analysis 9 (1997), 107-161",,,"alg-geom dg-ga math.AG math.DG",,"  We introduce and study a superversion of Dubrovin's notion of semisimple
Frobenius manifolds. We establish a correspondence between semisimple Frobenius
(super)manifolds and special solutions to the (supersymmetric) Schlesinger
equations. Finally, we calculate the Schlesinger initial conditions for
solutions describing quantum cohomology of projective spaces.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 12:03:33 GMT""}]","2008-02-03"
"astro-ph/9702185","Arlin Crotts","Arlin Crotts, Yihu Fang (Columbia U.)","Reobservation of Close QSO Groups: The Size Evolution and Shape of Lyman
  Alpha Forest Absorbers","95 pages LaTeX file; 21 figures contained in 1 postscript file. This
  is the final version as will appear in The Astrophysical Journal. This
  version is significantly revised from original and expanded with new results.
  The latest change is the addition of another QSO pair in absorber size
  estimates. A previous version corrected a small calculational error",,"10.1086/305872",,"astro-ph",,"  Probing the size and shape of the absorbers that lie in front of the QSOs, in
particular the Ly alpha forest, we analyze 785 absorption lines in spectra of
five QSOs in close groupings: a pair and a triplet. Both QSO groups have been
observed before, but these data are a drastic improvement over earlier data,
and provide a qualitatively different view of the nature of the absorbers. The
pair samples a scale critical in determining the size upper bound of Ly alpha
absorbers, with significant leverage in redshift compared to previous studies.
The triplet data represents the spatially densest sample of Ly alpha forest
ever studied, and an almost ideally-suited probe of the shape of absorbers. We
observe a significant number of Ly alpha lines in common between the triplet
sightlines, for lines stronger than rest equivalent width W > 0.4A (and no
detected metal lines) and velocity differences up to 200 km/s, corresponding to
a two-point correlation function xi = 1.88 +0.78/-0.50 on scales 0.5 to 0.8
Mpc/h with < z > = 2.14, and inconsistent at the 99.999% level with the absence
of any clustering. These data also show that a significant fraction of the W >
0.4A Ly alpha forest absorbers span all three sightlines to the triplet,
indicating that the strong-lined absorbers are consistent with nearly round
shapes, chosen from a range of possible cylinders of different elongations.
This may be inconsistent with results from hydrodynamic/gravitational
simulations of H I in the early Universe indicating that the theoretical
counterparts of Ly alpha forest clouds are long and filamentary. We conclude,
tentatively, that the W > 0.4A Ly alpha forest objects are sheetlike. This is
supported by the uniformity of linestrengths between the three sightlines, for
W > 0.4A. (Abstract continues.)
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 01:51:16 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 02:40:41 GMT""},{""version"":""v3"",""created"":""Fri, 6 Feb 1998 00:45:54 GMT""},{""version"":""v4"",""created"":""Fri, 6 Feb 1998 01:12:17 GMT""},{""version"":""v5"",""created"":""Thu, 21 May 1998 00:03:52 GMT""}]","2009-10-30"
"astro-ph/9702186","Ken Ganga","K. Ganga, Bharat Ratra, S.E. Church, Naoshi Sugiyama, P.A.R. Ade, W.L.
  Holzapfel, A.E. Lange and P.D. Mauskopf","Using SuZIE arcminute-scale CMB anisotropy data to probe open and
  flat-\Lambda CDM cosmogonies","17 pages including 4 postscript figures. Latex. Uses aaspp4. ApJ, in
  press","Astrophys.J.484:517-522,1997","10.1086/304365","MIT-CTP-2567, KUNS-1412","astro-ph",,"  We use arcminute-scale data from the Sunyaev-Zel'dovich Infrared Experiment
to set limits on anisotropies in the cosmic microwave background radiation in
open and spatially-flat-Lambda cold dark matter cosmogonies. There are no
2-sigma detections for the models tested. The upper limits obtained are
consistent with the amplitude of anisotropy detected by the COBE/DMR
experiment.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 03:38:27 GMT""}]","2008-11-26"
"astro-ph/9702187","Ravi P. Pilla","Ravi P. Pilla and Jacob Shaham (Columbia University)","Kinetics of electron-positron pair plasmas using an adaptive Monte Carlo
  method","43 pages, 7 postscript figures, to appear in the Astrophysical
  Journal",,"10.1086/304534","CU-TP-792, CAL-621","astro-ph",,"  A new algorithm for implementing the adaptive Monte Carlo method is given. It
is used to solve the relativistic Boltzmann equations that describe the time
evolution of a nonequilibrium electron-positron pair plasma containing
high-energy photons and pairs. The collision kernels for the photons as well as
pairs are constructed for Compton scattering, pair annihilation and creation,
bremsstrahlung, and Bhabha & Moller scattering. For a homogeneous and isotropic
plasma, analytical equilibrium solutions are obtained in terms of the initial
conditions. For two non-equilibrium models, the time evolution of the photon
and pair spectra is determined using the new method. The asymptotic numerical
solutions are found to be in a good agreement with the analytical equilibrium
states. Astrophysical applications of this scheme are discussed.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 02:28:23 GMT""}]","2009-10-30"
"astro-ph/9702188","D. W. Sciama","D.W. Sciama (SISSA)","On the Ionisation of Warm Opaque Interstellar Clouds and the Intercloud
  Medium","16 pages, no figures, Latex file","Astrophys.J. 488 (1997) 234","10.1086/304691","SISSA 19/97/A","astro-ph",,"  In this paper we use a number of observations to construct an integrated
picture of the ionisation in the interiors of quiescent warm opaque
interstellar clouds and in the intercloud medium (ICM) outside dense HII
regions and hot dilute bubbles. Our main conclusion is that within $\sim$ 1kpc
of the sun the ionisation rate of hydrogen per unit volume in both the
interiors of such clouds and in the ICM is independent of the local density of
neutral hydrogen, and varies with position by less than $\sim$ 20 per cent.
These conclusions strongly favour the decaying neutrino hypothesis for the
ionisation of the interstellar medium in these regions.
  Our analysis is based on a variety of observations, of which the most
remarkable is the discovery by Spitzer and Fitzpatrick (1993) that, in the four
slowly moving clouds along the line of sight to the halo star HD93521, the
column densities of both SII and CII$^*$, which individually range over a
factor $\sim$4, are proportional to the column density of HI to within $\sim$20
per cent. This proportionality is used to show that the free electrons exciting
the CII to CII$^*$ are located mainly in the interiors of the clouds, rather
than in their skins, despite the large opacity of the clouds to Lyman continuum
radiation. The same conclusion also follows more unambiguously from the low
value of the H$\alpha$ flux in this direction which was found by Reynolds
(1996) in unpublished observations.
  These results are then used, in conjunction with observations of three pulsar
parallaxes and dispersion measures, and with data on HeI, NII and OI line
emissions, to constrain the ionisation of H, He, N and O and the flux of Lyman
continuum photons from O stars in the ICM.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 15:02:24 GMT""}]","2009-10-30"
"astro-ph/9702189","Christoph Schaab","Christoph Schaab, Bernd Hermann, Fridolin Weber and Manfred K. Weigel
  (University of Munich)","Differences in the Cooling Behavior of Strange Quark Matter Stars and
  Neutron Stars","9 pages, LaTeX (aas-style file), 2 ps-figures. To be published in ApJ
  Letters","Astrophys.J. 480 (1997) L111-L114","10.1086/310626",,"astro-ph",,"  The general statement that hypothetical strange (quark matter) stars cool
more rapidly than neutron stars is investigated in greater detail. It is found
that the direct Urca process could be forbidden not only in neutron stars but
also in strange stars. In this case, strange stars are slowly cooling, and
their surface temperatures are more or less indistinguishable from those of
slowly cooling neutron stars. Furthermore the case of enhanced cooling is
reinvestigated. It shows that strange stars cool significantly more rapidly
than neutron stars within the first $\sim 30$ years after birth. This feature
could become particularly interesting if continued observation of SN 1987A
would reveal the temperature of the possibly existing pulsar at its center.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 15:05:34 GMT""}]","2009-10-30"
"cond-mat/9702184","Gregor HAckenbroich","G. Hackenbroich, W. D. Heiss, H. A. Weidenmueller","Deformation of Quantum Dots in the Coulomb Blockade Regime","4 pages, Revtex, 4 postscript figures",,"10.1103/PhysRevLett.79.127",,"cond-mat.mes-hall",,"  We extend the theory of Coulomb blockade oscillations to quantum dots which
are deformed by the confining potential. We show that shape deformations can
generate sequences of conductance resonances which carry the same internal
wavefunction. This fact may cause strong correlations of neighboring
conductance peaks. We demonstrate the relevance of our results for the
interpretation of recent experiments on semiconductor quantum dots.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 17:12:03 GMT""}]","2009-10-30"
"cond-mat/9702185","Jun Zang","Jun Zang (1), Sudip Chakravarty (2), A.R. Bishop (1) ((1) LANL, (2)
  UCLA)","Interchain Coupling Effects and Solitons in CuGeO_3","4 pages, LaTex, one eps figure included. No essential changes except
  format",,"10.1103/PhysRevB.55.R14705","LA-UR-96-4658","cond-mat.str-el",,"  The effects of interchain coupling on solitons and soliton lattice structures
in CuGeO3 are explored. It is shown that interchain coupling substantially
increases the soliton width and changes the soliton lattice structures in the
incommensurate phase. It is proposed that the experimentally observed large
soliton width in CuGeO3 is mainly due to interchain coupling effects.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 19:14:34 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 21:42:48 GMT""}]","2009-10-30"
"cond-mat/9702186","Thomas Devereaux","T. P. Devereaux and A. P. Kampf","Raman Scattering in Cuprate Superconductors","27 pages, 11 figures, style file included","Int. Journ. Mod. Phys. B, vol. 11 (1997), 2093","10.1142/S0217979297001088",,"cond-mat.supr-con",,"  A theory for electronic Raman scattering in the cuprate superconductors is
presented with a specific emphasis on the polarization dependence of the
spectra which can infer the symmetry of the energy gap. Signatures of the
effects of disorder on the low frequency and low temperature behavior of the
Raman spectra for different symmetry channels provide detailed information
about the magnitude and the phase of the energy gap. Properties of the theory
for finite T are discussed and compared to recent data concerning the doping
dependence of the Raman spectra in cuprate superconductors, and remaining
questions are addressed.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 19:52:28 GMT""}]","2009-10-30"
"cond-mat/9702187","Branko P. Stojkovic","David Pines","Nearly Antiferromagnetic Fermi Liquids: A Progress Report","LATEX + PS figures. To appear in the proceedings of the
  Euroconference on ""Correlations in Unconventional Quantum Liquids,"" Evora,
  Portugal, October 1996",,"10.1007/s002570050346",,"cond-mat",,"  I describe recent theoretical and experimental progress in understanding the
physical properties of the two dimensional nearly antiferromagnetic Fermi
liquids (NAFL's) found in the normal state of the cuprate superconductors. In
such NAFL's, the magnetic interaction between planar quasiparticles is strong
and peaked at or near the commensurate wave vector, $Q \equiv (\pi,\pi)$. For
the optimally doped and underdoped systems, the resulting strong
antiferromagnetic correlations produce three distinct magnetic phases in the
normal state: mean field above $T_{cr}$, pseudoscaling between $T_{cr}$ and
$T_*$, and pseudogap below $T_*$. I present arguments which suggest that the
physical origin of the pseudogap found in the quasiparticle spectrum below
$T_{cr}$ is the formation of a precursor to a spin-density-wave-state, describe
the calculations based on this scenario of the dynamical spin susceptibility,
Fermi surface evolution, transport, and Hall effect, and summarize the
experimental evidence in its support.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 20:41:49 GMT""}]","2009-10-30"
"cond-mat/9702188","Andre-Marie Tremblay","Y.M. Vilk (Argonne) and A.-M.S. Tremblay (Sherbrooke)","Non-perturbative many-body approach to the Hubbard model and
  single-particle pseudogap","Small changes to conform to published version. Main text 33 pages.
  Appendices 16 pages. 11 PS figures epsf/Latex. Section on the single-particle
  pseudogap can be read independently","J. Phys. I France 7, 1309-1368 (1997)","10.1051/jp1:1997135","CRPS-97-10","cond-mat.str-el cond-mat.supr-con",,"  A new approach to the single-band Hubbard model is described in the general
context of many-body theories. It is based on enforcing conservation laws, the
Pauli principle and a number of crucial sum-rules. More specifically, spin and
charge susceptibilities are expressed, in a conserving approximation, as a
function of two constant irreducible vertices whose values are found
self-consistently. The Mermin-Wagner theorem in two dimensions is automatically
satisfied. The effect of collective modes on single-particle properties is then
obtained by a paramagnon-like formula that is consistent with the two-particle
properties in the sense that the potential energy obtained from $Tr\Sigma G$ is
identical to that obtained using the fluctuation-dissipation theorem for
susceptibilities. The vertex corrections are included through constant
irreducible vertices. The theory is in quantitative agreement with Monte Carlo
simulations for both single-particle and two-particle properties. In the
two-dimensional renormalized classical regime, spin fluctuations lead to
precursors of antiferromagnetic bands (shadow bands) and to the destruction of
the Fermi-liquid quasiparticles in a wide temperature range above the
zero-temperature phase transition. The analogous phenomenon of pairing
pseudogap can occur in the attractive model in two dimensions when the pairing
fluctuations become critical. Other many-body approaches are critically
compared. It is argued that treating the spin fluctuations as if there was a
Migdal's theorem can lead to wrong predictions, in particular with regard to
the the single-particle pseudogap.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 22:09:21 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 01:50:53 GMT""},{""version"":""v3"",""created"":""Thu, 11 Dec 1997 14:57:58 GMT""}]","2009-10-30"
"cond-mat/9702189","Juan Jose Palacios","J. J. Palacios and H. A. Fertig","Signature of Quantum Hall Effect Skyrmions in Tunneling: A Theoretical
  Study","4 pages, 1 figure","Phys. Rev. Lett. 79, 471 (1997)","10.1103/PhysRevLett.79.471",,"cond-mat.mes-hall",,"  We present a theoretical study of the $I-V$ tunneling characteristic between
two parallel two-dimensional electron gases in a perpendicular magnetic field
when both are near filling factor $\nu=1$. Finite-size calculations of the
single-layer spectral functions in the spherical geometry and analytical
expressions for the disk geometry in the thermodynamic limit show that the
current in the presence of skyrmions reflects in a direct way their underlying
structure. It is also shown that fingerprints of the electron-electron
interaction pseudopotentials are present in such a current.
","[{""version"":""v1"",""created"":""Thu, 20 Feb 1997 23:35:43 GMT""}]","2009-10-30"
"cond-mat/9702190","Byron den Hertog","B. C. den Hertog and M. P. Das (The Australian National University)","Local moment formation in zinc doped cuprates","7 pages RevTex, includes 4 figures",,"10.1103/PhysRevB.58.2838","ANU-TP-1997-4","cond-mat.supr-con cond-mat.str-el",,"  We suggest that when zinc is substituted for copper in the copper oxide
planes of high $T_{c}$ superconductors, it does not necessarily have a valency
of 2+. Rather, the valency of a zinc impurity should be determined by its
surrounding medium. In order to study this hypothesis, we examine the effect of
static impurities inducing diagonal disorder within a one band Hubbard model
coupled to a localised state. We use this model to discuss the physics of zinc
doping in the cuprates. Specifically, we discuss the formation of local moments
near impurity sites and the modification of the transverse spin susceptibility
in the antiferromagnetic state.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 00:42:12 GMT""}]","2009-10-30"
"cond-mat/9702191","Dave Feldman","James P. Crutchfield (University of California, Berkeley and Santa Fe
  Institute) and David P. Feldman (University of California, Davis)","Statistical Complexity of Simple 1D Spin Systems","4 pages with 2 eps Figures. Uses RevTeX macros. Also available at
  http://www.santafe.edu/projects/CompMech/papers/CompMechCommun.html","Physical Review E, 55:2 (1997) 1239R","10.1103/PhysRevE.55.R1239",,"cond-mat.stat-mech",,"  We present exact results for two complementary measures of spatial structure
generated by 1D spin systems with finite-range interactions. The first, excess
entropy, measures the apparent spatial memory stored in configurations. The
second, statistical complexity, measures the amount of memory needed to
optimally predict the chain of spin values. These statistics capture distinct
properties and are different from existing thermodynamic quantities.
","[{""version"":""v1"",""created"":""Fri, 21 Feb 1997 01:02:16 GMT""}]","2009-10-30"
