"adap-org/9702002","Aronson Igor","Igor Aranson, Lev Tsimring and Valerii Vinokur","Evolution on a Rugged Landscape:Pinning and Aging","4 pages, 3 figures, submitted to Phys. Rev. Lett",,"10.1103/PhysRevLett.79.3298",,"adap-org nlin.AO q-bio",,"  Population dynamics on a rugged landscape is studied analytically and
numerically within a simple discrete model for evolution of N individuals in
one-dimensional fitness space. We reduce the set of master equations to a
single Fokker-Plank equation which allows us to describe the dynamics of the
population in terms of thermo-activated Langevin diffusion of a single particle
in a specific random potential. We found that the randomness in the mutation
rate leads to pinning of the population and on average to a logarithmic
slowdown of the evolution, resembling aging phenomenon in spin glass systems.
In contrast, the randomness in the replication rate turns out to be irrelevant
for evolution in the long-time limit as it is smoothed out by increasing
``evolution temperature''. The analytic results are in a good agreement with
numerical simulations.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 19:53:45 GMT""}]","2015-06-30"
"cmp-lg/9702008","Ted Pedersen","Ted Pedersen (SMU), Rebecca Bruce (SMU), and Janyce Wiebe (NMSU)","Sequential Model Selection for Word Sense Disambiguation","8 pages, Latex, uses aclap.sty","Proceedings of the Fifth Conference on Applied Natural Language
  Processing, April 1997, Washington, DC",,,"cmp-lg cs.CL",,"  Statistical models of word-sense disambiguation are often based on a small
number of contextual features or on a model that is assumed to characterize the
interactions among a set of features. Model selection is presented as an
alternative to these approaches, where a sequential search of possible models
is conducted in order to find the model that best characterizes the
interactions among features. This paper expands existing model selection
methodology and presents the first comparative study of model selection search
strategies and evaluation criteria when applied to the problem of building
probabilistic classifiers for word-sense disambiguation.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 03:45:13 GMT""}]","2008-02-03"
"cond-mat/9702094","Paolo Ruggerone","P. Ruggerone, C. Ratsch, and M. Scheffler","Density Functional Theory of Epitaxial Growth of Metals","55 pages, 20 figures, to be published ""Growth of Ultrathin Epitaxial
  Layers"", The Chemical Physics of Soild Surfaces, Vol. 8, Eds D. A. King and
  D. P. Woodruff (Elsevier Science, Amsterdam, 1997)",,,,"cond-mat",,"  This chapter starts with a summary of the atomistic processes that occur
during epitaxy. We then introduce density functional theory (DFT) and describe
its implementation into state-of-the-art computations of complex processes in
condensed matter physics and materials science. In particular we discuss how
DFT can be used to calculate parameters of microscopic processes such as
adsorption and surface diffusion, and how they can be used to study the
macroscopic time and length scales of realistic growth conditions. This meso-
and macroscopic regime is described by the ab initio kinetic Monte Carlo
approach. We discuss several specific theoretical studies that highlight the
importance of the different diffusion mechanisms at step edges, the role of
surfactants, and the influence of surface stress. The presented results are for
specific materials (namely silver and aluminum), but they are explained in
simple physical pictures suggesting that they also hold for other systems.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 16:28:54 GMT""}]","2009-09-25"
"cond-mat/9702095","Axel Mueller-Groeling","Klaus Frahm and Axel Mueller-Groeling","Conductance length autocorrelation in quasi one-dimensional disordered
  wires","23 pages, Revtex, two figures","J. Phys. A: Math. Gen. 29, 5313 (1996)","10.1088/0305-4470/29/17/009",,"cond-mat.dis-nn cond-mat.mes-hall",,"  Employing techniques recently developed in the context of the Fokker--Planck
approach to electron transport in disordered systems we calculate the
conductance length correlation function $< \delta g(L) \delta g(L+\Delta L) >$
for quasi 1d wires. Our result is valid for arbitrary lengths L and $\Delta L$.
In the metallic limit the correlation function is given by a squared
Lorentzian. In the localized regime it decays exponentially in both L and
$\Delta L$. The correlation length is proportional to L in the metallic regime
and saturates at a value approximately given by the localization length $\xi$
as $L\gg\xi$.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 17:37:59 GMT""}]","2009-10-30"
"cond-mat/9702096","Sutapa Mukherji","Sutapa Mukherji","Roughening of a growing surface on a crystal with correlated disorder:
  influence of nonlinearity","15 pages RevTex, To be published in Phys. Rev. E",,"10.1103/PhysRevE.55.6459",,"cond-mat.stat-mech",,"  We study the growth of a crystal in presence of a correlated disorder on the
substrate. Using functional renormalization group, we show, for a long range
disorder correlation, an initial decay of the KPZ type nonlinearity, though
over a large length scale the behavior can be governed by the nonlinearity.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 17:39:14 GMT""}]","2009-10-30"
"cond-mat/9702097","Axel Mueller-Groeling","Klaus Frahm, Axel Mueller-Groeling, and Jean-Louis Pichard","Two interacting particles in a random potential: mapping onto one
  parameter localization theories without interaction","29 pages, Revtex, no figures","Z. Phys. B 102, 261 (1997)","10.1007/s002570050288",,"cond-mat.dis-nn cond-mat.mes-hall",,"  We consider two models for a pair of interacting particles in a random
potential: (i) two particles with a Hubbard interaction in arbitrary dimensions
and (ii) a strongly bound pair in one dimension. Establishing suitable
correpondences we demonstrate that both cases can be described in terms
familiar from theories of noninteracting particles. In particular, these two
cases are shown to be controlled by a single scaling variable, namely the pair
conductance $g_2$. For an attractive or repulsive Hubbard interaction and
starting from a certain effective Hamiltonian we derive a supersymmetric
nonlinear $\sigma$ model. Its action turns out to be closely related to the one
found by Efetov for noninteracting electrons in disordered metals. This enables
us to describe the diffusive motion of the particle pair on scales exceeding
the one-particle localization length $L_1$ and to discuss the corresponding
level statistics. For tightly bound pairs in one dimension, on the other hand,
we follow early work by Dorokhov and exploit the analogy with the transfer
matrix approach to quasi 1d conductors. Extending our study to M particles we
obtain a M-particle localization length scaling like the Mth power of the
one-particle localization length.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 17:39:28 GMT""}]","2009-10-30"
"cond-mat/9702098","Ramamurti Shankar","R. Shankar (Yale) and Ganpathy Murthy (Boston University)","Towards a field theory of the fractional quantum Hall states","Published version","Phys. Rev. Lett. 79 (1997) 4437","10.1103/PhysRevLett.79.4437",,"cond-mat.mes-hall",,"  We present a Chern-Simons theory of the fractional quantum Hall effect in
which flux attachment is followed by a transformation that effectively attaches
the correlation holes. We extract the correlated wavefunctions, compute the
drift and cyclotron currents (due to inhomogeneous density), exhibit the Read
operator, and operators that create quasi-particles and holes. We show how the
bare kinetic energy can get quenched and replaced by one due to interactions.
We find that for $\nu =1/2$ the low energy theory has neutral quasiparticles
and give the effective hamiltonian and constraints.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 19:20:25 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 1997 16:06:08 GMT""}]","2009-10-30"
"cond-mat/9702099",,"E.M. Conwell and M.W. Wu","Contact Injection into Polymer Light-Emitting Diodes","9 pages, two Postscript figures are aviable upon request","Appl. Phys. Lett. 70, 1867 (1997)","10.1063/1.118716",,"cond-mat",,"  The variation of current I with voltage V for poly(phenylene vinylene) and
other polymer light-emitting diodes has been attributed to carriers tunneling
into broad conduction and valence bands. In actuality the electrons and holes
tunnel into polaron levels and transport is by hopping among these levels. We
show that for small injection the I-V characteristic is determined mainly by
the image force, for large injection by space charge effects, but in both cases
the strong variation of mobility with field due to disorder plays an important
role.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 18:45:11 GMT""}]","2009-10-30"
"cond-mat/9702100","Armando Angel Aligia","F. Lema and A. A. Aligia (Centro Atomico Bariloche, Argentina)","Quasiparticle photoemission intensity in doped two-dimensional quantum
  antiferromagnets","11 pages, latex, 3 figures","Phys. Rev. B 55, 14092 (1997)","10.1103/PhysRevB.55.14092",,"cond-mat.str-el cond-mat.supr-con",,"  Using the self-consistent Born approximation, and the corresponding wave
function of the magnetic polaron, we calculate the quasiparticle weight
corresponding to destruction of a real electron (in contrast to creation of a
spinless holon), as a funtion of wave vector for one hole in a generalized
$t-J$ model and the strong coupling limit of a generalized Hubbard model. The
results are in excellent agreement with those obtained by exact diagonalization
of a sufficiently large cluster. Only the Hubbard weigth compares very well
with photoemission measurements in Sr_2CuO_2Cl_2.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 19:09:51 GMT""}]","2009-10-30"
"cond-mat/9702102","Michel Gingras- Phys364","G. Ayton, M.J.P. Gingras, and G. N. Patey","Ferroelectric and Dipolar Glass Phases of Non-Crystalline Systems","25 pages (LATEX, no macros). 11 POSTSCRIPT figures enclosed.
  Submitted to Phisical Review E. Contact: gingras@astro.uwaterloo.ca","Phys.Rev. E, {56}, 562 (1997).","10.1103/PhysRevE.56.562",,"cond-mat.dis-nn cond-mat.stat-mech",,"  In a recent letter [Phys. Rev. Lett. {\bf 75}, 2360 (1996)] we briefly
discussed the existence and nature of ferroelectric order in positionally
disordered dipolar materials. Here we report further results and give a
complete description of our work. Simulations of randomly frozen and
dynamically disordered dipolar soft spheres are used to study ferroelectric
ordering in non-crystalline systems. We also give a physical interpretation of
the simulation results in terms of short- and long-range interactions. Cases
where the dipole moment has 1, 2, and 3 components (Ising, XY and XYZ models,
respectively) are considered. It is found that the Ising model displays
ferroelectric phases in frozen amorphous systems, while the XY and XYZ models
form dipolar glass phases at low temperatures. In the dynamically disordered
model the equations of motion are decoupled such that particle translation is
completely independent of the dipolar forces. These systems spontaneously
develop long-range ferroelectric order at nonzero temperature despite the
absence of any fined-tuned short-range spatial correlations favoring dipolar
order. Furthermore, since this is a nonequilibrium model we find that the
paraelectric to ferroelectric transition depends on the particle mass. For the
XY and XYZ models, the critical temperatures extrapolate to zero as the mass of
the particle becomes infinite, whereas, for the Ising model the critical
temperature is almost independent of mass and coincides with the ferroelectric
transition found for the randomly frozen system at the same density. Thus in
the infinite mass limit the results of the frozen amorphous systems are
recovered.
","[{""version"":""v1"",""created"":""Tue, 11 Feb 1997 22:27:13 GMT""}]","2009-10-30"
"cond-mat/9702103","Naoto Nagaosa","Naoto Nagaosa and Patrick A. Lee","Kondo Effect in High-T_c Cuprates","REVTEX",,"10.1103/PhysRevLett.79.3755",,"cond-mat",,"  We study the Kondo effect due to the nonmagnetic impurity, e.g., Zn, in
high-T_c cuprates based on the spin-change separated state. In the optimal or
overdoped case with the Kondo screening, the residual resistivity is dominated
by the spinons while the T-dependent part determined by the holons. This gives
$\rho(T) = { {4 \hbar} /{e^2}} { { n_{imp.}} /{(1-x)}} + {{\alpha T} / x}$ (x:
hole concentration,$n_{imp.}$: impurity concentration, $\alpha$: constant ),
which is in agreement with experiments. In the underdoped region with the
pseudo spin gap, an SU(2) formulation predicts that the holon phase shift is
related to the formation of the local spin moment, and hence the residual
resistivity is given by $\rho_{res.} = { {4 \hbar} /{ e^2}} { { n_{imp.}}/{x}}
$, which is also consistent with the experiments. The magnetic impurity case,
e.g., Ni, is also discussed.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 05:36:53 GMT""},{""version"":""v2"",""created"":""Tue, 25 Feb 1997 04:11:13 GMT""}]","2016-08-31"
"cond-mat/9702104","T. K. Ng","T. K. Ng and C. M. Varma","Tilting instability and other anomalies in the flux-lattice in some
  magnetic superconductors","12 pages, Latex file, no figure",,"10.1103/PhysRevLett.78.3745",,"cond-mat.supr-con",,"  The flux-line lattice in the compound $ErNi_2B_2C$, which has a tendency to
ferromagnetic order in the a-b plane is studied with external magnetic field
direction close to the c-axis. We show the existence of an instability where
the direction of flux-lines spontaneously tilts away from that of the applied
field near the onset of ferromagnetic order. The enhanced fluctuations in the
flux lattice and the square flux lattice recently observed are explained and
further experiments suggested.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 05:54:09 GMT""}]","2009-10-30"
"cond-mat/9702105","Oleg Sushkov","W. McRae and O. Sushkov","Thermodynamic Properties of 1d Heisenberg Model. Magnetic Moment of
  Spinon","LaTeX 6 pages",,,,"cond-mat",,"  The one dimensional spin 1/2 Heisenberg antiferromagnet is considered using a
simple quasiparticle picture - an interacting Fermi gas of kinks. Using this
picture the low temperature heat capacity, and the magnetic susceptibility with
logarithmic field and temperature corrections are derived. The results obtained
are in agreement with previous computations and conformal field theory
calculations. It is hypothesised that the magnetic moment of the kink
$g_{kink}=\sqrt{2}g_{electron}$.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 06:35:19 GMT""}]","2007-05-23"
"cond-mat/9702106","Sarkis Dallakian","A.E. Alahverdian, N.S. Ananikian and S.K. Dallakian","Singularites at a Dense Set of Temperature in Husimi Tree","ps file, 10 pages",,"10.1103/PhysRevE.57.2452",,"cond-mat",,"  We investigate complex temperature singularities of the three-site
interacting Ising model on the Husimi tree in the presentce of magnetic field.
We show that at certain magnetic field these singularities lie at a dense set
and as a consequence the phase transition condensation take place.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 10:13:55 GMT""}]","2009-10-30"
"cond-mat/9702107","Rokni Michal","Michal Rokni and Y. Levinson","Level broadening effects in quantum kinetic equations: Hot luminescence
  from a quantum wire near the optical phonon emission threshold","35 pages, REVTeX, with 6 figures",,"10.1103/PhysRevB.56.3952",,"cond-mat",,"  A recipe for the generalization of the Boltzmann equation to a quantum
kinetic equation is given for cases in which only level shift and broadening
are considered, while coherence phenomena can be neglected. We also consider a
specific problem: Hot luminescence from a quantum wire near the threshold for
optical phonon emission. The problem is first discussed within the framework of
the Boltzmann equation. After pointing out the failure of this description, the
Boltzmann equations are generalized to a set of quantum kinetic equations,
which in turn are solved in order to describe the luminescence spectra.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 11:37:20 GMT""}]","2009-10-30"
"cond-mat/9702108","Serge Galam","Serge Galam and Alain Mauger (LMDH, Universite Paris 6)","Reply to the comment ""Universal Formulae for Percolation Thresholds""","4 pages, latex","Phys. Rev. E 55, 1230 (1997)","10.1103/PhysRevE.55.1230",,"cond-mat.dis-nn cond-mat.stat-mech",,"  In a recent paper, we have reported a universal power law for both site and
bond percolation thresholds for any lattice of cubic symmetry. Extension to
anisotropic lattices is discussed.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 13:30:44 GMT""}]","2009-10-30"
"cond-mat/9702109","Maria Markosova","M. Markosova (Academay of Sciences, Slovakia), M. H. Jensen and K. B.
  Lauritsen (Niels Bohr Inst, Denmark), and K. Sneppen (NORDITA, Denmark)","Onset of criticality and transport in a driven diffusive system","4 latex/revtex pages; 4 figures","Phys. Rev. E 55, R2085-R2088 (1997).","10.1103/PhysRevE.55.R2085",,"cond-mat.stat-mech",,"  We study transport properties in a slowly driven diffusive system where the
transport is externally controlled by a parameter $p$. Three types of behavior
are found: For $p<p'$ the system is not conducting at all. For intermediate $p$
a finite fraction of the external excitations propagate through the system.
Third, in the regime $p>p_c$ the system becomes completely conducting. For all
$p>p'$ the system exhibits self-organized critical behavior. In the middle of
this regime, at $p_c$, the system undergoes a continuous phase transition
described by critical exponents.
","[{""version"":""v1"",""created"":""Wed, 12 Feb 1997 13:57:47 GMT""}]","2009-10-30"
