"alg-geom/9707003","Hosono Shinobu","S.Hosono","GKZ Systems, Gr\""obner Fans and Moduli Spaces of Calabi-Yau
  Hypersurfaces","28 pages, LaTeX. (The statements in Prop.4.7 and Claim 5.8 are
  clarified.)",,,,"alg-geom math.AG",,"  We present a detailed analysis of the GKZ(Gel'fand, Kapranov and Zelevinski)
hypergeometric systems in the context of mirror symmetry of Calabi-Yau
hypersurfaces in toric varieties. As an application we will derive a concise
formula for the prepotential about large complex structure limits. (Talk given
at the Taniguchi Symposium ``Topological Field Theory, Primitive Forms and
Related Topics'' December, 1996)
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 09:57:30 GMT""},{""version"":""v2"",""created"":""Mon, 27 Oct 1997 06:41:28 GMT""}]","2008-02-03"
"astro-ph/9707034","Dick Henry","R.B.C. Henry (U. Oklahoma), K.B. Kwitter (Williams College), J.Buell
  (U. Oklahoma)","Planetary Nebula Abundances, Stellar Yields, And The Galactic Evolution
  of C-12 and N-14","5 pages, 3 figures, latex, using macro tm6conf.sty, 2 files
  containing postscript figures. Paper presented at 6th Texas-Mexico Conference
  on Astrophysics and will appear in Revista Mexicana de Astronomia y
  Astrofisica, Serie de Conferencias",,,,"astro-ph",,"  A project which aims to understand the abundance patterns of He, C, N, O, Ne,
S, and Ar for a small sample of planetary nebulae is described. Abundance
ratios of O/H, C/O, and N/O especially show a broad range relative to their
solar values, and AGB stellar evolution models used to interpret the patterns
indicate that reasonable ranges in progenitor mass and metallicity are adequate
to explain the observed abundance spread. Chemical yields of intermediate-mass
stars inferred from these same models are used to calculate chemical evolution
models of the solar neighborhood. These models indicate that intermediate-mass
stars account for roughly half of the C-12 and nearly all of the N-14 in that
region.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 17:53:17 GMT""}]","2007-05-23"
"astro-ph/9707035","Eric Gotthelf","E. V. Gotthelf, R. Petre, U. Hwang (NASA/GSFC)","The nature of the radio-quiet compact X-ray source in SNR RCW 103","12 pages with 4 eps figures, Latex, aas2pp4.sty, psfig.sty. To appear
  in the Astrophysical Journal Letters","ApJ 487, L175 (1997)","10.1086/310900",,"astro-ph",,"  We consider the nature of the elusive neutron star candidate 1E~161348-5055
using X-ray observations obtained with the ASCA Observatory. The compact X-ray
source is centered on the shell-type Galactic supernova remnant RCW103 and has
been interpreted as a cooling neutron star associated with the remnant. The
X-ray spectrum of the remnant shell can be characterized by a non-equilibrium
ionization (NEI) thermal model for a shocked plasma of temperature kT ~ 0.3
keV. The spectrum falls off rapidly above 3 keV to reveal a point source in the
spectrally-resolved images, at the location of 1E~161348-5055. A black-body
model fit to the source spectrum yields a temperature kT = 0.6 keV, with an
unabsorbed 0.5-10 keV luminosity of Lx ~ 10E34 erg/s (for an assumed distance
of 3.3 kpc, both of which are at least a factor of 2 higher than predicted by
cooling neutron star models. Alternatively, a power-law model for the source
continuum gives a steep photon index of ~ 3.2, similar to that of other
radio-quiet, hard X-ray point sources associated with supernova remnants.
1E~161348-5055 may be prototypical of a growing class of radio-quiet neutron
stars revealed by ASCA; we suggest that these objects account for previously
hidden neutron stars associated with supernova remnants.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 20:10:36 GMT""}]","2009-10-30"
"astro-ph/9707036","Daniel","Daniel J. H. Chung, Glennys R. Farrar, Edward W. Kolb","Are ultrahigh energy cosmic rays signals of supersymmetry?","20 page LaTeX file with 5 PostScript figures included with epsf.
  Discussion of acceleration mechanisms has been elaborated and some new
  references have been added. No change in conclusions or figures","Phys. Rev. D 57, 4606 (1998)","10.1103/PhysRevD.57.4606","Fermilab FERMILAB-PUB-97/187-A and Rutgers RU-97-14","astro-ph hep-ph",,"  We investigate the possibility that cosmic rays of energy larger than the
Greisen-Zatsepin-Kuzmin cutoff are not nucleons, but a new stable, massive,
hadron that appears in many extensions of the standard model. We focus
primarily on the S^0, a uds-gluino bound state. The range of the S^0 through
the cosmic background radiation is significantly longer than the range of
nucleons, and therefore can originate from sources at cosmoglogical distances.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 20:16:38 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 1997 02:47:29 GMT""},{""version"":""v3"",""created"":""Fri, 19 Dec 1997 03:55:06 GMT""}]","2016-08-25"
"astro-ph/9707037","David Burstein","David Burstein (Arizona State University), Ralf Bender
  (Universtat-Sternwarte, Munich), Sandra Faber and Richard Nolthenius
  (Univeristy of California, Santa Cruz)","Global Relationships Among the Physical Properties of Stellar Systems","53 pages, LaTex (aaspp4), 2 tables, 1 in .tex mode; 1 as ADC-format
  data table with its own readme file; 17 figures. *.gz files of paper,
  figures, ASCII copies of table, available at
  ftp://samuri.la.asu.edu/pub/burstein/kappaspace",,"10.1086/118570",,"astro-ph",,"  The kappa-space three-dimensional parameter system was originally defined for
the physical properties of dynamically hot galaxies. Here we define
self-consistent kappa-parameters for disk galaxies, galaxy groups and clusters,
and globular clusters and project an integrated view of the major classes of
self-gravitating, equilibrium stellar systems in the universe. Six different
fundamental planes exist that are interrelated and interconnected - the
``cosmic metaplane.'' The kappa-3 vs. kappa-1 projection (M/L vs. Mass) views
all planes edge-on, M/L increasing or constant with Mass. Within the cosmic
metaplane (kappa-2 vs. kappa-1 projection), no stellar system violates the rule
that kappa-1 + kappa-2 < 8, meaning the maximum volume luminosity density of
stellar systems varies as a (K times M^{-4/3}; the ``zone of exclusion'').
Galaxies march away from ZOE as a function of Hubble type: DHGs closest,
Sm-Irr's furthest away. We test current ideas of galaxy formation via
hierarchical clustering and merging and find them to be broadly consistent with
the properties of the cosmic metaplane. Four key questions are raised by this
study: Why do galaxy groups form a bridge between galaxy clusters and galaxies?
Why do galaxies march away from the ZOE? Why are isotropic galaxies only found
in a limited mass range? What causes M/L to vary so smoothly with M to produce
the cosmic metaplane? This study is but the first step along a long road,
limited by existing data to the B passband of major stellar systems, whose
light is dominated by stars. K-band data would be high desirable, as well as
data that can probe the gaseous content (cold and hot) of stellar systems, and
data for other classes of stellar systems.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 21:02:13 GMT""}]","2009-10-30"
"astro-ph/9707038","Joseph Fowler","M. Cassidy, L. F. Fortson, J. W. Fowler, R. A. Ong (University of
  Chicago), C. H. Jui, D. B. Kieda, E. C. Loh, P. Sommers (University of Utah)","CASA-BLANCA: A Large Non-imaging Cherenkov Detector at CASA-MIA","4 pages, 3 figures. To appear in Proceedings of 25th ICRC, Durban,
  South Africa",,,,"astro-ph",,"  The lateral distribution of Cherenkov light at ground level records important
information on the development of the cosmic ray air shower which produces it.
We have constructed an array of 144 non-imaging Cherenkov detectors at the
CASA-MIA experiment site in Dugway, Utah. The various arrays can sample
simultaneously the lateral distributions of electrons, muons, and Cherenkov
light at many locations. We describe the design and operation of the
CASA-BLANCA experiment and its potential to address the composition of primary
cosmic rays between 300 and 30,000 TeV.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 21:41:43 GMT""}]","2007-05-23"
"astro-ph/9707039","Jim Cordes","James M. Cordes, T. Joseph W. Lazio, and Carl Sagan (Cornell)","Scintillation-Induced Intermittency in SETI","59 pages, LaTeX using aaspp4 style file, 12 figures in 14 PostScript
  figures, ApJ, in press, 1997 Oct. 1",,"10.1086/304620",,"astro-ph",,"  We consider interstellar scintillations as a cause of intermittency in radio
signals from extraterrestrial intelligence (ETI). We demonstrate that
scintillations are very likely to allow initial detections of narrowband
signals from distant sources (> 100 pc), while making redetections improbable.
We consider three models in order to assess the non-repeating, narrowband
events found in recent SETI and to analyze large surveys in general: (I)
Radiometer noise; (II) A population of constant Galactic sources undergoing
interstellar scintillation,; and (III) Real, transient signals (or hardware
errors) of either terrestrial or ET origin.
  We apply likelihood and Bayesian tests of the models to The Planetary
Society/Harvard META data. We find that Models II and III are both highly
preferred to Model I, but that Models II and III are about equally likely.
Ruling out Model II in favor of Model III requires many more reobservations
than were conducted in META *or* the reobservation threshold must be much lower
than was used in META. *We cannot rule out the possibility that META events are
real, intrinsically steady ETI signals.*
  We recommend that future surveys use thresholds far below the typical
false-alarm threshold to lessen the effects of intermittency. The threshold
level is best defined in terms of the recording and computational technology
that is available at a cost commensurate with other survey costs.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 23:13:32 GMT""}]","2009-10-30"
"astro-ph/9707040","Anthony Brown","A.G.A. Brown(1), F. Arenou(2), F. van Leeuwen(3), L. Lindegren(4), X.
  Luri(2,5) ((1) Leiden, (2) Meudon, (3) RGO, (4) Lund, (5) Barcelona)","Some Considerations in making full Use of the Hipparcos Catalogue","6 pages, 5 PS-figures, LaTeX using venice97.sty and twocolumn.sty To
  appear in the proceedings of the ""Hipparcos Venice '97"" symposium, ESA SP-402",,,,"astro-ph",,"  This contribution is intended as a `rough guide' to the Hipparcos Catalogue
for the non-expert user. Some general aspects of the use of astrometric data
are discussed as well as Hipparcos-specific applications. We discuss when and
at what level one may expect systematic errors to occur in the Hipparcos
Catalogue. Next we discuss the question of the interpretation of the measured
parallaxes in terms of distances and luminosities of stars. What are the biases
one should be aware of and how can these be corrected? When using the
astrometric data to study the statistics of stars one should take the full
covariance matrix of the errors on the astrometric parameters into account. We
explain how to do this and discuss the specific case of a moving cluster.
Finally, we address the question of the correlation of astrometric parameters
over a given region of the sky. At present the Hipparcos Catalogue contains no
identified systematic errors.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 08:27:31 GMT""}]","2007-05-23"
"astro-ph/9707041","Gustavo A. Medina Tanco","Gustavo A. Medina Tanco (IAG/RGO), Elisabete M. de Gouveia Dal Pino
  (IAG) and Jorge E. Horvath (IAG)","Deflection of ultra high energy cosmic rays by the galactic magnetic
  field: from the sources to the detector","LaTeX + 2 postscript figures - Color versions of both figures (highly
  recommended) available via anonymous ftp at
  ftp://capc07.ast.cam.ac.uk/pub/uhecr_gmf as fig*.gz",,"10.1086/305044",,"astro-ph",,"  We report the results of 3D simulations of the trajectories of ultra-high
energy protons and Fe nuclei (with energies $E = 4 \times 10^{19}$ and $2.5
\times 10^{20} eV$) propagating through the galactic magnetic field from the
sources to the detector. A uniform distribution of anti-particles is
backtracked from the detector, at the Earth, to the halo of the Galaxy. We
assume an axisymmetric, large scale spiral magnetic field permeating both the
disc and the halo. A normal field component to the galactic plane ($B_z$) is
also included in part of the simulations. We find that the presence of a large
scale galactic magnetic field does not generally affect the arrival directions
of the protons, although the inclusion of a $B_z$ component may cause
significant deflection of the lower energy protons ($E = 4 \times 10^{19} $
eV). Error boxes larger than or equal to $\sim 5^{\circ}$ are most expected in
this case. On the other hand, in the case of heavy nuclei, the arrival
direction of the particles is strongly dependent on the coordinates of the
particle source. The deflection may be high enough ($> 20^{\circ}$) as to make
extremely difficult any identification of the sources unless the real magnetic
field configuration is accurately determined. Moreover, not every incoming
particle direction is allowed between a given source and the detector. This
generates sky patches which are virtually unobservable from the Earth. In the
particular case of the UHE events of Yakutsk, Fly's Eye, and Akeno, they come
from locations for which the deflection caused by the assumed magnetic field is
not significant.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 10:29:45 GMT""}]","2009-10-30"
"astro-ph/9707042","Mauro Orlandini","M. Orlandini (1), D. Dal Fiume (1), L. Nicastro (1), S. Giarrusso (2),
  A. Segreto (2), S. Piraino (2), G. Cusumano (2), S. Del Sordo (2), M.
  Guainazzi (3), L. Piro (4) ((1) TeSRE Institute/CNR Bologna - Italy (2) IFCAI
  Institute/CNR Palermo - Italy (3) SAX/Scientific Data Center/Nuova Telespazio
  - Italy (4) IAS Institute/CNR Frascati - Italy)","BeppoSAX observation of the X-ray binary pulsar Vela X-1","5 pages, 4 PostScript figure, uses aipproc.sty, to appear in
  Proceedings of Fourth Compton Symposium",,"10.1063/1.53978",,"astro-ph",,"  We report on the spectral (pulse averaged) and timing analysis of the ~ 20
ksec observation of the X-ray binary pulsar Vela X-1 performed during the
BeppoSAX Science Verification Phase. The source was observed in two different
intensity states: the low state is probably due to an erratic intensity dip and
shows a decrease of a factor ~ 2 in intensity, and a factor 10 in Nh. We have
not been able to fit the 2-100 keV continuum spectrum with the standard (for an
X--ray pulsar) power law modified by a high energy cutoff because of the
flattening of the spectrum in ~ 10-30 keV. The timing analysis confirms
previous results: the pulse profile changes from a five-peak structure for
energies less than 15 keV, to a simpler two-peak shape at higher energies. The
Fourier analysis shows a very complex harmonic component: up to 23 harmonics
are clearly visible in the power spectrum, with a dominant first harmonic for
low energy data, and a second one as the more prominent for energies greater
than 15 keV. The aperiodic component in the Vela X-1 power spectrum presents a
knee at about 1 Hz. The pulse period, corrected for binary motion, is 283.206
+/- 0.001 sec.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 13:37:39 GMT""}]","2009-10-30"
"astro-ph/9707043",,"Y.K. Ng and G. Bertelli","Revised ages for the stars in the solar neighbourhood","14 pages LaTeX with 8 tables, to be published in A&A Main Journal;
  removed two figures, replaced two others and adjusted part of the text after
  constructive comments from Drs. Edvardsson, Gustafsson, and Nissen",,,,"astro-ph",,"  New ages are computed for the stars from the Edvardsson et al. (1993) data
set. The revised values are systematically larger toward older ages (t>4 Gyr),
while they are slightly lower for t<4 Gyr. A similar, but considerably smaller
trend is present when the ages are computed with the distances based on
Hipparcos parallaxes. The resulting age-metallicity relation has a small, but
distinct slope of about 0.07 dex/Gyr
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 13:26:12 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 1997 16:31:19 GMT""}]","2008-02-03"
"astro-ph/9707044","Bernhard Geiger","Bernhard Geiger (MPA,IAP) and Peter Schneider (MPA)","Constraining the Mass Distribution of Cluster Galaxies by Weak Lensing","15 pages, submitted to MNRAS, a version including two additional
  figures is available at
  http://www.mpa-garching.mpg.de/Lenses/Preprints/ClusGala.ps.gz",,"10.1046/j.1365-8711.1998.01146.x","MPA1030","astro-ph",,"  Analysing the weak lensing distortions of the images of faint background
galaxies provides a means to constrain the average mass distribution of cluster
galaxies and potentially to test the extent of their dark matter haloes as a
function of the density of their environment. The observable image distortions
are a consequence of the interplay between the effects of a global cluster mass
distribution and the perturbations due to individual cluster galaxies. Starting
from a reconstruction of the cluster mass distribution with conventional
techniques, we apply a maximum likelihood method to infer the average
properties of an ensemble of cluster galaxies. From simulations this approach
is found to be reliable as long as the galaxies including their dark matter
haloes only contribute a small fraction to the total mass of the system. If
their haloes are extended, the galaxies contain a substantial mass fraction. In
this case our method is still applicable in the outer regions of clusters,
where the surface mass density is low, but yields biased estimates of the
parameters describing the mass profiles of the cluster galaxies in the central
part of the cluster. In that case it will be necessary to resort to more
sophisticated strategies by modelling cluster galaxies and an underlying global
mass distribution simultaneously. We conclude that galaxy-galaxy lensing in
clusters provides a unique means to probe the presence and extent of dark
haloes of cluster galaxies.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 13:37:39 GMT""}]","2009-10-30"
"astro-ph/9707045","Rob Fender","R.P. Fender (Sussex)","New radio observations of Circinus X-1","5 pages, 2 figures. To appear in Proc. 4th Compton Symposium, AIP
  press",,"10.1063/1.53979",,"astro-ph",,"  New radio observations of the radio-jet X-ray binary Circinus X-1 over nearly
an entire 16.6-day orbit are presented. The source continues to undergo radio
flaring in the phase interval 0.0 - 0.2 and appears to be brightening since
observations in the early 1990s. The radio flux density is well correlated with
simultaneous soft X-ray monitoring from the XTE ASM, including a secondary
flare event around phases 0.6 --0.8 observed at both energies.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 14:39:49 GMT""}]","2009-10-30"
"cond-mat/9707020","Denis Golosov","Denis I. Golosov and Andrei E. Ruckenstein","Transverse Spin Diffusion in a Dilute Spin-Polarized Degenerate Fermi
  Gas","38 pages, Latex-Revtex, 9 PostScript figures. Minor revisions,
  misprints corrected, references added","J. Low Temp. Phys. vol. 112 (1998), 265-301.","10.1023/A:1022693917461",,"cond-mat",,"  We re-examine the calculation of the transverse spin-diffusion coefficient in
a dilute degenerate spin-polarized Fermi gas, for the case of s-wave
scattering. The special feature of this limit is that the dependence of the
spin diffusion coefficient on temperature and field can be calculated
explicitly with no further approximations. This exact solution uncovers a novel
intermediate behavior between the high field spin-rotation dominated regime in
which $D_{\bot} \propto H^{-2}$, $D_{\parallel} \propto T^{-2}$, and the
low-field isotropic, collision dominated regime with $D_{\bot} = D_{\parallel}
\propto T^{-2}$. In this intermediate regime, $D_{\bot ,\parallel} \propto
T^{-2}$ but $D_{\bot} \neq D_{\parallel}$. We also present an analytical
calculation of the self-energy in the s-wave approximation for a dilute
spin-polarized Fermi gas, at zero temperature. This emphasizes the failure of
the conventional Fermi-liquid phase space arguments for processes involving
spin flips. We close by reviewing the evidence for the existence of the
intermediate regime in experiments on weakly spin-polarized $^3{\rm He}$ and
$^3{\rm He} - ^4{\rm He}$ mixtures.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 21:07:26 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jun 1998 23:20:01 GMT""},{""version"":""v3"",""created"":""Sat, 13 Jun 1998 00:08:25 GMT""}]","2010-05-14"
"cond-mat/9707025","Dr. Andrew Ward","A. J. Ward and J. B. Pendry","The Theory of SNOM: A Novel Approach","19 pages, 11 figures. To be published in the Journal of Modern Optics",,"10.1080/09500349708230770",,"cond-mat",,"  In this paper we consider the application of electromagnetic theory to the
analysis of the Scanning Near-field Optical Microscope (SNOM) in order to
predict experimentally observable quantities such as the transmission or
reflection coefficients for a particular tip-surface configuration. In
particular we present the first application of a transfer matrix based
calculation to this challenging problem by using an adaptive co-ordinate
transformation to accurately model the shape of the SNOM tip.
  We also investigate the possibility of increasing the transmitted light
through the SNOM tip by introducing a metal wire into the centre of the tip.
This converts the tip into a co-axial cable. We show that, in principle, this
can dramatically improve the transmission characteristics without having a
detrimental effect on the resolution.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 16:45:51 GMT""}]","2015-06-25"
"cond-mat/9707026","Valery Rupasov","Valery I. Rupasov (Landau Institute)","Bethe ansatz approach to thermodynamics of superconducting magnetic
  alloys","4 pages, RevTex, to appear in PRL",,"10.1103/PhysRevLett.80.3368",,"cond-mat.supr-con cond-mat.str-el",,"  We derive thermodynamic Bethe ansatz equations for a model describing an
$U\to\infty$ Anderson impurity embedded in a BCS superconductor. The equations
are solved analytically in the zero-temperature limit, T=0. It is shown that
the impurities depress superconductivity in the Kondo limit, however at T=0 the
system remains in the superconducting state for any impurity concentration. In
the mixed-valence regime, an impurity contribution to the density of states of
the system near the Fermi level overcompensates a Cooper pairs weakening, and
superconductivity is enhanced.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 18:53:03 GMT""},{""version"":""v2"",""created"":""Tue, 3 Mar 1998 19:54:49 GMT""}]","2009-10-30"
"cond-mat/9707027","Eugene A. Demler","Silvio Rabello, Hiroshi Kohno, Eugene Demler, and Shou-Cheng Zhang","Microscopic Electron Models with Exact SO(5) Symmetry","5 pages, LATEX, 4 eps figs","Phys.Rev.Lett.80:3586,1998","10.1103/PhysRevLett.80.3586","SU-ITP 97/33","cond-mat.supr-con",,"  We construct a class of microscopic electron models with exact SO(5) symmetry
between antiferromagnetic and d-wave superconducting ground states. There is an
exact one-to-one correspondence between both single-particle and collective
excitations in both phases. SO(5) symmetry breaking terms can be introduced and
classified according to irreducible representations of the exact SO(5) algebra.
The resulting phase diagram and collective modes are identical to that of the
SO(5) nonlinear sigma model.
","[{""version"":""v1"",""created"":""Wed, 2 Jul 1997 21:18:34 GMT""}]","2009-01-23"
"cond-mat/9707029","Kontani Hiroshi","Hiroshi Kontani and Kosaku Yamada","Electronic State and Magnetic Susceptibility in Orbitally Degenerate
  (J=5/2) Periodic Anderson Model","4 pages, revtex, to be published in J. Phys. Soc. Jpn. (No.8)",,"10.1143/JPSJ.66.2232",,"cond-mat.str-el",,"  Magnetic susceptibility in a heavy fermion systemis composed of the Pauli
term (\chi_P) and the Van-Vleck term (\chi_V). The latter comes from the
interband excitation, where f-orbital degeneracy is essential. In this work, we
study \chi_P and \chi_V in the orbitally degenerate (J=5/2) periodic Anderson
model for both the metallic and insulating cases. The effect of the correlation
between f-electrons is investigated using the self-consistent second-order
perturbation theory. The main results are as follows. (i) Sixfold degenerate
model: both \chi_P and \chi_V are enhanced by a factor of 1/z (z is the
renormalization constant). (ii) Nondegenerate model: only \chi_P is enhanced by
1/z. Thus, orbital degeneracy is indispensable for enhancement of \chi_V.
Moreover, orbital degeneracy reduces the Wilson ratio and stabilizes a
nonmagnetic Fermi liquid state.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 04:05:36 GMT""}]","2009-10-30"
"cond-mat/9707030","Eugene A. Demler","E. Demler, A.J. Berlinsky, C. Kallin, G.B. Arnold, and M.R. Beasley","Proximity Effect and Josephson Coupling in the SO(5) Theory of High-Tc
  Superconductivity","4 pages, LATEX, 5 eps figs","Phys. Rev. Lett. 80, 2917 (1998)","10.1103/PhysRevLett.80.2917","SU-ITP 97/34","cond-mat.supr-con",,"  We consider proximity effect coupling in
Superconducting/Antiferromagnetic/Superconducting (S-A-S) sandwiches using the
recently developed SO(5) effective theory of high temperature
superconductivity. We find that, for narrow junctions, the A region acts like a
strong superconductor, and that there is a critical junction thickness which
depends on the effective SO(5) coupling constants and on the phase difference
across the junction, at which the A region undergoes a Freedericksz-like
transition to a state which is intermediate between superconductor and
antiferromagnet. For thick junctions, the current-phase relation is sinusoidal,
as in standard S-N-S and S-I-S junctions, but for thin junctions it shows a
sharp break in slope at the Freedericksz point.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 06:41:22 GMT""}]","2009-10-30"
"cond-mat/9707031","Chang","Ming-Che Chang and Hsin-Fei Meng","Resonant Optical Nonlinearity of Conjugated Polymers","Revtex, 9 pages, 4 ps figures, submitted to Phys. Rev. B",,"10.1103/PhysRevB.56.12277",,"cond-mat",,"  When the energy of a pump wave is in resonance with the exciton creation
energy, the electric susceptibility of a conjugated polymer in response to the
probe wave is altered by the exciton gas. In this paper, we calculate the
dependence of this change on the the exciton populations by the equation of
motion (EOM) method. The magnitude of optical nonlinearity is also influenced
by ambient temperature, by the extent of exciton wave functions, and by the
strength of electron-electron interaction. All of these factors can be easily
incorporated in the EOM approach systematically. Using the material parameters
for polydiacetylene (PDA), the optical Kerr coefficient $n_2$ obtained is about
$10^{-8} cm^2/W$, which is close to experimental value, and is four orders of
magnitude larger than the value in nonresonant pump experiments.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 07:56:34 GMT""}]","2009-10-30"
"cond-mat/9707032","Takuya Okabe","Takuya Okabe","Hund's-Rule Coupling Effect in Itinerant Ferromagnetism","19 pages, 10 figures, to appear in Prog.Theor.Phys",,"10.1143/PTP.98.331",,"cond-mat.str-el",,"  We present a general model which includes the ferromagnetic Kondo lattice and
the Hubbard model as special cases. The stability of the ferromagnetic state is
investigated variationally. We discuss the mechanism of ferromagnetism in
metallic nickel, emphasizing the importance of orbital degeneracy and the
effect of the Hund's-rule coupling.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 08:07:04 GMT""}]","2009-10-30"
"cond-mat/9707033","Julia Khalack","Ju.M. Khalack, V.M. Loktev, A.B. Nadtochii, I.V. Ostrovskii, and H.-G.
  Walter","Nonlinear dislocation dynamics and crystal sonoluminescence","19 pages, LaTeX, 6 figures",,,,"cond-mat.mtrl-sci",,"  The sonoluminescence of ionic semiconductors were studied. The main attention
is paid to threshold phenomena which accompany the light irradiation, namely
--- point defect creation and nonlinear ultrasound wave attenuation. The model
for description of processes under investigation which connects the
sonoluminescence excitation with the onset of point defects (vacancies and
intersticials) generation by moving under ultrasound action screw dislocation
with a jog. The attempt is made to estimate the parameters of crystals which
define the jog motion in its cristal relief.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 13:32:31 GMT""}]","2008-02-03"
"cond-mat/9707034","Claudio Castellano","C. Castellano, F. Corberi and M. Zannetti","Condensation vs. phase-ordering in the dynamics of first order
  transitions","15 pages, 13 figures. To be published in Phys. Rev. E",,"10.1103/PhysRevE.56.4973",,"cond-mat.stat-mech",,"  The origin of the non commutativity of the limits $t \to \infty$ and $N \to
\infty$ in the dynamics of first order transitions is investigated. In the
large-N model, i.e. $N \to \infty$ taken first, the low temperature phase is
characterized by condensation of the large wave length fluctuations rather than
by genuine phase-ordering as when $t \to \infty$ is taken first. A detailed
study of the scaling properties of the structure factor in the large-N model is
carried out for quenches above, at and below T_c. Preasymptotic scaling is
found and crossover phenomena are related to the existence of components in the
order parameter with different scaling properties. Implications for
phase-ordering in realistic systems are discussed.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 13:16:59 GMT""}]","2009-10-30"
"cond-mat/9707035","Olle Gunnarsson","O. Gunnarsson (Max-Planck-Institut fur Festkorperforschung, Stuttgart,
  Germany), E. Koch (Department of Physics, University of Illinois, Urbana)","Discrete Hubbard-Stratonovich transformations for systems with orbital
  degeneracy","4 pages, revtex, 1 eps figure, additional material avalable at
  http://librix.mpi-stuttgart.mpg.de/docs/ANDERSEN/fullerene/","Phys. Lett. A, 235 (1997) 530","10.1016/S0375-9601(97)00661-0",,"cond-mat.str-el",,"  A discrete Hubbard-Stratonovich transformation is presented for systems with
an orbital degeneracy $N$ and a Hubbard Coulomb interaction without multiplet
effects. An exact transformation is obtained by introducing an external field
which takes $N+1$ values. Alternative approximate transformations are
presented, where the field takes fewer values, for instance two values
corresponding to an Ising spin.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 15:27:51 GMT""}]","2009-10-30"
"cond-mat/9707036","Tanniemola B. Liverpool","T.B. Liverpool and M. Stapper (Max-Planck-Institute for Polymer
  Research, Mainz, Germany)","The scaling behaviour of screened polyelectrolytes","6 pages, 1 figure; changed title and slight modification to text","Europhysics Letters, vol 40, pp 485-490 (1997)","10.1209/epl/i1997-00492-x",,"cond-mat.stat-mech cond-mat.soft",,"  We present a field-theoretic renormalization group (RG) analysis of a single
flexible, screened polyelectrolyte chain (a Debye-H\""uckel chain) in a polar
solvent. We point out that the Debye-H\""uckel chain may be mapped onto a local
field theory which has the same fixed point as a generalised $n \to 1$ Potts
model. Systematic analysis of the field theory shows that the system is one
with two interplaying length-scales requiring the calculation of scaling
functions as well as exponents to fully describe its physical behaviour. To
illustrate this, we solve the RG equation and explicitly calculate the
exponents and the mean end-to-end length of the chain.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 15:42:51 GMT""},{""version"":""v2"",""created"":""Sun, 14 Dec 1997 16:28:28 GMT""}]","2009-10-30"
"cond-mat/9707044","Hugo Perez / Fisica Teorica","I. Cabrera and H. Perez Rojas (Grupo de F\'isica Te\'orica, Centro de
  Matem\'aticas y F\'isica Te\'orica, ICIMAF, Cuba, International Centre for
  Theoretical Physics)","$\lambda$-Type phase transition for a weakly interacting bose gas","16 pages, laTeX",,,,"cond-mat",,"  A mechanism generating a $\lambda$-type behavior in the specific heat of a
Bose gas near the critical temperature $T_c$ is discussed. It is shown to work
for a general class of quasiparticle spectra, and especially, for the
Bogoliubov's model of a weakly interacting Bose gas, where a
temperature-dependent quasi-particle spectrum is obtained.
","[{""version"":""v1"",""created"":""Thu, 3 Jul 1997 09:28:18 GMT""}]","2016-08-15"
