"alg-geom/9707015","Arnaud Beauville","Arnaud Beauville","Fano contact manifolds and nilpotent orbits","Plain TeX. Postscript file available at
  http://www..dmi.ens.fr/users/beauvill/",,,,"alg-geom math.AG",,"  A contact structure on a complex manifold M is a corank 1 subbundle F of T(M)
such that the bilinear form on F with values in the quotient line bundle
L=T(M)/F deduced from the Lie bracket of vector fields is everywhere
non-degenerate. In this paper we consider the case where M is a Fano manifold;
this implies that L is ample. If g is a simple Lie algebra, the unique closed
orbit in P(g) (for the adjoint action) is a Fano contact manifold; it is
conjectured that every Fano contact manifold is obtained in this way. A
positive answer would imply an analogous result for compact quaternion-Kahler
manifolds with positive scalar curvature, a longstanding question in Riemannian
geometry. In this paper we solve the conjecture under the additional
assumptions that the group of contact automorphisms of M is reductive, and that
the image of the rational map M - - -> P(H0(M,L)*) associated to L has maximum
dimension. The proof relies on the properties of the nilpotent orbits in a
semi-simple Lie algebra, in particular on the work of R. Brylinski and B.
Kostant.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 08:02:40 GMT""}]","2008-02-03"
"astro-ph/9707265","Andy Taylor","Andy Taylor (1), Alan Heavens (1), Bill Ballinger (1), Max Tegmark (2)
  ((1) IfA, Edinburgh, (2) IAS, Princeton)","Cosmological Parameter Estimation from the CMB","5 pages (Latex), 6 postscript figures included, Published in
  Proceedings of the Particle Physics and Early Universe Conference (PPEUC),
  University of Cambridge, 7-11 April 1997",,,,"astro-ph",,"  We discuss the problems of applying Maximum Likelihood methods to the CMB and
how one can make it both efficient and optimal. The solution is a generalised
eigenvalue problem that allows virtually no loss of information about the
parameter being estimated, but can allow a substantial compression of the data
set. We discuss the more difficult question of simultaneous estimation of many
parameters, and propose solutions. A much fuller account of most of this work
is available (Tegmark, Taylor & Heavens 1997)
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 12:53:29 GMT""}]","2007-05-23"
"astro-ph/9707266","Achim Weiss","P.A. Denissenkov (St. Petersburg & MSSSO), G.S. Da Costa (MSSSO), J.E.
  Norris (MSSSO), A. Weiss (MPA)","The puzzling MgAl anticorrelation in globular-cluster red giants:
  primordial plus deep mixing scenario?","22 pages, 8 figures included; submitted to A&A",,,,"astro-ph",,"  Star-to-star abundance variations of C, N, O, Na and Al in globular-cluster
red giants have been recently supplemented by the finding that [Mg/Fe] is
depleted in stars with extremely large [Al/Fe] (Shetrone 1996a). This and other
new spectroscopic results allow us to test current models of stellar evolution
and nucleosynthesis, as well as those of the formation and chemical enrichment
of globular clusters. In an effort to explain self-consistently these
observations we have considered two possibilities: (1) a deep mixing scenario
which assumes that in red giants some kind of (extra)mixing transports products
of nuclear reactions from the hydrogen burning shell (HBS) to the base of the
convective envelope; and (2) a combination of primordial and deep mixing
scenarios. It is shown that (1) cannot account for the anticorrelation of
[Mg/Fe] vs. [Al/Fe] without additional ad hoc assumptions, among which we
identify a strong but still undetected low energy resonance in the reaction
24Mg(p,gamma)25Al, and episodical increases of the HBS temperature up to the
value T approx. 74x10^6 K. In (2) intermediate mass AGB stars are assumed to
produce the decreased 24Mg and increased 25Mg initial abundances in some
globular-cluster low mass stars and Al is synthesized at the expense of 25Mg in
the HBS and transported to the surface of the red giant by extramixing. We
discuss advantages and deficiencies of both scenarios and propose some
observational tests.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 13:14:09 GMT""}]","2007-05-23"
"astro-ph/9707267","Daniel Cormier","D. Boyanovsky, D. Cormier, H.J. de Vega, R. Holman, S. P. Kumar","Self-Consistent Dynamics of Inflationary Phase Transitions","26 pages, 5 epsf figures, to appear in the Proceedings of SEWM'97",,,,"astro-ph gr-qc hep-ph",,"  The physics of the inflationary universe requires the study of the out of
equilibrium evolution of quantum fields in curved spacetime. We present the
evolution for both the geometry and the matter (described by the quantum
inflaton field) by means of the non-perturbative large N limit combined with
semi-classical gravitational dynamics including the back-reaction of quantum
fluctuations self-consistently for a new inflation scenario. We provide a
criterion for the validity of the classical approximation and a full analysis
of the case in which spinodal quantum fluctuations drive the evolution of the
scale factor. Under carefully determined conditions, we show that the full
field equations may be well approximated by those of a single composite field
which obeys the classical equation of motion in all cases. The de Sitter stage
is found to be followed by a matter dominated phase. We compute the spectrum of
scalar density perturbations and argue that the spinodal instabilities are
responsible for a `red' spectrum with more power at longer wavelengths. A
criterion for the validity of these models is provided and contact with the
reconstruction program is established.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 14:33:47 GMT""}]","2007-05-23"
"astro-ph/9707268","Georg Raffelt","Georg G. Raffelt (MPI Physics, Munich)","Astrophysical axion bounds: An update","8 pages, including 1 eps figure, Contribution to the proceedings of
  ""Beyond the Desert"", Ringberg Castle, Tegernsee, June 8-14, 1997. In
  replacement: Experimental sensitivity range in figure corrected, references
  updated",,,,"astro-ph",,"  The observed properties of stars and especially the neutrino signal of the
supernova 1987A provide an upper limit to the axion mass, while the age and
expansion rate of the universe provide a lower limit. There remains a ""window
of opportunity"" 10^{-5} eV < m_a < 10^{-2} eV, with large uncertainties on
either side, where axions could still exist and where they would provide a
significant fraction or all of the cosmic dark matter. The current status of
this axion window is reviewed.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 14:58:05 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 13:33:16 GMT""}]","2008-02-03"
"astro-ph/9707269","David A. White","D.A. White (1), C. Jones (2) and W. Forman (2) ((1) Institute of
  Astronomy, Cambridge, UK (2) Smithsonian Astrophysical Observatory,
  Cambridge, MA, U.S.A)","An investigation of cooling flows and general cluster properties from an
  X-ray image deprojection analysis of 207 clusters of galaxies","MNRAS accepted. tex files and encapsulated figures","Mon.Not.Roy.Astron.Soc. 292 (1997) 419","10.1093/mnras/292.2.419",,"astro-ph",,"  We present an X-ray image deprojection analysis of Einstein Observatory
imaging data on 207, clusters of galaxies. The resulting radial profiles for
luminosity, temperature, and electron density variations are determined from
the cluster surface-brightness profiles according to gravitational potential
constraints from average Tx and Vopt observations. This enables us to determine
cooling-flow and other cluster properties, such as baryon fractions, S-Z
microwave decrements, and Thomson depths. We have compiled a catalogue of the
detected cooling flows, and investigated their effects on general cluster
properties. Self-consistent correlations between the cluster X-ray luminosity,
temperature, and optical velocity-dispersion, are determined accounting for
errors in both dimensions of the data. These fits indicate that the
temperatures of clusters are isothermal and that they have spectral beta-values
consistent with unity.
  We find that the X-ray Lx, Tx, and optical Vopt relations depend
significantly on the cooling flow mass-deposition rate, through differences in
the density profiles. Clusters of similar mass-deposition rate exhibit
self-similar density profiles, with larger cooling flows showing higher central
densities. This leads to scatter in the Lx related correlations within the Lx,
Tx and Vopt plane. The segregation in density leads to dispersion in
`half-light radii' and baryon fractions. The baryon fraction in the cores of
cooling flow clusters appears to be higher, but all clusters appear to rise to
a concordant value of greater than 10 percent at 1 Mpc. Thus, clusters are
inconsistent with primordial nucleosynthesis baryon fraction, for a flat
Universe, of 6 percent.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 14:25:30 GMT""}]","2015-06-24"
"astro-ph/9707270","Fernando de Pablos Cano","J. Cepa and F. de Pablos (Instituto de Astrofisica de Canarias)","Star formation rates, efficiencies and initial mass functions in spiral
  galaxies (I Method)","Latex file (26 pages), uses l-aa.sty, 18 Postscript figures,
  submitted for publication in Astronomy and Astrophysics",,,,"astro-ph",,"  A new method of evaluating relative (arm with respect to the interarm disk)
star formation rates and relative star formation efficiencies, together with
spiral arm-amplitudes, as a function of the galactocentric radius, using
broad-band photometry is derived. The classical method for obtaining star
formation rates from H_alpha photometry is discussed, and a new method is
derived for diagnosing the possible presence of biased star formation due to
different initial mass functions in the arms and in the interarm disk. As an
example, these methods are applied to the spiral galaxies NGC 4321 and NGC
4254, obtaining their arm amplitudes, relative arm/interarm star formation
efficiencies, and relative arm/interarm initial mass functions for each arm, as
a function of the galactocentric radius. Both objects present evidence of
massive star formation triggering in the spiral arms consistent with the spiral
density-wave theory, and a different initial mass function in the arms from
that in the rest of the disk, in the sense of favoring a larger fraction of
massive stars in the arms. This biased star formation is present in the zones
of the arms where there is triggering of massive star formation, and is then
related to, and probably caused, by the density-wave system. However, due to
this biased star formation, the spiral arms of the galaxies studied do not
trigger the formation of a larger total mass of stars (of all spectral types)
with respect to the interarm disk.
","[{""version"":""v1"",""created"":""Thu, 24 Jul 1997 15:29:35 GMT""}]","2009-09-25"
"cmp-lg/9707015","Thorsten Brants","Thorsten Brants, Wojciech Skut, and Brigitte Krenn (Computational
  Linguistics, Universitity of the Saarland, Germany)","Tagging Grammatical Functions","11 pages, LaTeX, uses aclap.sty, psfig.sty, and rotate.sty",,,,"cmp-lg cs.CL",,"  This paper addresses issues in automated treebank construction. We show how
standard part-of-speech tagging techniques extend to the more general problem
of structural annotation, especially for determining grammatical functions and
syntactic categories. Annotation is viewed as an interactive process where
manual and automatic processing alternate. Efficiency and accuracy results are
presented. We also discuss further automation steps.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 16:13:11 GMT""}]","2008-02-03"
"cond-mat/9707244","Jose Ferreira Mendes","J.F.F. Mendes and M. A. Santos (Departamento de Fisica, Universidade
  do Porto, Portugal)","Short time dynamics of a two dimensional majority vote model","4 pages, LaTeX (RevTeX)",,"10.1103/PhysRevE.57.108",,"cond-mat",,"  Short time Monte Carlo methods are used to study the nonequilibrium
ferromagnetic phase transition in a majority vote model in two dimensions. The
existance of an initial critical slip regime is verified. The measured values
of dyamic exponents $z=2.170(5)$ and $\theta = 0.191(2)$ are in excellent
agreement with those of the kinetic Ising model universality class.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 16:37:32 GMT""}]","2009-10-30"
"cond-mat/9707245","Miguel Moscoso Castro","A. Wacker, M. Moscoso, M. Kindelan, and L. L. Bonilla","Current-voltage characteristic and stability in resonant-tunneling
  n-doped semiconductor superlattices","Tex file and 3 postscript figures","Phys. Rev. B 55, 2466 (1997)","10.1103/PhysRevB.55.2466",,"cond-mat",,"  We review the occurrence of electric-field domains in doped superlattices
within a discrete drift model. A complete analysis of the construction and
stability of stationary field profiles having two domains is carried out. As a
consequence, we can provide a simple analytical estimation for the doping
density above which stable stable domains occur. This bound may be useful for
the design of superlattices exhibiting self-sustained current oscillations.
Furthermore we explain why stable domains occur in superlattices in contrast to
the usual Gunn diode.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 17:02:26 GMT""}]","2009-10-30"
"cond-mat/9707246","Miguel Moscoso Castro","J. Kastrup, R. Hey, and K.H. Ploog, H. T. Grahn, L. L. Bonilla, M.
  Kindelan, M. Moscoso, A. Wacker","Electrically tunable GHz oscillations in doped GaAs-AlAs superlattices","Tex file (20 pages) and 16 postscript figures","Phys. Rev. B 55, 2476 (1997)","10.1103/PhysRevB.55.2476",,"cond-mat",,"  Tunable oscillatory modes of electric-field domains in doped semiconductor
superlattices are reported. The experimental investigations demonstrate the
realization of tunable, GHz frequencies in GaAs-AlAs superlattices covering the
temperature region from 5 to 300 K. The orgin of the tunable oscillatory modes
is determined using an analytical and a numerical modeling of the dynamics of
domain formation. Three different oscillatory modes are found. Their presence
depends on the actual shape of the drift velocity curve, the doping density,
the boundary condition, and the length of the superlattice. For most bias
regions, the self-sustained oscillations are due to the formation, motion, and
recycling of the domain boundary inside the superlattice. For some biases, the
strengths of the low and high field domain change periodically in time with the
domain boundary being pinned within a few quantum wells. The dependency of the
frequency on the coupling leads to the prediction of a new type of tunable GHz
oscillator based on semiconductor superlattices.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 17:28:39 GMT""}]","2009-10-30"
"cond-mat/9707247","Martin Rost","Martin Rost, Joachim Krug","Damping of Growth Oscillations in Molecular Beam Epitaxy: A
  Renormalization Group Approach","17 Pages Latex",,"10.1051/jp1:1997105",,"cond-mat.stat-mech",,"  The conserved Sine-Gordon Equation with nonconserved shot noise is used to
model homoepitaxial crystal growth. With increasing coverage the renormalized
pinning potential changes from strong to weak. This is interpreted as a
transition from layer-by-layer to rough growth. The associated length and time
scales are identified, and found to agree with recent scaling arguments. A
heuristically postulated nonlinear term $\nabla^2 (\nabla h)^2$ is created
under renormalization.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 16:39:57 GMT""}]","2009-10-30"
"cond-mat/9707248","Gilson Carneiro","Gilson Carneiro","Equilibrium vortex-line configurations and critical currents in thin
  films under a parallel field","11 pages, REVTEX, 9 postscript figures",,"10.1103/PhysRevB.57.6077",,"cond-mat.supr-con",,"  Vortex-line equilibrium configurations and critical currents for type-II
superconducting films at zero-temperature are studied theoretically. The films
are assumed to be of thickness less than or equal to the penetration depth,
free of pinning by imperfections, and to be subjected to a magnetic field
parallel to the film surfaces and to a transport current perpendicular to the
field. By numerical minimization of the exact London theory energy expression,
using simulated annealing techniques, the equilibrium configurations are
determined with great accuracy over a wide range of fields and currents. These
consist of chains of straight vortex-lines whose number depends both on the
field and on the current. Transitions involving a change by one in the chain
number are found to take place either if the field is increased at zero
transport current or if the transport current is increased at constant field.
At the transitions, there is a considerable rearrangement in the vortex-line
positions and a small, discontinuous, change in their number. The equilibrium
configurations with chain numbers that are not too small form a nearly perfect
triangular lattice, centered with respect to the film surfaces. However, small
deviations from this arrangement are found to be important in determining the
behavior near the transition and when the transport current approaches the
critical current. It is found that the critical current has a a non-monotonic
dependence on the field. The zero-temperature equilibrium phase diagram in the
field-transport current plane is reported.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 18:49:13 GMT""}]","2009-10-30"
"cond-mat/9707249","Boris Fine","Boris V. Fine (Physics Dept., University of Illinois at
  Urbana-Champaign)","NMR Spin-Spin Relaxation as Kinetics in Spin Phase Space","4 pages, 1 Postscript figure, submitted to PRL","Phys. Rev. Lett., v. 79, p. 4673 (1997)","10.1103/PhysRevLett.79.4673","P-97-07-022","cond-mat",,"  A new approach is presented that treats NMR spin-spin relaxation as kinetics
in spin phase space. The approach is applied to free induction decay (FID) in
solids containing equivalent nuclear spins 1/2. The description obtained does
not involve adjustable parameters. As an example, the calculation is performed
for the fluorine FID in calcium fluoride, and the results are in good agreement
with experiment.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 19:07:19 GMT""}]","2009-10-30"
"cond-mat/9707250","Kyungsun Moon","Kyungsun Moon and Kieran Mullen","An accurate effective action for `baby' to `adult' skyrmions","13 pages (Revtex) + 3 ps-figures",,"10.1103/PhysRevB.57.14833",,"cond-mat.mes-hall",,"  Starting with a Chern-Simons theory, we derive an effective action for
interacting quantum Hall skyrmions that takes into account both large-distance
physics and short-distance details as well. We numerically calculate the
classical static skyrmion profile from this action and find excellent agreement
with other, microscopic calculations over a wide range of skyrmion sizes
including the experimentally relevant one. This implies that the essential
physics of this regime might be captured by a continuum classical model rather
than resorting to more microscopic approaches. We also show that the skyrmion
energy closely follows the formula suggested earlier by Sondhi et al. for a
broad parameter range of interest as well.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 22:22:23 GMT""}]","2009-10-30"
"cond-mat/9707251","Vilen Melik-Alaverdian","V. Melik-Alaverdian, N. E. Bonesteel, G. Ortiz","Quantum Hall Fluids on the Haldane Sphere: A Diffusion Monte Carlo Study","13 pages, Revtex + psfig, figures included",,"10.1103/PhysRevLett.79.5286",,"cond-mat.mes-hall",,"  A generalized diffusion Monte Carlo method for solving the many-body
Schr\""odinger equation on curved manifolds is introduced and used to perform a
`fixed-phase' simulation of the fractional quantum Hall effect on the Haldane
sphere. This new method is used to study the effect of Landau level mixing on
the $\nu=1/3$ energy gap and the relative stability of spin-polarized and
spin-reversed quasielectron excitations.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 22:43:40 GMT""}]","2009-10-30"
