"adap-org/9707004","Damian Zanette","D.H. Zanette and A.S. Mikhailov (Fritz-Haber-Institut der
  Max-Planck-Gesellschaft)","Condensation in Globally Coupled Populations of Chaotic Dynamical
  Systems","11 pages, 4 figures, revtex",,"10.1103/PhysRevE.57.276",,"adap-org nlin.AO",,"  The condensation transition, leading to complete mutual synchronization in
large populations of globally coupled chaotic Roessler oscillators, is
investigated. Statistical properties of this transition and the cluster
structure of partially condensed states are analyzed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:50:27 GMT""}]","2009-10-30"
"cmp-lg/9707014","Rajeev Agarwal","Rajeev Agarwal (Texas Instruments, Inc.)","Towards a PURE Spoken Dialogue System for Information Access","8 pages, 2 encapsulated postscript figures, uses aclap.sty","Proceedings of the ACL/EACL Workshop on ""Interactive Spoken Dialog
  Systems: Bringing Speech and NLP Together in Real Applications,"" Madrid,
  Spain, pp. 90-97, 1997.",,,"cmp-lg cs.CL",,"  With the rapid explosion of the World Wide Web, it is becoming increasingly
possible to easily acquire a wide variety of information such as flight
schedules, yellow pages, used car prices, current stock prices, entertainment
event schedules, account balances, etc. It would be very useful to have spoken
dialogue interfaces for such information access tasks. We identify portability,
usability, robustness, and extensibility as the four primary design objectives
for such systems. In other words, the objective is to develop a PURE (Portable,
Usable, Robust, Extensible) system. A two-layered dialogue architecture for
spoken dialogue systems is presented where the upper layer is
domain-independent and the lower layer is domain-specific. We are implementing
this architecture in a mixed-initiative system that accesses flight
arrival/departure information from the World Wide Web.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 20:38:56 GMT""}]","2008-02-03"
"cond-mat/9707230","Boris Khoruzhenko","Ilya Ya. Goldsheid and Boris A. Khoruzhenko","Distribution of Eigenvalues in Non-Hermitian Anderson Model","6 pages (LaTeX)","Phys. Rev. Lett. Vol.80 (1998) 2897-2900","10.1103/PhysRevLett.80.2897",,"cond-mat",,"  We develop a theory which describes the behaviour of eigenvalues of a class
of one-dimensional random non-Hermitian operators introduced recently by Hatano
and Nelson. Under general assumptions on random parameters we prove that the
eigenvalues are distributed along a curve in the complex plane. An equation for
the curve is derived and the density of complex eigenvalues is found in terms
of spectral characteristics of a ``reference'' hermitian disordered system.
Coexistence of the real and complex parts in the spectrum and other generic
properties of the eigenvalue distribution for the non-Hermitian problem are
discussed.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 17:26:35 GMT""}]","2009-10-30"
"cond-mat/9707231","Dima Shepelyansky","Bertrand Georgeot and Dima L. Shepelyansky","Breit-Wigner width and participation ratio in finite interacting Fermi
  systems","revtex, 4 pages, 4 figures",,"10.1103/PhysRevLett.79.4365",,"cond-mat",,"  For many-body Fermi systems we determine the dependence of the Breit-Wigner
width and inverse participation ratio (IPR) on interaction strength U > Uc and
energy excitation dE > dE_ch when a crossover from Poisson to Wigner-Dyson
P(s)-statistics takes place. At U > Uc the eigenstates are composed of a large
number of noninteracting states and even for U < Uc there is a regime where
P(s) is close to the Poisson distribution but IPR >> 1.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 18:25:48 GMT""}]","2009-10-30"
"cond-mat/9707232","Michael M. Fogler","M. M. Fogler, A. Yu. Dobin, B. I. Shklovskii (University of Minnesota)","Localization length at the resistivity minima of the quantum Hall effect","moderate changes in Sec.IV and VI","Phys. Rev. B 57, 4614 (1998).","10.1103/PhysRevB.57.4614",,"cond-mat.mes-hall",,"  The resistivity minima of the quantum Hall effect arise due to the
localization of the electron states at the Fermi energy, when it is positioned
between adjacent Landau levels. In this paper we calculate the localization
length $\xi$ of such states at even filling factors $\nu = 2 N$. The
calculation is done for several models of disorder (``white-noise,''
short-range, and long-range random potentials). We find that the localization
length has a power-law dependence on the Landau level index, $\xi \propto
N^\alpha$ with the exponent $\alpha$ between one and ${10/3}$, depending on the
model. In particular, for a ``white-noise'' random potential $\xi$ roughly
coincides with the classical cyclotron radius. Our results are in reasonable
agreement with experimental data on low and moderate mobility samples.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 20:22:33 GMT""},{""version"":""v2"",""created"":""Sun, 5 Oct 1997 23:43:37 GMT""}]","2009-10-30"
"cond-mat/9707233","Robert Eder","R. Eder, W. Hanke, and S. C. Zhang","From Antiferromagnetism to Superconductivity: Numerical Evidence for
  SO(5) Symmetry","Revtex file, 7 pages and 7 eps-figures",,,,"cond-mat.str-el",,"  In this work, we present numerical results which support SO(5) symmetry as a
concept unifying superconductivity and antiferromagnetism in the
high-temperature superconductors. Using exact cluster diagonalization, we
verify the recently proposed SO(5) multiplet structures for a widely used
microscopic model, the t-J model. Our results show that the d-wave
superconducting ground states away from half-filling are obtained from the
higher spin states at half-filling through SO(5) rotations, that the dominant
low energy resonance in the dynamical spin correlation function corresponds to
a `pi-resonance' in the entire low doping region, and that the SO(5) symmetry
is robust against inclusion of longer ranged Coulomb repulsion and next-nearest
neighbor hopping.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 20:58:25 GMT""}]","2008-02-03"
"cond-mat/9707234","Leonid P. Pryadko","Leonid P. Pryadko and Karen Chaltikian","Network of edge states: random Josephson junction array description","revtex, 4 double-column pages, 2 ps figures included with epsf. To be
  published in PRL. Changes include: clarified the concept of duality, added
  one reference, and substantially rewritten the ending of the manuscript","Phys. Rev. Lett., vol. 80, pp. 584-7 (1998).","10.1103/PhysRevLett.80.584",,"cond-mat.mes-hall cond-mat.str-el",,"  We construct a generalization of the Chalker-Coddington network model to the
case of fractional quantum Hall effect, which describes the tunneling between
multiple chiral edges. We derive exact local and global duality symmetries of
this model, and show that its infrared properties are identical to those of
disordered planar Josephson junction array (JJA) in a weak magnetic field,
which implies the same universality class. The zero frequency Hall resistance
of the system, which was expressed through exact correlators of the tunneling
fields, is shown to be quantized both in the quantum Hall limit and in the
limit of perfect Hall insulator.
","[{""version"":""v1"",""created"":""Tue, 22 Jul 1997 21:07:51 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 19:34:58 GMT""}]","2008-02-03"
"cond-mat/9707235","Yong-Jihn Kim","Mi-Ae Park, M. H. Lee, and Yong-Jihn Kim","Impurity scattering in a d-wave superconductor","12 pages and 1 figure, PlainTex, submitted to Mod. Phys. Lett. B, For
  more information, please see ""http://taesan.kaist.ac.kr/~yjkim""",,"10.1142/S0217984997000888",,"cond-mat.supr-con",,"  The influence of (non-magnetic and magnetic) impurities on the transition
temperature of a d-wave superconductor is studied anew within the framework of
BCS theory. Pairing interaction decreases linearly with the impurity
concentration. Accordingly $T_{c}$ suppression is proportional to the
(potential or exchange) scattering rate, $1/\tau$, due to impurities. The
initial slope versus $1/\tau$ is found to depend on the superconductor contrary
to Abrikosov-Gor'kov type theory. Near the critical impurity concentration
$T_{c}$ drops abruptly to zero. Because the potential scattering rate is
generally much larger than the exchange scattering rate, magnetic impurities
will also act as non-magnetic impurities as far as the $T_{c}$ decrease is
concerned. The implication for the impurity doping effect in high $T_{c}$
superconductors is also discussed.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 01:22:56 GMT""}]","2009-10-30"
"cond-mat/9707236","Wang Jian","Jos\'e-Luis Mozos, C.C. Wan, Gianni Taraschi, Jian Wang, and Hong Guo","Resonance transmission through a single atom","LaTeX",,,,"cond-mat",,"  When a single atom is sandwiched in between two electrodes, an atomic
tunneling device may be realized depending on the distance between the atom and
the electrodes. We have performed first-principles pesudopotential calculation
in conjunction with a three-dimensional evaluation of the quantum scattering
matrix for such a device. We predict the quantum conductance and resonance
transmission properties of the Si and Al atomic tunneling devices.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 06:42:28 GMT""}]","2007-05-23"
"cond-mat/9707237","Gongwen Peng","Gongwen Peng and Takao Ohta","Logarithmic density relaxation in compaction of granular materials","12 pages, RevTex, 5 figures in postscript",,"10.1103/PhysRevE.57.829",,"cond-mat.soft",,"  On the basis of physical considerations we propose a one-dimensional discrete
lattice model for the density relaxation of granular materials under tapping.
Solving the difference equation numerically, we find a logarithmic
time-dependence of the density relaxation. This is in agreement with
experimental results of Knight et al. [Phys. Rev. E 51, 3957(1995)]. The origin
of this anomalous relaxation is elucidated analytically by solving the equation
of its continuum version asymptotically in time.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 07:48:55 GMT""}]","2009-10-30"
"cond-mat/9707238","pascal Simon","P. Simon","Critical Behavior of Coupled q-state Potts Models under Weak Disorder","7 pages + 1 PS figure (Latex)",,"10.1209/epl/i1998-00200-6",,"cond-mat.dis-nn",,"  We investigate the effect of weak disorder on different coupled $q$-state
Potts models with $q\le 4$ using two loops renormalisation group. This study
presents new examples of first order transitions driven by randomness. We found
that weak disorder makes the models decouple. Therefore, it appears that no
relations emerge, at a perturbation level, between the disordered $q_1\times
q_2$-state Potts model and the two disordered $q_1$, $q_2$-state Potts models
($q_1\ne q_2$), despite their central charges are similar according to recent
numerical investigations. Nevertheless, when two $q$-state Potts models are
considered ($q>2$), the system remains always driven in a strong coupling
regime, violating apparently the Imry-Wortis argument.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 09:24:26 GMT""}]","2009-10-30"
"cond-mat/9707239","Kazuo Hida","Kazuo Hida","Density Matrix Renormalization Group Study of Random Dimerized
  Antiferromagnetic Heisenberg Chains","6 pages, 8 figures, to be published in Journal of the Physical
  Society of Japan","J. Phys. Soc. Jpn. Vol. 66, (1997) 3237","10.1016/S0304-8853(97)00372-7","SUPH-97-CH001","cond-mat.dis-nn cond-mat.stat-mech cond-mat.str-el",,"  The effect of dimerization on the random antiferomagnetic Heisenberg chain
with spin 1/2 is studied by the density matrix renormalization group method.
The ground state energy, the energy gap distribution and the string order
parameter are calculated. Using the finite size scaling analysis, the
dimerization dependence of the these quantities are obtained. The ground state
energy gain due to dimerization behaves as $u^a$ with $a > 2$ where $u$ denotes
the degree of dimerization, suggesting the absence of spin-Peierls instability.
It is explicitly shown that the string long range order survives even in the
presence of randomness. The string order behaves as $u^{2\beta}$ with $\beta
\sim 0.37$ in agreement with the recent prediction of real space
renormalization group theory ($\beta =(3-\sqrt{5})/2 \simeq 0.382$). The
physical picture of this behavior in this model is also discussed.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 10:57:52 GMT""},{""version"":""v2"",""created"":""Thu, 24 Jul 1997 02:31:33 GMT""}]","2009-10-30"
"cond-mat/9707240","J. Wilder","P. Haronska, J. Wilder, T. A. Vilgis","On the elasticity of a single polyelectrolyte chain","to be published in J. de Phys. II",,"10.1051/jp2:1997186",,"cond-mat.stat-mech",,"  This paper discusses the elastic behavior of a single polyelectrolyte chain.
A simple scaling analysis as in self avoiding walk chains are not possible,
because three interplaying relevant length scales are involved, i.e., the Debye
screening length and the Pincus blob size. Therefore a selfconsistent
computation of an effective variational propagator is employed. It is shown
that the elastic force f is proportional to the end to end distance R for small
f. For larger forces we find a new regime, characterized by deformations larger
than a computed electrostatic ""blob size"". These results are supported by
simulations and intuitive physical arguments.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 10:29:29 GMT""}]","2009-10-30"
"cond-mat/9707241","Roland Combescot","R. Combescot","Multiband model of high Tc superconductors","11 pages, revtex, 1 figures","Phys. Rev. B, 57 (1998) 8632","10.1103/PhysRevB.57.8632",,"cond-mat.supr-con",,"  We propose an extension to other high T_{c } compounds of a model introduced
earlier for YBCO. In the ''self-doped'' compounds we assume that the doping
part (namely the BiO, HgO, TlO planes in BSCCO, HBCCO, TBCCO respectively) is
metallic, which leads to a multiband model. This assumption is supported by
band structure calculations. Taking a repulsive pairing interaction between
these doping bands and the CuO_{2} bands leads to opposite signs for the order
parameter on these bands and to nodes whenever the Fermi surfaces of these
bands cross. We show that in BSCCO the low temperature dependence of the
penetration depth is reasonably accounted for. In this case the nodes are not
located near the 45^{o} direction, which makes the experimental determination
of the node locations an important test for our model. The situation in HBCCO
and TBCCO is rather analogous to BSCCO. We consider the indications given by
NMR and find that they rather favor a metallic character for the doping bands.
Finally we discuss the cases of NCCO and LSCO which are not ''self-doped'' and
where our model does not give nodes.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 11:09:15 GMT""}]","2009-10-30"
"cond-mat/9707242","Max Petersen","Martin Fuchs, Michel Bockstedte, Eckhard Pehlke, Matthias Scheffler","Pseudopotential study of binding properties of solids within generalized
  gradient approximations: The role of core-valence exchange-correlation","13 pages, 6 figures, submitted to Phys. Rev. B, other related
  publications can be found at http://www.rz-berlin.mpg.de/th/paper.html",,"10.1103/PhysRevB.57.2134",,"cond-mat.mtrl-sci",,"  In ab initio pseudopotential calculations within density-functional theory
the nonlinear exchange-correlation interaction between valence and core
electrons is often treated linearly through the pseudopotential. We discuss the
accuracy and limitations of this approximation regarding a comparison of the
local density approximation (LDA) and generalized gradient approximations
(GGA), which we find to describe core-valence exchange-correlation markedly
different. (1) Evaluating the binding properties of a number of typical solids
we demonstrate that the pseudopotential approach and namely the linearization
of core-valence exchange-correlation are both accurate and limited in the same
way in GGA as in LDA. (2) Examining the practice to carry out GGA calculations
using pseudopotentials derived within LDA we show that the ensuing results
differ significantly from those obtained using pseudopotentials derived within
GGA. As principal source of these differences we identify the distinct behavior
of core-valence exchange-correlation in LDA and GGA which, accordingly,
contributes substantially to the GGA induced changes of calculated binding
properties.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 13:57:46 GMT""}]","2009-10-30"
"cond-mat/9707243","Gqdi Oron","G. Oron and H. J. Herrmann","Exact calculation of force networks in granular piles","Submitted to PRE (accepted)","Phys. Rev. E, 58(2):2079-2089, 1998","10.1103/PhysRevE.58.2079",,"cond-mat.dis-nn",,"  We present calculations of forces for two dimensional static sandpile models.
Using a symbolic calculation software we obtain exact results for several
different orientations of the lattice and for different types of supporting
surfaces. The model is simple, supposing spherical, identical, rigid particles
on a regular triangular lattice, without friction and with unilateral
spring-like contacts. Special attention is given to the stress tensor and
pressure on the base of the pile. We show that orientation of the lattice and
the characteristics of the supporting surface have a strong influence on the
physical properties of the pile. Our results agree well with numerical
simulations done on similar systems and show, in some specific cases, a dip
i.e. a depression under the apex of the pile. We also estimate that the
algorithm we have developed can be easily adapted to other configurations and
models of granulates and can be used in other physical cases where piecewise
linear systems are encountered.
","[{""version"":""v1"",""created"":""Wed, 23 Jul 1997 14:38:42 GMT""},{""version"":""v2"",""created"":""Sun, 12 Apr 1998 17:00:14 GMT""},{""version"":""v3"",""created"":""Thu, 15 Oct 1998 09:25:34 GMT""}]","2009-10-30"
