"alg-geom/9707016","Sean Keel","Sean Keel and James McKernan","Rational Curves on Quasi-Projective Surfaces","159 pages",,,,"alg-geom math.AG",,"  The main result is that a quasi-projective surface has negative log Kodaira
dimension (i.e. no log pluricanonical sections) iff it is dominated by images
of the affine line. This follows from our main intermediate result, that the
smooth locus of a log Fano surface is rationally connected. We also give a
classification of all but a bounded family of rank one log del Pezzo surfaces.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 17:26:45 GMT""}]","2008-02-03"
"astro-ph/9707291","Dirk Petry","D. Petry, S.M. Bradbury, A. Konopelko, D. Kranich, B.C. Raubenheimer
  and the HEGRA collaboration","AGN sudies above 1.5 TeV with the HEGRA 5 m^2 Cherenkov Telescope
  (Sources observed: Mkn 421, Mkn 501, MS 0116+319, PKS 2209+236, NGC 315 and W
  Comae)","4 pages, to be published in the Proceedings of the 25th International
  Cosmic Ray Conference, Durban, August 1997",,,,"astro-ph",,"  The HEGRA 5 m^2 air Cherenkov telescope (CT1) was used to search for
gamma-ray emission above 1.5 TeV from a series of low redshift AGN (Mkn 421,
Mkn 501, MS 0116+319, PKS 2209+236, NGC 315 and W Comae). Here we present
results from a total of 383 hours of ON-source observations at zenith angles up
to 35$^\circ$ made between February 1996 and April 1997 showing positive
detections of Mkn 421 and Mkn 501 and upper limits on the other objects'
emission. More recent results from observations of Mkn 421 und Mkn 501 will be
added at the conference.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 14:48:10 GMT""}]","2007-05-23"
"astro-ph/9707292","Jaume Garriga","Jaume Garriga and Alexander Vilenkin","Recycling universe","43 pages, 10 figures","Phys.Rev. D57 (1998) 2230-2244","10.1103/PhysRevD.57.2230",,"astro-ph gr-qc",,"  If the effective cosmological constant is non-zero, our observable universe
may enter a stage of exponential expansion. In such case, regions of it may
tunnel back to the false vacuum of an inflaton scalar field, and inflation with
a high expansion rate may resume in those regions. An ``ideal'' eternal
observer would then witness an infinite succession of cycles from false vacuum
to true, and back. Within each cycle, the entire history of a hot universe
would be replayed. If there were several minima of the inflaton potential, our
ideal observer would visit each one of these minima with a frequency which
depends on the shape of the potential. We generalize the formalism of
stochastic inflation to analyze the global structure of the universe when this
`recycling' process is taken into account.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 14:05:05 GMT""}]","2009-10-30"
"chao-dyn/9707021","Ophir Auslaender","O. M. Auslaender and S. Fishman (Physics department - Technion, Haifa,
  Israel)","Exact Eigenfunctions of a Chaotic System","53 pages LaTeX, 10 Postscript figures","Physica D 128, 180 (1999).",,,"chao-dyn nlin.CD",,"  The interest in the properties of quantum systems, whose classical dynamics
are chaotic, derives from their abundance in nature. The spectrum of such
systems can be related, in the semiclassical approximation (SCA), to the
unstable classical periodic orbits, through Gutzwiller's trace formula. The
class of systems studied in this work, tiling billiards on the pseudo-sphere,
is special in this correspondence being exact, via Selberg's trace formula. In
this work, an exact expression for Green's function (GF) and the eigenfunctions
(EF) of tiling billiards on the pseudo-sphere, whose classical dynamics are
chaotic, is derived. GF is shown to be equal to the quotient of two infinite
sums over periodic orbits, where the denominator is the spectral determinant.
Such a result is known to be true for typical chaotic systems, in the leading
SCA. From the exact expression for GF, individual EF can be identified. In
order to obtain a SCA by finite series for the infinite sums encountered,
resummation by analytic continuation in $\hbar$ was performed. The result is
similar to known results for EF of typical chaotic systems. The lowest EF of
the Hamiltonian were calculated with the help of the resulting formulae, and
compared with exact numerical results. A search for scars with the help of
analytical and numerical methods failed to find evidence for their existence.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 12:36:15 GMT""}]","2008-02-03"
"cond-mat/9707271",,"S. Ispolatov and P. L. Krapivsky","Ballistic Coalescence Model","4 pages, 2 column Revtex, 5 figures included",,"10.1016/S0378-4371(97)00656-0",,"cond-mat.stat-mech",,"  We study statistical properties of a one dimensional infinite system of
coalescing particles. Each particle moves with constant velocity $\pm v$
towards its closest neighbor and merges with it upon collision. We propose a
mean-field theory that confirms a $t^{-1}$ concentration decay obtained in
simulations and provides qualitative description for the densities of growing,
constant, and shrinking inter-particle gaps.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 18:36:43 GMT""}]","2015-06-25"
"cond-mat/9707272","David A. Huse","David A Huse and Lee-Fen Ko","Scaling and chaos in periodic approximations to the two-dimensional
  Ising spin glass","5 pages, 7 figures","Phys. Rev. B 56, 14597-14601 (1997).","10.1103/PhysRevB.56.14597",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We approximate a 2D Ising spin glass by tiling an infinite square lattice
with large identical unit cells. The interactions within the unit cell are
random. Each such sample shows one or more critical points. We examine the
scaling of the critical temperatures with unit cell size. Due to chaos, the
correlations between unit cells can change sign with changing temperature. We
also examine the scaling of this chaos. This chaos causes many samples to have
multiple phase transitions, because the interaction between adjacent unit cells
changes sign within the ordered phases.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 21:07:21 GMT""}]","2009-10-30"
"cond-mat/9707273","Mark Newman","M. E. J. Newman and Cristopher Moore (Santa Fe Institute)","Glassy dynamics and aging in an exactly solvable spin model","16 pages, 4 postscript figures, typeset in LaTeX using the RevTeX
  macro package","Phys. Rev. E 60, 5068-5072 (1999)","10.1103/PhysRevE.60.5068","SFI working paper 97-07-068","cond-mat.stat-mech",,"  We introduce a simple two-dimensional spin model with short-range
interactions which shows glassy behavior despite a Hamiltonian which is
completely homogeneous and possesses no randomness. We solve exactly for both
the static partition function of the model and the distribution of energy
barriers, giving us the equilibration time-scales at low temperature.
Simulations of instantaneous quenches and of annealing of the model are in good
agreement with the analytic calculations. We also measure the two-time spin
correlation as a function of waiting time, and show that the model has aging
behavior consistent with the distribution of barrier heights. The model appears
to have no sharp glass transition. Instead, it falls out of equilibrium at a
temperature which decreases logarithmically as a function of the cooling time.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 21:21:30 GMT""},{""version"":""v2"",""created"":""Tue, 24 Aug 1999 16:31:55 GMT""}]","2009-10-30"
"hep-ex/9707038","Nick Brook HEP Glasgow","E. A. De Wolf (Universitaire Instelling Antwerpen), A. T. Doyle
  (University of Glasgow), N. Varelas (Michigan State University) and D.
  Zeppenfeld (University of Wisconsin)","QCD Effects in Hadronic Final States","17 pages. 16 postscript figures + 1 postscript preprint logo + 1
  LaTeX file + 2 style files. Summary of the Hadronic Final States Working
  Group. Also available at http://ppewww.ph.gla.ac.uk/preprints/97/02/",,"10.1063/1.53587","GLAS-PPE-97-02","hep-ex",,"  Progress in the study of hadronic final states in deep inelastic scattering
as well as $p\bar{p}$, photoproduction and $e^+e^-$ annihilation, as presented
at the DIS97 workshop, is reviewed.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 07:45:21 GMT""}]","2009-10-30"
"hep-ph/9707471","David John Summers","D.J.Summers","Minijets as a Perturbative Probe of Colour Charge","8 pages, LaTeX, uses epsfig.sty Contribution to 32nd Rencontres de
  Moriond: QCD and Hadronic Interactions",,,"CERN-TH/97-182","hep-ph",,"  We motivate the study of ``Minijets'' (that is jets soft with respect to the
hard scattering, but hard with respect to \Lambda_QCD) as a means to study the
underlying QCD colour flow in events. We discuss, with the aid of a simplistic
model, currently available events in which minijets are observed, that is the
events have high multiplicity, as a means of understanding the physics of
minijets. We encourage both theoreticians and experiments to continue the study
of minijets.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:13:28 GMT""}]","2007-05-23"
"hep-ph/9707472","Miklos Prisznyak","V. Gogohia, Gy. Kluge and M. Priszny\'ak","Calculation of the Vacuum Energy Density and Gluon Condensate within
  Zero Modes Enhancement Model of the QCD Vacuum","26 pages, 8 Postscript figures",,,,"hep-ph",,"  The nonperturbative vacuum structure which emerges from the zero modes
enhancement (ZME) model of the true QCD vacuum, appears to be well suited to
describe quark confinement, dynamical chiral symmetry breaking (DCSB),
current-effective (dynamical)-constituent, as well as constituent-valence quark
transformations, the Okubo-Zweig-Iizuka (OZI) rule, dimensional transmutation,
etc. It is based on the solution to the Schwinger-Dyson (SD) equation for the
quark propagator in the infrared (IR) domain. The importance of the
instanton-type fluctuations in the true QCD vacuum for the ZME model is also
discussed. This allows to calculate new, more realistic values for the vacuum
energy density (apart from the sign, by definition, the bag constant) and the
gluon condensate. Our numerical results for the gluon condensate for different
numbers of quark flavor $N_f$ are 2-3 times lager than it is estimated in the
QCD sum rules approach. This is in good agreement with recent phenomenological
estimates of this quantity.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:45:27 GMT""}]","2007-05-23"
"hep-ph/9707473",,"Jonathan L. Rosner (University of Chicago)","Improved Tests of Relations for Baryon Isomultiplet Splittings","16 pages, LaTeX, no figures. Revised February 1998: further text and
  references","Phys. Rev. D 57, 4310 (1998)","10.1103/PhysRevD.57.4310","EFI-97-33-Rev","hep-ph",,"  The least well-known octet baryon mass is $M_{\Xi^0} = 1314.9 \pm 0.6$ MeV.
The prospect of an improved measurement of its mass by the KTeV experimental
program at Fermilab, and opportunities for improvements in charged and excited
hyperon and $\Delta$ mass measurements, makes it timely to re-examine
descriptions of isospin splittings in baryons containing light quarks. It is
possible by examining such relations as the Coleman-Glashow relation $M_n - M_p
+ M_{\Xi^-} - M_{\Xi^0} = M_{\Sigma^-} - M_{\Sigma^+}$ to distinguish between
those models making use of one- or two-body effects involving quarks and those
involving genuine three-body effects. A hierarchy based on an expansion in
$1/N_c$, where $N_c$ is the number of quark colors, is useful in this respect.
The present status of other quark-model mass relations involving $\Lambda -
\Sigma^0$ mixing and the baryon decuplet is also noted, and the degree to which
one can determine parameters such as quark mass differences and individual
electromagnetic contributions to splittings is discussed.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 16:50:31 GMT""},{""version"":""v2"",""created"":""Tue, 25 Nov 1997 19:27:52 GMT""},{""version"":""v3"",""created"":""Sun, 11 Jan 1998 23:40:21 GMT""},{""version"":""v4"",""created"":""Wed, 4 Feb 1998 04:45:48 GMT""}]","2016-08-25"
"hep-ph/9707474","German Rodrigo","German Rodrigo (Karlsruhe U.), Antonio Pich and Arcadi Santamaria
  (Valencia U.)","$\alpha_s(m_Z)$ from tau decays with matching conditions at three loops","Latex, 11 pp., 3 figures. Uses elsart","Phys.Lett.B424:367-374,1998","10.1016/S0370-2693(98)00219-6","FTUV/97-80, IFIC/97-89, TTP97-26","hep-ph",,"  Using the recent four-loop calculations of the QCD beta-function and the
three-loop matching coefficients we study the induced error in $\alpha_s(m_Z)$
obtained from $\alpha_s(m_tau)$ due to the evolution procedure. We show that,
when consistent matching and running is used at this order, these errors are
pushed below 0.0005 in $\alpha_s(m_Z)$.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 17:22:00 GMT""}]","2008-11-26"
"hep-ph/9707475","Alberto Casas","J.A. Casas","Charge and Color Breaking","24 pages, 2 figures, Latex + sprocl.sty + psfig.sty. To be published
  in ""Perspectives on Supersymmetry"", Edited by G.L. Kane, World Scientific",,,,"hep-ph",,"  The presence of scalar fields with color and electric charge in
supersymmetric theories makes feasible the existence of dangerous charge and
color breaking (CCB) minima and unbounded from below directions (UFB) in the
effective potential, which would make the standard vacuum unstable. The
avoidance of these occurrences imposes severe constraints on the supersymmetric
parameter space. We give here a comprehensive and updated account of this
topic.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 19:56:40 GMT""}]","2007-05-23"
"hep-ph/9707476","Whiz","K. J. Abraham, K. Whisnant, B.-L. Young","Searching for an anomalous $\bar t q \gamma$ coupling via single top
  quark production at a $\gamma\gamma$ collider","13 pages, RevTeX, 1 PS figure","Phys.Lett. B419 (1998) 381-386","10.1016/S0370-2693(97)01463-9","AMES-HET-97-07","hep-ph",,"  We investigate the potential of a high-energy $\gamma\gamma$ collider to
detect an anomalous $\bar t q \gamma$ coupling from observation of the reaction
$\gamma \gamma \to t\bar q$, $\bar t q$, where $q=c$ or $u$. We find that with
$b$-tagging and suitable kinematic cuts this process should be observable if
the anomalous coupling $\kappa/\Lambda$ is no less than about 0.05/TeV, where
$\Lambda$ is the scale of new physics associated with the anomalous
interaction. This improves upon the bound possible from observation of top
decays at the Tevatron.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 18:43:15 GMT""}]","2009-10-30"
"hep-ph/9707477",,"R. J. Oakes, K. Whisnant, J. M. Yang, B.-L. Young, X. Zhang","Single top quark production as a probe of R-parity-violating SUSY at pp
  and p\bar p colliders","15 pages, 4 figures","Phys.Rev. D57 (1998) 534-540","10.1103/PhysRevD.57.534","FERMILAB-PUB-97/263-T, NUHEP-TH-97-09, AMES-HET-97-08","hep-ph",,"  We investigate the ability of single top quark production via qq'->
squark->tb and q \bar q'->slepton->t\bar b at the LHC and Tevatron to probe the
strength of R-parity violating couplings in the minimal supersymmetric model.
We found that given the existing bounds on R-parity violating couplings, single
top quark production may be greatly enhanced over that predicted by the
standard model, and that both colliders can either discover R-parity violating
SUSY or set strong constraints on the relevant R-parity violating couplings. We
further found that the LHC is much more powerful than the Tevatron in probing
the squark couplings, but the two colliders have comparable sensitivity for the
slepton couplings.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 21:53:29 GMT""}]","2009-10-30"
"hep-ph/9707478",,"A. Piccione (Genoa Univ) and G. Ridolfi (INFN Genoa)","Target mass effects in polarized deep-inelastic scattering","22 pages Latex, uses epsfig.sty, 10 eps figures included","Nucl.Phys. B513 (1998) 301-316","10.1016/S0550-3213(97)00716-5","GEF-TH-7/1997","hep-ph",,"  We present a computation of nucleon mass corrections to nucleon structure
functions for polarized deep-inelastic scattering. We perform a fit to existing
data including mass corrections at first order in $m^2/Q^2$ and we study the
effect of these corrections on physically interesting quantities. We conclude
that mass corrections are generally small, and compatible with current
estimates of higher twist uncertainties, when available.
","[{""version"":""v1"",""created"":""Fri, 25 Jul 1997 22:27:19 GMT""}]","2009-10-30"
"hep-ph/9707479","Alexandre Rozanov","V. A. Ilyin, L. B. Okun and A. N. Rozanov","On the search for muonic photons in neutrino experiments","12 pages, latex, 14 figures, LaTEX, PS file and figures in EPS format
  available at http://marwww.in2p3.fr/leptop/mugamma/mugamma.html","Nucl.Phys. B525 (1998) 51-72","10.1016/S0550-3213(98)00247-8","ITEP-PH-5/97, CPPM/97-3, INP-MSU 97-18/469","hep-ph",,"  Conserved muonic number may turn out to be a conserved muonic charge, coupled
to muonic photons, gamma_mu. Muons and muonic neutrinos would emit gamma_mu's,
which might be discovered by analysing the data from the past and future high
energy neutrino experiments (like CHARM II, CCFR, CHORUS, NOMAD, etc.). There
are two sources of gamma_mu's in these experiments: 1) internal bremsstrahlung
in pion and kaon decays into mu and nu_mu, which provide neutrino beams; 2)
external bremsstrahlung of muons in the shielding of the neutrino beam. In both
cases the gamma_mu's would pass freely through the shielding and produce narrow
muonic pairs in the neutrino detectors. These pairs could be distinguished from
the trident events nu_mu + Z -> nu_mu + mu^+ + mu^- + Z by their kinematical
properties: small p_t of the muon pair, small invariant mass, etc. All the
above processes are quantitatively analysed in this paper.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 00:12:16 GMT""}]","2009-10-30"
"hep-ph/9707480","Channa Paranavitane","J.P. Ma, B.H.J. McKellar, C.B. Paranavitane","$J/\Psi$-Production at Photon-Photon Colliders as a Probe of the Color
  Octet Mechanism","9 pages, 3 Postscript figures","Phys.Rev. D57 (1998) 606-609","10.1103/PhysRevD.57.606","UM-P-97/46","hep-ph",,"  We study $J/\Psi$ production at photon-photon colliders, which can be
realised with Compton scaterring of laser photons at $e^+e^-$ colliders. We
find that the production rate through the color-octet channel is comparable to
that through the color-singlet channel. Experimentally the two mechanisms can
be studied separately because the processes have different signals.
","[{""version"":""v1"",""created"":""Sat, 26 Jul 1997 03:46:34 GMT""}]","2009-10-30"
