"adap-org/9707003","Grant Lythe","Kalvis M. Jansons (UCL, London) and G.D. Lythe (ULB, Brussels)","Stochastic calculus: application to dynamic bifurcations and threshold
  crossings","LaTeX, 34 pages, 7 postscript figures included","J. Stat. Phys (1997)","10.1023/A:1023207919293",,"adap-org nlin.AO q-bio",,"  For the dynamic pitchfork bifurcation in the presence of white noise, the
statistics of the last time at zero are calculated as a function of the noise
level and the rate of change of the parameter. The threshold crossing problem
used, for example, to model the firing of a single cortical neuron is
considered, concentrating on quantities that may be experimentally measurable
but have so far received little attention. Expressions for the statistics of
pre-threshold excursions, occupation density and last crossing time of zero are
compared with results from numerical generation of paths.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:10:39 GMT""}]","2015-06-24"
"astro-ph/9707196","Dallas Kennedy","James M. Gelb (1), Kaundinya S. Gopinath (2), Dallas C. Kennedy (2)
  ((1) University of Texas at Arlington, (2) University of Florida)","Relativistic electrons in a rotating spherical magnetic dipole:
  localized three-dimensional states","8 pages, LaTeX, requires REVTeX, 10 PostScript figures; accepted by
  Int. J. Mod. Phys. D","Int.J.Mod.Phys. D8 (1999) 251","10.1142/S0218271899000201","UF-IFT-HEP-97-11","astro-ph",,"  Paralleling a previous paper, we examine single- and many-body states of
relativistic electrons in an intense, rotating magnetic dipole field.
Single-body orbitals are derived semiclassically and then applied to the
many-body case via the Thomas-Fermi approximation. The many-body case is
reminiscent of the quantum Hall state. Electrons in a realistic neutron star
crust are considered with both fixed density profiles and constant Fermi
energy. In the first case, applicable to young neutron star crusts, the varying
magnetic field and relativistic Coriolis correction lead to a varying Fermi
energy and macroscopic currents. In the second, relevant to older crusts, the
electron density is redistributed by the magnetic field.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 03:39:21 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 1997 05:30:03 GMT""},{""version"":""v3"",""created"":""Thu, 14 Aug 1997 00:22:07 GMT""},{""version"":""v4"",""created"":""Sun, 7 Jun 1998 05:14:04 GMT""},{""version"":""v5"",""created"":""Mon, 26 Oct 1998 23:48:54 GMT""},{""version"":""v6"",""created"":""Wed, 10 Mar 1999 22:56:08 GMT""},{""version"":""v7"",""created"":""Fri, 8 Dec 2000 03:48:51 GMT""}]","2009-10-30"
"astro-ph/9707197","Toru Yamada","T. Yamada, I. Tanaka, A. Arag\'on-Salamanca, T. Kodama, K. Ohta, and
  N. Arimoto","Clustering of red Galaxies near the Radio-loud Quasar 1335.8+2834 at
  z=1.1","14 pages text, 5 PostScript figures, 1 GIF figure, and 1 combined PS
  file. Accepted for ApJ, Letters",,"10.1086/310889",,"astro-ph",,"  We have obtained new deep optical and near-infrared images of the field of
the radio-loud quasar 1335.8+2834 at $z=1.086$ where an excess in the surface
number density of galaxies was reported by Hutchings et al. [AJ, 106, 1324]
from optical data. We found a significant clustering of objects with very red
optical-near infrared colors, $4 \lesssim R-K \lesssim 6$ and $3 \lesssim I-K
\lesssim 5$ near the quasar. The colors and magnitudes of the reddest objects
are consistent with those of old (12 Gyr old at z=0) passively-evolving
elliptical galaxies seen at $z=1.1$, clearly defining a `red envelope' like
that found in galaxy clusters at similar or lower redshifts. This evidence
strongly suggests that the quasar resides in a moderately-rich cluster of
galaxies (richness-class $\geq 0$). There is also a relatively large fraction
of objects with moderately red colors ($3.5 < R-K < 4.5$) which have a
distribution on the sky similar to that of the reddest objects. They may be
interpreted as cluster galaxies with some recent or on-going star formation.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 06:04:20 GMT""}]","2009-10-30"
"astro-ph/9707198",,"V.G.Gurzadyan and S.Rauzy","On the 3D Velocity Reconstruction of Clusters of Galaxies","to appear in Astrofizika, vol.40, 1997; LaTex, 4 pages, 1 figure,
  *.ps figure can be obtained from the authors",,,,"astro-ph",,"  The problem of reconstruction of the 3D velocities of clusters of galaxies
from the redshift distribution of galaxies of the cluster is formulated. Though
numerical simulations show the impossibility of direct use of Ambartsumian's
formula derived for the stellar systems because of the small number of objects
in the clusters, an additional physical assumption on the form of the searched
velocity distribution can lead to the possibility of obtaining the transverse
velocity of the cluster. The accuracy of the proposed reconstruction procedure
is estimated.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 05:55:22 GMT""}]","2007-05-23"
"astro-ph/9707199",,"V.G.Gurzadyan, A.Melkonian and K.Oganessyan","On the properties of Konishi-Kaneko map","Latex file 4 pages; Il Nuovo Cimento, vol.112B, 1997",,,,"astro-ph",,"  The existence of period-doubling bifurcations is shown for the Konishi-Kaneko
map. The value of the control parameter $k_{\infty}$ corresponding to the
transition to the chaotic phase is estimated, along with the Feigenbaum
universal number. This type of facts can be crucial in diagnosis of chaos in
stellar dynamics.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 06:08:04 GMT""}]","2007-05-23"
"astro-ph/9707201","Emmanuel Davoust","Emmanuel Davoust (Observatoire Midi-Pyrenees, France)","A hundred years of science at the Pic du Midi Observatory","9 pages (LaTeX with paspconf.sty). The paper including 14 figures is
  available in HTML format at
  http://www.obs-mip.fr/omp/umr5572/patrimoine/asp.html Invited lecture at the
  History session (Astronomy from difficult places) of the 109th Meeting of the
  Astronomical Society of the Pacific jointly with the Astrophysics From
  Antarctica Symposium. To appear in Astrophysics From Antarctica - Scientific
  Symposium Conference Proceedings (ASP Conference Series)",,,,"astro-ph",,"  The Pic du Midi Observatory, situated at an altitude of 2890 meters, was
always very hard to reach, and living there was difficult. Its history is a
lesson in courage. It is also a lesson in creativity, because astronomers took
advantage of the remarkable quality of the site in many ways, to study planets
and, later, to prepare for the Apollo missions. They also invited
geophysicists, botanists, and cosmic ray physicists to conduct experiments
there, and the Observatory became a successful center for multidisciplinary
studies. The heroic period, which ended in 1952, is reviewed through the
accomplishments of four directors, Celestin Vaussenat, Emile Marchand, Camille
Dauzere and Jules Baillaud.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 09:46:01 GMT""}]","2007-05-23"
"astro-ph/9707203","Takanori Yoshikoshi","T. Yoshikoshi, T. Kifune, S. A. Dazeley, P. G. Edwards, T. Hara, Y.
  Hayami, F. Kakimoto, T. Konishi, A. Masaike, Y. Matsubara, T. Matsuoka, Y.
  Mizumoto, M. Mori, H. Muraishi, Y. Muraki, T. Naito, K. Nishijima, S. Oda, S.
  Ogio, T. Ohsaki, J. R. Patterson, M. D. Roberts, G. P. Rowell, T. Sako, K.
  Sakurazawa, R. Susukita, A. Suzuki, T. Tamura, T. Tanimori, G. J. Thornton,
  S. Yanagita and T. Yoshida","Very High Energy Gamma Rays from the Vela Pulsar Direction","18 pages, 3 figures, LaTeX with AASTeX, accepted for publication in
  ApJ Letters","Astrophys.J.487:L65-L68,1997","10.1086/310874",,"astro-ph",,"  We have observed the Vela pulsar region at TeV energies using the 3.8 m
imaging Cherenkov telescope near Woomera, South Australia between January 1993
and March 1995. Evidence of an unpulsed gamma-ray signal has been detected at
the 5.8 sigma level. The detected gamma-ray flux is (2.9 +/- 0.5 +/- 0.4) x
10^-12 photons cm^-2 sec^-1 above 2.5 +/- 1.0 TeV and the signal is consistent
with steady emission over the two years. The gamma-ray emission region is
offset from the Vela pulsar position to the southeast by about 0.13 deg. No
pulsed emission modulated with the pulsar period has been detected and the 95 %
confidence flux upper limit to the pulsed emission from the pulsar is (3.7 +/-
0.7) x 10^-13 photons cm^-2 sec^-1 above 2.5 +/- 1.0 TeV.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 10:59:34 GMT""}]","2011-04-04"
"astro-ph/9707204","Yoshiaki Taniguchi","Yoshiaki Taniguchi","Does the Radiative Avalanche Fueling Work in Any Active Galactic Nuclei
  ?","12 pages",,"10.1086/310864",,"astro-ph",,"  Recently Umemura, Fukue, & Mineshige (1997) proposed the radiative avalanche
fueling to active galactic nuclei; gas accretion is driven by radiation drag
exerted by stellar radiation from circumnuclear starburst regions. This
mechanism is also interesting in terms of starburst-AGN connections. We
therefore present observational tests for the radiative avalanche fueling. Our
tests, however, show that gas accretion rates driven by the radiative avalanche
are significantly lower than those expected from the standard accretion theory
applied for typical active galactic nuclei with the circumnuclear starburst
regions. Instead we propose an alternative, possible starburst-AGN connection;
a minor merger with a nucleated satellite drives circumnuclear starbursts and
then leads to gas fueling onto the central engine as the merger proceeds.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 12:10:20 GMT""}]","2016-08-30"
"astro-ph/9707205",,"P. Magdziarz, R. Moderski, G. M. Madejski","Gamma-ray flux variability in the sample of EGRET blazars","6 pages, 5 figures, TeX, using lecproc.cmm and epsf.sty, to appear in
  Proceedings of ""Relativistic jets in AGNs"", May 27-30, Cracow, Poland",,,,"astro-ph",,"  We analyze average gamma-ray variability statistics for the sample of blazars
detected by CGRO/EGRET. We re-reduce all the available EGRET observations and
analyze light curves by Monte Carlo modeling of the variability statistics
including observational artifacts. We show that the observed variability
behavior is dominated by the distribution of measurement errors which leads to
strong systematical effects in all of the these statistics. General variability
behavior detected by us is consistent with non-linear models and shows marginal
correlation at long time scales in the structure function. We determine limits
on distributions of the variability parameters with synthesis of flare
population. We conclude that this method shows that all blazar light curves are
consistent with a superposition of multiple flares.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 13:02:23 GMT""}]","2007-05-23"
"astro-ph/9707206","Martin D. Weinberg","Martin D. Weinberg (University of Massachusetts/Amherst)","Fluctuations in finite N equilibrium stellar systems","7 pages, 5 postscript figures, uses mn.sty",,"10.1046/j.1365-8711.1998.01456.x",,"astro-ph",,"  Gravitational amplification of Poisson noise in stellar systems increases the
dipole noise power by roughly a factor of six and the quadrupole noise by 50%
for a King model profile. The dipole noise is amplified by a factor of fifteen
for the core-free Hernquist model. The predictions are computed using the
dressed-particle formalism of Rostoker & Rosenbluth (1960) and are demonstrated
by n-body simulation. This result implies that a collisionless n-body
simulation is impossible; the fluctuation noise which causes relaxation is an
intrinic part of self gravity. Applied to dark matter halos of disk galaxies,
particle numbers of at least 10^6 will be necessary to suppress this noise at a
level that does not dominate or significantly affect the disk response.
Conversely, halos are most likely far from phase-mixed equilibrium and the
resulting noise spectrum may seed or excite observed structure such as warps,
spiral arms and bars. Fluctuation noise, similar to that due to a population of
10^6 solar-mass black holes can produce observable warping and possibly excite
or seed other disk structure.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 13:54:32 GMT""}]","2009-10-30"
"chao-dyn/9707014","Arturo Marti","A.C. Marti, F. Sagues, and J.M. Sancho (Universitat de Barcelona)","Reaction-diffusion fronts under stochastic advection","4 pages, REVTEX, 2 postscript figures included. To appear in Phys.
  Rev. E (August 1997)",,"10.1103/PhysRevE.56.1729",,"chao-dyn nlin.CD",,"  We study front propagation in stirred media using a simplified modelization
of the turbulent flow. Computer simulations reveal the existence of the two
limiting propagation modes observed in recent experiments with liquid phase
isothermal reactions. These two modes respectively correspond to a wrinkled
although sharp propagating interface and to a broadened one. Specific laws
relative to the enhancement of the front velocity in each regime are confirmed
by our simulations.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 11:58:09 GMT""}]","2009-10-30"
"chao-dyn/9707015","prof. Victor Lvov","Victor S. L'vov and Itamar Procaccia (Depart. of Chemical Physics, The
  Weizmann Institute of Science, Israel)","Computing the Scaling Exponents in Fluid Turbulence from First
  Principles: the Formal Setup","PRE, submitted, 18 pages, 15 figures, included. PS source of the
  paper with figures available also at
  http://lvov.weizmann.ac.il/onlinelist.html",,"10.1016/S0378-4371(98)00139-3",,"chao-dyn nlin.CD",,"  We propose a scheme for the calculation from the NS equations of the scaling
exponents $\zeta_n$ of the $n$th order correlators in fully developed
hydrodynamic turbulence. The scheme is nonperturbative and constructed to
respect the fundamental rescaling symmetry of the Euler equation. It
constitutes an infinite hierarchy of coupled equations that are obeyed
identically with respect to scaling for any set of $\zeta_n$. As a consequence
$\zeta_n$ are determined by solvability conditions and not from power counting.
It is arguedthat in order to achieve such a formulation one must recognize that
the many-point space-time correlators are not scale invariant in time
arguments. The assumption of full scale invariance leads unavoidably to K41
exponents. It is argued the determination of of $\zeta_n$ requires equations
for infinitely many renormalized objects. One ca n however proceed in
controlled successive approximations by truncations of the infinite hierarchy
of equations. Clues as to how to truncate without reintroducing power counting
can be obtained from renormalized perturbation theory. To this aim we show that
the fully resummed perturbation theory is equivalent in its contents to the
exact hierarchy of equations obeyed by the $n$th order correlators and Green's
function. In light of this important result we can safely use finite
resummations to construct successive closures. This paper presents the
conceptual and technical details of the scheme. The analysis of the high-order
closure procedures which do not destroy the rescaling symmetry and the actual
calculations for truncated models will be presented in a forthcoming paper in
collaboration with V. Belinicher.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 11:00:37 GMT""}]","2015-06-24"
"chao-dyn/9707016","Ralf Aurich","R. Aurich and M. Taglieber","On the Rate of Quantum Ergodicity on hyperbolic Surfaces and Billiards","19 pages, Latex, This file contains no figures. A postscript file
  with all figures is available at http://www.physik.uni-ulm.de/theo/qc/ (Delay
  is expected to 23.7.97 since our Web master is on vacation.)",,"10.1016/S0167-2789(97)00323-0","ULM-TP/97-6, Universitaet Ulm (Abteilung Theoretische Physik)","chao-dyn nlin.CD",,"  The rate of quantum ergodicity is studied for three strongly chaotic (Anosov)
systems. The quantal eigenfunctions on a compact Riemannian surface of genus
g=2 and of two triangular billiards on a surface of constant negative curvature
are investigated. One of the triangular billiards belongs to the class of
arithmetic systems. There are no peculiarities observed in the arithmetic
system concerning the rate of quantum ergodicity. This contrasts to the
peculiar behaviour with respect to the statistical properties of the quantal
levels. It is demonstrated that the rate of quantum ergodicity in the three
considered systems fits well with the known upper and lower bounds.
Furthermore, Sarnak's conjecture about quantum unique ergodicity for hyperbolic
surfaces is confirmed numerically in these three systems.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 15:59:05 GMT""}]","2009-10-30"
"cmp-lg/9707004","Megumi Kameyama","Jan Jaspars (CWI) and Megumi Kameyama (SRI International)","Discourse Preferences in Dynamic Logic","To appear in Van Glabbeek, R. et al. eds., a collection of papers
  from the Fourth CSLI Workshop in Logic, Language, and Computation, CSLI
  Publications. (This is a revised version of the paper titled ""Preferences in
  Dynamic Semantics"" in the Proceedings of the Tenth Amsterdam Colloquium,
  1995, pages 445-464.)",,,,"cmp-lg cs.CL",,"  In order to enrich dynamic semantic theories with a `pragmatic' capacity, we
combine dynamic and nonmonotonic (preferential) logics in a modal logic
setting. We extend a fragment of Van Benthem and De Rijke's dynamic modal logic
with additional preferential operators in the underlying static logic, which
enables us to define defeasible (pragmatic) entailments over a given piece of
discourse. We will show how this setting can be used for a dynamic logical
analysis of preferential resolutions of ambiguous pronouns in discourse.
","[{""version"":""v1"",""created"":""Wed, 16 Jul 1997 22:45:06 GMT""}]","2008-02-03"
