"alg-geom/9707014","Constantin Teleman","Constantin Teleman (Cambridge, UK)","Borel-Weil-Bott theory for Loop Groups","4 pages, Mac-created PostScript. May display incorrectly but should
  print OK",,,,"alg-geom hep-th math.AG",,"  This note outlines the Borel-Weil-Bott theory for (arbitrary-genus) flag
varieties of loop groups, following ideas of G. Segal. Recent revivalist
interest in the ""WZW fusion rules"" suggests that my original (CMP 1995)
treatment of the matter is not all that well understood, so a brief account
thereof has been recycled along with the more recent results. Proofs are only
outlined, with full details given in the references.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 18:50:23 GMT""}]","2008-02-03"
"astro-ph/9707215","Lorenzo Amati","L. Piro (1), J. Heise (2), R. Jager (2), E. Costa (1), F. Frontera
  (3), M. Feroci (1), J. M. Muller (2,5), L. Amati (1,6), M. N. Cinti (1), D.
  Dal Fiume (4), L. Nicastro (4), M. Orlandini (4) and G. Pizzichini (4) ((1)
  Istituto Astrofisica Spaziale, C.N.R., Via E. Fermi 21, 00044 Frascati, Italy
  (2) Space Research Organization in the Netherlands, Sorbonnelaan 2, 3584 CA
  Utrecht, The Netherlands (3) Dip. Fisica, Universita` Ferrara, Via Paradiso
  12, Ferrara, Italy (4) Istituto TeSRE, C.N.R., Via Gobetti 101, 40129
  Bologna, Italy (5) Beppo-SAX Scientific Data Center, Via Corcolle 19, 00131
  Roma, Italy (6) Istituto astronomico, Universita` ""La Sapienza"", Via Lancisi)","The first X-ray localization of a gamma-ray burst by BeppoSAX and its
  fast spectral evolution","5 pages, LaTeX, 5 postscript figures; A&A, Accepted 15 July 1997,
  updated reference Costa 1997b","Astron.Astrophys.329:906-910,1998",,,"astro-ph",,"  In this paper we present the observations performed by the BeppoSAX Gamma-Ray
Burst Monitor (GRBM) and Wide Field Cameras (WFC) of GB960720. We derive a
precise localization (3 arcmin radius) and fast broad band (2-700 keV) spectral
evolution of the event. A search in the catalogues at all wavelengths in the
error box yields a unique outstanding source: the bright radio quasar 4C 49.29.
Although the probability of finding such a source by chance is very low
(0.0002), the absence of similar counterparts in other small error boxes
suggests a chance occurrence. We also find that the duration-energy
relationship for bursts previously observed above 25keV (Fenimore et al. 1995)
extends down to 1.5 keV. This result suggests that the same radiation mechanism
is operating from X-rays to gamma-rays and is in agreement with radiative
cooling by synchotron emission. A fast evolution of the spectrum is found, in
which the ratio of X- to gamma-ray intensities varies over three orders of
magnitude. Furthermore, the spectrum in the initial phase of the event betrays
the presence of an optically thick source rapidly evolving in a thin
configuration.No other class of sources in the universe shows such a fast and
extreme evolution. These results pose new and tighter constraints on
theoretical models for gamma-ray bursts.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:33:11 GMT""}]","2008-12-18"
"astro-ph/9707217","Combes","F. Combes and D. Pfenniger","Perspectives for detecting cold H2 in outer galactic disks","15 pages, 5 figures, accepted in A&A",,,,"astro-ph",,"  We review here the main direct or indirect ways to detect the possible
presence of large amounts of cold molecular hydrogen in the outer parts of disk
galaxies, an hypothesis that we have recently developed. Direct ways range from
H2 absorption in the UV domain to detection of the radio hyperfine structure:
the ortho-H2 molecule has an hyperfine, or ultrafine, structure in its
fundamental state, due to the coupling between the rotation-induced magnetic
moment, and the nuclear spin. This gives rise to 2 magnetic dipole transitions,
at the wavelengths of 0.5 and 5.5 km. Indirect ways are essentially the
detection of the HD and LiH transitions, and in some environments like clusters
of galaxies, more heavy trace molecules such as CO. We discuss from this point
of view the recent discovery by COBE/FIRAS of a very cold Galactic dust
component (4-7 K) which could correspond to a dominating gas mass component of
the ISM, if interpreted as standard dust emission. Some of the proposed means
could be applied to the well-known molecular clouds, to bring some new light to
the problem of the H2/CO conversion ratio.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:25:33 GMT""}]","2007-05-23"
"astro-ph/9707227","Richard Lovelace","R.V.E. Lovelace","Tilting of a Disk of Gravitating Rings","23 pages, AAS Latex, 21 figures",,,,"astro-ph",,"  The present work represents an attempt to understand the `rules of behavior'
of observed warps in the HI disks of spiral galaxies found by Briggs (1990). In
contrast with most earlier theoretical work, the present study investigates
different initial value problems of a warped disk in an oblate (or prolate)
halo potential, and it represents the disk warp in terms of $N$ independently
tilted, self-gravitating, concentric rings. This representation gives new
insight into the disk warping. A new constant of the motion of $N$ tilted rings
is identified (in addition to the energy). The phenomenon of phase-locking of
the lines-of-nodes of nearby rings due to self-gravity is demonstrated. We
consider the influence of dynamical friction due to ring motion through the
halo matter as well as friction between gaseous rings with different vertical
motions due to turbulent viscosity. We first consider the dynamics of one, two,
and three tilted rings of different radii in a halo potential. We go on to
develop dynamical equations for $N-$rings which are most simply expressed in
terms of the complex tilt angles $\Theta_j = \theta_j exp(-i\phi_j)$, where
$\theta_j$ is the actual tilt angle and $\phi_j$ the line-of-nodes angle for
the $j^{th}$ ring ($j=1..N$). We numerically solve the equations for $\Theta_j$
for four different types of initial conditions: (1) warp excitation by a
passing satellite, (2) excitation by a sinking compact minor satellite, (3)
warp evolution due toa tilted halo potential, and (4) warp evolution resulting
from an initially tilted disk plane.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 12:35:59 GMT""}]","2009-09-25"
"cmp-lg/9707007","Ehud Reiter","Ehud Reiter (Univ of Aberdeen, CS) and Liesl Osman (Univ of Aberdeen,
  Medicine)","Tailored Patient Information: Some Issues and Questions","This is a paper about technology-transfer. It does not have much
  technical content","Proceedings of the 1997 ACL Workshop on From Research to
  Commercial Applications: Making NLP Work in Practice",,,"cmp-lg cs.CL",,"  Tailored patient information (TPI) systems are computer programs which
produce personalised heath-information material for patients. TPI systems are
of growing interest to the natural-language generation (NLG) community; many
TPI systems have also been developed in the medical community, usually with
mail-merge technology. No matter what technology is used, experience shows that
it is not easy to field a TPI system, even if it is shown to be effective in
clinical trials. In this paper we discuss some of the difficulties in fielding
TPI systems. This is based on our experiences with 2 TPI systems, one for
generating asthma-information booklets and one for generating smoking-cessation
letters.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 15:57:12 GMT""}]","2008-02-03"
"cond-mat/9707185","Heiko Rieger","F. Igloi, D. Karevski and H. Rieger","Random and aperiodic quantum spin chains: A comparative study","4 pages RevTeX, 2 eps-figures included","Europ. Phys. J. B 1 (1998) 513","10.1007/s100510050213","HLRZ-44/97","cond-mat.dis-nn cond-mat.stat-mech",,"  According to the Harris-Luck criterion the relevance of a fluctuating
interaction at the critical point is connected to the value of the fluctuation
exponent omega. Here we consider different types of relevant fluctuations in
the quantum Ising chain and investigate the universality class of the models.
At the critical point the random and aperiodic systems behave similarly, due to
the same type of extreme broad distribution of the energy scales at low
energies. The critical exponents of some averaged quantities are found to be a
universal function of omega, but some others do depend on other parameters of
the distribution of the couplings. In the off-critical region there is an
important difference between the two systems: there are no Griffiths
singularities in aperiodic models.
","[{""version"":""v1"",""created"":""Thu, 17 Jul 1997 19:29:08 GMT""}]","2009-10-30"
"cond-mat/9707186","Raul Toral","J. Garcia-Ojalvo, A.M. Lacasta, J.M. Sancho, R. Toral","Phase Separation Driven by External Fluctuations","4 pages, 4 Postscript figures included in text. LaTeX (with Revtex
  macros)",,"10.1209/epl/i1998-00217-9",,"cond-mat",,"  The influence of external fluctuations in phase separation processes is
analysed. These fluctuations arise from random variations of an external
control parameter. A linear stability analysis of the homogeneous state shows
that phase separation dynamics can be induced by external noise. The spatial
structure of the noise is found to have a relevant role in this phenomenon.
Numerical simulations confirm these results. A comparison with order-disorder
noise induced phase transitions is also made.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 14:05:48 GMT""}]","2009-10-30"
"cond-mat/9707187","Dmitry V. Savin","Dmitry V. Savin, Valentin V. Sokolov","Quantum Versus Classical Decay Laws in Open Chaotic Systems","3 pages, REVTeX, no figures, replaced with the published version
  (misprints corrected, references updated)","Phys. Rev. E 56, R4911 (1997)","10.1103/PhysRevE.56.R4911",,"cond-mat.mes-hall chao-dyn nlin.CD nucl-th",,"  We study analytically the time evolution in decaying chaotic systems and
discuss in detail the hierarchy of characteristic time scales that appeared in
the quasiclassical region. There exist two quantum time scales: the Heisenberg
time t_H and the time t_q=t_H/\sqrt{\kappa T} (with \kappa >> 1 and T being the
degree of resonance overlapping and the transmission coefficient respectively)
associated with the decay. If t_q < t_H the quantum deviation from the
classical decay law starts at the time t_q and are due to the openness of the
system. Under the opposite condition quantum effects in intrinsic evolution
begin to influence the decay at the time t_H. In this case we establish the
connection between quantities which describe the time evolution in an open
system and their closed counterparts.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 12:21:29 GMT""},{""version"":""v2"",""created"":""Sat, 18 Oct 1997 11:20:13 GMT""}]","2009-10-30"
"cond-mat/9707190",,"JB Pendry (Blackett Laboratory, Imperial College, London)","Shearing the Vacuum - Quantum Friction","21 pages, Latex, 8 figures, submitted to J. Phys. C: Solid State
  Physics",,"10.1088/0953-8984/9/47/001","CMTH/9697/17","cond-mat",,"  We consider two perfectly smooth featureless surfaces at T=0, defined only by
their respective dielectric functions, separated by a finite distance, and ask
the question whether they can experience any friction when sheared parallel to
their interface. We find large frictional effects comparable to everyday
frictional forces provided that the materials have resistivities of the order
of 1 m-Ohm and that the surfaces are in close proximity. The friction depends
solely on the reflection coefficients of the surfaces to electromagnetic waves
and its detailed behaviour with shear velocity and separation is dictated by
the dispersion of the reflectivity with frequency.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:21:44 GMT""},{""version"":""v2"",""created"":""Mon, 21 Jul 1997 19:06:18 GMT""}]","2009-10-30"
"cond-mat/9707191","Loktev V. M.","V.M. Loktev (Bogolyubov Institute for Theoretical Physics) and V.M.
  Turkowski(Shevchenko Kyiv University)","On the Theory of the Pseudogap Formation in 2D Attracting Fermion
  Systems","19 pages, 2 figures (emtex)",,"10.1134/1.558663",,"cond-mat.supr-con",,"  Two-dimensional system of the fermions with the indirect Einstein
phonon-exchange attraction and added local four-fermion interaction is
considered. It is shown that in such a system at resulting attraction between
particles a new nonsuperconducting phase arises along with the normal and
superconducting phases. In this, called ""abnormal normal"", or pseudogap, phase
the absolute value of the order parameter is finite but its phase is a random
quantity. It is important that the new phase really exists at low carrier
density only, i.e. it shrinks with doping increasing in the case of phonon
attraction. The relevance of the results for high-temperature superconductors
is speculated.
  Key words: 2D metal, arbitrary carrier density, normal phase, abnormal normal
phase, pseudogap, suderconducting phase, Berezinskii-Kosterlitz-Thouless phase,
electron-electron and electron-hole pairing
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:01:54 GMT""}]","2009-10-30"
"cond-mat/9707192","Johannes Hager","Johannes Hager (University-Essen, Germany)","Relaxation of Surface Profiles by Evaporation Dynamics","6 pages, Revtex, 5 Postscript figures, to appear in PRB 15, October
  1997",,"10.1103/PhysRevB.56.12499",,"cond-mat",,"  We present simulations of the relaxation towards equilibrium of one
dimensional steps and sinusoidal grooves imprinted on a surface below its
roughening transition. We use a generalization of the hypercube stacking model
of Forrest and Tang, that allows for temperature dependent
next-nearest-neighbor interactions. For the step geometry the results at T=0
agree well with the t^(1/4) prediction of continuum theory for the spreading of
the step. In the case of periodic profiles we modify the mobility for the tips
of the profile and find the approximate solution of the resulting free boundary
problem to be in reasonable agreement with the T=0 simulations.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 14:53:47 GMT""}]","2009-10-30"
"cond-mat/9707193","Michael Ignatiev","Michael Ignatiev, Lei Gu and Bulbul Chakraborty","Relaxation Spectra at the Glass Transition: Origin of Power Laws","ReVTEX file with 2 figures",,,,"cond-mat.stat-mech cond-mat.dis-nn",,"  We propose a simple dynamical model of the glass transition based on the
results from a non-randomly frustrated spin model which is known to form a
glassy state below a characteristic quench temperature. The model is
characterized by a multi-valleyed free-energy surface which is modulated by an
overall curvature. The transition associated with the vanishing of this overall
curvature is reminiscent of the glass transition. In particular, the
frequency-dependent response evolves from a Debye relaxation peak to a function
whose high-frequency behavior is characterized by a non-trivial power law. We
present both an analytical form for the response function and numerical results
from Langevin simulations.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 15:18:52 GMT""}]","2008-02-03"
"cond-mat/9707195","Coen van Duin","C. N. A. van Duin and J. Zaanen","Charge- versus spin driven stripe order: the role of transversal spin
  fluctuations","4 pages Revtex, 2 figures","Phys. Rev. Lett., 80 (1998) 1513","10.1103/PhysRevLett.80.1513",,"cond-mat.supr-con",,"  The separation of the charge- and spin ordering temperatures of the stripe
phase in cuprate superconductors has been used to argue that the striped phase
is charge driven. Scaling analysis of a non-linear sigma model shows that the
effect of spatial anisotropy on the transversal spin fluctuations is much more
drastic at finite temperatures than at zero temperature. These results suggest
that the spin fluctuations prohibit the spin system to condense at the charge
ordering temperature, despite a possible dominance of charge-spin coupling in
the longitudinal channel.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 15:21:02 GMT""}]","2009-10-30"
"dg-ga/9707012","John Lott","John Lott","Remark About Heat Diffusion on Periodic Spaces","7 pages, AMS-Latex",,,,"dg-ga math.DG",,"  Let M be a complete Riemannian manifold with a free cocompact Z^k-action. Let
k(t,x,y) be the heat kernel on M. We compute the asymptotics of k(t,x,y) in the
limit in which t goes to infinity and d(x,y) is comparable to sqrt{t}. We show
that in this limit, the heat diffusion is governed by an effective Euclidean
metric on R^k coming from the Hodge inner product on H^1(M/Z^k; R).
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 13:46:37 GMT""}]","2008-02-03"
"gr-qc/9707041","Novak","J. Novak (DARC, CNRS, Observatoire de Paris)","Spherical neutron star collapse toward a black hole in tensor-scalar
  theory of gravity","23 pages, LaTeX, 21 PostScript figures, uses RevTeX, accepted for
  publication in Physical Review D Numerical appendix added, sec.III rewritten,
  figures changed","Phys.Rev. D57 (1998) 4789-4801","10.1103/PhysRevD.57.4789",,"gr-qc astro-ph",,"  Complete tensor-scalar and hydrodynamic equations are presented and
integrated, for a self-gravitating perfect fluid. The initial conditions
describe unstable-equilibrium neutron star configuration, with a polytropic
equation of state. They are necessary in order to follow the gravitational
collapse (including full hydrodynamics) of this star toward a black hole and to
study the resulting scalar gravitational wave. The amplitude of this wave, as
well as the radiated energy dramatically increase above some critical value of
the parameter of the coupling function, due to the spontaneous scalarization,
an effect not present in Brans-Dicke theory. In most cases, the pressure of the
collapsing fluid does not have a significant impact on the resulting signal.
These kind of sources are not likely to be observed by future laser
interferometric detectors (such as VIRGO or LIGO) of gravitational waves, if
they are located at more than a few 100 kpc. However, spontaneous scalarization
could be constrained if such a gravitational collapse is detected by its
quadrupolar gravitational signal, since this latter is quite lower than the
monopolar one.
","[{""version"":""v1"",""created"":""Fri, 18 Jul 1997 15:15:59 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jan 1998 14:01:28 GMT""}]","2009-10-30"
