"adap-org/9707002","Peter Grassberger","Hans-Martin Broeker and Peter Grassberger","Random Neighbor Theory of the Olami-Feder-Christensen Earthquake Model","18 pages, 6 ps-figures included; minor correction in sec.5",,"10.1103/PhysRevE.56.3944","HLRZ1997-22","adap-org nlin.AO",,"  We derive the exact equations of motion for the random neighbor version of
the Olami-Feder-Christensen earthquake model in the infinite-size limit. We
solve them numerically, and compare with simulations of the model for large
numbers of sites. We find perfect agreement. But we do not find any scaling or
phase transitions, except in the conservative limit. This is in contradiction
to claims by Lise & Jensen (Phys. Rev. Lett. 76, 2326 (1996)) based on
approximate solutions of the same model. It indicates again that scaling in the
Olami-Feder-Christensen model is only due to partial synchronization driven by
spatial inhomogeneities. Finally, we point out that our method can be used also
for other SOC models, and treat in detail the random neighbor version of the
Feder-Feder model.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 12:37:31 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 13:25:44 GMT""}]","2009-10-30"
"astro-ph/9707130","Tiziana Di Matteo","T. Di Matteo (1), A. Celotti (2), A.C. Fabian (1) ((1) IOA, Cambridge,
  UK, (2) SISSA, Trieste, Italy)","Cyclo-synchrotron emission from magnetically dominated active regions
  above accretion discs","revised version, submitted to MNRAS, 7 pages, 6 figures in MNRAS
  LaTex style",,"10.1093/mnras/291.4.805",,"astro-ph",,"  We discuss the role of thermal cyclo-synchrotron emission in a magnetically
dominated corona above an accretion disk in an active galaxy or a galactic
black hole candidate. The dissipation occurs in localized active regions around
the central black hole. Cyclo-synchrotron radiation is found to be an important
process. In the case of galactic black hole candidates, its emission can
dominate the inverse Compton scattering of the soft photon field produced by
the disc by thermal electrons. We discuss observational predictions and the
detectability of cyclo-synchrotron radiation both for these sources and
radio-quiet active galactic nuclei.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:07:17 GMT""}]","2015-06-24"
"astro-ph/9707131","Annalisa Celotti","A. Celotti (1,2), A.C. Fabian (2), M.J. Rees (2) ((1) SISSA, Trieste,
  Italy, (2) IoA, Cambridge, UK)","Limits from rapid TeV variability of Mrk 421","5 pages (Latex MNRAS style), revised version, submitted to MNRAS",,"10.1046/j.1365-8711.1998.01073.x",,"astro-ph",,"  The extreme variability event in the TeV emission of Mrk 421, recently
reported by the Whipple team, imposes the tightest limits on the typical size
of the TeV emitting regions in Active Galactic Nuclei (AGN). We examine the
consequences that this imposes on the bulk Lorentz factor of the emitting
plasma and on the radiation fields present in the central region of this Active
Nucleus. No strong evidence is found for extreme Lorentz factors. However,
energetics arguments suggest that any accretion in Mrk 421 has to take place at
small rates, compatible with an advection-dominated regime.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 13:34:50 GMT""}]","2009-10-30"
"astro-ph/9707132","Annalisa Celotti","A. Celotti (SISSA, Italy), Z. Kuncic (ANUATC, Australia), M. J. Rees
  (IoA, UK), J. F. C. Wardle (Brandeis Univ., USA)","Thermal material in jets","12 pages, Latex (MNRAS format), 3 encapsulated postscript figures;
  revised version, submitted to MNRAS",,,,"astro-ph",,"  The properties of thermal material coexisting with non-thermal emitting
plasma and strong magnetic field in the powerful jets of Active Galactic Nuclei
(AGN) are examined. Theoretical and observational constraints on the physical
properties of this `cold' component are determined. While the presence of a
thermal component occupying a fraction ~1.E-8 of the jet volume is possible, it
seems unlikely that such a component is capable of contributing significantly
to the total jet energy budget, since the thermal reprocessing signatures that
should appear in the spectra have not, as yet, been detected.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 14:23:19 GMT""}]","2007-05-23"
"astro-ph/9707134","Bruno Guiderdoni","B. Guiderdoni (IAP), E. Hivon (TAC), & F.R. Bouchet (IAP)","The contribution of galaxies to the IR background","10 pages, Latex, 8 postscript figures, to appear in ""Extragalactic
  Astronomy in the IR"", G. Mamon, T.X. Thuan and J. Tran Thanh Van (eds),
  Editions Frontieres",,,,"astro-ph",,"  A new semi-analytic modelling of galaxy evolution in the IR/submm is
hereafter outlined. This type of approach successfully reproduces the optical
properties of galaxies. We illustrate a simple extension to the IR/submm
wavelength range by taking the case of the SCDM model. We design a family of
evolutionary scenarios with star formation histories reproducing the evolution
of the overall gas and luminosity densities in the universe. These scenarios
are also consistent with IRAS data and preliminary ISO counts, and we use them
to disentangle the ``Cosmic Infared Background'' detected by Puget et al.
(1996) into discrete sources. We finally give predictions for the faint galaxy
counts and redshift distributions in various submm wavelengths, which seem to
be very sensitive to the details of the evolutionary scenarios. As a
consequence, it is easy to anticipate that the current and forthcoming
instruments, such as SCUBA, FIRST and PLANCK, will strongly constrain the
evolution of high-redshift galaxies.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 14:54:49 GMT""}]","2007-05-23"
"astro-ph/9707136","Francois Montanet","ANTARES collaboration","ANTARES proposal: Towards a large scale high energy cosmic neutrino
  undersea detector","62 pages, latex files + postscript pictures in a gzipped tar file.
  This document can also be retreived as a postscript or pdf file from
  http://infodan.in2p3.fr/antares/docs.html or
  http://marcpl1.in2p3.fr/antares/docs.html",,,"CPPM-97-02, DAPNIA-97-03, IFIC-97-35, OUNP-97-06","astro-ph hep-ex",,"  The ANTARES collaboration propose to observe High Energy Cosmic Neutrinos
using a Deep Sea Cherenkov detector. The sky survey with high energy neutrinos
is complementary to the observations with photons. It is expected that this
will shed a new light on the understanding of the origin of cosmics rays, on
galactic and extra galactic sources. In this document, we will elaborate on the
potential interest of such a study for Astrophysicists and Particle Physicists.
For Oceanologists participating in the collaboration, the main goal is a long
term measurement of environmental parameters in the deep sea. We propose to
explore the possibility of a km-scale detector to be installed in a deep site
in the Mediterranean sea, for which a broad collaboration will be needed. A
variety of technical problems have to be solved. Strong constraints coming from
the deep sea environment and the lack of accessibility, require sea science
engineering expertise. For items such as detector deployment in deep water,
data transmission through optical cables, corrosion, bio-fouling of optical
modules, positioning, we have found technical support from collaborators and
partners which have experience in this field (COM, CSTN, CTME, IFREMER, France
Telecom Cables, INSU-CNRS...). We will test the sea engineering part of a
detector including test deployments close to the Toulon coast (France) where
technical support is available and where several sites at depths down to 2500 m
are easily accessible. During the same time, issues connected to the
accomplishment of a large scale detector and the selection of an optimum site
will be addressed. We propose to build and install a demonstrator (a fully
equipped 3-dimensional test array) the design of which can be extended to a
km^3 scale detector. We plan to reach this goal within the next 2 years.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 07:41:09 GMT""}]","2012-08-27"
"cmp-lg/9707003","Llus Padr","Lluis Marquez and Lluis Padro","A Flexible POS tagger Using an Automatically Acquired Language Model","8 pages, aclap.sty, 2 eps figures. Appears in (E)ACL'97","Proceedings of EACL/ACL 1997, Madrid, Spain",,,"cmp-lg cs.CL",,"  We present an algorithm that automatically learns context constraints using
statistical decision trees. We then use the acquired constraints in a flexible
POS tagger. The tagger is able to use information of any degree: n-grams,
automatically learned context constraints, linguistically motivated manually
written constraints, etc. The sources and kinds of constraints are
unrestricted, and the language model can be easily extended, improving the
results. The tagger has been tested and evaluated on the WSJ corpus.
","[{""version"":""v1"",""created"":""Fri, 11 Jul 1997 09:16:08 GMT""}]","2008-02-03"
"cond-mat/9707105","Josef Oswald","J. Oswald, G. Span, F. Kuchar (Institute of Physics, University of
  Leoben, Austria)","Universality in the Crossover between Edge Channel and Bulk Transport in
  the Quantum Hall Regime","4 page, 2 eps figures included, submitted",,"10.1103/PhysRevB.58.15401",,"cond-mat.mes-hall",,"  We present a new theoretical approach for the integer quantum Hall effect,
which is able to describe the inter-plateau transitions as well as the
transition to the Hall insulator. We find two regimes (metallic and insulator
like) of the top Landau level, in which the dissipative bulk current appears in
different directions. The regimes are separated by a temperature invariant
point.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:34:18 GMT""},{""version"":""v2"",""created"":""Fri, 3 Oct 1997 19:55:13 GMT""},{""version"":""v3"",""created"":""Thu, 5 Feb 1998 08:44:43 GMT""}]","2009-10-30"
"cond-mat/9707108","Michael Brunner","Michael Brunner and Alejandro Muramatsu","Quantum Monte Carlo simulations of infinitely strongly correlated
  fermions","6 pages, 5 figures","Phys. Rev. B 58, R10100 (1998)","10.1103/PhysRevB.58.R10100",,"cond-mat.str-el",,"  Numerical simulations of the two-dimensional t-J model in the limit $J/t \ll
1$ are performed for rather large systems (up to $N = 12 \times 12$) using a
world-line loop-algorithm. It is shown that in the one-hole case with J=0,
where no minus signs appear, very low temperatures ($\beta t \sim 3000$) are
necessary in order to reach Nagaoka's state. $J/t \ltsim 0.05$ leads to the
formation of partially polarized systems, whereas $J/t \gtsim 0.05 $
corresponds to minimal spin. The two-hole case shows enhanced total spin up to
the lowest attainable temperatures ($\beta t = 150$).
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 16:14:31 GMT""}]","2009-10-30"
"cond-mat/9707109","Marco Grilli","F. Becca, F. Bucci, and M. Grilli (Istituto Nazionale di Fisica della
  Materia and Dipartimento di Fisica, Universit\`a di Roma ``La Sapienza'')","The incommensurate charge-density-wave instability in the extended
  three-band Hubbard model","15 pages in RevteX. Figures available from M. Grilli",,"10.1103/PhysRevB.57.4382",,"cond-mat.supr-con",,"  The infinite-U three-band Hubbard model is considered in order to describe
the CuO_2 planes of the high temperature superconducting cuprates. The charge
instabilities are investigated when the model is extended with a
nearest-neighbor repulsion between holes on copper d and oxygen p orbitals and
in the presence of a long-range Coulombic repulsion. It is found that a
first-order valence instability line ending with a critical point is present
like in the previously investigated model without long-range forces. However,
the dominant critical instability is the formation of incommensurate
charge-density-waves, which always occur before the valence-instability
critical point is reached. An effective singular attraction arises in the
proximity of the charge-density wave instability, accounting for both a strong
pairing mechanism and for the anomalous normal state properties.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 16:54:21 GMT""}]","2009-10-30"
"cond-mat/9707110","Christian D. Lorenz","Robert M. Ziff and Paul N. Suding (Department of Chemical Engineering,
  University of Michigan, Ann Arbor, MI)","Determination of the bond percolation threshold for the Kagome lattice","10 pages, TeX, Style file iopppt.tex, to be published in J. Phys. A.
  in August, 1997",,"10.1088/0305-4470/30/15/021","UM-97-1","cond-mat.dis-nn",,"  The hull-gradient method is used to determine the critical threshold for bond
percolation on the two-dimensional Kagome lattice (and its dual, the dice
lattice). For this system, the hull walk is represented as a self-avoiding
trail, or mirror-model trajectory, on the (3,4,6,4)-Archimedean tiling lattice.
The result pc = 0.524 405 3(3) (one standard deviation of error) is not
consistent with the previously conjectured values.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 18:01:38 GMT""}]","2009-10-30"
"cond-mat/9707111","Martin Bonsager","Martin Bonsager, Karsten Flensberg, Ben Yu-Kuang Hu and Allan H.
  MacDonald","Frictional drag between quantum wells mediated by phonon exchange","45 pages, LaTeX, 8 postscript file figures","Phys. Rev. B 57, 7085 (1998).","10.1103/PhysRevB.57.7085","IUCM97-018","cond-mat",,"  We use the Kubo formalism to evaluate the contribution of acoustic phonon
exchange to the frictional drag between nearby two-dimensional electron
systems. In the case of free phonons, we find a divergent drag rate
($\tau_{D}^{-1}$). However, $\tau_{D}^{-1}$ becomes finite when phonon
scattering from either lattice imperfections or electronic excitations is
accounted for. In the case of GaAs quantum wells, we find that for a phonon
mean free path $\ell_{ph}$ smaller than a critical value, imperfection
scattering dominates and the drag rate varies as $ln (\ell_{ph}/d)$ over many
orders of magnitude of the layer separation $d$. When $\ell_{ph}$ exceeds the
critical value, the drag rate is dominated by coupling through an
electron-phonon collective mode localized in the vicinity of the electron
layers. We argue that the coupled electron-phonon mode may be observable for
realistic parameters. Our theory is in good agreement with experimental results
for the temperature, density, and $d$-dependence of the drag rate.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 19:24:33 GMT""}]","2009-10-30"
"cond-mat/9707112","P. Dai","Pengcheng Dai, H. A. Mook, and F. Dogan","Incommensurate Magnetic Fluctuations in YBa2Cu3O6.6","11 pages, Latex, 4 figures",,"10.1103/PhysRevLett.80.1738",,"cond-mat.str-el cond-mat.supr-con",,"  We use inelastic neutron scattering to demonstrate that at low temperatures,
the low frequency magnetic fluctuations in YBa_2Cu_3O_{6.6} ($T_c=62.7$ K) are
incommensurate, being found at positions displaced by $\pm\delta$ ($0.057\pm
0.006$ r.l.u.) along the $[\pi,\pi]$ direction from the wave vector $(\pi,\pi)$
associated with the antiferromagnetic order of the parent insulator,
YBa_2Cu_3O_{6}. The dynamical susceptibility $\chi''(q,\omega)$ at the
incommensurate positions increases on cooling below $T_c$, accompanied by a
suppression of magnetic fluctuations at the commensurate points.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 20:49:14 GMT""}]","2009-10-30"
"cond-mat/9707113","Marcelo R. Ubriaco","Marcelo R. Ubriaco","Bose-Einstein condensation of a quantum group gas","LaTeX file, 17 pages, two epsf.tex figures; The Introduction has been
  expanded, and some references were added",,"10.1103/PhysRevE.57.179",,"cond-mat hep-th",,"  We study the Bose-Einstein condensation of a gas with $SU_q(2)$ symmetry. We
show, in the thermodynamic limit, that the boson interactions introduced by the
quantum group symmetries enhance Bose-Einstein condensation giving a
discontinuity in the heat capacity $C_v$ at the critical temperature $T_c$. The
critical temperature and the gap in $C_v$ increase with the value of the
parameter $q$ and become approximately constant for $q>3$.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 20:24:33 GMT""},{""version"":""v2"",""created"":""Fri, 10 Oct 1997 19:31:08 GMT""}]","2009-10-30"
"cond-mat/9707114","Didier Sornette","D. Sornette and J.V. Andersen","Scaling with respect to disorder in time-to-failure","13 pages, 2 figures, submitted to J.Phys.I (France)","European Physical Journal B 1, 353-357 (1998)","10.1007/s100510050194",,"cond-mat.stat-mech",,"  We revisit a simple dynamical model of rupture in random media with
long-range elasticity to test whether rupture can be seen as a first-order or a
critical transition. We find a clear scaling of the macroscopic modulus as a
function of time-to-rupture and of the amplitude of the disorder, which allows
us to collapse neatly the numerical simulations over more than five decades in
time and more than one decade in disorder amplitude onto a single master curve.
We thus conclude that, at least in this model, dynamical rupture in systems
with long-range elasticity is a genuine critical phenomenon occurring as soon
as the disorder is non-vanishing.
","[{""version"":""v1"",""created"":""Thu, 10 Jul 1997 23:27:34 GMT""}]","2009-10-30"
