"alg-geom/9707004","Robert Friedman","Robert Friedman, John W. Morgan, Edward Witten","Principal G-bundles over elliptic curves","AMS-TeX, 20 pages, amsppt style; minor errors corrected","Math.Res.Lett.5:97-118,1998",,,"alg-geom hep-th math.AG",,"  Let $G$ be a simple and simply connected complex Lie group. We discuss the
moduli space of holomorphic semistable principal $G$ bundles over an elliptic
curve $E$. In particular we give a new proof of a theorem of Looijenga and
Bernshtein-Shvartsman, that the moduli space is a weighted projective space.
The method of proof is to study the deformations of certain unstable bundles
coming from special maximal parabolic subgroups of $G$. We also discuss the
associated automorphism sheaves and universal bundles, as well as the relation
between various universal bundles and spectral covers.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:43:09 GMT""},{""version"":""v2"",""created"":""Mon, 23 Feb 1998 15:31:46 GMT""}]","2010-04-07"
"astro-ph/9707091","Wendy L. Freedman","Barry F. Madore and Wendy L. Freedman","Hipparcos Parallaxes and the Cepheid Distance Scale","15 pages, 4 figures, Ap. J. Letters, in press","Astrophys.J.492:110-115,1998","10.1086/305041",,"astro-ph",,"  Hipparcos parallaxes have recently become available for a sample of Galactic
Cepheids, and we have used these new distances to calibrate the Cepheid
period-luminosity (PL) relation at six wavelengths (BVIJHK). Comparing these
calibrations with previously published multiwavelength PL relations we find
agreement to within 0.07 +/- 0.14 mag, or 4 +/- 7% in distance. Unfortunately,
the current parallax errors for the fundamental pulsators (ranging in
signal-to-noise = pi /sigma_pi from 0.3 to 5.3, at best) preclude an
unambiguous interpretation of the observed differences, which may arise from a
combination of true distance modulus, reddening and/or metallicity effects. We
explore these effects and discuss their implications for the distance to the
Large Magellanic Cloud (LMC) and the Cepheid-based extragalactic distance
scale. These results suggest a range of LMC moduli between 18.44 +/-0.35 and
18.57 +/-0.11 mag; however, other effects on the Cepheid PL relation (e.g.,
extinction, metallicity, statistical errors) are still as significant as any
such reassessment of its zero point.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 09:45:32 GMT""}]","2014-10-13"
"astro-ph/9707092","Takehisa Fujita","Kimiyo Fukasaku and Takehisa Fujita","Reexamination of standard solar model to the solar neutrino problems","13 pages, 2 figures, Latex","Prog.Theor.Phys. 98 (1997) 1251-1259","10.1143/PTP.98.1251",,"astro-ph",,"  We examine the calculation of the solar neutrino flux based on the standard
solar model (SSM). It is found that the solar neutrino data (KAMIOKANDE
experiment) can be well described by the SSM with careful employment of nuclear
data of $^7Be (p,\gamma) ^{8} B$. The main point is that the simple-minded
product ansatz of Coulomb plus nuclear parts should have a few percent
uncertainties which induce the large reduction of the neutrino flux from $^8
B$. Also, if the electron capture of $^7 Be$ inside the sun is suppressed, then
the GALLEX experiment can be understood by the SSM calculation.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 09:51:02 GMT""}]","2009-10-30"
"astro-ph/9707093","Houjun Mo","H.J. Mo, Shude Mao, Simon D.M. White (MPA, Garching)","The Formation of Galactic Disks","47 pages, Latex, aaspp4.sty, 14 figs included, submitted to MNRAS","Mon.Not.Roy.Astron.Soc.295:319,1998","10.1046/j.1365-8711.1998.01227.x",,"astro-ph",,"  We study the population of galactic disks expected in current hierarchical
clustering models for structure formation. A rotationally supported disk with
exponential surface density profile is assumed to form with a mass and angular
momentum which are fixed fractions of those of its surrounding dark halo. We
assume that haloes respond adiabatically to disk formation, and that only
stable disks can correspond to real systems. With these assumptions the
predicted population can match both present-day disks and the damped Lyman
alpha absorbers in QSO spectra. Good agreement is found provided: (i) the
masses of disks are a few percent of those of their haloes; (ii) the specific
angular momenta of disks are similar to those of their haloes; (iii)
present-day disks were assembled recently (at z<1). In particular, the observed
scatter in the size-rotation velocity plane is reproduced, as is the slope and
scatter of the Tully-Fisher relation. The zero-point of the TF relation is
matched for a stellar mass-to-light ratio of 1 to 2 h in the I-band, consistent
with observational values derived from disk dynamics. High redshift disks are
predicted to be small and dense, and could plausibly merge together to form the
observed population of elliptical galaxies. In many (but not all) currently
popular cosmogonies, disks with rotation velocities exceeding 200 km/s can
account for a third or more of the observed damped Lyman alpha systems at
z=2.5. Half of the lines-of-sight to such systems are predicted to intersect
the absorber at r>3kpc/h and about 10% at r>10kpc/h. The cross-section for
absorption is strongly weighted towards disks with large angular momentum and
so large size for their mass. The galaxy population associated with damped
absorbers should thus be biased towards low surface brightness systems.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 09:54:51 GMT""}]","2009-10-30"
"astro-ph/9707094","Osmi Vilhu","O.Vilhu, J.Nevalainen, J.Poutanen, M.Gilfanov, Ph.Durouchoux,
  M.Vargas, R.Narayan, A.Esin","Two-phase spectral modelling of 1E1740.7-2942","5 pages. The zipped PS-file of the paper williams.vilhu.ps.gz can be
  obtained also by anonymous ftp from astar.astro.helsinki.fi/pub/vilhu Fourth
  Compton Symposium, Williamsburg April 1997, AIP in press",,"10.1063/1.54158",,"astro-ph",,"  Combined ASCA and SIGMA data of 1E1740.7-2942 during the standard state
(September 1993 and 1994) were fitted with two-phase models (ISMBB/Poutanen at
al. and ADAF/Narayan et al.). In ISMBB's, the radius of the spherical hot (Te =
150 - 200 KeV) corona lies between 200 - 250 km where it joins the classical
inner disc. The disc radiates 40 per cent of the total luminosity with 1.7 per
cent of the Eddington accretion rate of 10 solar mass black hole. ADAF's need
an extra component to reproduce the soft part of the spectrum. However, the
origin of the soft excess remains somewhat uncertain, although special care was
taken in the background elimination.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 12:05:33 GMT""}]","2009-10-30"
"astro-ph/9707095","Francis Bernardeau","E. Gaztanaga (IEEC/CSIC) and F. Bernardeau (SPhT Saclay)","The skewness and kurtosis of the projected density distribution
  function: validity of perturbation theory","9 pages, LaTeX; Submitted to Astronomy and Astrophysics","Astron.Astrophys.331:829-837,1998",,,"astro-ph",,"  We study the domain of validity of Perturbation Theory (PT), by comparing its
predictions for the reduced skewness, s_3, and kurtosis, s_4, of the projected
cosmological density field, with the results of N-body simulations. We
investigate models with different linear power spectra and consider as physical
applications both angular galaxy catalogues and weak lensing surveys. We first
find that the small-angle approximation for the predicted skewness provides a
good match to the exact numerical PT results. On the other hand, results from
non-linear simulated catalogues agree well with PT results on quasi-linear
angular scales, which correspond to scales larger than about 1 degree in the
applications we have considered. We also point out that, on smaller scale, the
projection effects tend to attenuate the effects of the strong nonlinearities
in the angular skewness and kurtosis.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 12:17:53 GMT""}]","2011-05-23"
"astro-ph/9707096","Wei Cui","Wei Cui (1), W. A. Heindl (2), J. H. Swank (3), D. M. Smith (4), E. H.
  Morgan (1), R~.Remillard (1), and F. E. Marshall (3) ((1) MIT, (2) UCSD, (3)
  GSFC, (4) UC-Berkeley)","Rxte Observations of a New X-Ray Transient: GRS 1737-31","12 pages, including 4 figures. To appear in ApJ Letters",,"10.1086/310866",,"astro-ph",,"  We present the results from RXTE observations of a new X-ray transient, GRS
1737-31, near the Galactic center during an outburst. Over a span of two weeks,
the source was seen to vary significantly on time scales down to a few seconds.
The rapid flares in the light curves bear resemblance to those observed for
Cygnus X-1, a well-known black hole candidate (BHC). The power-density spectrum
is also very typical of BHCs in the HARD (or LOW) state: it is flat below a
characteristic break frequency of ~0.03 Hz, and becomes roughly a 1/f power law
above. The observed X-ray spectrum can be characterized by a simple power law
with a photon index of ~1.7 over a broad energy range 2-200 keV, which is
remarkably similar to that of Cyg X-1 in the HARD state. The similarities to
Cyg X-1 make GRS 1737-31 a likely BHC. However, unlike most transient BHCs, GRS
1737-31 does not seem to reach a ``soft state'' even during an outburst. We
discuss this phenomenon in light of the comparison to a class of hard X--ray
BHCs including transients GRO J0422+32, V404Cyg and GRO J1719-24, and
persistent sources 1E1740.7-2942 and GRS 1758-258.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 14:27:15 GMT""}]","2009-10-30"
"astro-ph/9707097","Francesco Villante","G. Fiorentini (1,2), M. Moretti (1,2) and F. L. Villante (1,2) ((1)
  University of Ferrara - Italy, (2) INFN - Sezione di Ferrara -Italy)","Superkamiokande and solar antineutrinos","7 pages, 1 figure, Latex","Phys.Lett. B413 (1997) 378-381","10.1016/S0370-2693(97)01123-4",,"astro-ph hep-ph",,"  We propose to exploit the angular distribution of the positrons emitted in
the inverse beta decay to extract a possible antineutrino signal from the
Superkamiokande background. From the statistics collected in just 101.9 days
one obtains a model independent upper bound on the antineutrino flux (for
energy greater than 8.3 MeV) Phi < 9*10^4 cm^-2 s^-1 at the 95% C.L. By
assuming the same energy spectrum as for the 8B neutrinos, the 95% C.L. bound
is Phi < 6*10^4 cm^-2 s^-1. Within three years of data taking, the sensitivity
to neutrino-antineutrino transition probability will reach the 1% level, thus
providing a stringent test of hybrid oscillation models.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 14:41:41 GMT""}]","2009-10-30"
"cond-mat/9707070","James R. Chapman","J.R.Chapman (1), N.F.Johnson (1), V.N.Nicopoulos (1) ((1) Clarendon
  Laboratory, Oxford University, UK)","Photoluminescence signatures of negatively charged magnetoexcitons","29 pages LaTeX, 18 ps figures. Minor alterations. To appear in
  Physical Review B",,"10.1103/PhysRevB.57.1762",,"cond-mat",,"  The negatively charged quasi-two-dimensional exciton ($X^-$) is studied
numerically in the presence of a uniform B-field and various in-plane
confinements. The corresponding photoluminescence (PL) spectra, including
shakeup processes, are calculated. These calculations provide a quantitative
explanation of recent experimental PL spectra. The photoluminescence signatures
of charged excitons in quantum dots are also examined. Electron-hole pair
distriution functions are calculated which show the structure of the charged
exciton states (both ground and excited states). Increasing excitation reflects
a competition between two effects: partial ionization of either one or two
electrons.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 17:15:41 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 1997 16:06:28 GMT""}]","2009-10-30"
"cond-mat/9707071","Mike Black","M.J. Black, B.W. Alphenaar and H. Ahmed","Evidence for Supercurrent Quantization in Interfacial Josephson
  Junctions","Submitted to PRL 8 pages, 4 figures. Text file is paper.tex and Figs.
  1 - 4 are GIF files",,"10.1103/PhysRevLett.80.596",,"cond-mat.supr-con cond-mat.mes-hall",,"  We observe a series of discontinuities in the above gap current/voltage
characteristics of highly transmissive Nb/Si superconductor/semiconductor
interfaces. The bias at which each switch occurs decreases in quantized steps
as a function of temperature and magnetic field. The observed step-size is the
same for both dependencies. We propose that the steps correspond to
supercurrent quantization through granular Josephson junctions formed near the
interface.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 19:15:19 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jul 1997 14:26:08 GMT""}]","2009-10-30"
"cond-mat/9707072",,"Nelson A. Alves, J.R. Drugowich de Felicio and Ulrich H.E. Hansmann","A new look at the 2D Ising model from exact partition function zeros for
  large lattice sizes","9 pages, Latex, 3 figures. To appear in Int. J. Mod. Phys. C",,"10.1142/S0129183197000928",,"cond-mat.stat-mech",,"  A general numerical method is presented to locate the partition function
zeros in the complex beta plane for large lattice sizes. We apply this method
to the 2D Ising model and results are reported for square lattice sizes up tp
L=64. We also propose an alternative method to evaluate corrections to scaling
which relies only on the leading zeros. This method is illustrated with our
data.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 19:38:41 GMT""}]","2009-10-30"
"cond-mat/9707073","Evgueni E. Narimanov","E. E. Narimanov (Yale), A. Douglas Stone (Yale), and G. S. Boebinger
  (Bell Laboratories)","Semiclassical theory of magnetotransport through a chaotic quantum well","4 pages, RevTeX, epsf, 2 PostScript Figures (1 with color)",,"10.1103/PhysRevLett.80.4024",,"cond-mat.mes-hall",,"  We develop a quantitative semiclassical formula for the resonant tunneling
current through a quantum well in a tilted magnetic field. It is shown that the
current depends only on periodic orbits within the quantum well. The theory
explains the puzzling evolution of the tunneling spectra near a tilt angle of
$30^{\circ}$ as arising from an exchange bifurcation of the relevant periodic
orbits.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 23:50:08 GMT""},{""version"":""v2"",""created"":""Tue, 8 Jul 1997 03:02:38 GMT""}]","2009-10-30"
"cond-mat/9707074","pascal Simon","P. Simon","Spin Liquid Phases in 2D Frustrated XY Model","16 pages, Latex, 4 figures. To be published in Phys. Rev. B",,"10.1103/PhysRevB.56.10975",,"cond-mat.stat-mech",,"  In this paper we consider the $J_1-J_2-J_3$ classical and quantum 2D XY
model. Spin wave calculations show that a spin liquid phase still exists in the
quantum case as for Heisenberg models. We formulate a semiclassical approach of
these models based on spin wave action and use a variational method to study
the role played by vortices. Liquid and crystal phases of vortex could emerge
in this description. These phases seem to be directly correlated with the spin
liquid one and to its crystalline interpretation.
","[{""version"":""v1"",""created"":""Mon, 7 Jul 1997 21:55:47 GMT""}]","2009-10-30"
"cond-mat/9707075","Yoshio Kuramoto","Yoshio Kuramoto and Noboru Fukushima (Tohoku University)","Dynamical Effective Medium Theory for Quantum Spins and Multipoles","16 pages, 3 Postscript figures",,"10.1143/JPSJ.67.583",,"cond-mat",,"  A dynamical effective medium theory is presented for quantum spins and higher
multipoles such as quadrupole moments. The theory is a generalization of the
spherical model approximation for the Ising model, and is accurate up to
O(1/z_n) where z_n is the number of interacting neighbors. The polarization
function is optimized under the condition that it be diagonal in site indices.
With use of auxiliary fields and path integrals, the theory is flexibly applied
to quantum spins and higher multipoles with many interacting neighbors. A
Kondo-type screening of each spin is proposed for systems with extreme quantum
fluctuations but without conduction electrons.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 06:12:11 GMT""}]","2009-10-30"
"cond-mat/9707076","Vladimir Pudalov","V. M. Pudalov","Unconventional Metallic State in Two Dimensional System With Broken
  Inversion Symmetry","7 pages RevTeX, 2 ps figures. Accepted for publication in JETP Lett.,
  v.66 (1997)","Pis'ma ZhETF v66(3), 168 (1997). [JETP Lett. v66(3), 175 (1997)]","10.1134/1.567498",,"cond-mat.str-el",,"  We present a model that explains two phenomena, recently observed in
high-mobility Si-MOS structures: (i) the strong enhancement of metallic
conduction at low temperatures, T<2 K, and (ii) the occurrence of the
metal-insulator transition in 2D electron system. Both effects are prescribed
to the Coulomb and spin-orbit interaction; the latter is anomalously enhanced
by the broken inversion symmetry of the confining potential well.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 14:58:52 GMT""}]","2009-10-30"
"cond-mat/9707077","Linda Fabbian","Linda Fabbian, Francesco Sciortino, Filippo Thiery and Piero Tartaglia","A semi-schematic model for the center of mass dynamics in supercooled
  molecular liquids","Revtex, 2 figures",,"10.1103/PhysRevE.57.1485",,"cond-mat.stat-mech cond-mat.soft",,"  We introduce a semi-schematic mode-coupling model to describe the slow
dynamics in molecular liquids, retaining explicitly only the description of the
center of mass degrees of freedom. Angular degrees of freedom are condensed in
a q-vector independent coupling parameter. We compare the time and q-dependence
of the density fluctuation correlators with numerical data from a 250 ns long
molecular dynamics simulation. Notwithstanding the choice of a network-forming
liquid as a model for comparing theory and simulation, the model describes the
main static and dynamic features of the relaxation in a broad q-vector range.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 15:11:30 GMT""}]","2009-10-30"
"cond-mat/9707078","Julius Hohlfeld","J. Hohlfeld, E. Matthias, R. Knorren, K.-H. Bennemann","Nonequilibrium Magnetization Dynamics of Nickel","8 pages, 5 figures, revtex",,"10.1103/PhysRevLett.78.4861",,"cond-mat",,"  Ultrafast magnetization dynamics of nickel has been studied for different
degrees of electronic excitation, using pump-probe second-harmonic generation
with 150 fs/800 nm laser pulses of various fluences. Information about the
electronic and magnetic response to laser irradiation is obtained from sums and
differences of the SHG intensity for opposite magnetization directions. The
classical M(T)-curve can be reproduced for delay times larger than the electron
thermalization time of about 280 fs, even when electrons and lattice have not
reached thermal equilibrium. Further we show that the transient magnetization
reaches its minimum approx. 50 fs before electron thermalization is completed.
","[{""version"":""v1"",""created"":""Tue, 8 Jul 1997 15:41:59 GMT""}]","2009-10-30"
