"adap-org/9705003","Henryk Fuks","Henryk Fuks and Nino Boccara","Generalized Deterministic Traffic Rules","12 pages, 7 figures","Int. J. Mod. Phys. C 9, 1-12 (1998)","10.1142/S0129183198000029",,"adap-org nlin.AO",,"  We study a family of deterministic models for highway traffic flow which
generalize cellular automaton rule 184. This family is parametrized by the
speed limit $m$ and another parameter $k$ that represents a ``degree of
aggressiveness'' in driving, strictly related to the distance between two
consecutive cars. We compare two driving strategies with identical maximum
throughput: ``conservative'' driving with high speed limit and ``aggressive''
driving with low speed limit. Those two strategies are evaluated in terms of
accident probability. We also discuss fundamental diagrams of generalized
traffic rules and examine limitations of maximum achievable throughput.
Possible modifications of the model are considered.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 17:25:48 GMT""}]","2009-10-30"
"cond-mat/9705138","Sabyasachi Guha","A. Malinowski, Marta Z. Cieplak, A. S. van Steenbergen, J. A. A. J.
  Perenboom, K. Karpinska, M. Berkowski, S. Guha, and P. Lindenfeld","Magnetic-Field Induced Localization in the Normal State of
  Superconducting La_2-xSr_xCuo_4","8 pages, 5 figures",,"10.1103/PhysRevLett.79.495",,"cond-mat.supr-con",,"  Magnetoresistance measurements of highly underdoped superconducting
La_{2-x}Sr_xCuO_4 films with $x = 0.051$ and $x = 0.048$, performed in dc
magnetic fields up to 20 T and at temperatures down to 40 mK, reveal a
magnetic-field induced transition from weak to strong localization in the
normal state. The normal-state conductances per CuO_2--plane, measured at
different fields in a single specimen, are found to collapse to one curve with
the use of a single scaling parameter that is inversely proportional to the
localization length. The scaling parameter extrapolates to zero near zero field
and possibly at a finite field, suggesting that in the zero-field limit the
electronic states may be extended.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 18:10:55 GMT""}]","2009-10-30"
"cond-mat/9705139","David Feder","D. L. Feder, A. Beardsall, A. J. Berlinsky, and C. Kallin (McMaster
  University)","Twin boundaries in d-wave superconductors","ReVTeX, 4 pages, 4 postscript figures",,"10.1103/PhysRevB.56.R5751",,"cond-mat.supr-con",,"  Twin boundaries in orthorhombic d-wave superconductors are investigated
numerically using the Bogoliubov-deGennes formalism within the context of an
extended Hubbard model. The twin boundaries are represented by tetragonal
regions of variable width, with a reduced chemical potential. For sufficiently
large twin boundary width and change in chemical potential, an induced s-wave
component may break time-reversal symmetry at a low temperature. This
temperature, and the magnitude of the complex component, are found to depend
strongly on electron density. The results are compared with recent tunneling
measurements.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 18:17:07 GMT""}]","2009-10-30"
"cond-mat/9705140","Qimiao Si","J. Lleweilun Smith and Qimiao Si","Intersite Fluctuations and Spin-Charge Separation in the Extended
  Hubbard Model","12 pages, ReVTeX",,,,"cond-mat.str-el",,"  We study the effects of intersite RKKY-like interactions in the mixed valence
regime of a two-band extended Hubbard model. This model is known to display a
metallic non-Fermi liquid state with spin-charge separation in the standard
$D=\infty$ limit (where interactions lead to purely on-site fluctuations only).
Using an extended $D=\infty$ approach, we find that the spin-charge separation
survives the quantum fluctuations associated with arbitrary intersite
density-density interactions and a finite range of intersite spin-exchange
interactions. We determine the qualitative behavior of the spin, charge, and
single-particle correlation functions. The implications of these results for
the solution in finite spatial dimensions are discussed.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 18:46:09 GMT""}]","2008-02-03"
"cond-mat/9705141","Pablo Laguna","Pablo Laguna (Penn State) and Wojciech Zurek (Los Alamos)","Density of Topological Defects After a Quench","17 pages, 6 figures, LaTex",,,"CGPG-97/5-2","cond-mat gr-qc hep-th",,"  We present results of numerical studies of the Landau-Ginzburg dynamics of
the order parameter in one-dimensional models inspired by the condensed matter
analogues of cosmological phase transitions. The main goal of our work is to
show that, as proposed by one of us \cite{Zurek85b}, the density of the
frozen-out topological defects is set by the competition between the quench
rate --- the rate at which the phase transition is taking place --- and the
relaxation rate of the order parameter. In other words, the characteristic
domain size, which determines the typical separation of topological defects in
the new broken symmetry phase, is of the order of the correlation length at the
instant at which the relaxation timescale of the order parameter equals the
time remaining to the phase transition. In estimating the size of topological
domains, this scenario shares with the original Kibble mechanism the idea that
topological defects will form along the boundaries of independently selected
regions of the new broken symmetry vacuum. However, it derives the size of such
domains from non-equilibrium aspects of the transition (quench rate), as
opposed to Kibble's original proposal in which their size was estimated from
the Ginzburg temperature above which thermally activated symmetry restoration
can occur.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:39:57 GMT""}]","2007-05-23"
"cond-mat/9705142","Mirim Lee","Mirim Lee (University of Houston), James W. Dufty (University of
  Florida)","Transport Far From Equilibrium --- Uniform Shear Flow","32 pages, 1 figure, RevTeX, submitted to Phys. Rev. E",,"10.1103/PhysRevE.56.1733",,"cond-mat.stat-mech",,"  The BGK model kinetic equation is applied to spatially inhomogeneous states
near steady uniform shear flow. The shear rate of the reference steady state
can be large so the states considered include those very far from equilibrium.
The single particle distribution function is calculated exactly to first order
in the deviations of the hydrodynamic field gradients from their values in the
reference state. The corresponding non-linear hydrodynamic equaitons are
obtained and the set of transport coefficients are identified as explicit
functions of the shear rate. The spectrum of the linear hydrodynamic equation
is studied in detail and qualitative differences from the spectrum for
equilibrium fluctuations are discussed. Conditions for instabilities at long
wavelengths are identified and disccused.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 20:59:51 GMT""}]","2009-10-30"
"cond-mat/9705143","Kikuo Harigaya","Kikuo Harigaya (ETL - Japan)","Long-range excitons in conjugated polymers with ring torsions","10 pages; 5 figures; to be published in Chemical Physics Letters;
  more info at http://www.etl.go.jp/~harigaya/ ; http://www.etl.go.jp/~theory/","Chem. Phys. Lett. 281 (1997) 319-324","10.1016/S0009-2614(97)01200-1",,"cond-mat.soft cond-mat.mtrl-sci",,"  Ring torsion effects on optical excitation properties in poly(para-phenylene)
(PPP) and polyaniline (PAN) are investigated by the intermediate exciton
formalism. Long-range excitons are characterized, and the long-range component
of the oscillator strengths is calculated. We find that ring torsions affect
the long-range excitons in PAN more easily than in PPP, due to the larger
torsion angle of PAN and the large number of bonds whose hopping integrals are
modulated by torsions.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 02:03:47 GMT""},{""version"":""v2"",""created"":""Mon, 13 Oct 1997 03:52:37 GMT""}]","2008-02-03"
"cond-mat/9705144","Boldizsar Janko","Boldizsar Janko, Jiri Maly, K. Levin","Pseudogap effects induced by resonant pair scattering","REVTeX3.0; 4 pages, 4 EPS figures (included)",,"10.1103/PhysRevB.56.R11407",,"cond-mat.supr-con cond-mat.str-el",,"  We demonstrate how resonant pair scattering of correlated electrons above T_c
can give rise to pseudogap behavior. This resonance in the scattering T-matrix
appears for superconducting interactions of intermediate strength, within the
framework of a simple fermionic model. It is associated with a splitting of the
single peak in the spectral function into a pair of peaks separated by an
energy gap. Our physical picture is contrasted with that derived from other
T-matrix schemes, with superconducting fluctuation effects, and with preformed
pair (boson-fermion) models. Implications for photoemission and tunneling
experiments in the cuprates are discussed.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 05:09:40 GMT""}]","2016-08-31"
"cond-mat/9705145","Hideo Yoshioka","Hideo Yoshioka and Yoshikazu Suzumura","Spin Defects in Spin-Peierls Systems","jpsj style, 11 pages, 2 figures",,"10.1143/JPSJ.66.3962",,"cond-mat.str-el",,"  We examine spin-Peierls systems in the presence of spin defects which are
introduced by replacing magnetic ions $Cu^{2+}$ with non-magnetic ones
$Zn^{2+}$ in $CuGeO_3$. By using the action for the bosonized Hamiltonian, it
is shown directly that the antiferromagnetic state induced by the spin defects
coexists with the spin-Peierls states. Further the doping dependences of both
transition temperature of spin-Peierls state and the spin gap have been
calculated. The transition temperature of the present estimation shows good
agreement quantitatively with that observed in $Cu_{1-\de} Zn_\de O_3$ for the
region of the doping rate, $\de<0.02$.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 07:12:44 GMT""}]","2009-10-30"
"cond-mat/9705146",,"Helge Frauenkron (1), Ugo Bastolla (1), Erwin Gerstner (1,2), Peter
  Grassberger (1,2), and Walter Nadler (1) ((1) HLRZ c/o Forschungszentrum
  J\""ulich, Germany ; (2) Physics Department, University of Wuppertal, Germany)","A New Monte Carlo Algorithm for Protein Folding","4 pages, Latex incl. 3 eps-figs., submitted to Phys. Rev. Lett.,
  revised version with changes in the text","Phys. Rev. Lett. 80 (1998) 3149--3152","10.1103/PhysRevLett.80.3149",,"cond-mat.stat-mech q-bio",,"  We demonstrate that the recently proposed pruned-enriched Rosenbluth method
(P. Grassberger, Phys. Rev. E 56 (1997) 3682) leads to extremely efficient
algorithms for the folding of simple model proteins. We test them on several
models for lattice heteropolymers, and compare to published Monte Carlo
studies. In all cases our algorithms are faster than all previous ones, and in
several cases we find new minimal energy states. In addition to ground states,
our algorithms give estimates for the partition sum at finite temperatures.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 09:28:00 GMT""},{""version"":""v2"",""created"":""Thu, 8 Jan 1998 11:59:42 GMT""}]","2009-10-30"
"cond-mat/9705147","P. A. Sreeram","Suresh G. Mishra and P. A. Sreeram","Fluctuation Induced Non-Fermi Liquid Behavior near a Quantum Phase
  Transition in Itinerant Electron Systems","File RevTex, 7 Figures available on request, Abstract and text
  modified, To appear in Phys. Rev. B",,"10.1103/PhysRevB.57.2188",,"cond-mat.str-el",,"  The signature for a non-Fermi liquid behavior near a quantum phase transition
has been observed in thermal and transport properties of many metallic systems
at low temperatures. In the present work we consider specific examples of
itinerant ferromagnet as well as antiferromagnet in the limit of vanishing
transition temperature. The temperature variation of spin susceptibility,
electrical resistivity, specific heat, and NMR relaxation rates at low
temperatures is calculated in the limit of infinite exchange enhancement within
the frame work of a self consistent spin fluctuation theory. The resulting
non-Fermi liquid behavior is due to the presence of the low lying critically
damped spin fluctuations in these systems. The theory presented here gives the
leading low temperature behavior, as it turns out that the fluctuation
correlation term is always smaller than the mean fluctuation field term in
three as well as in two space dimensions. A comparison with illustrative
experimental results of these properties in some typical systems has been done.
Finally we make some remarks on the effect of disorder in these systems.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 10:28:45 GMT""},{""version"":""v2"",""created"":""Fri, 19 Sep 1997 05:48:48 GMT""}]","2009-10-30"
"cond-mat/9705148","Kouno","Masanori Kohno and Minoru Takahashi","Magnetization process of the spin-1/2 XXZ models on square and cubic
  lattices","13 pages, RevTex, 7 PostScript figures, to appear in Phys.Rev.B",,"10.1103/PhysRevB.56.3212",,"cond-mat.stat-mech",,"  The magnetization process of the spin-1/2 antiferromagnetic XXZ model with
Ising-like anisotropy in the ground state is investigated. We show numerically
that the Ising-like XXZ models on square and cubic lattices show a first-order
phase transition at some critical magnetic field. We estimate the value of the
critical field and the magnetization jump on the basis of the Maxwell
construction. The magnetization jump in the Ising-limit is investigated by
means of perturbation theory. Based on our numerical results, we briefly
discuss the phase diagram of the extended Bose-Hubbard model in the hard-core
limit.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 06:05:48 GMT""}]","2016-08-31"
"cond-mat/9705149","Kohji Nakamura","Kohji Nakamura, Hideo Hasegawa, Tamio Oguchi, Kazuhisa Sueoka,
  Kazunobu Hayakawa, and Koichi Mukasa","First-principles calculation of exchange interaction and exchange force
  between magnetic Fe films","Revtex 10 pages, and 5 ps figures. (nakamura@nano.hokudai.ac.jp)",,"10.1103/PhysRevB.56.3218",,"cond-mat.mes-hall",,"  First-principles calculations have been performed for the exchange
interaction and exchange force between two magnetic Fe(100) thin films. It is
shown that the magnitude of the calculated exchange force is of the order of
$10^{-9} $N at $d/a < 1$ and of the order of $10^{-10} $N at $1 < d/a < 1.5$,
where $d$ denotes the distance between surfaces of the two thin films and $a$
the lattice constant of bulk Fe. The obtained forces are sufficiently larger
than the sensitivity of the current atomic force microscopy of $10^{-12} -
10^{-13}$N, which suggests the feasibility of the exchange force microscopy.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 10:32:58 GMT""}]","2009-10-30"
"cond-mat/9705150","Bikash Gupta","K. Kundu and B. C. Gupta","The role of power law nonlinearity in the discrete nonlinear
  Schr\""{o}dinger equation on the formation of stationary localized states in
  the Cayley tree","Latex file, Eight figures are available on request",,"10.1007/s100510050280",,"cond-mat.dis-nn",,"  We study the formation of stationary localized states using the discrete
nonlinear Schr\""{o}dinger equation in a Cayley tree with connectivity $K$. Two
cases, namely, a dimeric power law nonlinear impurity and a fully nonlinear
system are considered. We introduce a transformation which reduces the Cayley
tree into an one dimensional chain with a bond defect. The hopping matrix
element between the impurity sites is reduced by $1/\surd K$. The transformed
system is also shown to yield tight binding Green's function of the Cayley
tree. The dimeric ansatz is used to find the reduced Hamiltonian of the system.
Stationary localized states are found from the fixed point equations of the
Hamiltonian of the reduced dynamical system. We discuss the existence of
different kinds of localized states. We have also analyzed the formation of
localized states in one dimensional system with a bond defect and nonlinearity
which does not correspond to a Cayley tree. Stability of the states is
discussed and stability diagram is presented for few cases. In all cases the
total phase diagram for localized states have been presented.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 12:10:30 GMT""}]","2009-10-30"
"cond-mat/9705151",,"A. K. Kienappel and M. A. Moore (University of Manchester. UK)","Numerical Investigation of the Dynamics of a Thin Film Type II
  Superconductor with and without Disorder","10 pages incl. 9 Postscript figures, RevTex) submitted to Phys. Rev.
  B",,"10.1103/PhysRevB.56.8313",,"cond-mat.supr-con",,"  The equilibrium dynamics of a thin film type II superconductor with spherical
geometry are investigated numerically in a simulation based on the lowest
Landau level approximation to the time-dependent Ginzburg-Landau equation. Both
the static and time-dependent density-density correlation functions of the
superconducting order parameter have been investigated. As the temperature is
lowered the correlation length, the length-scale over which the vortices have
short-range crystalline order, increases but the introduction of quenched
random disorder reduces this correlation length. We see no signs of a phase
transition in either the pure or the disordered case. For the disordered system
there is no evidence for the existence of a Bragg glass phase with quasi
long-range correlations. The dynamics in both the pure and disordered systems
is activated, and the barrier of the relaxation mechanism grows linearly with
the correlation length. The self-diffusion time scale of the vortices was also
measured and has the same temperature dependence as that of the longest time
scales found in the time dependent density-density correlation function. The
dominant relaxation mechanism observed is a change in orientation of a
correlated region of size of the correlation length. A scaling argument is
given to explain the value of the barrier exponent.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 11:03:38 GMT""}]","2009-10-30"
"cond-mat/9705152",,"Kirone Mallick and Sven Sandow","Finite Dimensional Representations of the Quadratic Algebra:
  Applications to the Exclusion Process","18 pages, Latex, 1 EPS figure",,"10.1088/0305-4470/30/13/008",,"cond-mat.stat-mech",,"  We study the one dimensional partially asymmetric simple exclusion process
(ASEP) with open boundaries, that describes a system of hard-core particles
hopping stochastically on a chain coupled to reservoirs at both ends. Derrida,
Evans, Hakim and Pasquier [J. Phys. A 26, 1493 (1993)] have shown that the
stationary probability distribution of this model can be represented as a trace
on a quadratic algebra, closely related to the deformed oscillator-algebra. We
construct all finite dimensional irreducible representations of this algebra.
This enables us to compute the stationary bulk density as well as all
correlation lengths for the ASEP on a set of special curves of the phase
diagram.
","[{""version"":""v1"",""created"":""Thu, 15 May 1997 15:21:12 GMT""}]","2009-10-30"
"dg-ga/9705007","Claude LeBrun","Fabrizio Catanese and Claude LeBrun","On the Scalar Curvature of Einstein Manifolds","LaTeX. 14 pages",,,,"dg-ga alg-geom math.AG math.DG",,"  We show that there are high-dimensional smooth compact manifolds which admit
pairs of Einstein metrics for which the scalar curvatures have opposite signs.
These are counter-examples to a conjecture considered by Besse. The proof
hinges on showing that the Barlow surface has small deformations with ample
canonical line bundle.
","[{""version"":""v1"",""created"":""Wed, 14 May 1997 19:33:57 GMT""}]","2008-02-03"
