"alg-geom/9705028","David R. Morrison","David R. Morrison","Through the Looking Glass","latex2e, 22 pages with 1 figure","Mirror Symmetry III (D. H. Phong, L. Vinet, and S.-T. Yau, eds.),
  American Mathematical Society and International Press, 1999, pp. 263-277",,"DUK-M-97-04","alg-geom math.AG",,"  It is frequently possible to produce new Calabi-Yau threefolds from old ones
by a process of allowing the complex structure to degenerate to a singular one,
and then performing a resolution of singularities. (Some care is needed to
ensure that the Calabi-Yau condition be preserved.) There has been speculation
that all Calabi-Yau threefolds could be linked in this way, and considerable
evidence has been amassed in this direction. We propose here a natural way to
relate this construction to the string-theoretic phenomenon known as ``mirror
symmetry.'' We formulate a conjecture which in principle could predict mirror
partners for all Calabi-Yau threefolds, provided that all were indeed linked by
the degeneration/resolution process. The conjecture produces new mirrors from
old, and so requires some initial mirror manifold construction---such as
Greene-Plesser orbifolding---as a starting point. (Lecture given at the CIRM
conference, Trento, June 1994, and at the Workshop on Complex Geometry and
Mirror Symmetry, Montr\'eal, March 1995.)
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:37:20 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 1997 04:31:32 GMT""}]","2008-02-03"
"chao-dyn/9706001","James D. Meiss","H.E. Lomeli and J.D. Meiss","Quadratic Volume Preserving Maps","Ams LaTeX file with 4 figures (figure 2 is gif, the others are ps)","Nonlinearity 11(3): 557-574 (1998)","10.1088/0951-7715/11/3/009",,"chao-dyn nlin.CD",,"  We study quadratic, volume preserving diffeomorphisms whose inverse is also
quadratic. Such maps generalize the Henon area preserving map and the family of
symplectic quadratic maps studied by Moser. In particular, we investigate a
family of quadratic volume preserving maps in three space for which we find a
normal form and study invariant sets. We also give an alternative proof of a
theorem by Moser classifying quadratic symplectic maps.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:25:01 GMT""}]","2010-06-22"
"cond-mat/9705312","Giorgio Parisi","Giorgio Parisi","Slow dynamics of glassy systems","Varenna Lectures 1996, 14 pages, no figures",,"10.1007/BFb0104821",,"cond-mat.dis-nn cond-mat.soft",,"  In these lectures I will present an introduction to the modern way of
studying the properties of glassy systems. I will start from soluble models of
increasing complications, the Random Energy Model, the $p$-spins interacting
model and I will show how these models can be solved due their mean field
properties. Finally, in the last section, I will discuss the difficulties in
the generalization of these findings to short range models.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 16:06:11 GMT""}]","2009-10-30"
"cond-mat/9705313","Yukihiro Okuno","Yukihiro Okuno (Department of Physics, Kyoto University) and Osamu
  Narikiyo and Kazumasa Miyake (Department of Material Physics, Osaka
  University)","Renormalized Perturbation Approach for Examination of
  Itinerant-Localized Duality Model for Strongly Correlated Electron Systems","17 pages, LaTeX, 14 figure PS file, Submitted to J. Phys. Soc. Jpn",,"10.1143/JPSJ.66.2389",,"cond-mat.str-el",,"  We present a microscopic examination for the itinerant-localized duality
model which has been proposed to understand anomalous properties of strongly
correlated systems like the heavy fermions by Kuramoto and Miyake, and also
useful to describe the anomalous properties of the high-Tc cupurates. We show
that the thermodynamic potential of the strongly interacting Hubbard model can
be rearranged in the form of duality model on the basis of renormalized
perturbation expansion of the Luttinger-Ward functional if the one-particle
spectral weight exhibits triple peak structure. We also examine the incoherent
degrees of freedom described as a ``localized spin'' and show on the basis of
the pertubation expansion that there exists commensurate superexchange-type
interaction among the ``localized spins''.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 17:56:13 GMT""}]","2009-10-30"
"cond-mat/9705314","I. R. Cantalapiedra","L.L. Bonilla, I. R. Cantalapiedra","Universality of the Gunn effect: self-sustained oscillations mediated by
  solitary waves","4 pages,3 Post-Script figures",,"10.1103/PhysRevE.56.3628",,"cond-mat.stat-mech cond-mat.soft",,"  The Gunn effect consists of time-periodic oscillations of the current flowing
through an external purely resistive circuit mediated by solitary wave dynamics
of the electric field on an attached appropriate semiconductor. By means of a
new asymptotic analysis, it is argued that Gunn-like behavior occurs in
specific classes of model equations. As an illustration, an example related to
the constrained Cahn-Allen equation is analyzed.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 19:41:57 GMT""}]","2009-10-30"
"cond-mat/9705315","Tom Kennedy","Tom Kennedy (University of Arizona)","Phase separation in the neutral Falicov-Kimball model","14 pages, latex file and 3 postscript figures. Figures are included
  using the epsf macros",,,,"cond-mat",,"  The Falicov-Kimball model consists of spinless electrons and classical
particles (ions) on a lattice. The electrons hop between nearest neighbor sites
while the ions do not. We consider the model with equal numbers of ions and
electrons and with a large on-site attractive force between ions and electrons.
For densities 1/4 and 1/5 the ion configuration in the ground state had been
proved to be periodic. We prove that for density 2/9 it is periodic as well.
However, for densities between 1/4 and 1/5 other than 2/9 we prove that the ion
configuration in the ground state is not periodic. Instead there is phase
separation. For densities in (1/5,2/9) the ground state ion configuration is a
mixture of the density 1/5 and 2/9 ground state ion configurations. For the
interval (2/9,1/4) it is a mixture of the density 2/9 and 1/4 ground states.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:36:04 GMT""}]","2007-05-23"
"cond-mat/9705316","J. Eroles","F. Lema, J. Eroles, C.D. Batista and E.R. Gagliano Bariloche","Charge and spin excitations of insulating lamellar copper oxides","6 pages, 3 figures, To be published in PRB (july)","Physical Review B 55, pag. 15295 (1997).","10.1103/PhysRevB.55.15295",,"cond-mat.str-el",,"  A consistent description of low-energy charge and spin responses of the
insulating Sr_2CuO_2Cl_2 lamellar system is found in the framework of a
one-band Hubbard model which besides $U$ includes hoppings up to 3^{rd}
nearest-neighbors. By combining mean-field calculations, exact diagonalization
(ED) results, and Quantum Monte Carlo simulations (QMC), we analyze both charge
and spin degrees of freedom responses as observed by optical conductivity,
ARPES, Raman and inelastic neutron scattering experiments. Within this
effective model, long-range hopping processes flatten the quasiparticle band
around $(0,\pi)$. We calculate also the non-resonant A_{1g} and B_{1g} Raman
profiles and show that the latter is composed by two main features, which are
attributed to 2- and 4-magnon scattering.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 21:51:57 GMT""}]","2014-10-13"
"cond-mat/9706001","Andreas Voigt","A. Voigt (1), J. Richter (1) and N. B. Ivanov (2) ((1) University
  Magdeburg, (2) Bulgarian Academy of Sciences)","Marshall-Peierls sign rule for excited states of the frustrated J1-J2
  Heisenberg antiferromagnet","7 pages, LaTeX, 4 eps figures, to appear in Physica A","Physica A 245 (1997) 269-275","10.1016/S0378-4371(97)00330-0",,"cond-mat.stat-mech",,"  We present analytical and numerical calculations for some exited states of
the frustrated J1-J2 spin-1/2 Heisenberg model for linear chains and square
lattices. We consider the lowest eigenstates in the subspaces determined by the
eigenvalue M of the spin operator S_total^z. Because of the reduced number of
Ising basis states in the subspaces with higher M we are able to diagonalize
systems with up to N=144 spins. We find evidence that the Marshall-Peierls sign
rule survives for a relatively large frustration parameter J2.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 11:00:46 GMT""}]","2015-06-25"
"dg-ga/9706001","Mark J. Gotay","Mark J. Gotay, Janusz Grabowski, and Hendrik B. Grundling","An Obstruction to Quantizing Compact Symplectic Manifolds","LaTeX2e, 9 pps. Uses amsmath & amsfonts packages. This paper is a
  revised version of the published article; the proof of Theorem 4 has been
  redone and simplified","Proc. Amer. Math. Soc. 128 [2000], 237-243",,,"dg-ga math.DG quant-ph",,"  We prove that there are no nontrivial finite-dimensional Lie representations
of certain Poisson algebras of polynomials on a compact symplectic manifold.
This result is used to establish the existence of a universal obstruction to
quantizing a compact symplectic manifold, regardless of the dimensionality of
the representation.
","[{""version"":""v1"",""created"":""Sat, 31 May 1997 12:06:56 GMT""},{""version"":""v2"",""created"":""Mon, 20 Oct 1997 10:35:03 GMT""},{""version"":""v3"",""created"":""Thu, 21 Oct 1999 01:51:24 GMT""}]","2008-02-03"
"gr-qc/9705084","Martin Rainer","M. Rainer","Regularized Algebraic Nets for General Covariant QFT on Differentiable
  Manifolds","13 pages, LaTeX, rejected by Class. Quant. Grav., revised",,,"Uni-P-Math/96-17","gr-qc",,"  Quantum general relativity may be considered as generally covariant QFT on
differentiable manifolds, without any a priori metric structure. The
kinematically covariance group acts by general diffeomorphisms on the manifold
and by automorphisms on the isotonic net of *-algebras encoding the QFT, while
the algebra of observables is covariant under the dynamical subgroup of the
general diffeomorphism group.
  Here, I focus on an algebraic implementation of the dynamical subgroup of
dilations. Introducing an small and large scale cutoffs algebraically, their
usual a priori conflict with general covariance is avoided. Thereby, a
commutant duality between the minimal and maximal algebra is proposed. This
allows to extract the modular structure, which is again related to the
dilations.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:24:18 GMT""}]","2007-05-23"
"gr-qc/9705085","Alexander L. Gromov","Vladik Kreinovich and R. R. Zapatrin","An operationalistic reformulation of Einstein's equivalence principle","latex",,,"IRB-MSP-970530","gr-qc",,"  The Einstein's equivalence principle is formulated in terms of the accuracy
of measurements and its dependence of the size of the area of measurement. It
is shown that different refinements of the statement 'the spacetime is locally
flat' lead to different conculsions about the spacetime geometry.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:30:18 GMT""}]","2007-05-23"
"gr-qc/9705086","Benjamin C. Harms","R. Casadio, B. Harms, Y. Leblanc (Dept. of Physics, the University of
  Alabama) and P.H. Cox (Physics Dept., Texas A&M University-Kingsville)","Perturbations in the Kerr-Newman Dilatonic Black Hole Background: I.
  Maxwell waves","RevTeX, 36 pages in preprint style, 1 figure posted as a separate PS
  file, submitted to Phys. Rev. D","Phys.Rev.D56:4948-4961,1997","10.1103/PhysRevD.56.4948","UAHEP976","gr-qc hep-th",,"  In this paper we analyze the perturbations of the Kerr-Newman dilatonic black
hole background. For this purpose we perform a double expansion in both the
background electric charge and the wave parameters of the relevant quantities
in the Newman-Penrose formalism. We then display the gravitational, dilatonic
and electromagnetic equations, which reproduce the static solution (at zero
order in the wave parameter) and the corresponding wave equations in the Kerr
background (at first order in the wave parameter and zero order in the electric
charge). At higher orders in the electric charge one encounters corrections to
the propagations of waves induced by the presence of a non-vanishing dilaton.
An explicit computation is carried out for the electromagnetic waves up to the
asymptotic form of the Maxwell field perturbations produced by the interaction
with dilatonic waves. A simple physical model is proposed which could make
these perturbations relevant to the detection of radiation coming from the
region of space near a black hole.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 22:56:24 GMT""}]","2008-11-26"
"hep-ex/9705020","I. Lazzizzera","T.Maggipinto, G.Nardulli, S.Dusini, F.Ferrari, I.Lazzizzera, A.Sidoti,
  A.Sartori, G.P.Tecchiolli","Role of Neural Networks in the Search of the Higgs Boson at LHC","Latex, 8 pages, 2 figures","Phys.Lett. B409 (1997) 517-522","10.1016/S0370-2693(97)00887-3","BARI-TH/268-97","hep-ex hep-ph",,"  We show that neural network classifiers can be helpful to discriminate Higgs
production from background at LHC in the Higgs mass range M= 200 GeV. We employ
a common feed-forward neural network trained by the backpropagation algorithm
for off-line analysis and the neural chip Totem, trained by the Reactive Tabu
Search algorithm, which could be used for on-line analysis.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 17:50:52 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 1997 17:12:25 GMT""}]","2009-10-30"
"hep-lat/9705041","Srinath C.","Srinath Cheluvaraja (Tata Institute of Fundamental Research)","Phase transitions in abelian lattice gauge theories","17 pages in LaTeX with eight figures. The manuscript has been
  substantially revised and some more results are included",,,"TIFR/TH-97-26","hep-lat",,"  We study the phase transition in the abelian lattice gauge theory using the
Wilson-Polyakov line as the order parameter. The Wilson-Polyakov line remains
very small at strong coupling and becomes non-zero at weak coupling, signalling
a confinement to deconfinement phase transition. The decondensation of monopole
loops is responsible for this phase transition. A finite size scaling analysis
of the susceptibility of the Wilson line gives a ratio for $\gamma/\nu$ which
is quite close to the corresponding value in the 3-d planar model. A scaling
behaviour for the monopole loop distribution function is also established at
the point of the second order phase transition. A measurement of the plaquette
susceptibility at the transition point shows that it does not scale with the
four dimensional volume as is expected of a first order bulk transition.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 16:32:26 GMT""},{""version"":""v2"",""created"":""Tue, 15 Dec 1998 13:35:12 GMT""}]","2008-02-03"
"hep-ph/9705472","Victor Novikov","A.Dobrovolskaya, V.Novikov","Remarks on Higgs boson production","7 pages, Latex, Talk given at the Recontres of La Thuile 1997",,,,"hep-ph",,"  We demonstrate that Higgs boson production in fusion processes is accompanied
by large azimuthal asymmetry. This asymmetry can be used to facilitate
detection of Higgs boson events. We also demonstrate that the double Higgs
boson production at threshold is a very appropriate process to test the
existence of new physics at higher energy.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:41:44 GMT""}]","2007-05-23"
"hep-ph/9705475","Ofelia","F. Buccella, I. Dorsner, O. Pisanti, L. Rosa, and P. Santorelli","A Positive Test for Fermi-Dirac Distributions of Quark-Partons","15 pages LaTeX, 2 eps figures. Final version, to appear in Mod. Phys.
  Lett. A","Mod.Phys.Lett. A13 (1998) 441-452","10.1142/S0217732398000516","DSF-T-97/21, Bari-TH/97-272","hep-ph",,"  By describing a large class of deep inelastic processes with standard
parameterization for the different parton species, we check the characteristic
relationship dictated by Pauli principle: broader shapes for higher first
moments. Indeed, the ratios between the second and the first moment and the one
between the third and the second moment for the valence partons is an
increasing function of the first moment and agrees quantitatively with the
values found with Fermi-Dirac distributions.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 16:11:37 GMT""},{""version"":""v2"",""created"":""Tue, 3 Mar 1998 19:20:49 GMT""}]","2009-10-30"
"hep-ph/9705476","J. Lorenzo Diaz-Cruz","J. Lorenzo Diaz-Cruz","Anomalies and decoupling of charginos and neutralinos in the MSSM","11 pages, standard Latex, accepted in phys. rev. d","Phys.Rev. D56 (1997) 523-526","10.1103/PhysRevD.56.523","IFUAP-03-97","hep-ph",,"  We study the contribution of charginos and neutralinos of the Minimal SUSY
extension of the Standard model (MSSM) to the 1-loop vertices ZAA, ZZA, ZZZ,
and examine the related cancellation of anomalies. It is found that when the
SUSY parameter \mu satisfies |\mu| >> M,M', m_W, the couplings of charginos and
neutralinos with the gauge bosons become purely vectorial, and then their
contribution to the amplitudes for ZAA, ZZA and ZZZ vanish, which implies that
this sector of the MSSM does not generate a Wess-Zumino term. We evaluate also
the contribution of charginos and neutralinos to the \rho parameter, and find
that \rho=0 in the large-\mu limit.
","[{""version"":""v1"",""created"":""Fri, 30 May 1997 20:06:35 GMT""}]","2009-10-30"
