"alg-geom/9712027","Ron Donagi","Ron Donagi and Ron Livne","The arithmetic-geometric mean and isogenies for curves of higher genus","Latex, 18 pages",,,,"alg-geom math.AG",,"  Computation of Gauss's arithmetic-geometric mean involves iteration of a
simple step, whose algebro-geometric interpretation is the construction of an
elliptic curve isogenous to a given one, specifically one whose period is
double the original period. A higher genus analogue should involve the explicit
construction of a curve whose jacobian is isogenous to the jacobian of a given
curve. The doubling of the period matrix means that the kernel of the isogeny
should be a lagrangian subgroup of the group of points of order 2 in the
jacobian. In genus 2 such a construction was given classically by Humbert and
was studied more recently by Bost and Mestre. In this article we give such a
construction for general curves of genus 3. We also give a similar but simpler
construction for hyperelliptic curves of genus 3. We show that the
hyperelliptic construction is a degeneration of the general one, and we prove
that the kernel of the induced isogeny on jacobians is a lagrangian subgroup of
the points of order 2. We show that for g at least 4 no similar construction
exists, and we also reinterpret the genus 2 case in our setup. Our construction
of these correspondences uses the bigonal and the trigonal constructions,
familiar in the theory of Prym varieties.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 19:47:44 GMT""}]","2007-05-23"
"chao-dyn/9712018","David A. Egolf","David A. Egolf (Cornell University) and Joshua E. S. Socolar (Duke
  University)","Failure of linear control in noisy coupled map lattices","16 pages including 3 figures",,"10.1103/PhysRevE.57.5271",,"chao-dyn nlin.CD",,"  We study a 1D ring of diffusively coupled logistic maps in the vicinity of an
unstable, spatially homogeneous fixed point. The failure of linear controllers
due to additive noise is discussed with the aim of clarifying the failure
mechanism. A criterion is suggested for estimating the noise level that can be
tolerated by the given controller. The criterion implies the loss of control
for surprisingly low noise levels in certain cases of interest, and accurately
accounts for the results of numerical experiments over a broad range of
parameter values. Previous results of Grigoriev, et al (Phys. Rev. Lett., 79,
2795) are reviewed and compared with our numerical and analytical results.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 21:29:05 GMT""}]","2009-10-30"
"cond-mat/9712256","Daniel Braun","D.Braun, G.Montambaux and M.Pascaud","Boundary conditions at the mobility edge","4 pages of revtex, new figures, new abstract, the text has been
  changed: The large energy behavior of the number variance has been found to
  be independent of the boundary conditions",,"10.1103/PhysRevLett.81.1062","MIT-bcs-97","cond-mat.mes-hall",,"  It is shown that the universal behavior of the spacing distribution of
nearest energy levels at the metal--insulator Anderson transition is indeed
dependent on the boundary conditions. The spectral rigidity $\Sigma^2(E)$ also
depends on the boundary conditions but this dependence vanishes at high energy
$E$. This implies that the multifractal exponent $D_2$ of the participation
ratio of wave functions in the bulk is not affected by the boundary conditions.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 15:11:09 GMT""},{""version"":""v2"",""created"":""Wed, 27 May 1998 13:57:21 GMT""}]","2009-10-30"
"cond-mat/9712259","Hyunggyu Park","WonMuk Hwang(Korea Military Academy, Korea), Sungchul Kwon, Heungwon
  Park, and Hyunggyu Park (Inha University, Korea)","Critical phenomena of nonequilibrium dynamical systems with two
  absorbing states","11 pages, 21 figures, Revtex, submitted to Phy. Rev. E","Physical Review E 57, 6438 (1998)","10.1103/PhysRevE.57.6438","INHA-STATPHYS-97-001","cond-mat.stat-mech",,"  We study nonequilibrium dynamical models with two absorbing states:
interacting monomer-dimer models, probabilistic cellular automata models,
nonequilibrium kinetic Ising models. These models exhibit a continuous phase
transition from an active phase into an absorbing phase which belongs to the
universality class of the models with the parity conservation. However, when we
break the symmetry between the absorbing states by introducing a
symmetry-breaking field, Monte Carlo simulations show that the system goes back
to the conventional directed percolation universality class. In terms of domain
wall language, the parity conservation is not affected by the presence of the
symmetry-breaking field. So the symmetry between the absorbing states rather
than the conservation laws plays an essential role in determining the
universality class. We also perform Monte Carlo simulations for the various
interface dynamics between different absorbing states, which yield new
universal dynamic exponents. With the symmetry-breaking field, the interface
moves, in average, with a constant velocity in the direction of the unpreferred
absorbing state and the dynamic scaling exponents apparently assume trivial
values. However, we find that the hyperscaling relation for the directed
percolation universality class is restored if one focuses on the dynamics of
the interface on the side of the preferred absorbing state only.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 01:00:25 GMT""}]","2009-10-30"
"cond-mat/9712260","Mohammad Abolfath","M. Abolfath","Quantum fluctuations of classical skyrmions in quantum Hall Ferromagnets","A few errors are corrected. Accepted for publication in Rapid
  Communication, Phys. Rev. B","Phys.Rev. B58 (1998) 2013","10.1103/PhysRevB.58.2013",,"cond-mat",,"  In this article, we discuss the effect of the zero point quantum fluctuations
to improve the results of the minimal field theory which has been applied to
study %SMG the skyrmions in the quantum Hall systems. Our calculation which is
based on the semiclassical treatment of the quantum fluctuations, shows that
the one-loop quantum correction provides more accurate results for the minimal
field theory.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 06:18:09 GMT""},{""version"":""v2"",""created"":""Thu, 23 Apr 1998 07:32:48 GMT""}]","2009-10-30"
"cond-mat/9712262","Dmitry Sergeevich Petrov","M.A. Baranov and D.S. Petrov","Critical temperature and Ginzburg-Landau equation for a trapped Fermi
  gas","6 pages, 1 figure, REVTeX. The figure improved. Misprints corrected.
  More discussion added","Phys. Rev. A 58, R801 (1998)","10.1103/PhysRevA.58.R801","IMP-4807/12","cond-mat.stat-mech",,"  We discuss a superfluid phase transition in a trapped neutral-atom Fermi gas.
We consider the case where the critical temperature greatly exceeds the spacing
between the trap levels and derive the corresponding Ginzburg-Landau equation.
The latter turns out to be analogous to the equation for the condensate wave
function in a trapped Bose gas. The analysis of its solution provides us with
the value of the critical temperature $T_{c}$ and with the spatial and
temperature dependence of the order parameter in the vicinity of the phase
transition point.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 11:02:28 GMT""},{""version"":""v2"",""created"":""Thu, 15 Jan 1998 13:28:15 GMT""},{""version"":""v3"",""created"":""Wed, 1 Apr 1998 11:49:13 GMT""}]","2009-10-30"
"cond-mat/9712263","Valeri Kotov","V.N. Kotov, O. Sushkov, Zheng Weihong, and J. Oitmaa (UNSW)","Novel approach to description of spin liquid phases in low-dimensional
  quantum antiferromagnets","4 pages, REVTex, 3 Postscript figures","Phys. Rev. Lett. 80, 5790 (1998).","10.1103/PhysRevLett.80.5790","UNSW-97-12","cond-mat.str-el",,"  We consider quantum spin systems with dimerization, which at strong coupling
have singlet ground states. To account for strong correlations, the excitations
are described as dilute Bose gas of degenerate triplets with infinite on-site
repulsion. This approach is applied to the two-layer Heisenberg model at zero
temperature with general couplings. Our analytic results for the triplet gap,
the excitation spectrum and the location of the quantum critical point are in
excellent agreement with numerical results, obtained by dimer series
expansions.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 11:49:51 GMT""}]","2009-10-30"
"cond-mat/9712264","Kiet Anh Nguyen","A. K. Nguyen and A. Sudb{\o}","Phase-coherence and the boson-analogy of vortex liquids","14 pages, 13 figures, to be published in Phys. Rev. B",,"10.1103/PhysRevB.58.2802",,"cond-mat.supr-con",,"  The statistical mechanics of the flux-line lattice in extreme type-II super-
conductors is studied within the framework of the uniformly frustrated
anisotropic 3D XY-model. A finite-field counterpart of an Onsager vortex-loop
transition in extreme type-II superconductors renders the vortex liquid phase-
incoherent when the Abrikosov vortex lattice undergoes a first order melting
transition. For the filling fractions considered in this paper $f$ given by
$1/f=12,14,16,20,25,32,48,64,72,84,96,112$, and 128, the vortex liquid phase is
not describable as a liquid of well-defined field induced vortex lines. This is
due to the proliferation of thermally induced closed vortex-loops with dia-
meters of order the magnetic length in the problem, resulting in a ""percolation
transition"" driven by non-field induced vortices also transverse to the direc-
tion of the applied magnetic field. This immediately triggers flux-line lattice
melting and loss of phase-coherence in all direction. In a non-relativistic 2D
boson-analogy picture, this latter feature would correspond to a vanishing mass
of the bosons. Scaling functions for the specific heat are calculated in zero
and finite magnetic field. From this we conclude that the critical region is of
order 10% of $T_c$ for a mass anisotropy $\sqrt{M_z/M}=3$, and increases with
increasing mass anisotropy. The entropy jump at the melting transition is cal-
culated as a function of magnetic field for a mass-ansitropy slightly lower
than that in $YBCO$, and found to be $\Delta S=0.1k_B$ per vortex panncake,
independent of the magnetic field for the filling fractions considered here.
This is slightly lower than experimental values of $\Delta S \approx 0.4k_B$
found experimentally for $YBCO$. We attribute this to the slightly lower mass
anisotropy used in our simulations.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 12:04:35 GMT""},{""version"":""v2"",""created"":""Sun, 26 Apr 1998 17:09:24 GMT""}]","2009-10-30"
"cond-mat/9712265","Elena E. Tareyeva","Elena Tareyeva and Valentin Ryzhov (Institute for High Pressure
  Physics, Russian Academy of Sciences)","Freezing transition in three and two dimensions by the generalized
  density functional theory","Lecture given on the International School on Strongly correlated
  systems and critical phenomena, held in JINR, Dubna (Russia) from August 26
  to September 5, 1997. 38 Latex pages, no figures",,,,"cond-mat.stat-mech",,"  A brief introduction to conventional DFT of 3D freezing is given and some
recent results are reviewed. The conventional DFT, however, can not be used in
the 2D case, particularly, because it can not describe the hexatic phase --
intermediate phase of 2D melting. We generalize DFT to describe 2D systems and
two-stage melting scenario including intermediate hexatic phase. Hexatic phase
is characterized by the appearance of bond orientational ordering. Our approach
describes this fact in terms of the appearance of nonisotropic part of the
two-particle distribution function while one-particle density remains constant.
Now we are dealing with the bifurcation of the solution of the equation for the
binary distribution function. Microscopic expressions for elastic moduli and
the Frank constant of hexatic phase are derived on the base of comparison of
distribution functions asymptotic behavior with the results of phenomenological
theories. We use our approach for the calculation of the phase boundary between
usual isotropic liquid and hexatic phase and slightly modified traditional DFT
for the phase boundary between hexatic phase and crystalline solid for a number
of 2D systems (hard disks, classical electron crystal, thin superconducting
films, Yukawa system etc.)
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 12:04:08 GMT""}]","2007-05-23"
"cond-mat/9712266","Andrzej Fleszar","M. Nagelstra{\ss}er, H. Dr\""oge, H.-P. Steinr\""uck F. Fischer, T.
  Litz, A. Waag, G. Landwehr A. Fleszar and W. Hanke","The band structure of BeTe - a combined experimental and theoretical
  study","21 pages plus 4 figures",,"10.1103/PhysRevB.58.10394",,"cond-mat.soft",,"  Using angle-resolved synchrotron-radiation photoemission spectroscopy we have
determined the dispersion of the valence bands of BeTe(100) along $\Gamma X$,
i.e. the [100] direction. The measurements are analyzed with the aid of a
first-principles calculation of the BeTe bulk band structure as well as of the
photoemission peaks as given by the momentum conserving bulk transitions.
Taking the calculated unoccupied bands as final states of the photoemission
process, we obtain an excellent agreement between experimental and calculated
spectra and a clear interpretation of almost all measured bands. In contrast,
the free electron approximation for the final states fails to describe the BeTe
bulk band structure along $\Gamma X$ properly.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 13:25:06 GMT""}]","2016-08-17"
"dg-ga/9712012","Kirill C. H. Mackenzie","Kirill C. H. Mackenzie and Ping Xu","Integration of Lie bialgebroids","26 pages, LaTeX",,,,"dg-ga math.DG",,"  We prove that under certain mild assumptions a Lie bialgebroid integrates to
a Poisson groupoid. This includes, in particular, a new proof of the existence
of local symplectic groupoids for any Poisson manifold, a theorem of Karasev
and of Weinstein.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 15:22:05 GMT""}]","2007-05-23"
"funct-an/9712009","Hideki Nakamura","Hideki Nakamura (Hokkaido University)","A Rohlin Type Theorem for Automorphisms of Certain Purely Infinite
  $C^{\ast}$-Algebras","14 pages, no figure, LaTex",,,,"funct-an math.OA",,"  We show a noncommutative Rohlin type theorem for automorphisms of a certain
class of purely infinite simple $C^{\ast}$-algebras. This class consists of the
purely infinite unital simple $C^{\ast}$-algebras which are in the bootstrap
category ${\cal N}$ and have trivial $K_{1}$-groups.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 08:55:51 GMT""}]","2007-05-23"
"gr-qc/9712084","Carsten Gundlach","Carsten Gundlach (Albert Einstein Institut, Potsdam)","Critical phenomena in gravitational collapse (review paper)","46 p. Latex. Many minor corrections and extensions. To appear in Adv.
  Theor. Math. Phys","Adv.Theor.Math.Phys.2:1-49,1998",,,"gr-qc",,"  As first discovered by Choptuik, the black hole threshold in the space of
initial data for general relativity shows both surprising structure and
surprising simplicity. Universality, power-law scaling of the black hole mass,
and scale echoing have given rise to the term ""critical phenomena"". They are
explained by the existence of exact solutions which are attractors within the
black hole threshold, that is, attractors of codimension one in phase space,
and which are typically self-similar. This review gives an introduction to the
phenomena, tries to summarize the essential features of what is happening, and
then presents extensions and applications of this basic scenario. Critical
phenomena are of interest particularly for creating surprising structure from
simple equations, and for the light they throw on cosmic censorship. They may
have applications in quantum black holes and astrophysics.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 1997 16:52:53 GMT""},{""version"":""v2"",""created"":""Fri, 9 Jan 1998 15:16:57 GMT""},{""version"":""v3"",""created"":""Tue, 27 Jan 1998 15:10:58 GMT""}]","2008-11-26"
"gr-qc/9712085","Frans Pretorius","F. Pretorius, D. Vollick and W. Israel","An Operational Approach To Black Hole Entropy","15 pages, LaTeX, submitted to Phys. Rev. D","Phys.Rev. D57 (1998) 6311-6316","10.1103/PhysRevD.57.6311",,"gr-qc",,"  In this paper we calculate the entropy of a thin spherical shell that
contracts reversibly from infinity down to its event horizon. We find that, for
a broad class of equations of state, the entropy of a non-extremal shell is
one-quarter of its area in the black hole limit. The considerations in this
paper suggest the following operational definition for the entropy of a black
hole: $S_{BH}$ is the equilibrium thermodynamic entropy that would be stored in
the material which gathers to form the black hole, if all of this material were
compressed into a thin layer near its gravitational radius. Since the entropy
for a given mass and area is maximized for thermal equilibrium we expect that
this is the maximum entropy that could be stored in the material before it
crosses the horizon. In the case of an extremal black hole the shell model does
not assign an unambiguous value to the entropy.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 1997 09:03:17 GMT""}]","2009-10-30"
