"alg-geom/9712006","Toshiyuki Akita","Toshiyuki Akita","Homological infiniteness of Torelli groups","AMSLaTeX v.1.2, 6 pages",,,"Fukuoka University, Department of Applied Mathematics, preprint
  1997/12/01","alg-geom math.AG math.DG q-alg",,"  We prove that rational homology of the Torelli group of genus g is infinite
dimensional, provided g>6. This means that rational homology of the Torelli
space of genus g>6 is infinite dimensional. The Torelli groups with marked
points are also considered. In addition, we prove that rational homology of the
subgroup of the Torelli group of genus g generated by all the Dehn twists along
separating simple closed curves is infinite dimensional for g>2.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 20:03:26 GMT""}]","2007-05-23"
"astro-ph/9712054","Byung-Il Jun","Byung-Il Jun (University of Minnesota and Lawrence Livermore National
  Laboratory)","Interaction of a Pulsar Wind with the Expanding Supernova Remnant","16 pages, 9 figures, 1 table, accepted for Astrophysical Journal",,"10.1086/305627",,"astro-ph",,"  Recent HST observations of the Crab Nebula show filamentary structures that
appear to originate from the Rayleigh-Taylor (R-T) instability operating on the
supernova ejecta accelerated by the pulsar-driven wind. In order to understand
the origin and formation of the filaments in the Crab Nebula, we study the
interaction of a pulsar wind with the uniformly expanding supernova remnant by
means of numerical simulation. By performing two-dimensional numerical
simulations, we find three independent instabilities in the interaction region
between the pulsar wind and the expanding supernova remnant. The most important
instability develops as the shock driven by the pulsar bubble becomes
accelerated ($r \propto t^{6/5}$). The instability produces pronounced
filamentary structures that resemble the observed filaments in the Crab Nebula.
Our numerical simulations can reproduce important observational features of the
Crab Nebula. The high density heads in the R-T finger tips are produced because
of the compressibility of the gas. The density of these heads is found to be
about 10 times higher than other regions in the fingers. The mass contained in
the R-T fingers is found to be $60 % - 75 %$ of the total shocked mass and the
kinetic energy within the R-T fingers is $55 % - 72 %$ of the total kinetic
energy of the shocked flow. The R-T fingers are found to accelerate with a
slower rate than the shock front, which is consistent with the observations. By
comparing our simulations and the observations, we infer that the some
finger-like filaments (region F or G in Hester's observation) started to
develop about 657 years ago.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 22:52:13 GMT""}]","2009-10-30"
"astro-ph/9712055","Robert Kennicutt","R. Kennicutt, P. Stetson, A. Saha, D. Kelson, D. Rawson, S. Sakai, B.
  Madore, J. Mould, W. Freedman, F. Bresolin, L. Ferrarese, H. Ford, B. Gibson,
  J. Graham, M. Han, P. Harding, J. Hoessel, J. Huchra, S. Hughes, G.
  Illingworth, L. Macri, R. Phelps, N. Silbermann, A. Turner, P. Wood","The HST Key Project on the Extragalactic Distance Scale XIII. The
  Metallicity Dependence of the Cepheid Distance Scale","28 pages, 4 tables, 10 figures, to appear in The Astrophysical
  Journal","Astrophys.J.498:181,1998","10.1086/305538","Steward Observatory Preprint Series No. 1418","astro-ph",,"  Uncertainty in the metal abundance dependence of the Cepheid variable period-
luminosity (PL) relation remains one of the outstanding sources of systematic
error in the extragalactic distance scale and Hubble constant. To test for such
a metallicity dependence, we have used the WFPC2 camera on the Hubble Space
Telescope (HST) to observe Cepheids in two fields in the nearby spiral galaxy
M101, which span a range in oxygen abundance of 0.7+-0.15 dex. A differential
analysis of the PL relations in V and I in the two fields yields a marginally
significant change in the inferred distance modulus on metal abundance, with
d(m-M)/d[O/H] = -0.24+-0.16 mag/dex. The trend is in the theoretically
predicted sense that metal-rich Cepheids appear brighter and closer than
metal-poor stars. External comparisons of Cepheid distances with those derived
from three other distance indicators, in particular the tip of the red giant
branch method, further constrain the magnitude of any Z-dependence of the PL
relation at V and I. The overall effects of any metallicity dependence on the
distance scale derived with HST will be of the order of a few percent or less
for most applications, though distances to individual galaxies at the extremes
of the metal abundance range may be affected at the 10% level.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 23:00:41 GMT""}]","2008-11-26"
"astro-ph/9712056","Arpad Szomoru","Arpad Szomoru and Puragra Guhathakurta","Optical Spectroscopy of Galactic Cirrus Clouds: Extended Red Emission in
  the Diffuse Interstellar Medium","7 pages, 2 figures. Accepted for publication in ApJ Letters",,"10.1086/311156",,"astro-ph",,"  We present initial results from the first optical spectroscopic survey of
high latitude Galactic cirrus clouds. The observed shape of the cirrus spectrum
does not agree with that of scattered ambient Galactic starlight. This mismatch
can be explained by the presence of Extended Red Emission (ERE) in the diffuse
interstellar medium, as found in many other astronomical objects, probably
caused by photoluminescence of hydrocarbons. The integrated ERE intensity,
I_ERE \approx 1.2 x 10^{-5} erg s^{-1} cm^{-2} sr^{-1}, is roughly a third of
the scattered light intensity, consistent with recent color measurements of
diffuse Galactic light. The peak of the cirrus ERE (lambda_{0} \sim 6000 AA) is
shifted towards short (bluer) wavelengths compared to the ERE in sources
excited by intense ultraviolet radiation, such as HII regions (lambda_{0} sim
8000 AA); such a trend is seen in laboratory experiments on hydrogenated
amorphous carbon films.
","[{""version"":""v1"",""created"":""Wed, 3 Dec 1997 23:15:06 GMT""},{""version"":""v2"",""created"":""Tue, 9 Dec 1997 17:35:13 GMT""}]","2009-10-30"
"astro-ph/9712057","Wayne Hu","Wayne Hu, Daniel J. Eisenstein, Max Tegmark (IAS, Princeton)","Weighing Neutrinos with Galaxy Surveys","4 pages, Revtex, 3 ps figures included, version accepted by PRL;
  caveats added about scale-dependent bias; additional color delta m^2 plot
  available at http://www.sns.ias.edu/~whu","Phys.Rev.Lett.80:5255-5258,1998","10.1103/PhysRevLett.80.5255",,"astro-ph hep-ph nucl-ex",,"  We show that galaxy redshift surveys sensitively probe the neutrino mass,
with eV mass neutrinos suppressing power by a factor of two. The Sloan Digital
Sky Survey can potentially detect $N$ nearly degenerate massive neutrino
species with mass m_nu > 0.65 (Omega_m h^2/0.1 N)^{0.8} eV at better than
2sigma once microwave background experiments measure two other cosmological
parameters. Significant overlap exists between this region and that implied by
the LSND experiment, and even m_nu ~ 0.01-0.1 eV, as implied by the atmospheric
anomaly, can affect cosmological measurements.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 01:12:41 GMT""},{""version"":""v2"",""created"":""Tue, 26 May 1998 22:02:49 GMT""}]","2009-10-07"
"astro-ph/9712058","Chia-ming Hsu","Chia-ming Hsu and Omer Blaes","Compton scattering of polarized radiation in two phase accretion disks
  in active galactic nuclei","22 pages, 18 figures, use AASTeX style file aaspp4.sty",,"10.1086/306263",,"astro-ph",,"  We present results of radiative transfer calculations of Compton scattering
of polarized radiation in a corona above an accretion disk. The corona has a
plane-parallel geometry and is assumed to be homogeneous with a fixed
temperature. We employ a Feautrier method to calculate the radiative transfer,
incorporating the full relativistic, polarized Compton redistribution matrix.
This allows us to explore a broad range of parameter space, in particular large
optical depths and/or low corona temperatures, for which the iterative
scattering method is very inefficient. Compared to Thomson scattering, Compton
scattering generally produces smaller polarizations for featureless spectra.
Distinct frequency-dependent patterns in polarization are produced near lines
and edges, which can be used as diagnostics for the corona. We discuss the
physics which gives rise to these results. Compton scattering can smear out
Lyman edges in total flux, and at the same time produce large increases in
polarization. This might help explain the steep rises in polarization observed
near the Lyman limit in some quasars.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 01:43:11 GMT""}]","2009-10-30"
"astro-ph/9712059","Markus Kissler-Patig","Markus Kissler-Patig (UCO/Lick Observatory, UCSC)","Globular Cluster Halos around the brightest Fornax Ellipticals","4 pages (incl. one postscript figure), uses psfig.sty and
  paspconf.sty, to appear in the ASP conference series as workshop proceeding
  of ""Galactic Halos"", ed. D.Zaritsky",,,,"astro-ph",,"  We compare the properties of the globular clusters around NGC 1399, NGC 1404
and NGC 1380, the three brightest early-type galaxies in the center of the
Fornax galaxy cluster. The globular cluster systems are qualitatively very
similar, pointing to similar mechanisms of formation. However, NGC 1399 host a
factor of 10 more globular clusters, while being only 0.3-0.4 mag brighter,
than the other two galaxies. Further, the kinematics of the globular clusters
around NGC 1399 favor the association of a large fraction of them with the
galaxy cluster rather than with the giant elliptical. Globular cluster
stripping and accumulation in the center of the cluster seem therefore to have
played an important role in building up the high specific frequency of this cD
galaxy.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 02:05:28 GMT""}]","2007-05-23"
"astro-ph/9712060","Jarle Brinchmann","J. Brinchmann, R. Abraham, D. Schade, L. Tresse, R. S. Ellis, S. J.
  Lilly, O. Le Fevre, K. Glazebrook, F. Hammer, M. Colless, D. Crampton, T.
  Broadhurst","HST imaging of CFRS and LDSS galaxies - I: Morphological Properties","51 pages (14 PS-figures, 3 figures as GIFs) To be published in in ApJ","Astrophys.J.499:112,1998","10.1086/305621",,"astro-ph",,"  (Abridged) We analyse Hubble Space Telescope images of a complete sample of
341 galaxies drawn from both the Canada France and Autofib/Low Dispersion
Survey Spectrograph ground-based redshift surveys. We discuss morphological
classifications of these galaxies, and quantify possible biases that may arise
from various redshift-dependent effects. We then discuss these biases in the
context of automated classifications, and quantify the expected
misclassification in our system. After allowing for such biases, the redshift
distribution for normal spirals, together with their luminosity function
derived as a function of redshift, indicates approximately 1 magnitude of
luminosity evolution in B(AB) by z=1. The elliptical sample is too small for
precise evolutionary constraints. However, we find a substantial increase in
the proportion of galaxies with irregular morphology at large redshift. These
galaxies also appear to be the dominant cause of the rapid rise with redshift
in the blue luminosity density identified in the redshift surveys. Although
galaxies with irregular morphology may well comprise a mixture of different
physical systems and might not correspond to present day irregulars, it is
clear that the apparently declining abundance and luminosities of our distant
``irregulars'' holds an important key to understanding recent evolution in the
star formation history of normal galaxies.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 04:02:25 GMT""}]","2008-11-26"
"astro-ph/9712061","Jarle Brinchmann","S. J. Lilly, D. Schade, R. S. Ellis, O. Le Fevre, J. Brinchmann, R.
  Abraham, L. Tresse, F. Hammer, D. Crampton, M. Colless, K. Glazebrook, G.
  Mallen-Ornelas, T. Broadhurst","Hubble Space Telescope imaging of the CFRS and LDSS redshift surveys II:
  Structural parameter and the evolution of disk galaxies to z=1","43 pages, 15 figures, 3 plates",,"10.1086/305713",,"astro-ph",,"  (Abridged) Several aspects of the evolution of star-forming galaxies are
studied using measures of the 2-dimensional surface brightness profile of a
sample of 341 faint objects selected from the CFRS and LDSS redshift surveys
that have been observed with the Hubble Space Telescope. The size function of
disk scale lengths in disk-dominated galaxies is found to stay roughly constant
to z=1. This result, which is strengthened by inclusion of the local de Jong et
al (1996) size function, suggests that the scale lengths of typical disks can
not have grown substantially with cosmic epoch since z=1, unless a
corresponding number of large disks have been destroyed through merging. In
addition to a roughly constant number density, the galaxies with large disks
have, as a set, properties consistent with the idea that they are similar
galaxies observed at different cosmic epochs. However, on average, they show
higher B-band disk surface brightnesses, bluer overall (U-V) colors, higher
[OII] 3727 equivalent widths and less regular morphologies at high redshift
than at low redshift, suggesting an increase in the star-formation rate by a
factor of about 3 to z=0.7. This is consistent with the expectations of recent
models for the evolution of the disk of the Milky Way and similar galaxies. The
evolution of the large disk galaxies is probably not sufficient to account for
the evolution of the overall luminosity function of galaxies over the interval
0<z<1, especially if Omega=1. Analysis of the half-light radii of all the
galaxies in the sample and construction of the bivariate size-luminosity
function suggests that larger changes in the galaxy population are due to
smaller galaxies, those with half-light radii around 5 h_{50}^{-1} kpc
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 04:34:25 GMT""}]","2009-10-30"
"astro-ph/9712062","Izabela Owsianik","Izabela Owsianik & John E. Conway","First detection of hotspot advance in a Compact Symmetric Object.
  Evidence for a class of very young extragalactic radio source","11 pages, 6 figures inculded. Accepted to A&A",,,,"astro-ph",,"  We present the results of multi-epoch global VLBI observations of the Compact
Symmetric Object (CSO), 0710+439 at 5 GHz. Analysis of data spread over 13
years shows strong evidence for an increase in the separation of the outer
components at a rate of $0.251 \pm 0.029 h^{-1}c$. Dividing the overall size of
86.8 $h^{-1}$pc by this separation rate implies an estimated kinematic age of
only $1100 \pm 100$ yrs. After taking into account possible temporal variations
in hotspot advance speeds due to cloud collisions or hydrodynamic instabilities
we argue that the upper limit to the age of 0710+439 is most likely within a
factor of 2 of this estimate and certainly within a factor of 10 (i.e. $<11
000$ yrs). This result therefore strongly supports the idea that Compact
Symmetric Objects are very young radio-loud sources. Furthermore the large
radiative efficiency we calculate for 0710+439 is consistent with strong
negative luminosity evolution as CSOs grow in size and with them evolving into
classical double sources.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 10:46:44 GMT""},{""version"":""v2"",""created"":""Thu, 9 Jul 1998 15:39:12 GMT""}]","2007-05-23"
"astro-ph/9712063","Werner Hofmann","N. Bulian, A. Daum, G. Hermann, M. Hess, W. Hofmann, H. Lampeitl, G.
  Puehlhofer, C. Koehler, M. Panter, M. Stein (MPI fuer Kernphysik, Heidelberg)
  G. Boerst, G. Rauterberg, M. Samorski, C. Sauerland, W. Stamm (Universitaet
  Kiel)","Characteristics of the Multi-Telescope Coincidence Trigger of the HEGRA
  IACT System","17 Pages, 10 figures, Latex","Astropart.Phys. 8 (1998) 223-233","10.1016/S0927-6505(98)00003-6",,"astro-ph",,"  The HEGRA--collaboration is operating a system of imaging atmospheric
Cherenkov telescopes to search for sources of TeV-gamma-rays. Air showers are
observed in stereoscopic mode with several telescopes simultaneously. To
trigger the telescope system a versatile two-level trigger scheme has been
implemented, which allows a significant reduction of the energy threshold with
respect to single telescopes. The technical implementation of this trigger
scheme and the performance of the trigger system are described. Results include
the dependence of single- and multi-telescope trigger rates on the trigger
thresholds, on the orientation of the telescopes, and on the type of the
primary particle.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 10:44:11 GMT""}]","2009-10-30"
"astro-ph/9712064","Markus Demleitner","Markus Demleitner (Astronomisches Rechen-Institut Heidelberg)","Gas in Shearing Density Waves","PP-AA, 8 pages (9 pages with cm fonts), 7 figures. Accepted for
  publication in A&A. Complete article including figures available at
  ftp://ftp.ari.uni-heidelberg.de/pub/msdemlei/pre82.ps.gz",,,"ARI Preprint 82","astro-ph",,"  We examine the development of a transient spiral arm in a disk galaxy made up
of both gas and stars. To this end we have performed numerical simulations in a
shearing sheet (basically a rectangular patch of a disc) that contains gas in
the form of clouds behaving like Brahic's (1977) sticky particles, and stars
that appear as a background continuum providing the perturbation forces. These
are computed from the theory of swing amplification, using Fuchs' (1991) work.
We describe the evolution of our model under a single and under recurring swing
amplification events, discerning three phases. Furthermore, we give an
interpretation of this evolution in terms of a variation of the epicyclic
frequency with the distance to the wave crest. We also assess the importance of
self gravity in the gas for our results.
","[{""version"":""v1"",""created"":""Thu, 4 Dec 1997 15:03:25 GMT""}]","2007-05-23"
