"alg-geom/9712008","Bumsig","Bumsig Kim (University of California - Davis)","Quantum Hyperplane Section Theorem For Homogeneous Spaces","24 pages, LaTeX 2e. The presentation is improved a lot",,,,"alg-geom math.AG",,"  We formulated a mirror-free approach to the mirror conjecture, namely,
quantum hyperplane section conjecture, and proved it in the case of nonnegative
complete intersections in homogeneous manifolds. For the proof we followed the
scheme of Givental's proof of a mirror theorem for toric complete
intersections.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 21:07:48 GMT""},{""version"":""v2"",""created"":""Tue, 16 Dec 1997 23:46:55 GMT""},{""version"":""v3"",""created"":""Fri, 2 Jan 1998 05:55:25 GMT""}]","2007-05-23"
"astro-ph/9712095",,"P. Fosalba and E. Gaztanaga (Institut d'Estudis Espacials de
  Catalunya, Research Unit CSIC)","Cosmological Perturbation Theory and the Spherical Collapse Model - I.
  Gaussian Initial Conditions","22 pages, 11 figures. A LaTeX problem corrected. Accepted for
  publication in MNRAS","Mon.Not.Roy.Astron.Soc. 301 (1998) 503-523","10.1046/j.1365-8711.1998.02033.x","IEEC-98-I","astro-ph",,"  We present a simple and intuitive approximation for solving perturbation
theory (PT) of small cosmic fluctuations. We consider only the spherically
symmetric or monopole contribution to the PT integrals, which yields the exact
result for tree-graphs (i.e. at leading order). We find that the non-linear
evolution in Lagrangian space is then given by a simple {\it local}
transformation over the initial conditions, although it is not local in Euler
space. This transformation is found to be described the spherical collapse (SC)
dynamics, as it is the exact solution in the shearless (and therefore local)
approximation in Lagrangian space. Taking advantage of this property, it is
straightforward to derive the one-point cumulants, $\xi_J$, for both the
unsmoothed and smoothed density fields to {\it arbitrary} order in the
perturbative regime. To leading order this reproduces, and provides with a
simple explanation for, the exact results obtained by Bernardeau (1992, 1994).
We then show that the SC model leads to accurate estimates for the next
corrective terms when compared to the results derived in the exact perturbation
theory making use of the loop calculations (Scoccimarro & Frieman 1996). The
agreement is within a few per cent for the hierarchical ratios $S_J=
\xi_J/\xi_2^{J-1}$. We compare our analytic results to N-body simulations,
which turn out to be in very good agreement up to scales where $\sigma \approx
1$. A similar treatment is presented to estimate higher order corrections in
the Zel'dovich approximation. These results represent a powerful and readily
usable tool to produce analytical predictions to describe the gravitational
clustering of large scale structure in the weakly non-linear regime.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 20:41:58 GMT""},{""version"":""v2"",""created"":""Sun, 7 Dec 1997 15:47:40 GMT""},{""version"":""v3"",""created"":""Tue, 9 Dec 1997 22:04:06 GMT""},{""version"":""v4"",""created"":""Mon, 28 Sep 1998 18:04:27 GMT""},{""version"":""v5"",""created"":""Tue, 29 Sep 1998 16:50:29 GMT""}]","2009-10-30"
"astro-ph/9712096",,"M. S. Briggs, D. L. Band, R. D. Preece, G. N. Pendleton, W. S.
  Paciesas and J. L. Matteson","BATSE Evidence for GRB Spectral Features","To appear in Gamma-Ray Bursts: 4th Huntsville Symposium, ed. C.
  Meegan, R. Preece and T. Koshut",,"10.1063/1.55338",,"astro-ph",,"  We have developed an automatic search procedure to identify low-energy
spectral features in GRBs. We have searched 133,000 spectra from 117 bright
bursts and have identified 12 candidate features with significances ranging
from our threshold of P = 5E-5 to P = 1E-7. Several of the candidates have been
examined in detail, including some with data from more than one BATSE
spectroscopy detector. The evidence for spectral features appears good;
however, the features have not conclusively been shown to be narrow lines.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 23:37:26 GMT""}]","2009-10-30"
"astro-ph/9712097","Kailash Sahu","Mario Livio (STScI), Kailash C. Sahu (STScI), Larry Petro (STScI),
  Andrew Fruchter (STScI), Elena Pian (Inst. TESRE, Bologna), F. Duccio
  Macchetto (STScI), Jan van Paradijs (U. Amsterdam & U. Alabama), Chryssa
  Kouveliotou (NASA/MSFC), Paul J. Groot (U. Amsterdam), Titus J. Galama (U.
  Amsterdam)","The Gamma Ray Bursts GRB970228 and GRB970508: What Have We Learnt?","7 pages (with 2 embedded figures), to be published in the Proceedings
  of the Fourth Huntsville Gamma-Ray Burst Symposium, held Sep 15-20, 1997,
  Huntsville, Alabama",,"10.1063/1.55368",,"astro-ph",,"  We examine what we regard as key observational results on GRB 970228 and GRB
970508 and show that the accumulated evidence strongly suggests that gamma-ray
bursts (GRBs) are cosmological fireballs.
  We further show that the observations suggest that GRBs are not associated
with the nuclear activity of active galactic nuclei, and that late-type
galaxies are more prolific producers of GRBs.
  We suggest that GRBs can be used to trace the cosmic history of the
star-formation rate. Finally, we show that the GRB locations with respect to
the star-forming regions in their host galaxies and the total burst energies
can be used to distinguish between different theoretical models for GRBs.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 00:23:25 GMT""}]","2009-10-30"
"astro-ph/9712098","Martin Kerscher","Martin Kerscher (University of Munich), Maria Jesus Pons-Borderia
  (Universidad Autonoma de Madrid), Jens Schmalzing (University of Munich,
  MPA), Roberto Trasarti-Battistoni (University of Munich, Univerista di
  Milano), Thomas Buchert (University of Munich), Vicent J. Martinez
  (Universitat de Valencia), and Riccardo Valdarnini (SISSA)","A global descriptor of spatial pattern interaction in the galaxy
  distribution","Significantly enhanced version, 14 pages, LaTeX using epsf, aaspp4, 7
  eps-figures, accepted for publication in the Astrophysical Journal","Astrophys.J. 513 (1999) 543-548","10.1086/306902",,"astro-ph",,"  We present the function J as a morphological descriptor for point patterns
formed by the distribution of galaxies in the Universe. This function was
recently introduced in the field of spatial statistics, and is based on the
nearest neighbor distribution and the void probability function. The J
descriptor allows to distinguish clustered (i.e. correlated) from ``regular''
(i.e. anti-correlated) point distributions. We outline the theoretical
foundations of the method, perform tests with a Matern cluster process as an
idealised model of galaxy clustering, and apply the descriptor to galaxies and
loose groups in the Perseus-Pisces Survey. A comparison with mock-samples
extracted from a mixed dark matter simulation shows that the J descriptor can
be profitably used to constrain (in this case reject) viable models of cosmic
structure formation.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 12:36:49 GMT""},{""version"":""v2"",""created"":""Mon, 28 Sep 1998 18:02:21 GMT""}]","2009-10-30"
"cond-mat/9712068","Sergio F. Koval","A.A. Aligia(1), S. Koval(2) and R. Migoni(2) ((1) CAB, Centro Atomico
  Bariloche - CNEA, Comision Nacional de Energia Atomica, Argentina (2) IFIR -
  CONICET and Universidad Nacional de Rosario, Argentina)","On the stability of 2 \sqrt{2} x 2 \sqrt{2} oxygen ordered
  superstructures in YBa2Cu3O6+x","24 text pages, Latex, one fig. included as ps file, to be publisheb
  in Phys. Rev. B",,"10.1103/PhysRevB.57.1241",,"cond-mat.soft",,"  We have compared the ground-state energy of several observed or proposed "" 2
\sqrt{2} x 2 \sqrt{2} oxygen (O) ordered superstructures "" (from now on HS),
with those of ""chain superstructures"" (CS) (in which the O atoms of the basal
plane are ordered in chains), for different compositions x in YBa2Cu3O6+x. The
model Hamiltonian contains i) the Madelung energy, ii) a term linear in the
difference between Cu and O hole occupancies which controls charge transfer,
and iii) covalency effects based on known results for $t-J$ models in one and
two dimensions. The optimum distribution of charge is determined minimizing the
total energy, and depends on two parameters which are determined from known
results for x=1 and x=0.5. We obtain that on the O lean side, only CS are
stable, while for x=7/8, a HS with regularly spaced O vacancies added to the
x=1 structure is more stable than the corresponding CS for the same x. We find
that the detailed positions of the atoms in the structure, and long-range
Coulomb interactions, are crucial for the electronic structure, the mechanism
of charge transfer, the stability of the different phases, and the possibility
of phase separation.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 16:55:10 GMT""}]","2009-10-30"
"cond-mat/9712070","Michael Fogler","M. M. Fogler (IAS)","Quasiclassical approach to the weak levitation of extended states in the
  quantum Hall effect","RevTeX, 4 pages, 1 figure","Phys. Rev. B 57, 11947 (1998).","10.1103/PhysRevB.57.11947","IASSNS-HEP-97/132","cond-mat.mes-hall",,"  The two-dimensional motion of a charged particle in a random potential and a
transverse magnetic field is believed to be delocalized only at discrete
energies $E_N$. In strong fields there is a small positive deviation of $E_N$
from the center of the $N$th Landau level, which is referred to as the ``weak
levitation'' of the extended state. I calculate the size of the weak levitation
effect for the case of a smooth random potential re-deriving earlier results of
Haldane and Yang [PRL 78, 298 (1997)] and extending their approach to lower
magnetic fields. I find that as the magnetic field decreases, this effect
remains weak down to the lowest field $B_{min}$ where such a quasiclassical
approach is still justified. Moreover, in the immediate vicinity of $B_{min}$
the weak levitation becomes additionally suppressed. This indicates that the
``strong levitation'' expected at yet even lower magnetic fields must be of a
completely different origin.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 16:38:57 GMT""},{""version"":""v2"",""created"":""Wed, 17 Dec 1997 14:12:14 GMT""}]","2009-10-30"
"cond-mat/9712072","Sidney Redner","P. L. Krapivsky, J. F. F. Mendes, and S. Redner","Logarithmic Clustering in Submonolayer Epitaxial Growth","4 pages, 2 figures","Eur. Phys. J. B 4, 401-404 (1998)","10.1007/s100510050395",,"cond-mat.stat-mech",,"  We investigate submonolayer epitaxial growth with a fixed monomer flux and
irreversible aggregation of adatom islands due to their effective diffusion.
When the diffusivity D_k of an island of mass k is proportional to k^{-\mu}, a
Smoluchowski rate equation approach predicts steady behavior for 0<\mu<1, with
the concentration c_k of islands of mass k varying as k^{-(3-\mu)/2}. For
\mu>1, continuous evolution occurs in which c_k(t)~(\ln t)^{-(2k-1)\mu/2},
while the total island density increases as N(t)~(\ln t)^{\mu/2}. Monte Carlo
simulations support these predictions.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 20:02:00 GMT""}]","2009-10-30"
"cond-mat/9712073","Minoru Takahashi","Minoru Takahashi","Asymptotic expansion of the ground state energy of half-filled Hubbard
  model","1 pages",,,"ISSP-97-12","cond-mat",,"  This paper was withdrawn by the author because the results already appeared
in PRB 20, 4756 (1979).
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 22:17:18 GMT""},{""version"":""v2"",""created"":""Mon, 8 Dec 1997 15:22:58 GMT""}]","2007-05-23"
"cond-mat/9712074","Dmitri A. Ivanov","D. A. Ivanov, M. V. Feigel'man","Coulomb effects in a ballistic one-channel S-S-S device","11 pages, REVTeX, 10 figures, uses epsf","J. Exp.Theor. Phys. 87, 349 (1998) [Zh. Eksp. Teor. Fiz. 114, 640
  (1998)]","10.1070/PU1998v041n02ABEH000363",,"cond-mat",,"  We develop a theory of Coulomb oscillations in superconducting devices in the
limit of small charging energy $E_C \ll \Delta$. We consider a small
superconducting grain of finite capacity connected to two superconducting leads
by nearly ballistic single-channel quantum point contacts. The temperature is
supposed to be very low, so there are no single-particle excitations on the
grain. Then the behavior of the system may be described as quantum mechanics of
the superconducting phase on the island. The Josephson energy as a function of
this phase has two minima which become degenerate at the phase difference on
the leads equal to $\pi$, the tunneling amplitude between them being controlled
by the gate voltage at the grain. We find the Josephson current and its
low-frequency fluctuations and predict their periodic dependence on the induced
charge $Q_x=C V_g$ with period $2e$.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 22:52:42 GMT""}]","2009-10-30"
"cond-mat/9712076","- Pascal W.","P. Wojtaszczyk and J.B. Avalos","Influence of Hydrodynamic Interactions on the Kinetics of Colloidal
  Particle's Adsorption","4 pages, 1 figures, Phys. Rev. Lett. (in press)",,"10.1103/PhysRevLett.80.754",,"cond-mat.stat-mech",,"  The kinetics of irreversible adsorption of spherical particles onto a flat
surface is theoretically studied. Previous models, in which hydrodynamic
interactions were disregarded, predicted a power-law behavior $t^{-2/3}$ for
the time dependence of the coverage of the surface near saturation.
Experiments, however, are in agreement with a power-law behavior of the form
$t^{-1/2}$. We outline that, when hydrodynamic interactions are considered, the
assymptotic behavior is found to be compatible with the experimental results in
a wide region near saturation.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 16:13:56 GMT""}]","2009-10-30"
"cond-mat/9712077","Gerd Sauermann","G. Sauermann and H.J. Herrmann","A 1d Traffic Model with Threshold Parameters","6 pages, LaTex2e, 8 figures, springer class file (included)",,,,"cond-mat.stat-mech",,"  The basic properties of traffic flow are analyzed using a simple
deterministic one dimensional ""car following model"" with continuous variables
based on a model introduced by Nagel and Herrmann [Physica A 199 254--269
(1993)] including a few modifications. As a first case we investigate the
creation and propagation of jams in a platoon generated by a slow leading
vehicle. In a second case we look at a system with the size L, periodic
boundary conditions and identical vehicles. A strong dependence on the initial
configuration of the fundamental diagram's shape can be found.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 16:53:22 GMT""}]","2007-05-23"
"cond-mat/9712078","Xuedong Hu","X. Hu (University of Illinois at Chicago) and Franco Nori (University
  of Michigan)","Phonon Squeezed States Generated by Second Order Raman Scattering","4 pages, REVTEX","Phys. Rev. Lett. 79, 4605 (1997)","10.1103/PhysRevLett.79.4605",,"cond-mat",,"  We study squeezed states of phonons, which allow a reduction in the quantum
fluctuations of the atomic displacements to below the zero-point quantum noise
level of coherent phonon states. We investigate the generation of squeezed
phonon states using a second order Raman scattering process. We calculate the
expectation values and fluctuations of both the atomic displacement and the
lattice amplitude operators, as well as the effects of the phonon squeezed
states on macroscopically measurable quantities, such as changes in the
dielectric constant. These results are compared with recent experiments.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 18:48:50 GMT""}]","2009-10-30"
"cond-mat/9712081","Terence Hwa","Terence Hwa (UC San Diego) and Michael Lassig (MPI Teltow)","Optimal Detection of Sequence Similarity by Local Alignment","8 pages including 12 figures; final version to appear in Proceedings
  of the Second Annual International Conference on Computational Molecular
  Biology (New York, 1998). Related (p)reprints available at
  http://matisse.ucsd.edu/~hwa/pub.html",,,,"cond-mat.stat-mech physics.bio-ph q-bio.QM",,"  The statistical properties of local alignment algorithms with gaps are
analyzed theoretically for uncorrelated and correlated DNA sequences. In the
vicinity of the log-linear phase transition, the statistics of alignment with
gaps is shown to be characteristically different from that of gapless
alignment. The optimal scores obtained for uncorrelated sequences obey certain
robust scaling laws. Deviation from these scaling laws signals sequence
homology, and can be used to guide the empirical selection of scoring
parameters for the optimal detection of sequence similarities. This can be
accomplished in a computationally efficient way by using a novel approach
focusing on the score landscape. Furthermore, by assuming a few gross features
characterizing the statistics of underlying sequence-sequence correlations,
quantitative criteria are obtained for the choice of optimal scoring
parameters: Optimal similarity detection is most likely to occur in a region
close to the log side of the log-linear phase transition.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 05:22:38 GMT""},{""version"":""v2"",""created"":""Thu, 12 Feb 1998 09:32:52 GMT""}]","2007-05-23"
"cond-mat/9712082","Baowen Li","Baowen Li and Bambi Hu (Centre for Nonlinear Studies and Department of
  Physics, Hong Kong Baptist University, China)","Statistical analysis of scars in stadium billiard","22 plain Latex pages, 14 EPS figures (Figs. 4-6, 9,10,12 are
  included, others (too large) are availabe upon request.) to appear in J.
  Phys. A: Math. & Gen. 31 (1998)",,"10.1088/0305-4470/31/2/010","CNS-9707","cond-mat.stat-mech chao-dyn nlin.CD",,"  In this paper, by using our improved plane wave decomposition method, we
study the scars in the eigenfunctions of the stadium billiard from very low
state to as high as about the one millionth state. In the systematic searching
for scars of various types, we have used the approximate criterion based on the
quantization of the classical action along the unstable periodic orbit
supporting the scar. We have analized the profile of the integrated probability
density along the orbit. We found that the maximal integrated intensity of
different types of scars scales in different way with the $\hbar$, which
confirms qualitatively and quantitatively the existing theories of scars such
as that of Bogomolny (1988) and that of Robnik (1989).
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 08:24:57 GMT""}]","2009-10-30"
"cond-mat/9712083","Parthapratim Biswas","Parthapratim Biswas, Arnab Majumdar, Anita Mehta and J. K.
  Bhattacharjee","Smoothing of sandpile surfaces after intermittent and continuous
  avalanches: three models in search of an experiment","17 pages and 26 figures. Submitted to Physical Review E",,"10.1103/PhysRevE.58.1266",,"cond-mat.soft cond-mat.stat-mech",,"  We present and analyse in this paper three models of coupled continuum
equations all united by a common theme: the intuitive notion that sandpile
surfaces are left smoother by the propagation of avalanches across them. Two of
these concern smoothing at the `bare' interface, appropriate to intermittent
avalanche flow, while one of them models smoothing at the effective surface
defined by a cloud of flowing grains across the `bare' interface, which is
appropriate to the regime where avalanches flow continuously across the
sandpile.
","[{""version"":""v1"",""created"":""Sat, 6 Dec 1997 12:35:42 GMT""}]","2009-10-30"
"gr-qc/9712032","S. Droz","Serge Droz and Eric Poisson","Can LIGO see compact binaries?","4 Pages, Proc. to the 7th Canadian Conference on General Relativity
  and Relativistic Astrophysics 1997",,,,"gr-qc",,"  The probability that interferometric detectors such as LIGO and VIRGO will
successfully detect inspiraling compact binaries depends in part on our
knowledge of the expected gravitational wave forms.
  The best approximations to the true wave forms available today are the
post-Newtonian (PN) templates. In this paper we argue that these 2PN templates
are accurate enough for a successful search for compact binaries with the
advanced LIGO interferometer. Results are presented for the 40-meter Caltech
prototype as well as for the inital and advance LIGO detectors.
","[{""version"":""v1"",""created"":""Fri, 5 Dec 1997 16:31:37 GMT""}]","2007-05-23"
