"adap-org/9709003","Chau Hoi Fung","H. F. Chau, K. K. Yan, K. Y. Wan and L. W. Siu","Classifying Rational Densities Using Two One-Dimensional Cellular
  Automata","Revtex 3.0 using amssymb.sty and multicol.sty, 3 pages",,"10.1103/PhysRevE.57.1367","HKUPHYS-HFC-05","adap-org cond-mat nlin.AO",,"  Given a (finite) string of zeros and ones, we report a way to determine if
the number of ones is less than, greater than, or equal to a prescribed number
by applying two sets of cellular automaton rules in succession. Thus, we solve
the general density classification problem using cellular automaton.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:41:27 GMT""}]","2009-10-30"
"chao-dyn/9709008","Jonas Lundbek Hansen","Jonas Lundbek Hansen, Tomas Bohr","Fractal tracer distributions in turbulent field theories","17 pages, 7 figures, elsart.sty, psfig.sty, LaTeX",,,,"chao-dyn nlin.CD",,"  We study the motion of passive tracers in a two-dimensional turbulent
velocity field generated by the Kuramoto-Sivashinsky equation. By varying the
direction of the velocity-vector with respect to the field-gradient we can
continuously vary the two Lyapunov exponents for the particle motion and
thereby find a regime in which the particle distribution is a strange
attractor. We compare the Lyapunov dimension to the information dimension of
actual particle distributions and show that there is good agreement with the
Kaplan-Yorke conjecture. Similar phenomena have been observed experimentally.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 13:34:25 GMT""}]","2008-02-03"
"chao-dyn/9709009","Joerg Main","J. Main, V. A. Mandelshtam, G. Wunner, H. S. Taylor","Harmonic inversion as a general method for periodic orbit quantization","29 pages, 4 figures, LATEX (IOP-style), revised version submitted to
  Nonlinearity","Nonlinearity, 11 (1998) 1015","10.1088/0951-7715/11/4/014",,"chao-dyn nlin.CD",,"  In semiclassical theories for chaotic systems such as Gutzwiller's periodic
orbit theory the energy eigenvalues and resonances are obtained as poles of a
non-convergent series g(w)=sum_n A_n exp(i s_n w). We present a general method
for the analytic continuation of such a non-convergent series by harmonic
inversion of the ""time"" signal, which is the Fourier transform of g(w). We
demonstrate the general applicability and accuracy of the method on two
different systems with completely different properties: the Riemann zeta
function and the three disk scattering system. The Riemann zeta function serves
as a mathematical model for a bound system. We demonstrate that the method of
harmonic inversion by filter-diagonalization yields several thousand zeros of
the zeta function to about 12 digit precision as eigenvalues of small matrices.
However, the method is not restricted to bound and ergodic systems, and does
not require the knowledge of the mean staircase function, i.e., the Weyl term
in dynamical systems, which is a prerequisite in many semiclassical
quantization conditions. It can therefore be applied to open systems as well.
We demonstrate this on the three disk scattering system, as a physical example.
The general applicability of the method is emphasized by the fact that one does
not have to resort a symbolic dynamics, which is, in turn, the basic
requirement for the application of cycle expansion techniques.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 15:02:23 GMT""},{""version"":""v2"",""created"":""Tue, 7 Apr 1998 09:09:41 GMT""}]","2009-10-30"
"chao-dyn/9709010","Joerg Main","J. Main and G. Wunner","Uniform semiclassical approximations for umbilic bifurcation
  catastrophes","4 pages, 4 figures, REVTEX, Phys. Rev. E (in press)","Phys. Rev. E, 57 (1998) 7325","10.1103/PhysRevE.57.7325",,"chao-dyn nlin.CD",,"  Gutzwiller's trace formula for the semiclassical density of states diverges
at the bifurcation points of periodic orbits and has to be replaced with
uniform semiclassical approximations. We present a method to derive these
expressions from the standard representations of the elementary catastrophes
and to directly relate the uniform solutions to classical periodic orbit
parameters, thereby circumventing the numerical application of normal form
theory. The technique allows an easy handling of ungeneric bifurcations with
corank 2 such as the umbilic catastrophes and is demonstrated on a hyperbolic
umbilic in the diamagnetic Kepler problem.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 15:10:10 GMT""},{""version"":""v2"",""created"":""Fri, 3 Apr 1998 16:44:31 GMT""}]","2016-08-31"
"cond-mat/9709095","Nicola Manini","Nicola Manini, Erio Tosatti","Exact zero-point energy shift in the $e\otimes (n~E)$, $t\otimes (n~H)$
  many modes dynamic Jahn-Teller systems at strong coupling","20 pages, 4 ps figures","Phys. Rev. B 58, 782 (1998)","10.1103/PhysRevB.58.782","ESRF97MA5077","cond-mat physics.chem-ph",,"  We find the exact semiclassical (strong coupling) zero-point energy shifts
applicable to the $e\otimes (n E)$ and $t\otimes (n H)$ dynamic Jahn-Teller
problems, for an arbitrary number $n$ of discrete vibrational modes
simultaneously coupled to one single electronic level. We also obtain an
analytical formula for the frequency of the resulting normal modes, which has
an attractive and apparently general Slater-Koster form. The limits of validity
of this approach are assessed by comparison with O'Brien's previous
effective-mode approach, and with accurate numerical diagonalizations.
Numerical values obtained for $t\otimes (n H)$ with $n =8$ and coupling
constants appropriate to C$_{60}^-$ are used for this purpose, and are
discussed in the context of fullerene.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 16:43:51 GMT""},{""version"":""v2"",""created"":""Fri, 22 May 1998 15:06:10 GMT""}]","2009-10-30"
"cond-mat/9709096","Masashi Yamashiro","Masashi Yamashiro, Yukio Tanaka, Yasunari Tanuma(Niigata University),
  Satoshi Kashiwaya(Electrotechnical Laboratory)","Theory of tunneling conductance for normal metal/insulator/triplet
  superconductor junctions","10 pages, 11 eps figures, J.Phys.Soc.Jpn.67,No.9(1998)",,"10.1143/JPSJ.67.3224",,"cond-mat.supr-con",,"  Tunneling conductance spectra of normal metal/insulator/triplet
superconductor junctions are investigated theoretically. As triplet paring
states we select several types of symmetries that are promising candidates for
the superconducting states in UPt$_{3}$ and in Sr$_{2}$RuO$_{4}$. The
calculated conductance spectra are sensitive to the orientation of the junction
which reflects the anisotropy of the pairing states. They show either zero-bias
conductance peaks or gap-like structures depending on the orientation of the
junctions. The existence of a residual density of states, peculiar to
nonunitary states, is shown to have a significant influence on the properties
of the conductance spectra. Present results serve as a guidefor the
experimental determination of the symmetry of the pair potentials in UPt$_{3}$
and Sr$_{2}$RuO$_{4}$.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:13:26 GMT""},{""version"":""v2"",""created"":""Sun, 1 Mar 1998 13:29:29 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jul 1998 08:02:37 GMT""}]","2009-10-30"
"cond-mat/9709097","Masashi Yamashiro","Masashi Yamashiro, Yukio Tanaka, and Satoshi Kashiwaya","Tunneling conductance of normal metal/insulator/Sr2RuO4 junction","3pages, 4 PostScript figures. revised about an error on the format",,"10.1016/S0022-3697(98)00178-4",,"cond-mat.supr-con",,"  A theory of tunneling conductance spectra for normal
metal/insulator/Sr$_{2}$RuO$_{4}$ junction is studied theoretically. We assume
several types of pair potentials with triplet symmetries that are promising
candidates for Sr$_{2}$RuO$_{4}$. The calculated conductance spectra show
either zero bias peaks or gap like structures depending on the orientations of
the junctions. The existence of a residual components in the gap reflects a
non-unitary property of the superconducting states. Based on the calculation of
a temperature dependence, we will verify that the measurement temperature below
100mK is required to determine the pairing symmetry experimentally.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 17:41:31 GMT""},{""version"":""v2"",""created"":""Tue, 9 Sep 1997 06:53:06 GMT""}]","2009-10-30"
"cond-mat/9709098","Roza Kotlyar","R. Kotlyar, C. A. Stafford, and S. Das Sarma","Correlated charge polarization in a chain of coupled quantum dots","9 pages, 3 figures, 1 table","Physical Review B 58, R1746 (1998).","10.1103/PhysRevB.58.R1746",,"cond-mat.mes-hall cond-mat.str-el",,"  Coherent charge transfer in a linear array of tunnel-coupled quantum dots,
electrostatically coupled to external gates, is investigated using the Bethe
ansatz for a symmetrically biased Hubbard chain. Charge polarization in this
correlated system is shown to proceed via two distinct processes: formation of
bound states in the metallic phase, and charge transfer processes corresponding
to a superposition of antibound states at opposite ends of the chain in the
Mott-insulating phase. The polarizability in the insulating phase of the chain
exhibits a universal scaling behavior, while the polarization charge in the
metallic phase of the model is shown to be quantized in units of $e/2$.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:24:38 GMT""}]","2009-10-30"
"cond-mat/9709099","Denis Golosov","D. I. Golosov, A. E. Ruckenstein, and M. L. Horbach","Band Crossing and Novel Low-Energy Behaviour in a Mean Field Theory of a
  Three-Band Model on a Cu--O lattice","12 pages, Latex-Revtex, 6 PostScript figures. Submitted to Phys. Rev.
  B","J. Phys.: Cond. Matt., vol. 10, p. L229 (1998)","10.1088/0953-8984/10/15/001",,"cond-mat",,"  We study correlation effects in a three-band extended Hubbard model of Cu --
O planes within the 1/N mean field approach, in the infinite U limit. We
investigate the emerging phase diagram and discuss the low energy scales
associated with each region. With increasing direct overlap between oxygen
orbitals, $t_{pp} >0$, the solution displays a band crossing which, for an
extended range of parameters, lies close to the Fermi level. In turn this leads
to the nearly nested character of the Fermi surface and the resulting linear
temperature dependence of the quasi-particle relaxation rate for sufficiently
large T. We also discuss the effect of band crossing on the optical
conductivity and comment on the possible experimental relevance of our
findings.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 22:16:16 GMT""}]","2009-10-30"
"cond-mat/9709100","Warren E. Pickett","Warren E. Pickett","Spin Density Functional Based Search for Half-Metallic Antiferromagnets","7 postscript two-column pages, incl. 4 figures and 1 table",,"10.1103/PhysRevB.57.10613",,"cond-mat.mtrl-sci cond-mat.str-el",,"  We present results based on local spin density calculations of a
computational search for half-metallic (HM) antiferromagnetic (AFM) materials
within the class of double perovskite structure oxides LaM'M''O3 that
incorporate open shell 3d (or 4d) transition metal ions M', M''. The pairs
M'M'' = MnCo, CrFe, CrRu, CrNi, MnV, and VCu are studied. La2VMnO6 is the most
promising candidate, with the HM AFM phase more stable by 0.17 eV/cell than the
ferromagnetic phase. La2VCuO6 is another promising possibility, but due to
S=1/2 ions quantum fluctuations my play an important role in determining the
ground state magnetic and electronic structure. This study indicates that HM
AFM materials should not be prohibitively difficult to find.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 23:54:12 GMT""}]","2009-10-30"
"cond-mat/9709101","Didier Sornette","D. Sornette","Linear stochastic dynamics with nonlinear fractal properties","26 pages, Physica A (in press)","Physica A 250, 295-314 (1998)","10.1016/S0378-4371(97)00543-8",,"cond-mat.stat-mech",,"  Stochastic processes with multiplicative noise have been studied
independently in several different contexts over the past decades. We focus on
the regime, found for a generic set of control parameters, in which stochastic
processes with multiplicative noise produce intermittency of a special kind,
characterized by a power law probability density distribution. We present a
review of applications on population dynamics, epidemics, finance and insurance
applications with relation to ARCH(1) process, immigration and investment
portfolios and the internet. We highlight the common physical mechanism and
summarize the main known results. The distribution and statistical properties
of the duration of intermittent bursts are also characterized in details.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 08:04:47 GMT""}]","2015-06-25"
"cond-mat/9709102","LI yqli","You-Quan Li (IPT-EPFL/ZIMP,Zhejiang Univ.) and Christian Gruber
  (IPT-EPFL)","The Hubbard quantum wire","4 pages, 0 figures, previous version no more adopted. Phys. Rev.
  Lett. Vol.80 No.4(1998)","Phys.Rev.Lett.80:1034-1037,1997","10.1103/PhysRevLett.80.1034",,"cond-mat.str-el hep-th",,"  By introducing a boundary condition for the quantum wire, the Hubbard model
is solved exactly by means of Bethe ansatz. The wave function for the bounded
state is clearly defined, and the secular equation for the spectrum is exactly
obtained. The ground state and low-lying excited states are studied in the
thermodynamic limit. The ground-state energy in the strong coupling limit is
obtained explicitly, and compared with the results of periodic boundary
condition.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 10:54:04 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 20:16:11 GMT""},{""version"":""v3"",""created"":""Sat, 27 Dec 1997 23:35:24 GMT""}]","2009-01-23"
"cond-mat/9709103","Lucas du Croo de Jongh","M. S. L. du Croo de Jongh and J. M. J. van Leeuwen","The critical behaviour of the 2D Ising model in Transverse Field; a
  Density Matrix Renormalization calculation","9 pages, 8 figures",,"10.1103/PhysRevB.57.8494",,"cond-mat.stat-mech",,"  We have adjusted the Density Matrix Renormalization method to handle two
dimensional systems of limited width. The key ingredient for this extension is
the incorporation of symmetries in the method. The advantage of our approach is
that we can force certain symmetry properties to the resulting ground state
wave function. Combining the results obtained for system sizes up-to $30 \times
6$ and finite size scaling, we derive the phase transition point and the
critical exponent for the gap in the Ising model in a Transverse Field on a two
dimensional square lattice.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 12:10:56 GMT""}]","2009-10-30"
"cond-mat/9709104",,"Raquel Dominguez-Cascante (Departament de Fisica, Universitat Autonoma
  de Barcelona, Bellaterra, Spain)","Information theory in the study of anisotropic radiation","1 eps figure upon request by e-mail, to appear in Journal of Physics
  A",,"10.1088/0305-4470/30/22/010",,"cond-mat.stat-mech",,"  Information theory is used to perform a thermodynamic study of non
equilibrium anisotropic radiation. We limit our analysis to a second-order
truncation of the moments, obtaining a distribution function which leads to a
natural closure of the hierarchy of radiative transfer equations in the
so-called variable Eddington factor scheme. Some Eddington factors appearing in
the literature can be recovered as particular cases of our two-parameter
Eddington factor. We focus our attention in the study of the thermodynamic
properties of such systems and relate it to recent nonequilibrium thermodynamic
theories. Finally we comment the possibility of introducing a nonequilibrium
chemical potential for photons.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 13:42:01 GMT""}]","2009-10-30"
"cond-mat/9709105","Frantisek Slanina","F. Slanina and M. Kotrla","Weak pinning: Surface growth in presence of a defect","LaTeX, 19 pages, 7 figs, elsart.sty, submitted to Physica A","Physica A 256 (1998) 1-17","10.1016/S0378-4371(98)00203-9",,"cond-mat.stat-mech cond-mat.dis-nn",,"  We study the influence of a point defect on the profile of a growing surface
in the single-step growth model. We employ the mapping to the asymmetric
exclusion model with blockage, and using Bethe-Ansatz eigenfunctions as a
starting approximation we are able to solve this problem analytically in
two-particle sector. The dip caused by the defect is computed. A simple
renormalization group-like argument enables to study scaling of the dip with
increasing length of the sample L; the RG mapping is calculated approximately
using the analytical results for small samples. For a horizontal surface we
found that the surface is only weakly pinned at the inhomogeneity; the dip
scales as a power law L^\gamma with \gamma= 0.58496. The value of the exponent
agrees with direct numerical simulations of the inhomogeneous single-step
growth model. In the case of tilted surfaces we observe a phase transition
between weak and strong pinning and the exponent in the weak pinning regime
depends on the tilt.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 14:24:58 GMT""}]","2015-06-25"
"gr-qc/9709018","Helmut Rumpf","Helmut Rumpf","Refined Algebraic Quantization and Quantum Field Theory in Curved
  Space-Time","13 pages, LaTeX",,,"UWThPh-1997-25","gr-qc",,"  Application of the so-called refined algebraic quantization scheme for
constrained systems to the relativistic particle provides an inner product that
defines a unique Fock representation for a scalar field in curved space-time.
The construction can be made rigorous for a general globally hyperbolic
space-time, but the quasifree state so obtained turns out to be unphysical in
general. We exhibit a closely related pair of Fock representations that is also
defined generically and conforms to the notion of in- and outgoing states in
those situations where particle creation by the external field is expected.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 16:17:13 GMT""}]","2007-05-23"
"hep-ex/9709009","Marcel Demarteau","Marcel Demarteau (Fermilab)","Electroweak Measurements from Hadron Colliders","14 pages, 11 figures. Talk given at the XVI International Workshop on
  Weak Interactions and Neutrinos, Capri, Italy, June 22-28 (1997) (to be
  published in the proceedings)","Nucl.Phys.Proc.Suppl.66:12-24,1998","10.1016/S0920-5632(98)00003-6","Fermilab-Conf-97/296","hep-ex",,"  A review of recent electroweak results from hadron colliders is given.
Properties of the W and Z gauge bosons using final states containing electrons
and muons based on large integrated luminosities are presented. The emphasis is
placed on the measurement of the mass of the W boson and the measurement of
trilinear gauge boson couplings.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:30:53 GMT""}]","2009-10-30"
"hep-lat/9709014","Robert Singleton","Rajamani Narayanan and Robert L. Singleton Jr","The Overlap Formalism and Topological Susceptibility on the Lattice","3 pages, LaTeX, 3 figures. This paper is based on a talk given by R.
  Singleton at Lattice '97, held in Edinburgh, Scotland","Nucl.Phys.Proc.Suppl. 63 (1998) 555-557","10.1016/S0920-5632(97)00832-3","FSU-SCRI-97-97, UW/PT 97-21","hep-lat hep-ph hep-th",,"  Recent lattice measurements of the topological susceptibility of SU(2) gauge
theory using improved cooling and inverse-blocking are in disagreement. We use
the overlap method, which probes the fermionic sector of the theory directly,
to help resolve this discrepancy.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 19:50:05 GMT""}]","2009-10-30"
"hep-lat/9709015",,"Attilio Cucchieri","Infrared Behavior of the Gluon Propagator in Lattice Landau Gauge","10 pages","Phys.Lett. B422 (1998) 233-237","10.1016/S0370-2693(98)00046-X",,"hep-lat",,"  We evaluate numerically the four-momentum-space gluon propagator in lattice
Landau gauge, for pure SU(2) lattice gauge theory with periodic boundary
conditions. Simulations are done in the strong-coupling regime, namely at
$\beta = 0, 0.8, 1.2 and 1.6$, and for lattice sizes up to $30^4, 16^4, 20^4
and 24^4$ respectively. In the limit of large lattice volume, we observe in all
cases a gluon propagator decreasing as the momentum goes to zero. This
counter-intuitive result has a straightforward interpretation as resulting from
the proximity of the so-called first Gribov horizon in infrared directions.
","[{""version"":""v1"",""created"":""Mon, 8 Sep 1997 18:03:29 GMT""}]","2009-10-30"
