"alg-geom/9709031","Wolf Barth","W. Barth","K3 Surfaces with Nine Cusps","LaTeX",,,,"alg-geom math.AG",,"  By a K3-surface with nine cusps I mean a surface with nine isolated double
points A_2, but otherwise smooth, such that its minimal desingularisation is a
K3-surface. It is shown, that such a surface admits a cyclic triple cover
branched precisely over the cusps. This parallels the theorem of Nikulin, that
a K3-surface with 16 nodes is a Kummer quotient of a complex torus.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 08:42:46 GMT""}]","2008-02-03"
"cond-mat/9709313","D. P. Chu","D. P. Chu, M. G. Dowsett (Department of Physics, University of
  Warwick, UK)","Dopant Spatial Distributions: Sample Independent Response Function And
  Maximum Entropy Reconstruction","5 two-columne pages, 3 postscript figures, to appear in Phys. Rev.
  B15",,"10.1103/PhysRevB.56.15167",,"cond-mat.mtrl-sci",,"  We demonstrate the use of maximum entropy based deconvolution to reconstruct
boron spatial distribution from the secondary ion mass spectrometry (SIMS)
depth profiles on a system of variously spaced boron $\delta$-layers grown in
silicon. Sample independent response functions are obtained using a new method
which reduces the danger of incorporating real sample behaviour in the
response. Although the original profiles of different primary ion energies
appear quite differently, the reconstructed distributions agree well with each
other. The depth resolution in the reconstructed data is increased
significantly and segregation of boron at the near surface side of the
$\delta$-layers is clearly shown.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 11:24:53 GMT""}]","2009-10-30"
"cond-mat/9709314","Roman Mints","R. G. Mints, and I. B. Snapiro","Proximity Effect Enhancement Induced by Roughness of SN Interface","2 pages","Phys. Rev. B 57, 10318 (1998)","10.1103/PhysRevB.57.10318",,"cond-mat.supr-con",,"  Critical temperature reduction $\Delta T_c$ is considered for a thin film of
a layered superconductor (S) with a rough surface covered by a thick layer of a
normal metal (N). The roughness of the SN interface increases the penetration
of electrons from the normal metal into the superconductor and leads to an
enhancement of the proximity effect. The value of $\Delta T_c$ induced by the
roughness of the SN interface can be much higher than $\Delta T_c$ for a film
with a plain surface for an extremely anisotropic layered superconductor with
the coherence lengths $\xi_a,\xi_b\gg\xi_c$.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:00:26 GMT""}]","2009-10-30"
"cond-mat/9709315","Lian Zheng","Lian Zheng (Maryland), Subir Sachdev (Yale), S. Das Sarma (Maryland)","Canted antiferromagnetic and spin singlet quantum Hall states in
  double-layer systems","60 pages, RevTex, 16 figures","Physical Review B 58, 4672 (1998)","10.1103/PhysRevB.58.4672",,"cond-mat.mes-hall",,"  We present details of earlier studies (Zheng et al, Phys. Rev. Lett. 78, 310
(1997) and Das Sarma et al, ibid 79, 917 (1997)) and additional new results on
double-layer quantum Hall systems at a total filling \nu = 2 \nu_1, where a
single layer at filling \nu_1 forms a ferromagnetic, fully spin-polarized,
gapped incompressible quantum Hall state. For the case \nu_1 = 1, a detailed
Hartree-Fock analysis is carried out on a realistic, microscopic Hamiltonian.
Apart from the state continuously connected to the ground state of two well
separated layers, we find two double-layer quantum Hall phases: one with a
finite interlayer antiferromagnetic spin ordering in the plane orthogonal to
the applied field (the `canted' state), and the other a spin singlet. The
quantum transitions between the various quantum Hall states are continuous, and
are signaled by the softening of collective intersubband spin density
excitations. For the case of general \nu_1, closely related results are
obtained by a semi-phenomenological continuum quantum field theory description
of the low-lying spin excitations using a non-linear sigma model. Because of
its broken symmetry, the canted phase supports a linearly dispersing Goldstone
mode and has a finite temperature Kosterlitz-Thouless transition. We present
results on the form of the phase diagram, the magnitude of the canted order
parameter, the collective excitation dispersions, the specific heat, the form
of the dynamic light scattering spectrum at finite temperature, and the
Kosterlitz-Thouless critical temperature. Our findings are consistent with
recent experimental results.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:14:55 GMT""},{""version"":""v2"",""created"":""Fri, 8 May 1998 19:49:27 GMT""}]","2009-10-30"
"cond-mat/9709316","Peter Kopietz","Peter Kopietz","Spin conductance, dynamic spin stiffness and spin diffusion in itinerant
  magnets","Discussion of gauge invariance and difference between transverse and
  longitudinal response added. Accepted for publication in Phys. Rev. B","Phys. Rev. B 57, 7829 (1998)","10.1103/PhysRevB.57.7829",,"cond-mat.str-el",,"  We discuss analogies between the charge- and spin response functions of
itinerant magnets. We show that the spin-analog of the charge stiffness is not
given by the usual spin stiffness rho_s, but by the dynamic spin stiffness D_s,
which is obtained from the dynamic spin conductance G_s (omega) in the limit of
vanishing frequency omega. The low-frequency behavior of G_s (omega) is used to
define ideal spin conductors, normal spin conductors, and spin insulators.
Assuming diffusive spin dynamics, we show that the spin diffusion coefficient
is proportional to lim_{omega rightarrow 0} {Re} {G}_s (omega). We exploit this
fact to develop a new extrapolation scheme for the spin diffusion coefficient
in the paramagnetic phase of the Hubbard model.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:54:40 GMT""},{""version"":""v2"",""created"":""Wed, 3 Dec 1997 20:02:12 GMT""}]","2009-10-30"
"cond-mat/9709317","Onody","P. R. A. Campos and R. N. Onody","Single cluster algorithm for the site-bond-correlated Ising model","LaTeX file, 18 pages, 3 ps figures, to appear in Phys. Rev. B",,"10.1103/PhysRevB.56.14529",,"cond-mat.stat-mech",,"  We extend the Wolff algorithm to include correlated spin interactions in
diluted magnetic systems. This algorithm is applied to study the
site-bond-correlated Ising model on a two dimensional square lattice. We use a
finite size scaling procedure to obtain the phase diagram in the
temperature-concentration (Tc,C) space. We also have verified that the
autocorrelation time diminishes in the presence of dilution and correlation,
showing that the Wolff algorithm performs even better in such situations.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 13:11:03 GMT""}]","2009-10-30"
"cond-mat/9709318","Raffaele Esposito","Raffaele Esposito, Joel L. Lebowitz and Rossana Marra","Solutions to the Boltzmann equation in the Boussinesq regime","50 pages; plain-tex file. Typeset twice!!",,"10.1023/A:1023223226585",,"cond-mat.stat-mech",,"  We consider a gas in a horizontal slab, in which the top and bottom walls are
kept at different temperatures. The system is described by the Boltzmann
equation (BE) with Maxwellian boundary conditions specifying the wall
temperatures. We study the behavior of the system when the Knudsen number
$\epsilon$ is small and the temperature difference between the walls as well as
the velocity field is of order $\epsilon$, while the gravitational force is of
order $\epsilon^2$. We prove that there exists a solution to the BE for which
is near a global Maxwellian, and whose moments are close, up to order
$\epsilon^2$ to the density, velocity and temperature obtained from the smooth
solution of the Oberbeck-Boussinesq equations, up to the time this one stays
regular.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:25:28 GMT""}]","2015-06-25"
"cond-mat/9709319","Sergey Rashkeev","Sergey N. Rashkeev, Walter R. L. Lambrecht, and Benjamin Segall","Second harmonic generation in SiC polytypes","12 pages, 10 figures",,"10.1103/PhysRevB.57.9705",,"cond-mat",,"  LMTO calculations are presented for the frequency dependent second harmonic
generation (SHG) in the polytypes 2H, 4H, 6H, 15R and 3C of SiC. All
independent tensor components are calculated. The spectral features and the
ratios of the 333 to 311 tensorial components are studied as a function of the
degree of hexagonality. The relationship to the linear optical response and the
underlying band structure are investigated. SHG is suggested to be a sensitive
tool for investigating the near band edge interband excitations.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:46:12 GMT""}]","2009-10-30"
"cond-mat/9709320","Gregory Brown","Gregory Brown, Per Arne Rikvold, M. A. Novotny, Andrzej Wieckowski","Simulated Dynamics of Underpotential Deposition of Cu with Sulfate on
  Au(111)","16 pages, to appear in J Electrochem Soc. Simulation MPEG movies at
  http://www.scri.fsu.edu/~rikvold","J. Electrochem. Soc. 146, 1035 (1999).",,,"cond-mat.stat-mech physics.chem-ph",,"  Numerical studies of lattice-gas models are well suited to describe
multi-adsorbate systems. One example is the underpotential deposition of Cu on
Au(111) in the presence of sulfuric acid. Preliminary results from dynamic
Monte Carlo simulations of the evolution of the adsorbed layer during
potential-step experiments across phase transitions are presented for this
particular system. The simulated current profiles reproduce a strong asymmetry
seen in recent experiments. Examination of the microscopic structures that
occur during the simulated evolution processes raises questions that need to be
investigated by further experimental and theoretical study.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:08:10 GMT""},{""version"":""v2"",""created"":""Tue, 30 Sep 1997 13:58:38 GMT""},{""version"":""v3"",""created"":""Mon, 4 May 1998 16:21:51 GMT""}]","2009-09-25"
"cond-mat/9709321","Michael Kotelyanskii","Michael Kotelyanskii, and Sanat K. Kumar","Surface Transitions for Confined Associating Mixtures","LaTeX document, documentstyle[aps,preprint]{revtex}, psfig.sty,
  bibtex, 13 pages, 4 figures",,"10.1103/PhysRevLett.80.1252",,"cond-mat.soft cond-mat.mtrl-sci cond-mat.stat-mech",,"  Thin films of binary mixtures that interact through isotropic forces and
directionally specific ""hydrogen bonding"" are considered through Monte Carlo
simulations. We show, in good agreement with experiment, that the single phase
of these mixtures can be stabilized or destabilized on confinement. These
results resolve a long standing controversy, since previous theories suggest
that confinement only stabilizes the single phase of fluid mixtures.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 15:59:54 GMT""}]","2009-10-30"
"hep-ex/9709030","Michael Kuhlen","Michael Kuhlen","Low-x hadronic final states at HERA","7 pages, latex, 8 figures as ps/eps files",,"10.1142/9789814447256_0013","MPI-PhE/97-24","hep-ex",,"  Measurements of the hadronic final state at HERA are reviewed, which aim at
the investigation of the parton dynamics of the proton at small Bjorken x.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:40:15 GMT""}]","2016-11-03"
"hep-lat/9709134","Craig McNeile","C.Bernard, C.DeTar, Steven Gottlieb, U.M.Heller, J.Hetrick,
  B.Jegerlehner, C.McNeile, K.Rummukainen, R.Sugar, D. Toussaint, M. Wingate","B meson form factors from HQET simulations","3 pages, 2 figures, talk presented at the lattice 97 conference","Nucl.Phys.Proc.Suppl.63:374-376,1998","10.1016/S0920-5632(97)00774-3",,"hep-lat",,"  We use simulations of heavy quark effective field theory to calculate the
Isgur-Wise function, and we demonstrate the feasibility of calculating the
matrix element for the $B \to \pi + \leptons$ decay in the lattice heavy quark
effective theory (HQET).
","[{""version"":""v1"",""created"":""Sun, 28 Sep 1997 17:21:35 GMT""}]","2008-11-26"
"hep-lat/9709135","George Fleming","QCDSP Collaboration: Dong Chen (1), Ping Chen (1), Norman H. Christ
  (1), Robert G. Edwards (2), George R. Fleming (1), Alan Gara (3), Sten Hansen
  (4), Chulwoo Jung (1), Adrian L. Kaehler (1), Anthony D. Kennedy (2), Gregory
  W. Kilcup (5), Yubing Luo (1), Catalin I. Malureanu (1), Robert D. Mawhinney
  (1), John Parsons (3), James C. Sexton (6), ChengZhong Sui (1), Pavlos M.
  Vranas (1) ((1) Columbia University, (2) SCRI, (3) Columbia Nevis
  Laboratories, (4) FNAL, (5) Ohio State University, (6) Trinity College)","QCDSP - A status report","3 pages, 1 figure, LaTeX with espcrc2.sty, talk presented at
  LATTICE97(Poster) by G. R. Fleming","Nucl.Phys.Proc.Suppl. 63 (1998) 997-999","10.1016/S0920-5632(97)00967-5","CU-TP-860","hep-lat",,"  The QCDSP machine at Columbia University has grown to 2,048 nodes achieving a
peak speed of 100 Gigaflops. Software for quenched and Hybrid Monte Carlo (HMC)
evolution schemes has been developed for staggered fermions, with support for
Wilson and clover fermions under development. We provide an overview of the
runtime environment, the current status of the QCDSP construction program and
preliminary results not presented elsewhere in these proceedings.
","[{""version"":""v1"",""created"":""Sun, 28 Sep 1997 20:16:11 GMT""}]","2009-10-30"
"hep-lat/9709136","Sinya Aoki","JLQCD Collaboration, S. Aoki, M. Fukugita, S. Hashimoto, N. Ishizuka,
  Y. Iwasaki, K. Kanaya, Y. Kuramashi, M. Okawa, A. Ukawa, T. Yoshi\'e","Results for Quenched $B_K$ from JLQCD","3 pages, Latex(espcrc2,epsf), 2 ps figures, Talk presented at Lattice
  97, two important references added","Nucl.Phys.Proc.Suppl. 63 (1998) 281-283","10.1016/S0920-5632(97)00746-9","UTHEP-371","hep-lat",,"  A report is presented on our continued effort to elucidate the continuum
limit of $B_K$ using the quenched Kogut-Susskind quark action. By adding to our
previous simulations one more point at $\beta = 6.65$ employing a $56^3\times
96$ lattice, we now confirm the expected $O(a^2)$ behavior of $B_K$ with the
Kogut-Susskind action. A simple continuum extrapolation quadratic in $a$ leads
to $B_K$(NDR, 2 GeV) = 0.598(5). As our final value of $B_K$ in the continuum
we present $B_K$(NDR, 2 GeV)=0.628(42), as obtained by a fit including an
$\alpha_{\bar{MS}}(1/a)^2$ term arising from the lattice-continuum matching
with the one-loop renormalization.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 04:21:25 GMT""},{""version"":""v2"",""created"":""Wed, 15 Oct 1997 09:37:00 GMT""}]","2009-10-30"
"hep-lat/9709137","Henning Hoeber","SESAM and TkL collaborations: H.Hoeber, N.Eicker, U.Gl\""assner,
  S.G\""usken, P.Lacock, Th.Lippert, G.Ritzenh\""ofer, K.Schilling, A.Spitz,
  P.Ueberholz, J.Viehoff, L.Giusti, G.Martinelli, F.Rapuano (HLRZ/DESY,
  Wuppertal University, Rome University/INFN and INFN Pisa)","Light Quark Physics with Dynamical Wilson Fermions","3 pages; to appear in the proceedings of Lat.'97","Nucl.Phys.Proc.Suppl. 63 (1998) 218-220",,,"hep-lat",,"  We present results for spectroscopy, quark masses and decay constants
obtained from SESAM's and TkL's large statistics simulations of QCD with two
dynamical Wilson fermions.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 07:14:07 GMT""}]","2012-08-27"
"hep-lat/9709138","Achim Spitz","A.Spitz, N.Eicker, J.Fingberg, S.G\""usken, H.Hoeber, Th.Lippert,
  K.Schilling, and J.Viehoff (SESAM-Collaboration; HLRZ/DESY and Wuppertal
  University)","Bottomonium from NRQCD with Dynamical Wilson Fermions","Talk presented at LATTICE'97, 3 pages, Latex","Nucl.Phys.Proc.Suppl. 63 (1998) 317-319","10.1016/S0920-5632(97)00756-1",,"hep-lat",,"  We present results for the b \bar b spectrum obtained using an
O(M_bv^6)-correct non-relativistic lattice QCD action. Propagators are
evaluated on SESAM's three sets of dynamical gauge configurations generated
with two flavours of Wilson fermions at beta = 5.6. Compared to a quenched
simulation at equivalent lattice spacing we find better agreement of our
dynamical data with experimental results in the spin-independent sector but
observe no unquenching effects in hyperfine-splittings. To pin down the
systematic errors we have also compared quenched results in different
``tadpole'' schemes and used a lower order action.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 07:39:49 GMT""}]","2009-10-30"
"hep-lat/9709139","Kazuyuki Kanaya","CP-PACS Collaboration: S. Aoki, G. Boyd, R. Burkhalter, S. Hashimoto,
  N. Ishizuka, Y. Iwasaki, K. Kanaya, Y. Kuramashi, M. Okawa, A. Ukawa, and T.
  Yoshi\'e","CP-PACS Result for the Quenched Light Hadron Spectrum","Talk presented by K. Kanaya at Lattice97, Edinburgh","Nucl.Phys.Proc.Suppl. 63 (1998) 161-163","10.1016/S0920-5632(97)00708-1","UTCCP-P-26","hep-lat",,"  The quenched hadron spectrum in the continuum obtained with the Wilson quark
action in recent simulations on the CP-PACS is presented. Results for the light
quark masses and the QCD scale parameter are reported.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 08:10:38 GMT""}]","2012-08-27"
"hep-lat/9709140","Ernst-Michael Ilgenfritz","M. Feurstein (TU Wien), E.-M. Ilgenfritz (Humboldt-Univ. Berlin), H.
  Markum (TU Wien), M. M\""uller-Preussker (Humboldt-Univ. Berlin), and S.
  Thurner (TU Wien)","Topology without cooling: instantons and monopoles near to deconfinement","6 pages, 8 figures, LaTeX with espcrc2.sty. Talk and poster presented
  at Lattice97, Edinburgh, 22-26 July 1997, to appear in Nucl. Phys. B
  (Proc.Suppl.)","Nucl.Phys.Proc.Suppl. 63 (1998) 480-485","10.1016/S0920-5632(97)00808-6",,"hep-lat",,"  In an attempt to describe the change of topological structure of pure SU(2)
gauge theory near deconfinement a renormalization group inspired method is
tested. Instead of cooling, blocking and subsequent inverse blocking is applied
to Monte Carlo configurations to capture topological features at a well-defined
scale. We check that this procedure largely conserves long range physics like
string tension. UV fluctuations and lattice artefacts are removed which
otherwise spoil topological charge density and Abelian monopole currents. We
report the behaviour of topological susceptibility and monopole current
densities across the deconfinement transition and relate the two faces of
topology to each other. First results of a cluster analysis are described.
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 12:43:38 GMT""}]","2009-10-30"
"hep-lat/9709141","Adrian L. Kaehler","Adrian L. Kaehler","Study of the chiral behavior of [the chiral condensate] in quenched QCD","3 pages, 1 figure","Nucl.Phys.Proc.Suppl. 63 (1998) 823-825","10.1016/S0920-5632(97)00911-0","CU-TP-861","hep-lat",,"  The QCD phase transition is studied on 32^3x8 quenched lattices. One expects
from simple arguments that the quenched chiral condensate should diverge as the
chiral limit is approached. Previous studies have not been able to observe this
behavior, perhaps due to relatively large lattice spacings used. The topic is
revisited here on N_t=8 lattices, where the physical spacing is approximately
2(Gev^-1).
","[{""version"":""v1"",""created"":""Mon, 29 Sep 1997 14:32:24 GMT""}]","2009-10-30"
