"alg-geom/9709010","Yuri Tschinkel","Matthias Strauch and Yuri Tschinkel","Height zeta functions of toric bundles over flag varieties","64 pages, LaTeX",,,,"alg-geom math.AG",,"  We investigate analytic properties of height zeta functions of toric bundles
over flag varieties.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 19:29:16 GMT""}]","2008-02-03"
"astro-ph/9709079","Miguel H. Iba~nez S.","Miguel H. Iba~nez S. (Centro de Astrofisica Teorica, Facultad de
  Ciencias, Universidad de los Andes, Merida, Venezuela)","Thermochemical Instabilities in Optically Thin Reacting Plasmas","20 pages, Latex 6.1, 21 EPS figures. to appear 1997, ApJ, Dic 10
  issue",,,,"astro-ph",,"  The linear stability analysis of an optically thin plasma where a general
reaction proceeds, including chemical relaxation time effects, is carried out .
A fifth order dispersion equation (instead of the fourth order one resulting
when such effects are neglected) is obtained. The new mode with the
corresponding instability criterion as well as the modifications of the
previous four modes and the corresponding instability criteria, are analyzed.
Generally, a further stabilizing effect on the unstable modes and an increasing
of the damping of stable modes appear because of the second viscosity generated
by the chemical reaction. The results are applied to: (1) a collisionally
ionized pure hydrogen plasma heated at a constant rate per unit mass and cooled
by free-free transitions, ionization, and e-H collisional excitations; (2) a
diffused gas with metallicity Z, photoionized and heated by a radiation field,
and cooled by excitation of hydrogen and heavy metal lines.
","[{""version"":""v1"",""created"":""Tue, 9 Sep 1997 21:04:42 GMT""}]","2007-05-23"
"astro-ph/9709080","Paul Frampton","Paul H. Frampton, Bettina Keszthelyi and Y. Jack Ng","Longevity and Highest-Energy Cosmic Rays","8 pages, RevTeX","Int.J.Mod.Phys. D8 (1999) 117-122","10.1142/S0218271899000109","IFP-737-UNC","astro-ph hep-ph",,"  It is proposed that the highest energy $\sim 10^{20}$eV cosmic ray primaries
are protons, decay products of a long-lived progenitor which has propagated
from typically $\sim 100$Mpc. Such a scenario can occur in e.g. SU(15) grand
unification and in some preon models, but is more generic; if true, these
unusual cosmic rays provide a window into new physics.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 01:58:25 GMT""}]","2015-06-24"
"astro-ph/9709081","Jochen Liske","J. Liske, J. K. Webb","Structure in the Lyman-Alpha Forest","2 pages, LaTeX, with 1 PostScript figure, colour version available at
  ftp://edwin.phys.unsw.edu.au/pub/jol/struc_lya.fig1_col.ps.gz, uses
  conf_iap.sty (included). To appear in the Proceedings of the 13th IAP
  Colloquium (July 1-5, 1997): ``Structure and Evolution of the IGM from QSO
  Absorption Line Systems''",,,,"astro-ph",,"  The spatial distribution of Ly-alpha forest absorption systems toward a group
of 8, closely spaced QSOs has been analysed and evidence for large scale
structure has been found at <z> = 2.8. Our technique is based on the first and
second moments of the transmission probability density function which is
capable of identifying and assessing the significance of regions of over- or
underdense Ly-alpha absorption. The data has revealed at least two interesting
features. 1. An overdense structure at z = 2.27 which extends at least over ~8
h^{-1} comoving Mpc (q_0 = 0.5) in the plane of the sky. Metal absorption lines
have been found at the same redshift and thus a cluster or proto-cluster of
galaxies seems to have been discovered. 2. A void at z = 2.97, extending over
~20 h^{-1} comoving Mpc in the plane of the sky, possibly caused by a locally
increased UV ionising flux due to a foreground QSO.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 06:25:57 GMT""}]","2007-05-23"
"astro-ph/9709082","Matthew Colless","Matthew Colless","A New Vision of the Coma Cluster: Conference Summary","10 pages, no figures, to be published in the proceedings of the
  Rencontres Astrophysiques meeting, ""A New Vision of an Old Cluster:
  Untangling Coma Berenices"", eds Durret F., et al., held at Marseilles, 17-20
  June 1997, (revised: 970915 - typos fixed)",,,,"astro-ph",,"  Summary of the highlights and main themes of a conference on the Coma
cluster, ""A New Vision of an Old Cluster: Untangling Coma Berenices"".
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 06:46:08 GMT""},{""version"":""v2"",""created"":""Sun, 14 Sep 1997 23:49:00 GMT""}]","2008-02-03"
"astro-ph/9709083","H. M. Antia","H. M. Antia (1), Sarbani Basu (2), S. M. Chitre (1) ((1) Tata
  Institute of Fundamental Research, Mumbai, India, (2) Theoretical
  Astrophysics Center, Aarhus, Denmark)","Solar internal rotation rate and the latitudinal variation of the
  tachocline","15 pages, MNRAS-TeX, 15 figures","Mon. Not. Roy. Astron. Soc. 298 (1998) 543","10.1046/j.1365-8711.1998.01635.x",,"astro-ph",,"  A new set of accurately measured frequencies of solar oscillations are used
to infer the rotation rate inside the Sun, as a function of radial distance as
well as latitude. We have adopted a regularized least squares technique with
iterative refinement for both 1.5D inversion using the splitting coefficients
and 2D inversion using individual m splittings. The inferred rotation rate
agrees well with earlier estimates showing a shear layer just below the surface
and another one around the base of the convection zone. The tachocline or the
transition layer where the rotation rate changes from differential rotation in
the convection zone to almost latitudinally independent rotation rate in the
radiative interior is studied in detail. No compelling evidence for any
latitudinal variation in position and width of tachocline is found though it
appears that the tachocline probably shifts to slightly larger radial distance
at higher latitudes and possibly becomes thicker also. However, these
variations are within the estimated errors and more accurate data would be
needed to make a definitive statement about latitudinal variations.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 08:58:34 GMT""}]","2009-10-30"
"astro-ph/9709084","Gian Luigi Granato","A. Bressan, G. L. Granato, L. Silva","Modelling Intermediate Age and Old Stellar Populations in the Infrared","16 pages, 10 figures, to appear in A&A",,,,"astro-ph",,"  We have investigated the spectro-photometric properties of the Asymptotic
Giant Branch (AGB) stars and their contribution to the integrated infrared
emission in simple stellar populations (SSP). Adopting analytical relations
describing the evolution of these stars in the HR diagram and empirical
relations for the mass-loss rate and the wind terminal velocity, we were able
to model the effects of the dusty envelope around these stars, with a minimal
number of parameters. We computed isochrones at different age and initial metal
content. We compare our models with existing infrared colors of M giants and
Mira stars and with IRAS PSC data. Contrary to previous models, in the new
isochrones the mass-loss rate, which establishes the duration of the AGB phase,
also determines the spectral properties of the stars. The contribution of these
stars to the integrated light of the population is thus obtained in a
consistent way. We find that the emission in the mid infrared is about one
order of magnitude larger when dust is taken into account in an intermediate
age population, irrespective of the particular mixture adopted. The dependence
of the integrated colors on the metallicity and age is discussed, with
particular emphasis on the problem of age-metallicity degeneracy. We show that,
contrary to the case of optical or near infrared colors, the adoption of a
suitable pass-band in the mid infrared allows a fair separation of the two
effects. We suggest intermediate redshift elliptical galaxies as possible
targets of this method of solving the age-metallicity dilemma. The new SSP
models constitute a first step in a more extended study aimed at modelling the
spectral properties of the galaxies from the ultraviolet to the far infrared.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 08:16:31 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 11:49:43 GMT""}]","2008-02-03"
"astro-ph/9709085","Luigi Stella","Luigi Stella and Mario Vietri","Lense-Thirring Precession and QPOs in Low Mass X-Ray Binaries","Accepted for publication in Astrophysical Journal Letters. AASTEX
  needed","Astrophys.J. 492 (1998) L59","10.1086/311075",,"astro-ph",,"  We show in this Letter that relativistic dragging of inertial frames around
fast rotating collapsed stars is substantial and can give rise to observable
effects. We apply this to the kHz quasi periodic oscillations (QPOs) sources,
low mass X-ray binaries (LMXRBs) containing an accreting neutron star. Within
the beat frequency model, both the Keplerian frequency of the innermost region
of the accretion disk (~0.3-1.2 kHz) and the neutron star spin frequency
(~0.3-0.4 kHz) are directly observed. From these the Lense-Thirring precession
frequency (tens of Hz) of the same material in the innermost disk regions which
gives rise to the kHz QPOs is determined within a factor of ~4, depending on
the neutron star equation of state. The classical contribution from neutron
star oblateness decreases the precession frequency slightly. The broad peaks at
frequencies ~20-40 Hz in the power spectra of the Atoll-sources 4U1728-34,
4U0614+091 and KS1731-260 and their variations with the higher kHz QPO
frequency are well matched by Lense-Thirring precession of material in the
innermost disk region. We also suggest that the ~15-50 Hz horizontal branch
QPOs of GX5-1 and GX17+2 (and likewise other Z-type low mass X-ray binaries)
arise from the same mechanism.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 12:37:39 GMT""}]","2009-10-30"
"astro-ph/9709086","Elena Pian","Anuradha Koratkar, Elena Pian, C. Megan Urry, and Joseph E. Pesce","Monitoring Ly alpha Emission from the Blazar 3C 279","19 pages, Latex, 5 PostScript figures, to appear in The Astrophysical
  Journal, 1 January 1998",,"10.1086/305010","STScI Prep. Ser. No. 1177","astro-ph",,"  The blazar 3C 279 is well studied and shows frequent large continuum flares
from radio to gamma-ray wavelengths. There have been a number of
multi-wavelength observations of 3C 279, and hence there are many ultraviolet
data for this object available in the UV archives. In this paper we present Ly
alpha emission line measurements for 3C 279 using all the archival IUE SWP
spectra from 1988 to 1996 and all archival HST/FOS G190H spectra from 1992 to
1996. Individual archival IUE spectra of 3C 279 show weak Ly alpha emission at
~1868 A (z = 0.536), which is easily seen in the co-added data. The Ly alpha
emission is observed in all the HST/FOS spectra. The strength of Ly alpha is
nearly constant (~5E-14 erg/cm2/s), while the 1750 A continuum varies by a
factor of ~50, from ~0.6 to 31.6E-15 erg/cm2/s/A. The behavior of the Ly alpha
emission line flux and continuum flux is similar to that of the only other well
observed blazar, 3C 273, which shows constant line flux while the continuum
varies by a factor of ~3. This near-constancy of emission line flux in the two
best-studied blazars, suggests that the highly variable beamed continuum is not
a significant source of photoionization for the gas. Some other source, such as
thermal emission from an accretion disk, must be providing a significant
fraction of the photoionizing flux in these objects. The large amplitude
variability seen at gamma-ray energies must be due to changes in the energetic
electrons in the jet rather than changes in the external photon field.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 13:27:31 GMT""}]","2009-10-30"
"astro-ph/9709087","Gabriela Surpi","Gabriela C. Surpi and Diego D. Harari","Weak-Lensing by Large-Scale Structure and the Polarization Properties of
  Distant Radio-Sources","23 pages, 2 eps figures, Aastex 4.0 macros. Final version, as
  accepted by ApJ. Additional references and some changes in the introduction
  and conclusions","Astrophys.J. 515 (1999) 455-464","10.1086/307031",,"astro-ph",,"  We estimate the effects of weak lensing by large-scale density
inhomogeneities and long-wavelength gravitational waves upon the polarization
properties of electromagnetic radiation as it propagates from cosmologically
distant sources. Scalar (density) fluctuations do not rotate neither the plane
of polarization of the electromagnetic radiation nor the source image. They
produce, however, an appreciable shear, which distorts the image shape, leading
to an apparent rotation of the image orientation relative to its plane of
polarization. In sources with large ellipticity the apparent rotation is rather
small, of the order (in radians) of the dimensionless shear. The effect is
larger at smaller source eccentricity. A shear of 1% can induce apparent
rotations of around 5 degrees in radio sources with the smallest eccentricity
among those with a significant degree of integrated linear polarization. We
discuss the possibility that weak lensing by shear with rms value around or
below 5% may be the cause for the dispersion in the direction of integrated
linear polarization of cosmologically distant radio sources away from the
perpendicular to their major axis, as expected from models for their magnetic
fields. A rms shear larger than 5% would be incompatible with the observed
correlation between polarization properties and source orientation in distant
radio galaxies and quasars. Gravity waves do rotate both the plane of
polarization as well as the source image. Their weak lensing effects, however,
are negligible.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 13:35:12 GMT""},{""version"":""v2"",""created"":""Wed, 4 Nov 1998 22:11:58 GMT""}]","2009-10-30"
"astro-ph/9709088","David Merritt","David Merritt, Monica Valluri (Rutgers)","Self-Consistent Gravitational Chaos","15 Tex pages, 7 Postscript figures. To appear in the Twelfth Annual
  Florida Workshop in Nonlinear Astronomy and Physics: Long Range Correlations
  in Astrophysical and Other Systems, eds. J. R. Buchler, J. Dufty and H.
  Kandrup",,"10.1111/j.1749-6632.1998.tb08957.x","Rutgers Astrophysics Preprint Series No. 213","astro-ph chao-dyn nlin.CD",,"  The motion of stars in the gravitational potential of a triaxial galaxy is
generically chaotic. However, the timescale over which the chaos manifests
itself in the orbital motion is a strong function of the degree of central
concentration of the galaxy. Here, chaotic diffusion rates are presented for
orbits in triaxial models with a range of central density slopes and nuclear
black-hole masses. Typical diffusion times are found to be less than a galaxy
lifetime in triaxial models where the density increases more rapidly than 1/r
at the center, or which contain black holes with masses that exceed roughly
0.1% of the galaxy mass. When the mass of a central black hole exceeds roughly
0.02 times the mass of the galaxy, there is a transition to global
stochasticity and the galaxy evolves to an axisymmetric shape in little more
than a crossing time. This rapid evolution may provide a negative feedback
mechanism that limits the mass of nuclear black holes to a few percent of the
stellar mass of a galaxy.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 14:37:23 GMT""}]","2009-10-30"
"astro-ph/9709089","Paolo Goldoni","P.Goldoni (1), M.Vargas (1), A.Goldwurm (1), P.Laurent (1),
  J.-P.Roques (2), E.Jourdain (2), J.Malzac (2), G.Vedrenne (2), M.Revnivtsev
  (3), E. Churazov (3,4), M. Gilfanov (3,4), R.Sunyaev (3,4), A.Dyachkov (3),
  N. Khavenson (3), I. Tserenin (3), N.Kuleshova (3) ((1) SAp/Saclay, (2)
  CESR/Toulouse, (3) SRI/Moscow, (4) MPA/Munich)","SIGMA observations of X-ray Nova Velorum 1993 (GRS 1009-45)","4 pages LaTeX, 2 postscript figures, Accepted by Astronomy and
  AstroPhysics",,,,"astro-ph",,"  We report on hard X-ray observations of X-ray Nova Velorum 1993 (GRS 1009-45)
performed with the SIGMA coded mask X-ray telescope in January 1994. The source
was clearly detected with a flux of about 60 mCrab in the 40-150 keV energy
band during the two observations with a hard spectrum (alpha ~ - 1.9) extending
up to ~ 150 keV. These observations confirm the duration of the activity of the
source in hard X-rays over 100 days after the first maximum and suggest a
spectral hardening which has already been observed in Nova Muscae. These and
other characteristics found in these observations strengthen the case for this
Nova to be a black hole candidate similar to Nova Muscae.
","[{""version"":""v1"",""created"":""Wed, 10 Sep 1997 15:18:14 GMT""}]","2007-05-23"
