"alg-geom/9709020","Vladimir Masek","Vladimir Masek (Washington Univ. in St. Louis)","Very ampleness of adjoint linear systems on smooth surfaces with
  boundary","22 pages, AMS-LaTeX 1.2",,,,"alg-geom math.AG",,"  Let M be a Q-divisor on a smooth surface over C. In this paper we give
criteria for very ampleness of the adjoint of the round-up of M. (Similar
results for global generation were given by Ein and Lazarsfeld and used in
their proof of Fujita's Conjecture in dimension 3.) In the last section we
discuss an example which suggests that this kind of criteria might also be
useful in the study of linear systems on surfaces.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:48:39 GMT""}]","2016-08-30"
"astro-ph/9709179","Igor Moskalenko","I. V. Moskalenko, W. Collmar, V. Schoenfelder (MPE)","A model for the high-energy emission of Cyg X-1","5 pages including 2 figures, latex, aipproc.sty, aipproc.cls,
  epsfig.sty. To be published in Proc. 4th Compton Symp., 1997 (27-30 April,
  Williamsburg, Virginia)","AIP Conf.Proc.410:863-867,1997","10.1063/1.53990",,"astro-ph",,"  We construct a model of Cyg X-1 which describes self-consistently its
emission from soft X-rays to MeV gamma rays. Instead of a compact
pair-dominated gamma-ray emitting region, we consider a hot optically thin and
spatially extended proton-dominated cloud surrounding the whole accretion disc.
The gamma-ray emission is due to the bremsstrahlung, Comptonization, and
positron annihilation, while the corona-disc model is retained for the X-ray
emission. We show that the Cyg X-1 spectrum accumulated by OSSE, BATSE, and
COMPTEL in 1991--95, as well as the HEAO-3 gamma1 and gamma2 spectra can be
well fitted by our model. The derived parameters are in qualitative agreement
with the picture in which the spectral changes are governed by the mass flow
rate in the accretion disc. In this context, the hot outer corona could be
treated as the advection-dominated flow co-existing with a standard thin
accretion disc.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 13:19:23 GMT""}]","2010-12-13"
"astro-ph/9709180","Demos Kazanas","Demosthenes Kazanas, Lev G. Titarchuk and Xin-Min Hua","The Duration -- Photon Energy Relation of Gamma Ray Bursts and Its
  Interpretations","13 pages TeX, Accepted for Publication in the Astrophysical Journal",,"10.1086/305131",,"astro-ph",,"  Fenimore et al. (1995) have recently presented a very tight correlation
between the spectral and the temporal structure in Gamma Ray Bursts (hereafter
GRBs). In particular, they discovered that the durations of the constituent
subpulses which make up the time profile of a given GRB have a well defined
power-law dependence, of index $\simeq 0.45$, on the energy $E$ of the observed
photons. In this note we present two simple models which can account in a
straightforward fashion for the observed correlation. These models involve: (a)
The impulsive injection of a population of relativistic electrons and their
subsequent cooling by synchrotron radiation. (b) The impulsive injection of
monoenergetic high energy photons in a medium of Thompson depth $\tau_T \sim 5$
and their subsequent downgrading in energy due to electron scattering. We
present arguments for distinguishing between these two models from the existing
data.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 13:28:00 GMT""}]","2009-10-30"
"astro-ph/9709181","Vicent Quilis","Vicent Quilis, Diego Saez","Secondary gravitational anisotropies in open universes","26 pages, Latex, 4 postscript figures, accepted MNRAS",,"10.1046/j.1365-8711.1998.01155.x",,"astro-ph",,"  The applicability of the potential approximation in the case of open
universes is tested. Great Attractor-like structures are considered in the
test. Previous estimates of the Cosmic Microwave background anisotropies
produced by these structures are analyzed and interpreted. The anisotropies
corresponding to inhomogeneous ellipsoidal models are also computed. It is
proved that, whatever the spatial symmetry may be, Great Attractor-like objects
with extended cores (radius $\sim 10h^{-1}$),located at redshift $z=5.9$ in an
open universe with density parameter $\Omega_{0}=0.2$, produce secondary
gravitational anisotropies of the order of $10^{-5}$ on angular scales of a few
degrees. This anisotropy appears to be an integrated effect along the photon
geodesics. Its angular scale is much greater than that subtended by the Great
Attractor itself. This is understood taking into account that the integrated
effect is produced by the variations of the gravitational potential, which seem
to be important in large regions subtending angular scales of various degrees.
As a result of the large size of these regions, the spatial curvature of the
universe becomes important and, consequently, significant errors ($\sim 30$ per
cent) arise in estimations based on the potential approximation.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:27:46 GMT""}]","2009-10-30"
"astro-ph/9709182",,"Y.K. Ng, G. Bertelli, G. Carraro, L. Portinari","The galactic disc age-metallicity relation","4 pages LaTeX, 3 postscript figures, to appear in proceedings ``1997
  Pacific RIM conference on Stellar Astrophysics'', August 13-16, 1997, Hong
  Kong (China), K.L. Chan, K.S. Cheng and H.P. Singh (eds.), ASP Conference
  Series",,,,"astro-ph",,"  New ages are computed for stars in the Solar Neighbourhood from the
Edvardsson et al. (1993) data set. Distances derived from the Hipparcos
parallaxes were adopted to obtain reliable ages (uncertainty less than 12%) for
a subset of stars. There is no apparent age-metallicity relation for stars with
an age less than 10 Gyr. Only if we consider older stars a slope of ~0.07
dex/Gyr appears. This relation is compared with those obtained from other
methods, i.e. galactic open clusters, stellar population synthesis (star
counts), and chemical evolution models.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 14:42:06 GMT""}]","2007-05-23"
"astro-ph/9709183","Romain Teyssier","Jean-Pierre Chieze, Romain Teyssier, Jean-Michel Alimi","Are Large X-ray Clusters at Thermal Equilibrium ?","15 pages, LaTex2e, accepted for publication in ApJ also available at
  http://www-dapnia.cea.fr/Publications/Sap/sap97.html",,"10.1086/305305",,"astro-ph",,"  We simulate the formation of a large X-ray cluster using a fully 3D
hydrodynamical code coupled to a Particle-Mesh scheme which models the dark
matter component. We focus on a possible decoupling between electrons and ions
temperatures. We then solve the energy transfer equations between electrons,
ions and neutrals without assuming thermal equilibrium between the three gases
(T_e <> T_i <> T_n). We solve self-consistently the chemical equations for an
hydrogen/helium primordial plasma without assuming ionization-recombination
equilibrium. We find that the electron temperature differs from the true
dynamical temperature by 20% at the Virial radius of our simulated cluster.
This could lead marginally to an underestimate of the total mass in the outer
regions of large X-ray clusters.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 15:58:53 GMT""}]","2009-10-30"
"astro-ph/9709186","Deneal Smith","D.A.Smith, V.S.Dhillon and T.R.Marsh","The mass of the white dwarf in the old nova BT Mon","19 pages, LaTeX, 15 figures, accepted by MNRAS, 11 Sept 1997",,"10.1046/j.1365-8711.1998.00743.x",,"astro-ph",,"  We present spectrophotometry of the eclipsing old nova BT Mon (Nova Mon
1939). By detecting weak absorption features from the secondary star, we find
its radial velocity semi-amplitude to be K_R = 205+/-5 km/s and its rotational
velocity to be vsin i = 138+/-5 km/s. We also measure the radial velocity
semi-amplitude of the primary star to be K_R = 170+/-10 km/s. From these
parameters we obtain a mass of 1.04+/-0.06 M_sun for the white dwarf primary
star and a mass of 0.87+/-0.06 M_sun for the G8V secondary star. The
inclination of the system is found to be 82.2+/-3.2 deg and we estimate that
the system lies at a distance of 1700+/-300pc. The high mass of the white dwarf
and our finding that BT Mon was probably a fast nova together constitute a new
piece of evidence in favour of the thermonuclear runaway model of classical
nova outbursts. The emission lines are single peaked throughout the orbital
cycle, showing absorption around phase 0.5, high velocity S-wave components and
large phase offsets in their radial velocity curves. In each of these respects,
BT Mon is similar to the SW Sex stars. We also find quasi-periodic flaring in
the trailed spectra, which makes BT Mon a candidate intermediate polar.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:58:39 GMT""},{""version"":""v2"",""created"":""Mon, 22 Sep 1997 11:46:28 GMT""}]","2009-10-30"
"chao-dyn/9709021","Barbara Drossel","Barbara Drossel and Thomas Prellberg (Univ. Manchester)","Dynamics of a single particle in a horizontally shaken box","11 pages RevTex. Some postscript files have low resolution. We will
  send the high-resolution files on request",,"10.1007/s100510050216",,"chao-dyn cond-mat nlin.CD",,"  We study the dynamics of a particle in a horizontally and periodically shaken
box as a function of the box parameters and the coefficient of restitution. For
certain parameter values, the particle becomes regularly chattered at one of
the walls, thereby loosing all its kinetic energy relative to that wall. The
number of container oscillations between two chattering events depends in a
fractal manner on the parameters of the system. In contrast to a vertically
vibrated particle, for which chattering is claimed to be the generic fate, the
horizontally shaken particle can become trapped on a periodic orbit and follow
the period-doubling route to chaos when the coefficient of restitution is
changed. We also discuss the case of a completely elastic particle, and the
influence of friction between the particle and the bottom of the container.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 11:09:17 GMT""}]","2009-10-30"
"cond-mat/9709194","Lyuksyutov","Igor F.Lyuksyutov, Thomas Nattermann and Valery Pokrovsky","Theory of Hysteresis Loop in Ferromagnet","5 pages, 1 figure, RevTex",,,,"cond-mat.mtrl-sci",,"  A theory of the hysteresis loop in ferromagnets controlled by the domain wall
motion is presented. Domain walls are considered as plane or linear interfaces
moving in a random medium under the action of the external ac magnetic field
$H=H_0\sin\omega t$. We introduce important characteristics of the hysteresis
loop, such as dynamic threshold fields, reversal field etc. together with well
known characteristics as coercive field and hysteresis loop area (HLA) $\cal
A$. We show that all these characteristics are regulated by two dimensionless
combinations of the $H_0$ and $\omega$and intrinsic characteristics of the
ferromagnet. The moving domain wall can create magnetic bubbles playing the
role of pre-existing nuclei of the reversed magnetization. We discuss a simple
model of this process. For magnetization reversal determined by domain
inflation we predict that HLA scales as ${\cal A}\propto
\omega^{\beta}H_0^{\alpha}$ with $\alpha =1/2$ and $\beta =1/2$. Numerical
simulations confirmthis result.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 16:09:32 GMT""},{""version"":""v2"",""created"":""Sat, 20 Sep 1997 20:57:01 GMT""}]","2008-02-03"
"cond-mat/9709196","Martin-D. Lacasse","Martin-D. Lacasse, Gary S. Grest, and Alex J. Levine","Capillary-Wave and Chain-Length Effects at Polymer/Polymer Interfaces","5 pages, 5 figures",,"10.1103/PhysRevLett.80.309",,"cond-mat.soft",,"  A continuum-space bead-spring model is used to study the phase behavior of
binary blends of homopolymers and the structure of the interface between the
two immiscible phases. The structure of the interface is investigated as a
function of immiscibility, chain length, and system size. Capillary waves are
observed and their measurement allows us to determine the surface tension
$\gamma$. We propose a more universal method of measuring the interfacial width
in terms of second moments of the different contributions to the first
derivative of the interfacial profile. Predictions of this method are directly
verified. The effect of chain length on the surface tension is also studied.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:29:08 GMT""}]","2009-10-30"
"cond-mat/9709197","Daniel Grempel","J. Maucourt and D. R. Grempel","The Lower Critical Dimension of the XY Spin Glass","4 pages, 3 ps figures. Typos have been corrected, one reference has
  been added and the concluding paragraph has been expanded. To appear in Phys.
  Rev. Lett",,"10.1103/PhysRevLett.80.770",,"cond-mat.dis-nn",,"  We investigate the XY spin-glass model in two and three dimensions using the
domain-wall renormalization-group method. The results for systems of linear
sizes up to L=12 (2D) and L=8 (3D) strongly suggest that the lower critical
dimension for spin-glass ordering may be $d_{c}\approx 3$ rather than four as
is commonly believed. Our 3D data favor the scenario of a low but finite
spin-glass ordering temperature below the chiral transition but they are also
compatible with the system being at or slightly below its lower critical
dimension.
","[{""version"":""v1"",""created"":""Wed, 17 Sep 1997 17:25:13 GMT""},{""version"":""v2"",""created"":""Mon, 1 Dec 1997 10:34:19 GMT""}]","2009-10-30"
"cond-mat/9709198","Shuichi Murakami","Shuichi Murakami and Frank G\""ohmann","Algebraic Solution of the Hubbard Model on the Infinite Interval","47 pages, LaTeX, no figures, some additional explanations in the
  Conclusion, to appear in Nucl.Phys.B","Nucl. Phys. B512 (1998) 637","10.1016/S0550-3213(97)00793-1",,"cond-mat.stat-mech",,"  We develop the quantum inverse scattering method for the one-dimensional
Hubbard model on the infinite line at zero density. This enables us to
diagonalize the Hamiltonian algebraically. The eigenstates can be classified as
scattering states of particles, bound pairs of particles and bound states of
pairs. We obtain the corresponding creation and annihilation operators and
calculate the S-matrix. The Hamiltonian on the infinite line is invariant under
the Yangian quantum group Y(su(2)). We show that the n-particle scattering
states transform like n-fold tensor products of fundamental representations of
Y(su(2)) and that the bound states are Yangian singlet.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 03:14:48 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 1997 05:46:13 GMT""}]","2016-08-31"
"cond-mat/9709199","Dai Xi","Xi Dai and Zhao-bin Su","A mean field theory for the spin ladder system","14 pages,6 figure. submitted to Physical Review B",,"10.1103/PhysRevB.57.964",,"cond-mat.str-el cond-mat.stat-mech",,"  In the present paper, we propose a mean field approach for spin ladders based
upon the Jordan-Wigner transformation along an elaborately ordered path.
  We show on the mean field level that ladders with even number legs open a
energy gap in their low energy excitation with a magnitude close to the
corresponding experimental values, whereas the low energy excitation of the
odd-number-leg ladders are gapless. It supports the validity of our approach.
We then calculate the gap size and the excitation spectra of 2-leg-ladder
system. Our result is in good agreement with both the experimental data and the
numerical results.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 07:08:02 GMT""}]","2016-08-31"
"cond-mat/9709200","Domenico Carlucci","D.M.Carlucci and C. De Dominicis","On the Replica Fourier Transform","4 pages. LaTeX",,,,"cond-mat.dis-nn",,"  The Replica Fourier Transform introduced previously is related to the
standard definition of Fourier transforms over a group. Its use is illustrated
by block-diagonalizing the eigenvalue equation of a four-replica Parisi matrix.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:01:33 GMT""}]","2008-02-03"
"cond-mat/9709201","Jonathan Doye","Jonathan Doye and David Wales","Structural Consequences of the Range of the Interatomic Potential: a
  Menagerie of Clusters","26 pages, 16 figures, revtex. Unabridged version of paper accepted by
  J. Chem. Soc., Faraday Trans","J. Chem. Soc., Faraday Trans., 93, 4233 (1997)",,,"cond-mat physics.atm-clus",,"  We have attempted to find the global minima of clusters containing between 20
and 80 atoms bound by the Morse potential as a function of the range of the
interatomic force. The effect of decreasing the range is to destabilize
strained structures, and hence the global minimum changes from icosahedral to
decahedral to face-centred-cubic as the range is decreased. For N>45 the global
minima associated with a long-ranged potential have polytetrahedral structures
involving defects called disclination lines. For the larger clusters the
network of disclination lines is disordered and the global minimum has an
amorphous structure resembling a liquid. The size evolution of polytetrahedral
packings enables us to study the development of bulk liquid structure in finite
systems. As many experiments on the structure of clusters only provide indirect
structural information, these results will be very useful in aiding the
interpretation of experiment. They also provide candidate structures for
theoretical studies using more specific and computationally expensive
descriptions of the interatomic interactions. Furthermore, Morse clusters
provide a rigorous testing ground for global optimization methods.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 09:14:05 GMT""}]","2008-02-03"
"cond-mat/9709202","Ussishkin Iddo","Ady Stern and Iddo Ussishkin (The Weizmann Institute of Science)","Coulomb drag in the quantum Hall $\nu = 1/2$ state: Role of disorder","RevTeX, 8 pages, 1 figure. This work discusses the role of disorder,
  which was not discussed in our cond-mat/9701135. To appear in Physica E, in
  the proceedings of the conference on Novel Physics in Low-Dimensional
  Electron Systems, Dresden 1997","Physica E 1 (1997) 176","10.1016/S1386-9477(97)00038-6",,"cond-mat.mes-hall",,"  We consider Coulomb drag between two layers of two-dimensional electron gases
subject to a strong magnetic field, with the Landau level filling factor in
each layer being 1/2. We find $\rho_D$ to be very large, as compared to the
zero magnetic field case. We attribute this enhancement to the slow decay of
density fluctuations in a strong magnetic field. For a clean system, the linear
$q$-dependence of the longitudinal conductivity, characteristic of the
$\nu=1/2$ state, leads a unique temperature dependence---$\rd \propto T^{4/3}$.
Within a semiclassical approximation, disorder leads to a decrease of the
transresistivity as compared with the clean case, and a temperature dependence
of $T^2\log T$ at low temperatures.
","[{""version"":""v1"",""created"":""Thu, 18 Sep 1997 12:14:10 GMT""}]","2009-10-30"
