"alg-geom/9709017","Yavor Markov","Y. Markov, V. Tarasov, A. Varchenko","The Determinant of a Hypergeometric Period Matrix","21 pages, no figures, LaTeX2e",,,,"alg-geom math.AG",,"  We consider a function $U=e^{-f_0}\prod_j^N f_j^{\alpha_j}$ on a real affine
space, here $f_0,..,f_N$ are linear functions, $\alpha_1, ...,\alpha_N$ complex
numbers. The zeros of the functions $f_1, ..., f_N$ form an arrangement of
hyperplanes in the affine space. We study the period matrix of the
hypergeometric integrals associated with the arrangement and the function $U$
and compute its determinant as an alternating product of gamma functions and
critical points of the functions $f_0,..., f_N$ with respect to the
arrangement. In the simplest example, $N=1, f_0=f_1=t$, the determinant formula
takes the form $\int_0^\infty e^{-t} t^{\alpha -1} dt=\Gamma (\alpha).$
  We also give a determinant formula for Selberg type exponential integrals. In
this case the arangements of hyperplanes is special and admits a symmetry
group, the period matrix is decomposed into blocks corresponding to different
representations of the symmetry group on the space of the hypergeometric
integrals associated with the arrangement. We compute the determinant of the
block corresponding to the trivial representation.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:51:53 GMT""}]","2008-02-03"
"astro-ph/9709150","Puyoo","O. Puyoo and L. Ben-Jaffel","Lyman-alpha emission as a tool to study high redshift damped systems","2 pages LATEX, with 1 PostScript figure, conf_iap.sty To appear in
  Proceedings of 13th IAP (Paris) Colloquium (July 1-5, 1997) Structure and
  Evolution of the IGM from QSO Absorption Lines, ed. P. Petitjean, S. Charlot",,,,"astro-ph",,"  We report a quantitative study of the escape of Lyman-alpha photons from an
inhomogeneous optically thick medium that mimics the structure of damped
Lyman-alpha absorbers. Modeling the optically thick disk with 3 components
(massive stars and HII regions, dust, and neutral hydrogen), we study the
resulting emission line profile that may arise near the extended damped
absorption profile.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 08:00:22 GMT""}]","2007-05-23"
"astro-ph/9709151","Frank van der Hooft","Frank van der Hooft (1), Martin Heemskerk (1), Frank Alberts (1), Jan
  van Paradijs (1,2) ((1) University of Amsterdam, (2) University of Alabama in
  Huntsville)","The quiescence optical light curve of Nova Scorpii 1994 (=GRO J1655-40)","Accepted for publication in Astronomy and Astrophysics Uses L-AA
  version 3 8 pages plus 10 ps figures",,,,"astro-ph",,"  We report on extensive V, R, and i band photometry of the black-hole
candidate Nova Sco 1994 (GRO J1655-40) obtained during March 1996, when the
source was close to its quiescent pre-outburst optical brightness (V=17.3).
  From our observations and data taken from the literature we derive a refined
ephemeris for inferior conjunction of the secondary star: HJD 2449838.4198(52)
+ 2.62168(14) x N. We have modeled the V, R, and i band light curves in terms
of a Roche lobe filling secondary and an accretion disk around the compact
star, the latter described as a flat cylinder with a radial temperature
distribution. From the shape of the light curve we constrain the binary
inclination and mass of the secondary star to lie in the ranges 63.7-70.7
degrees and 1.60-3.10 Solar masses, respectively. This limits the mass of the
black-hole to the range 6.29-7.60 Solar Masses. The mass range we obtained for
the secondary star is supported by the results of stellar evolution
calculations.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 12:41:55 GMT""}]","2007-05-23"
"astro-ph/9709152","Nagataki Shigehiro","Shigehiro Nagataki, Tetsuya Shimizu, and Katsuhiko Sato","Matter Mixing in Axisymmetric Supernova Explosion","34 pages, 21 figures, LaTex","Astrophys.J. 495 (1998) 413","10.1086/305258","RESCEU 36/97, UTAP-259","astro-ph",,"  Growth of Rayleigh-Taylor (R-T) instabilities under the axisymmetric
explosion are investigated by two-dimensional hydrodynamical calculations. The
degree of the axisymmetric explosion and amplitude of the initial perturbation
are varied parametrically to find the most favorable parameter for reproducing
the observed line profile of heavy elements. It is found that spherical
explosion can not produce $^{56}Ni$ travelling at high velocity ($\sim
3000$km/sec), the presence of which is affirmed by the observation, even if the
amplitude of initial perturbation is as large as 30%. On the other hand, strong
axisymmetric explosion model produce high velocity $^{56}Ni$ too much. Weak
axisymmetric explosion are favored for the reproduction of the observed line
profile. We believe this result shows upper limit of the degree of the
axisymmetric explosion. This fact will be important for the simulation of the
collapse-driven supernova including rotation, magnetic field, and axisymmetric
neutrino radiation, which have a possibility to cause axisymmetric supernova
explosion. In addition, the origin of such a large perturbation does not seem
to be the structure of the progenitor but the dynamics of the core collapse
explosion itself since small perturbation can not produce the high velocity
element even if the axisymmetric explosion models are adopted.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 13:21:57 GMT""}]","2009-10-30"
"astro-ph/9709153","Jordi Jose","Jordi Jose (Universitat Politecnica de Catalunya and Institut
  d'Estudis Espacials de Catalunya) and Margarita Hernanz (Institut d'Estudis
  Espacials de Catalunya)","Nucleosynthesis in Classical Novae: ONe vs. CO White Dwarfs","38 pages, Latex file, with 3 ps figures. Accepted for publication in
  The Astrophysical Journal","Astrophys.J.494:680-690,1998","10.1086/305244",,"astro-ph",,"  Detailed nucleosynthesis in the ejecta of classical novae has been determined
for a grid of hydrodynamic nova models. The reported 14 evolutionary sequences,
followed from the onset of accretion up to the explosion and ejection stages,
span a range of CO and ONe white dwarf masses (0.8-1.35 $M_o$) and mixing
levels between the accreted envelope and the underlying white dwarf core
(25-75%). The synthesis of each isotope, from ${}^1$H to ${}^{40}$Ca, is
discussed along with its sensitivity to model parameters. Special emphasis is
given to isotopes such as ${}^{13}$C, ${}^{15}$N, and ${}^{17}$O, which may
account for a significant fraction of their Galactic content. Production of the
radioactive isotopes ${}^7$Be, ${}^{22}$Na, and ${}^{26}$Al is also analyzed,
since they may provide a direct test of the thermonuclear runaway model through
their $\gamma$-ray emission. The resulting elemental yields reproduce fairly
well the spectroscopic abundance determinations of several well studied
classical novae.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 15:36:10 GMT""}]","2008-11-26"
"chao-dyn/9709019","Naoya Takahashi","Naoya Takahashi, Tsutomu Kambe, Tohru Nakano, Toshiyuki Gotoh and
  Kiyoshi Yamamoto","Conditional Averages and Probability Density Functions in the Passive
  Scalar Field","Some amendments were made in order to clarify the text. Figures are
  unchanged. 9 pages, 16 figures, LaTeX209, submitted to J. Phys. Soc. Jpn",,"10.1143/JPSJ.67.833",,"chao-dyn nlin.CD",,"  Two conditional averages for the increment Delta(x,x+r) = T(x)-T(x+r) of the
scalar field are estimated for DNS data: H(Delta)=<nabla^2
Delta(x,x+r)|Delta(x,x+r)> and G(Delta)=<|nabla Delta(x,x+r)|^2| Delta(x,x+r)>.
The probability density function P(Delta) for Delta(x,x+r) is also calculated.
If Delta, P(Delta), H(Delta), and G(Delta) are expressed as theta, P(theta),
h(theta), and g(theta) in a dimensionless form, the data analysis has revealed
interesting simple relationships between them. These relations may be helpful
to construct a turbulence model.
","[{""version"":""v1"",""created"":""Tue, 16 Sep 1997 02:59:53 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 1997 03:10:27 GMT""},{""version"":""v3"",""created"":""Thu, 6 Nov 1997 01:38:09 GMT""},{""version"":""v4"",""created"":""Tue, 11 Nov 1997 01:40:10 GMT""}]","2009-10-30"
"cmp-lg/9709003","Atserias Batalla Jordi","Jordi Atserias (Universitat Politecnica de Catalunya), Salvador
  Climent (Universitat de Barcelona), Xavier Farreres (Universitat Politecnica
  de Catalunya), German Rigau (Universitat Politecnica de Catalunya), Horacio
  Rodriguez (Universitat Politecnica de Catalunya)","Combining Multiple Methods for the Automatic Construction of
  Multilingual WordNets","7 pages, 4 postscript figures","RANLP'97 Bulgaria",,,"cmp-lg cs.CL",,"  This paper explores the automatic construction of a multilingual Lexical
Knowledge Base from preexisting lexical resources. First, a set of automatic
and complementary techniques for linking Spanish words collected from
monolingual and bilingual MRDs to English WordNet synsets are described.
Second, we show how resulting data provided by each method is then combined to
produce a preliminary version of a Spanish WordNet with an accuracy over 85%.
The application of these combinations results on an increment of the extracted
connexions of a 40% without losing accuracy. Both coarse-grained (class level)
and fine-grained (synset assignment level) confidence ratios are used and
evaluated. Finally, the results for the whole process are presented.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:16:35 GMT""},{""version"":""v2"",""created"":""Tue, 16 Sep 1997 07:19:22 GMT""}]","2019-08-14"
"cmp-lg/9709004",,"Jose Maria Gomez Hidalgo, Manuel de Buenaga Rodriguez","Integrating a Lexical Database and a Training Collection for Text
  Categorization","12 pages, 3 figures (2 tables)","ACL/EACL Workshop on Automatic Extraction and Building of Lexical
  Semantic Resources for Natural Language Applications, 1997",,,"cmp-lg cs.CL",,"  Automatic text categorization is a complex and useful task for many natural
language processing applications. Recent approaches to text categorization
focus more on algorithms than on resources involved in this operation. In
contrast to this trend, we present an approach based on the integration of
widely available resources as lexical databases and training collections to
overcome current limitations of the task. Our approach makes use of WordNet
synonymy information to increase evidence for bad trained categories. When
testing a direct categorization, a WordNet based one, a training algorithm, and
our integrated approach, the latter exhibits a better perfomance than any of
the others. Incidentally, WordNet based approach perfomance is comparable with
the training approach one.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 16:18:33 GMT""}]","2008-02-03"
"cond-mat/9709157","Romualdo Pastor-Satorras","R. Pastor-Satorras (Dept. of EAPS, MIT) J. M. Rubi (Dept. Fisica
  Fonamental, Univ. de Barcelona)","Fractal properties of clusters of colloidal magnetic particles","4 pages, RevTex, includes 3 PS figures. Submitted to Progr. Colloid
  Polym. Sci",,,,"cond-mat",,"  We have studied the properties of clusters of colloidal magnetic particles
generated from a 2D aggregation model with dipolar interparticle interactions.
Particles diffuse off-lattice, experiencing dipolar interactions with the
already attached particles until either they stick to the cluster or wander far
away and are removed. Our results are interpreted in terms of a fractal
dimension that is a monotonically decreasing function of the temperature,
varying between a definite value close to 1 at T=0, and the limit $T\to\infty$,
corresponding to free diffusion-limited aggregation. By analyzing orientational
correlation functions, an ordered state is found at low temperatures; this
state is destroyed by the fractal disorder generated at high $T$. Our study
could be relevant in understanding aggregation of dipolar colloids and phase
transitions in Langmuir monolayers.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 20:02:55 GMT""}]","2007-05-23"
"cond-mat/9709162","Andrew McConnell","A.W. McConnell (1), T. Timusk(2), A. Dabkowski and H.A. Dabkowska(3)
  ((1)Simon Fraser University, (2) McMaster University (3) Brockhouse Institute
  of Materials Research, McMaster University)","Temperature Dependence of the FIR Reflectance of LaSrGaO4","12 pages including 5 figures and 2 tables. Latex file, Requires
  elsart.sty file and epsf",,"10.1016/S0921-4534(97)01731-0",,"cond-mat.mtrl-sci cond-mat.supr-con",,"  The reflectance of single crystal LaSrGaO4 has been measured from approx 50
to 40000 cm^-1 along the ""a"" and ""c"" axis. The optical properties have been
calculated from a Kramers-Kronig analysis of the reflectance for both
polarizations. The reflectance curves have been fit using a product of
Lorentzian oscillators.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 17:15:21 GMT""}]","2009-10-30"
"cond-mat/9709163","Ziad Maassarani","Z. Maassarani and P. Mathieu (Laval university)","The su(N) XX model","16 pages, TeX and harvmac (option b). Minor corrections, accepted for
  publication in Nuclear Physics B","Nucl. Phys. B 517 (1998) 395-408","10.1016/S0550-3213(98)80004-7","LAVAL-PHY-22/97","cond-mat.stat-mech hep-th math.QA nlin.SI q-alg solv-int",,"  The natural su(N) generalization of the XX model is introduced and analyzed.
It is defined in terms of the characterizing properties of the usual XX model:
the existence of two infinite sequences of mutually commuting conservation laws
and the existence of two infinite sequences of mastersymmetries. The
integrability of these models, which cannot be obtained in a degenerate limit
of the su(N)-XXZ model, is established in two ways: by exhibiting their R
matrix and from a direct construction of the commuting conservation laws. We
then diagonalize the conserved laws by the method of the algebraic Bethe
Ansatz. The resulting spectrum is trivial in a certain sense; this provides
another indication that the su(N) XX model is the natural generalization of the
su(2) model. The application of these models to the construction of an
integrable ladder, that is, an su(N) version of the Hubbard model, is
mentioned.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 21:49:26 GMT""},{""version"":""v2"",""created"":""Mon, 22 Dec 1997 20:10:39 GMT""}]","2009-10-30"
"cond-mat/9709164","Senthil Todadri","T. Senthil","Properties of the random field Ising model in a transverse magnetic
  field",,,"10.1103/PhysRevB.57.8375","NSF-ITP-97-116","cond-mat.dis-nn cond-mat.stat-mech",,"  We consider the effect of a random longitudinal field on the Ising model in a
transverse magnetic field. For spatial dimension $d > 2$, there is at low
strength of randomness and transverse field, a phase with true long range order
which is destroyed at higher values of the randomness or transverse field. The
properties of the quantum phase transition at zero temperature are controlled
by a fixed point with no quantum fluctuations. This fixed point also controls
the classical finite temperature phase transition in this model. Many critical
properties of the quantum transition are therefore identical to those of the
classical transition. In particular, we argue that the dynamical scaling is
activated, i.e, the logarithm of the diverging time scale rises as a power of
the diverging length scale.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 22:37:37 GMT""}]","2016-08-31"
"cond-mat/9709165","Enzo Marinari","E. Marinari (Cagliari, Italy)","Numerical Simulations of Finite Dimensional Spin Glasses Show a Mean
  Field like Behavior","Invited talk given at ICMP 97, the Brisbane 1997 Mathematical Physics
  Conference",,,,"cond-mat.dis-nn cond-mat.stat-mech",,"  I discuss results from numerical simulations of finite dimensional spin glass
models, and show that they show all signatures of a mean field like behavior,
basically coinciding with the one of the Parisi solution. I discuss the Binder
cumulant, the probability distribution of the order parameter, the non
self-averaging behavior. The determination of correlation function and of
spatially blocked observables quantities helps in qualifying the behavior of
the system.
","[{""version"":""v1"",""created"":""Mon, 15 Sep 1997 22:15:33 GMT""}]","2008-02-03"
