"alg-geom/9706008","Klaus Altmann","Klaus Altmann and Lutz Hille","A Vanishing Result for the Universal Bundle on a Toric Quiver Variety","13 pages with a couple of small figures LaTeX 2.09",,,,"alg-geom math.AG",,"  Let Q be a finite quiver without oriented cycles. Denote by U --> M the fine
moduli space of stable thin sincere representations of Q with respect to the
canonical stability notion. We prove Ext^i(U,U) = 0 for all i >0 and compute
the endomorphism algebra of the universal bundle U. Moreover, we obtain a
necessary and sufficient condition for when this algebra is isomorphic to the
path algebra kQ of the quiver Q. If so, then the bounded derived category of
finitely generated right kQ-modules is embedded into that of coherent sheaves
on M.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:31:28 GMT""}]","2008-02-03"
"cond-mat/9706221","Augusto Smerzi","A. Smerzi (SISSA, Trieste), S. Fantoni (SISSA, Trieste), S. Giovanazzi
  (SISSA, Trieste), and . R. Shenoy (ICTP, Trieste)","Quantum Coherent Atomic Tunneling between Two Trapped Bose-Einstein
  Condensates","RevTeX, 3 figures",,"10.1103/PhysRevLett.79.4950",,"cond-mat.soft",,"  We study the coherent atomic tunneling between two zero-temperature
Bose-Einstein condensates (BEC) confined in a double-well magnetic trap. Two
Gross-Pitaevskii equations for the self-interacting BEC amplitudes, coupled by
a transfer matrix element, describe the dynamics in terms of the inter-well
phase-difference and population imbalance. In addition to the anharmonic
generalization of the familiar $ac$ Josephson effect and plasma oscillations
occurring in superconductor junctions, the non-linear BEC tunneling dynamics
sustains a self-maintained population imbalance: a novel ""macroscopic quantum
self-trapping effect"".
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 09:04:34 GMT""}]","2009-10-30"
"cond-mat/9706222","Kikuchi Macoto","Satoshi Yukawa, Macoto Kikuchi, Gen Tatara, and Hiroshi Matsukawa","Quantum Ratchets","7 pages, Latex, 4 ps figures; No change in the text by this
  replacement. only the figures are replaced with higher quality ones (but
  smaller size)",,"10.1143/JPSJ.66.2953","OUCMT-97-5","cond-mat.stat-mech quant-ph",,"  The concept of thermal ratchets is extended to the system governed by quantum
mechanics. We study a tight-binding model with an asymmetric periodic potential
contacting with a heat bath under an external oscillating field as a specific
example of quantum ratchet. Dynamics of a density operator of this system is
studied numerically by using the quantum Liouville equation. Finite net current
is found in the non-equilibrium steady state. The direction of the current
varies with parameters, in contrast with the classical thermal ratchets.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 12:58:00 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 05:49:46 GMT""}]","2009-10-30"
"cond-mat/9706223","Antti-Pekka Jauho","A. P. Jauho and Ned S. Wingreen","Phase measurement of photon-assisted tunneling through a quantum dot","6 pages using latex2e and EuroPhys.sty. Uses epsf to include 5
  figures (submitted to Europhys. Lett.)",,"10.1103/PhysRevB.58.9619",,"cond-mat.mes-hall",,"  Recent double-slit interference experiments have demonstrated the possibility
of probing the phase of the complex transmission coefficient of a quantum dot
via the Aharonov-Bohm effect. We propose an extension of these experiments: an
ac voltage imposed on the side gate with the concomitant photonic sidebands
leads to additional structure both in the amplitude and in the phase of the
Aharonov-Bohm signal. Observation of these effects would be a definitive proof
of coherent absorption and reemission of photons from the ac source.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:26:13 GMT""}]","2009-10-30"
"cond-mat/9706224","Sidney Redner","Sidney Redner (Boston University)","Survival Probability in a Random Velocity Field","6 pages, RevTeX, 5 figures includes, to be submitted to Phys. Rev. E","Phys. Rev. E 56, 4967-72 (1997)","10.1103/PhysRevE.56.4967",,"cond-mat.stat-mech",,"  The time dependence of the survival probability, S(t), is determined for
diffusing particles in two dimensions which are also driven by a random
unidirectional zero-mean velocity field, v_x(y). For a semi-infinite system
with unbounded y and x>0, and with particle absorption at x=0, a qualitative
argument is presented which indicates that S(t)~t^{-1/4}. This prediction is
supported by numerical simulations. A heuristic argument is also given which
suggests that the longitudinal probability distribution of the surviving
particles has the scaling form P(x,t)~ t^{-1}u^{1/3}g(u). Here the scaling
variable u is proportional to x/t^{3/4}, so that the overall time dependence of
P(x,t) is proportional to t^{-5/4}, and the scaling function g(u) has the
limiting dependences g(u) approaching a constant as u--->0 and
g(u)~exp(-u^{4/3}) as u--->infinity. This argument also suggests an effective
continuum equation of motion for the infinite system which reproduces the
correct asymptotic longitudinal probability distribution.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 13:52:30 GMT""}]","2009-10-30"
"cond-mat/9706225","Tom Schork","T. Schork and S. Blawid","Periodic Anderson model with correlated conduction electrons","11 pages RevTeX with 13 ps figures, accepted by PRB",,"10.1103/PhysRevB.56.6559",,"cond-mat.str-el",,"  We investigate a periodic Anderson model with interacting conduction
electrons which are described by a Hubbard-type interaction of strength U_c.
Within dynamical mean-field theory the total Hamiltonian is mapped onto an
impurity model, which is solved by an extended non-crossing approximation. We
consider the particle-hole symmetric case at half-filling. Similar to the case
U_c=0, the low-energy behavior of the conduction electrons at high temperatures
is essentially unaffected by the f-electrons and for small U_c a quasiparticle
peak corresponding to the Hubbard model evolves first. These quasiparticles
screen the f-moments when the temperature is reduced further, and the system
turns into an insulator with a tiny gap and flat bands. The formation of the
quasiparticle peak is impeded by increasing either U_c or the c-f
hybridization. Nevertheless almost dispersionless bands emerge at low
temperature with an increased gap, even in the case of initially insulating
host electrons. The size of the gap in the one-particle spectral density at low
temperatures provides an estimate for the low-energy scale and increases as U_c
increases.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:36:58 GMT""}]","2009-10-30"
"dg-ga/9706011","Suhyoung Choi","Suhyoung Choi","The universal cover of an affine three-manifold with holonomy of
  shrinkable dimension $\leq 2$","67 pages, 27 figures, some revisions. To appear in the International
  Journal Of Mathematics",,,"Seoul National University GARC preprint 95-33","dg-ga math.DG",,"  An affine manifold is a manifold with an affine structure, i.e. a
torsion-free flat affine connection. We show that the universal cover of a
closed affine 3-manifold $M$ with holonomy group of shrinkable dimension (or
discompacit\'e in French) less than or equal to two is diffeomorphic to
$\bR^3$. Hence, $M$ is irreducible. This follows from two results: (i) a simply
connected affine 3-manifold which is 2-convex is diffeomorphic to $\bR^3$,
whose proof using the Morse theory takes most of this paper; and (ii) a closed
affine manifold of holonomy of shrinkable dimension less or equal to $d$ is
$d$-convex. To prove (i), we show that 2-convexity is a geometric form of
topological incompressibility of level sets. As a consequence, we show that the
universal cover of a closed affine three-manifold with parallel volume form is
diffeomorphic to $\bR^3$, a part of the weak Markus conjecture. As
applications, we show that the universal cover of a hyperbolic 3-manifold with
cone-type singularity of arbitrarily assigned cone-angles along a link removed
with the singular locus is diffeomorphic to $\bR^3$. A fake cell has an affine
structure as shown by Gromov. Such a cell must have a concave point at the
boundary.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 03:49:09 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jan 1999 08:19:03 GMT""},{""version"":""v3"",""created"":""Tue, 21 Dec 1999 04:28:44 GMT""}]","2008-02-03"
"gr-qc/9706068","Ofer Megged","O. Megged","Post-Riemannian Spacetimes Admit a Causal Structure","0 pages (withdrawn)",,,"TAUP-2436-97","gr-qc",,"  Paper withdrawn due to conceptual mistakes. A corrected version will soon be
available at the gr-qc archive.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 18:05:03 GMT""},{""version"":""v2"",""created"":""Tue, 20 Apr 1999 15:19:10 GMT""}]","2008-02-03"
"gr-qc/9706069","Abhay Ashtekar","Abhay Ashtekar, Troy A. Schilling","Geometrical Formulation of Quantum Mechanics","41 pages, ReVTeX",,,"CGPG 97/6-1","gr-qc hep-th quant-ph",,"  States of a quantum mechanical system are represented by rays in a complex
Hilbert space. The space of rays has, naturally, the structure of a K\""ahler
manifold. This leads to a geometrical formulation of the postulates of quantum
mechanics which, although equivalent to the standard algebraic formulation, has
a very different appearance. In particular, states are now represented by
points of a symplectic manifold (which happens to have, in addition, a
compatible Riemannian metric), observables are represented by certain
real-valued functions on this space and the Schr\""odinger evolution is captured
by the symplectic flow generated by a Hamiltonian function. There is thus a
remarkable similarity with the standard symplectic formulation of classical
mechanics. Features---such as uncertainties and state vector reductions---which
are specific to quantum mechanics can also be formulated geometrically but now
refer to the Riemannian metric---a structure which is absent in classical
mechanics. The geometrical formulation sheds considerable light on a number of
issues such as the second quantization procedure, the role of coherent states
in semi-classical considerations and the WKB approximation. More importantly,
it suggests generalizations of quantum mechanics. The simplest among these are
equivalent to the dynamical generalizations that have appeared in the
literature. The geometrical reformulation provides a unified framework to
discuss these and to correct a misconception. Finally, it also suggests
directions in which more radical generalizations may be found.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 15:55:02 GMT""}]","2007-05-23"
"hep-ex/9706016","Alvise Favara","A. Favara and M. Pieri","Confidence level estimation and analysis optimization","16 pages, latex, special files for styles, files .bib for
  bibliography using commad bibtex",,,"DFF 278/4/1997","hep-ex",,"  This note proposes a method, which can be applied to searches and more in
general to any cross section measurement, to maximize the analysis sensitivity.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 18:05:32 GMT""}]","2007-05-23"
"hep-ph/9706445",,"Jian-Jun Yang and Wei Lu","Final-state Interaction Effects on Inclusive Two-particle Production in
  Electron-positron Annihilation","Revtex, 11 pages, 1 figure in postscript, to appear in J. Phys. G","J.Phys.G23:1085-1092,1997","10.1088/0954-3899/23/9/008",,"hep-ph",,"  The final-state interaction effects on the inclusive two-particle production
in electron-positron annihilation are investigated within the context of the
one-photon annihilation approximation. Such effects are characterized by one
structure function in the decomposition of the hadronic tensor. On the basis of
the positivity, we derived an inequality to bound this structure function. The
price to access it experimentally is to polarize longitudinally one of the
initial-state beam, to say, the electron beam, and measure the corresponding
single spin asymmetry. By combining the Callan-Gross relation with our
positivity analysis, we obtain an upper bound for the single spin asymmetry
considered.
","[{""version"":""v1"",""created"":""Sun, 22 Jun 1997 17:04:24 GMT""}]","2008-11-26"
"hep-ph/9706449","Cliff Burgess","P. Labelle, S.M. Zebarjad and C.P. Burgess","NRQED and Next-to-Leading Hyperfine Splitting in Positronium","24 pages, plain TeX, 6 figures included using epsf","Phys.Rev. D56 (1997) 8053-8061","10.1103/PhysRevD.56.8053","McGill-97/10","hep-ph hep-th physics.atom-ph",,"  We compute the next-to-leading, O(m alpha^5), contribution to the hyperfine
splitting in positronium within the framework of NRQED. When applied to the
ground state, our calculation reproduces known results, providing a further
test of NRQED techniques. Besides providing a very simple method of calculation
of the standard result, we also obtain new expressions for excited states of
positronium with negligible additional effort. Our calculation requires the
complete next-to-leading matching of the lowest-dimension NRQED four-fermi
couplings, which we publish here for the first time.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 02:44:24 GMT""}]","2009-10-30"
"hep-ph/9706450","Sazdjian","H. Jallouli and H. Sazdjian","Relativistic effects in the pionium lifetime","47 pages, 4 figures, Latex, calls the FEYNMAN macropackage for
  drawing figures","Phys.Rev.D58:014011,1998; Erratum-ibid.D58:099901,1998","10.1103/PhysRevD.58.014011 10.1103/PhysRevD.58.099901","IPNO/TH 97-01","hep-ph",,"  The pionium decay width is evaluated in the framework of chiral perturbation
theory and the relativistic bound state formalism of constraint theory.
Corrections of order O(\alpha) are calculated with respect to the conventional
lowest-order formula, in which the strong interaction amplitude has been
calculated to two-loop order with charged pion masses. Strong interaction
corrections from second-order perturbation theory of the bound state wave
equation are found to be of the order of 0.4%. Electromagnetic radiative
corrections, due to pion-photon interactions, are estimated to be of the order
of -0.1%. Electromagnetic mass shift insertions in internal propagators produce
a correction of the order of 0.3%. The correction due to the passage from the
strong interaction scattering amplitude evaluated with the mass parameter fixed
at the charged pion mass to the amplitude evaluated with the mass parameter
fixed at the neutral pion mass is found to be of the order of 6.4%.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 06:48:33 GMT""}]","2014-11-17"
"hep-ph/9706451","Cvetic","C.S. Kim (Yonsei Univ.) and G. Cvetic (Dortmund Univ.)","Flavor democracy and quark mass matrices","LaTeX, 12 pages, one correction in Acknowledgements",,,"YUMS 97-018, DO-TH 97-15, SNUTP 97-089","hep-ph",,"  Based on experimental mass hierarchy, a set of flavor-democratic (FD) quark
mass matrices at low energies is discussed. The model predicts CP violation
parameters $J_{CP}=(0.3 \pm 0.2) 10^{-4}$ and ${\epsilon'/\epsilon} = (0.6 \pm
0.5) 10^{-3}$. However, this simple FD model also predicts a physical top quark
mass not much higher than 100 GeV. As a next step, we assume that the Standard
Model (SM) breaks down around some high energy $\Lambda$, and is replaced by a
new FD flavor gauge theory (FGT). This possibility can be investigated by
studying renormalization group equations for the Yukawa couplings of the SM
with two Higgs doublets for various $m_t$ and VEV ratios $v_U/v_D$. With
appropriate flavor-democratic boundary conditions at $\Lambda_{FGT}$, bounds on
masses of top quark and tau-neutrino are derived, which are compatible with
experimental bounds.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 08:54:05 GMT""},{""version"":""v2"",""created"":""Mon, 30 Jun 1997 10:30:06 GMT""},{""version"":""v3"",""created"":""Wed, 9 Jul 1997 09:11:16 GMT""}]","2008-02-03"
"hep-ph/9706452","Nestor Armesto","N. Armesto and A. Capella","Interpretations of $J/\psi$ suppression","12 pages, LaTeX, uses epsfig and ioplppt; review talk given by A.
  Capella at the International Symposium on Strangness in Quark Matter,
  Santorini (Greece), April 1997; Figs. 1 and 2 not available but can be found
  in Refs. 13 and 6 respectively","J.Phys.G23:1969-1977,1997","10.1088/0954-3899/23/12/022","LPTHE Orsay 97/31","hep-ph",,"  We review the two main interpretations of $J/\psi$ suppression proposed in
the literature. The phase transition (or deconfining) scenario assumes that
below some critical value of the local energy density (or of some other
geometrical quantity which depends both on the colliding systems and on the
centrality of the collision), there is only nuclear absorption. Above this
critical value the absorptive cross-section is taken to be infinite, i.e. no
$J/\psi$ can survive in this hot region. In the hadronic scenario the $J/\psi$
dissociates due both to nuclear absorption and to its interactions with
co-moving hadrons produced in the collision. No discontinuity exists in
physical observables. We show that an equally good description of the present
data is possible in either scenario.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 09:31:56 GMT""}]","2008-11-26"
"hep-ph/9706453","Suenori Chiku","S. Chiku and T. Hatsuda (University of Tsukuba)","Soft Modes associated with Chiral Transition at Finite Temperature","RevTeX 7 pages, with 5 eps figures","Phys.Rev.D57:6-9,1998","10.1103/PhysRevD.57.6","UTHEP-363","hep-ph nucl-th",,"  Using a novel resummation procedure of thermal loops, real-time correlations
in the scalar and pseudo-scalar channels are studied in the O(4) linear sigma
model at finite temperature. A threshold enhancement of the spectral function
in the scalar channel is shown to be a noticeable precritical phenomenon of the
chiral phase transition.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 09:05:47 GMT""}]","2009-12-30"
