"alg-geom/9706011","Donu Arapura","Donu Arapura and Madhav Nori","Solvable fundamental groups of algebraic varieties and K\""ahler
  manifolds","16 pages, latex2e",,,,"alg-geom math.AG",,"  This is a long overdue write up of the following: If the fundamental group of
a normal complex algebraic variety (respectively Zariski open subset of a
compact K\""ahler manifold) is a solvable group of matrices over Q (respectively
polycyclic group), then it is virtually nilpotent. This should be interpreted
as saying that a large class of solvable groups will not occur as fundamental
groups of such spaces. The essential strategy is to first ""complete"" these
groups to algebraic groups (generalizing constructions of Malcev and Mostow),
and then check that the identity component is unipotent. This is done by Galois
theoretic methods in the algebraic case, and is reduced to homological
properties of one dimensional characters in the analytic case.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 22:12:48 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 02:51:23 GMT""}]","2016-08-30"
"chao-dyn/9706026","Timur Sh. Misirpashaev","T. Sh. Misirpashaev, P. W. Brouwer, C. W. J. Beenakker","Spontaneous Emission in Chaotic Cavities","4 pages, RevTeX, 1 figure","Phys. Rev. Lett. 79, 1841, (1997)","10.1103/PhysRevLett.79.1841",,"chao-dyn cond-mat.mes-hall nlin.CD",,"  The spontaneous emission rate \Gamma of a two-level atom inside a chaotic
cavity fluctuates strongly from one point to another because of fluctuations in
the local density of modes. For a cavity with perfectly conducting walls and an
opening containing N wavechannels, the distribution of \Gamma is given by
P(\Gamma) \propto \Gamma^{N/2-1}(\Gamma+\Gamma_0)^{-N-1}, where \Gamma_0 is the
free-space rate. For small N the most probable value of \Gamma is much smaller
than the mean value \Gamma_0.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 12:28:20 GMT""}]","2008-02-03"
"chao-dyn/9706027","Timur Sh. Misirpashaev","T. Sh. Misirpashaev, C. W. J. Beenakker","Lasing Threshold and Mode Competition in Chaotic Cavities","6 pages, RevTeX, 3 figures. Discussion of effects of non-zero
  resistivity in the boundaries is added","Phys. Rev. A 57, 2041, (1998)","10.1103/PhysRevA.57.2041",,"chao-dyn cond-mat.mes-hall nlin.CD",,"  The lasing threshold is studied of a multi-mode chaotic cavity (linear size D
>> wavelength \lambda) coupled to the outside through a small hole (linear size
d << \lambda). For sufficiently weak absorption by the boundaries, the
statistical distribution of the threshold is wide, its mean value being much
less than the pumping rate needed to compensate the average loss. The average
number N_{nc} >> 1 of non-competing excited modes is proportional to the square
root of the pumping rate. We use the classical model of spatial hole burning to
account for mode competition and find a reduction in the average number of
excited modes to N =3^{1/3} N_{nc}^{2/3}.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 12:07:33 GMT""},{""version"":""v2"",""created"":""Fri, 22 Aug 1997 13:46:14 GMT""}]","2008-02-03"
"cmp-lg/9706025","Dan Melamed","I. Dan Melamed (University of Pennsylvania)","A Portable Algorithm for Mapping Bitext Correspondence","8 pages","Proceedings of the 35th Conference of the Association for
  Computational Linguistics (ACL'97), Madrid, Spain, 1997.",,,"cmp-lg cs.CL",,"  The first step in most empirical work in multilingual NLP is to construct
maps of the correspondence between texts and their translations ({\bf bitext
maps}). The Smooth Injective Map Recognizer (SIMR) algorithm presented here is
a generic pattern recognition algorithm that is particularly well-suited to
mapping bitext correspondence. SIMR is faster and significantly more accurate
than other algorithms in the literature. The algorithm is robust enough to use
on noisy texts, such as those resulting from OCR input, and on translations
that are not very literal. SIMR encapsulates its language-specific heuristics,
so that it can be ported to any language pair with a minimal effort.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 23:19:59 GMT""}]","2008-02-03"
"cmp-lg/9706026","Dan Melamed","I. Dan Melamed (University of Pennsylvania)","A Word-to-Word Model of Translational Equivalence","8 pages; this version has some typos corrected","Proceedings of the 35th Conference of the Association for
  Computational Linguistics (ACL'97), Madrid, Spain, 1997.",,,"cmp-lg cs.CL",,"  Many multilingual NLP applications need to translate words between different
languages, but cannot afford the computational expense of inducing or applying
a full translation model. For these applications, we have designed a fast
algorithm for estimating a partial translation model, which accounts for
translational equivalence only at the word level. The model's precision/recall
trade-off can be directly controlled via one threshold parameter. This feature
makes the model more suitable for applications that are not fully statistical.
The model's hidden parameters can be easily conditioned on information
extrinsic to the model, providing an easy way to integrate pre-existing
knowledge such as part-of-speech, dictionaries, word order, etc.. Our model can
link word tokens in parallel texts as well as other translation models in the
literature. Unlike other translation models, it can automatically produce
dictionary-sized translation lexicons, and it can do so with over 99% accuracy.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 23:20:43 GMT""}]","2008-02-03"
"cmp-lg/9706027","Dan Melamed","I. Dan Melamed (University of Pennsylvania)","Automatic Discovery of Non-Compositional Compounds in Parallel Data","12 pages; uses natbib.sty, here.sty","Proceedings of the 2nd Conference on Empirical Methods in Natural
  Language Processing (EMNLP'97), Providence, RI, 1997.",,,"cmp-lg cs.CL",,"  Automatic segmentation of text into minimal content-bearing units is an
unsolved problem even for languages like English. Spaces between words offer an
easy first approximation, but this approximation is not good enough for machine
translation (MT), where many word sequences are not translated word-for-word.
This paper presents an efficient automatic method for discovering sequences of
words that are translated as a unit. The method proceeds by comparing pairs of
statistical translation models induced from parallel texts in two languages. It
can discover hundreds of non-compositional compounds on each iteration, and
constructs longer compounds out of shorter ones. Objective evaluation on a
simple machine translation task has shown the method's potential to improve the
quality of MT output. The method makes few assumptions about the data, so it
can be applied to parallel data other than parallel texts, such as word
spellings and pronunciations.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 23:39:09 GMT""}]","2008-02-03"
"cond-mat/9706245","Viktor Martisovits","V. Martisovits (1), D. L. Cox (1 and 2) ((1) Ohio State University,
  (2) University of California Davis)","Staggered Pairing Phenomenology for UPd_2Al_3 and UNi_2Al_3","4 pages, REVTeX, 2 Postscript figures",,"10.1103/PhysRevB.57.7466",,"cond-mat.supr-con cond-mat.str-el",,"  We apply the staggered-pairing Ginzburg-Landau phenomenology to describe
superconductivity in UPd_2Al_3 and UNi_2Al_3. The phenomenology was applied
successfully to UPt_3 so it explains why these materials have qualitatively
different superconducting phase diagrams although they have the same
point-group symmetry. UPd_2Al_3 and UNi_2Al_3 have a two-component
superconducting order parameter transforming as an H-point irreducible
representation of the space group. Staggered superconductivity can induce
charge-density waves characterized by new Bragg peaks suggesting experimental
tests of the phenomenology.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 20:08:23 GMT""}]","2009-10-30"
"cond-mat/9706248","Ralf Meyer","R. Meyer and P. Entel","Lattice Dynamics of Martensitic Transformations Examined by Atomistic
  Simulations","7 pages, 4 figures, Contribution submitted to the ""IV European
  Symposium on Martensitic Transformations"" (ESOMAT 97), July 1-5, 1997,
  Enschede (The Netherlands)",,,,"cond-mat.mtrl-sci",,"  We have performaed molecular dynamics simulations of Fe(80)Ni(20) alloys
using an inter-atomic potential of the EAM-type which allows the simulation of
the martensite-austenite transition. We present results, showing the
development of an inhomogeneous shear system on a nanoscale during the
thermally induced austenitic transition. In addition to this we obtained the
phonon dispersion relations of the martensite phase by calculating the
dynamical structure factor from our simulation results. On approaching the
transition temperature the phonon dispersion shows anomalies which might be
connected with the formation of the microstructure during the austenitic
transition.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 16:39:17 GMT""}]","2008-02-03"
"cond-mat/9706249","Igal Szleifer","M. C. Faur\'e, P. Bassereau, M. A. Carignano, I. Szleifer, Y. Gallot
  and D. Andelman","Monolayers of Diblock Copolymer at the Air-Water Interface: The
  Attractive Monomer-Surface Case","11 pages, 8 figures, 1 table","Eur. Phys. J. B 3, 365-375 (1998).","10.1007/s100510050324",,"cond-mat.soft cond-mat.stat-mech",,"  We have studied both experimentally and theoretically the surface pressure
isotherms of copolymers of polystyrene-polyethyleneoxide (PS-PEO) at the
air-water interface. The SCMF (single chain mean-field) theory provides a very
good agreement with the experiments for the entire range of surface densities
and shows that the adsorption energy per PEO monomer at the air-water interface
is about one $k_B T$. In addition, the chain density profile has been
calculated for a variety of surface densities, from the dilute to the very
dense ones. The SCMF approach has been complemented by a mean-field approach in
the low density regime, where the PEO chains act as a two-dimensional layer.
Both theoretical calculations agree with the experiments in this region.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 19:58:31 GMT""}]","2009-10-30"
"cond-mat/9706250","Steven White","Steven R. White (University of California, Irvine) and D.J. Scalapino
  (University of California,Santa Barbara)","Ground State Properties of the Doped 3-Leg t-J Ladder","14 pages, 11 postscript figures",,"10.1103/PhysRevB.57.3031",,"cond-mat.supr-con cond-mat.str-el",,"  Results for a doped 3-leg t-J ladder obtained using the density matrix
renormalization group are reported. At low hole doping, the holes form a dilute
gas with a uniform density. The momentum occupation of the odd band shows a
sharp decrease at a large value of k_F similar to the behavior of a lightly
doped t-J chain, while the even modes appear gapped. The spin-spin correlations
decay as a power law consistent with the absence of a spin gap, but the pair
field correlations are negligible. At larger doping we find evidence for a spin
gap and as x increases further we find 3-hole diagonal domain walls. In this
regime there are pair field correlations and the internal pair orbital has
d_x^2-y^2 - like symmetry. However, the pair field correlations appear to fall
exponentially at large distances.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 21:48:40 GMT""}]","2009-10-30"
"cond-mat/9706251","Subhrangshu Sekhar Manna","S. S. Manna, D. Giri","Sandpile Model with Activity Inhibition","11 pages, RevTex, 5 Postscript figures","Phys. Rev. E. 56, R4914, (1997)","10.1103/PhysRevE.56.R4914",,"cond-mat.stat-mech adap-org nlin.AO",,"  A new sandpile model is studied in which bonds of the system are inhibited
for activity after a certain number of transmission of grains. This condition
impels an unstable sand column to distribute grains only to those neighbours
which have toppled less than m times. In this non-Abelian model grains
effectively move faster than the ordinary diffusion (super-diffusion). A novel
system size dependent cross-over from Abelian sandpile behaviour to a new
critical behaviour is observed for all values of the parameter m.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 04:57:35 GMT""}]","2009-10-30"
"cond-mat/9706252","H. Y. Huang","F. Y. Wu and H. Y. Huang","New sum rule identities and duality relation for the Potts $n$-point
  correlation function","11 pages in RevTeX, 4 PS figures, submitted to PRL","Physical Review Letters 79, 4954-4957 (1997).","10.1103/PhysRevLett.79.4954",,"cond-mat.stat-mech",,"  It is shown that certain sum rule identities exist which relate correlation
functions for $n$ Potts spins on the boundary of a planar lattice for $n\geq
4$. Explicit expressions of the identities are obtained for $n=4,5$. It is also
shown that the identities provide the missing link needed for a complete
determination of the duality relation for the $n$-point correlation function.
The $n=4$ duality relation is obtained explicitly. More generally we deduce the
number of correlation identities for any $n$ as well as an inversion relation
and a conjecture on the general form of the duality relation.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 06:14:10 GMT""}]","2009-10-30"
"cond-mat/9706253","Ulrich Nowak","U. Nowak, J. Heimel, T. Kleinefeld, D. Weller","Domain Dynamics of Magnetic Films with Perpendicular Anisotropy","7 pages Latex, Postscript figures included, accepted for publication
  in Phys.Rev.B, also availible at:
  http://www.thp.Uni-Duisburg.DE/Publikationen/Publist_Us_R.html","Phys.Rev B 56, 8143 (1997)","10.1103/PhysRevB.56.8143","prb-copt","cond-mat.mtrl-sci cond-mat.stat-mech",,"  We study the magnetic properties of nanoscale magnetic films with large
perpendicular anisotropy comparing polarization microscopy measurements on
Co_28Pt_72 alloy samples based on the magneto-optical Kerr effect with Monte
Carlo simulations of a corresponding micromagnetic model. We focus on the
understanding of the dynamics especially the temperature and field dependence
of the magnetisation reversal process. The experimental and simulational
results for hysteresis, the reversal mechanism, domain configurations during
the reversal, and the time dependence of the magnetisation are in very good
qualitative agreement. The results for the field and temperature dependence of
the domain wall velocity suggest that for thin films the hysteresis can be
described as a depinning transition of the domain walls rounded by thermal
activation for finite temperatures.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 08:30:27 GMT""}]","2009-10-30"
"cond-mat/9706254","Thierry Jolicoeur","Th. Jolicoeur (Saclay) and J. C. Le Guillou (ENSLAPP, Annecy)","Critical Exponents of the pure and random-field Ising models","9 pages, 4 encapsulated Postscript figures, REVTeX 3.0","Phys. Rev. B56, 10766 (1997)","10.1103/PhysRevB.56.10766","SPhT/97-051, ENSLAPP-A-645/97","cond-mat.stat-mech cond-mat.dis-nn",,"  We show that current estimates of the critical exponents of the
three-dimensional random-field Ising model are in agreement with the exponents
of the pure Ising system in dimension 3 - theta where theta is the exponent
that governs the hyperscaling violation in the random case.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 08:44:14 GMT""}]","2010-03-25"
"cond-mat/9706256","Giancarlo Jug","G. Jug (MPI-PKS and Milan) and K. Ziegler (MPI-PKS and Augsburg)","Characterization of the Local Density of States Fluctuations near the
  Integer Quantum Hall Transition in a Quantum Dot Array","11 LaTeX pages, 1 postscript figure, to appear in Phys.Rev.B",,"10.1103/PhysRevB.56.9789",,"cond-mat.mes-hall",,"  We present a calculation for the second moment of the local density of states
in a model of a two-dimensional quantum dot array near the quantum Hall
transition. The quantum dot array model is a realistic adaptation of the
lattice model for the quantum Hall transition in the two-dimensional electron
gas in an external magnetic field proposed by Ludwig, Fisher, Shankar and
Grinstein. We make use of a Dirac fermion representation for the Green
functions in the presence of fluctuations for the quantum dot energy levels. A
saddle-point approximation yields non-perturbative results for the first and
second moments of the local density of states, showing interesting fluctuation
behaviour near the quantum Hall transition. To our knowledge we discuss here
one of the first analytic characterizations of chaotic behaviour for a
two-dimensional mesoscopic structure. The connection with possible experimental
investigations of the local density of states in the quantum dot array
structures (by means of NMR Knight-shift or single-electron-tunneling
techniques) and our work is also established.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 10:40:49 GMT""}]","2009-10-30"
"cond-mat/9706257","Erik Luijten","Erik Luijten (1), Henk W.J. Bl\""ote (1), Kurt Binder (2) ((1) Delft
  University of Technology, (2) Johannes Gutenberg-Universit\""at Mainz)","Crossover scaling in two dimensions","24 pages RevTeX 3.0/3.1, including 22 PostScript figures. Uses
  epsf.sty","Phys. Rev. E 56, 6540 (1997)","10.1103/PhysRevE.56.6540",,"cond-mat.stat-mech cond-mat.soft",,"  We determine the scaling functions describing the crossover from Ising-like
critical behavior to classical critical behavior in two-dimensional systems
with a variable interaction range. Since this crossover spans several decades
in the reduced temperature as well as in the finite-size crossover variable, it
has up to now largely evaded a satisfactory numerical determination. Using a
new Monte Carlo method, we could obtain accurate results for sufficiently large
interactions ranges. Our data cover the full crossover region both above and
below the critical temperature and support the hypothesis that the crossover
functions are universal. Also the so-called effective exponents are discussed
and we show that these can vary nonmonotonically in the crossover region.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:59:01 GMT""}]","2009-10-30"
"cond-mat/9706258","Xavier Waintal","Xavier Waintal and Jean-Louis Pichard","Two interacting particles in a disordered chain I: Multifractality of
  the interaction matrix elements","First paper of a serie of four, to appear in Eur. Phys. J","Eur. Phys. J. B 6, 117-121 (1998)","10.1007/s100510050533",,"cond-mat.str-el cond-mat.dis-nn",,"  For $N$ interacting particles in a one dimensional random potential, we study
the structure of the corresponding network in Hilbert space. The states without
interaction play the role of the ``sites''. The hopping terms are induced by
the interaction. When the one body states are localized, we numerically find
that the set of directly connected ``sites'' is multifractal. For the case of
two interacting particles, the fractal dimension associated to the second
moment of the hopping term is shown to characterize the Golden rule decay of
the non interacting states and the enhancement factor of the localization
length.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 14:27:58 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jan 1998 17:38:32 GMT""},{""version"":""v3"",""created"":""Thu, 13 Aug 1998 13:53:48 GMT""}]","2009-10-30"
"cond-mat/9706259","Igor Mazin","I.I. Mazin and A.I. Liechtenstein","Where are holes in Y_{1-x}Pr_xBa2Cu3O7 ?","3 RevTeX pages, 1 epsfig figure embedded","Phys. Rev. B, 1998, B57, 150","10.1103/PhysRevB.57.150",,"cond-mat.supr-con",,"  Recent experiments by Mertz et al (Phys. Rev. B55, 9160, 1997) demonstrated
that the loss of superconductivity upon Pr doping is associated with the change
of the character of the oxygen holes from $p_{\sigma}$ to $p_{\pi}.$ This
experiment sheds new light onto the long-standing problem of $T_{c}$
suppression by Pr, and helps to rule out a number of theoretical models,
leaving only those which predict such a transfer of the O holes. To distinguish
between the two models that do predict such an effect, one has to access the
ratio of the planar and axial character of the holes in both models. We do so
in this paper.
","[{""version"":""v1"",""created"":""Wed, 25 Jun 1997 15:49:38 GMT""}]","2009-10-30"
