"adap-org/9706004","Karen Lippert","R. Muller, K. Lippert, A. Kuhnel, U. Behn (Institute for Theoretical
  Physics, University of Leipzig, Germany)","First Order Nonequilibrium Phase Transition in a Spatially Extended
  System","4 pages, 7 figures, RevTeX, to appear in Phys. Rev. E (1997)","Phys. Rev. E 56 (1997) 2658.","10.1103/PhysRevE.56.2658",,"adap-org nlin.AO",,"  We investigate a system of harmonically coupled identical nonlinear
constituents subject to noise in different spatial arrangements. For global
coupling we find for infinitely many constituents the coexistence of several
ergodic components and a bifurcation behaviour like in first order phase
transitions. These results are compared with simulations for finite systems
both for global coupling and for nearest neighbour coupling on two- and
three-dimensional cubic lattices. The mean-field type results for global
coupling provide a better understanding of the more complex behaviour in the
latter case.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 22:20:22 GMT""}]","2009-10-30"
"astro-ph/9706201","Martin Haehnelt","Martin G. Haehnelt (MPA-Garching), Matthias Steinmetz (Steward,
  MPA-Garching) and Michael Rauch (Caltech)","Damped Lyman alpha absorbers at high redshift -- large disks or galactic
  building blocks?","24 pages, LaTeX , 10 postscript figures included; submitted to ApJ.
  The paper can also be retrieved at http://www.mpa-garching/~haehnelt","Astrophys.J. 495 (1998) 647","10.1086/305323","MPA-1029","astro-ph",,"  We investigate the nature of the physical structures giving rise to damped
Lyman alpha absorption systems (DLAS) at high redshift. In particular, we
examine the suggestion that rapidly rotating large disks are the only viable
explanation for the characteristic observed asymmetric profiles of low
ionization absorption lines. We demonstrate using hydrodynamic simulations of
galaxy formation in a cosmological context that irregular protogalactic clumps
can reproduce the observed velocity width distribution and asymmetries of the
absorption profiles equally well. The velocity broadening in the simulated
clumps is due to a mixture of rotation, random motions, infall and merging. The
observed velocity width correlates with the virial velocity of the dark matter
halo of the forming protogalactic clump (v_{wid} ~ 0.6 times v_{vir} for the
median values with a large scatter of order a factor two between different
lines-of-sight). The typical virial velocity of the halos required to give rise
to the DLAS population is about 100 km/s and most standard hierarchical
structure formation scenarios can easily account even for the largest observed
velocity widths. We conclude that the evidence that DLAS at high redshift are
related to large rapidly rotating disks with v_circ >= 200 km/s is not
compelling.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 15:33:36 GMT""}]","2009-10-30"
"astro-ph/9706202","Reynier Peletier","R.F. Peletier, R. de Grijs (Kapteyn Lab, Groningen, the Netherlands)","Stellar Distributions and NIR Colours of Normal Galaxies","Invited review, to appear in ""Extragalactic Astronomy in the
  Infrared"", eds. G.A. Mamon, Trinh Xuan Thuan, and J. Tran Thanh Van, Editions
  Frontieres, Gif-sur-Yvette. LaTeX2e, 10 pages, 6 postscript figures and
  moriond.sty included. See also
  ftp://kapteyn.astro.rug.nl/peletier/lesarcs.ps.gz",,,,"astro-ph",,"  We discuss some results of a morphological study of edge-on galaxies, based
on optical and especially near-infrared surface photometry. We find that the
vertical surface brightness distributions of galaxies are fitted very well by
exponential profiles, much better than by isothermal distributions. We find
that in general the vertical scale height increases when going outward. This
increase is strong for early-type spiral galaxies and very small for late
types. We argue that it can be due to the presence of thick discs with scale
lengths larger than the galaxy's main disc. Finally we discuss the
colour-magnitude relation in I-K for spiral galaxies. We find that it is a
tight relation, for which the scatter is similar to the observational
uncertainties, with a steeper slope than for elliptical galaxies.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 08:57:45 GMT""}]","2007-05-23"
"astro-ph/9706203","Stephane Paltani","S.Paltani (CESR, Toulouse; ISDC Geneva), T.J.-L.Courvoisier (ISDC,
  Geneva), A.Blecha (Geneva Observatory), P.Bratschi (ISDC, Geneva)","Very rapid optical variability of PKS 2155-304","12 pages, 8 figures; requires psfig.sty and A&A style file
  (included). Accepted for publication in A&A main journal",,,,"astro-ph",,"  We have performed an optical observation campaign on PKS 2155-304, whose aim
was to determine the variability properties of this object on very short time
scales in several photometric bands. We detected variability on time scales as
short as 15 min. The Fourier properties of the light curves have been
investigated using structure function analysis. The power spectra are well
described by a power-law with an index -2.4. It is compatible with the index
found in the X-ray domain. The value of this index shows that the light curves
cannot be generated by a sum of exponential pulses. Using historical data, we
find that the longest time scale of variability in the optical domain lies
between 10 and 40 days. We find a strong correlation between flux and spectral
index, which we interpret as the signature of an underlying constant component.
As a result we do not find evidence of spectral variation for the active
nucleus in the optical domain. A lag has been found between the light curves in
different optical bands. The short-wavelength light curves lead the
long-wavelength ones. The amplitude of the lag is about 40 min for a factor 2
in wavelength. Our results are compared with predictions from different models.
None of them can explain naturally the set of results obtained with this
campaign, but we bring out some clues for the origin of the variability.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 13:08:10 GMT""}]","2007-05-23"
"astro-ph/9706204","Yuri Aikawa","Y. Aikawa, T. Umebayashi, T. Nakano, and S.M. Miyama","Evolution of Molecular Abundance in Protoplanetary Disks","7 pages latex file (using aas2pp4.sty), 3 figures (ps file), to
  appear in the Astrophysical Journal Letters",,"10.1086/310837",,"astro-ph",,"  We investigate the evolution of molecular abundance in quiescent
protoplanetary disks which are presumed to be around weak-line T Tauri stars.
In the region of surface density less than $10^2$ g cm$^{-2}$ (distance from
the star $\gtrsim 10$ AU in the minimum- mass solar nebula), cosmic rays are
barely attenuated even in the midplane of the disk and produce chemically
active ions such as He$^+$ and H$_{3}^+$. Through reactions with these ions CO
and N$_2$ are finally transformed into CO$_2$, NH$_3$, and HCN. In the region
where the temperature is low enough for these products to freeze onto grains,
considerable amount of carbon and nitrogen is locked up in the ice mantle and
is depleted from the gas phase in a time scale $\lesssim 3\times 10^6$ yr.
Oxidized (CO$_2$) ice and reduced (NH$_3$ and hydrocarbon) ice naturally
coexist in this part of the disk. The molecular abundance both in the gas phase
and in ice mantle varies significantly with the distance from the central star.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 13:37:41 GMT""}]","2009-10-30"
"cmp-lg/9706024","Fred Popowich","Fred Popowich, Davide Turcato, Olivier Laurens, Paul McFetridge, J.
  Devlan Nicholson, Patrick McGivern, Maricela Corzo Pena, Lisa Pidruchney, and
  Scott MacDonald (Simon Fraser University, Burnaby, Canada; TCC
  Communications, Victoria, Canada)","A Lexicalist Approach to the Translation of Colloquial Text","11 pages, LaTeX, uses tmi.sty","Proceedings of the 7th International Conference on Theoretical
  Issues in Machine Translation (TMI '97), Santa Fe, NM, 23-25 July 1997.",,,"cmp-lg cs.CL",,"  Colloquial English (CE) as found in television programs or typical
conversations is different than text found in technical manuals, newspapers and
books. Phrases tend to be shorter and less sophisticated. In this paper, we
look at some of the theoretical and implementational issues involved in
translating CE. We present a fully automatic large-scale multilingual natural
language processing system for translation of CE input text, as found in the
commercially transmitted closed-caption television signal, into simple target
sentences. Our approach is based on the Whitelock's Shake and Bake machine
translation paradigm, which relies heavily on lexical resources. The system
currently translates from English to Spanish with the translation modules for
Brazilian Portuguese under development.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:40:00 GMT""}]","2008-02-03"
"cond-mat/9706185","Grzegorz Szamel","Grzegorz Szamel","Kinetic Theory Approach to the SK Spin Glass Model with Glauber Dynamics","accepted for publication in Journal of Physics A",,"10.1088/0305-4470/30/16/015",,"cond-mat.dis-nn cond-mat.stat-mech",,"  I present a new method to analyze Glauber dynamics of the
Sherrington-Kirkpatrick (SK) spin glass model. The method is based on ideas
used in the classical kinetic theory of fluids. I apply it to study spin
correlations in the high temperature phase ($T\ge T_c$) of the SK model at zero
external field. The zeroth order theory is equivalent to a disorder dependent
local equilibrium approximation. Its predictions agree well with computer
simulation results. The first order theory involves coupled evolution equations
for the spin correlations and the dynamic (excess) parts of the local field
distributions. It accounts qualitatively for the error made in the zeroth
approximation.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 16:45:30 GMT""}]","2009-10-30"
"cond-mat/9706190","Mark Newman","G. T. Barkema (Julich) and M. E. J. Newman (Santa Fe Institute)","Monte Carlo simulation of ice models","32 pages including 15 postscript figures, typeset in LaTeX2e using
  the Elsevier macro package elsart.cls","Phys. Rev. E 57, 1155 (1998)","10.1103/PhysRevE.57.1155",,"cond-mat.stat-mech",,"  We propose a number of Monte Carlo algorithms for the simulation of ice
models and compare their efficiency. One of them, a cluster algorithm for the
equivalent three colour model, appears to have a dynamic exponent close to
zero, making it particularly useful for simulations of critical ice models. We
have performed extensive simulations using our algorithms to determine a number
of critical exponents for the square ice and F models.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 16:34:45 GMT""}]","2009-10-30"
"cond-mat/9706191","Didier Poilblanc","S. Capponi and D. Poilblanc","Transverse transport in coupled strongly correlated electronic chains","Latex, 5 pages, 6 encapsulated figures, Proceedings of the
  Euroconference on ``Correlations in Unconventional Quantum Liquids'', Evora,
  Portugal, 7-11 Oct. 1996, Z. Physik B 103, NO.2 (1997)",,"10.1007/s002570050354",,"cond-mat.str-el",,"  One-particle interchain hopping in a system of coupled Luttinger liquids is
investigated by use of exact diagonalizations techniques. Firstly, the two
chain problem of spinless fermions is studied in order to see the behaviour of
the band splitting as a function of the exponent \alpha which characterizes the
1D Luttinger liquid. We give numerical evidence that inter-chain coherent
hopping (defined by a non-vanishing splitting) can be totally suppressed for
\alpha\sim 0.4 or even smaller \alpha values. The transverse conductivity is
shown to exhibit a strong incoherent part even when coherent inter-chain
hopping is believed to occur (at small \alpha values). Implications for the
optical experiments in quasi-1D organic or high-T_c superconductors is
outlined.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 17:20:56 GMT""}]","2009-10-30"
"cond-mat/9706192","Deniz Ertas","Deniz Ertas","Lateral Separation of Macromolecules and Polyelectrolytes in
  Microlithographic Arrays","4 pages with 3 eps figures, needs RevTeX 3.0 and epsf, also available
  in postscript form http://cmtw.harvard.edu/~deniz/","Phys. Rev. Lett. 80, 1548 (1998).","10.1103/PhysRevLett.80.1548","HARV-CMT-DE-9701","cond-mat.soft cond-mat.mtrl-sci cond-mat.stat-mech",,"  A new approach to separation of a variety of microscopic and mesoscopic
objects in dilute solution is presented. The approach takes advantage of unique
properties of a specially designed separation device (sieve), which can be
readily built using already developed microlithographic techniques. Due to the
broken reflection symmetry in its design, the direction of motion of an object
in the sieve varies as a function of its self-diffusion constant, causing
separation transverse to its direction of motion. This gives the device some
significant and unique advantages over existing fractionation methods based on
centrifugation and electrophoresis.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 18:33:59 GMT""}]","2009-10-30"
"cond-mat/9706193","Haret Rosu","M.A. Reyes, H.C. Rosu","General solution of the three-site master equation and the discrete
  Riccati equation","5pp, no figs; based on a talk at the UIC workshop on integrable
  models and supersymmetry (June 12-14/97) by author Rosu","Nuovo Cimento B 114 (June 1999) 717-722",,,"cond-mat.stat-mech math-ph math.MP",,"  We first obtain by analogy with the continuous (differential) case the
general solution of a discrete Riccati equation. Our results can be considered
the discrete analog of Mielnik's construction in supersymmetric quantum
mechanics [J. Math. Phys. 25, 3387 (1984)]. Moreover, we establish the full
equivalence between our discrete Riccati equation and a corresponding
homogeneous second order discrete linear equation. We present an application to
the three-site master equation obtaining explicitly the general solutions for
the simple cases of free random walk and the biased random walk
","[{""version"":""v1"",""created"":""Wed, 18 Jun 1997 19:22:03 GMT""},{""version"":""v2"",""created"":""Thu, 22 Jul 1999 23:39:45 GMT""}]","2008-02-03"
"cond-mat/9706195","Erik Luijten","Erik Luijten (1), Henk W.J. Bl\""ote (1), Kurt Binder (2) ((1) Delft
  University of Technology, (2) Johannes Gutenberg-Universit\""at Mainz)","Nonmonotonical crossover of the effective susceptibility exponent","4 pages RevTeX 3.0/3.1, 5 Encapsulated PostScript figures. Uses
  epsf.sty. Accepted for publication in Physical Review Letters. Also available
  as PostScript and PDF file at http://www.tn.tudelft.nl/tn/erikpubs.html","Phys. Rev. Lett. 79, 561 (1997)","10.1103/PhysRevLett.79.561",,"cond-mat.stat-mech cond-mat.soft",,"  We have numerically determined the behavior of the magnetic susceptibility
upon approach of the critical point in two-dimensional spin systems with an
interaction range that was varied over nearly two orders of magnitude. The full
crossover from classical to Ising-like critical behavior, spanning several
decades in the reduced temperature, could be observed. Our results convincingly
show that the effective susceptibility exponent gamma_eff changes
nonmonotonically from its classical to its Ising value when approaching the
critical point in the ordered phase. In the disordered phase the behavior is
monotonic. Furthermore the hypothesis that the crossover function is universal
is supported.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 08:22:39 GMT""}]","2009-10-30"
"cond-mat/9706196","Thomas Gramespacher","Thomas Gramespacher and Markus Buttiker","Nanoscopic Tunneling Contacts on Mesoscopic Multiprobe Conductors","10 pages, 5 figures, revtex","Phys. Rev. B 56, 13026 (1997).","10.1103/PhysRevB.56.13026",,"cond-mat.mes-hall",,"  We derive Bardeen-like expressions for the transmission probabilities between
two multi-probe mesoscopic conductors coupled by a weak tunneling contact. We
emphasize especially the dual role of a weak coupling contact as a current
source and sink and analyze the magnetic field symmetry. In the limit of a
point-like tunneling contact the transmission probability becomes a product of
local, partial density of states of the two mesoscopic conductors. We present
expressions for the partial density of states in terms of functional
derivatives of the scattering matrix with respect to the local potential and in
terms of wave functions. We discuss voltage measurements and resistance
measurements in the transport state of conductors. We illustrate the theory for
the simple case of a scatterer in an otherwise perfect wire. In particular, we
investigate the development of the Hall-resistance as measured with weak
coupling probes.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 07:48:25 GMT""}]","2009-10-30"
"cond-mat/9706197",,"F. van Wijland(1), K. Oerding(2) and H.J. Hilhorst(1) ((1):LPTHE
  Universite de Paris-Sud, France and (2):Institut fur Theoretische Physik III,
  Dusseldorf, Germany)","Wilson renormalization of a reaction-diffusion process","26 pages, LaTeX, 6 .eps figures included",,"10.1016/S0378-4371(97)00603-1","LPTHE-ORSAY 97/22","cond-mat.stat-mech q-bio",,"  Healthy and sick individuals (A and B particles) diffuse independently with
diffusion constants D_A and D_B. Sick individuals upon encounter infect healthy
ones (at rate k), but may also spontaneously recover (at rate 1/\tau). The
propagation of the epidemic therefore couples to the fluctuations in the total
population density. Global extinction occurs below a critical value \rho_{c} of
the spatially averaged total density. The epidemic evolves as the
diffusion--reaction--decay process
  A + B --> 2B, B --> A ,
  for which we write down the field theory. The stationary state properties of
this theory when D_A=D_B were obtained by Kree et al. The critical behavior for
D_A<D_B is governed by a new fixed point. We calculate the critical exponents
of the stationary state in an $\eps$ expansion, carried out by Wilson
renormalization, below the critical dimension d_{c}=4. We then go on to to
obtain the critical initial time behavior at the extinction threshold, both for
D_A=D_B and D_A<D_B. There is nonuniversal dependence on the initial particle
distribution. The case D_A>D_B remains unsolved.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 08:50:49 GMT""}]","2015-06-25"
"cond-mat/9706198","Roland Fehrenbacher","Roland Fehrenbacher","Comment on ""Single Hole Dynamics in the CuO$_2$ Plane at Half Filling""","1 page",,,,"cond-mat.str-el",,"  In a recent letter, Pothuizen et al. reported angle-resolved photoemission
data on the single-layer insulating cuprate Sr_2CuO_2Cl_2. This comment
addresses the issue whether it is possible to deduce an accurate value for the
O 2p hopping integral $t_{pp}$ from these experiments, and also cautions
against drawing conclusions concerning scattering mechanisms in the CuO_2 plane
from a line-width analysis.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 12:37:10 GMT""}]","2016-08-31"
"cond-mat/9706199","Carsten Honerkamp","Carsten Honerkamp and Manfred Sigrist","Andreev reflection in unitary and non-unitary triplet states","11 pages and 7 figures (included)",,,,"cond-mat.supr-con",,"  The quasiparticle reflection and transmission properties at normal
conductor-superconductor interfaces are discussed for unitary and non-unitary
spin triplet pairing states recently proposed for Sr_2RuO_4. We find resonance
peaks in the Andreev reflection amplitude, which are related to surface bound
states in the superconductor. They lead to conductance peak features below the
quasiparticle gap in the superconductor. The position of the peaks depends on
the angle of the incident quasiparticles in a different way for unitary and
non-unitary states. Based on this observation we propose a possible experiment
which allows to distinguish between the two kinds of superconducting states.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 1997 12:18:24 GMT""}]","2016-08-31"
