"adap-org/9706005",,"Hans-Martin Br\""oker (1) and Peter Grassberger (1,2) ((1) Physics
  Department, University of Wuppertal, Germany (2) HLRZ c/o Forschungszentrum
  J\""ulich, Germany)","The Bak-Chen-Tang Forest Fire Model Revisited","4 pages, Latex with 5 figures incl., submitted to PRL",,,,"adap-org nlin.AO",,"  We reconsider a model introduced by Bak, Chen, and Tang (Phys. Rev. A 38, 364
(1988)) as a supposedly self-organized critical model for forest fires. We
verify again that the model is not critical in 2 dimensions, as found also by
previous authors. But we find that the model does show anomalous scaling (i.e.,
is critical in the sense of statistical mechanics) in 3 and 4 dimensions. We
relate these results to recent claims by A. Johansen.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:47:38 GMT""}]","2008-02-03"
"astro-ph/9706240","Sabine Schindler","Sabine Schindler","X-ray observations of distant lensing clusters","8 pages, including 4 figures, for proceedings of ASCA/ROSAT workshop
  on clusters of galaxies, Hakone, Japan, March 1997",,,,"astro-ph",,"  X-ray observations of three clusters are presented: RXJ1347.5-1145,
Cl0939+47, and Cl0500-24. Although these clusters are the in same redshift
range (0.32 - 0.45) and act all as gravitational lenses, they show very
different properties. RXJ1347.5-1145 seems to be an old, well relaxed system,
with a relaxed morphology, high X-ray luminosity, high temperature, high
metallicity and strong cooling flow. The other two clusters have the appearance
of young systems with substructure and low X-ray luminosity. The optical and
X-ray luminosity shows hardly any correlation. A comparison with nearby
clusters shows that many properties - like e.g. the metallicity or the amount
of subclustering - show a large scatter and no clear trend with time.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 08:54:21 GMT""}]","2007-05-23"
"astro-ph/9706242","Roger Fux","R. Fux","3D self-consistent N-body barred models of the Milky Way: I. Stellar
  dynamics","22 pages, LaTeX, 17 figures (2 in gif format). A&A, in press. A
  postscript version including all figures is available at
  http://obswww.unige.ch/Preprints/cgi-bin/Preprintshtml.cgi?#DYNAMIC","Astron.Astrophys.327:983-1003,1997",,,"astro-ph",,"  Many 3D N-body barred models of the Galaxy extending beyond the Solar circle
are realised by self-consistent evolution of various bar unstable axisymmetric
models. The COBE/DIRBE K-band map, corrected for extinction, is used to
constrain the location of the observer in these models, assuming a constant
mass-to-light ratio. The resulting view points in the best matching models
suggest that the inclination angle of the Galactic bar relative to the
Sun-Galactic centre line is 28+-7 degree. Scaling the masses according to the
observed radial velocity dispersion of M giants in Baade's Window, several
models reproduce satisfactorily the kinematics of disc and halo stars in the
Solar neighbourhood, as well as the disc local surface density and scale
parameters. These models have a face-on bar axis ratio b/a=0.5+-0.1 and a bar
pattern speed Omega_p=50+-5 km/s/kpc, corresponding to a corotation radius of
4.3+-0.5 kpc. The HI terminal velocity constraints favour models with low disc
mass fraction near the centre. The large microlensing optical depths observed
towards the Galactic bulge exclude models with a disc scale height hz<250 pc
around R=4 kpc, arguing for a constant thickness Galactic disc. The models also
indicate that a spiral arm starting at the near end of the bar can contribute
as much as 0.5x10^(-6) to the optical depth in Baade's Window. The mass-to-K
luminosity ratio of the Galactic bulge is probably more than 0.7 (Solar units),
and if the same ratio applies outside the bar region, then the Milky Way should
have a maximum disc.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:07:01 GMT""}]","2009-10-26"
"astro-ph/9706243","Karl Mannheim","M. Maisack, K. Mannheim, R.D. Geckeler, M. Hillas, S. Katajainen, F.
  Marshall, D. Petry, C. v. Montigny, G. Paubert, J. Rose, A. Sillanpaeae, L.O.
  Takalo, H. Teraesranta","A Multi-frequency campaign on the gamma-ray loud blazar W Comae","6 pages, Latex using crckapb.sty, to appear in the proceedings of the
  conference on Blazars, Black Holes, and Jets, Girona, Spain, 9-12 September
  1996, eds. M. Kidger and J.A. de Diego, Astrophysics and Space Science Series",,,,"astro-ph",,"  We report preliminary results of a multi-frequency campaign on the TeV
candidate blazar W Comae (z=0.102). Flux limits by Whipple and HEGRA show that
the TeV flux must be considerably below an E^-2 extrapolation of the EGRET
flux. In the framework of proton-initiated cascade models, this implies a
moderate amount of gamma-ray attenuation due to pair production in collisions
with low-energy photons of the extragalactic infrared background. In a simple
SSC model, the gamma-ray spectrum cuts off intrinsically just below TeV without
requiring external absorption.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 11:10:38 GMT""}]","2019-08-17"
"astro-ph/9706244","Rob Fender","G. G. Pooley (MRAO Cambridge) and R. P. Fender (Sussex)","GRS 1915+105 : Flares, QPOs and other events at 15 GHz","2 pages. To be published in Proc. IAU164 : Radio emission from
  Galactic and Extragalactic Compact Sources (Socorro, 1997)",,,,"astro-ph",,"  Monitoring with the Ryle Telescope at 15 GHz of the Galactic X-ray transient
source GRS 1915+105 has revealed a remarkable range of rapid and extended
flares which appear to be related to the X-ray emission as recorded by the RXTE
all-sky monitor. Quasi-periodic oscillations in the range 20 - 40 min have been
found and are probably related to oscillations in the soft X-ray flux.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 11:28:34 GMT""}]","2007-05-23"
"astro-ph/9706245","Heino Falcke","Heino Falcke (U. Maryland/MPIfR Bonn), W.M. Goss (NRAO), L.C. Ho
  (CfA), H. Matsuo (NRO), P. Teuben (U. Maryland), A.S. Wilson (U. Maryland),
  J.-H. Zhao (CfA), R. Zylka (ITA Heidelberg)","Sgr A* and Company - Multiwavelength observations of Sgr A* and VLA
  search of ``Sgr A*'s'' in LINERs","Talk presented at the IAU Coll. 164, A. Zensus, G. Taylor, & J.
  Wrobel (eds.), PASP Conf. Proc., Latex, paspconf.sty, 2 pages, preprint also
  available at http://www.astro.umd.edu/~hfalcke/publications.html#iauc164",,,"hfa/eprint/No.20","astro-ph",,"  We report first results from a multiwavelength campaign to measure the
simultaneous spectrum of Sgr A* from cm to mm wavelengths. The observations
confirm that the previously detected submm-excess is not due to variability;
the presence of an ultracompact component with a size of a few Schwarzschild
radii is inferred. In a VLA survey of LINER galaxies, we found Sgr A*-like
nuclei in one quarter of the galaxies searched, suggesting a link between those
low-power AGN and the Galactic Center.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 12:05:26 GMT""}]","2007-05-23"
"astro-ph/9706246","Alessandro Marconi","A. Marconi (STScI), D.J. Axon (STScI), F.D. Macchetto (STScI), A.
  Capetti (SISSA), W.B. Sparks (STScI), P. Crane (ESO)","Is there really a super-massive black hole in M87?","5 pages, Latex + 3 Postscript figures, to be published in MNRAS pink
  pages",,"10.1093/mnras/289.4.L21",,"astro-ph",,"  We present the first HST long-slit spectrum of a gaseous disk around a
candidate super-massive black-hole. The results of this study on the kinematics
of the gaseous disk in M87 are a considerable improvement in both spatial
resolution and accuracy over previous observations and requires a projected
mass of M_{BH}(sin i)^2 = (2.0+/- 0.5) 10^9 M_{sun} (M_{BH}=3.2 10^9 M_{sun}
for a disk inclination i=52deg) concentrated within a sphere whose radius is
less than 0.05"" (3.5 pc) to explain the observed rotation curve. The kinematics
of the ionized gas is well described by a thin disk in keplerian motion. A
lower limit to the mass-to-light ratio of this region is M/L_{V}~110,
significantly strengthening the claim that this mass is due to the presence of
a central black-hole in M87.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 14:14:50 GMT""}]","2016-01-13"
"chao-dyn/9706022","essor Dr. Marko","Marko Robnik, Jure Dobnikar, Andrea Rapisarda, Tomaz Prosen and Marko
  Petkovsek","New Universal Aspects of Diffusion in Strongly Chaotic Systems","16 pages of LaTeX text, three figures (1(a-c), 2 and 3) available
  upon request; submitted to J. Phys. A: Math. Gen. (as a Letter)",,"10.1088/0305-4470/30/23/003","Preprint CAMTP/97-2, May 1997","chao-dyn nlin.CD",,"  We study some new universal aspects of diffusion in chaotic systems,
especially such having very large Lyapunov coefficients on the chaotic
(indecomposable, topologically transitive) component. We do this by
discretizing the chaotic component on the Surface-of-Section in a (large)
number $N$ of simplectically equally big cells (in the sense of equal relative
invariant ergodic measure, normalized so that the total measure of the chaotic
component is unity). By iterating the transition of the chaotic orbit through
SOS, where $j$ counts the number of iteration (discrete time), and assuming
complete lack of correlations even between consecutive crossings (which can be
justified due to the very large Lyapunov exponents), we show the universal
approach of the relative measure of the occupied cells, denoted by $\rho(j)$,
to the asymptotic value of unity, in the following way: $\rho(j) = 1 -
(1-\frac{1}{N})^j$, so that in the limit of big $N$, $N\to \infty$, we have,
for $j/N$ fixed, the exponential law $\rho(j) \approx 1 - \exp (-j/N)$. This
analytic result is verified numerically in a variety of specific systems: For a
plane billiard (Robnik 1983, $\lambda=0.375$), for a 3-D billiard (Prosen 1997,
$a=-1/5, b=-12/5$), for ergodic logistic map (tent map), for standard map
($k=400$) and for hydrogen atom in strong magnetic field ($\epsilon=-0.05$) the
agreement is almost perfect (except, in the latter two systems, for some
long-time deviations on very small scale), but for H\'enon-Heiles system
($E=1/6$) and for the standard map ($k=3$) the deviations are noticed although
they are not very big (only about 1%). We have tested the random number
generators (Press et al 1986), and confirmed that some are almost perfect (ran0
and ran3), whilst two of them (ran1 and ran2) exhibit big deviations.
","[{""version"":""v1"",""created"":""Tue, 24 Jun 1997 11:34:39 GMT""}]","2009-10-30"
"chao-dyn/9706023","essor Dr. Marko","Marko Robnik and Tomaz Prosen","Comment on Energy Level Statistics in the Mixed Regime","11 pages in LaTeX; two figures available upon request",,"10.1088/0305-4470/30/24/037","Preprint CAMTP/97-3 June 1997","chao-dyn nlin.CD",,"  We comment on the recent paper by Abul-Magd (J.Phys.A: Math.Gen. 29 (1996) 1)
concerning the energy level statistics in the mixed regime, i.e. such having
the mixed classical dynamics where regular and chaotic regions coexist in the
phase space. We point out that his basic assumption on the additive property of
the level-repulsion function $r(S)$ (conditional probability density) in the
sense of dividing it linearly into the regular and chaotic part in proportion
to the classical fractional phase space volumes $\rho_1$ and $\rho_2=q$ is not
justified, since among other things, it relies on the type of Berry's ergodic
assumption, which however is right only in a homogeneous ensemble of ergodic
systems, but not in the neighbourhood of an integrable system. Thus his
resulting distribution cannot be regarded as a theoretically well founded
object. We point out that the semiclassical limiting energy level spacing
distribution must be of Berry-Robnik (1984) type, and explain what transitional
behaviour of the Brody-type (with fractional power-law energy level repulsion)
we observe in the near semiclassical regime where effective $\hbar$ is not yet
small enough. Thus we refer to the derivation, arguments and conclusions in our
paper (Prosen and Robnik, J.Phys.A: Math.Gen. 26 (1994) 8059), and explain
again the behaviour in this double transition region.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 17:57:42 GMT""}]","2009-10-30"
"cond-mat/9706226","Kurt Broderix","Kurt Broderix (1), Paul M. Goldbart (2), Annette Zippelius (1) ((1)
  Universitaet Goettingen, (2) University of Illinois at Urbana-Champaign)","Dynamical signatures of the vulcanization transition","4 pages",,"10.1103/PhysRevLett.79.3688",,"cond-mat.soft",,"  Dynamical properties of vulcanized polymer networks are addressed via a
Rouse-type model that incorporates the effect of permanent random crosslinks.
The incoherent intermediate scattering function is computed in the sol and gel
phases, and at the vulcanization transition between them. At any nonzero
crosslink density within the sol phase Kohlrausch relaxation is found. The
critical point is signalled by divergence of the longest time-scale, and at
this point the scattering function decays algebraically, whereas within the gel
phase it acquires a time-persistent part identified with the gel fraction.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:34:33 GMT""},{""version"":""v2"",""created"":""Thu, 14 Aug 1997 13:48:53 GMT""}]","2009-10-30"
"cond-mat/9706227","Victor V. Gurarie","Victor Gurarie and Chetan Nayak","A Plasma Analogy and Berry Matrices for Non-Abelian Quantum Hall States","7 pages, LaTeX","Nucl. Phys. B506, 685 (1997)","10.1016/S0550-3213(97)00612-3",,"cond-mat.mes-hall",,"  We present an approach to the computation of the non-Abelian statistics of
quasiholes in quantum Hall states, such as the Pfaffian state, whose
wavefunctions are related to the conformal blocks of minimal model conformal
field theories. We use the Coulomb gas construction of these conformal field
theories to formulate a plasma analogy for the quantum Hall states. A number of
properties of the Pfaffian state follow immediately, including the Berry phases
which demonstrate the quasiholes' fractional charge, the abelian statistics of
the two-quasihole state, and equal-time ground state correlation functions. The
non-Abelian statistics of multi-quasihole states follows from an additional
assumption.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 17:04:36 GMT""}]","2008-07-08"
"cond-mat/9706228","Rinat Bariev","F. C. Alcaraz and R. Z. Bariev","Exact Solution of the Biquadratic Spin-1 t-J Model in One Dimension","11 pages, latex",,"10.1103/PhysRevB.56.7796",,"cond-mat.stat-mech",,"  A new generalization of the t-J model with a nearest-neigbor hopping is
formulated and solved exactly by the Bethe-ansatz method. The model describes
the dynamics of spin-S fermions with isotropic or anisotropic interactions. In
the case S=1 the magnetic interaction is biquadratic in the spin operators. In
contrast to the SU(N) generalization of the t-J model, studied previously in
the literature, the present model possesses beyond a massless excitation also a
massive one. The physical properties indicate the existence of Cooper-type
pairs with finite binding energy.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:07:09 GMT""}]","2009-10-30"
"cond-mat/9706229","Rinat Bariev","F. C. Alcaraz and R. Z. Bariev","Phase Diagram and Superconducting Properties of an Exactly Solvable
  Model with Correlated Hopping","11 pages, latex",,"10.1016/S0375-9601(98)00028-0",,"cond-mat.stat-mech",,"  The model of strongly correlated electrons with the correlated hopping term
and an additional interaction between holes $V$ is solved exactly in one
dimension at a special point where the number of hole pairs is conserved. As a
function of the interaction $V$ the phase diagram has a rich structure. There
exist gapless phases with dominating density-density correlations (metallic) or
pair-pair correlations (superconducting) as well insulating and phase-separated
phases. The stiffness constant of the conductivity, the effective transport
mass, and the compressibility are also exactly calculated in several regions of
the phase diagram.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 16:14:05 GMT""}]","2009-10-30"
"cond-mat/9706230","Valery Rupasov","Valery I. Rupasov (Landau Institute, Moscow)","Confined gap excitation and multielectron localization in magnetic
  alloys","10 pages, RevTEX, submitted to J. Phys.: Cond. Mat",,,,"cond-mat.str-el",,"  The degenerate Anderson model with a nonlinear electron dispersion and an
energy dependent hybridization is proven to exhibit hidden integrability and is
diagonalized by the Bethe ansatz. If the impurity $f$-level energy lies below
the conduction band edge, the spectrum of the system is shown to contain pairs
of confined ``gap excitations'' and their heavy bound complexes. In addition,
multielectron localized states due to a pinning of gap bound complexes to the
impurity are predicted.
","[{""version"":""v1"",""created"":""Mon, 23 Jun 1997 18:03:40 GMT""}]","2016-08-31"
