"adap-org/9706003","Marie-Line Chabanol","M.-L. Chabanol and V. Hakim (Laboratoire de Physique Statistique, ENS
  Paris, France)","Analysis of a dissipative model of self-organized criticality with
  random neighbors","4 pages, TeX, 4 Postscript figures, submitted to ""Physical Review E,
  Rapid Communications""",,"10.1103/PhysRevE.56.R2343",,"adap-org cond-mat.stat-mech nlin.AO",,"  We analyze a random neighbor version of the OFC stick-slip model. We find
that the mean avalanche size is finite as soon as dissipation exists in the
bulk but that this size grows exponentially fast when dissipation tends to
zero.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:07:18 GMT""}]","2009-10-30"
"cond-mat/9706077","Miguel Rubi Capaceti","J. M. Rub\'i and P. Mazur","Simultaneous Brownian Motion of N Particles in a Temperature Gradient","9 pages, RevTex",,"10.1016/S0378-4371(97)00463-9",,"cond-mat",,"  A system of N Brownian particles suspended in a nonuniform heat bath is
treated as a thermodynamic system whith internal degrees of freedom, in this
case their velocities and coordinates. Applying the scheme of non-equilibrium
thermodynamics, one then easily obtains the Fokker-Planck equation for
simultaneous Brownian motion of N particles in a temperature gradient. This
equation accounts for couplings in the motion as a result of hydrodynamic
interactions between particles.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 07:54:15 GMT""}]","2016-08-15"
"cond-mat/9706078","pascal Simon","P. Simon","The 2D J_1-J_2 XY and XY-Ising Models","8 Pages, Latex, 1 ps figure, to be published in Europhysics Letters",,"10.1209/epl/i1997-00325-6",,"cond-mat.stat-mech",,"  We consider the 2D $J_1-J_2$ classical XY model on a square lattice. In the
frustrated phase corresponding to $J_2>J_1/2$, an Ising order parameter emerges
by an ``order due to disorder'' effect. This leads to a discrete symmetry plus
the O(2) global one. We formulate the problem in a Coulomb gas language and
show by a renormalization group analysis that only two phases are still
possible : a locked phase at low temperature and a disordered one at high
temperature. The transition is characterized by the loss of Ising and XY order
at the same point. This analysis suggests that the 2D $J_1-J_2$ XY model is in
the same universality class than XY-Ising models.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 08:50:10 GMT""}]","2016-08-31"
"cond-mat/9706079","Ricardo Brito","T.P.C. van Noije, M.H. Ernst (Universiteit Utrecht, The Netherlands)
  R. Brito, J.A.G. Orza (Universidad Complutense de Madrid, Spain)","Mesoscopic Theory of Granular Fluids","4 pages with 3 figures, Latex. To be published in Phys.Rev.Lett","Phys. Rev. Lett. 79, 411 1997","10.1103/PhysRevLett.79.411",,"cond-mat.stat-mech",,"  Using fluctuating hydrodynamics we describe the slow build-up of long range
spatial correlations in a freely evolving fluid of inelastic hard spheres. In
the incompressible limit, the behavior of spatial velocity correlations
(including $r^{-d}$-behavior) is governed by vorticity fluctuations only and
agrees well with two-dimensional simulations up to 50 to 100 collisions per
particle. The incompressibility assumption breaks down beyond a distance that
diverges in the elastic limit.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:02:48 GMT""}]","2009-10-30"
"cond-mat/9706080","Anton Bovier","Anton Bovier, Veronique Gayrard","Metastates in the Hopfield model in the replica symmetric regime","41pp, plain TEX",,,,"cond-mat.dis-nn",,"  We study the finite dimensional marginals of the Gibbs measure in the
Hopfield model at low temperature when the number of patterns, $M$, is
proportional to the volume with a sufficiently small proportionality constant
$\a>0$. It is shown that even when a single pattern is selected (by a magnetic
field or by conditioning), the marginals do not converge almost surely, but
only in law. The corresponding limiting law is constructed explicitly. We fit
our result in the recently proposed language of ``metastates'' which we discuss
in some length. As a byproduct, in a certain regime of the parameters $\a$ and
$\b$ (the inverse temperature), we also give a simple proof of Talagrand's [T1]
recent result that the replica symmetric solution found by Amit, Gutfreund, and
Sompolinsky [AGS] can be rigorously justified.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:39:15 GMT""}]","2008-02-03"
"gr-qc/9706019","Neven","Neven Bilic (Rudjer Boskovic Institute Zagreb), Raoul Viollier
  (university of Cape Town)","Free Energy of Gravitating Fermions","7 pages, LaTex",,,,"gr-qc",,"  We study a system of self-gravitating massive fermions in the framework of
the general-relativistic Thomas-Fermi model. We postulate the free energy
functional and show that its extremization is equivalent to solving the
Einstein's field equations. A self-gravitating fermion gas we then describe by
a set of Thomas-Fermi type self-consistency equations.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 14:28:39 GMT""}]","2007-05-23"
"gr-qc/9706020","B. Linet","B. Boisseau, B. Linet","Dynamics of a self-gravitating thin string in scalar-tensor theories of
  gravitation","10 pages, latex, no figures","Class.Quant.Grav. 14 (1997) 3063-3071","10.1088/0264-9381/14/11/008",,"gr-qc",,"  We examine the dynamics of a self-gravitating string in the scalar-tensor
theories of gravitation by considering a thin tube of matter to describe it.
For a class of solutions, we obtain in the generic case that the extrinsic
curvature of the world sheet of the central line is null in the limit where the
radius of the string tends to zero. However, if we impose a specific constraint
on the behaviour of the solution then we find that only the mean curvature of
the world sheet of the central line vanishes which is just the Nambu-Goto
dynamics. This analysis can include the massless dilatonic theories of gravity.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:16:29 GMT""}]","2009-10-30"
"gr-qc/9706021","Urjit A Yajnik","U. A. Yajnik and K. Narayan (Indian Institute of Technology, Bombay)","Canonical Quantization Inside the Schwarzschild Black Hole","8 pages, LaTex. Title altered. One reference added. A few typos esp.
  eq.(7),(38) corrected. To appear in Class.Q.Grav","Class.Quant.Grav. 15 (1998) 1315-1321","10.1088/0264-9381/15/5/013",,"gr-qc hep-ph",,"  We propose a scheme for quantizing a scalar field over the Schwarzschild
manifold including the interior of the horizon. On the exterior, the timelike
Killing vector and on the horizon the isometry corresponding to restricted
Lorentz boosts can be used to enforce the spectral condition. For the interior
we appeal to the need for CPT invariance to construct an explicitly positive
definite operator which allows identification of positive and negative
frequencies. This operator is the translation operator corresponding to the
inexorable propagation to smaller radii as expected from the classical metric.
We also propose an expression for the propagator in the interior and express it
as a mode sum.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 10:18:53 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jan 1998 12:07:30 GMT""}]","2009-10-30"
"gr-qc/9706022","Petr Hajicek","P. Hajicek and J. Bicak","Gauge Invariant Hamiltonian Formalism for Spherically Symmetric
  Gravitating Shells","Some remarks on the singularity of the vector potantial are added and
  some minor corrections done. Definitive version accepted in Phys. Rev","Phys.Rev.D56:4706-4719,1997","10.1103/PhysRevD.56.4706",,"gr-qc",,"  The dynamics of a spherically symmetric thin shell with arbitrary rest mass
and surface tension interacting with a central black hole is studied. A careful
investigation of all classical solutions reveals that the value of the radius
of the shell and of the radial velocity as an initial datum does not determine
the motion of the shell; another configuration space must, therefore, be found.
A different problem is that the shell Hamiltonians used in literature are
complicated functions of momenta (non-local) and they are gauge dependent. To
solve these problems, the existence is proved of a gauge invariant
super-Hamiltonian that is quadratic in momenta and that generates the shell
equations of motion. The true Hamiltonians are shown to follow from the
super-Hamiltonian by a reduction procedure including a choice of gauge and
solution of constraint; one important step in the proof is a lemma stating that
the true Hamiltonians are uniquely determined (up to a canonical
transformation) by the equations of motion of the shell, the value of the total
energy of the system, and the choice of time coordinate along the shell. As an
example, the Kraus-Wilczek Hamiltonian is rederived from the super-Hamiltonian.
The super-Hamiltonian coincides with that of a fictitious particle moving in a
fixed two-dimensional Kruskal spacetime under the influence of two effective
potentials. The pair consisting of a point of this spacetime and a unit
timelike vector at the point, considered as an initial datum, determines a
unique motion of the shell.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:29:45 GMT""},{""version"":""v2"",""created"":""Mon, 29 Sep 1997 11:35:19 GMT""}]","2011-09-09"
"hep-lat/9706008","Norikazu Yamada","K-I. Ishikawa, H. Matsufuru, T. Onogi, N. Yamada and S. Hashimoto","f_B with lattice NRQCD including O(1/m_Q^2) corrections","27 pages, 15 figures, RevTex, psfig.sty required","Phys.Rev. D56 (1997) 7028-7038","10.1103/PhysRevD.56.7028","HUPD-9709, KEK Preprint 97-60","hep-lat",,"  We calculate the heavy-light meson decay constant using lattice NRQCD action
for the heavy quark and Wilson quark action for the light quark over a wide
range in the heavy quark mass. Simulations are carried out on a 16^3 x 32
lattice with 120 quenched gauge configurations generated with the plaquette
action at beta=5.8. For the heavy quark part of the calculation, two sets of
lattice NRQCD action and current operator are employed. The first set includes
terms up to O(1/m_Q) both in the action and the current operator, and the
second set up to O(1/m_Q^2), where m_Q is the bare mass of the heavy quark.
Tree-level values with tadpole improvement are employed for the coefficients in
the expansion. We compare the results obtained from the two sets in detail and
find that the truncation error of higher order relativistic corrections for the
decay constant are adequately small around the mass of the b quark. We also
calculate the 1S hyperfine splitting of B meson, M_{B_s} - M_B and f_{B_s}/f_B
with both sets and find that the 1/m_Q^2 corrections are negligible. Remaining
systematic errors and the limitation of NRQCD theory are discussed.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 12:35:34 GMT""}]","2009-10-30"
"hep-lat/9706009","Konstantinos Anagnostopoulos","J. Ambjorn (1), K. N. Anagnostopoulos (1), T. Ichihara (2), L. Jensen
  (1), N. Kawamoto (3), Y. Watabiki (2) and K. Yotsuji (3) ((1) Niels Bohr
  Inst., (2) Tokyo Inst. Technology, (3) Hokkaido Univ.)","The quantum space-time of c=-2 gravity","46 pages, 16 figures, 32 eps files, using psfig.sty and epsf.sty","Nucl.Phys. B511 (1998) 673-710","10.1016/S0550-3213(97)00659-7","EPHOU-97-006, NBI-HE-97-19, TIT/HEP--371","hep-lat gr-qc hep-th",,"  We study the fractal structure of space-time of two-dimensional quantum
gravity coupled to c=-2 conformal matter by means of computer simulations. We
find that the intrinsic Hausdorff dimension d_H = 3.58 +/- 0.04. This result
supports the conjecture d_H = -2 \alpha_1/\alpha_{-1}, where \alpha_n is the
gravitational dressing exponent of a spinless primary field of conformal weight
(n+1,n+1), and it disfavours the alternative prediction d_H = 2/|\gamma|. On
the other hand <l^n> ~ r^{2n} for n>1 with good accuracy, i.e. the boundary
length l has an anomalous dimension relative to the area of the surface.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 13:14:15 GMT""}]","2009-10-30"
"hep-ph/9706285","Lance J. Dixon","L. Dixon and A. Signer","Complete Order alpha_s^3 Results for e^+ e^- to (gamma,Z) to Four Jets","Latex2e, 17 pages with 5 encapsulated figures. Note added regarding
  subsequent related work. To appear in Phys. Rev. D","Phys.Rev.D56:4031-4038,1997","10.1103/PhysRevD.56.4031","SLAC-PUB-7528","hep-ph",,"  We present the next-to-leading order (O(alpha_s^3)) perturbative QCD
predictions for e^+e^- annihilation into four jets. A previous calculation
omitted the O(alpha_s^3) terms suppressed by one or more powers of 1/N_c^2,
where N_c is the number of colors, and the `light-by-glue scattering'
contributions. We find that all such terms are uniformly small, constituting
less than 10% of the correction. For the Durham clustering algorithm, the
leading and next-to-leading logarithms in the limit of small jet resolution
parameter y_{cut} can be resummed. We match the resummed results to our
fixed-order calculation in order to improve the small y_{cut} prediction.
","[{""version"":""v1"",""created"":""Sun, 8 Jun 1997 19:40:01 GMT""},{""version"":""v2"",""created"":""Fri, 22 Aug 1997 20:09:02 GMT""}]","2010-11-15"
"hep-ph/9706287",,"Mayumi Aoki, Akio Sugamoto and Noriyuki Oshimo","Implications of baryon asymmetry for the electric dipole moment of the
  neutron","9 pages, 2 Postscript figures","Prog.Theor.Phys. 98 (1997) 1325-1332","10.1143/PTP.98.1325","ICRR-Report-389-97-12,OCHA-PP-96","hep-ph",,"  We study baryogenesis at the electroweak phase transition of the universe
within the framework of the supersymmetric standard model (SSM) based on N=1
supergravity. This model contains a new source of CP violation in the
mass-squared matrices for squarks, which could enable $t$ squarks to mediate
the charge transport mechanism for generating baryon asymmetry. The same
CP-violating source also induces the electric dipole moment (EDM) of the
neutron at the one-loop level. If the new CP-violating phase is not suppressed,
it is shown, the $t$-squark transport can lead to baryon asymmetry consistent
with its observed value within reasonable ranges of SSM parameters. For these
parameter ranges the magnitude of the neutron EDM is predicted to be not much
smaller than its present experimental upper bound.
","[{""version"":""v1"",""created"":""Mon, 9 Jun 1997 09:34:37 GMT""}]","2009-10-30"
