"alg-geom/9701006","Yujiro Kawamata","Yujiro Kawamata","On the cone of divisors of Calabi-Yau fiber spaces","AMS-TeX, 21 pages",,,,"alg-geom math.AG",,"  We prove some version of Morrison's conjecture on the cone of divisors for
Calabi-Yau fiber spaces with non-trivial base pace whose total space is
3-dimensional.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 03:48:58 GMT""}]","2008-02-03"
"hep-ph/9701274","Fyodor V. Tkachov","Fyodor V. Tkachov","From jet algorithms to C-algebra. Measurement errors and regularization
  of cuts","12 pp PS. Complements hep-ph/9601308. Useful Notes attached. 7.11.98:
  maintenance","X Int. Workshop on High Energy Physics. Zvenigorod, Russia. 20-26
  Sept. 1995. INP MSU. Eds.: B.Levtchenko, V.Savrin pp.324-334",,,"hep-ph hep-ex",,"  Error enhancement properties of data processing algorithms in elementary
particle physics measurements are discussed. It is argued that a systematic use
of continuous weights instead of hard cuts may reduce errors of the results at
the cost of a marginal increase of computer resources needed.
","[{""version"":""v1"",""created"":""Sun, 12 Jan 1997 16:18:26 GMT""},{""version"":""v2"",""created"":""Sat, 7 Nov 1998 07:39:26 GMT""}]","2008-02-03"
"hep-ph/9701275","Francesco Becattini","F. Becattini (INFN Sezione di Firenze)","Universality of thermal hadron production in pp, p{\bar p} and e^+e^-
  collisions","29 pages, 10 .eps figures, to be published in the Proceedings of the
  XXXIII Eloisatron Workshop ""Universality features in Multihadron production
  and the leading effect"", October 19-25 1996, Erice (Italy) Revision - Few
  minor text changes and corrections",,,"DFF 263/12/1996","hep-ph",,"  It is shown that the hadron production in high energy pp, p{\bar p} and
e^+e^- collisions, calculated by assuming that particles originate in hadron
gas fireballs at thermal and partial chemical equilibrium, agrees very well
with the data. The temperature of the hadron gas fireballs, determined by
fitting hadron abundances, does not seem to depend on the centre of mass energy
and kind of reaction, having a nearly constant value of about 170 MeV. This
finding supports a universal hadronization mechanism in all kinds of reactions
consisting in a parton-hadron transition at critical values of temperature and
pressure.
","[{""version"":""v1"",""created"":""Sun, 12 Jan 1997 18:10:48 GMT""},{""version"":""v2"",""created"":""Tue, 14 Jan 1997 17:58:26 GMT""}]","2008-02-03"
"hep-ph/9701276","Robert Brandenberger","Robert H. Brandenberger (Brown Univ.)","Particle Physics Aspects of Modern Cosmology","70 pages, 17 figures, 1 table, uses LATEX and epsf; invited lectures
  at the 15th Symposium on Theoretical Physics, Aug. 22 - 28 1996, Seoul,
  Korea, to be publ. in ""Field Theoretical Methods in Fundamental Physics""",,,"BROWN-HET-1067","hep-ph astro-ph",,"  Modern cosmology has created a tight link between particle physics / field
theory and a wealth of new observational data on the structure of the Universe.
These lecture notes focus on some of the most important aspects concerning the
connection between theory and observations. The lectures begin with an overview
of some recent progress and problems in inflationary cosmology. In particular,
a pedagogical discussion of the theory of reheating is presented. The second
topic is a survey of the theory of cosmological perturbations, the cornerstone
of modern cosmology. The focus is on the gauge-invariant classical and quantum
theory of fluctuations. The third topic concerns the role of topological
defects in cosmology. Reviews of the cosmic string theory of galaxy formation
and of defect-mediated GUT and electroweak baryogenesis are given.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 02:19:15 GMT""}]","2007-05-23"
"hep-ph/9701277","Bernd Kniehl","K.G. Chetyrkin, B.A. Kniehl, M. Steinhauser (MPI Munich)","Three-Loop O(alpha_s^2 G_F M_t^2) Corrections to Hadronic Higgs Decays","23 pages (Latex), 9 figures (Postscript), accepted for publication in
  Nuclear Physics B","Nucl.Phys. B490 (1997) 19-39","10.1016/S0550-3213(97)00051-5","MPI/PhT/96-110","hep-ph",,"  We calculate the top-quark-induced three-loop corrections of O(alpha_s^2 G_F
M_t^2) to the Yukawa couplings of the first five quark flavours in the
framework of the minimal standard model with an intermediate-mass Higgs boson,
with mass M_H << 2M_t. The calculation is performed using an
effective-Lagrangian approach implemented with the hard-mass procedure. As an
application, we derive the O(alpha_s^2 G_F M_t^2) corrections to the H -> q
q-bar partial decay widths, including the case q=b. The couplings of the Higgs
boson to pairs of leptons and intermediate bosons being known to O(alpha_s^2
G_F M_t^2), this completes the knowledge of such corrections in the Higgs
sector. We express the results both in the MS-bar and on-shell schemes of mass
renormalization. We recover the notion that the QCD perturbation expansions
exhibit a worse convergence behaviour in the on-shell scheme than they do in
the MS-bar scheme.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 10:36:01 GMT""}]","2009-10-30"
"hep-ph/9701278","Marco Ciuchini","Marco Ciuchini (CERN and INFN)","$\epsilon'/\epsilon$: three years later","15 pages, 3 EPS figures, uses epsfig.sty. Invited talk to the 4th KEK
  Topical Conference on ""Flavor Physics"", KEK, Japan, 29-31 October 1996","Nucl.Phys.Proc.Suppl. 59 (1997) 149-156","10.1016/S0920-5632(97)00437-4","CERN-TH/97-2","hep-ph",,"  Three years after the completion of the next-to-leading order calculation,
the status of the theoretical estimates of $\epsilon'/\epsilon$ is reviewed. In
spite of the theoretical progress, the prediction of $\epsilon'/\epsilon$ is
still affected by a 100% theoretical error. In this paper the different sources
of uncertainty are critically analysed and an updated estimate of
$\epsilon'/\epsilon$ is presented. Some theoretical implications of a value of
$\epsilon'/\epsilon$ definitely larger than $10^{-3}$ are also discussed.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 11:13:43 GMT""}]","2016-09-06"
"hep-ph/9701279","Arthur Weldon","H. Arthur Weldon","Structure of the Gluon Propagator at Finite Temperature","21 pages, latex, no figures","Annals Phys. 271 (1999) 141-156","10.1006/aphy.1998.5873",,"hep-ph",,"  The thermal self-energy of gluons generally depends on four Lorentz-invariant
functions. Only two of these occur in the hard thermal loop approximation of
Braaten and Pisarski because of the abelian Ward identity
$K_{\mu}\Pi^{\mu\nu}_{\rm htl}=0$. However, for the exact self-energy
$K_{\mu}\Pi^{\mu\nu}\neq 0$. In linear gauges the Slavnov-Taylor identity is
shown to require a non-linear relation among three of the Lorentz-invariant
self-energy function: $(\Pi_{C})^{2}=(K^{2}-\Pi_{L})\Pi_{D}$. This reduces the
exact gluon propagator to a simple form containing only two types of poles: one
that determines the behavior of transverse electric and magnetic gluons and one
that controls the longitudinally polarized electric gluons.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 13:47:06 GMT""}]","2009-10-30"
"hep-ph/9701280","U. Meissner","Ulf-G. Mei{\ss}ner","Recent developments in heavy baryon chiral perturbation theory: Selected
  topics","13 pp, LaTeX, uses epsf, 4 figures, review talk, YITP International
  Workshop on ``Recent Developments in QCD and Hadron Physics'', Kyoto, Japan,
  December 16-18, 1996, to appear in the proceedings",,,"KFA-IKP(TH)-1997-03","hep-ph nucl-th",,"  I review recent results in baryon chiral perturbation theory, in particular
related to pion-nucleon scattering and first systematic attempts to go beyond
next-to-leading order in the case of three flavors. New insight into the chiral
expansion of the baryon masses and magnetic moments is presented.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 14:36:04 GMT""}]","2007-05-23"
"hep-th/9701043","Alexei Semikhatov","B L Feigin, A M Semikhatov, and I Yu Tipunin","Equivalence between Chain Categories of Representations of Affine sl(2)
  and N=2 Superconformal Algebras","LaTeX 2.09, 59pp. The version to appear in J Math Phys","J.Math.Phys.39:3865-3905,1998","10.1063/1.532473",,"hep-th alg-geom math.AG math.QA q-alg",,"  Highest-weight type representation theories of the affine sl(2) and N=2
superconformal algebras are shown to be equivalent modulo the respective
spectral flows.
","[{""version"":""v1"",""created"":""Sun, 12 Jan 1997 23:28:59 GMT""},{""version"":""v2"",""created"":""Tue, 15 Apr 1997 20:03:11 GMT""},{""version"":""v3"",""created"":""Mon, 23 Feb 1998 17:15:23 GMT""}]","2014-11-18"
"hep-th/9701045","Oskar Pelc","Amit Giveon, Oskar Pelc and Eliezer Rabinovici","The Coulomb Phase in N=1 Gauge Theories With a LG-Type Superpotenetial","26 pages, latex, no figures; the derivation of the classical part of
  the curves is clarified; version published in Nucl.Phys. B","Nucl.Phys. B499 (1997) 100-124","10.1016/S0550-3213(97)00297-6","RI-12-96","hep-th",,"  We consider N=1 supersymmetric gauge theories with a simple classical gauge
group, one adjoint $\Phi, N_f$ pairs ($Q_i,\tilde{Q_i}$) of (fundamental,
anti-fundamental) and a tree-level superpotential with terms of the
Landau-Ginzburg form $\tilde{Q}_i\Phi^lQ_j$. The quantum moduli space of these
models includes a Coulomb branch. We find hyperelliptic curves that encode the
low energy effective gauge coupling for the groups SO(N_c) and USp(N_c) (the
corresponding curve for SU(N_c) is already known). As a consistency check, we
derive the sub-space of some vacua with massless dyons via confining phase
superpotentials. We also discuss the existence and nature of the non-trivial
superconformal points appearing when singularities merge in the Coulomb branch.
","[{""version"":""v1"",""created"":""Sun, 12 Jan 1997 18:24:40 GMT""},{""version"":""v2"",""created"":""Wed, 10 Sep 1997 16:07:02 GMT""}]","2009-10-30"
"hep-th/9701046","Ralf D. Tscheuschner","Ralf D. Tscheuschner","Superconducting phase transitions in 2+1 dimensional quantum field
  theories modeling generalized polaronic interactions. Part I: Jahn-Teller
  inspired models","16 pages, LaTeX 2.09, some typos corrected, some references added.
  email ralfd@nano.afp.ruhr-uni-bochum.de","Int.J.Mod.Phys.B12:1539-1553,1998","10.1142/S0217979298000831",,"hep-th",,"  We review the fundamentals of Jahn-Teller interactions and their field
theoretical modelings and show that a 2+1 dimensional gauge theory where the
gauge field couples to ""flavored fermions"" arises in a natural way from a
two-band model describing the dynamical Jahn-Teller effect. The theory exhibits
a second order phase transition to novel finite-temperature superconductivity.
","[{""version"":""v1"",""created"":""Sun, 12 Jan 1997 18:52:23 GMT""},{""version"":""v2"",""created"":""Sun, 2 Feb 1997 17:54:59 GMT""}]","2011-04-15"
"hep-th/9701049","Gary Gibbons","G W Gibbons","Collapsing Shells and the Isoperimetric Inequality for Black Holes","16 pages plain TEX","Class.Quant.Grav.14:2905-2915,1997","10.1088/0264-9381/14/10/016","DAMTP/R/97/03","hep-th gr-qc",,"  Recent results of Trudinger on Isoperimetric Inequalities for non-convex
bodies are applied to the gravitational collapse of a lightlike shell of matter
to form a black hole. Using some integral identities for co-dimension two
surfaces in Minkowski spacetime, the area $A$ of the apparent horizon is shown
to be bounded above in terms of the mass $M$ by the $16 \pi G^2 M^2$, which is
consistent with the Cosmic Censorship Hypothesis. The results hold in four
spacetime dimensions and above.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 11:07:24 GMT""}]","2016-09-06"
"hep-th/9701050","Guest Account Cts","A S Vytheeswaran (Bangalore University, India)","Gauge Invariances in the Proca model","Latex file, 18 pages, Revised version with extra equation and note
  added in page 4, reference added, minor spelling corrections. To appear in
  Int J Mod Phys A","Int.J.Mod.Phys. A13 (1998) 765-778","10.1142/S0217751X98000330",,"hep-th",,"  We show that the abelian Proca model, which is gauge non-invariant with
second class constraints can be converted into gauge theories with first class
constraints. The method used, which we call Gauge Unfixing employs a projection
operator defined in the original phase space. This operator can be constructed
in more than one way, and so we get more than one gauge theory. Two such gauge
theories are the Stuckelberg theory, and the theory of Maxwell field
interacting with an antisymmetric tensor field. We also show that the
application of the projection operator does not affect the Lorentz invariance
of this model.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 10:14:20 GMT""},{""version"":""v2"",""created"":""Wed, 18 Jun 1997 07:29:22 GMT""}]","2009-10-30"
"hep-th/9701051","Fg Scholtz","F G Scholtz and S V Shabanov","Gribov vs BRST","9 pages, Revtex, A better formulation of the conditions on the gauge
  fixing fermion is given, Several relevant references are added, To appear in
  Ann. Phys. (N.Y.)","Annals Phys. 263 (1998) 119-132","10.1006/aphy.1997.5754","STPHY 23/96","hep-th",,"  We investigate the way in which the Gribov problem is manifested in the BRST
quantization of simple quantum mechanical models by comparing models with and
without a Gribov problem. We show that the hermiticity and nilpotency of the
BRST charge together with the Batalin-Vilkovisky theorem yield non-trivial
supplementary conditions on gauge fixing fermions. If the gauge fixing fermion
satisfies the supplementary conditions, the BRST physical states form a space
isomorphic to the Dirac space, and the BRST formal path integral does not
suffer from the Gribov problem. The conventional gauge fixing fermion, that
gives rise to the Faddeev-Popov integral, fails to satisfy the supplementary
conditions due to the Gribov problem. Alternatively, enforcing the conventional
gauge fixing fermion, these supplementary conditions imply restrictions on the
BRST physical states for which the Batalin-Vilkovisky theorem holds. We find
that these BRST physical states are not isomorphic the Dirac states. This can
be interpreted as a violation of the Batalin-Vilkovisky theorem on the space of
Dirac states and implies a breakdown of unitarity and a general dependence of
physical quantities on the gauge condition.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 13:19:45 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 1997 11:24:37 GMT""}]","2009-10-30"
"hep-th/9701053","Klaus Behrndt","Klaus Behrndt","Classical and quantum aspects of 4 dimensional black holes","12 pages, 7 figure, LaTeX, small corrections",,"10.1016/S0920-5632(97)00304-6",,"hep-th",,"  In this talk I address some aspects in the recent developments for N=2 black
holes in 4 dimensions. I restrict myself on axion-free solutions that can
classically be related to intersections of isotropic $D$- or $M$-branes. After
reviewing of some classical properties I include corrections coming from a
general cubic prepotential. On the heterotic side these are quantum corrections
for these black hole solutions. Finally, I discuss a microscopic interpretation
of the entropy for the extremal as well as near-extremal black hole.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 13:39:26 GMT""},{""version"":""v2"",""created"":""Wed, 9 Sep 1998 09:15:57 GMT""}]","2009-10-30"
"hep-th/9701054","Pietro Fre","Pietro Fre'","Supersymmetry and First Order Equations for Extremal States: Monopoles,
  Hyperinstantons, Black-Holes and p-Branes","LaTeX, {article.sty, espcrc2.sty} 11 twocolumn pages. Invited Seminar
  given at Santa Margerita Conference on Contrained Dynamics and Quantum
  Gravity September 1995. In the replaced version misprints have been corrected
  and some sentences have been modified","Nucl.Phys.Proc.Suppl. 57 (1997) 52-64","10.1016/S0920-5632(97)00353-8",,"hep-th",,"  In this lecture I review recent results on the first order equations
describing BPS extremal states, in particular N=2 extremal black-holes. The
role of special geometry is emphasized also in the rigid theory and a
comparison is drawn with the supersymmetric derivation of instantons and
hyperinstantons in topological field theories. Work in progress on the
application of solvable Lie algebras to the discussion of BPS states in
maximally extended supergravities is outlined.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 13:37:52 GMT""},{""version"":""v2"",""created"":""Thu, 16 Jan 1997 18:32:36 GMT""}]","2009-10-30"
"physics/9701013","Gayane A. Amatuni","A. Amatuni, S.G. Arutunian, M.R. Mailian","Generator-Invertor-Dumper System of Electron (Positron) Bunches Moving
  in Cold plasma for Development of Strong Accelerating Electric Field","21 pages, latex, 12 figures appended as uuencoded file",,,,"physics.acc-ph",,"  It is shown that high accelerating gradient can be obtained in a specially
constructed system of electron (positron) bunches, moving in cold plasma,with
definite density. These combined bunch systems do not generate the wake fields
behind them and can pass through the plasma column in a periodic sequence. The
consideration is carried out numericaly and analyticaly in one dimensional
approach, (which can be applied to finite system when its transverse dimensions
are larger than plasma wave length, divided by $2\pi$). The possibilities of
the experimental tests by measuring the predicted energy gain are discussed on
the examples of Argonne Wakefield Accelerator and induction linac with typical
parameters.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 10:19:12 GMT""}]","2008-02-03"
"q-alg/9701012","Masahiko Miyamoto","Masahiko Miyamoto (University of Tsukuba)","A new construction of the moonshine vertex operator algebra over the
  real number field","revised version (We add several things) 66 pages, Latex",,,,"q-alg math.QA",,"  We give a new construction of the moonshine VOA V^{\natural} over the real
number field. We proved that V^{\natural} has a positive definite invariant
bilinear form and its full automorphism group is the Monster simple group. We
also construct an infinite series of meromorphic VOAs whose full automorphism
groups are finite. We calculate the trace form on V^{\natural} for some element
of the Monster.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 02:57:31 GMT""},{""version"":""v2"",""created"":""Wed, 19 Nov 1997 06:45:31 GMT""},{""version"":""v3"",""created"":""Tue, 29 Sep 1998 08:17:03 GMT""}]","2008-02-03"
"q-alg/9701016","Yves Brihaye","Yves Brihaye, Jean Nuyts","The hidden symmetry algebras of a class of quasi-exactly solvable multi
  dimensional operators","19 pages, latex",,"10.1007/s002200050430",,"q-alg math.QA",,"  Let $P(N,V)$ denote the vector space of polynomials of maximal degree less
than or equal to $N$ in $V$ independent variables. This space is preserved by
the enveloping algebra generated by a set of linear, differential operators
representing the Lie algebra $gl(V+1)$. We establish the counterpart of this
property for the vector space $P(M,V) \oplus P(N,V)$ for any values of the
integers $M,N,V$. We show that the operators preserving $P(M,V) \oplus P(N,V)$
generate an abstract superalgebra (non linear if $\Delta=\mid M-N\mid\geq 2$).
A family of algebras is also constructed, extending this particular algebra by
$\Delta -1$ arbitrary complex parameters.
","[{""version"":""v1"",""created"":""Mon, 13 Jan 1997 13:36:19 GMT""}]","2009-10-30"
