"alg-geom/9701017","Carlo Gasbarri","Carlo Gasbarri","Heights and Geometric Invariant Theory","17 pages AMS-TeX",,,,"alg-geom math.AG",,"  Let $K$ be a number field, $\OK$ be its ring of integers. We introduce the
notion of compactified representation of $GL_N(\OK)$ and, we see how to
associate to a hermitian vector bundle $\E$ over $\Spec(\OK)$ and a
compactified representation $\T$, a hermitian tensor bundle $\E_T$. We can
prove then that there exists a lower bound for the heights of points
$x\in\P(\E_T)$ with $SL_N(K)$--semistable generic fibre in terms of the degree
of $\E$ and some universal constants depending only on the compactified
representation. We give then three applications: a universal lower bound for
general flag varieties, an application to the adjoint representation of
$SL_N(K)$ and a construction of a height on the moduli space of semistable
vector bundles over algebraic curves.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 11:21:28 GMT""}]","2008-02-03"
"cond-mat/9701201","Lidar dani","D.A. Lidar (Hamburger), O. Malcai, O. Biham, D. Avnir (Hebrew
  University of Jerusalem, Israel)","Randomness and Apparent Fractality","13 pages, 9 figures included. More info available at
  http://www.fh.huji.ac.il/~dani/","Fractals and Chaos in Chemical Engineering"", World Scientific,
  Singapore (1996)",,,"cond-mat adap-org nlin.AO",,"  We show that when the standard techniques for calculating fractal dimensions
in empirical data (such as the box counting) are applied on uniformly random
structures, apparent fractal behavior is observed in a range between physically
relevant cutoffs. This range, spanning between one and two decades for
densities of 0.1 and lower, is in good agreement with the typical range
observed in experiments. The dimensions are not universal and depend on
density. Our observations are applicable to spatial, temporal and spectral
random structures, all with non-zero measure. Fat fractal analysis does not
seem to add information over routine fractal analysis procedures. Most
significantly, we find that this apparent fractal behavior is robust even to
the presence of moderate correlations. We thus propose that apparent fractal
behavior observed experimentally over a limited range in some systems, may
often have its origin in underlying randomness.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 18:56:30 GMT""}]","2008-02-03"
"cond-mat/9701202","Bruce Normand","B. Normand and T. M. Rice","Dynamical Properties of an Antiferromagnet near the Quantum Critical
  Point: Application to LaCuO_2.5","29 pages in RevTeX preprint format, 10 figures included. Figure 11
  (930kB compressed) available on the WWW at
  http://itp.ethz.ch/Preprints/Normand","Phys. Rev. B 56, 8760 (1997).","10.1103/PhysRevB.56.8760",,"cond-mat.str-el",,"  For a system of two-chain spin ladders, the ground state for weak interladder
coupling is the spin-liquid state of the isolated ladder, but is an ordered
antiferromagnet (AF) for sufficiently large interactions. We generalize the
bond-operator mean-field theory to describe both regimes, and to focus on the
transition between them. In the AF phase near the quantum critical point (QCP)
we find both spin waves and a low-lying but massive amplitude mode which is
absent in a conventional AF. The static susceptibility has the form $\chi(T) =
\chi_0 + a T^2$, with $\chi_0$ small for a system near criticality. We consider
the dynamical properties to examine novel features due to the presence of the
amplitude mode, and compute the dynamic structure factor. LaCuO$_{2.5}$ is
thought to be such an unconventional AF, whose ordered phase is located very
close to the QCP of the transition to the spin liquid. From the N\'eel
temperature we deduce the interladder coupling, the small ordered moment and
the gap in the amplitude mode. The dynamical properties unique to near-critical
AFs are expected to be observable in LaCuO$_{2.5}$.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 17:49:34 GMT""}]","2009-10-30"
"cond-mat/9701203","Chris Wolverton","C. Wolverton and Alex Zunger (National Renewable Energy Laboratory)","Ni-Au: A testing ground for theories of phase stability","29 pages, ReVTeX preprint format, 7 postscript figures (2 in color),
  to be published in Computational Materials Science","Comp. Mat. Sci. 8, 107 (1997).",,,"cond-mat.mtrl-sci",,"  The theory of phase stability in the Ni-Au alloy system is a popular topic
due to the large size mismatch between Ni and Au, which makes the effects of
atomic relaxation critical, and also the fact that Ni-Au exhibits a phase
separation tendency at low temperatures, but measurements at high-temperature
show an ordering-type short-range order. We have clarified the wide disparity
which exists in the previously calculated values of mixing energies and
thermodynamic properties by computing ``state-of-the-art'' energetics
(full-potential, fully-relaxed LDA total energies) combined with
``state-of-the-art'' statistics (k-space cluster expansion with Monte Carlo
simulations) for the Ni-Au system. We find: (i) LDA provides accurate mixing
energies of disordered Ni_{1-x}Au_x alloys (\Delta H_{mix} < +100 meV/atom)
provided that both atomic relaxation (a ~100 meV/atom effect) and short-range
order (~25 meV/atom) are taken into account properly. (ii) Previous studies
using empirical potentials or approximated LDA methods often underestimate the
formation energy of ordered compounds, and hence also underestimate the mixing
energy of random alloys. (iii) Measured values of the total entropy of mixing
combined with calculated values of the configurational entropy demonstrate that
the non-configurational entropy in Ni-Au is large, and leads to a significant
reduction in miscibillity gap temperature. (iv) The calculated short-range
order agrees well with measurements, and both predict ordering in the
disordered phase. (v) Consequently, using inverse Monte Carlo to extract
interaction energies from the measured/calculated short-range order in Ni-Au
would result in interactions which would produce ordering-type mixing energies,
in contradiction with both experimental measurements and precise LDA energies.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 21:25:35 GMT""}]","2009-09-25"
"cond-mat/9701204","Mark van Rossum","M. C. W. van Rossum, Igor V. Lerner, Boris L. Altshuler, Th. M.
  Nieuwenhuizen","Deviations from the Gaussian distribution of mesoscopic conductance
  fluctuations","9 pages, Revtex, with eps figures,to appear in Phys Rev B",,"10.1103/PhysRevB.55.4710",,"cond-mat.mes-hall",,"  The conductance distribution of metallic mesoscopic systems is considered.
The variance of this distribution describes the universal conductance
fluctuations, yielding a Gaussian distribution of the conductance. We calculate
diagrammatically the third cumulant of this distribution, the leading deviation
from the Gaussian. We confirm random matrix theory calculations that the
leading contribution in quasi-one dimension vanishes. However, in quasi two
dimensions the third cumulant is negative, whereas in three dimensions it is
positive.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 20:29:25 GMT""}]","2009-10-30"
"cond-mat/9701205","Augusto Gonzalez Garcia","Augusto Gonzalez, Ilia Mikhailov","Renormalised perturbative series for the impurity levels in a quantum
  well","11 pages. LaTeX. 3 figures not included","Int. J. Mod. Phys. B 11 (1997) 3469-77","10.1142/S0217979297001726",,"cond-mat.mes-hall",,"  The energy levels of an impurity center in a deep quantum well of width L and
depth g are studied analytically . Renormalised perturbative series are
constructed in the regions g L^ << 1 and g L^2 >> 1. Maximal binding energy and
wave function deformation to a quasi-twodimensional function are found to occur
at a certain L_c satisfying sqrt{g} L_c ~ 1. Similar results may be obtained
for the impurity in a quantum wire, in a dot or in a multiwell structure.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 23:13:56 GMT""}]","2009-10-30"
"cond-mat/9701206",,"Girish S. Setlur (Univ. of Illinois, Urbana)","Expressing Products of Fermi Fields in terms of Fermi Sea Displacements","Plain Tex, 27 pages, lots of algebra, ""all commutation rules""
  replaced by ""most commutation rules"" are recovered exactly",,,,"cond-mat.str-el",,"  An attempt is made to generalise the ideas introduced by Haldane and others
regarding Bosonizing the Fermi surface. The present attempt involves
introduction of Bose fields that correspond to displacements of the Fermi sea
rather than just the Fermi surface. This enables the study of short wavelength
fluctuations of the Fermi surface and hence the dispersion of single particle
excitations with high energy. The number conserving product of two Fermi fields
is represented as a simple combination of these Bose fields. It is shown that
most(!) commutation rules involving these number conserving products are
reproduced exactly, as are the dynamical correlation functions of the free
theory. Also the work of Sharp, Menikoff and Goldin has shown that the field
operator may be viewed as a unitary representation of the current algebra. An
explicit realisation of this unitary representation is given in terms of
canonical conjugate of the density operator.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 01:42:25 GMT""},{""version"":""v2"",""created"":""Sat, 14 Jun 1997 23:11:08 GMT""}]","2008-02-03"
"cond-mat/9701207","Ruihong Yue","Ruihong Yue and Tetsuo Deguchi","Diagonalization of 2-D inhomogeneous model related to the Hubbard model","8 pages, Latex, no figure, to appear in the proceedings of the
  workshop on the infinite analysis and integrable model at RIMS, Japan",,,"OCHA-PP-88","cond-mat.stat-mech",,"  We found the eigenvalues of the transfer matrix for the 2-D inhomogeneous
statistical model with twisted boundary condition by using the analytic Bethe
Ansatz method. In the uniform case, the derived hamiltonian generalizes the 1-D
Hubbard model with the twisted boundary. We also give the energy spectra for
the derived hamiltonian.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 09:27:02 GMT""}]","2008-02-03"
"cond-mat/9701208","Juergen Roehler","J. R\""ohler (1 and 2), P. W. Loeffen (2), S. M\""ullender (2), K.
  Conder (3), E. Kaldis (3) ((1) U K\""oln, (2) ESRF, (3) ETH Z\""urich)","Local structure studies of the underdoped-overdoped transition in
  YBa_2Cu_3O_x. Measurement of the yttrium y-ray absorption fine structure","33 pages, 20 figures (GIF format). Kluwer macro included. To be
  published in the NATO ASI Series. ""Materials Aspects of High-T_c
  Superconductivity: 10 Years After the Discovery"" (Kluwer, Dordrecht)",,,,"cond-mat.supr-con",,"  We have measured the extended x-ray absorption-fine-structure (EXAFS) at the
Y-K edge of YBa_2Cu_3O_x for x=6.801, 6.947, 6.968, 6.984 at T=20-300 K. Across
the underdoped-overdoped transition the Y-Cu2 pairs exhibit harmonic vibrations
which freeze out in the superconducting phase, whereas the Y-O2,3 pairs exhibit
strong anharmonicities with a singularity at T_c. In the underdoped regime the
average spacing O2,3-Cu2 increases with x due to displacements of Cu2 towards
Ba, but the average position of O2,3 along c is almost unaffected. Optimum
doping is a notable point in the x-T phase diagram, also concerning the lattice
degrees of freedom. Here the O2,3-Cu2 spacing (buckling) is largest, and in the
superconducting phase the Cu2 position along the c-axis is independent on
temperature. In the overdoped regime increasing x displaces the Cu2 along c
further towards Ba, but the O2,3 layer starts to shift in the same direction,
thus decreasing the O2,3-Cu2 spacing.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 13:53:47 GMT""}]","2008-02-03"
"funct-an/9701011","Marc A. Rieffel","Marc A. Rieffel","On the operator algebra for the space-time uncertainty relations","9 pages AmsTEX. Submitted to the Proceedings of the Rome Conference
  on Operator Algebras and Quantum Field Theory, 1996","Operator algebras and quantum field theory (Rome, 1996), 374--382,
  Internat. Press, Cambridge, MA, 1997.",,,"funct-an math.OA",,"  The purpose of this note is to show that the construction of the C*-algebra
for the space-time uncertainty relations which was introduced by Doplicher,
Fredenhagen and Roberts fits comfortably into the strict deformation
quantization construction introduced earlier by the author.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 00:24:41 GMT""}]","2008-02-03"
"gr-qc/9701060","Gerard Clement","Gerard Clement","Flat wormholes from straight cosmic strings","latex file, 22 pages, 10 latex (bezier) figures","J.Math.Phys. 38 (1997) 5807-5819","10.1063/1.532167","GCR-97/02/01","gr-qc",,"  We describe the analytical extension of certain static cylindrical
multi--cosmic string metrics to wormhole spacetimes with only one region at
spatial infinity, and investigate in detail the geometry of asymptotically
Minkowskian wormhole spacetimes generated by one or two cosmic strings. We find
that such wormholes tend to lengthen rather than shorten space travel. Possible
signatures of these wormholes are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:37:20 GMT""}]","2009-10-30"
"gr-qc/9701061","Ali Mostafazadeh","Ali Mostafazadeh","Exact Semiclassical Evolutions in Relativistic and Nonrelativistic
  Scalar Quantum Mechanics and Quantum Cosmology","Few minor corrections","Nucl.Phys. B509 (1998) 529-555","10.1016/S0550-3213(97)00617-2","University of Alberta preprint no: Thy -97","gr-qc hep-th quant-ph",,"  The necessary and sufficient conditions for the exactness of the
semiclassical approximation for the solution of the Schr\""odinger and
Klein-Gordon equations are obtained. It is shown that the existence of an exact
semiclassical solution of the Schr\""odinger equation determines both the
semiclassical wave function and the interaction potential uniquely up to the
choice of the boundary conditions. This result also holds for the Klein-Gordon
equation. Its implications for the solution of the Wheeler-DeWitt equation for
the FRW scalar field minisuperspace models are discussed. In particular, exact
semiclassical solutions of the Wheeler-DeWitt equation for the case of massless
scalar field and exponential matter potentials are constructed. The existence
of exact semiclassical solutions for polynomial matter potentials of the form
$\lambda\phi^{2p}$ is also analyzed. It is shown that for p=1, 2 and 3,
right-going semiclassical solutions do not exist. A generalized semiclassical
perturbation expansion is also developed which is quite different from the
traditional $\hbar$ and $M_p^{-1}$-expansions.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 19:58:29 GMT""},{""version"":""v2"",""created"":""Fri, 31 Jan 1997 20:22:49 GMT""},{""version"":""v3"",""created"":""Tue, 24 Jun 1997 20:14:23 GMT""}]","2009-10-30"
"hep-ex/9701016","Joey Thompson","Alan Bross (1), Ana Lucia Chaves (2), Jesse Costa (2), Marvin Johnson
  (1), Lourival Moreira (2), Joey Thompson (3) ((1) Fermi National Accelerator
  Laboratory, (2) LAFEX/CEFET-EN, (3) University of Maryland)","Time Resolution and Linearity Measurements for a Scintillating Fiber
  Detector Instrumented with VLPC's","18 pages, 14 figures; Submitted to Nucl. Instr & Meth. in Phys. Res.
  A; Please direct correspondence to joey@fnal.gov","Nucl.Instrum.Meth. A394 (1997) 87-96","10.1016/S0168-9002(97)00665-7","FERMILAB-Pub-97/015","hep-ex",,"  The time resolution for a charged particle detection is reported for a
typical scintillating fiber detector instrumented with Rockwell HISTE-IV
Visible Light Photon Counters. The resolution measurements are shown to agree
with a simple Monte Carlo model, and the model is used to make recomendations
for improved performance. In addition, the gain linearity of a sample of VLPC
devices was measured. The gain is shown to be linear for incident light
intensities which produce up to approximately 600 photoelectrons per event.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 16:39:10 GMT""}]","2009-10-30"
"hep-ex/9701017","William Seligman","CCFR Collaboration: W. Seligman, et al","An Improved Determination of $\alpha_{S}$ From Neutrino-Nucleon
  Scattering","6 pages, RevTeX, Submitted to Phys. Rev. Lett","Phys.Rev.Lett.79:1213-1216,1997","10.1103/PhysRevLett.79.1213","Nevis Report 1531","hep-ex",,"  We present an improved determination of the proton structure functions
$F_{2}$ and $xF_{3}$ from the CCFR $\nu $-Fe deep inelastic scattering (DIS)
experiment. Comparisons to high-statistics charged-lepton scattering results
for $F_{2}$ from the NMC, E665, SLAC, and BCDMS experiments, after correcting
for quark-charge and heavy-target effects, indicate good agreement for $x>0.1$
but some discrepancy at lower x. The $Q^{2}$ evolution of the structure
functions yields the quantum chromodynamics (QCD) scale parameter
$\Lambda_{\bar{MS}}^{NLO,(4)}=337 \pm 28$(exp.) MeV. This corresponds to a
value of the strong coupling constant at the scale of mass of the Z-boson of
$\alpha _{S}(M_{Z}^{2})=0.119 \pm 0.002 (exp.) \pm 0.004 (theory)$ and is one
of the most precise measurements of this quantity.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 22:43:32 GMT""},{""version"":""v2"",""created"":""Mon, 12 May 1997 19:46:17 GMT""},{""version"":""v3"",""created"":""Mon, 16 Jun 1997 19:56:12 GMT""},{""version"":""v4"",""created"":""Tue, 1 Jul 1997 00:33:59 GMT""}]","2008-11-26"
"hep-ex/9701018","Stefan Soldner-Rembold","M. Rogalla, Th. Eich, N. Evans, R. Geppert, R. Goeppert, R. Irsigler,
  J. Ludwig, K. Runge, Th. Schmid, D.G. Marder (Freiburg)","Analysis of Trapping and Detrapping in Semi-Insulating GaAs Detectors","13 pages, 6 Postscript figures, uses elsart.cls","Nucl.Instrum.Meth. A395 (1997) 49-53","10.1016/S0168-9002(97)00632-3","FREIBURG-EHEP-97-02","hep-ex",,"  To investigate the trapping and detrapping in SI-GaAs particle detectors we
analyzed the signals caused by 5.48 MeV alpha particles with a charge sensitive
preamplifier. From the bias and temperature dependence of these signals we
determine the activation energies of two electron traps. Additional simulation
and measurements of the lifetime as a function of resistivity have shown that
the EL2+ is the dominant electron trap in semi-insulating GaAs.
","[{""version"":""v1"",""created"":""Wed, 29 Jan 1997 10:59:11 GMT""}]","2009-10-30"
