"alg-geom/9701016","Alexander Givental","Alexander Givental (UC Berkeley)","A mirror theorem for toric complete intersections","38 pages, LaTeX",,,,"alg-geom math.AG",,"  We prove a generalized mirror conjecture for non-negative complete
intersections in symplectic toric manifolds. Namely, we express solutions of
the PDE system describing quantum cohomology of such a manifold in terms of
suitable hypergeometric functions. Revision 03.03.97: we correct an error in
Introduction.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 22:40:35 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 1997 23:37:37 GMT""}]","2008-02-03"
"cond-mat/9701198","Ruggero Vaia","Alessandro Cuccoli, Andrea Rossi, Valerio Tognetti, Ruggero Vaia","Thermodynamics of dissipative quantum systems by effective potential","4 pages, 3 figures included by psfig (minor corrections in revised
  version)","Phys. Rev. E 55, R4849 (1997)","10.1103/PhysRevE.55.R4849",,"cond-mat.stat-mech",,"  Classical-like formulas are given in order to evaluate thermal averages of
observables belonging to a quantum nonlinear system with dissipation described
by the Caldeira-Leggett model [Phys. Rev. Lett. 46, 211 (1981); Ann. Phys.
(N.Y.) 149, 374 (1983)]. The underlying scheme is the pure-quantum
self-consistent harmonic approximation, which leads to expressions with a
Boltzmann factor involving an effective potential and with a Gaussian average.
The latter describes the effect of the fluctuations of purely quantum origin.
As an illustration we calculate the coordinate probability distribution for a
double-well potential in the presence of various degrees of Ohmic dissipation.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 11:48:55 GMT""},{""version"":""v2"",""created"":""Wed, 19 Mar 1997 11:29:14 GMT""},{""version"":""v3"",""created"":""Wed, 6 Aug 1997 13:43:28 GMT""}]","2009-10-30"
"cond-mat/9701199","Ruggero Vaia","Alessandro Cuccoli, Alessandro Macchi, Gaia Pedrolli, Valerio
  Tognetti, Ruggero Vaia","Kinetic energy of solid neon by Monte Carlo with improved Trotter- and
  finite-size extrapolation","Text and figures revised for minor corrections (4 pages, 3 figures
  included by psfig)","Phys. Rev. B 56, 51 (1997)","10.1103/PhysRevB.56.51",,"cond-mat.stat-mech",,"  The kinetic energy of solid neon is calculated by a path-integral Monte Carlo
approach with a refined Trotter- and finite-size extrapolation. These accurate
data present significant quantum effects up to temperature T=20 K. They confirm
previous simulations and are consistent with recent experiments.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 12:02:39 GMT""},{""version"":""v2"",""created"":""Tue, 11 Mar 1997 14:27:12 GMT""},{""version"":""v3"",""created"":""Wed, 6 Aug 1997 13:14:42 GMT""}]","2009-10-30"
"cond-mat/9701200","Holger Frahm","Holger Frahm and John Schliemann","Variational states for the spin-Peierls system","RevTeX+epsf macros, 24 pp. incl. figures, some references added","Phys. Rev. B56 (1997) 5359-5365","10.1103/PhysRevB.56.5359","ITP-UH-1/97","cond-mat.stat-mech",,"  We introduce a family of Jastrow pair product states for quasi
one-dimensional spin systems. Depending on a parameter they interpolate between
the resonating valence bond ground state of the Haldane-Shastry model
describing a spin liquid and the (dimerized) valence bond solid ground states
of the Majumdar-Ghosh spin chain. These states are found to form an excellent
basis for variational studies of Heisenberg chains with next nearest neighbour
interaction and bond alternation as realized in the spin-Peierls system
CuGeO_3.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 12:44:57 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 1997 13:48:03 GMT""}]","2009-10-30"
"dg-ga/9701011","Yi Hu","Yi Hu","Moduli Spaces of Stable Polygons and Symplectic Structures on
  $\bar{M}_{0,n}$","Enlarged version, 7 figures added. 35 pages. To appear in Compositio
  Mathematica",,,,"dg-ga alg-geom math.AG math.DG",,"  In this paper, certain natural and elementary polygonal objects in Euclidean
space, {\it the stable polygons}, are introduced, and the novel moduli spaces
${\bfmit M}_{{\bf r}, \epsilon}$ of stable polygons are constructed as complex
analytic spaces. Quite unexpectedly, these new moduli spaces are shown to be
projective and isomorphic to the moduli space $\bar{\cM}_{0,n}$ of the
Deligne-Mumford stable curves of genus 0. Further, built into the structures of
stable polygons are some natural data leading toward to a family of (classes
of) symplectic (K\""ahler) forms. To some degree, ${\bfmit M}_{{\bf r},
\epsilon}$ may be considered as symplectic counterparts of $\bar{\cM}_{0,n}$
and Kapranov's Chow quotient construction of $\bar{\cM}_{0,n}$. All these
together brings up a new tool to study the K\""ahler topology of
$\bar{\cM}_{0,n}$.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 22:46:22 GMT""},{""version"":""v2"",""created"":""Fri, 28 Aug 1998 21:09:20 GMT""}]","2008-02-03"
"gr-qc/9701057","Leo Brewin","Leo Brewin","Riemann Normal Coordinates, Smooth Lattices and Numerical Relativity","49 pages, 18 epsf figures, plain tex","Class.Quant.Grav. 15 (1998) 3085-3120","10.1088/0264-9381/15/10/014",,"gr-qc",,"  A new lattice based scheme for numerical relativity will be presented. The
scheme uses the same data as would be used in the Regge calculus (eg. a set of
leg lengths on a simplicial lattice) but it differs significantly in the way
that the field equations are computed. In the new method the standard Einstein
field equations are applied directly to the lattice. This is done by using
locally defined Riemann normal coordinates to interpolate a smooth metric over
local groups of cells of the lattice. Results for the time symmetric initial
data for the Schwarzschild spacetime will be presented. It will be shown that
the scheme yields second order accurate estimates (in the lattice spacing) for
the metric and the curvature. It will also be shown that the Bianchi identities
play an essential role in the construction of the Schwarzschild initial data.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 08:00:24 GMT""}]","2009-10-30"
"gr-qc/9701058","Ichiro Oda","Ichiro Oda","Mass Inflation in Quantum Gravity","18 pages, phyzzx",,,"EDO-EP-8","gr-qc",,"  Using the canonical formalism for spherically symmetric black hole inside the
apparent horizon we investigate the mass inflation in the
Reissner-Nordstr$\ddot o$m black hole in the framework of quantum gravity. It
is shown that like in classical gravity the combination of the effects of the
influx coming from the past null infinity and the outflux backscattered by the
black hole's curvature causes the mass inflation even in quantum gravity. The
results indicate that the effects of quantum gravity neither alter the
classical picture of the mass inflation nor prevent the formation of the mass
inflation singularity.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:11:01 GMT""}]","2007-05-23"
"gr-qc/9701059","Shin'ji Mukouyama","Shinji Mukohyama, Masafumi Seriu and Hideo Kodama","Can the entanglement entropy be the origin of black-hole entropy ?","40 pages, Latex file, one figure","Phys.Rev. D55 (1997) 7666-7679","10.1103/PhysRevD.55.7666","YITP-96-36","gr-qc",,"  Entanglement entropy is often speculated as a strong candidate for the origin
of the black-hole entropy. To judge whether this speculation is true or not, it
is effective to investigate the whole structure of thermodynamics obtained from
the entanglement entropy, rather than just to examine the apparent structure of
the entropy alone or to compare it with that of the black hole entropy. It is
because entropy acquires a physical significance only when it is related to the
energy and the temperature of a system. From this point of view, we construct a
`thermodynamics of entanglement' by introducing an entanglement energy and
compare it with the black-hole thermodynamics. We consider two possible
definitions of entanglement energy. Then we construct two different kinds of
thermodynamics by combining each of these different definitions of entanglement
energy with the entanglement entropy. We find that both of these two kinds of
thermodynamics show significant differences from the black-hole thermodynamics
if no gravitational effects are taken into account. These differences are in
particular highlighted in the context of the third law of thermodynamics.
Finally we see how inclusion of gravity alter the thermodynamics of the
entanglement. We give a suggestive argument that the thermodynamics of the
entanglement behaves like the black-hole thermodynamics if the gravitational
effects are included properly. Thus the entanglement entropy passes a
non-trivial check to be the origin of the black-hole entropy.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 10:25:32 GMT""},{""version"":""v2"",""created"":""Thu, 30 Jan 1997 09:20:02 GMT""},{""version"":""v3"",""created"":""Wed, 26 Feb 1997 04:49:27 GMT""},{""version"":""v4"",""created"":""Sat, 15 Mar 1997 01:21:50 GMT""}]","2009-10-30"
"hep-ex/9701015","Garry Levman","The ZEUS FNC Group: S. Bhadra, I. Bohnet, M. Cardy, U. Dosselli, C.-P.
  Fagerstroem, W. Frisken, K. Furutani, D. Hanna, U. Holm, K. F. Johnson, M.
  Khakzad, G. Levman, J. N. Lim, B. Loehr, J. F. Martin, C. Muhl, T. Neumann,
  M. Rohde, W. B. Schmidke, D. G. Stairs, H. Tiecke, C. Voci","Design and Test of a Forward Neutron Calorimeter for the ZEUS Experiment","45 pages, 22 Encapsulated Postscript figures, submitted to Nuclear
  Instruments and Methods","Nucl.Instrum.Meth.A394:121-135,1997","10.1016/S0168-9002(97)00647-5","DESY 97-006","hep-ex",,"  A lead scintillator sandwich sampling calorimeter has been installed in the
HERA tunnel 105.6 m from the central ZEUS detector in the proton beam
direction. It is designed to measure the energy and scattering angle of
neutrons produced in charge exchange ep collisions. Before installation the
calorimeter was tested and calibrated in the H6 beam at CERN where 120 GeV
electrons, muons, pions and protons were made incident on the calorimeter. In
addition, the spectrum of fast neutrons from charge exchange proton-lucite
collisions was measured. The design and construction of the calorimeter is
described, and the results of the CERN test reported. Special attention is paid
to the measurement of shower position, shower width, and the separation of
electromagnetic showers from hadronic showers. The overall energy scale as
determined from the energy spectrum of charge exchange neutrons is compared to
that obtained from direct beam hadrons.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 23:10:56 GMT""}]","2008-11-26"
"hep-ph/9701388","Patrick O'Donnell","N. B. Demchuk, P. Yu. Kulikov, I. M. Narodetskii (ITEP, Moscow) and
  Patrick J. O'Donnell (Toronto)","The Light-Front Model for Exclusive Semileptonic B- and D-decays","27 pages, Latex, with 9 postscript figures; some different references
  and numbers in table 5. Thanks to P. Ball for comments","Phys.Atom.Nucl. 60 (1997) 1292-1304; Yad.Fiz. 60N8 (1997)
  1429-1441",,"UTPT-97-1","hep-ph",,"  An explicit relativistic light-front quark model is presented which gives the
momentum transfer dependent form factors of weak hadronic currents among heavy
pseudoscalar and vector mesons in the whole accessible kinematic region $ 0\leq
q^2 \leq q^2_{max} $. For the numerical investigations of the $ B \to D^* l
\nu_l $, $ B \to \rho l \nu_l $, $ D\to K^* l \nu_l $ and $ D \to \rho l \nu_l
$ semileptonic decays the equal time wave functions corresponding to the
updated version of the ISGW model are adopted. Using the available experimental
information on branching fractions $ BR(B \to D^* l \nu_l) $ and $ BR(B \to
\rho l \nu_l) $ the CKM parameters $ V_{cb} $ and $ V_{ub} $ were estimated: $
|V_{cb}| = 0.036 \pm 0.004 $, $ |V_{ub}| = 0.0033 \pm 0.0004 $. The model is
further tested by comparison with experimental data, QCD sum rules and lattice
calculations.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 16:06:10 GMT""},{""version"":""v2"",""created"":""Wed, 12 Feb 1997 15:19:41 GMT""}]","2008-02-03"
"hep-ph/9701389",,"Torben Hannah","The Inverse Amplitude Method and Chiral Perturbation Theory to two Loops","27 pages, 10 figs, uses REVTeX and epsfig.sty, to appear in Phys.
  Rev. D","Phys.Rev.D55:5613-5626,1997","10.1103/PhysRevD.55.5613","IFA-97/04","hep-ph",,"  The inverse amplitude method is analysed to two-loop order in the chiral
expansion in the case of $\pi\pi$ scattering and the pion form factors. The
analysis is mainly restricted to the elastic approximation but the possible
extension to the inelastic case is also discussed in some detail. It is shown
how the two-loop approach improves the inverse amplitude method applied to
one-loop order in the chiral expansion. For both $\pi\pi$ scattering and the
pion form factors, it is in fact found that the inverse amplitude method to
two-loop order agrees remarkable well with the experimental data up to energies
where inelasticities become essential. At somewhat lower energies, the two-loop
approach compares well with the one-loop approximation, and in the threshold
region they both agree with chiral perturbation theory. This suggests that the
inverse amplitude method is indeed a rather systematic way of improving chiral
perturbation theory order by order in the chiral expansion.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 18:08:50 GMT""}]","2014-11-17"
"hep-ph/9701390","Timo van Ritbergen","T. van Ritbergen, J.A.M. Vermaseren, S.A. Larin","The four-loop beta-function in Quantum Chromodynamics","9 pages, Latex, 1 figure, uses axodraw.sty","Phys.Lett.B400:379-384,1997","10.1016/S0370-2693(97)00370-5","UM-TH-97-01, NIKHEF-97-001","hep-ph",,"  We present the analytical calculation of the four-loop QCD beta-function
within the minimal subtraction scheme.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 19:39:05 GMT""}]","2008-11-26"
"hep-ph/9701391","Carl Carlson","Carl E. Carlson (William and Mary)","The Future of Mr. Jefferson's Laboratory (nee CEBAF)","12 pages, LaTeX, Talk presented at the Second ELFE Workshop on
  Hadronic Physics","Nucl.Phys. A622 (1997) 66c-77c","10.1016/S0375-9474(97)00333-3","WM-97-101","hep-ph",,"  We present one viewpoint plus some general information on the plans for
energy upgrades and physics research at the Jefferson Laboratory.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 19:43:11 GMT""}]","2009-10-30"
"hep-ph/9701392",,"J.A. Coarasa, Ricardo A. Jimenez, Joan Sola","The tan(beta) - M_H^\pm bound from inclusive semi-tauonic B-decays in
  the MSSM","15 pages, LaTeX, 1 table and 3 figs included as a separate file, full
  postscript version avaliable at ftp://ftp.ifae.es/preprint/ft/uabft407.ps .
  New comments and references added. Accepted version in Phys. Lett. B","Phys.Lett.B406:337-346,1997","10.1016/S0370-2693(97)00690-4","UAB-FT-407","hep-ph",,"  We compute the O(alpha_s) SUSY-QCD corrections to the W and charged Higgs
mediated inclusive semi-tauonic B-decay, B->tau antineutrino_tau X. Combining
the SUSY contribution with the SM result obtained from the heavy quark
effective field theory, plus ordinary QCD corrections, we find that the allowed
region in the (tan(beta),M_H^\pm)-plane could be significantly modified by the
short-distance supersymmetric effects. Since the sensitivity to the SUSY
parameters other than mu (the higgsino mixing mass) is rather low, the
following effective bound emerges for mu<0 at the 2 sigma level: tan(beta)~<
0.43 (M_H^\pm/GeV). Remarkably, for mu>0 there could be no bound at all.
Finally, we provide a combined (tan(beta,M_H^\pm) exclusion plot using our
B-meson results together with the recent data from top quark decays.
","[{""version"":""v1"",""created"":""Mon, 27 Jan 1997 23:29:09 GMT""},{""version"":""v2"",""created"":""Fri, 7 Feb 1997 10:26:04 GMT""},{""version"":""v3"",""created"":""Wed, 28 May 1997 12:29:55 GMT""},{""version"":""v4"",""created"":""Thu, 29 May 1997 20:13:53 GMT""}]","2008-11-26"
"hep-ph/9701393","Peter Arnold","Peter Arnold","Hot B violation, the lattice, and hard thermal loops","43 pages, Latex, uses revtex, epsf macro packages","Phys.Rev.D55:7781-7796,1997","10.1103/PhysRevD.55.7781","UW/PT-97-2","hep-ph hep-lat",,"  It has recently been argued that the rate per unit volume of baryon number
violation (topological transitions) in the hot, symmetric phase of electroweak
theory is of the form $\eta \alpha_w^5 T^4$ in the weak-coupling limit, where
$\eta$ is a non-perturbative numerical coefficient. Over the past several
years, there have been attempts to extract the rate of baryon number violation
from real-time simulations of classical thermal field theory on a spatial
lattice. Unfortunately, the coefficient $\eta$ will not be the same for
classical lattice theories and the real quantum theory. However, by analyzing
the appropriate effective theory on the lattice using the method of hard
thermal loops, I show that the only obstruction to precisely relating the rates
in the real and lattice theories is the fact that the long-distance physics on
the lattice is not rotationally invariant. (This is unlike Euclidean-time
measurements, where rotational invariance is always recovered in the continuum
limit.) I then propose how this violation of rotational invariance can be
eliminated - and the real B violation rate measured - by choosing an
appropriate lattice Hamiltonian. I also propose a rough measure of the
systematic error to be expected from using simpler, unimproved Hamiltonians. As
a byproduct of my investigation, the plasma frequency and Debye mass are
computed for classical thermal field theory on the lattice.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 02:15:10 GMT""}]","2016-09-06"
"hep-ph/9701394","Tsutomu Yanagida","T.Yanagida","A Solution to the $\mu$ Problem in Gauge-mediated Supersymmetry-breaking
  Models","Latex file","Phys.Lett. B400 (1997) 109-111","10.1016/S0370-2693(97)00313-4",,"hep-ph",,"  We point out that a sector required to set the cosmological constant to zero
in gauge-mediated supersymmetry-breaking models naturally produces a
supersymmetry-invariant mass ($\mu$ term) for Higgs doublets of the order of
the electroweak scale. Since this new sector preserves the supersymmetry, it
does not generate supersymmetry-breaking masses for the Higgs doublets and thus
the $\mu$ problem is solved.
","[{""version"":""v1"",""created"":""Tue, 28 Jan 1997 07:29:09 GMT""}]","2009-10-30"
