"alg-geom/9701011","Viacheslav V. Nikulin","Viacheslav V. Nikulin","K3 surfaces with interesting groups of automorphisms","AMS-Tex, 23 pages, no figures. Significantly extended variant
  prepared for publication",,,,"alg-geom hep-th math.AG math.QA q-alg",,"  By the fundamental result of I.I. Piatetsky-Shapiro and I.R. Shafarevich
(1971), the automorphism group Aut(X) of a K3 surface X over C and its action
on the Picard lattice S_X are prescribed by the Picard lattice S_X. We use this
result and our method (1980) to show finiteness of the set of Picard lattices
S_X of rank $\ge 3$ such that the automorphism group Aut(X) of the K3 surface X
has a non-trivial invariant sublattice S_0 in S_X where the group Aut(X) acts
as a finite group. For hyperbolic and parabolic lattices S_0 it has been proved
by the author before (1980, 1995). Thus we extend this results to negative
sublattices S_0.
  We give several examples of Picard lattices S_X with parabolic and negative
S_0. We also formulate the corresponding finiteness result for reflective
hyperbolic lattices of hyperbolic type over purely real algebraic number
fields.
  These results are important for the theory of Lorentzian Kac--Moody algebras
and Mirror Symmetry.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:37:15 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 1997 05:58:30 GMT""}]","2008-02-03"
"cond-mat/9701177","Sharad Ramanathan","Sharad Ramanathan, Daniel S. Fisher","Dynamics and Instabilities of Planar Tensile Cracks in Heterogeneous
  Media","12 pages",,"10.1103/PhysRevLett.79.877",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The dynamics of tensile crack fronts restricted to advance in a plane are
studied. In an ideal linear elastic medium, a propagating mode along the crack
front with a velocity slightly less than the Rayleigh wave velocity, is found
to exist. But the dependence of the effective fracture toughness $\Gamma(v)$ on
the crack velocity is shown to destabilize the crack front if
$(d\Gamma)/(dv)<0$. Short wavelength radiation due to weak random
heterogeneities leads to this instability at low velocities. The implications
of these results for the crack dynamics are discussed.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 18:41:50 GMT""}]","2009-10-30"
"cond-mat/9701178","K. Tevosyan","Kahren Tevosyan and A. H. MacDonald","Virial Expansions, Exclusion Statistics, and the Fractional Quantum Hall
  Effect","12 pages, RevTex, 2 tables and 8 figures included in text",,"10.1103/PhysRevB.56.7517","IUCM97-007","cond-mat.mes-hall",,"  We report on a study of virial expansions for interacting electrons in the
lowest Landau level of a two-dimensional electron gas. For hard-core-model
interactions, we derive analytic results valid at low temperatures and filling
factors smaller than 1/3 and comment on their relationship with virial
expansions for exclusion statistics models. In the high temperature limit the
virial coefficients reduce to those for a non-interacting electron system. For
the first five virial coefficients, the crossover between low and high
temperature limits has been studied numerically by using partition functions
obtained from small system exact diagonalization calculations. Our results show
that the exclusion statistics description of fractional Hall thermodynamics
breaks down when the temperature exceeds a small fraction of the gap
temperature.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 20:36:09 GMT""}]","2009-10-30"
"cond-mat/9701179",,"Bhargavi Srinivasan and S. Ramasesha","Structural Instability in Polyacene : A Projector Quantum Monte Carlo
  Study","13 pages, 10 figures available on request",,"10.1103/PhysRevB.57.8927",,"cond-mat.str-el",,"  We have studied polyacene within the Hubbard model to explore the effect of
electron correlations on the Peierls' instability in a system marginally away
from one-dimension. We employ the projector quantum Monte Carlo method to
obtain ground state estimates of the energy and various correlation functions.
We find strong similarities between polyacene and polyacetylene which can be
rationalized from the real-space valence-bond arguments of Mazumdar and Dixit.
Electron correlations tend to enhance the Peierls' instability in polyacene.
This enhancement appears to attain a maximum at $U/t \sim 3.0$ and the maximum
shifts to larger values when the alternation parameter is increased. The system
shows no tendency to destroy the imposed bond-alternation pattern, as evidenced
by the bond-bond correlations. The cis- distortion is seen to be favoured over
the trans- distortion. The spin-spin correlations show that undistorted
polyacene is susceptible to a SDW distortion for large interaction strength.
The charge-charge correlations indicate the absence of a CDW distortion for the
parameters studied.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 08:38:12 GMT""}]","2009-10-30"
"cond-mat/9701180","Muktish Acharya","Muktish Acharyya (Dept. of Phys., IISc, Bangalore, India)","Nonequilibrium phase transition in the kinetic Ising model: Divergences
  of fluctuations and responses near the transition point","4 Pages Revtex, 4 .eps figures, To appear in Phys. Rev. E",,"10.1103/PhysRevE.56.1234",,"cond-mat",,"  The nonequilibrium dynamic phase transition, in the kinetic Ising model in
presence of an oscillating magnetic field, has been studied by Monte Carlo
simulation. The fluctuation of dynamic order parameter has been studied as a
function of temperature near the dynamic transition point. The temperature
variation of appropriately defined `susceptibility' has also been studied near
the dynamic transition point. Similarly, fluctuation of energy and
appropriately defined `specific-heat' have been studied as a function of
temperature near the dynamic transition point. In both the cases, the
fluctuations (of dynamic order parameter and energy) and the corresponding
responses diverge (as power law fashion) near the dynamic transition point with
similar critical behavior (with identical exponent values).
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 01:44:52 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 1997 06:09:34 GMT""}]","2009-10-30"
"cond-mat/9701181","Marco Roncaglia","Elisa Ercolessi, Pierbiagio Pieri, Marco Roncaglia","Phase Separation and Three-site Hopping in the 2-dimensional t-J Model","10 pages, LaTex, 3 Postscript figures","Phys. Lett. A 233, 451 (1997)","10.1016/S0375-9601(97)00464-7",,"cond-mat.str-el",,"  We study the t-J model with the inclusion of the so called three-site term
which comes out from the t/U --> 0 expansion of the Hubbard model. We find that
this singlet pair hopping term has no qualitative effect on the structure of
the pure mean field phase diagram for nonmagnetic states. In accordance with
experimental data on high-T_c materials and some numerical studies, we also
find wide regions of phase coexistence whenever the coupling J is greater than
a critical value J_c. We show that J_c varies linearly with the temperature T,
going to zero at T=0.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:40:57 GMT""},{""version"":""v2"",""created"":""Mon, 9 Jun 1997 16:23:06 GMT""}]","2009-10-30"
"cond-mat/9701182","Olivier C. Martin","Jacques Boutet de Monvel and Olivier C. Martin","Mean field and corrections for the Euclidean Minimum Matching problem","source and one figure. Submitted to PRL","Phys. Rev. Lett. 79, 167 (1997)","10.1103/PhysRevLett.79.167",,"cond-mat.dis-nn cond-mat.stat-mech",,"  Consider the length $L_{MM}^E$ of the minimum matching of N points in
d-dimensional Euclidean space. Using numerical simulations and the finite size
scaling law $< L_{MM}^E > = \beta_{MM}^E(d) N^{1-1/d}(1+A/N+... )$, we obtain
precise estimates of $\beta_{MM}^E(d)$ for $2 \le d \le 10$. We then consider
the approximation where distance correlations are neglected. This model is
solvable and gives at $d \ge 2$ an excellent ``random link'' approximation to
$\beta_{MM}^E(d)$. Incorporation of three-link correlations further improves
the accuracy, leading to a relative error of 0.4% at d=2 and 3. Finally, the
large d behavior of this expansion in link correlations is discussed.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:51:03 GMT""}]","2009-10-30"
"cond-mat/9701183","Maciej Stebelski","M. Stebelski, M. Szopa and E. Zipper","Coherence of Currents in Mesoscopic Cylinders","17 pages, Latex, 8 figures available on request, to be published in
  Z.Physik B",,"10.1007/s002570050338",,"cond-mat.mes-hall",,"  The persistent currents driven by the pure Aharonov-Bohm type magnetic field
in mesoscopic normal metal or semiconducting cylinders are studied. A
two-dimensional (2D) Fermi surfaces are characterized by four parameters.
Several conditions for the coherence and enhancement of currents are discussed.
These results are then generalized to a three-dimensional (3D) thin-walled
cylinder to show that under certain geometric conditions on the Fermi surface,
a novel effect - the appearance of spontaneous currents is predicted.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 03:09:55 GMT""}]","2009-10-30"
"cond-mat/9701184","Alexander Mirlin","A.D. Mirlin and P. Woelfle","Composite fermions in the Fractional Quantum Hall Effect: Transport at
  finite wavevector","REVTEX, 4 pages, 1 figure","Phys. Rev. Lett. 78, 3717 (1997)","10.1103/PhysRevLett.78.3717",,"cond-mat.mes-hall",,"  We consider the conductivity tensor for composite fermions in a close to
half-filled Landau band in the temperature regime where the scattering off the
potential and the trapped gauge field of random impurities dominates. The
Boltzmann equation approach is employed to calculate the quasiclassical
transport properties at finite effective magnetic field, wavevector and
frequency. We present an exact solution of the kinetic equation for all
parameter regimes. Our results allow a consistent description of recently
observed surface acoustic wave resonances and other findings.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 15:57:50 GMT""}]","2009-10-30"
"dg-ga/9701009","Siye Wu","Siye Wu, Weiping Zhang","Equivariant Holomorphic Morse Inequalities III: Non-Isolated Fixed
  Points","plain LaTeX, 22 pages",,,"Adelaide IGA preprint 1997-01","dg-ga math.DG",,"  We prove the equivariant holomorphic Morse inequalities for a holomorphic
torus action on a holomorphic vector bundle over a compact Kahler manifold when
the fixed-point set is not necessarily discrete. Such inequalities bound the
twisted Dolbeault cohomologies of the Kahler manifold in terms of those of the
fixed-point set. We apply the inequalities to obtain relations of Hodge numbers
of the connected components of the fixed-point set and the whole manifold. We
also investigate the consequences in geometric quantization, especially in the
context of symplectic cutting.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 01:57:46 GMT""}]","2016-08-31"
"funct-an/9701010","Erik Christensen","Erik Christensen and Allan M. Sinclair","A cohomological characterization of approximately finite dimensional von
  Neumann algebras","amstex, 6 pages, to be published in the proceedings of the conference
  `Operator Algebras and Quantum Field Theory` held at Accademia Nazionale dei
  Lincei, Rome, Italy, July 1996",,,,"funct-an math.OA",,"  For a von Neumann algebra M on a Hilbert space, A. Connes has constructed a
module S and a derivation of M into S, such that M is approximately finite
dimensional if and only if that derivation is inner. The paper contains a
generalization of this result to the situation with a 2-cocycle instead. The
cocycle is the obvious generalization, and the module is closely related to
Connes, but isn't a dual module.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 10:39:25 GMT""}]","2008-02-03"
"gr-qc/9701052",,"Giorgio Immirzi","Quantum Gravity and Regge Calculus","8 pages, Latex with esprc2.sty, epsf.tex, 3 figures; contribution to
  the proceedings of the II meeting on Constrained Dynamics and Quantum
  Gravity, Santa Margherita Ligure","Nucl.Phys.Proc.Suppl. 57 (1997) 65-72","10.1016/S0920-5632(97)00354-X","DFUPG 119/97","gr-qc",,"  This is an informal review of the formulation of canonical general relativity
and of its implications for quantum gravity; the various versions are compared,
both in the continuum and in a discretized approximation suggested by Regge
calculus. I also show that the weakness of the link with the geometric content
of the theory gives rise to what I think is a serious flaw in the claimed
derivation of a discrete structure for space at the quantum level.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 17:38:44 GMT""}]","2009-10-30"
"gr-qc/9701053","Anders H\""oglund","S. Brian Edgar (University of Link\""oping), Garry Ludwig (University
  of Alberta)","Integration in the GHP formalism III: Finding all conformally flat
  radiation metrics as an example of an `optimal situation'","22 pages, plain TeX","Gen.Rel.Grav. 29 (1997) 1309-1328","10.1023/A:1018820031537",,"gr-qc",,"  Held has proposed an integration procedure within the GHP formalism built
around four real, functionally independent, zero-weighted scalars. He suggests
that such a procedure would be particularly simple for the `optimal situation',
when the formalism directly supplies the full quota of four scalars of this
type; a spacetime without any Killing vectors would be such a situation. Wils
has recently obtained a metric which he claims is the only conformally flat,
pure radiation metric which is not a plane wave; this metric has been shown by
Koutras to admit no Killing vectors, in general. Therefore, as a simple
illustration of the GHP integration procedure, we obtain systematically the
complete class of conformally flat, pure radiation metrics. Our result shows
that the conformally flat, pure radiation metrics, which are not plane waves,
are a larger class than Wils has obtained.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 11:02:11 GMT""}]","2015-06-25"
"gr-qc/9701054","Frank Gronwald","Frank Gronwald and Friedrich W. Hehl","Stress and Hyperstress as Fundamental Concepts in Continuum Mechanics
  and in Relativistic Field Theory","26 pages, LaTeX, eight .eps figures included, modified version of an
  invited lecture given in honor of A. Signorini, International Conference in
  Memory of Antonio Signorini, Isola d'Elba, June 1991",,,,"gr-qc hep-th",,"  The notions of stress and hyperstress are anchored in 3-dimensional continuum
mechanics. Within the framework of the 4-dimensional spacetime continuum,
stress and hyperstress translate into the energy-momentum and the hypermomentum
current, respectively. These currents describe the inertial properties of
classical matter fields in relativistic field theory. The hypermomentum current
can be split into spin, dilation, and shear current. We discuss the
conservation laws of momentum and hypermomentum and point out under which
conditions the momentum current becomes symmetric.
","[{""version"":""v1"",""created"":""Fri, 24 Jan 1997 12:27:22 GMT""}]","2007-05-23"
"hep-lat/9701010","Ajit Fdn.","Vikram Vyas","Random Walk Representation of the Lattice Fermionic Propagators and the
  Quark Model","21 pages, LaTeX",,,,"hep-lat hep-th",,"  A representation of the continuum fermionic propagator as a sum of directed
random walks on a lattice is presented. Also a random walk representation for
the lattice fermionic propagators is developed for the case of the naive, the
Wilson, and the Kogut-Susskind fermions. For the naive fermions the phenomenon
of fermion doubling appears as having $2^{D}$ distinct spin factors being
associated with a single path in $D$-dimensions. In the case of the Wilson and
the Kogut-Susskind fermions, in the naive continuum limit, the path integral
representation coincides with the path integral representation for the
continuum fermionic propagator. Using this representation the Green's functions
of lattice QCD involving quark operators are written as a sum over the paths of
valence quark, the gauge fields and the sea quarks being integrated out.
Possible advantages of such a representation are illustrated by showing how one
can use numerical simulations to obtain a heuristic insight into the
relationship between QCD and the constituent quark model.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 17:41:03 GMT""}]","2007-05-23"
"hep-lat/9701011","Wolfhard Janke","Wolfhard Janke and Stefan Kappler (JGU Mainz)","Monte Carlo Study of Pure-Phase Cumulants of 2D q-State Potts Models","18 pages, LaTeX + 2 postscript figures. To appear in J. Phys. I
  (France), May 1997 See also
  http://www.cond-mat.physik.uni-mainz.de/~janke/doc/home_janke.html",,"10.1051/jp1:1997183","KOMA-96-19","hep-lat",,"  We performed Monte Carlo simulations of the two-dimensional q-state Potts
model with q=10, 15, and 20 to study the energy and magnetization cumulants in
the ordered and disordered phase at the first-order transition point $\beta_t$.
By using very large systems of size 300 x 300, 120 x 120, and 80 x 80 for q=10,
15, and 20, respectively, our numerical estimates provide practically (up to
unavoidable, but very small statistical errors) exact results which can serve
as a useful test of recent resummed large-q expansions for the energy cumulants
by Bhattacharya `et al.' [J. Phys. I (France) 7 (1997) 81]. Up to the third
order cumulant and down to q=10 we obtain very good agreement, and also the
higher-order estimates are found to be compatible.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 20:49:49 GMT""}]","2009-10-30"
"hep-ph/9701359",,"A. A. Pankov, N. Paver, C. Verzegnassi","Z' effects and anomalous gauge couplings at LC with polarization","22 pages LaTex, 6 figures available on request, revised version
  accepted for publication in Int. J. Mod. Phys. A","Int.J.Mod.Phys. A13 (1998) 1629-1650","10.1142/S0217751X98000718",,"hep-ph",,"  We show that the availability of longitudinally polarized electron beams at a
500 GeV Linear Collider would allow, from an analysis of the reaction e^+e^-\to
W^+W^-, to set stringent bounds on the couplings of a Z' of the most general
type. In addition, to some extent, it would be possible to disentangle
observable effects of the Z' from analogous ones due to competitor models with
anomalous trilinear gauge couplings.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 18:38:18 GMT""},{""version"":""v2"",""created"":""Wed, 25 Jun 1997 19:45:20 GMT""}]","2009-10-30"
