"alg-geom/9701009","Paul Bressler","P.Bressler, J.-L.Brylinski","On the singularities of the theta divisors on Jacobians","LaTeX Version 2.09",,,,"alg-geom math.AG",,"  We study the intersection cohomology of the theta divisors on Jacobians of
nonhyperelliptic curves.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 21:15:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Feb 1997 14:52:53 GMT""},{""version"":""v3"",""created"":""Wed, 19 Mar 1997 17:05:16 GMT""}]","2008-02-03"
"astro-ph/9701177","Benjamin C. Bromley","B. C. Bromley, M. S. Warren and W. H. Zurek","Estimating Omega from Galaxy Redshifts: Linear Flow Distortions and
  Nonlinear Clustering","9 pages, Latex, with 3 composite figures (6 Postscript files). To
  appear in the Astrophysical Journal",,"10.1086/303552",,"astro-ph",,"  We propose a method to determine the cosmic mass density Omega from
redshift-space distortions induced by large-scale flows in the presence of
nonlinear clustering. Nonlinear structures in redshift space such as fingers of
God can contaminate distortions from linear flows on scales as large as several
times the small-scale pairwise velocity dispersion sigma_v. Following Peacock &
Dodds (1994), we work in the Fourier domain and propose a model to describe the
anisotropy in the redshift-space power spectrum; tests with high-resolution
numerical data demonstrate that the model is robust for both mass and biased
galaxy halos on translinear scales and above. On the basis of this model, we
propose an estimator of the linear growth parameter beta = Omega^0.6/b, where b
measures bias, derived from sampling functions which are tuned to eliminate
distortions from nonlinear clustering. The measure is tested on the numerical
data and found to recover the true value of beta to within ~10%. An analysis of
the IRAS 1.2Jy galaxies yields beta = 0.8+0.4/-0.3 at a scale of 1,000 km/s
which is close to optimal given the shot noise and the finite survey volume.
This measurement is consistent with dynamical estimates of beta derived from
both real-space and redshift-space information. The importance of the method
presented here is that nonlinear clustering effects are removed to enable
linear correlation anisotropy measurements on scales approaching the
translinear regime. We discuss implications for analyses of forthcoming optical
redshift surveys in which the dispersion is more than a factor of two greater
than in the IRAS data.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 23:46:21 GMT""}]","2009-10-30"
"astro-ph/9701178","Christian Cardall","Christian Y. Cardall, George M. Fuller (UCSD)","General relativistic effects in the neutrino-driven wind and r-process
  nucleosynthesis","10 pages including 3 figures, latex and aastex macros. Submitted to
  ApJ Letters","Astrophys.J. 486 (1997) L111","10.1086/310838",,"astro-ph gr-qc nucl-th",,"  We discuss general relativistic effects in the steady-state neutrino-driven
``wind'' which may arise from nascent neutron stars. In particular, we
generalize previous analytic estimates of the entropy per baryon $S$, the mass
outflow rate $\dot M$, and the dynamical expansion time scale $\tau_{dyn}$. We
show that $S$ increases and $\tau_{dyn}$ decreases with increasing values of
the mass-to-radius ratio describing the supernova core. Both of these trends
indicate that a more compact core will lead to a higher number of neutrons per
iron peak seed nucleus. Such an enhancement in the neutron-to-seed ratio may be
required for successful r-process nucleosynthesis in neutrino-heated supernova
ejecta.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 23:56:48 GMT""}]","2016-08-30"
"astro-ph/9701179","Harald Ebeling","H. Ebeling, A.C. Edge, A.C. Fabian, S.W. Allen, C.S. Crawford and H.
  Boehringer","The ROSAT Brightest Cluster Sample (BCS): The cluster X-ray luminosity
  function within z=0.3","LaTeX using AAS style file, 1 table, 5 PostScript figures. To appear
  in the April 20 issue of ApJL (in press). Changes: 1. The code used to fit a
  Schechter function to our data did not take the 10% incompleteness of our
  sample properly into account. The best fit parameters obtained with the
  corrected version differ slightly from the earlier ones. None of our
  conclusions are affected. 2. We include a comparison with the XLF obtained by
  De Grandi for the BSGC-KP cluster sample.",,"10.1086/310589",,"astro-ph",,"  We present and discuss the X-ray luminosity function (XLF) of the ROSAT
Brightest Cluster sample (BCS), an X-ray flux limited sample of clusters of
galaxies in the northern hemisphere compiled from ROSAT All-Sky Survey data.
The BCS allows the local cluster XLF to be determined with unprecedented
accuracy over almost three decades in X-ray luminosity and provides an
important reference for searches for cluster evolution at higher redshifts. We
find the significance of evolution in both the XLF amplitude and in the
characteristic cluster luminosity L_X^star to be less than 1.8 sigma within the
redshift range covered by our sample thereby disproving previous claims of
strong evolution within z < 0.2.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 07:36:31 GMT""},{""version"":""v2"",""created"":""Thu, 13 Feb 1997 06:27:50 GMT""}]","2009-10-30"
"astro-ph/9701180","Gavin B. Dalton","Gavin Dalton, Steve Maddox, Will Sutherland and George Efstathiou","The APM Galaxy Survey:- V. Catalogues of Galaxy Clusters","14 pages, PostScript, including 15 figures, submitted to MNRAS. Also
  available from ftp://ftp-astro.physics.ox.ac.uk/pub/gbd/papers/apm5.ps.gz",,"10.1093/mnras/289.2.263",,"astro-ph",,"  We describe the construction of catalogues of galaxy clusters from the APM
Galaxy survey using an automated algorithm based on Abell-like selection
criteria. We investigate the effects of varying several parameters in our
selection algorithm, including the magnitude range, and radius from the cluster
centre used to estimate the cluster richnesses. We quantify the accuracy of the
photometric distance estimates by comparing with measured redshifts, and we
investigate the stability and completeness of the resulting catalogues. We find
that the angular correlation functions for different cluster catalogues are in
good agreement with one another, and are also consistent with the observed
amplitude of the spatial correlation function of rich clusters.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 10:44:38 GMT""}]","2015-06-24"
"astro-ph/9701181","Margarida Hernanz Carbo","Jordi Jose (1), Margarita Hernanz (2) and Alain Coc (3) ((1)
  Departament de Fisica i Enginyeria Nuclear (UPC), (2) Institut d'Estudis
  Espacials de Catalunya (IEEC), CSIC Research Unit, (3) Centre de
  Spectrometrie Nucleaire et de Spectrometrie de Masse, IN2P3-CNRS)","New results on 26Al production in classical novae","Accepted for publication in ApJ Letters (16 pages, 1 figure, aasms4)","Astrophys.J.479:L55-L58,1997","10.1086/310575",,"astro-ph",,"  The production of 26Al by explosions of classical novae has been computed by
means of a hydrodynamic code that follows both the accretion and the explosion
stages. A special emphasis has been put on the analysis of the influence of the
initial abundances of the accreted envelope, as well as on the nuclear reaction
rates involved. With the most recent values of chemical composition and
reaction rates available, 26Al production is lowered with respect to previous
computations. According to our results, the final contribution of novae to the
galactic 26Al is at most 0.4 M_sun, which is a small part of the estimated 26Al
in the Galaxy derived from COMPTEL observations of the 1809 keV emission.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 13:36:39 GMT""}]","2009-10-30"
"astro-ph/9701183","Belinda Wilkes","Belinda J. Wilkes (Harvard-Smithsonian Center for Astrophysics)","ISO Observations of Quasars and Quasar Hosts","8 pages, Latex using LAMUPHYS macro package from Springer-Verlag,
  plus 3 PS figures; Web access to PS file:
  http://hea-www.harvard.edu/QEDT/Papers/bjw_tenerife.ps; Invited presentation,
  to appear in the proceedings of the ESA-IAC Conference ""Quasar Hosts"", ESO
  Astrophysics Symposia eds. D. Clements and I. Perez-Fournon,
  [Springer-Verlag] in press",,,,"astro-ph",,"  The Infrared Space Observatory (ISO), launched in November 1995, allows us to
measure the far-infrared (far-IR) emission of quasars in greater detail and
over a wider energy range than previously possible. In this paper, preliminary
results in a study of the 5--200 $\mu m$ continuum of quasars and active
galaxies are presented. Comparison of the spectral energy distributions show
that, if the far-IR emission from quasars is thermal emission from galaxian
dust, the host galaxies of quasars must contain dust in quantities comparable
to IR luminous galaxies rather than normal spiral galaxies. In the near-IR, the
ISO data confirm an excess due to a warm `AGN-related' dust component, possibly
from the putative molecular torus. We report detection of the high-redshift
quasar, 1202-0727, in the near-IR indicating that it is unusually IR-bright
compared with low-redshift quasars.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 15:10:49 GMT""}]","2007-05-23"
"astro-ph/9701187","T. Contini","T. Contini (1), H. Wozniak (2), S. Considere (3) and E. Davoust (1)
  ((1) Observatoire Midi-Pyrenees, (2) Observatoire de Marseille, (3)
  Observatoire de Besancon, France)","Starbursts in Barred Spiral Galaxies. II. Molecular and Optical Study of
  Three Wolf-Rayet Galaxies","Accepted for publication in A&A. 11 pages, including 4 Postscript
  figures and 4 tables. LateX using l-aa and epsf macros",,,,"astro-ph",,"  We have searched for dense molecular gas in three barred spiral galaxies with
young starbursts, NGC 3049, 5430 and 6764, which are known Wolf-Rayet galaxies.
We detected HCN in the latter two, and CS was marginally detected in NGC 6764.
The dense molecular gas contents of the three galaxies are compared to those of
other galaxies and to other indicators of star formation. The HCN luminosities
(relative to the CO and far infrared ones) in these galaxies with very young
starbursts are consistent with those observed in galaxies with older starbursts
and in normal galaxies, and so are our upper limits to the CS intensities
(relative to CO). The starburst ages evaluated from our spectrophotometric
observations are in the range 3.4 to 6.0 Myr. A circum-nuclear ring is apparent
on our images of NGC 5430, the galaxy with the oldest central starburst; this
galaxy also has the widest molecular lines. The central star formation rates
derived from the Halpha luminosity are consistent with those expected from the
global FIR luminosities, and are correlated with the HCN luminosities. Finally,
an independent estimate of the H_2 column density is obtained by optical
spectrophotometry; it leads to a H_2 column density to CO intensity ratio which
is about 2 to 3 times lower than the standard value, because the CO intensities
of the three galaxies are higher than average, relative to their far infrared
fluxes.
","[{""version"":""v1"",""created"":""Thu, 23 Jan 1997 15:06:33 GMT""}]","2007-05-23"
"cond-mat/9701162","Robert Shrock","Robert Shrock and Shan-Ho Tsai (ITP, SUNY at Stony Brook)","Upper and Lower Bounds for Ground State Entropy of Antiferromagnetic
  Potts Models","8 pages, latex, with two eps figures","Phys. Rev. E55, 6791 (1997)","10.1103/PhysRevE.55.6791","ITP-SB-96-49","cond-mat.stat-mech hep-lat",,"  We derive rigorous upper and lower bounds for the ground state entropy of the
$q$-state Potts antiferromagnet on the honeycomb and triangular lattices. These
bounds are quite restrictive, especially for large $q$.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 16:53:29 GMT""}]","2009-10-30"
"cond-mat/9701163","Sasha Abanov","A.G. Abanov, P.B. Wiegmann (James Franck Institute of the University
  of Chicago)","Tunneling and orthogonality catastrophe in the topological mechanism of
  superconductivity","4 pages, Revtex, psfig; some references are corrected","Phys. Rev. Lett., 78, pp 4103-4106 (1997)","10.1103/PhysRevLett.78.4103",,"cond-mat.supr-con cond-mat.str-el hep-th",,"  We compute the angular dependence of the order parameter and tunneling
amplitude in a model exhibiting topological superconductivity and sketch its
derivation as a model of a doped Mott insulator. We show that ground states
differing by an odd number of particles are orthogonal and the order parameter
is in the d-representation, although the gap in the electronic spectrum has no
nodes. We also develop an operator algebra, that allowes one to compute
off-diagonal correlation functions.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 17:58:05 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jan 1997 12:32:11 GMT""},{""version"":""v3"",""created"":""Wed, 19 Feb 1997 18:24:38 GMT""}]","2009-10-30"
"cond-mat/9701164","Shoji Takada","Shoji Takada and Peter G. Wolynes","Statics, metastable states and barriers in protein folding: A replica
  variational approach","41 pages, LaTeX, 9 EPS figures",,"10.1103/PhysRevE.55.4562",,"cond-mat.dis-nn cond-mat.stat-mech q-bio",,"  Protein folding is analyzed using a replica variational formalism to
investigate some free energy landscape characteristics relevant for dynamics. A
random contact interaction model that satisfies the minimum frustration
principle is used to describe the coil-globule transition (characterized by
T_CG), glass transitions (by T_A and T_K) and folding transition (by T_F).
Trapping on the free energy landscape is characterized by two characteristic
temperatures, one dynamic, T_A the other static, T_K (T_A> T_K), which are
similar to those found in mean field theories of the Potts glass. 1)Above T_A,
the free energy landscape is monotonous and polymer is melted both dynamically
and statically. 2)Between T_A and T_K, the melted phase is still dominant
thermodynamically, but frozen metastable states, exponentially large in number,
appear. 3)A few lowest minima become thermodynamically dominant below T_K,
where the polymer is totally frozen. In the temperature range between T_A and
T_K, barriers between metastable states are shown to grow with decreasing
temperature suggesting super-Arrhenius behavior in a sufficiently large system.
Due to evolutionary constraints on fast folding, the folding temperature T_F is
expected to be higher than T_K, but may or may not be higher than T_A. Diverse
scenarios of the folding kinetics are discussed based on phase diagrams that
take into account the dynamical transition, as well as the static ones.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 18:21:01 GMT""}]","2009-10-30"
"cond-mat/9701165","Shoji Takada","Shoji Takada and Peter G. Wolynes","Entropic droplets and activated events near the glass transition of a
  random heteropolymer","11 pages, LaTeX, 3 EPS figures",,,,"cond-mat.dis-nn cond-mat.stat-mech",,"  The barriers between metastable states near the glass transition of a random
heteropolymer are studied using replicas by describing inhomogeneous states.
The instanton solution for a replica space free energy functional is found
numerically to estimate the size of activation barriers and of the critical
nuclei themselves between the dynamic and the static glass transition
temperatures.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 18:48:06 GMT""}]","2008-02-03"
"cond-mat/9701166","Mario J. de Oliveira","T\^ania Tom\'e and M\'ario J. de Oliveira","Renormalization group of the Domany-Kinzel cellular automaton","14 pages, 2 figures",,,,"cond-mat",,"  We apply the dinamically driven renormalization group to study the critical
properties of the Domany-Kinzel probabilistic cellular automaton. To preserve
the absorbing state clusters with at least one site occupied are renormalized
into a one occupied site and clusters with all sites empty are renormalized
into a one empty site. We have obtained the phase diagram as well as the
critical exponent related to the spatial correlation length.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 18:58:06 GMT""}]","2007-05-23"
"cond-mat/9701167","Jaewoo Lee","Jae Woo Lee","Effects of Impurities in Random Sequential Adsorption on a
  One-Dimensional Substrate","9 pages, latex, 1 figure not included, accepted in Phys. Rev. E",,"10.1103/PhysRevE.55.3731",,"cond-mat",,"  We have solved the kinetics of random sequential adsorption of linear
$k$-mers on a one-dimensional disordered substrate for the random sequential
adsorption initial condition and for the random initial condition. The jamming
limits $\theta(\infty, k', k)$ at fixed length of linear $k$-mers have a
minimum point at a particular density of the linear $k'$-mers impurity for both
cases. The coverage of the surface and the jamming limits are compared to the
results for Monte Carlo simulation. The Monte Carlo results for the jamming
limits are in good agreement with the analytical results. The continuum limits
are derived from the analytical results on lattice substrates.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 20:56:04 GMT""}]","2016-08-31"
"cond-mat/9701168","Xiao Gang Wen","Patrick A. Lee, Naoto Nagaosa, Tai-Kai Ng, Xiao-Gang Wen","An SU(2) Formulation of the t-J model: Application to Underdoped
  Cuprates","28 pages, 8 figures, RevTeX",,"10.1103/PhysRevB.57.6003","Phys. Rev. B, 57, 6003 (1998)","cond-mat.str-el cond-mat.supr-con",,"  We develop a slave-boson theory for the t-J model at finite doping which
respect a SU(2) symmetry -- a symmetry previously known to be important at half
filling. The mean field phase diagram is found to be consistent with the phases
observed in the cuprate superconductors, which contains d-wave superconductor,
spin gap, strange metal, and Fermi liquid phases. The spin gap phase is best
understood as the staggered flux phase, which is nevertheless translationally
invariant for physical quantities. The physical electron spectral function
shows small Fermi segments at low doping which continuously evolve into the
large Fermi surface at high doping concentrations. The close relation between
the SU(2) and the U(1) slave-boson theory is discussed. The low energy
effective theory for the low lying fluctuations is derived, and new lying modes
(which were over looked in the U(1) theory) are identified.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 22:11:15 GMT""}]","2016-08-31"
"cond-mat/9701169",,"Andrey V. Chubukov (1), Philippe Monthoux (2), Dirk K. Morr (1) ((1)
  University of Wisconsin-Madison, (2) Florida State University)","On the vertex corrections in antiferromagnetic spin fluctuation theories","3 pages, Revtex, 1 figure, ps-file also available at
  http://lifshitz.physics.wisc.edu/www/morr/morr_homepage.html",,"10.1103/PhysRevB.56.7789",,"cond-mat.str-el",,"  We argue that recent calculations by Amin and Stamp (PRL 77, 301 (1996);
cond-mat/9601086) overestimate the strength of the vertex corrections in the
spin-fermion model for cuprates. We clarify the physical origin of the apparent
discrepancy between their results and earlier calculations. We also comment on
the relative sign of the vertex correction.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 23:27:04 GMT""}]","2016-08-31"
"cond-mat/9701170","Arno P. Kampf","A.P. Kampf and T.P. Devereaux","Extended Impurity Potential in a d_{x^2-y^2} Superconductor","4 pages, Revtex, with 4 embedded eps figures. Submitted to Phys. Rev.
  Lett",,"10.1103/PhysRevB.56.2360",,"cond-mat.supr-con",,"  We investigate the role of a finite potential range of a nonmagnetic impurity
for the local density of states in a d_{x^2-y^2} superconductor. Impurity
induced subgap resonances are modified by the appearance of further scattering
channels beyond the $s$--wave scattering limit. The structure of the local
density of states (DOS) in the vicinity of the impurity is significantly
enhanced and therefore improves the possibility for observing the
characteristic anisotropic spatial modulation of the local DOS in a d_{x^2-y^2}
superconductor by scanning tunneling microscopy.
","[{""version"":""v1"",""created"":""Wed, 22 Jan 1997 23:34:24 GMT""}]","2009-10-30"
