"alg-geom/9703033","Wolfgang Eholzer","W. Eholzer, T. Ibukiyama","Rankin-Cohen Type Differential Operators for Siegel Modular Forms","19 pages LaTeX2e using amssym.def",,,"preprint MPI, DAMTP-97-26","alg-geom math.AG",,"  Let H_n be the Siegel upper half space and let F and G be automorphic forms
on H_n of weights k and l, respectively. We give explicit examples of
differential operators D acting on functions on H_n x H_n such that the
restriction of D(F(Z_1) G(Z_2)) to Z = Z_1 = Z_2 is again an automorphic form
of weight k+l+v on H_n. Since the elliptic case, i.e. n=1, has already been
studied some time ago by R. Rankin and H. Cohen we call such differential
operators Rankin-Cohen type operators. We also discuss a generalisation of
Rankin-Cohen type operators to vector valued differential operators.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:50:10 GMT""}]","2008-02-03"
"astro-ph/9703171","Mordecai-Mark Mac Low","Michael D. Smith (Astron. Inst., Uni. Wuerzburg) and Mordecai-Mark Mac
  Low (MPI Astronomy, Heidelberg)","The formation of C-shocks: structure and signatures","12 pages, 12 figures, A&A style file L-AA version 3, submitted to A&A
  26 March 1997",,,,"astro-ph",,"  Shock waves in molecular clouds should evolve into continuous or C-type
structures due to the magnetic field and ion-neutral friction. We here
determine whether and how this is achieved through plane-parallel numerical
simulations using an extended version of ZEUS. We first describe and test the
adapted code against analytical results, laying the necessary foundations for
subsequent works on supersonic ambipolar diffusion, including C-type jets and
shock instability.
  The evolution away from jump shocks toward the numerous steady C-shock
sub-types is then investigated. The evolution passes through four stages, which
possess distinctive observational properties. The time scales and length scales
cover broad ranges. Specific results are included for shock types including
switch, absorber, neutralised, oblique, transverse and intermediate. Only
intermediate Type II shocks and `slow shocks', including switch-off shocks,
remain as J-type under the low ion levels assumed. Other shocks transform via a
steadily growing neutral precursor to a diminishing jump. For neutralised
shocks, this takes the form of an extended long-lived ramp.
  Molecular hydrogen emission signatures are presented. After the jump speed
has dropped to under 25 km/s, a non-dissociative jump section can dominate the
spectra for a long period. This produces a high-excitation spectrum. Once the
jump has further weakened, to < 8 km/s, the fully developed ion front is
responsible for brisk progress towards a constant C-type excitation. The time
scale for emission-line variations is ~(6 /n_i) yr, where n_i is the pre-shock
ion number density.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 13:26:46 GMT""}]","2007-05-23"
"astro-ph/9703173","gus Evrard","August E. Evrard (Inst d'Astrophysique & Physics Dep't, U of Michigan)","The Tully--Fisher Relation : A Numerical Simulator's Perspective","5 pages, 2 epfs figures included. Contribution to the proceedings of
  3rd ESO-VLT Workshop ""Galaxy Scaling Relations : Origins, Evolution and
  Applications"", Garching, 18-20 November 1996",,,,"astro-ph",,"  In this brief contribution, I outline hopes of understanding the origin of
galaxy scaling relations using numerical simulations as a tool to gain
understanding. The case of the Tully--Fisher relation for disk galaxies is used
as an example to illustrate the modest achievements to date and the difficult
tasks ahead.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 14:58:37 GMT""}]","2007-05-23"
"chao-dyn/9703017","Wolfram Just","Wolfram Just","On the Collective Motion in Globally Coupled Chaotic Systems","12 pages, Latex, 3 eps figures included also available ""at
  http://athene.fkp.physik.th-darmstadt.de/public/wolfram.html"" or ""at
  ftp://athene.fkp.physik.th-darmstadt.de/pub/publications/wolfram/"" Phys. Rep.
  in press",,"10.1016/S0370-1573(97)00061-6",,"chao-dyn nlin.CD",,"  A mean-field formulation is used to investigate the bifurcation diagram for
globally coupled tent maps by means of an analytical approach. It is shown that
the period doubling sequence of the single site map induces a continuous family
of periodic states in the coupled system. This type of collective motion breaks
the ergodicity of the coupled map lattice. The stability analysis suggests that
these states are stable for weak coupling strength but opens the possibility
for more complicated types of motion in the regime of moderate coupling.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:16:29 GMT""}]","2009-10-30"
"chao-dyn/9703018","Wolfram Just","Ekkehard Reibold, Wolfram Just, Hartmut Benner","Stochastic Resonance in Chaotic Spin-Wave Dynamics","4 pages, revtex, 5 eps figures included, also available ""via www
  http://athene.fkp.physik.th-darmstadt.de/public/wolfram.html"" or ""via ftp
  ftp://athene.fkp.physik.th-darmstadt.de/pub/publications/wolfram/"", Phys.
  Rev. Lett. in press",,"10.1103/PhysRevLett.78.3101",,"chao-dyn nlin.CD",,"  We report the first experimental observation of noise-free stochastic
resonance by utilizing the intrinsic chaotic dynamics of the system. To this
end we have investigated the effect of an external periodic modulation on
intermittent signals observed by high power ferromagnetic resonance in yttrium
iron garnet spheres. Both the signal-to-noise ratio and the residence time
distributions show the characteristic features of stochastic resonance. The
phenomena can be explained by means of a one-dimensional intermittent map. We
present analytical results as well as computer simulations.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 11:07:44 GMT""}]","2009-10-30"
"cond-mat/9703214","Bruce Normand","B. Normand, K. Penc, M. Albrecht and F. Mila","Phase Diagram of the S = 1/2 Frustrated Coupled Ladder System","5 pages, RevTeX; 5 .eps figures","Phys. Rev. B 56, R5736 (1997).","10.1103/PhysRevB.56.R5736",,"cond-mat.str-el",,"  We present a theoretical study of the magnetic phase diagram of the
frustrated coupled ladder structure realized recently in several materials.
This system displays a nondegenerate spin-gap state in the dimer limit and an
infinitely degenerate spin-gap state in the regime of weakly-coupled zig-zag
chains. Between these we demonstrate the existence of gapless, magnetically
ordered regions whose order is antiferromagnetic close to the honeycomb lattice
limit, and incommensurate along the chains when all three magnetic interactions
compete.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 17:26:53 GMT""}]","2009-10-30"
"cond-mat/9703216","Philipp Brune","Ph. Brune, C. Bruder, and H. Schoeller","Photon-Assisted Transport Through Ultrasmall Quantum Dots: Influence of
  Intradot Transitions","16 pages, Revtex, 10 eps-figures","Phys. Rev. B 56, 4730 (1997)","10.1103/PhysRevB.56.4730","TFP-97003","cond-mat.mes-hall",,"  We study transport through one or two ultrasmall quantum dots with discrete
energy levels to which a time-dependent field is applied (e.g., microwaves).
The AC field causes photon-assisted tunneling and also transitions between
discrete energy levels of the dot. We treat the problem by introducing a
generalization of the rotating-wave approximation to arbitrarily many levels.
We calculate the dc-current through one dot and find satisfactory agreement
with recent experiments by Oosterkamp et al. . In addition, we propose a novel
electron pump consisting of two serially coupled single-level quantum dots with
a time-dependent interdot barrier.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 18:00:36 GMT""}]","2009-10-30"
"cond-mat/9703218","Markus Hummel","M. Hummel (TU-Muenchen), C. Pich (University of California, Santa
  Cruz), F. Schwabl (TU-Muenchen)","Spin waves and phase diagram of one-dimensional, dipolar
  antiferromagnets","12 pages, LaTeX, 13 figures, sent to PRB",,,,"cond-mat.stat-mech",,"  We report on the properties of a dipolar, antiferromagnetic chain in the
framework of linear spin-wave theory. The phase diagram is calculated for an
arbitrary ratio of dipolar interaction to exchange interaction and for fields
both parallel and perpendicular to the chain direction. The calculated
magnetization is compared with experimental measurements for RbMnBr_3, a quasi
one-dimensional antiferromagnet.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 17:49:18 GMT""}]","2008-02-03"
"cond-mat/9703219","Giorgio Parisi","Giorgio Parisi","Off-equilibrium fluctuation dissipation relation in binary mixtures","8 pages and 4 figures. Minor mistakes corrected",,,,"cond-mat.dis-nn cond-mat.soft",,"  In this note we present numerical simulations of binary mixtures. We study
the diffusion of particles and the response to an external driving force. We
find evidence for the validity of the Cugliandolo Kurchan off-equilibrium
fluctuation dissipation relation. The results are in agreement with the
predictions of one step replica symmetry breaking and the dependance of the
breakpoint parameter on the temperature coincide with that found in simple
generalized spin glass models.
","[{""version"":""v1"",""created"":""Tue, 25 Mar 1997 22:24:17 GMT""},{""version"":""v2"",""created"":""Tue, 8 Apr 1997 08:27:16 GMT""}]","2008-02-03"
"cond-mat/9703220","Frederic Lesage","F. Lesage, H. Saleur, P. Simonetti","Tunneling in quantum wires I: Exact solution of the spin isotropic case","Revtex, epsf, 14pgs, 4 figs. One reference added",,"10.1103/PhysRevB.56.7598",,"cond-mat.str-el hep-th",,"  We show that the problem of impurity tunneling in a Luttinger liquid of
electrons with spin is solvable in the spin isotropic case ($g_\sigma=2$,
$g_\rho$ arbitrary). The resulting integrable model is similar to a two channel
anisotropic Kondo model, but with the impurity spin in a ""cyclic
representation"" of the quantum algebra $su(2)_q$ associated with the
anisotropy. Using exact, non-perturbative techniques we study the RG flow, and
compute the DC conductance. As expected from the analysis of Kane and Fisher we
find that the IR fixed point corresponds to two separate leads. We also prove
an exact duality between the UV and IR expansions of the current at vanishing
temperature.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 00:05:39 GMT""},{""version"":""v2"",""created"":""Tue, 1 Apr 1997 17:33:08 GMT""}]","2009-10-30"
"cond-mat/9703221","Pavel Shevchenko","P.V. Shevchenko, O.P. Sushkov","The role of g-wave pairing and Josephson tunneling in high Tc
  superconductors","LaTeX, 10 pages and 5 ps figures of the paper","Physica C 295, 292 (1998)","10.1016/S0921-4534(97)01755-3",,"cond-mat.supr-con",,"  The implications of the two-pocket Fermi surface for macroscopic quantum
phenomena are considered. We demonstrate that in the case of the two-pocket
Fermi surface the g-wave pairing is closely related to the d-wave one. As a
result two macroscopic condensates arise. The Josephson tunneling for such
two-component system has very special properties. We prove that the presence of
the g-wave does not contradict the existing experimental data on tunneling. We
also discuss the possible ways to experimentally reveal the g-wave component.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 04:14:25 GMT""}]","2009-10-30"
"cond-mat/9703222","Howard L. Richards","Howard L. Richards, Naomichi Hatano and M. A. Novotny","Extrapolation-CAM Theory for Critical Exponents","21 pages, Submitted to Journal of Physics A; new section added
  discussing rate of convergence and relation to Finite-Size Scaling","J. Phys. A: Math. Gen. 30 (1997) 6299-6311","10.1088/0305-4470/30/18/013",,"cond-mat.stat-mech hep-lat math-ph math.MP",,"  By intentionally underestimating the rate of convergence of
exact-diagonalization values for the mass or energy gaps of finite systems, we
form families of sequences of gap estimates. The gap estimates cross zero with
generically nonzero linear terms in their Taylor expansions, so that $\nu = 1$
for each member of these sequences of estimates. Thus, the Coherent Anomaly
Method can be used to determine $\nu$. Our freedom in deciding exactly how to
underestimate the convergence allows us to choose the sequence that displays
the clearest coherent anomaly. We demonstrate this approach on the
two-dimensional ferromagnetic Ising model, for which $\nu = 1$. We also use it
on the three-dimensional ferromagnetic Ising model, finding $\nu \approx
0.629$, in good agreement with other estimates.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 07:50:24 GMT""},{""version"":""v2"",""created"":""Thu, 26 Jun 1997 11:35:06 GMT""}]","2009-10-30"
"cond-mat/9703223","Ikuo Ichinose","Ikuo Ichinose and Akira Sekiguchi","Solitons in Chern-Simons theories of nonrelativistic CP^{N-1} models:
  Spin textures in the quantum Hall effect","Latex, 19 pages, 6 figures","Mod.Phys.Lett. A12 (1997) 2243-2260","10.1142/S0217732397002314","UT-Komaba 97-5","cond-mat.mes-hall hep-th",,"  Topological solitons in CP^{N-1} models coupled with Chern-Simons gauge
theory and a Hopf term are studied both analytically and numerically.These
models are low-energy effective theories for the quantum Hall effect with
internal degrees of freedom, like that in bilayer electron systems. We
explicitly show that the CP^{N-1} models describe quite well spin textures in
the original Chern-Simons theory of bosonized electrons.
","[{""version"":""v1"",""created"":""Wed, 26 Mar 1997 10:17:18 GMT""}]","2009-10-30"
