"alg-geom/9708014","Leticia B. Paz","L. Brambila-Paz and H. Lange","A stratification of the moduli space of vector bundles on curves","Latex, Permanent e-mail L. Brambila-Paz: lebp@xanum.uam.mx
  Classification: 14D, 14F",,,,"alg-geom math.AG",,"  Let $E$ be a vector bundle of rank $r\geq 2$ on a smooth projective curve $C$
of genus $g \geq 2$ over an algebraically closed field $K$ of arbitrary
characteristic. For any integer with $1\le k\le r-1$ we define
$${\se}_k(E):=k\deg E-r\max\deg F.$$ where the maximum is taken over all
subbundles $F$ of rank $k$ of $E$. The ${s}_k$ gives a stratification of the
moduli space ${\cal M}(r,d)$ of stable vector bundles of rank $r$ and degree on
$d$ on $C$ into locally closed subsets ${\calM}(r,d,k,s)$ according to the
value of $s$ and $k$. There is a component ${\cal M}^0(r,d,k,s)$ of ${\cal
M}(r,d,k,s)$ distinguish by the fact that a general $E\in {\cal M}^0(r,d,k,s)$
admits a stable subbundle $F$ such that $E/F$ is also stable. We prove: {\it
For $g\ge \frac{r+1}{2}$ and $0<s\leq k(r-k)(g-1) +(r+1)$, $s\equiv kd \mod r,$
${\cal M}^0(r,d,k,s)$ is non-empty,and its component ${\cal M}^0(r,d,k,s)$ is
of dimension} $$\dim {\cal M}^0(r,d,k,s)=\left\{\begin{array}{lcl}
(r^2+k^2-rk)(g-1)+s-1& &s<k(r-k)(g-1) &{\rm if}& r^2(g-1)+1& & s\ge
k(r-k)(g-1)\end{array}\right.$$
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 07:52:26 GMT""}]","2016-08-30"
"cond-mat/9708129","Roman Martonak","R. Martonak (1 and 2), W. Paul (1), K. Binder (1) ((1) Johannes
  Gutenberg-Universitaet, Mainz, Germany, (2) Max-Planck-Institut fuer
  Polymerforschung, Mainz, Germany)","Orthorhombic Phase of Crystalline Polyethylene: A Constant Pressure Path
  Integral Monte Carlo Study","18 pages, RevTex, 18 figures, 3 tables, submitted to Phys. Rev. E",,"10.1103/PhysRevE.57.2425",,"cond-mat.mtrl-sci",,"  In this paper we present a Path Integral Monte Carlo (PIMC) simulation of the
orthorhombic phase of crystalline polyethylene, using an explicit atom force
field with unconstrained bond lengths and angles. This work represents a
quantum extension of our recent classical simulation (J. Chem. Phys. 106, 8918
(1997)). It is aimed both at exploring the applicability of the PIMC method on
such polymer crystal systems, as well as on a detailed assessment of the
importance of quantum effects on different quantities. We used the $NpT$
ensemble and simulated the system at zero pressure in the temperature range 25
- 300 K, using Trotter numbers between 12 and 144. In order to investigate
finite-size effects, we used chains of two different lengths, C_12 and C_24,
corresponding to the total number of atoms in the super-cell being 432 and 864,
respectively. We show here the results for structural parameters, like the
orthorhombic lattice constants a,b,c, and also fluctuations of internal
parameters of the chains, such as bond lengths and bond and torsional angles.
We have also determined the internal energy and diagonal elastic constants
c_11, c_22 and c_33. We discuss the temperature dependence of the measured
quantities and compare to that obtained from the classical simulation. For some
quantities, we discuss the way they are related to the torsional angle
fluctuation. In case of the lattice parameters we compare our results to those
obtained from other theoretical approaches as well as to some available
experimental data. In order to study isotope effects, we simulated also a
deuterated polyethylene crystal at a low temperature. We also suggest possible
ways of extending this study and present some general considerations concerning
modeling of polymer crystals.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 14:04:29 GMT""}]","2009-10-30"
"cond-mat/9708130","Alexander Wagner","Alexander J. Wagner and J. M. Yeomans","Effect of shear on droplets in a binary mixture","10 pages, LaTex, to appear in International Journal of Physics C",,"10.1142/S0129183197000667","OUTP-96-40S","cond-mat.soft comp-gas nlin.CG",,"  In this article we use a lattice-Boltzmann simulation to examine the effects
of shear flow on a equilibrium droplet in a phase separated binary mixture. We
find that large drops break up as the shear is increased but small drops
dissolve. We also show how the tip-streaming, observed for deformed drops,
leads to a state of dynamic equilibrium.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 14:32:18 GMT""}]","2009-10-30"
"cond-mat/9708131","Kisor Mukhopadhyay","Kisor Mukhopadhyay, Abhijit Pal and Soumen Kumar Roy (Jadavpur
  University, Calcutta)","Study Of A Planar Lattice Model With $P_4$ Interaction","11 pages, six figures (on request), LaTeX format",,,,"cond-mat.soft",,"  A planar square lattice model with 3-d spins interacting with nearest
neighbours through a potential -$\epsilon P_4 (cos \theta_{ij})$ is studied by
Monte Carlo technique. Lattice sizes from 10$\times$10 to 30$\times$30 are
considered for calculating various thermodynamic averages. A 80$\times$80
lattice has been used to obtain the pair correlation function. To accurately
ascertain the order of the phase transition the Ferrenberg-Swendsen technique
has been used on a 120$\times$120 lattice. Our study predicts that the system
exhibits a first order phase transition which is confirmed by the twin-peaked
nature of the distribution function. The pair correlation function shows an
algebraic decay at low temperatures and an exponential decay at high
temperatures. Mean field and Two-site Cluster calculations have also been
performed and the latter is found to predict the thermodynamic averages fairly
accurately.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 13:31:43 GMT""}]","2008-02-03"
"gr-qc/9708034","B. S. Sathyaprakash","Thibault Damour (Institut des Hautes Etudes Scientifiques and DARC,
  CNRS), Bala R. Iyer (Raman Research Institute) and B.S. Sathyaprakash
  (Cardiff University of Wales and Caltech)","Improved filters for gravitational waves from inspiralling compact
  binaries","Latex ([prd,aps,eqsecnum,epsf]{revtex}), 40 pages including 12
  encapsulated figures. (The paper, together with all the figures and tables is
  available from ftp://carina.astro.cf.ac.uk/pub/incoming/sathya/dis97.uu)","Phys.Rev. D57 (1998) 885-907","10.1103/PhysRevD.57.885",,"gr-qc",,"  The order of the post-Newtonian expansion needed, to extract in a reliable
and accurate manner the fully general relativistic gravitational wave signal
from inspiralling compact binaries, is explored. A class of approximate wave
forms, called P-approximants, is constructed based on the following two inputs:
(a) The introduction of two new energy-type and flux-type functions e(v) and
f(v), respectively, (b) the systematic use of Pade approximation for
constructing successive approximants of e(v) and f(v). The new P-approximants
are not only more effectual (larger overlaps) and more faithful (smaller
biases) than the standard Taylor approximants, but also converge faster and
monotonically. The presently available O(v/c)^5-accurate post-Newtonian results
can be used to construct P-approximate wave forms that provide overlaps with
the exact wave form larger than 96.5% implying that more than 90% of potential
events can be detected with the aid of P-approximants as opposed to a mere
10-15 % that would be detectable using standard post-Newtonian approximants.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 08:52:17 GMT""}]","2009-10-30"
"gr-qc/9708037","Eric Poisson","Stephen W. Leonard and Eric Poisson","Gravitational waves from binary systems in circular orbits: Convergence
  of a dressed multipole truncation","9 pages, ReVTeX, 1 postscript figure","Class.Quant.Grav. 15 (1998) 2075-2081","10.1088/0264-9381/15/8/002",,"gr-qc",,"  The gravitational radiation originating from a compact binary system in
circular orbit is usually expressed as an infinite sum over radiative multipole
moments. In a slow-motion approximation, each multipole moment is then
expressed as a post-Newtonian expansion in powers of v/c, the ratio of the
orbital velocity to the speed of light. The bare multipole truncation of the
radiation consists in keeping only the leading-order term in the post-Newtonian
expansion of each moment, but summing over all the multipole moments. In the
case of binary systems with small mass ratios, the bare multipole series was
shown in a previous paper to converge for all values v/c < 2/e, where e is the
base of natural logarithms. In this paper, we extend the analysis to a dressed
multipole truncation of the radiation, in which the leading-order moments are
corrected with terms of relative order (v/c)^2 and (v/c)^3. We find that the
dressed multipole series converges also for all values v/c < 2/e, and that it
coincides (within 1%) with the numerically ``exact'' results for v/c < 0.2.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 1997 20:52:55 GMT""}]","2009-10-30"
"hep-ex/9708025","Claude Amsler","Claude Amsler (University of Zurich)","Proton-Antiproton Annihilation and Meson Spectroscopy with the Crystal
  Barrel","64 pages, LATEX file, 36 figures are available as ps files at
  http://afuz01.cern.ch/claude/ Submitted to Reviews of Modern Physics","Rev.Mod.Phys.70:1293-1340,1998","10.1103/RevModPhys.70.1293",,"hep-ex",,"  This report reviews the achievements of the Crystal Barrel experiment at the
Low Energy Antiproton Ring (LEAR) at CERN. During seven years of operation
Crystal Barrel has collected very large statistical samples in pbarp
annihilation, especially at rest and with emphasis on final states with high
neutral multiplicity. The measured rates for annihilation into various two-body
channels and for electromagnetic processes have been used to test simple models
for the annihilation mechanism based on the quark internal structure of
hadrons. From three-body annihilations three scalar mesons, a0(1450), f0(1370)
and f0(1500) have been established in various decay modes. One of them,
f0(1500), may be identified with the expected ground state scalar glueball.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 13:32:14 GMT""}]","2009-09-25"
"hep-ph/9708379","Tony Smith","Frank Tony Smith","From Sets to Quarks","Higgs mass revised to 146 GeV, also miscellaneous additions and typo
  corrections, 164 pages, LaTeX",,,"TS-TH-97-1","hep-ph",,"  From sets and simple operations on sets, a Feynman Checkerboard physics model
is constructed that allows computation of force strength constants and
constituent mass ratios of elementary particles, with a Lagrangian structure
that gives a Higgs scalar particle mass of about 146 GeV and a Higgs scalar
field vacuum expectation value of about 252 GeV, giving a tree level
constituent Truth Quark (top quark) mass of roughly 130 GeV, which is (in my
opinion) supported by dileptonic events and some semileptonic events. See
http://galaxy.cau.edu/tsmith/HDFCmodel.html and
http://www.innerx.net/personal/tsmith/HDFCmodel.html
  Chapter 1 - Introduction.
  Chapter 2 - From Sets to Clifford Algebras.
  Chapter 3 - Octonions and E8 lattices.
  Chapter 4 - E8 spacetime and particles.
  Chapter 5 - HyperDiamond Lattices.
  Chapter 6 - Internal Symmetry Space.
  Chapter 7 - Feynman Checkerboards.
  Chapter 8 - Charge = Amplitude to Emit Gauge Boson.
  Chapter 9 - Mass = Amplitude to Change Direction.
  Chapter 10 - Protons, Pions, and Physical Gravitons.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 1997 19:26:51 GMT""},{""version"":""v2"",""created"":""Sun, 14 Jun 1998 09:14:26 GMT""}]","2016-09-06"
"hep-ph/9708380","Carmen Molina-Paris","Melissa A. Lampert and Carmen Molina-Paris","Effective equation of state for a spherically expanding pion plasma","15 pages, 5 figures We study the energy density and pressure of an
  spherically expanding pion plasma, for both cases, with and without
  instabilities. In this last case, we search for the possibility of DCC
  formation","Phys.Rev. D57 (1998) 83-92","10.1103/PhysRevD.57.83",,"hep-ph",,"  Following a relativistic heavy ion collision, the quark-gluon plasma produced
eventually undergoes a chiral phase transition. We assume that during this
phase transition one can describe the dynamics of the system by the linear
$\sigma$ model and that the expansion can be thought of as mostly radial.
Because the $\sigma$ model is an effective field theory there is an actual
momentum cutoff (Landau pole) in the theory at around 1 GeV. Thus it is
necessary to find ways of obtaining a covariantly conserved, renormalized
energy-momentum tensor when there is a cutoff present (which breaks
covariance), in order to identify the effective equation of state of this time
evolving system. We show how to solve this technical problem and then determine
the energy density and pressure of the system as a function of the proper time.
We consider different initial conditions and search for instabilities which can
lead to the formation of disoriented chiral condensates (DCCs). We find that
the energy density and pressure both decrease quickly, as is appropriate for a
rapidly cooling system, and that the energy is numerically conserved.
","[{""version"":""v1"",""created"":""Sun, 17 Aug 1997 23:18:23 GMT""}]","2009-10-30"
"hep-ph/9708381","Wilfried Buchmuller","Wilfried Buchmuller","Crossover and mass gap of the SU(2)-Higgs model at high temperature","Talk given at the Conf. Strong and Electroweak Matter '97, Eger,
  Hungary, May 1997, 15 pages, 6 ps figures",,,"DESY 97-159","hep-ph",,"  Analytic estimates of screening masses in the symmetric, high-temperature
phase of the SU(2)-Higgs model are reviewed. The size of the mass gap in the
symmetric phase is closely related to the critical Higgs mass where the
first-order electroweak phase transition changes to a smooth crossover. We also
discuss some conjectures concerning the connection between the screening masses
of propagators in a fixed gauge and screening masses of gauge-invariant
operators.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 08:46:45 GMT""}]","2007-05-23"
"hep-ph/9708382","Erhan Iltan","T. M. Aliev (Girne American University, Girne), G. Hiller (DESY,
  Hamburg) and E. O. Iltan (METU, Ankara)","Leading logarithmic QCD corrections to the B_s --> \gamma \gamma decays
  in the two Higgs doublet model","25 pages, 19 figures (required epsf.sty)","Nucl.Phys. B515 (1998) 321-341","10.1016/S0550-3213(98)00018-2","IC / 97 / 115, August 97","hep-ph",,"  We calculate the leading logarithmic QCD corrections to the decay B_s -->
\gamma \gamma in the two Higgs doublet model (2HDM) including O_7 type long
distance effects and estimate the restrictions of the 2HDM parameters, tan\beta
and m_H, using the experimental data of B --> X_s \gamma decay provided by the
CLEO collaboration. A lower bound for the charged Higgs mass m_H as a function
of the renormalization scale \mu is given for 2HDM model II. We further present
the dependencies of the branching ratio Br(B_s --> \gamma \gamma) and the ratio
|A^{+}|^2/|A^{-}|^2 on m_H and tan\beta including leading logarithmic QCD
corrections. The dependence on the renormalization scale is found to be strong
for both ratios. An additional uncertainty arises from the variation of the
parameters of the bound state model, (m_b, \bar{\Lambda}_s). We see, that to
look for charged Higgs effects the measurement of the branching ratio Br(B_s
--> \gamma \gamma) is promising.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 09:50:39 GMT""},{""version"":""v2"",""created"":""Thu, 27 Nov 1997 13:27:58 GMT""}]","2009-10-30"
"hep-ph/9708383","Janne Ignatius","J. Ignatius (NORDITA)","Early stages of growth of QCD and electroweak bubbles","6 pages, 1 figure. To appear in the Proceedings of Strong and
  Electroweak Matter '97, Eger, Hungary, 21-25 May 1997",,,"NORDITA-97/52 P/A","hep-ph astro-ph",,"  The dynamical growth rate of bubbles nucleating in relativistic plasma in
thermal first-order phase transitions is analyzed. The framework is a
hydrodynamical model which consists of relativistic fluid and an order
parameter field. The results of analytical approximations and numerical
simulations coincide well.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 11:02:54 GMT""}]","2007-05-23"
"hep-ph/9708384","Name","V. G. Baryshevsky","Time-violating rotation of the electromagnetic wave polarization plane
  by a diffractional grating","16 pages, 3 figures, uses article.sty, submitted to Journal of
  Physics B",,,,"hep-ph",,"  The equations describing the T-violating photon scattering by a diffraction
grating have been obtained. It is shown, that the T-violating rotation of the
photon polarization plane appear under diffraction in a noncenter symmetrical
diffraction grating. The rotation angle gives rise sharply, when the conditions
of the photon resonance transmission are satisfied.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 11:46:31 GMT""}]","2007-05-23"
"hep-ph/9708385","Arkadii A. Kozhevnikov","A.A. Kozhevnikov (Laboratory of Theoretical Physics, S.L. Sobolev
  Institute for Mathematics)","Decay of Z-string due to the fermion emission","19 pages, revtex, no figures",,,,"hep-ph",,"  The question of classical topological stability of the gauge vortex defects
is reanalyzed upon taking into account the quantum perturbative effects. The
purely Abelian Higgs string remains stable while the coupling of the
effectively Abelian Z-string (with the fixed zero upper component of the scalar
doublet) to the fermions of the minimal standard model is shown to result in
its decay, via the fermionic pair emission. The decay rate is scaled as
$10^{-1}$ of the decay rate of $Z^0$ boson. The influence of the surrounding
charge-asymmetric fermionic matter is considered, demonstrating the dependence
of the decay rate on the contour shape and its suppression at sufficiently
large charge asymmetry.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 13:54:28 GMT""}]","2007-05-23"
"hep-ph/9708386","Vladimir Braun","V.M. Braun","Ultraviolet dominance of power corrections in QCD?","7 pages, LATEX, no figures; Presented at 5th International Conference
  on Physics Beyond the Standard Model, Balholm, Norway, 29 Apr - 4May 1997",,"10.1063/1.54481","NORDITA 97/53-P","hep-ph",,"  I explain current theoretical ideas on higher-twist (hadronization)
corrections to physical observables in QCD.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 12:31:55 GMT""},{""version"":""v2"",""created"":""Tue, 19 Aug 1997 15:43:07 GMT""}]","2009-10-30"
"hep-ph/9708387","Robert Fleischer","Robert Fleischer","Current Issues in CP Violation","12 pages, LaTeX, 2 figures. Invited plenary talk given at Beyond the
  Standard Model V, Balholm, Norway, April 29 - May 4, 1997. To appear in the
  proceedings. The complete paper is also available via anonymous ftp at
  ftp://www-ttp.physik.uni-karlsruhe.de/ , or via www at
  http://www-ttp.physik.uni-karlsruhe.de/cgi-bin/preprints/",,"10.1063/1.54470","TTP97-32","hep-ph",,"  A brief review of CP violation in $K$ and $B$ decays is given. While the
observables $\varepsilon$ and Re$(\varepsilon'/\varepsilon)$ describing CP
violation in neutral $K$ decays do not allow a powerful test of the CKM
mechanism of CP violation, rare $K\to\pi\nu\overline{\nu}$ decays and in
particular the $B$-meson system are much more promising in this respect. After
a brief look at the $K$ system, selected aspects of CP-violating effects in $B$
decays are discussed. It is pointed out that combined branching ratios for
$B\to\pi K$ modes, which have been observed recently by the CLEO collaboration,
may allow to derive stringent constraints on the CKM angle $\gamma$ that could
open a window to new physics.
","[{""version"":""v1"",""created"":""Mon, 18 Aug 1997 12:33:29 GMT""}]","2009-10-30"
