"adap-org/9708004","Henri Waelbroeck","J. Mora, C. Stephens and H. Waelbroeck","Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus","TeX source, 10 p., please email hwael or stephens for figures",,,"ICN-UNAM-97-11","adap-org nlin.AO q-bio",,"  We argue that the phenomenon of symmetry breaking in genetics can enhance the
adaptability of a species to changes in the environment. In the case of a
virus, the claim is that the codon bias in the neutralization epitope improves
the virus' ability to generate mutants that evade the induced immune response.
We support our claim with a simple ``toy model'' of a viral epitope evolving in
competition with the immune system. The effective selective advantage of a
higher mutability leads to a dominance of codons that favour non-synonymous
mutations. The results in this paper suggest the possibility of emergence of an
algorithmic language in more complicated systems.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:00:09 GMT""}]","2008-02-03"
"chao-dyn/9708007","Detlef Lohse","Detlef Lohse and Sascha Hilgenfeldt (Fachbereich Physik der
  Universit\""at Marburg, Germany)","Inert gas accumulation in sonoluminescing bubbles","J. Chem. Phys., in press (to appear in November 1997), 30 pages, 15
  eps-figures",,"10.1063/1.474939","Preprint 1997-6, Marburg","chao-dyn nlin.CD",,"  In this paper we elaborate on the idea [Lohse et al., Phys. Rev. Lett. 78,
1359-1362 (1997)] that (single) sonoluminescing air bubbles rectify argon. The
reason for the rectification is that nitrogen and oxygen dissociate and their
reaction products dissolve in water. We give further experimental and
theoretical evidence and extend the theory to other gas mixtures. We show that
in the absence of chemical reactions (e.g., for inert gas mixtures) gas
accumulation in strongly acoustically driven bubbles can also occur.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 09:10:12 GMT""}]","2009-10-30"
"cond-mat/9708046","Leo Radzihovsky","Leo Radzihovsky (1) and John Toner (2) ((1) University of Colorado,
  (2) University of Oregon)","Elasticity, Shape Fluctuations and Phase Transitions in the New Tubule
  Phase of Anisotropic Tethered Membranes","34 PRE pages, RevTex and 11 postscript figures, also available at
  http://lulu.colorado.edu/~radzihov/ version to appear in Phys. Rev. E, 57, 1
  (1998); minor changes","Phys.Rev.E57:1832-1863,1998","10.1103/PhysRevE.57.1832","University of Colorado preprint","cond-mat.soft cond-mat.dis-nn cond-mat.stat-mech",,"  We study the shape, elasticity and fluctuations of the recently predicted
(cond-mat/9510172) and subsequently observed (in numerical simulations)
(cond-mat/9705059) tubule phase of anisotropic membranes, as well as the phase
transitions into and out of it. This novel phase lies between the previously
predicted flat and crumpled phases, both in temperature and in its physical
properties: it is crumpled in one direction, and extended in the other. Its
shape and elastic properties are characterized by a radius of gyration exponent
$\nu$ and an anisotropy exponent $z$. We derive scaling laws for the radius of
gyration $R_G(L_\perp,L_y)$ (i.e. the average thickness) of the tubule about a
spontaneously selected straight axis and for the tubule undulations
$h_{rms}(L_\perp,L_y)$ transverse to its average extension. For phantom (i.e.
non-self-avoiding) membranes, we predict $\nu=1/4$, $z=1/2$ and
$\eta_\kappa=0$, exactly, in excellent agreement with simulations. For
membranes embedded in the space of dimension $d<11$, self-avoidance greatly
swells the tubule and suppresses its wild transverse undulations, changing its
shape exponents $\nu$ and $z$. We give detailed scaling results for the shape
of the tubule of an arbitrary aspect ratio and compute a variety of correlation
functions, as well as the anomalous elasticity of the tubules. Finally we
present a scaling theory for the shape of the membrane and its specific heat
near the continuous transitions into and out of the tubule phase and perform
detailed renormalization group calculations for the crumpled-to-tubule
transition for phantom membranes.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 17:03:20 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 1997 20:56:54 GMT""},{""version"":""v3"",""created"":""Thu, 11 Dec 1997 04:31:35 GMT""}]","2009-09-25"
"cond-mat/9708048","Hajime Tanaka","Hajime Tanaka (Institute of Industrial Science, University of Tokyo)","New mechanisms of droplet coarsening in phase-separating fluid mixtures","5 pages, RevTex, To appear in J. Chem. Phys. Vol. 107, No.9 (1997)",,"10.1063/1.474730",,"cond-mat.soft cond-mat.stat-mech",,"  We propose here a new mechanism of droplet coarsening in phase-separating
fluid mixtures. In contrast to the conventional understanding that there are no
interactions between droplets in the late stage of spinodal decomposition, we
demonstrate the existence of interactions between droplets that is caused by
the coupling between diffuse concentration change around droplets. We show the
possibility that this mechanism plays an important role in droplet phase
separation together with Brownian-coagulation mechanism. We also discuss the
coupling between hydrodynamic and diffusion modes, namely, ""collision-induced
collision"" phenomena.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:35:48 GMT""}]","2009-10-30"
"cond-mat/9708049","Anders Irback","Anders Irb\""ack and Erik Sandelin","Local Interactions and Protein Folding: A Model Study on the Square and
  Triangular Lattices","10 pages LaTeX, 3 Postscript figures. Figure and references added","J. Chem. Phys. 108 (1998) 2245-2250","10.1063/1.475605","LU TP 97-17","cond-mat.soft physics.chem-ph q-bio.BM",,"  We study a simple heteropolymer model containing sequence-independent local
interactions on both square and triangular lattices. Sticking to a two-letter
code, we investigate the model for varying strength $\kappa$ of the local
interactions; $\kappa=0$ corresponds to the well-known HP model [K.F. Lau and
K.A. Dill, Macromolecules 22, 3986 (1989)]. By exhaustive enumerations for
short chains, we obtain all structures which act as a unique and pronounced
energy minimum for at least one sequence. We find that the number of such
designable structures depends strongly on $\kappa$. Also, we find that the
number of designable structures can differ widely for the two lattices at a
given $\kappa$. This is the case, for example, at $\kappa=0$, which implies
that the HP model exhibits different behavior on the two lattices. Our findings
clearly show that sequence-independent local properties of the chains can play
an important role in the formation of unique minimum energy structures.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:44:44 GMT""},{""version"":""v2"",""created"":""Sun, 2 Nov 1997 17:37:21 GMT""}]","2009-10-30"
"cond-mat/9708050","Stephan Haas","Fu-Chun Zhang and T.M. Rice","An Anyon Superconducting Groundstate in Si MOSFETS?","RevTex, 1 page",,,,"cond-mat.supr-con",,"  This is a comment on a paper published by V. Dobrosavljevic et al. in Phys.
Rev. Lett. 79, 455 (1997).
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 16:45:05 GMT""}]","2008-02-03"
"cond-mat/9708051","Joel Lebowitz","B. Derrida, J. L. Lebowitz, and E. R. Speer","Shock Profiles for the Asymmetric Simple Exclusion Process in One
  Dimension","34 pages, LaTeX, 2 figures are included in the LaTeX file. Email:
  derrida@physique.ens.fr, lebowitz@math.rutgers.edu, speer@math.rutgers.edu",,"10.1007/BF02770758",,"cond-mat",,"  The asymmetric simple exclusion process (ASEP) on a one-dimensional lattice
is a system of particles which jump at rates $p$ and $1-p$ (here $p>1/2$) to
adjacent empty sites on their right and left respectively. The system is
described on suitable macroscopic spatial and temporal scales by the inviscid
Burgers' equation; the latter has shock solutions with a discontinuous jump
from left density $\rho_-$ to right density $\rho_+$, $\rho_-<\rho_+$, which
travel with velocity $(2p-1)(1-\rho_+-\rho_-)$. In the microscopic system we
may track the shock position by introducing a second class particle, which is
attracted to and travels with the shock. In this paper we obtain the time
invariant measure for this shock solution in the ASEP, as seen from such a
particle. The mean density at lattice site $n$, measured from this particle,
approaches $\rho_{\pm}$ at an exponential rate as $n\to\pm\infty$, with a
characteristic length which becomes independent of $p$ when
$p/(1-p)>\sqrt{\rho_+(1-\rho_-)/\rho_-(1-\rho_+)}$. For a special value of the
asymmetry, given by $p/(1-p)=\rho_+(1-\rho_-)/\rho_-(1-\rho_+)$, the measure is
Bernoulli, with density $\rho_-$ on the left and $\rho_+$ on the right. In the
weakly asymmetric limit, $2p-1\to0$, the microscopic width of the shock
diverges as $(2p-1)^{-1}$. The stationary measure is then essentially a
superposition of Bernoulli measures, corresponding to a convolution of a
density profile described by the viscous Burgers equation with a well-defined
distribution for the location of the second class particle.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 18:17:57 GMT""}]","2009-10-30"
"cond-mat/9708052","Mustafa Uludogan","Ayse Erzan and Ayse Gorbon (Istanbul Technical University,
  Istanbul-Turkey)","Non-commutative geometry and irreversibility","15 pages, 2 figures, Revtex formatted",,"10.1007/s100510050159","ITU-PHYS-COND-97-38","cond-mat.stat-mech",,"  A kinetics built upon $q$-calculus, the calculus of discrete dilatations, is
shown to describe diffusion on a hierarchical lattice. The only observable on
this ultrametric space is the ""quasi-position"" whose eigenvalues are the levels
of the hierarchy, corresponding to the volume ofphase space available to the
system at any given time. Motion along the lattice of quasi-positions is
irreversible.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 18:44:25 GMT""}]","2009-10-30"
"cond-mat/9708053","Philip R. Hammar","P. R. Hammar(1), Daniel H. Reich(1), C. Broholm(1 and 2), and F.
  Trouw(3) ((1) The Johns Hopkins University, Baltimore, MD (2) National
  Institute of Standards and Technology, Gaithersburg, MD (3) IPNS, Argonne
  National Labs, Argonne, IL)","Spin gap in the Quasi-One-Dimensional S=1/2 Antiferromagnet:
  Cu2(1,4-diazacycloheptane)2Cl4","9 pages, 8 postscript figures, LaTeX, Submitted to PRB 8/4/97, e-mail
  Comments to dhr@pha.jhu.edu",,"10.1103/PhysRevB.57.7846",,"cond-mat.str-el",,"  Cu_{2}(1,4-diazacycloheptane)_{2}Cl_{4} contains double chains of spin 1/2
Cu^{2+} ions. We report ac susceptibility, specific heat, and inelastic neutron
scattering measurements on this material. The magnetic susceptibility,
$\chi(T)$, shows a rounded maximum at T = 8 K indicative of a low dimensional
antiferromagnet with no zero field magnetic phase transition. We compare the
$\chi(T)$ data to exact diagonalization results for various one dimensional
spin Hamiltonians and find excellent agreement for a spin ladder with
intra-rung coupling $J_1 = 1.143(3)$ meV and two mutually frustrating
inter-rung interactions: $J_2 = 0.21(3)$ meV and $J_3 = 0.09(5)$ meV. The
specific heat in zero field is exponentially activated with an activation
energy $\Delta = 0.89(1)$ meV. A spin gap is also found through inelastic
neutron scattering on powder samples which identify a band of magnetic
excitations for $0.8 < \hbar\omega < 1.5$ meV. Using sum-rules we derive an
expression for the dynamic spin correlation function associated with
non-interacting propagating triplets in a spin ladder. The van-Hove
singularities of such a model are not observed in our scattering data
indicating that magnetic excitations in Cu_{2}(1,4-diazacycloheptane)_{2}Cl_{4}
are more complicated. For magnetic fields above $H_{c1} \simeq 7.2$ T specific
heat data versus temperature show anomalies indicating a phase transition to an
ordered state below T = 1 K.
","[{""version"":""v1"",""created"":""Wed, 6 Aug 1997 22:26:01 GMT""}]","2009-10-30"
"cond-mat/9708054","Leon Balents","Charlie Kane, Leon Balents, Matthew Fisher","Coulomb Interactions and Mesoscopic Effects in Carbon Nanotubes","4 pages, 1 figure",,"10.1103/PhysRevLett.79.5086","NSF-ITP-97-104","cond-mat.mes-hall cond-mat.str-el",,"  We argue that long-range Coulomb forces convert an isolated (N,N) armchair
carbon nanotube into a strongly-renormalized *Luttinger liquid*. At high
temperatures, we find anomalous temperature dependences for the interaction and
impurity contributions to the resistivity, and similar power-law dependences
for the local tunneling density of states. At low temperatures, the nanotube
exhibits spin-charge separation, visible as an extra energy scale in the
discrete tunneling density of states (for which we give an analytic form),
signaling a departure from the orthodox theory of Coulomb blockade.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 01:40:33 GMT""}]","2009-10-30"
"cond-mat/9708055","Sven Luebeck","S. Lubeck, K. D. Usadel","The Bak-Tang-Wiesenfeld sandpile model around the upper critical
  dimension","7 pages, including 9 figures, accepted for publication in Physical
  Review E","Physical Review E 56, 5138 (1997)","10.1103/PhysRevE.56.5138",,"cond-mat",,"  We consider the Bak-Tang-Wiesenfeld sandpile model on square lattices in
different dimensions (D>=6). A finite size scaling analysis of the avalanche
probability distributions yields the values of the distribution exponents, the
dynamical exponent, and the dimension of the avalanches. Above the upper
critical dimension D_u=4 the exponents equal the known mean field values. An
analysis of the area probability distributions indicates that the avalanches
are fractal above the critical dimension.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 09:45:27 GMT""}]","2009-10-30"
"cond-mat/9708056","Roberto Raimondi","C.J. Lambert and R. Raimondi","Phase coherent transport in hybrid superconducting nanostructures","RevTeX, Review article, 35 pages, 1 Postscript figure",,"10.1088/0953-8984/10/5/003",,"cond-mat.supr-con",,"  This article is an overview of recent experimental and theoretical work on
transport in phase-coherent hybrid nanostructures, with particular emphasis on
dc electrical conduction. A summary of multiple scattering theory and the
quasi-classical methods is presented and comparisons between the two are made.
Several paradigms of phase-coherent transport are discussed, including
zero-bias anomalies, reentrant and long range proximity effects, Andreev
interferometers and superconductivity-induced conductance suppression.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 08:37:39 GMT""}]","2009-10-30"
"cond-mat/9708057","Denis Gorokhov","D. A. Gorokhov and G. Blatter (Theoretische Physik, ETH-Zurich,
  Switzerland)","Decay of Metastable States: Sharp Transition from Quantum to Classical
  Behavior","14 pages, revtex, 9 figures inserted","Phys. Rev. B 56 (1997) 3130","10.1103/PhysRevB.56.3130","ETH-TH/97-12","cond-mat.stat-mech cond-mat.supr-con hep-th",,"  The decay rate of metastable states is determined at high temperatures by
thermal activation, whereas at temperatures close to zero quantum tunneling is
relevant. At some temperature $T_{c}$ the transition from classical to
quantum-dominated decay occurs. The transition can be first-order like, with a
discontinuous first derivative of the Euclidean action, or smooth with only a
second derivative developing a jump. In the former case the crossover
temperature $T_{c}$ cannot be calculated perturbatively and must be found as
the intersection point of the Euclidean actions calculated at low and high
temperatures. In this paper we present a sufficient criterion for a first-order
transition in tunneling problems and apply it to the problem of the tunneling
of strings. It is shown that the problem of the depinning of a massive string
from a linear defect in the presence of an arbitrarily strong dissipation
exhibits a first-order transition.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 12:11:41 GMT""}]","2009-10-30"
"cond-mat/9708058","Roberto Sacconi","Roberto Sacconi","Numerical study of the transition of the four dimensional Random Field
  Ising Model","10 pages, 2 figures, Latex",,"10.1088/0305-4470/31/16/005",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We study numerically the region above the critical temperature of the four
dimensional Random Field Ising Model. Using a cluster dynamic we measure the
connected and disconnected magnetic susceptibility and the connected and
disconnected overlap susceptibility. We use a bimodal distribution of the field
with $ h_R=0.35T $ for all temperatures and a lattice size L=16. Through a
least-square fit we determine the critical exponents $ \gamma $ and $
\bar{\gamma} $. We find the magnetic susceptibility and the overlap
susceptibility diverge at two different temperatures. This is coherent with the
existence of a glassy phase above $ T_c $. Accordingly with other simulations
we find $ \bar{\gamma}=2\gamma $. In this case we have a scaling theory with
two indipendet critical exponents
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 14:01:12 GMT""},{""version"":""v2"",""created"":""Fri, 5 Sep 1997 09:01:49 GMT""}]","2009-10-30"
"cond-mat/9708059","S. M. Bhattacharjee","Somendra M. Bhattacharjee and A. Baumg\""artner","Dynamics of unbinding of polymers in a random medium","7 pages, latex, 3 figures, To appear in J. Chem. Phys",,"10.1063/1.474995",,"cond-mat.soft q-bio",,"  We have studied the aging effect on the dynamics of unbinding of a double
stranded directed polymer in a random medium. By using the Monte Carlo dynamics
of a lattice model in two dimensions, for which disorder is known to be
relevant, the unbinding dynamics is studied by allowing the bound polymer to
relax in the random medium for a waiting time and then allowing the two strands
to unbind. The subsequent dynamics is formulated in terms of the overlap of the
two strands and also the overlap of each polymer with the configuration at the
start of the unbinding process. The interrelations between the two and the
nature of the dependence on the waiting time are studied.
","[{""version"":""v1"",""created"":""Thu, 7 Aug 1997 14:51:59 GMT""}]","2009-10-30"
