"alg-geom/9708023","Wolfram Decker","Hirotachi Abo, Wolfram Decker, Nobuo Sasakura","An elliptic conic bundle in P^4 arising from a stable rank-3 vector
  bundle","13 pages, AmS-TeX v. 2.1",,,,"alg-geom math.AG",,"  In this note we show the existence of a family of elliptic conic bundles in
P^4 of degree 8. This family has been overlooked and in fact falsely ruled out
in a series of classification papers. Our surfaces provide a counterexample to
a conjecture of Ellingsrud and Peskine. According to this conjecture there
should be no irregular m-ruled surface in P^4 for m at least 2.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 07:51:03 GMT""}]","2009-09-25"
"astro-ph/9708259","Gavin B. Dalton","Helen Tadros (Sussex), George Efstathiou and Gavin Dalton (Oxford)","The Power Spectrum of Rich Clusters of Galaxies on Large Spatial Scales","9 pages, 7 ps figures, two style files, submitted to MNRAS. Un-xxx-ed
  version available at
  http://www-astro.physics.ox.ac.uk/research/preprints/aug97/cluspaper.ps.gz",,"10.1046/j.1365-8711.1998.01441.x",,"astro-ph",,"  We present an analysis of the redshift-space power spectrum, $P(k)$, of rich
clusters of galaxies based on an automated cluster catalogue selected from the
APM Galaxy Survey. We find that $P(k)$ can be approximated by a power law,
$P(k)\proptok^{n}$, with $n\approx-1.6$ over the wavenumber range
$0.04\hr<k<0.1\hr$. Over this range of wavenumbers, the APM cluster power
spectrum has the same shape as the power spectra measured for optical and IRAS
galaxies. This is consistent with a simple linear bias model in which different
tracers have the same power spectrum as that of the mass distribution but
shifted in amplitude by a constant biasing factor. On larger scales, the power
spectrum of APM clusters flattens and appears to turn over on a scale $k \sim
0.03\hmpcrev$. We compare the power spectra estimated from simulated APM
cluster catalogues to those estimated directly from cubical N-body simulation
volumes and find that the APM cluster survey should give reliable estimates of
the true power spectrum at wavenumbers $k \simgt 0.02\hmpcrev$. These results
suggest that the observed turn-over in the power spectrum may be a real feature
of the cluster distribution and that we have detected the transition to a near
scale-invariant power spectrum implied by observations of anisotropies in the
cosmic microwave background radiation. The scale of the turn-over in the
cluster power spectrum is in good agreement with the scale of the turn-over
observed in the power spectrum of APM galaxies.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 08:37:21 GMT""}]","2009-10-30"
"astro-ph/9708260",,"M. Guainazzi (1), L.Piro (2) ((1) A.S.I., Beppo-SAX Science Data
  Center, Roma (2) I.A.S.-C.N.R., Frascati)","First Beppo-SAX results on AGN","5 pages, Latex, 4 Postscript figures, `an-art.sty' included, to
  appear in Astronomische Nachrichten, vol.4, pag. 223",,"10.1002/asna.2113180409",,"astro-ph",,"  In the following paper, some first Beppo-SAX results on AGN are presented.
Main on-flight calibration features and observational properties are discussed
at the light of possible future AGN studies
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 09:12:25 GMT""}]","2015-06-24"
"astro-ph/9708261","Rafal Moderski","Marek Sikora, Greg Madejski and Mitchell Begelman","Variability, Power, and Pair Content of AGN Jets","TeX, 1 figure (included), using macros lecproc.sty and epsf.sty (also
  included); to appear in Proceedings of the Conference ""Relativistic Jets in
  AGNs"" Cracow'97",,,,"astro-ph",,"  Simultaneous observations of blazars in different spectral regimes imply that
the amplitude of variability depends on the observational band. Both in the low
energy spectral component and in the high energy spectral component, the
amplitude increases with the photon energy. We show that such behavior can be
explained in terms of a two-component model, where the spectra observed during
flares are superpositions of spectra arising from at least two distinct,
spatially separated sources. Using the two-component model for blazar
variability we derive constraints on jet physics in quasars. Particularly, we
demonstrate that if production of X-rays during rapid flares is dominated by
Comptonization of external radiation, then the upper limits for the total power
of jets imply that the jet plasma is strongly dominated by pairs.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:06:25 GMT""}]","2007-05-23"
"cond-mat/9708210","Ken Elder","Martin Tarlie (U. of Chicago) and Ken Elder (Oakland U.)","State Selection in Accelerated Systems","4 pages, 4 Postscript figures",,,,"cond-mat.soft cond-mat.stat-mech cond-mat.supr-con",,"  The problem of state selection when multiple metastable states compete for
occupation is considered for systems that are accelerated far from equilibrium.
The dynamics of the supercurrent in a narrow superconducting ring under the
influence of an external electric field is used to illustrate the general
phenomenology.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 18:09:39 GMT""}]","2008-02-03"
"cond-mat/9708211","C. T. Liang","C.-T. Liang, J.E.F. Frost, M. Pepper, D.A. Ritchie and G.A.C. Jones
  (Cavendish Laboratory, University of Cambridge)","Experimental studies of T--shaped quantum dot transistors:
  phase-coherent electron transport","9 pages, TeX, to be published in Solid State Communications","Solid State Communications 105, 109 (1998).","10.1016/S0038-1098(97)00393-1",,"cond-mat.mes-hall",,"  We have measured the low-temperature transport properties of a T-shaped
quantum dot. Replicated oscillations superimposed on one-dimensional
conductance steps are observed. These structures are consistent with electron
phase-coherent length resonance effects in the ballistic regime. Using a simple
model, we suggest that both one-dimensional and two-dimensional
electron-electron scattering gives rise to electron phase-breaking in our
system.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 21:52:23 GMT""}]","2009-10-30"
"cond-mat/9708212","Gernot Muenster","Peter Hoppe and Gernot M\""unster (University of M\""unster)","The Interface Tension of the Three-dimensional Ising Model in Two-loop
  Order","9 pages, 1 Postscript figure, LaTeX, uses epsf.sty, epic.sty,
  curves.sty","Phys.Lett.A238:265-270,1998","10.1016/S0375-9601(97)00913-4","MS-TPI-97/8","cond-mat.stat-mech hep-lat",,"  In liquid mixtures and other binary systems at low temperatures the pure
phases may coexist, separated by an interface. The interface tension vanishes
according to $\sigma = \sigma_0 (1 - T/T_c)^{\mu}$ as the temperature T
approaches the critical point from below. Similarly the correlation length
diverges as $\xi = f_- (1 - T/T_c)^{-\nu}$ in the low temperature region. For
three-dimensional systems the dimensionless product $R_- = \sigma_0 f_-^2$ is
universal. We calculate its value in the framework of field theory in d=3
dimensions by means of a saddle-point expansion around the kink solution
including two-loop corrections. The result R_ = 0.1065(9), where the error is
mainly due to the uncertainty in the renormalized coupling constant, is
compatible with experimental data and Monte Carlo calculations.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 08:03:25 GMT""}]","2010-12-23"
"cond-mat/9708213","Ugo Bastolla","U. Bastolla and G. Parisi","Relevant elments, Magnetization and Dynamical Properties in Kauffman
  Networks: a Numerical Study","22 pages, Latex, 8 figures, submitted to Physica D",,"10.1016/S0167-2789(97)00243-1",,"cond-mat.dis-nn",,"  This is the first of two papers about the structure of Kauffman networks. In
this paper we define the relevant elements of random networks of automata,
following previous work by Flyvbjerg and Flyvbjerg and Kjaer, and we study
numerically their probability distribution in the chaotic phase and on the
critical line of the model. A simple approximate argument predicts that their
number scales as sqrt(N) on the critical line, while it is linear with N in the
chaotic phase and independent of system size in the frozen phase. This argument
is confirmed by numerical results. The study of the relevant elements gives
useful information about the properties of the attractors in critical networks,
where the pictures coming from either approximate computation methods or from
simulations are not very clear.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 14:57:49 GMT""}]","2009-10-30"
"cond-mat/9708214","Ugo Bastolla","U. Bastolla and G. Parisi","The Modular Structure of Kauffman Networks","24 pages, 9 figures, Latex, submitted to Physica D",,"10.1016/S0167-2789(97)00242-X",,"cond-mat.dis-nn q-bio",,"  This is the second paper of a series of two about the structural properties
that influence the asymptotic dynamics of Random Boolean Networks. Here we
study the functionally independent clusters in which the relevant elements,
introduced and studied in our first paper, are subdivided. We show that the
phase transition in Random Boolean Networks can also be described as a
percolation transition. The statistical properties of the clusters of relevant
elements (that we call modules) give an insight on the scaling behavior of the
attractors of the critical networks that, according to Kauffman, have a
biological analogy as a model of genetic regulatory systems.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:13:04 GMT""}]","2009-10-30"
"cond-mat/9708215","Ugo Bastolla","U. Bastolla and G. Parisi","Attractors in fully asymmetric neural networks","23 pages, 6 figures, Latex, to appear on J. Phys. A",,"10.1088/0305-4470/30/16/007",,"cond-mat.dis-nn q-bio",,"  The statistical properties of the length of the cycles and of the weights of
the attraction basins in fully asymmetric neural networks (i.e. with completely
uncorrelated synapses) are computed in the framework of the annealed
approximation which we previously introduced for the study of Kauffman
networks. Our results show that this model behaves essentially as a Random Map
possessing a reversal symmetry. Comparison with numerical results suggests that
the approximation could become exact in the infinite size limit.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:30:17 GMT""}]","2009-10-30"
"gr-qc/9708067","Mark A. Scheel","Mark A. Scheel (1), Thomas W. Baumgarte (2), Gregory B. Cook (1),
  Stuart L. Shapiro (2), and Saul A. Teukolsky (1) ((1) Cornell Univ., (2)
  Univ. of Illinois at Urbana-Champaign)","Numerical Evolution of Black Holes with a Hyperbolic Formulation of
  General Relativity","23 pages RevTeX plus 7 PostScript figures. Submitted to Phys. Rev. D","Phys.Rev.D56:6320-6335,1997","10.1103/PhysRevD.56.6320","CRSR 1122","gr-qc",,"  We describe a numerical code that solves Einstein's equations for a
Schwarzschild black hole in spherical symmetry, using a hyperbolic formulation
introduced by Choquet-Bruhat and York. This is the first time this formulation
has been used to evolve a numerical spacetime containing a black hole. We
excise the hole from the computational grid in order to avoid the central
singularity. We describe in detail a causal differencing method that should
allow one to stably evolve a hyperbolic system of equations in three spatial
dimensions with an arbitrary shift vector, to second-order accuracy in both
space and time. We demonstrate the success of this method in the spherically
symmetric case.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 22:02:39 GMT""}]","2010-11-19"
"gr-qc/9708068","Marco Bruni","Sebastiano Sonego and Marco Bruni","Gauge dependence in the theory of non-linear spacetime perturbations","paper accepted for publication in Communications of Mathematical
  Physics; SISSA preprint 105/97/A. 10 pages and 2 figures, standard latex","Commun.Math.Phys. 193 (1998) 209-218","10.1007/s002200050325",,"gr-qc astro-ph dg-ga math.DG",,"  Diffeomorphism freedom induces a gauge dependence in the theory of spacetime
perturbations. We derive a compact formula for gauge transformations of
perturbations of arbitrary order. To this end, we develop the theory of Taylor
expansions for one-parameter families (not necessarily groups) of
diffeomorphisms. First, we introduce the notion of knight diffeomorphism, that
generalises the usual concept of flow, and prove a Taylor's formula for the
action of a knight on a general tensor field. Then, we show that any
one-parameter family of diffeomorphisms can be approximated by a family of
suitable knights. Since in perturbation theory the gauge freedom is given by a
one-parameter family of diffeomorphisms, the expansion of knights is used to
derive our transformation formula. The problem of gauge dependence is a purely
kinematical one, therefore our treatment is valid not only in general
relativity, but in any spacetime theory.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 13:08:31 GMT""}]","2009-10-30"
"gr-qc/9708070","Leonid Grishchuk","L. P. Grishchuk","Signatures of Quantum Gravity in the Large-Scale Universe","20 pages; crckapb.sty; contribution based on a talk given at the 4-th
  Colloque Cosmologie, Paris, June 1997",,,,"gr-qc astro-ph hep-ph quant-ph",,"  The quantum gravity processes that have taken place in the very early
Universe are probably responsible for the observed large-scale cosmological
perturbations. The comparison of the theory with the detected microwave
background anisotropies favors the conclusion that the very early Universe was
not driven by a scalar field with whichever scalar field potential. At the same
time, the observations allow us to conclude that there is a good probability of
a direct detection of the higher frequency relic gravitational waves with the
help of the advanced laser interferometers.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 15:43:49 GMT""}]","2007-05-23"
"hep-ex/9708039","Roberto Battiston","R. Battiston (INFN and U. of Perugia, Italy)","The Alpha Magnetic Spectrometer (AMS): search for antimatter and dark
  matter on the International Space Station","Invited talk to S. Miniato 1997, to be published on N.I.M., 8 pages 7
  figures, LATEX, espcvc2.sty included","Nucl.Phys.Proc.Suppl. 65 (1998) 19-26","10.1016/S0920-5632(97)00970-5",,"hep-ex astro-ph",,"  The AMS is a state of the art detector for extraterrestrial study of
antimatter, matter and missing matter. After a precursor flight on STS91 in May
1998, AMS will be installed on the International Space Station where it will
operate for three years. In this paper the AMS experiment is described and is
physics potential reviewed.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 18:25:06 GMT""}]","2009-10-30"
"hep-ex/9708040",,"E791 Collaboration","Asymmetries Between the Production of Ds- and Ds+ Mesons from 500 GeV/c
  pi- Nucleon Interactions as Functions of x_F and square of p_t","Latex file (11 pages) and three eps files for figures This paper has
  been accepted for publication by Physics Letters B","Phys.Lett.B411:230-236,1997","10.1016/S0370-2693(97)00952-0","Fermilab-PUB-97-105-E","hep-ex",,"  This paper presents measurements of the production of Ds- mesons relative to
Ds+ mesons as functions of x_F and square of p_t for a sample of 2445 Ds decays
to phi pi. The Ds mesons were produced in Fermilab experiment E791 with 500
GeV/c pi- mesons incident on one platinum and four carbon foil targets. The
acceptance-corrected integrated asymmetry in the x_F range -0.1 to 0.5 for Ds+-
mesons is 0.032 +- 0.022 +- 0.022, consistent with no net asymmetry. The
results, as functions of x_F and square of p_t, are compared to predictions and
to the large production asymmetry observed for D+- mesons in the same
experiment. These comparisons support the hypothesis that production
asymmetries come from the fragmentation process and not from the charm quark
production itself.
","[{""version"":""v1"",""created"":""Thu, 28 Aug 1997 12:32:25 GMT""}]","2012-08-27"
"hep-lat/9708024","Anthony D. Kennedy","Ivan Horvath and A. D. Kennedy","The LHMC Algorithm for Free Field Theory: Reexamining Overrelaxation","LaTeX, 33 pages, 3 postscript figures","Nucl.Phys. B510 (1998) 367-400","10.1016/S0550-3213(98)81018-3","FSU-SCRI-97-94","hep-lat",,"  We analyze the autocorrelations for the LHMC algorithm in the context of free
field theory. In this case this is just Adler's overrelaxation algorithm. We
consider the algorithm with even/odd, lexicographic, and random updates, and
show that its efficiency depends crucially on this ordering of sites when
optimized for a given class of operators. In particular, we show that, contrary
to previous expectations, it is possible to eliminate critical slowing down
(z[int]=0) for a class of interesting observables, including the magnetic
susceptibility: this can be done with lexicographic updates but is not possible
with even/odd (z[int]=1) or random (z[int]=2) updates. We are considering the
dynamical critical exponent z[int] for integrated autocorrelations rather than
for the exponential autocorrelation time; this is reasonable because it is the
integrated autocorrelation which determines the cost of a Monte Carlo
computation.
","[{""version"":""v1"",""created"":""Wed, 27 Aug 1997 19:01:15 GMT""}]","2015-06-25"
