"alg-geom/9707018","James M. Turner","James M. Turner","On Simplicial Commutative Rings with Vanishing Andr\'e-Quillen Homology","14 pages, LaTeX2e",,,,"alg-geom math.AC math.AG q-alg",,"  We propose a generalization of a conjecture of D. Quillen, on the vanishing
of Andr\'e-Quillen homology, to simplicial commutative rings. This conjecture
characterizes a notion of local complete intersection, extended to the
simplicial setting, under a suitable hypothesis on the local characteristic.
Further, under the condition of finite-type homology, we then prove the
conjecture in the case of a simplicial commutative algebra augmented over a
field of non-zero characteristic. As a consequence, we obtain a proof of
Quillen's conjecture for a Noetherian commutative algebra - again augmented
over a field of non-zero characteristic.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 17:38:39 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 17:46:38 GMT""}]","2008-02-03"
"astro-ph/9708004","Mark Hindmarsh","Mark Hindmarsh (Sussex) and Allen Everett (Tufts)","Magnetic Fields from Phase Transitions","6pp RevTeX. Correct finished version supplied","Phys. Rev. D 58, 103505 (1998)","10.1103/PhysRevD.58.103505","SUSX-TH-97-011","astro-ph hep-ph",,"  The generation of primordial magnetic fields from cosmological phase
transitions is discussed, paying particular attention to the electroweak
transition and to the various definitions of the `average' field that have been
put forward. It is emphasised that only the volume average has dynamical
significance as a seed for galactic dynamos. On rather general grounds of
causality and energy conservation, it is shown that, in the absence of MHD
effects that transfer power in the magnetic field from small to large scales,
processes occurring at the electroweak transition cannot generate fields
stronger than $10^{-20}$ Gauss on a scale of 0.5 Mpc. However, it is
implausible that this upper bound could ever be reached, as it would require
all the energy in the Universe to be turned into a magnetic field coherent at
the horizon scale. Non-linear MHD effects seem therefore to be necessary if the
electroweak transition is to create a primordial seed field.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 10:24:22 GMT""},{""version"":""v2"",""created"":""Mon, 4 Aug 1997 12:14:34 GMT""}]","2016-08-25"
"astro-ph/9708005","Danny Steeghs","D. Steeghs, E.T. Harlaftis, Keith Horne","Spiral structure in the accretion disc of the binary IP Pegasi","5 pages, 2 figures, to appear in Monthly Notices of the Royal
  Astronomical Society. Color images at
  http://star-www.st-and.ac.uk/~ds10/spirals.html",,"10.1093/mnras/290.2.L28",,"astro-ph",,"  We have found the first convincing evidence for spiral structure in the
accretion disc of a close binary. The eclipsing dwarf nova binary IP Peg,
observed during the end phase of a rise to outburst, shows strong Balmer and
Helium emission lines in its spectra, with asymmetric double peaked velocity
profiles produced in the accretion disc around the white dwarf. To reveal the
two armed spiral on the accretion disc, we de-project the observed emission
line profiles onto a Doppler coordinate frame, a technique known as Doppler
tomography. The two armed spiral structure we see in the Doppler tomograms is
expected to form when the disc becomes sufficiently large in outburst so that
the tides induced by the secondary star can excite waves in the outer disc.
Such spiral waves have been predicted in studies of tidal effects in discs and
are fundamental in understanding the angular momentum budget of accretion
discs.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:16:26 GMT""}]","2016-01-13"
"astro-ph/9708006","Sophie Van Eck","S. Van Eck (1), A. Jorissen (1), S. Udry (2), M. Mayor (2) and B.
  Pernier (2) ((1) Universite Libre de Bruxelles, Belgium, (2) Observatoire de
  Geneve, Switzerland)","The HIPPARCOS Hertzsprung-Russell diagram of S stars: Probing
  nucleosynthesis and dredge-up","16 pages, 10 figures, Latex, accepted for publication in Astronomy
  and Astrophysics main journal. Also available at
  http://astro.ulb.ac.be/iaa.htm",,,,"astro-ph",,"  HIPPARCOS trigonometrical parallaxes make it possible to compare the location
of Tc-rich and Tc-poor S stars in the Hertzsprung-Russell (HR) diagram: Tc-rich
S stars are found to be cooler and intrinsically brighter than Tc-poor S stars.
The comparison with the Geneva evolutionary tracks reveals that the line
marking the onset of thermal pulses on the asymptotic giant branch (AGB)
matches well the observed limit between Tc-poor and Tc-rich S stars. Tc-rich S
stars are, as expected, identified with thermally-pulsing AGB stars of low and
intermediate masses, whereas Tc-poor S stars comprise mostly low-mass stars
(with the exception of 57 Peg) located either on the red giant branch or on the
early AGB. Like barium stars, Tc-poor S stars are known to belong exclusively
to binary systems, and their location in the HR diagram is consistent with the
average mass of 1.6 +- 0.2 Msun derived from their orbital mass-function
distribution. A comparison with the S stars identified in the Magellanic Clouds
and in the Fornax dwarf elliptical galaxy reveals that they have luminosities
similar to the galactic Tc-rich S stars. However, most of the surveys of S
stars in the external systems did not reach the lower luminosities at which
galactic Tc-poor S stars are found. The deep Westerlund survey of carbon stars
in the SMC uncovered a family of faint carbon stars that may be the analogues
of the low-luminosity, galactic Tc-poor S stars.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 14:30:22 GMT""}]","2007-05-23"
"astro-ph/9708007","Marcelo Porto Allen","M. P. Allen and J. E. Horvath (IAG-USP, Brazil)","Implications of a constant observed braking index for young pulsar's
  spindown","13 pages, 2 figures (available upon request to
  mpallen@iagusp.usp.br), Latex (AAStex), accepted for publication in the
  Astrophysical Journal",,,,"astro-ph",,"  The observed braking index n_{obs} which had been determined for a few young
pulsars, had been found to differ from the expected value for a rotating
magnetic dipole model. Also, the observational jerk parameter, determined for
two of these pulsars, disagree with the theoretical prediction m_{obs} = 15 in
both cases. We propose a simple model able to account for these differences,
based on a growth of the ""torque function"" K = -(dot Omega)/(Omega^{n}), under
the constraint that n_{obs} is a constant. We show that there is observational
evidence supporting the latter hypotesis, and derive initial values for several
physical quantities for the four pulsars whose n_{obs} have been measured.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 13:43:04 GMT""}]","2007-05-23"
"astro-ph/9708008","Juan I. Collar","F.T. Avignone, D. Abriola, R.L. Brodzinski, J.I. Collar, R.J.
  Creswick, D.E. DiGregorio, H.A. Farach, A.O. Gattone, C.K. Guerard, F.
  Hasenbalg, H. Huck, H.S. Miley, A. Morales, J. Morales, S. Nussinov, A. Ortiz
  de Solorzano, J.H. Reeves, J.A. Villar and K. Zioutas (The SOLAX
  Collaboration)","Experimental Search for Solar Axions via Coherent Primakoff Conversion
  in a Germanium Spectrometer","RevTeX, 11 pages, figures can be obtained by fax from
  Juan.Collar@cern.ch. Submitted to Phys. Lett. B","Phys.Rev.Lett.81:5068-5071,1998","10.1103/PhysRevLett.81.5068",,"astro-ph hep-ph",,"  Results are reported of an experimental search for the unique, rapidly
varying temporal pattern of solar axions coherently converting into photons via
the Primakoff effect in a single crystal germanium detector. This conversion is
predicted when axions are incident at a Bragg angle with a crystalline plane.
The analysis of approximately 1.94 kg.yr of data from the 1 kg DEMOS detector
in Sierra Grande, Argentina, yields a new laboratory bound on axion-photon
coupling of $g_{a\gamma \gamma} < 2.7\cdot 10^{-9}$ GeV$^{-1}$, independent of
axion mass up to ~ 1 keV.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 15:26:32 GMT""}]","2009-09-25"
"chao-dyn/9708001","Alessandro Torcini","Thierry Dauxois, Stefano Ruffo and Alessandro Torcini","Modulational Estimate for Fermi-Pasta-Ulam Chain Lyapunov Exponents","4 pages, revtex, 4 ps figures, submitted to PRE","Phys. Rev. E, 56 (1997) R6229","10.1103/PhysRevE.56.R6229",,"chao-dyn cond-mat.stat-mech nlin.CD",,"  In the framework of the Fermi-Pasta-Ulam (FPU) model, we show a simple method
to give an accurate analytical estimation of the maximal Lyapunov exponent at
high energy density. The method is based on the computation of the mean value
of the modulational instability growth rates associated to unstable modes.
Moreover, we show that the strong stochasticity threshold found in the
$\beta$-FPU system is closely related to a transition in tangent space: the
Lyapunov eigenvector being more localized in space at high energy.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 08:12:11 GMT""}]","2009-10-30"
"chao-dyn/9708002","Gregory Falkovich","Gregory Falkovich and Vladimir Lebedev","Single-point velocity distribution in turbulence","9 pages, revtex, no figures",,"10.1103/PhysRevLett.79.4159",,"chao-dyn nlin.CD",,"  We show that the tails of the single-point velocity probability distribution
function (PDF) are generally non-Gaussian in developed turbulence. By using
instanton formalism for the Navier-Stokes equation, we establish the relation
between the PDF tails of the velocity and those of the external forcing. In
particular, we show that a Gaussian random force having correlation scale $L$
and correlation time $\tau$ produces velocity PDF tails $\ln{\cal
P}(v)\propto-v^4$ at $v\gg v_{rms}, L/\tau$. For a short-correlated forcing
when $\tau\ll L/v_{rms}$ there is an intermediate asymptotics $\ln {\cal
P}(v)\propto-v^3$ at $L/\tau\gg v\gg v_{rms}$.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 11:28:57 GMT""}]","2009-10-30"
"cond-mat/9707344","Satya Majumdar","Satya N. Majumdar and Stephen J. Cornell","Survival Probability of a Mobile Particle in a Fluctuating Field","24 pages, latex, 2 ps figures",,"10.1103/PhysRevE.57.3757","TIFR/TH/97/42","cond-mat.stat-mech",,"  We study the the survival probability P(t) upto time t, of a test particle
moving in a fluctuating external field. The particle moves according to some
prescribed deterministic or stochastic rules and survives as long as the
external field that it sees at its own location does not change sign. This is a
natural generalization of the ""static persistence"" (when the particle is at
rest) that has generated considerable recent interests. Two types of motions of
the particle are considered. In one case, the particle adopts a strategy to
live longer and in the other it just diffuses randomly. Three different
external fields were considered: (i) the solution of diffusion equation, (ii)
the ""colour"" profile of the q-state Potts model undergoing zero temperature
coarsening dynamics and (iii) spatially uncorrelated Brownian signals. In most
cases studied, $P(t)\sim t^{-\theta_m}$ for large t. The exponent $\theta_m$ is
calculated via numerically, analytically by approximate methods and in some
cases exactly. It is shown in some special cases that the survival probability
of the mobile particle is related to the persistence of special ""patterns""
present in the initial configuration of a phase ordering system.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 21:28:14 GMT""}]","2009-10-30"
"cond-mat/9707345","Reinhard Leidl","R. Leidl and H.W. Diehl (University of Essen, Germany)","Surface critical behavior of bcc binary alloys","16 pages, REVTeX 3.0, 13 EPSF figures, submitted to Phys. Rev. B","Phys. Rev. B 57 (1998) 1908-1921","10.1103/PhysRevB.57.1908",,"cond-mat.stat-mech",,"  The surface critical behavior of bcc binary alloys undergoing a continuous
B2-A2 order-disorder transition is investigated in the mean-field (MF)
approximation. Our main aim is to provide clear evidence for the fact that
surfaces which break the two-sublattice symmetry generically display the
critical behavior of the NORMAL transition, whereas symmetry-preserving
surfaces exhibit ORDINARY surface critical behavior. To this end we analyze the
lattice MF equations for both types of surfaces in terms of nonlinear
symplectic maps and derive a Ginzburg-Landau model for the symmetry-breaking
(100) surface. The crucial feature of the continuum model is the emergence of
an EFFECTIVE ORDERING (``staggered'') SURFACE FIELD, which depends on
temperature and the other lattice model parameters, and which explains the
appearance of NORMAL critical behavior for symmetry-breaking surfaces.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 19:12:16 GMT""}]","2009-10-30"
"cond-mat/9707346","Raymond E. Goldstein","Chris H. Wiggins (Princeton University) and Raymond E. Goldstein
  (University of Arizona)","Flexive and Propulsive Dynamics of Elastica at Low Reynolds Numbers","4 pages, 4 eps figs, RevTeX, submitted to PRL",,"10.1103/PhysRevLett.80.3879",,"cond-mat.soft q-bio",,"  A stiff one-armed swimmer in glycerine goes nowhere, but if its arm is
elastic, exerting a restorative torque proportional to local curvature, the
swimmer can go on its way. Considering this happy consequence and the
principles of elasticity, we study a hyperdiffusion equation for the shape of
the elastica in viscous flow, find solutions for impulsive or oscillatory
forcing, and elucidate relevant aspects of propulsion. These results have
application in a variety of physical and biological contexts, from dynamic
biopolymer bending experiments to instabilities of elastic filaments.
","[{""version"":""v1"",""created"":""Thu, 31 Jul 1997 22:00:24 GMT""}]","2009-10-30"
"cond-mat/9708001","Tom Chou","Tom Chou (Dept. of Applied Maths. and Theoretical Physics, University
  of Cambridge)","Band Structure of Periodically Surface-Scattered Water Waves","22 pp, 8 Figs. jfm.sty, Submitted to J. Fluid Mech., MARCH 7, 1997.
  Not yet reviewed",,,,"cond-mat",,"  Bloch wavefunctions are used to derive dispersion relations for water wave
propagation in the presence of an infinite array of periodically arranged
surface scatterers. For one dimensional periodicity (stripes), band gaps for
wavevectors in the direction of periodicity are found corresponding to multiple
Bragg scattering. The dependence of these band gaps as a function of scatterer
density, strength, and water depth is analyzed. We find in contrast to band gap
behavior in electronic, photonic, and acoustic systems, these gaps can increase
with excitation frequency $\omega$. Thus, higher order Bragg scattering can
play a dominant role in suppressing wave propagation. Furthermore, in one
dimension, an additional constraint (in addition to single scatterer energy and
momentum conservation) on the calculation of transmission $T$ and reflection
$R$ coefficients of a finite number of scatterers is calculated from the exact
dispersion relation of the infinite periodic system. This relationship may be
useful in measurements where only phase or amplitude is easily measured. In
simple two dimensional periodic geometries, we find no complete band gaps and
offer semi-quantitative reasons for why this is so. The role of evanescent
modes is discussed, and finally, equations for water wave band structure in the
presence of a uniform flow are derived.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 02:13:11 GMT""}]","2007-05-23"
"cond-mat/9708002",,"Michiyasu Mori (Institute for Molecular Science), Masao Ogata (the
  University of Tokyo) and Hidetoshi Fukuyama (the University of Tokyo)","Quantized Conductance of One-Dimensional Doped Mott Insulator","10 pages, 4 figures, uses jpsj.sty",,"10.1143/JPSJ.66.3363",,"cond-mat",,"  The possible modification of quantized conductance of one-dimensional doped
Mott insulator, where the Umklapp scattering plays an important role, is
studied based on the method by Maslov-Stone and Ponomarenko. At T=0 and away
from half-filling, the conductance is quantized as $g=2e^2/h$ and there is no
renormalization by Umklapp scattering process. At finite temperatures, however,
the quantization is affected depending on the gate voltage and temperature.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 01:49:21 GMT""}]","2009-10-30"
"cond-mat/9708003","Yao-Zhong Zhang","Yao-Zhong Zhang and Huan-Qiang Zhou","Bethe ansatz equations for Bariev's correlated electron chain with
  boundaries","3 pages, RevTex",,,,"cond-mat.str-el cond-mat.stat-mech",,"  The Bethe ansatz equations are presented for Bariev's correlated electron
chain with boundaries. This is achieved by using the coordinate space Bethe
ansatz method.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 03:43:51 GMT""}]","2008-02-03"
"cond-mat/9708004","Eilon Brenner","Eilon Brenner, Yacov Kantor (Tel Aviv University)","Ground States of Two-Dimensional Polyampholytes","6 pages, 6 eps figures, RevTex, Submitted to Phys. Rev. E","Phys. Rev. E56, 5278-5283 (1997)","10.1103/PhysRevE.56.5278",,"cond-mat.soft cond-mat.stat-mech",,"  We perform an exact enumeration study of polymers formed from a (quenched)
random sequence of charged monomers $\pm q_0$, restricted to a 2-dimensional
square lattice. Monomers interact via a logarithmic (Coulomb) interaction. We
study the ground state properties of the polymers as a function of their excess
charge $Q$ for all possible charge sequences up to a polymer length N=18. We
find that the ground state of the neutral ensemble is compact and its energy
extensive and self-averaging. The addition of small excess charge causes an
expansion of the ground state with the monomer density depending only on $Q$.
In an annealed ensemble the ground state is fully stretched for any excess
charge $Q>0$.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 06:00:08 GMT""}]","2009-10-30"
"cond-mat/9708005",,"H.-W. Lee (CTP,SNU), Doochul Kim(SNU)","Universal macroscopic background formation in surface super-roughening","5 pages, LaTex, 1 figure, minor corrections","Phys. Rev. E 56, R2347 (1997)","10.1103/PhysRevE.56.R2347",,"cond-mat.stat-mech",,"  We study a class of super-rough growth models whose structure factor
satisfies the Family-Vicsek scaling. We demonstrate that a macroscopic
background spontaneously develops in the local surface profile, which dominates
the scaling of the local surface width and the height-difference. The shape of
the macroscopic background takes a form of a finite-order polynomial whose
order is decided from the value of the global roughness exponent. Once the
macroscopic background is subtracted, the width of the resulting local surface
profile satisfies the Family-Vicsek scaling. We show that this feature is
universal to all super-rough growth models, and we also discuss the difference
between the macroscopic background formation and the pattern formation in other
models.
","[{""version"":""v1"",""created"":""Fri, 1 Aug 1997 07:55:42 GMT""},{""version"":""v2"",""created"":""Mon, 30 Mar 1998 10:43:53 GMT""}]","2009-10-30"
